来源	《安徽巢湖方言音韵研究》，“胖丁”整理修改
tɕ	[1]阶街[5]界届诫械
ɕ	[2]谐斜[5]懈
∅	[1]椰[2]癌[3]也冶[5]碍
#uɛ	
tʂ	[3]拽[5]拽
tʂʰ	[1]揣[3]踩[5]踹
ʂ	[1]衰摔[3]甩[5]帅率蟀
k	[1]乖[3]拐[5]怪挂{记挂}
kʰ	[3]蒯[5]刽会快块筷侩
x	[2]淮槐怀踝[3]□{左右摇晃得走，老鸭～蛋}[5]坏
∅	[1]歪[2]崴[5]外
#ɔ	
p	[1]包胞苞褒[3]保堡宝饱[5]抱报暴鲍豹爆刨菢{～小鸡}
pʰ	[1]剖泡抛□{～乎乎的，软的}[2]跑袍[5]泡炮
m	[1]猫[2]矛茅毛髦[3]卯{暗含次序，不小心漏掉}[5]貌帽冒
t	[1]刀[3]祷岛导倒到{找不～了}[5]到道倒盗稻
tʰ	[1]韬[2]涛滔陶逃桃萄淘[3]讨[5]套
l	[1]捞唠瑙[2]牢劳挠痨[3]脑瑙恼老佬姥{姥姥，姑姑}[5]涝闹淖{～泥，烂泥}□{甜食，肥肉太腻，～人}
ʦ	[1]糟遭[3]早澡枣藻[5]灶皂
ʦʰ	[1]操[2]槽曹漕[3]草[5]造燥糙
s	[1]骚缫搔[3]扫嫂[5]□{快，搞～毫子}
tʂ	[1]朝招昭钊[3]找爪[5]召罩赵兆照□{可以，行；个～，行不行}
tʂʰ	[1]超抄钞焯[2]潮朝巢嘲[3]吵炒[5]钞{管你有钱有～}
ʂ	[1]烧稍梢筲{～箕，淘米洗菜的用具}[2]韶{爱出风头}绍{介～}[3]少[5]少邵哨
ʐ	[1]绕{～起来}[2]儿饶[3]而尔耳饵扰绕{～线，缠～}[5]二绕{～路}
k	[1]茭{茭瓜}交教高糕皋膏羔跤[3]绞铰搞稿□{不见了，搞～得了}[5]校{校对}叫{叫花子}窖觉告{□：跟，同；～你讲}
kʰ	[1]敲-[3]考烤拷[5]铐靠犒
x	[1]蒿[2]号毫豪嚎壕濠蚝[3]好[5]号耗浩昊皓
ŋ	[2]熬獒敖[3]袄咬[5]奥懊{～悔}傲澳
#iɔ	
p	[1]标彪镖飙膘[3]表婊裱瀌[5]□{偷偷看到，我～到着}
pʰ	[1]飘漂[2]瓢嫖[3]漂[5]票漂
m	[1]喵[2]苗描[3]秒渺藐淼[5]庙妙缪廖
t	[1]雕叼刁貂碉凋[3]屌鸟[5]掉钓调貂
tʰ	[1]挑□{汤匙，～子}[2]调迢苕[3]挑{～明}[5]跳眺
n	[2]燎疗聊撩僚潦镣[3]鸟袅[5]撂料
tɕ	[1]浇椒骄焦郊娇胶蕉礁漅{巢湖}[3]狡搅剿缴饺绞[5]校{学～，～对}较轿嚼
tɕʰ	[1]锹[2]桥侨瞧樵谯荞乔{拿～，自抬身价}[3]巧{价格便宜}[5]撬窍翘俏
ɕ	[1]萧肖潇消宵硝销消嚣逍枵{薄或液体稀}[2]淆[3]小晓[5]酵笑孝效校笑哮啸
∅	[1]腰邀妖腰要约{用称～}[2]摇瑶尧瑶谣窑姚尧遥夭[3]舀杳[5]要耀跃{大～进}
#ɯ	
ʦ	[1]绉诌[3]走[5]奏揍邹骤
tsʰ	[2]愁[3]瞅[5]凑
s	[1]嗖馊艘[3]搜叟[5]瘦嗽{咳～}
t	[1]兜都[3]陡抖[5]斗逗豆窦
tʰ	[1]偷[2]头投[5]透
n	[2]楼娄[2]髅镂[3]搂篓[5]漏陋
tʂ	[1]周州洲舟[3]肘帚扭{～开瓶盖}[5]咒轴昼纣胄[0]昼{上～，上午}
tʂʰ	[1]抽[2]仇筹稠酬绸畴惆踌[3]丑[5]臭
ʂ	[1]收[3]手首守[5]兽受售寿授狩绶
ʐ	[2]柔揉蹂[5]肉□{慢吞吞，太～了}
k	[1]沟勾钩[3]狗苟枸[5]够购构垢
kʰ	[1]抠眍{眼～进去了}[3]口[5]扣寇蔻
x	[1]齁[2]侯喉猴[3]吼候{等待，～我一阵}[5]后厚
ŋ	[1]欧殴鸥区[3]呕偶藕[5]怄{～气}
#iɯ/ʏ	
t	[1]丢
n	[1]妞溜[2]牛硫留流刘浏瘤琉[3]柳纽钮[5]遛榴
tɕ	[1]灸揪纠[3]久酒九鸠韭[5]就救究臼舅旧疚究
tɕʰ	[1]蚯秋邱丘阄{拈～子}□{烟熏人眼，～眼}[2]囚求球仇裘[3]□{抓着人不放}
ɕ	[1]修休羞貅[3]朽[5]秀绣袖锈溴臭
∅	[1]幽悠忧优[2]油由游邮尤犹[3]有友酉[5]又右幼佑诱柚鼬祐
#æ̃	
p	[1]班斑颁扳癍[3]版阪板[5]办
pʰ	[2]爿[5]瓣襻{衣服～子}绊{绊跌跤；存疑，或非本字}
m	[1]慢[2]蛮[5]曼
f	[1]帆翻藩幡[2]矾凡烦繁樊[3]反返[5]饭犯范泛贩
t	[1]丹单担[3]胆掸[5]但旦弹担淡诞蛋氮
tʰ	[1]贪滩摊瘫坍[2]谈弹谭潭坛昙痰檀[3]坦毯[5]叹探炭碳
l	[1]□{语气词，～！把东西拿下子}[2]蓝拦兰栏岚阑澜斓婪男难南楠腩[3]懒揽览缆榄[5]烂滥难
ʦ	[1]簪[2]㜺{好看}[3]攒[5]赞蘸
tsʰ	[1]参餐[2]残蚕惭馋[3]惨[5]灿璨粲
s	[1]三叁[3]伞散馓[5]散
tʂ	[1]□{切，～菜，～肉}[3]斩盏崭辗[5]暂站湛栈绽
tʂʰ	[1]搀掺[2]蝉禅婵潺蟾[3]产铲[5]忏
ʂ	[1]山删衫珊杉
k	[1]监间-干甘肝竿柑[3]减-拣敢感赶杆橄秆擀[5]干赣
kʰ	[1]鹐看堪勘刊铅{铅角子，硬币}[3]砍坎槛侃[5]看阚瞰
x	[1]憨酣鼾[2]咸闲衔寒韩含函涵邯[3]喊罕[5]汉苋翰焊旱悍捍憾撼限{～定}
ŋ	[1]安淹庵鞍鹌[3]眼[5]暗按岸案黯晏雁{雁鹅：一种鹅}
#iæ̃	
n	[3]两
tɕ	[1]间=奸艰监皆[3]减=碱简茧柬[5]谏涧鉴舰
tɕʰ	[1]铅
ɕ	[2]娴衔咸闲[5]陷
∅	[2]颜严[3]眼也[5]雁{大雁}
#uæ̃	
tʂ	[5]赚撰
ʂ	[1]栓闩拴[5]涮
k	[1]关鳏[5]惯贯掼
kʰ	[1]圈{绕个～子}{□：固执，不听劝}[2]环鬈{卷发，～毛}蜷{腿～着，～鸡}
x	[2]还鬟[5]患幻
∅	[1]湾弯[2]顽[3]晚挽[5]万
#ẽ	
tʂ	[1]毡沾粘詹[3]展{～昭}[5]占战{颤抖；心直～，炮竹把窗子炸直～}
tʂʰ	[2]缠禅{褒禅山}[3]逞{逞能}
ʂ	[1]扇煽[3]闪陕[5]善扇鳝膳鳝蟮社射舍{宿～}
ʐ	[2]然燃[3]染冉苒
#iɪ̃	
p	[1]边鞭编[3]贬扁匾[5]变便辩辨辫汴
pʰ	[1]偏篇翩[3]□{屁眼}[5]片骗
m	[2]棉绵眠[3]免勉缅冕[5]面
t	[1]颠癫巅滇掂踮[3]点典碘[5]殿店电奠甸垫惦淀
tʰ	[1]天添[2]田填甜[3]舔腆
n	[1]拈捡[2]年粘黏连怜莲帘廉联涟镰[3]撵碾捻脸敛[5]念廿恋练炼链
tɕ	[1]兼坚肩煎尖搛[3]践捡检俭剪茧戬姐[5]见建贱件渐剑荐箭健键
tɕʰ	[1]千迁牵谦铅签阡扦[2]前钱乾潜虔钳[3]遣浅谴缱且[5]欠纤歉倩
