字	罗马字	拟音	注
葡	pu[2]	pu[2]	~萄
□	pu[2]	pu[2]	量词，朵
□	pu[2]	pu[2]	～蝇：苍蝇
补	pu[3]	pu[3]	
捕	pu[3]	pu[3]	拘~
斧	pu[3]	pu[3]	～头
布	pu[5]	pu[5]	布料；~□tʃʰɛn2：插秧
布	pu[5]	pu[5]	
怖	pu[5]	pu[5]	
簿	pu[6]	pu[6]	
部	pu[6]	pu[6]	
步	pu[6]	pu[6]	
麸	p'u[1]	pʰu[1]	1麦～
潽	p'u[1]	pʰu[1]	溢出
扶	p'u[2]	pʰu[2]	1推
谱	p'u[3]	pʰu[3]	琴~
普	p'u[3]	pʰu[3]	
脯	p'u[3]	pʰu[3]	~肉
□	p'u[3]	pʰu[3]	~李：李子
摸	mu[1]	mu[1]	
模	mu[2]	mu[2]	
夫	mu[3]	mu[3]	1丈~农：男人
某	mu[3]	mu[3]	
母	mu[3]	mu[3]	2做～农：女人，~亲
墓	mu[5]	mu[5]	
慕	mu[6]	mu[6]	
雾	mu[6]	mu[6]	1
厨	tu[2]	tu[2]	
躲	tu[3]	tu[3]	～避
赌	tu[3]	tu[3]	
堵	tu[3]	tu[3]	
肚	tu[3]	tu[3]	腹~：肚子
□	tu[3]	tu[3]	路
土	t'u[3]	tʰu[3]	
鲁	lu[3]	lu[3]	
橹	lu[3]	lu[3]	
掳	lu[3]	lu[3]	
□	lu[3]	lu[3]	□ku3~:勒索
珠	chu[1]	tʃu[1]	2金～
做	chu[3]	tʃu[3]	2～母农：女人
祖	chu[3]	tʃu[3]	
组	chu[3]	tʃu[3]	
阻	chu[3]	tʃu[3]	
主	chu[3]	tʃu[3]	1~意
子	chu[3]	tʃu[3]	2～爵
注	chu[5]	tʃu[5]	~释
铸	chu[5]	tʃu[5]	
楚	ch'u[3]	tʃʰu[3]	2清～
此	ch'u[3]	tʃʰu[3]	
戍	ch'u[5]	tʃʰu[5]	房子
输	su[1]	su[1]	赢~
死	su[3]	su[3]	2
使	su[3]	su[3]	2假～史
狐	ku[2]	ku[2]	1~狸
果	ku[3]	ku[3]	
古	ku[3]	ku[3]	
估	ku[3]	ku[3]	
股	ku[3]	ku[3]	
鼓	ku[3]	ku[3]	
牯	ku[3]	ku[3]	
诂	ku[3]	ku[3]	
□	ku[3]	ku[3]	~lu3:勒索
□	ku[3]	ku[3]	茶～：茶壶
过	ku[5]	ku[5]	~来
句	ku[5]	ku[5]	
锅	k'u[1]	kʰu[1]	1砂~，铁~
戈	k'u[1]	kʰu[1]	
科	k'u[1]	kʰu[1]	
窠	k'u[1]	kʰu[1]	过~：脱臼
苦	k'u[3]	kʰu[3]	
课	k'u[5]	kʰu[5]	
五	ngu[3]	ŋu[3]	2~官
伍	ngu[3]	ŋu[3]	退~
午	ngu[3]	ŋu[3]	
忤	ngu[3]	ŋu[3]	
卧	ngu[6]	ŋu[6]	
误	ngu[6]	ŋu[6]	
悟	ngu[6]	ŋu[6]	
靴	hu[1]	hu[1]	
麸	hu[1]	hu[1]	2麦～
和	hu[2]	hu[2]	~尚，温～
禾	hu[2]	hu[2]	
虎	hu[3]	hu[3]	
府	hu[3]	hu[3]	
货	hu[5]	hu[5]	
祸	hu[6]	hu[6]	
雨	hu[6]	hu[6]	1
锅	bu[1]	wu[1]	2小~：铁锅，sartén
舞	bu[3]	wu[3]	
武	bu[3]	wu[3]	
抚	bu[3]	wu[3]	
芋	bu[6]	wu[6]	~卵：芋头
女	nüi[3]	nyi[3]	
汝	nüi[3]	nyi[3]	你
煮	chüi[3]	tʃyi[3]	
主	chüi[3]	tʃyi[3]	2~义
水	chüi[3]	tʃyi[3]	校补，便于匹配
沝	chüi[3]	tʃyi[3]	水。本文中写作“水”
□	chüi[3]	tʃyi[3]	~娘囝：女儿
鼠	ch'üi[3]	tʃʰyi[3]	
取	ch'üi[3]	tʃʰyi[3]	1~利，~消
茄	küi[2]	kyi[2]	辣~匏：辣椒
举	küi[3]	kyi[3]	
语	ngüi[3]	ŋyi[3]	
许	hüi[3]	hyi[3]	2~愿：那
爬	pa[2]	pa[2]	
笆	pa[2]	pa[2]	1篱~
笆	pa[3]	pa[3]	2篱～
把	pa[3]	pa[3]	
靶	pa[3]	pa[3]	
饱	pa[3]	pa[3]	1食～：吃饱
霸	pa[5]	pa[5]	
坝	pa[5]	pa[5]	
耙	pa[6]	pa[6]	
罢	pa[6]	pa[6]	～手
脬	p'a[1]	pʰa[1]	□lim6~籽：睾丸
怕	p'a[5]	pʰa[5]	
帕	p'a[5]	pʰa[5]	
泡	p'a[5]	pʰa[5]	水~：皮肤病之一
□	ma[1]	ma[1]	～阄：抓阄
蟆	ma[2]	ma[2]	
猫	ma[2]	ma[2]	
马	ma[3]	ma[3]	
码	ma[3]	ma[3]	
骂	ma[5]	ma[5]	
爸	ma[6]	ma[6]	郎～：父亲
□	ta[1]	ta[1]	干燥
焦	ta[1]	ta[1]	校补，便于匹配：干燥
茶	ta[2]	ta[2]	
打	ta[3]	ta[3]	
他	t'a[1]	tʰa[1]	
□	na[2]	na[2]	解大小便
早	na[3]	na[3]	2今~：今天
□	na[6]	na[6]	只，仅
□	na[6]	na[6]	但是
渣	cha[1]	tʃa[1]	
查	cha[1]	tʃa[1]	动词，检～
早	cha[3]	tʃa[3]	1
诈	cha[5]	tʃa[5]	
炸	cha[5]	tʃa[5]	爆~
蚱	cha[5]	tʃa[5]	~蜢
叉	ch'a[1]	tʃʰa[1]	
差	ch'a[1]	tʃʰa[1]	~不多
□	ch'a[2]	tʃʰa[2]	柴
樵	ch'a[2]	tʃʰa[2]	校补，便于匹配柴
柴	ch'a[2]	tʃʰa[2]	校补，便于匹配：柴
炒	ch'a[3]	tʃʰa[3]	
纱	sa[1]	sa[1]	
砂	sa[1]	sa[1]	2
痧	sa[1]	sa[1]	2
家	ka[1]	ka[1]	
加	ka[1]	ka[1]	
佳	ka[1]	ka[1]	
交	ka[1]	ka[1]	1~椅：椅子
胶	ka[1]	ka[1]	1
铰	ka[1]	ka[1]	~刀：剪刀
假	ka[3]	ka[3]	虚~
绞	ka[3]	ka[3]	
假	ka[5]	ka[5]	放~
架	ka[5]	ka[5]	
嫁	ka[5]	ka[5]	
价	ka[5]	ka[5]	
驾	ka[5]	ka[5]	
教	ka[5]	ka[5]	～书
今	ka[5]	ka[5]	2～早：今天
咬	ka[6]	ka[6]	
骹	k'a[1]	kʰa[1]	脚
□	nga[1]	ŋa[1]	杈
牙	nga[2]	ŋa[2]	
芽	nga[2]	ŋa[2]	
衙	nga[2]	ŋa[2]	
讶	nga[6]	ŋa[6]	
蛤	ha[2]	ha[2]	~蟆
虾	ha[2]	ha[2]	
孝	ha[5]	ha[5]	1做～：带孝
厦	ha[6]	ha[6]	大~
下	ha[6]	ha[6]	1~雨。书面语
夏	ha[6]	ha[6]	~至
鸦	∅a[1]	ʔa[1]	～片
哑	∅a[3]	ʔa[3]	
拗	∅a[3]	ʔa[3]	1折断
下	∅a[6]	ʔa[6]	地~
下	∅a[6]	ʔa[6]	1~来
下	∅a[6]	ʔa[6]	蜀~：一下
诽	pai[2]	pai[2]	~谤
摆	pai[3]	pai[3]	
襬	pai[3]	pai[3]	
拜	pai[5]	pai[5]	
败	pai[6]	pai[6]	
派	p'ai[5]	pʰai[5]	
埋	mai[2]	mai[2]	
□	mai[5]	mai[5]	坏
迈	mai[6]	mai[6]	
台	tai[2]	tai[2]	烛~
□	tai[2]	tai[2]	埋
滓	tai[3]	tai[3]	油~：油粕
带	tai[5]	tai[5]	
碓	tai[5]	tai[5]	
大	tai[6]	tai[6]	2~人，~学
待	tai[6]	tai[6]	
代	tai[6]	tai[6]	2世~
逮	tai[6]	tai[6]	
事	tai[6]	tai[6]	1
胎	t'ai[1]	tʰai[1]	
苔	t'ai[1]	tʰai[1]	喙舌～：舌苔
梯	t'ai[1]	tʰai[1]	楼～𥭘筛子
痴	t'ai[1]	tʰai[1]	1风～：大风
腿	t'ai[3]	tʰai[3]	
态	t'ai[5]	tʰai[5]	
太	t'ai[5]	tʰai[5]	
汰	t'ai[5]	tʰai[5]	
泰	t'ai[5]	tʰai[5]	
耐	nai[6]	nai[6]	
来	lai[2]	lai[2]	2将~
雷	lai[2]	lai[2]	1~霆
赖	lai[6]	lai[6]	
癞	lai[6]	lai[6]	
懒	lai[6]	lai[6]	2~惰
灾	chai[1]	tʃai[1]	
栽	chai[1]	tʃai[1]	
斋	chai[1]	tʃai[1]	2
才	chai[2]	tʃai[2]	奴～
材	chai[2]	tʃai[2]	
财	chai[2]	tʃai[2]	
裁	chai[2]	tʃai[2]	
脐	chai[2]	tʃai[2]	腹～：肚脐
□	chai[2]	tʃai[2]	眉～：眉毛
宰	chai[3]	tʃai[3]	
再	chai[5]	tʃai[5]	
载	chai[5]	tʃai[5]	满～
债	chai[5]	tʃai[5]	
在	chai[6]	tʃai[6]	
寨	chai[6]	tʃai[6]	
猜	ch'ai[1]	tʃʰai[1]	
采	ch'ai[3]	tʃʰai[3]	
彩	ch'ai[3]	tʃʰai[3]	
采	ch'ai[3]	tʃʰai[3]	喝～
睬	ch'ai[3]	tʃʰai[3]	
菜	ch'ai[5]	tʃʰai[5]	
师	sai[1]	sai[1]	～父
狮	sai[1]	sai[1]	
屎	sai[3]	sai[3]	
使	sai[3]	sai[3]	1
驶	sai[3]	sai[3]	～船
婿	sai[5]	sai[5]	
该	kai[1]	kai[1]	
阶	kai[1]	kai[1]	
□	kai[1]	kai[1]	嗉子
改	kai[3]	kai[3]	
解	kai[3]	kai[3]	2注~
盖	kai[5]	kai[5]	
芥	kai[5]	kai[5]	1~辣子
界	kai[5]	kai[5]	
戒	kai[5]	kai[5]	
诫	kai[5]	kai[5]	
开	k'ai[1]	kʰai[1]	2~陈
凯	k'ai[3]	kʰai[3]	
慨	k'ai[5]	kʰai[5]	慷～
概	k'ai[5]	kʰai[5]	
介	ngai[5]	ŋai[5]	~绍
芥	ngai[5]	ŋai[5]	2～菜
碍	ngai[6]	ŋai[6]	
孩	hai[2]	hai[2]	
谐	hai[2]	hai[2]	
骇	hai[2]	hai[2]	
□	hai[2]	hai[2]	陶器
海	hai[3]	hai[3]	
咳	hai[3]	hai[3]	一种叹词
害	hai[6]	hai[6]	
骸	hai[6]	hai[6]	
哀	∅ai[1]	ʔai[1]	
倚	∅ai[3]	ʔai[3]	靠
爱	∅ai[5]	ʔai[5]	2～欲
蔼	∅ai[5]	ʔai[5]	
拐	kuai[3]	kuai[3]	
怪	kuai[5]	kuai[5]	
快	k'uai[5]	kʰuai[5]	2～乐
怀	huai[2]	huai[2]	
槐	huai[2]	huai[2]	
坏	huai[6]	huai[6]	
歪	buai[1]	wuai[1]	
包	pau[1]	pau[1]	
□	pau[1]	pau[1]	老~：柚子
胞	pau[2]	pau[2]	
抛	p'au[1]	pʰau[1]	
跑	p'au[2]	pʰau[2]	
炮	p'au[5]	pʰau[5]	
爆	p'au[5]	pʰau[5]	～裂
茅	mau[2]	mau[2]	
貌	mau[6]	mau[6]	
□	tau[1]	tau[1]	戍边~：附近
投	tau[2]	tau[2]	
罩	tau[5]	tau[5]	
昼	tau[5]	tau[5]	1下～：下午
豆	tau[6]	tau[6]	
痘	tau[6]	tau[6]	
脰	tau[6]	tau[6]	~管：脖子
偷	t'au[1]	tʰau[1]	
头	t'au[2]	tʰau[2]	
透	t'au[5]	tʰau[5]	
□	t'au[5]	tʰau[5]	用毒药毒害致死
毒	t'au[5]	tʰau[5]	校补，便于匹配：用毒药毒害致死
闹	nau[6]	nau[6]	
□	lau[1]	lau[1]	老虎
萝	lau[2]	lau[2]	2～卜
楼	lau[2]	lau[2]	1～梯
流	lau[2]	lau[2]	1~汗
留	lau[2]	lau[2]	1
□	lau[2]	lau[2]	~□lɛ5:肮脏
□	lau[5]	lau[5]	~泻：拉肚子
老	lau[6]	lau[6]	1
漏	lau[6]	lau[6]	1
糟	chau[1]	tʃau[1]	1
巢	chau[2]	tʃau[2]	
剿	chau[2]	tʃau[2]	
糟	chau[2]	tʃau[2]	2~蹋
抓	chau[3]	tʃau[3]	2
灶	chau[5]	tʃau[5]	
操	ch'au[1]	tʃʰau[1]	
抄	ch'au[1]	tʃʰau[1]	
吵	ch'au[3]	tʃʰau[3]	
臭	ch'au[5]	tʃʰau[5]	
扫	sau[5]	sau[5]	～地
哨	sau[5]	sau[5]	
嗽	sau[5]	sau[5]	
交	kau[1]	kau[1]	2
郊	kau[1]	kau[1]	
校	kau[1]	kau[1]	～阅
沟	kau[1]	kau[1]	
钩	kau[1]	kau[1]	
猴	kau[2]	kau[2]	
搅	kau[5]	kau[5]	
教	kau[5]	kau[5]	2~训
较	kau[5]	kau[5]	
够	kau[5]	kau[5]	1
□	kau[5]	kau[5]	到
□	kau[5]	kau[5]	三~日：三个月
厚	kau[6]	kau[6]	
□	k'au[1]	kʰau[1]	阄
□	k'au[2]	kʰau[2]	刮
聱	ngau[2]	ŋau[2]	
藕	ngau[6]	ŋau[6]	
薅	hau[1]	hau[1]	～草：除草
孝	hau[5]	hau[5]	2
效	hau[6]	hau[6]	
后	hau[6]	hau[6]	2~生
号	∅au[2]	ʔau[2]	胡刀切哭
拗	∅au[5]	ʔau[5]	2不顺
后	∅au[6]	ʔau[6]	1～门
了	leau[3]	leau[3]	2一目~然
排	pe[2]	pɛ[2]	
牌	pe[2]	pɛ[2]	
簰	pe[2]	pɛ[2]	筏子
□	pe[2]	pɛ[2]	□jiɔŋ2~:田鸡
𠜱	p'e[1]	pʰɛ[1]	削
□	p'e[3]	pʰɛ[3]	面~：脸颊
稗	p'e[5]	pʰɛ[5]	
买	me[3]	mɛ[3]	
卖	me[6]	mɛ[6]	
□	me[6]	mɛ[6]	不会
低	te[1]	tɛ[1]	
堤	te[2]	tɛ[2]	
提	te[2]	tɛ[2]	2~议
题	te[2]	tɛ[2]	
底	te[3]	tɛ[3]	2鞋～
帝	te[5]	tɛ[5]	
弟	te[6]	tɛ[6]	2徒～
第	te[6]	tɛ[6]	
递	te[6]	tɛ[6]	
提	t'e[2]	tʰɛ[2]	
体	t'e[3]	tʰɛ[3]	
替	t'e[5]	tʰɛ[5]	
泥	ne[2]	nɛ[2]	
尼	ne[2]	nɛ[2]	释迦牟~
奶	ne[3]	nɛ[3]	娘～：母亲，伯~：伯母
犁	le[2]	lɛ[2]	
厘	le[2]	lɛ[2]	
礼	le[3]	lɛ[3]	
□	le[5]	lɛ[5]	□lau2～：肮脏
厉	le[6]	lɛ[6]	
励	le[6]	lɛ[6]	
丽	le[6]	lɛ[6]	
隶	le[6]	lɛ[6]	
遮	che[1]	tʃɛ[1]	
斋	che[1]	tʃɛ[1]	1
齐	che[2]	tʃɛ[2]	~全；汝～农：你们
济	che[5]	tʃɛ[5]	
笊	che[5]	tʃɛ[5]	～篱
□	che[5]	tʃɛ[5]	苎丝
所	se[3]	sɛ[3]	厕~
洗	se[3]	sɛ[3]	
玺	se[3]	sɛ[3]	
硒	se[3]	sɛ[3]	
细	se[5]	sɛ[5]	
□	se[6]	sɛ[6]	多
街	ke[1]	kɛ[1]	
解	ke[3]	kɛ[3]	1动词
疥	ke[5]	kɛ[5]	
个	ke[6]	kɛ[6]	1的
溪	k'e[1]	kʰɛ[1]	
□	k'e[3]	kʰɛ[3]	啃
快	k'e[5]	kʰɛ[5]	1
倪	nge[2]	ŋɛ[2]	
鞋	∅e[2]	ʔɛ[2]	
矮	∅e[3]	ʔɛ[3]	
□	∅e[5]	ʔɛ[5]	看
解	∅e[6]	ʔɛ[6]	会,助动词
个	∅e[6]	ʔɛ[6]	2的；轻声
爹	tie[1]	tiɛ[1]	
□	tie[1]	tiɛ[1]	~官：公公
蛎	tie[6]	tiɛ[6]	牡蛎
□	t'ie[5]	tʰiɛ[5]	追，赶
□	lie[6]	liɛ[6]	筛子
□	chie[2]	tʃiɛ[2]	~□ne6：自己
姐	chie[3]	tʃiɛ[3]	
纸	chie[3]	tʃiɛ[3]	
蔗	chie[5]	tʃiɛ[5]	
藉	chie[6]	tʃiɛ[6]	～口
车	ch'ie[1]	tʃʰiɛ[1]	坐~，水~
奢	ch'ie[1]	tʃʰiɛ[1]	
斜	ch'ie[2]	tʃʰiɛ[2]	1
且	ch'ie[3]	tʃʰiɛ[3]	
□	ch'ie[5]	tʃʰiɛ[5]	传染
赊	sie[1]	siɛ[1]	
邪	sie[2]	siɛ[2]	
斜	sie[2]	siɛ[2]	2
蛇	sie[2]	siɛ[2]	
佘	sie[2]	siɛ[2]	～客
写	sie[3]	siɛ[3]	
舍	sie[3]	siɛ[3]	
泻	sie[5]	siɛ[5]	
舍	sie[5]	siɛ[5]	
赦	sie[5]	siɛ[5]	
舍	sie[6]	siɛ[6]	施~
谢	sie[6]	siɛ[6]	
射	sie[6]	siɛ[6]	神夜切
麝	sie[6]	siɛ[6]	
迦	kie[1]	kiɛ[1]	释～牟尼
枷	kie[2]	kiɛ[2]	
寄	kie[5]	kiɛ[5]	
岐	k'ie[2]	kʰiɛ[2]	赛～：地名
徛	k'ie[5]	kʰiɛ[5]	1陡
徛	k'ie[6]	kʰiɛ[6]	2站立；～戍：盖房子。阳去
鹅	ngie[2]	ŋiɛ[2]	
艾	ngie[5]	ŋiɛ[5]	
外	ngie[6]	ŋiɛ[6]	1～爿：外边
蚁	ngie[6]	ŋiɛ[6]	
爷	yie[2]	yiɛ[2]	
耶	yie[2]	yiɛ[2]	~稣
野	yie[3]	yiɛ[3]	
墅	yie[3]	yiɛ[3]	别~
也	yie[6]	yiɛ[6]	
夜	yie[6]	yiɛ[6]	
□	yie[6]	yiɛ[6]	~种：撒种
浮	p'eu[2]	pʰɛu[2]	2轻~
谋	meu[2]	mɛu[2]	
牟	meu[2]	mɛu[2]	释迦~尼
茂	meu[6]	mɛu[6]	
雕	teu[1]	tɛu[1]	
条	teu[2]	tɛu[2]	
调	teu[2]	tɛu[2]	1~换
愁	teu[2]	tɛu[2]	
斗	teu[5]	tɛu[5]	
读	teu[6]	tɛu[6]	句~
调	teu[6]	tɛu[6]	1歌曲的调
搂	leu[2]	lɛu[2]	
褛	leu[2]	lɛu[2]	褴~
寮	leu[2]	lɛu[2]	
楼	leu[2]	lɛu[2]	2步哨~
髅	leu[2]	lɛu[2]	
料	leu[6]	lɛu[6]	1肥料
漏	leu[6]	lɛu[6]	2
陋	leu[6]	lɛu[6]	
奏	cheu[5]	tʃɛu[5]	
皱	cheu[5]	tʃɛu[5]	
凑	ch'eu[5]	tʃʰɛu[5]	
搜	seu[1]	sɛu[1]	
胶	keu[1]	kɛu[1]	2
构	keu[5]	kɛu[5]	
够	keu[5]	kɛu[5]	2足～
□	keu[5]	kɛu[5]	挂
扣	k'eu[5]	kʰɛu[5]	
后	heu[6]	hɛu[6]	3～边
后	heu[6]	hɛu[6]	皇～
候	heu[6]	hɛu[6]	
复	heu[6]	hɛu[6]	～兴
婆	po[2]	pɔ[2]	
袍	po[2]	pɔ[2]	
□	po[2]	pɔ[2]	□pi2~□pet7：蝙蝠
宝	po[3]	pɔ[3]	
保	po[3]	pɔ[3]	
堡	po[3]	pɔ[3]	
播	po[5]	pɔ[5]	传~
报	po[5]	pɔ[5]	
□	po[5]	pɔ[5]	狂风
抱	po[6]	pɔ[6]	
波	p'o[1]	pʰɔ[1]	
坡	p'o[1]	pʰɔ[1]	
玻	p'o[1]	pʰɔ[1]	～璃
暴	p'o[6]	pʰɔ[6]	～风，～虐
魔	mo[2]	mɔ[2]	
毛	mo[2]	mɔ[2]	
耄	mo[2]	mɔ[2]	
□	mo[2]	mɔ[2]	无，没有
母	mo[3]	mɔ[3]	1雌，鸭～：母鸭；虱~：虱子
帽	mo[6]	mɔ[6]	
冒	mo[6]	mɔ[6]	
多	to[1]	tɔ[1]	
刀	to[1]	tɔ[1]	
驼	to[2]	tɔ[2]	
陀	to[2]	tɔ[2]	
砣	to[2]	tɔ[2]	
驮	to[2]	tɔ[2]	拿
逃	to[2]	tɔ[2]	
淘	to[2]	tɔ[2]	
倒	to[3]	tɔ[3]	躺
祷	to[3]	tɔ[3]	
到	to[5]	tɔ[5]	
倒	to[5]	tɔ[5]	～草：反刍
惰	to[6]	tɔ[6]	
道	to[6]	tɔ[6]	
盗	to[6]	tɔ[6]	
导	to[6]	tɔ[6]	
桃	t'o[2]	tʰɔ[2]	
讨	t'o[3]	tʰɔ[3]	
套	t'o[5]	tʰɔ[5]	
挪	no[2]	nɔ[2]	2
萄	no[2]	nɔ[2]	葡~
脑	no[3]	nɔ[3]	
恼	no[3]	nɔ[3]	
懦	no[6]	nɔ[6]	
啰	lo[1]	lɔ[1]	~嗦
罗	lo[2]	lɔ[2]	
锣	lo[2]	lɔ[2]	
萝	lo[2]	lɔ[2]	1~卜
牢	lo[2]	lɔ[2]	
劳	lo[2]	lɔ[2]	
痨	lo[2]	lɔ[2]	
朵	lo[3]	lɔ[3]	耳~
老	lo[3]	lɔ[3]	2～实
栳	lo[3]	lɔ[3]	鞋~：针线筐
做	cho[5]	tʃɔ[5]	1
左	cho[6]	tʃɔ[6]	
坐	cho[6]	tʃɔ[6]	2静~
座	cho[6]	tʃɔ[6]	
皂	cho[6]	tʃɔ[6]	
造	cho[6]	tʃɔ[6]	
搓	ch'o[1]	tʃʰɔ[1]	
操	ch'o[1]	tʃʰɔ[1]	
草	ch'o[3]	tʃʰɔ[3]	2粮～
错	ch'o[5]	tʃʰɔ[5]	错误
梭	so[1]	sɔ[1]	
唆	so[1]	sɔ[1]	
骚	so[1]	sɔ[1]	
槽	so[2]	sɔ[2]	
锁	so[3]	sɔ[3]	
燥	so[5]	sɔ[5]	雨~：雨停
歌	ko[1]	kɔ[1]	
哥	ko[1]	kɔ[1]	
高	ko[1]	kɔ[1]	
篙	ko[1]	kɔ[1]	
膏	ko[1]	kɔ[1]	
糕	ko[1]	kɔ[1]	
□	ko[2]	kɔ[2]	~lɔn2吞：囫囵吞
稿	ko[3]	kɔ[3]	
□	ko[3]	kɔ[3]	~□lø3：小孩儿
个	ko[5]	kɔ[5]	4～体
告	ko[5]	kɔ[5]	
各	ko[5]	kɔ[5]	1～农：别人。阴去
苛	k'o[1]	kʰɔ[1]	
可	k'o[3]	kʰɔ[3]	
考	k'o[3]	kʰɔ[3]	
洘	k'o[3]	kʰɔ[3]	□tʃʰɛn2~：田渴
拷	k'o[5]	kʰɔ[5]	
靠	k'o[5]	kʰɔ[5]	
铐	k'o[5]	kʰɔ[5]	
俄	ngo[2]	ŋɔ[2]	
熬	ngo[2]	ŋɔ[2]	
嚣	ngo[2]	ŋɔ[2]	
我	ngo[3]	ŋɔ[3]	
饿	ngo[6]	ŋɔ[6]	
傲	ngo[6]	ŋɔ[6]	
鏊	ngo[6]	ŋɔ[6]	
何	ho[2]	hɔ[2]	
荷	ho[2]	hɔ[2]	~兰
豪	ho[2]	hɔ[2]	~猪
壕	ho[2]	hɔ[2]	
好	ho[3]	hɔ[3]	形容词
好	ho[5]	hɔ[5]	动词
贺	ho[6]	hɔ[6]	
号	ho[6]	hɔ[6]	～码
阿	∅o[1]	ʔɔ[1]	~顺
河	∅o[2]	ʔɔ[2]	
袄	∅o[3]	ʔɔ[3]	
奥	∅o[5]	ʔɔ[5]	
澳	∅o[5]	ʔɔ[5]	
簸	puo[5]	puɔ[5]	～箕
破	p'uo[5]	pʰuɔ[5]	
磨	muo[2]	muɔ[2]	动词
麻	muo[2]	muɔ[2]	一种植物
痲	muo[2]	muɔ[2]	出~
舵	tuo[6]	tuɔ[6]	
大	tuo[6]	tuɔ[6]	1
拖	t'uo[1]	tʰuɔ[1]	
挪	nuo[2]	nuɔ[2]	1
箩	luo[2]	luɔ[2]	
了	luo[3]	luɔ[3]	1助词
抓	chuo[1]	tʃuɔ[1]	1～阄
沙	suo[1]	suɔ[1]	
砂	suo[1]	suɔ[1]	1
痧	suo[1]	suɔ[1]	1
