ŋɔi	[2]危桅	[4]蚁	[5]隘艺毅伪魏			
hɔi	[1]閪{女阴}	[5]系联{～系，～统}系{～鞋}带系{是}				
kʷɔi	[1]归龟圭闺	[3]鬼诡轨	[5]桂跪柜贵癸季			
kʰʷɔi	[1]亏规窥盔	[2]携逵葵	[4]愧			
pau	[1]包胞鲍	[3]饱	[5]爆			
pʰau	[1]抛	[2]刨	[3]跑剖	[5]豹泡{～茶}泡{水～}炮		
mau	[2]矛茅描谋	[4]卯某亩	[5]貌牡戊茂贸谬	[9a]猫{文}		
fau	[2]浮{文}	[3]否				
tau	[1]兜	[3]斗{十升为一～}抖纠{～缠}纠{～正}	[5]斗{～争}豆逗	[9b]痘		
tʰau	[1]偷	[2]头投	[3]敨	[5]透		
nau	[3]纽扭	[5]闹				
lau	[2]捞{～鱼}肴淆楼篓流硫琉刘留榴溜捞{～鱼}	[3]搂	[4]柳	[5]漏陋馏		
tʃau	[1]周舟州洲邹㷮干	[3]爪找蛋走酒帚	[5]罩笊奏就袖昼纣宙皱骤咒			
tʃʰau	[1]秋{～千}秋{～天}鍬揪抄抽鳅	[2]囚巢绸稠筹酬	[3]钞炒吵丑{子～寅卯}丑{～陋}	[5]凑臭嗅☐{带（小孩）}		
ʃau	[1]梢修羞馊收	[2]愁仇	[3]稍叟搜手首守	[5]兽受授寿售哨潲嗽漱秀绣锈瘦		
jau	[1]休{文}忧优悠幽	[2]柔尤犹由邮油游	[3]揉酉薅挠	[4]有友诱	[5]右佑{又}幼	[9b]柚釉
kau	[1]交郊胶绞茭教{～书}勾{～当}沟	[2]嚿	[3]九久韭饺狡搅搞狗苟	[5]饺较教{～育}窖垢够构购旧救究咎臼炎柩舅{白}校{～对}觉{睡～}		
kʰau	[2]求球☐{躲}	[4]舅{文}	[5]靠抠叩扣寇			
ŋau	[1]勾{～引}钩欧殴	[2]熬牛	[3]呕殴	[4]咬藕偶{～然}偶{配～}	[5]坳沤怄	
hau	[1]敲哮丘休{白}	[2]侯喉猴	[3]考烤铐巧口	[5]厚校{上～}校{学～}孝效后{～来}后{皇～}候	[9a]酵	
pɐu	[1]褒	[3]补保堡宝斧{白}	[5]布{一块～}布{～置}怖捕浦部步埠报暴曝	[9b]簿		
pʰɐu	[1]铺{～设}	[2]葡蒲菩袍浮{白}☐{量词，处}☐{～☐[lɐu31]：量词，箩}		[3]普谱甫脯{杏～}脯{胸～}	[4]抱范妇{白}	[5]铺{店～}
mɐu	[2]模{～子}模{～型}摹无巫诬毛	[4]舞{跳～}武鹉母侮拇	[5]墓暮慕募舞{～狮子}务雾冒帽			
tɐu	[1]都{～是}都{首～}刀叨	[3]堵赌岛捣倒{打～}倒{～水}肚{猪～:猪胃}	[5]妒杜渡镀到道稻盗导度{～过}			
tʰɐu	[1]滔	[2]徒{～弟}屠途{前～}涂图桃逃萄淘陶涛	[3]土祷讨	[4]肚{～子}兔	[5]吐{～痰}吐{呕～}套	
nɐu	[2]奴鸬	[4]努脑橹	[5]怒恼			
lɐu	[1]捞{～钱，又}	[2]卢炉芦庐驴劳唠涝牢{坐～}捞{～钱，又}☐{☐[pʰɐu31]～：量词，箩}		[4]鲁虏老	[5]卤路赂露鹭	
tʃɐu	[1]租遭糟	[3]祖组早枣	[5]做灶皂			
tʃʰɐu	[1]粗操	[2]曹槽	[3]草	[5]醋措澡躁臊造糙		
ʃɐu	[1]苏酥须{胡～}骚	[3]数{～星星}嫂	[5]素诉数{～学}扫{～把}扫{～地}			
kɐu	[1]高篱裔恙糕	[3]稿	[5]告			
ŋɐu	[5]傲袄奥懊{～恼}懊{～悔}澳					
hɐu	[2]毫豪壕	[3]好{～坏}	[5]好{爱～}耗号{口～}号{～码}浩郝	[9a]蒿		
piu	[1]标彪	[3]表{～示}	[9a]表{手～}			
pʰiu	[1]飘嫖	[2]嫖	[5]票漂{～白}漂{～亮}			
miu	[2]苗描猫	[3]藐渺	[4]秒杳	[5]庙妙		
tiu	[1]刁貂雕	[3]鸟{白}	[5]钓吊掉调{～动}调{音～}			
tʰiu	[1]挑	[2]条调{～和}	[5]跳粜			
niu	[4]鸟{文}	[5]尿				
liu	[2]疗辽僚燎{～原}撩瞭寮聊	[4]了	[5]廖料			
tʃiu	[1]焦蕉樵椒朝{今～}招	[3]剿沼	[5]赵兆召照			
tʃʰiu	[1]悄超昭	[2]瞧朝{～代}潮	[5]俏肖			
ʃiu	[1]销硝消宵霄烧萧	[2]韶	[3]小少{多～}	[4]邵{姓氏}	[5]笑鞘少{～年}诏绍邵{～阳}	[9a]箫
jiu	[1]妖邀要{～求}腰酉	[2]窑摇谣鹞姚尧饶	[3]扰绕{围～}绕{～线}	[5]要{重～}耀		
kiu	[1]骄娇	[3]缴矫	[5]叫轿			
kʰiu	[2]乔侨桥荞藠	[5]窍				
hiu	[1]嚣	[3]侥晓				
tʰɐm	[5]哄					
lɐm	[2]林淋临					
tʃɐm	[1]针斟砧	[3]枕{～头}	[5]浸枕{～枕头}圳			
tʃʰɐm	[1]侵	[2]寻沉	[3]寝			
ʃɐm	[1]心森参{人～}深	[2]岑	[3]沈婶审	[5]渗甚葚		
jɐm	[1]音阴荫	[2]吟任{姓氏}淫	[3]饮{～酒}饮{米～}	[5]壬任{责～}		
kɐm	[1]今金	[3]锦	[5]禁{～不住}禁{～止}揿{摁}			
kʰɐm	[1]襟	[2]琴禽擒	[4]妗			
ŋɐm	[1]揞					
hɐm	[1]堪坎{～坷}钦	[2]含	[5]勘			
pɐn	[1]宾槟浜奔{东～西走}奔{投～}彬崩	[3]禀	[5]殡笨{文}凭{倚}			
pʰɐn	[2]贫频凭{文～}	[3]品	[4]笨{白}	[5]喷{～水}喷{～香，～嚏}		
mɐn	[1]蚊	[2]民文纹闻	[4]闽悯敏吻刎	[5]问		
fɐn	[1]昏婚分吩纷芬熏薰勋	[2]焚坟	[3]粉	[4]奋	[5]忿愤份粪训	
wɐn	[1]温瘟	[2]魂匀云{白～}云{人～亦～}耘晕馄	[3]稳	[4]吮允尹	[5]浑韵运混{又}	
tɐn	[1]瞪敦墩登灯	[3]等	[5]顿炖沌钝凳邓			
tʰɐn	[1]吞	[2]腾藤疼	[4]盾{茅～}	[9a]饨		
nɐn	[1]☐{𤶸～：疤}	[2]能				
lɐn	[2]邻鳞磷仑伦沦轮	[5]论{～语}论{讨～}	[9b]𡳞{男阴}			
tʃɐn	[1]津珍臻榛真睁曾{姓氏}增憎僧☐{特～：故意}	[3]准{标～}准{～许}诊疹	[5]尽{～早}尽{～头}进晋镇阵振震俊赠			
tʃʰɐn	[1]亲{～戚}亲{～家}春椿	[2]秦陈尘旬循巡曾{～经}层	[3]蠢	[5]趁衬		
ʃɐn	[1]辛新薪身申伸	[2]神辰娠晨唇臣纯醇	[3]榫笋	[5]信讯迅肾慎逊殉顺舜		
jɐn	[1]欣因姻恩殷	[2]人仁寅	[3]隐忍	[4]衅引瘾	[5]纴刃韧印闰润孕	
kɐn	[1]跟根斤筋巾	[3]梗{文}仅紧谨埂耿	[5]近{文}更{～加}			
kʰɐn	[2]勤芹	[3]哽	[4]近{文}			
ŋɐn	[1]莺	[2]银				
hɐn	[2]痕恒衡	[3]肯啃很恳垦	[5]恨杏行{品～}幸			
kʷɐn	[1]均钧君军轰{～炸}	[3]滚	[5]棍郡混{又}			
kʰʷɐn	[1]坤昆{～仑}	[2]群裙	[3]捆菌	[5]困{～难}困{～觉}		
tɵn	[1]端蹲	[3]短	[5]段缎锻锻断{决～}断{文，绳～了}			
tʰɵn	[2]团{～结}团{糕～}屯围豚臀	[4]断{白，绳～了}				
nɵn	[4]暖	[5]嫩				
lɵn	[2]联鸾	[4]卵恋	[5]乱			
tʃɵn	[1]专砖尊遵	[3]转{～学}	[5]钻{～洞}钻{电～}纂转{～圆圈}篆	[9b]传{自～}		
tʃʰɵn	[1]川穿村	[2]全泉传{～达}存	[3]窜喘忖	[5]串寸		
ʃɵn	[1]闩酸拴宣喧孙	[2]旋船	[3]选损	[5]羡{又}算	[9a]蒜	
jɵn	[1]冤渊	[2]元完园圆员缘沿铅原源袁辕	[3]皖阮	[4]软远	[5]愿怨县	[9b]丸院
kɵn	[1]捐绢	[3]卷{～起}卷{试～}	[5]建键健犍眷倦券			
kʰɵn	[2]乾{～坤}虔拳权颧					
hɵn	[1]圈{圆～}	[2]援玄眩悬	[3]犬	[5]劝圈{猪～}		
pin	[1]鞭边	[3]贬扁匾	[5]变辨辩汴便{方～}	[9a]辫		
pʰin	[1]编偏蝙篇	[2]便{～宜}	[5]骗遍{一～}遍{～地}片			
min	[2]绵棉眠	[3]缅	[4]免勉挽	[5]面{脸}面{～条}		
tin	[1]踮颠癫	[3]点典腆	[5]店抵电殿奠佃垫{坐～}			
tʰin	[1]天添婖	[2]甜田填				
