#ɿ
p[1]屄[3]鄙比
d[2]檀坛={天~}弹{~琴}潭谭谈痰坦□{疯疯颠颠}[6]诞淡弹{子~}蛋
n[2]男难{~易}南={~京}[5]难{患~}
l[2]蓝篮兰拦栏[3]览揽榄缆懒[6]烂滥
ts[1]簪=瞻㔍[3]斩盏栈展攒[5]蘸暂站{~立，车~}占赞绽战
tsʰ[1]参搀餐[3]惨铲产[5]忏灿颤
s[1]三杉衫珊删[3]闪陕散{鞋带~了}[5]散{分~}禅{~让}善膳单{姓氏}
sʱ[2]蚕惭馋谗蟾残蝉禅[6]□{动词，奔跑，瞎~：乱跑}
z[2]然燃[3]染={~染}冉
k[1]甘尴肝干{水份少}干{~支}间{房~}干{动词，~杯}甘[3]感敢橄杆{稻~}杆拣[5]干{~部}干{打架，~你一顿：打你一顿}间{~脚：走路小心躲避}
kʰ[1]堪勘刊[3]坎砍[5]看=
ɲ[1]淹庵安={~全}鞍[3]眼[5]暗岸案晏按
h[1]憨[3]喊罕[5]汉
ɦ[2]□{□na~~子：骂男孩的称呼，相当于“兔崽子”}含函咸衔寒韩[6]陷苋撼憾旱焊翰

#uɛ
d[2]团={~员}
n[3]暖={~气}
k[1]观={参~}关官={贪~}[3]管={~理}管={~道}馆={博物~}[5]贯观{道~}冠={~军}惯
kʰ[1]宽={用于人名}[3]款={存~}
h[1]欢={~迎}[3]缓
ɦ[2]桓环还={~原}[6]掼幻患宦
∅[1]弯湾[2]玩完={~蛋}顽晚挽还-{~钱}[3]皖[5]腕

#ʮɛ
tθ[1]专={~家}[5]撰篆传{~记}
θ[1]闩栓
θʱ[2]传={~播}[6]赚

#o
p[1]包胞[3]保宝饱[5]报豹爆曝
pʰ[1]抛[5]泡炮
b[2]袍跑雹[6]抱暴鲍刨
m[1]猫[2]毛□{地里~了：地里面长了杂草}茅矛[5]冒帽貌贸
t[1]刀{名词，剪~}刀{量词，一~纸：一沓纸}[3]祷岛倒导[5]到倒
tʰ[1]掏涛[3]讨[5]套
d[2]桃逃淘陶萄[6]□{一直提问，~kʊ⁰：打破砂锅问到底的人}道稻盗
n[1]孬[3]脑[5]闹
l[1]捞[2]劳牢[3]老[5]涝烙酪□{流体不粘稠，粥太~个：粥太稀了}
ts[1]遭糟朝{今~}招[3]早枣蚤澡找沼[5]躁灶罩兆召照赵=
tsʰ[1]操抄钞超[3]草炒吵[5]糙□{摩擦接触导致物品弄脏或磨损，~脏死个：与脏东西接触导致衣物弄脏了}
s[1]骚捎梢稍烧[3]扫嫂少{数量少}[5]臊扫少{年纪小}
sʱ[2]曹槽巢勺芍朝{~向}潮[6]皂绍邵韶造赵-
z[2]饶[3]扰[5]绕
k[1]高糕羔膏竿哥教-{~不会：教不会}[3]稿搞[5]告觉-{困~：睡觉}酵-{老~：用于发酵的面团}
kʰ[1]敲[3]考烤[5]靠犒
ŋ[1]□{~腰：糟蹋钱}[2]熬[3]袄咬[5]懊坳傲
h[1]蒿薅□{咸肉变质}[3]好{~坏}郝[5]好{爱~}耗
ɦ[2]豪毫[6]号浩
∅[5]奥澳

#io
p[1]标彪[3]表
b[2]薸朴{姓氏}嫖瓢
pʰ[1]飘漂[5]票漂{~亮}
m[1]苗描棉{~花}[3]秒[5]庙妙谬
t[1]刁貂雕□{口头提及}[3]屌[5]钓吊
tʰ[1]挑[3]□{更换，~一家：更换一家}[5]跳
d[2]条调{~料}[6]调{音~，~动}掉
n[3]鸟
l[2]燎辽聊□{将蔬菜焯水}[3]了[5]廖料
tɕ[1]交郊胶教={~书}焦蕉椒骄娇矫浇[3]饺绞狡搅剿缴侥角={货币单位}饺□{性格挑剔}[5]较叫窖轿
tɕʰ[1]敲锹悄□{女孩子做作、矫情}[5]俏鞘窍跷
ɕ[1]消销霄硝宵嚣箫萧枵[3]小晓[5]笑孝校效酵={发~}
ɕʱ[2]瞧乔桥荞侨[6]轿撬
∅[1]妖腰邀要[2]窑谣姚[3]舀[5]要耀尧鹞跃

#e
p[3]摆[5]拜
pʰ[5]派
b[2]排牌[6]稗败
m[1]埋[3]买[5]卖迈
t[1]呆[5]戴贷带
tʰ[1]胎[5]态太泰
d[2]台苔抬[6]待怠代袋大-{~蒜}汏
n[3]奶[5]耐奈
l[1]□{~草：拔草}[2]来[5]赖癞
ts[1]灾栽摘[3]宰载[5]再寨
tsʰ[1]车猜差{出~}[3]彩采睬扯{~谎}[5]菜蔡
s[1]筛[5]赛晒
sʱ[2]才材财裁才腮鳃豺柴[6]社射在
k[1]该街[3]改解-[5]概溉盖丐戒界-{世~}
kʰ[1]开揩[3]楷凯慨
ɲ[1]挨[3]矮[5]碍艾爱□{做事磨磨蹭蹭。~□pe⁴³⁵□pe⁴³⁵则：磨磨蹭蹭}
h[1]□{老~：称呼语，近似于“兄弟”}[3]海蟹[5]□{~~：估计，猜测}
ɦ[2]鞋[6]亥害
∅[1]哀埃[3]蔼

#ie
tɕ[3]解=姐={~~}

#ue
k[1]乖[3]拐[5]怪
kʰ[5]快块会{~计}筷
h[5]□{用棍子拨动，~过来：拨过来}
ɦ[2]怀槐淮[6]坏=
∅[1]睡-歪[5]外

#ʮe
tθ[5]拽{拖~}
tθʰ[1]揣□{~面粉：揉省面团}[5]踹
θ[1]靴衰摔衰□{动词，丢弃}[5]率蟀帅

#ʊ
p[1]搬[5]半绊
pʰ[1]潘-{姓氏}拼{~死：拼命，不怕死}[5]判-{~案子,~变}
b[2]盘{~子}□{玩弄，指玩弄物品或小动物}盘{动词，~起来}□{动词，被野生动物、老鼠吃了或污染糟蹋了}[6]伴拌
m[1]摸[2]魔磨{动词，~刀}摩馍模摩谋瞒馒鳗膜[3]某亩母拇满[5]磨{名词，石~}暮慕漫幔墓
t[1]端[3]短
tʰ[1]贪-{~心}[5]毻
d[2]团-{~结、~~转}团-{~子}坛-{咸菜~}[6]断锻段缎
n[2]南-{~边}[3]暖-{大天~：夏天}
l[2]□{赶走}[3]卵[5]乱
ts[1]粘沾钻{动词}专-{~门}砖簪-{~子}[3]转{~手}[5]钻{~子}转{~圆圈}
tsʰ[1]穿川□{动词，急速跑}[3]喘[5]串窜蹿□{~时光：浪费时间}
s[1]酸[5]扇蒜算
sʱ[2]传-{~下去}缠船椽[6]善鳝
z[3]软染-{~颜色}
k[1]观-{~音菩萨}官-{当~的}冠-{鸡~子：鸡冠}干{~湿}棺[3]赶管-{~小孩}管-{水~子}馆-{饭~}[5]罐灌
kʰ[1]宽-{~度}看-{~羊子：放羊}[3]款-{拨~}[5]看-{~到}
h[1]欢-□{吃~个：闲着没事瞎忙活}[5]唤
ɦ[2]涵[6]汗换
∅[1]豌安-{平平~~}[2]丸完-{~成}[3]碗

#əi
p[1]杯碑卑悲[5]背{后~}贝被{~迫}□{粘贴}
pʰ[1]胚坯丕[5]配佩
b[2]培陪赔裴焙[6]备币倍辈背{~书}被{棉~}
m[2]玫梅枚媒煤莓眉楣霉[3]每美[5]妹昧媚寐
f[1]非飞妃菲[3]匪翡[5]痱费废肺□{形容儿童调皮、顽皮}
fʱ[2]肥
t[1]堆[5]对队兑
tʰ[1]推[3]腿[5]退蜕褪
l[2]雷[3]儡垒[5]内累擂累{连~}类泪
ts[3]嘴[5]罪醉最
tsʰ[1]催崔[5]翠粹脆
s[1]虽尿[5]碎岁遂隧
sʱ[2]贼

#ui
k[1]规归龟[3]诡跪=轨鬼[5]桂贵
kʰ[1]盔亏窥[2]傀逵[3]跪-[5]溃愧
h[1]恢灰麾辉挥徽[3]悔毁[5]贿晦
ɦ[2]回茴葵[6]汇绘惠慧会={班~}
∅[1]微威煨危[2]维惟唯围违为{行~}[3]伪尾委伟苇纬[5]位畏尉慰胃卫为{~什么}味会-{不~}未喂

#ʮi
tθ[1]捐追绢锥娟[3]卷{~起来}[5]坠=倦眷卷{试~}
tθʰ[1]圈吹炊[3]犬[1]劝券
θ[1]轩喧虽[3]水选[5]税
θʱ[2]垂槌锤槌拳权玄悬眩全泉宣旋随髓[6]旋{~风}隧遂睡=坠
∅[1]冤渊[2]圆园源缘元原源袁辕援[3]蕊远[5]锐瑞院愿怨

#ən
p[1]奔{~跑}锛[3]本[5]奔笨
pʰ[1]喷{~水}
b[2]盆
m[2]门[5]棚闷
f[1]分芬纷[3]粉[5]粪奋愤忿
fʱ[2]焚[6]份={~量}
t[1]敦墩蹲灯登[3]等[5]顿凳瞪邓饨
tʰ[1]吞□{~水:在过或炉子里盛水}
d[2]屯豚臀腾藤誊疼[6]盾钝
n[2]能[5]嫩
l[2]仑轮伦沦[3]冷[5]论楞
ts[1]砧针斟珍臻榛真尊曾{姓氏}增征蒸争筝睁贞侦正{~月}征[3]枕枕诊疹拯整[5]镇阵振震圳憎赠证症锃郑正{~确}政
tsʰ[1]村参僧称{~重量}撑[3]逞[5]趁衬寸蹭称{一杆~}称{相~}
s[1]森参深身申伸娠孙升生牲笙甥声[3]沈婶审损笋榫省{~长}省{节~}[5]渗肾慎胜{~任}胜{~利}圣盛{兴~}
sʱ[2]存沉沉陈尘神晨辰臣澄层曾{~经}惩橙乘绳承丞橙程呈成城诚盛{~饭}[6]剩{~下}甚
z[1]扔[2]壬任人仁仍[3]忍[5]任纫认刃韧
k[1]今跟根更{~改}庚羹耕[3]粳哽埂梗耿[5]更{~加}
kʰ[1]坑吭[3]垦恳龈肯[5]□{老~：污渍}
ŋ[5]硬
h[1]亨哼[3]很
ɦ[2]痕恒横=[6]恨横{蛮~}
∅[1]恩

#in
p[1]宾彬槟冰兵[3]禀丙秉柄饼[5]鬓殡并
pʰ[1]拼[3]品[5]聘姘
b[2]贫频凭平坪评瓶屏萍[6]病
m[1]民明鸣名铭暝[3]闽皿敏悯抿[5]命
t[1]丁钉疔[3]顶鼎[5]钉{~住}订锭
tʰ[1]听{~见}厅汀听{~听}[3]挺艇[5]听{~牌}
d[2]亭停廷庭蜓[6]定
n[2]凝宁{安~}灵零铃伶翎鳞邻磷陵凌菱[5]宁{~可}佞吝
l[1]拎[2]林淋临玲[3]领岭[5]赁令另
tɕ[1]津巾斤筋茎金禁襟京荆惊鲸精晶睛腈经{~书}经{~过}经{~纬线}屉[3]紧仅谨颈锦景警井□{将肉焯水}[5]尽进晋尽劲浸禁境敬镜竟竞静靖
tɕʰ[1]亲轻侵钦卿清请青蜻倾[3]寝[5]亲{~家}揿磬庆
ɕ[1]辛新薪欣兴{~旺}心星腥馨[3]醒省{反~}性姓[5]信衅兴{高~}幸
ɕʱ[2]勤芹秦行{~为}行{品~}寻琴禽擒擎情晴形型刑顷□{赚,~钱：赚钱}[6]净杏近
∅[1]因姻殷应{~当}蝇婴缨音阴荫莺鹦樱英[2]银盈赢楹吟淫迎营萤[3]引寅隐饮影颖[5]印应{~对}映

#uən
k[3]滚捆[5]棍
kʰ[1]昆坤[5]困
h[1]婚昏荤[5]混
ɦ[2]魂馄浑横-[6]□{~子：青鱼}
∅[1]温瘟[2]坟文蚊纹闻[3]稳吻刎[5]份-问

#ʮən
tθ[1]均军君遵肫[3]准[5]菌俊郡
tθʰ[1]椿春[3]蠢
θ[1]熏勋薰[5]讯殉舜训
θʱ[2]荀旬巡循唇纯醇群裙[6]顺
z[2]匀云[3]允[5]润闰熨运韵晕孕

#oŋ
p[1]崩[5]蚌蹦
pʰ[1]喷{~香}烹[3]捧
b[2]朋彭膨棚篷蓬
m[1]懵[2]蒙萌盟[3]猛[5]梦孟
f[1]风枫疯丰封蜂峰锋[3]讽
fʱ[2]冯缝{~线}逢[6]凤奉缝{一条~}俸
t[1]东冬[3]懂董[5]栋冻
tʰ[1]通[3]统桶捅筒[5]痛
d[2]同铜桐童瞳[6]动洞
n[2]农脓浓[5]糯
l[2]笼聋隆龙[3]拢陇垄[5]弄
ts[1]宗综棕踪鬃[3]总[5]纵
tsʰ[1]聪葱囱
s[1]松嵩[5]送宋诵颂讼
sʱ[2]怂从
k[1]公工蚣功攻弓宫躬恭[3]拱巩汞[5]贡供共
kʰ[1]空{~虚}[3]孔恐[5]控空{~缺}
h[1]轰烘[3]哄{~骗}[5]哄{内~}
ɦ[2]虹弘宏红洪鸿虹
∅[1]翁嗡

#ʮoŋ
tθ[1]中{~间}终忠钟盅[3]种{~类}迥肿[5]中{射~}仲众种{~树}
tθʰ[1]充冲{~锋}舂[3]宠[5]铳冲{态度不好}
θ[1]兄胸凶
θʱ[2]熊雄从重{~复}琼穷丛虫崇[6]重{轻~}
∅[1]拥庸[2]荣绒戎融茸冗容蓉镕[3]永泳咏勇涌[5]用

#aʔ
p[7]八剥
b[8b]拔
m[8a]抹
f[7]法发砝
fʱ[8b]乏罚伐筏
t[7]答搭沓沰{被水淋，~雨：淋雨}
tʰ[7]踏{~步}拓塔榻塌□{~落个：掉了，遗失了}
d[8b]踏{~板，脚~车}达
n[8a]□{~hɛ¹³hɛ¹³则:调皮捣蛋的孩子}捺□{用手指按，~手印}衲纳娜纳
l[8a]腊蜡落癞辣
ts[7]扎眨札斫
tsʰ[7]插擦察
s[7]萨杀煞
sʱ[8b]闸炸{用油~}着{睡~，~火}□{动词，传染，~人：传染人}杂铡
k[7]夹
kʰ[7]掐[3]卡扼
ŋ[8a]鸭押压-
h[7]瞎
ɦ[8b]盒

#iaʔ
tɕ[7]甲胛蔗觉={自~}脚
tɕʰ[7]恰雀鹊□{找~头:挑毛病，找麻烦}[8a]恰确
ɕ[7]狭峡削辖
ɕʱ[8b]学嚼
∅[8b]药钥䞁{比长短}压=

#uaʔ
k[7]刮角{动物的角}
kʰ[7]括壳
h[7]豁{~口：缺口}
ɦ[8b]滑猾
∅[7]挖[8a]袜

#ʮaʔ
tθʰ[7]戳
θ[7]刷□{舔舐：~小糖}

#ɤʔ
p[7]钵拨不勃博泊驳北百伯柏
pʰ[7]泼迫拍魄扑{~过来}
b[8b]白帛薄{~荷}
m[8a]没{沉~}墨默寞莫陌麦脉木目牧末沫
f[7]腑覆佛{仿~}佛{~教}福幅蝠复
fʱ[8b]服伏
t[7]□{拄}得德独读牍犊督笃
tʰ[7]脱突托秃特
d[8b]铎踱毒夺
n[8a]诺
l[8a]捋勒录骆络洛乐鹿禄六陆绿
ts[7]折{~断、打~}褶执蛰哲浙质泽择窄足汁{~水}只作卒则织职殖植责族仄
tsʰ[7]撤彻拆赤尺斥吃侧策册[8a]厕测
s[7]涩湿设虱失室佘施识适释速缩色[8a]诉续涉摄啬
sʱ[8b]十什拾舌实折{~本，腿~了}直瑟值石食蚀
z[8a]热日
k[7]鸽割葛角{铅~子：硬币}格隔革戈各阁搁
kʰ[7]磕咳[8a]去刻{时~}刻{刀~}克客
ŋ[8b]额
h[7]喝{~水}吓赫黑
ɦ[8b]荷{薄~}合鹤核{审~，~桃}

#ieʔ
p[7]别{区~}鳖憋笔毕必逼壁碧璧
pʰ[7]撇劈
b[8b]别{~针}鼻
m[8a]灭列烈裂篾密蜜
t[7]跌滴的{目~}嫡
tʰ[7]帖贴铁踢剔
d[8b]叠碟蝶牒谍笛狄敌
n[7]孽捏[8a]聂镊蹑虐疟
l[8a]劣栗立笠粒猎裂列烈略掠力历{~史}历{日~}肋
tɕ[7]接捷睫劫缉集辑急级给{补~}杰揭结洁节疾吉绩杰节疾吉即鲫极籍藉击激及截阶接截[8a]介界={张家~}届
tɕʰ[7]切妾□{动词，把头低下来或者人半蹲下来}怯七漆戚{姓氏}
ɕ[7]协胁习袭吸薛泄蝎屑{不~}屑{木~}楔{~子}歇雪穴血膝悉□{面粉}息媳熄惜昔夕锡析歇[8a]谢械泄
ɕʱ[8b]协绝{~种，~八代：绝后}及席{主~}席{凉~}
∅[7]揖噎乙一[8a]叶页业咽{~下}液腋

#uɤʔ
k[7]骨郭国谷
kʰ[7]阔窟哭[8a]扩廓
h[7]忽
ɦ[8b]霍或惑获核{果~}活{生~}
∅[7]屋[8b]活卧握物

#ʮɤʔ
tθ[7]绝{~对，做事太~}拙酌浊捉觉竹筑逐轴粥菊掬烛倔掘决诀橘爵局粥卓桌琢啄
tθʰ[7]出畜触缺曲{酒~}缺
θ[7]说{~书的}叔淑俗术
θʱ[8b]属镯熟赎
∅[7]约[8a]悦阅入悦粤越弱若月岳肉育乐{音~}

#ŋ̍
∅[1]□{什么，表示疑问}[3]我[5]□{行，是的，表示肯定回应}[9]□{不行，不是，表示否定}
