pi[1]碑卑蓖□{河， 大~}弼
hi[3]喜起
hi[5]戏器弃气汽
i[1]伊医衣依
i[2]移夷姨
i[3]倚椅
i[4]已以
i[5]意异翼亿
i[6]易
pu[2]菩脯扶符芙
pu[3]补斧
pu[4]簿傅父妇俘
pu[5]布怖
pu[6]部步赴附腐埠{~头：码头}
pʰu[1]铺副
pʰu[3]蒲谱普浦甫辅
pʰu[5]铺
mu[1]模{模具}
mu[2]无模{~糊}
mu[3]舞{动词，弄。 你又舞乱间房：你又把房间弄乱了。《儒林外史》第三回：“众邻居一齐上前，替他抹胸口，捶背心，舞了半日，渐渐喘息过来，眼睛明亮，不疯了。”}
mu[4]武舞{名词：舞蹈}鹉母拇牡
mu[6]务雾募
fu[5]赋
tu[1]租□{形容词， 快， ~~去脱：很快地离开了}
tu[2]徒屠途涂图
tu[3]祖组
tu[4]杜肚{肚皮}
tu[5]做
tu[6]度渡镀妒
tʰu[1]粗
tʰu[3]土□{买： ~西瓜}
tʰu[5]吐{呕~}兔醋
nu[2]奴
nu[4]努
nu[6]怒
θu[1]苏酥
θu[4]□{动词， 捡， ~起身：捡起来}
θu[5]素诉
lu[1]都{信~：地名}
lu[2]庐炉芦鸬
lu[3]堵赌肚{猪~}
lu[4]鲁橹
lu[6]路露鹭
ʧu[2]喌{喌喌： 呼鸡声。《广韵·屋韵》：喌，之六切，呼鸡声，亦作咮。本为入声字，因为呼唤时一般会拉长声音， 音节时长延申，可能由此导致塞音韵尾脱落。}□{模~：模糊}
ku[1]姑孤箍□{~□[θat13]：蟑螂}
ku[3]古估牯股鼓箇{指示代词，这， ~度：这里}
ku[5]故固雇顾
kʰu[1]枯窟
kʰu[5]酷
hu[1]肤乎呼敷𣗺{名词，花生芝麻等把油榨出来后剩下的残渣， 以前一般为圆饼状，现在一般为薄片状。 《集韵·模韵》： 𣗺， 空胡切， 𣗺饼。}
hu[3]苦虎浒府腑俯
hu[5]{ }库裤恶{可~}戽{~斗：一种取水灌田用的旧式铁制农具，形状像斗， 两边有绳子，使用时两个人对站，通过拉动绳子把水从低处打捞上来，灌进田里。也有中间装有一根棍子，单人取水时使用的}
u[1]巫乌污侮捂{~倒：捂住}
u[2]胡湖狐壶葫胡
u[4]户沪互护
u[6]芋
tʰy[1]蛆
tʰy[3]取娶
tʰy[5]趣
ny[4]女
θy[1]须需
θy[2]徐
θy[6]序叙绪聚
ly[2]驴
ly[3]□{动词， 用手指指着}
ly[4]吕旅履里{~面}屡
ly[6]虑{考~}滤
ʧy[1]猪诸诛朱珠□{~□[an44]： 知了}
ʧy[3]煮主
ʧy[5]驻注注蛀铸
ʧy[6]著
ʧʰy[1]□{~□[hy53]： 不精神的样子}
ʧʰy[5]处杵
ȵy[2]鱼渔愚娱
ȵy[4]语
ȵy[6]遇寓
ʃy[1]书舒输殊
ʃy[2]除储薯厨
ʃy[3]暑鼠署数{动词}
ʃy[4]竖
ʃy[5]数{算~}
ʃy[6]箸住树
ky[1]居车{~马炮}拘驹
ky[2]渠佢蜍
ky[3]举矩
ky[5]据锯句
ky[6]距具俱拄{~拐杖}
kʰy[1]趋区驱
hy[1]虚嘘墟圩
hy[4]许
hy[5]去
y[1]淤
y[2]余迂于盂榆逾愉
y[4]与雨宇禹羽辱
y[6]御誉预豫{犹~}喻{比~}裕{富~}
pa[1]巴芭笆
pa[2]耙爬琶杷{枇~}
pa[3]把□{遮， ~贴：遮住}
pa[5]霸坝伯罢
pʰa[1]趴□{~□[θa53]：形容词，十分破烂的样子}
pʰa[5]怕帕
ma[1]□{动词， 伸手去够， ~不到：够不到}
ma[2]麻蟆{蛤~}
ma[3]妈
ma[4]马码
ma[5]{ }孭{动词， 背负， ~书包：背书包。方言俗字}□{口水~： 围嘴}
fa[1]花{}
fa[5]化
tʰa[1]他她它
na[1]疤
na[2]拿{桑~}
na[3]□{~□[nɒŋ35]： 关系、联系}
na[6]乸{吾~： 伯母}
θa[1]卅□{□[pʰa53]~：形容词， 十分破烂的样子}
θa[3]洒
la[1]□{动词}， {用手拨开}
la[3]打
la[5]□{动词， 用手摸}
ʧa[1]渣抓楂{山~}
ʧa[3]□{豆~： 豇豆晒干后腌制而成的酸菜}
ʧa[5]诈炸榨乍
ʧʰa[1]叉差
ʧʰa[5]杈岔
ȵa[1]□ {动词， 抓， 你~把瓜核返屋：你抓一把瓜子回家}
ʃa[1]沙砂纱莎
ʃa[2]茶查搽
ʃa[4]□{动词，摸， ~嘢：摸着找东西}
ʃa[5]□{动词， 玩，到处~~：到处玩玩}
ʃa[6]□{动词， 藏， ~起身：藏起来}
ka[1]家加痂嘉
ka[3]假贾
ka[5]架{名词,架子，衫~：衣架}嫁稼芥
ka[6]{ }架{动词，搭建，你去把阿□[nɔ53]棚~好：你去把那个棚搭建好|量词，一~飞机}
kʰa[1]揢{动词，用手把东西掐住、握住，揢实：握紧。《广韵· 陌韵》： 揢， 苦格切， 手把著也。《集韵· 麻韵》： 丘加切。}
ŋa[2]牙芽衙
ŋa[4]雅瓦
ha[1]虾哈□{动词， 欺负}
a[1]鸦丫亚
a[3]阿哑{口~}
a[4]夏厦下□{远指代词， □阵：那时候}
a[6]霞瑕
tia[5]借
tʰia[3]且
tʰia[5]笡{形容词，斜，箇条墙咁笡：这面墙很斜。《广韵· 祃韵》： 笡，迁谢切，斜逆也。}
nia[5]□{背： ~人}
θia[1]些
θia[2]斜邪
θia[3]写
θia[5]泻卸懈□{动词， 吃， ~咯：吃吧}
θia[6]谢
ʧia[1]遮
ʧia[3]者
ʧia[5]蔗
ʧʰia[1]车
ʧʰia[3]扯
ȵia[4]惹嘢{名词，东西， 方言俗字}
ʃia[1]奢赊佘
ʃia[2]蛇
ʃia[3]舍{~得}
ʃia[4]社
ʃia[5]赦舍{宿~}
ʃia[6]射麝
kia[1]□{叹词， 表示然后}
ia[1]耶爷椰树
ia[4]也野
ia[6]夜
kua[1]瓜
kua[3]寡剐
kua[4]□{动词，用~□[ȵau53]（一种用于晾晒稻谷等农作物的工具，形状如爪子）把东西散开}
kʰua[1]夸
kʰua[5]跨
ua[1]洼
ua[2]华桦
mɒ[4]□{否定副词，不， ~晓：不知道}
nɒ[1]□{量词，个，一~}
puɒ[2]婆
fuɒ[3]火伙
fuɒ[5]货
kuɒ[1]□{动词，消耗尽， 火~了：火完全熄灭了。}
kuɒ[3]{ }果馃{名词，一种油炸的面食物， ~条}□{~□[mi35]： 鸟}
kuɒ[5]过
kʰuɒ[1]科课
ŋuɒ[4]我
uɒ[1]涡窝蜗
uɒ[2]和禾
uɒ[5]涴{形容词，脏。 间房咁涴也□[mɒ33]扫扫：房间这么脏也不扫扫。 《广韵·过韵》：涴，乌卧切，泥著物也。 元戴善夫《风光好》第一折： “这一堵素光白壁，谁写字在上头，涴了这壁子。”}
pɛ[1]啤
pʰɛ[3]牌
mɛ[2]嬷{吾嬷：奶奶。《字汇· 女部》：嬷……俗呼母为嬷嬷。我们认为信都土话的“mɛ}[2]{”的本字是“嬷” ，语义由“母亲” 演变为“奶奶” 。}
mɛ[5]孖{双~：成对的}
tɛ[1]□{拟声词：打脸声}
tɛ[4]□{~□[tɒn13]：很颠簸}□{~淡：味道很谈}
tɛ[5]姐
nɛ[1]□{叹词，在对话中起提示作用}
nɛ[2]□{~□[nɒn33]：很腻}
nɛ[3]□{叹词，表示埋怨：怎么这样}
nɛ[5]□{形容词， 小}
nɛ[6]□{叹词，在对话中表示责怪语气}
lɛ[3]□{~□[lɒt53]：绳子腐朽、不结实的样子}
kɛ[2]茄
kɛ[5]□{带有观察目的地看}
kʰɛ[1]□{屎， 屙~：拉屎}
kʰɛ[3]□{瓣， 一~西瓜}
kʰɛ[5]□{弯曲， ~□[hɛu35]：弯曲的样子}
ɛ[2]□{叹词，表示应答： 嗯}
uɛ[2]□{阿~： 婴儿}
pɔ[1]褒煲
pɔ[2]袍醭
pɔ[3]保堡宝
pɔ[4]{ }抱□{名词， 泡泡，箇种洗衫粉熟出不止多~：这种洗衣粉会有很多泡泡}
pɔ[5]报暴爆
pɔ[6]爆菢{动词，孵。 头鸡在阿□[lek53]菢蛋：鸡在那里孵小鸡。《广韵·号韵》： 菢， 薄报切，鸟伏卵也。 明徐光启《农政全书》卷四一：“养鸡不菢法：母鸡下卵时，日逐食内夹以麻子喂之，则常生卵不菢。”}□{量词， 串：一~锁匙}
pʰɔ[1]藨{果名。莓的一种，果实熟时为红色，果实中空。《广韵·豪韵》： 藨， 普袍切， 醋梅，可食。《尔雅·释草》：“藨，麃。”郭璞注：“麃即莓也，今江东呼为藨莓子，似覆盆而大，赤，酢甜可啖。”}
mɔ[2]毛
mɔ[6]冒帽
tɔ[1]{ }遭糟□{动词，撒娇式地烦扰： □来[mɔk13]~我：别来烦扰我}
tɔ[2]桃淘陶萄绹{动词，绑， 绹实：绑紧，《广韵·豪韵》：绹， 徒刀切，尔雅曰绹绞也，谓纠绞绳索也。}
tɔ[3]早枣
tɔ[4]导蹈
tɔ[5]灶
tɔ[6]道稻盗
tʰɔ[1]滔涛操糙
tʰɔ[3]讨草
tʰɔ[5]套躁燥
nɔ[4]脑恼
nɔ[6]痨{动词，毒， 痨死头老鼠：毒死只老鼠。《广韵·号韵》：痨，郎到切，痨痢恶人，说文曰朝鲜谓饮药毒曰痨。}
θɔ[1]骚臊
θɔ[2]曹槽嘈吵
θɔ[3]嫂
θɔ[5]扫{□[lek53]}
θɔ[6]{ }造□{量词， 指一年能种粮食的次数，早~：一年两次播种的前面一次}
lɔ[1]刀捞{~钱：赚钱}
lɔ[2]劳牢
lɔ[3]祷岛倒佬
lɔ[4]老姥□{~~： 呼狗声}
lɔ[5]到
lɔ[6]涝
ʃɔ[6]傻
kɔ[1]高膏篙羔糕
kɔ[2]□{动词， 搅拌， ~匀：搅拌均匀}
kɔ[3]稿□{助词， 的，我~：我的}
kɔ[5]告
ŋɔ[1]爊
ŋɔ[2]𢳆{动词，摇动， 𢳆下果子就跌落了：摇一下果子就掉下来了。《集韵·号韵》： 𢳆，鱼到切，动也。}
ŋɔ[5]傲
hɔ[1]{ }蒿{茼~}薅{~田：用脚把田里的草踩死的农作过程。}
hɔ[3]好{形容词}
hɔ[5]好{动词，喜欢，佢~饮酒：他喜欢喝酒}
ɔ[2]豪毫□{叹词，表示知道了}
ɔ[5]懊
ɔ[6]浩号耗
pœ[1]波菠{~萝}玻{~璃}
pœ[5]簸{~箕}
pʰœ[1]颇坡棵{一~树}
pʰœ[5]破剖
mœ[1]魔摩摸
mœ[2]磨馍
mœ[3]□{~□[hœ44]呆愣的样子}
mœ[6]{ }磨{名词，用来把豆、米等粮食磨成粉末或者浆水的工具}
tœ[1]搓
tœ[2]驼陀驮{动词，怀孕， ~崽：怀孕。《广韵· 歌韵》： 驮， 徒河切， 驮骑也。由牲口负物，引申为人或者动物怀孕。《北齐书·彭城景思王浟传》：“又有一人从幽州来，驴驮鹿脯。”}砣舵
tœ[3]{ 水~糍：一种用糯米、花生碎、糖制作而成的糍粑 }
tœ[5]左佐□{~□[nœ35]：垂下的样子}
tʰœ[1]拖
tʰœ[3]妥椭
nœ[1]□{动词，搓}
nœ[2]挪
nœ[5]糯
θœ[1]蓑梭嗦
θœ[3]锁琐
θœ[4]坐
θœ[6]座
lœ[1]多箩啰
lœ[2]骡螺脶锣
lœ[3]朵躲
lœ[4]裸□{碰， □[mɔk13]~我：别碰我}
ʧœ[3]阻□{量词， 簇， 一~花}
ʧʰœ[1]初
ʧʰœ[3]楚础
ʃœ[1]梳疏蔬
ʃœ[2]锄
ʃœ[3]所
ʃœ[5]助
kœ[1]歌哥
kœ[3]□{辣子~：酸料}
kœ[6]□{切， ~开}
kʰœ[1]□{叹词， 形容严厉地说话}
kʰœ[3]可
ŋœ[1]□{屎，儿语， 屙~：拉屎}
ŋœ[2]蛾{飞~}鹅娥俄
ŋœ[3]□{~□[hœ44]： 笨拙的样子}
ŋœ[6]饿
hœ[1]靴
hœ[3]□{□[ŋœ44]~：呆愣的样子}
œ[2]河何荷
œ[3]阿{~胶}屙{动词，排泄， ~屎：拉屎}
œ[5]□{动词，蹭，触碰到， □[lek53]□[lek53]~湿： 处处都蹭湿了}
œ[6]贺
pai[2]排牌簰
pai[3]摆
pai[5]拜
pai[6]败
pʰai[5]派
mai[2]埋
mai[4]买
mai[6]卖迈
fai[5]块快筷
tai[6]大
tʰai[5]太态泰
nai[4]奶乃
θai[1]㩄{浪费.动词/形容词，浪费，咁㩄：这么浪费。《集韵·皆韵》： 㩄，山皆切，散失也。}
θai[5]□{完全，尽。够力~： 累极了}
lai[1]拉
lai[2]□{名词， 粘稠物， 滑~：黏黏的流体}
lai[5]戴带姼{~婆：外婆}□{茄子： ~瓜}
lai[6]赖癞攋{动词，遗， 攋尿：尿床。《集韵· 骇韵》：攋， 洛骇切， 把攋，弃去也。}
ʧai[1]斋
ʧai[5]债
ʧʰai[1]{ }钗差{出~}猜{~码：一种喝酒时玩的猜拳娱乐游戏}
ȵai[3]踩□{□[kɒp53]~： 蝌蚪}
ʃai[1]□{什么， ~事}
ʃai[2]柴□{~□[hai53]： 丑陋的样子}
ʃai[4]舐{动词，舔， 头狗舐净□[nɒ53]碗： 狗把碗舔干净。《广韵· 纸韵》： 舐， 神帋切，以舌取物。}
ʃai[5]晒
ʃai[6]寨
kai[1]皆阶佳街
kai[3]解
kai[5]介界尬戒届诫□{坡， 上~：上坡}刉{动词，锯， 刉断条木： 把木头锯断。《集韵· 泰韵》： 刉， 古外切， 说文，划伤也，一曰断也。又代韵，居代切，割也。}
kai[6]□{动词， 压， ~实：压紧}
kʰai[1]□{打， ~架}
ŋai[1]搋{动词，用手掌压、揉，让搀入的东西和匀， 搋面整糍：揉面做糍粑。《广韵·皆韵》： 搋， 丑皆切：以拳加物。}
ŋai[2]涯崖捱□动词， {拖延， ~时间}
ŋai[6]挨艺
ai[2]鞋
ai[4]懈
ai[6]械
iai[5]□{用手拨弄水，把□ [lek53]水全部~出：把水全都拨出去了}
kuai[1]乖
kuai[3]拐□{~~： 反正}
kuai[5]怪
kʰuai[5]筷
uai[1]歪
uai[2]怀槐淮
uai[6]坏
pɒi[4]□{吾~： 母亲（背称）}
pɒi[6]陛闭币敝
pʰɒi[1]批𠜱{动词， 削， 𠜱苹果。《广韵· 齐韵》： 𠜱，匹迷切， 𠜱斫。《集韵· 齐韵》： 齐韵， 𠜱，篇迷切，削也。}
mɒi[1]□{找： ~见你了}
mɒi[2]迷谜
mɒi[3]□{捉迷藏}
mɒi[4]米
mɒi[5]□{阴茎： ~毛}
tɒi[1]剂
tɒi[2]堤题提蹄啼
tɒi[3]崽
tɒi[4]弟
tɒi[5]祭济
tɒi[6]第递
tʰɒi[1]妻梯差屉
tʰɒi[3]体睇{~牛：放牛}
tʰɒi[5]替剃惕睇{看， 你自己~~}
nɒi[2]尼泥
θɒi[1]西犀
θɒi[2]齐脐荠□{完：吃~}
θɒi[3]洗
θɒi[5]细婿
lɒi[1]低□{哪里：去~}
lɒi[2]犁黎
lɒi[3]底抵
lɒi[4]礼
lɒi[5]帝□{啃： ~鸡腿}
lɒi[6]隶励丽
ʧɒi[5]制掣
ȵɒi[1]□{掐、 拧， ~脱条菜：把这根菜掐掉}
ȵɒi[4]蚁
ȵɒi[6]□{肉：吃~}
ʃɒi[1]筛
ʃɒi[3]使驶
ʃɒi[4]柿
ʃɒi[5]世势誓逝
kɒi[1]鸡
kɒi[2]□{皮肤没有及时洗掉的分泌物：咁多~}
kɒi[3]计{计时}继
kɒi[5]计{妙~}
kʰɒi[1]溪
kʰɒi[5]契
hɒi[1]□{女阴： ~毛}
ɒi[1]矮
ɒi[6]□{每一： ~头}
iɒi[2]□{形容词， 笨拙， 太~了}
iɒi[3]□{形容词， 泥泞，落水天大路□ [iat35]~：下雨天道路很泥泞}
kuɒi[1]龟归
kuɒi[2]逵葵魁馗傀{~儡}
kuɒi[3]诡轨鬼
kuɒi[5]贵季
kuɒi[6]跪柜
kʰuɒi[1]规亏窥盔
kʰuɒi[5]馈溃愧
huɒi[1]挥辉
uɒi[1]威
uɒi[2]为{作~}维惟遗唯违围
uɒi[4]毁委韦伟苇纬伪萎猥
uɒi[5]喂畏慰
uɒi[6]为{~什么}位魏畏慰胃谓猬{刺~}汇
mɔi[6]妹昧
tɔi[1]灾栽载
tɔi[2]台
tɔi[5]再载
tɔi[6]待怠贷代袋
tʰɔi[1]胎
tʰɔi[3]彩采睬
tʰɔi[5]菜蔡
nɔi[6]耐奈
θɔi[1]腮鳃
θɔi[2]才材财裁
θɔi[5]赛{}
lɔi[2]来
kɔi[1]该
kɔi[3]改
kɔi[5]溉钙盖丐
kʰɔi 概溉
ŋɔi[2]呆
ŋɔi[6]碍艾外
hɔi[1]开
hɔi[3]凯海
ɔi[1]哀埃{尘埃}
ɔi[4]亥
ɔi[5]爱
ɔi[6]害
pui[1]杯悲
pui[2]培陪赔裴
pui[4]倍
pui[5]背{动词，背起身：背起来}辈
pui[6]背{~书}吠焙{烘~}
pʰui[1]胚
pʰui[5]配佩
mui[2]梅枚媒煤酶莓霉
mui[3]妹
mui[4]每
tui[2]□{名词， 凸出来的圆形物体}
tui[3]嘴
tui[5]最醉
tui[6]队兑
tʰui[1]推
tʰui[3]腿
tʰui[5]退褪蜕翠
nui[2]□{对小孩的爱称， 阿~：宝贝}
nui[5]□{形容词， 累，敨~：休息}
nui[6]内□{形容词， 久，要等咁~：要等这么久}
θui[1]虽
θui[2]随隋髓绥隧
θui[4]罪在
θui[5]碎岁
lui[1]堆𫗰{名词，一种糍粑，用糯米粉制作，中间一般放花生和糖当作馅，坟头𫗰。《广韵· 灰韵》： 𫗰， 都回切， “饼也” 。}
lui[2]雷擂垒㔣{名词，用来翻晒谷子的工具，谷㔣。 |动词，推， 㔣谷： 通过推动谷㔣以翻晒谷子。《广韵·脂韵》： 㔣，伦追切，推之勉之。}
lui[4]儡{傀~}
lui[5]对□{动词， 把原本不圆的东西搓圆}
lui[6]累类泪
ʧui[1]追蛛锥
ʧui[5]缀
ʧʰui[1]吹催崔炊
ʧʰui[5]脆
ȵui[1]□ {头肿起来的包， 出~了}□ {鸡尾椎， 鸡~：鸡的后半身的一半（一般在春节用来当作走亲戚的伴手礼）}
ȵui[2]□{~~：呼猪声}
ȵui[4]蕊乳
ȵui[5]擩{动词，塞，把□[nɒ53]樽擩倒咁满：把瓶子塞得这么满。 郭澄清《大刀记》第十一章：“永生又擩给尤大哥几颗手榴弹。”}
ʃui[1]衰水{雾~：露水}
ʃui[2]垂锤谁槌
ʃui[3]水{饮~：喝水}
ʃui[5]帅税
ʃui[6]瑞穗
hui[1]灰恢徽
hui[3]悔
ui[1]{ }煨{动词，把生的食物放到带火的泥土或者灰里慢慢烤熟的烹饪法， ~鸡}
ui[2]回
ui[6]会绘
iui[5]□{形容词， 植物脆嫩的样子}
iui[6]惠睿锐芮
pau[1]包胞鲍
pau[2]刨
pau[3]饱
pau[5]豹爆{~开}
pau[6]{ }刨{名词，用来把瓜类蔬菜的皮削掉的工具，瓜~：削瓜皮的工具}
pʰau[1]抛
pʰau[3]跑
pʰau[5]{ }炮泡□{动词， 浇、淋， 佢钟意在饭里面~白油：他喜欢在饭里淋点酱油}
mau[2]矛茅
mau[4]卯
mau[5]猫
mau[6]貌茂
tau[1]□{~□[nau53]： 很长并且柔软的样子}
nau[1]□{□[tau53]~： 很长并且柔软的样子}
nau[6]闹
θau[1]□ {动词， 把湿泥巴或者水这样的流体溅出去的动作，动作带有自主性，你~中我了：你溅到我了}
lau[1]捞
lau[5]□{~稀：很稀}
ʧau[2]□ {动词，湿泥巴或者水这样的流体溅出去，动作是非自主性的。 水~去大路：水溅到路上}
ʧau[3]找{~银纸：找钱}
ʧau[5]罩㷹{动词，用油把食物炸熟}
ʧʰau[1]抄钞镲𤙴{动词， 牛用角顶或挑， 离阿头牛远□[let53]吾是着𤙴： 离那头牛远点，不然要被它顶。《集韵· 肴韵》： 𤙴， 丑交切， “角挑也。 ”}
ʧʰau[3]炒吵
ȵau[1]抓{动词， 挠， ~痕： 抓痒。《广韵·效韵》：抓，侧教切，爪刺也。}
ȵau[3]{ }爪{《广韵·巧韵》：爪，侧巧切，说文曰丮也，覆手曰爪，象形丮，音戟。}□{动词， 把衣服或裤子的袖子由下到上卷起， ~起裤脚：卷起裤腿}
ʃau[5]潲
ʃau[6]哨{形容词，门牙露出的样子，牙齿哨□[hau35]：门牙露出的样子。《集韵·效韵》：哨，才笑切，说文不容也；又丑照切，口不正也。}□{动词，用力地扔、丢}
kau[1]交郊胶浇
kau[3]绞狡搅搞
kau[5]教校{~对}较觉
kʰau[1]敲
kʰau[3]考
kʰau[5]靠犒
ŋau[2]熬
ŋau[3]拗{动词，折， 拗断：折断。《广韵·巧韵》：拗， 于绞切，}
ŋau[4]咬
hau[3]巧
hau[3]酵
au[1]凹
au[2]姣{形容词，淫荡。《广韵· 肴韵》： 姣， 胡茅切，姣媱。《左传·襄公九年》：“弃位而姣，不可谓贞。”杜预注：“姣，淫之别名。}
au[5]奥詏{动词，抬杠，说话和别人反着来，你就是熟反詏： 你就会抬杠。《集韵· 效韵》：詏， 于教切， 言逆也。}
au[6]孝效校{学~}
kiau[1]□{量词， 次，一~：一次}
kiau[2]求球
kiau[3]九久韭囚
kiau[5]救究灸
kiau[6]臼舅咎旧柩
uau[3]□动词， {叫、喊，你~箇头：你叫谁}
pɒu[2]浮□{动词， 炸： ~葱糍：炸葱糍}
pɒu[6]□{~□[hɒu35]：蓬松而鼓起来的样子}
pʰɒu[1]□{名词， 树莓}
mɒu[1]□{形容词， 松软，芋头不止~：芋头口感很松软}
mɒu[2]谋
mɒu[3]□{形容词，腐朽}
mɒu[4]某亩
mɒu[5]□ {形容词，空的、 瘪的， □ [lek53]豆□[mek53]~： 花生是空的}
mɒu[6]茂贸□{□[kɒp53]~：蝌蚪}
tɒu[1]邹
tɒu[2]头投
tɒu[3]酒
tɒu[6]豆就{~是}
tʰɒu[1]偷秋
tʰɒu[3]敨{动词，休息，歇息。得我敨阵先：让我先休息一下。《集韵·厚韵》： 敨，他口切，展也。}
tʰɒu[5]透□{动词， 带、照顾， ~人：带小孩}
nɒu[1]嫐{动词，讨厌，方言俗字}
nɒu[3]扭
nɒu[4]纽
nɒu[5]扭
nɒu[6]□{浑浊：水~}
θɒu[1]修羞
θɒu[3]擞{动词，抖动， 擞一擞：抖一抖。《广韵·厚韵》： 擞， 苏后切，抖擞，举也。《集韵·厚韵》： 擞，苏厚切，抖擞，举索物也。}
θɒu[5]秀绣嗽
θɒu[6]就{迁~}袖□{动词， 游， ~大凉：游泳}
lɒu[1]{ }溜缕□ {量词， 用筷子夹一次的量， 一~粉}□{里面， ~头}□{量词， 把， 一~火}
lɒu[2]楼流刘留榴硫琉馏骝
lɒu[3]斗{名词，一种测量体积的工具|量词， 一~米}□{动词， 把不同的东西混在一起，你又把红豆同绿豆~乱：你又把红豆和绿豆混在一起}
lɒu[4]搂柳
lɒu[5]斗逗
lɒu[6]漏陋
ʧɒu[1]周舟州洲纣
ʧɒu[3]肘
ʧɒu[5]昼宙皱骤咒
ʧʰɒu[1]抽搊{动词，双手把物体（或人）抬起来并保持一段时间。把张台搊起身：把桌子抬起来。《广韵·尤韵》：搊，楚鸠切，手搊。}
ʧʰɒu[3]丑
ʧʰɒu[5]臭
ȵɒu[3]□ {动词， 翻找，你又~我□[lek53]银纸：你又在翻找我的钱}
ȵɒu[5]皱
ȵɒu[6]□{形容词， 潮湿， 潮~}
ʃɒu[1]搜收
ʃɒu[2]绸惆筹仇
ʃɒu[3]手首守
ʃɒu[4]受寿授售
ʃɒu[5]瘦
ʃɒu[6]兽
kɒu[1]沟鸠阄{□[nap35]~：抓阄}
kɒu[3]狗枸
kɒu[5]够构购
kɒu[6]□{量词， 块， 一~肉}
kʰɒu[1]□{动词， 抬， ~起}□{动词， 十分大胆主动地追求， ~妹儿：追求女孩子}
kʰɒu[5]叩扣寇
ŋɒu[1]勾钩抠
ŋɒu[2]牛
ŋɒu[3]□{形容词， 弯曲}
ŋɒu[4]偶□{名词， 纽扣}
ŋɒu[5]□{~~痛： 形容痛感一阵一阵地来的感觉。}
ŋɒu[6]藕
hɒu[1]□{动词， 追求， ~妹儿：追求女孩子}
hɒu[3]口□{□[ŋɒu44]~： 形容弯曲程度高的样子}
ɒu[1]欧鸥
ɒu[2]侯喉猴
ɒu[3]呕
ɒu[4]后厚
ɒu[5]沤怄熰{动词，燃烧柴草等让火不旺不熄只冒烟，熰脱□[lek53]豆藤：烧了这些花生的树。《集韵· 侯韵》：熰，乌侯切，炮也。}
ɒu[6]候
iɒu[1]丘邱休忧优悠幽
iɒu[2]柔揉尤邮由油游鱿
iɒu[4]有友酉
iɒu[5]□{形容词， 碎， 切~}
iɒu[6]又右佑诱柚幼
pɛu[1]□ {形容词， 凸出的样子，你□ [nɒ53]肚~□[hɛu53]:你的肚子凸出来这么多}
pɛu[6]□{牙齿~： 凸出的虎牙}
mɛu[3]□{形容词，瘦小的样子}
lɛu[2]□{形容词，嘴碎，喜欢说话}
lɛu[6]□{动词，眼睛斜视}
ʧɛu[1]□{形容词， 话多的样子}
