	注释：-白读，=文读
p	[55]波玻巴芭□{烫}[212]薄{～荷}钹泼{活～}[35]把{一～}[33]坝□{祖母}博钯[53]百伯□{□zəŋ212～：篱笆}
pʰ	[55]白[212]泼{～妇}[33]帕[53]颇拍扑
b	[35]□{伏，趴}[33]婆
m	[55]麻痳□{～□tsʰuo53：皲裂}[212]末沫莫膜[35]马码幕[33]魔摩模{～范}[53]抹{～布}麦毛-{脑～：头发}□{松～树：柏树}
#uo	
t	[55]□{～天：仰天}□{捏，拿}[212]夺铎[53]搭□{～早：趁早}
tʰ	[212]沓塌獭[53]着{睡～}妥椭
d	[33]鸵
n	[212]烙骆洛络乐{快～}□{爬}□{～□mẽ35：蚂蚁}□{～豆：黄豆}[33]螺[53]腊辣
ts	[55]渣遮[212]作芍桌卓[35]□{两，一～三：一二三}□{□tsʰəŋ33～：作揖}[33]诈榨[53]驻炸折{～叠}塞{～崽：塞子}炙□{～□ku0□pʌɯ212：腋下}
tsʰ	[55]叉差{好～；出～}车石{～□pɑŋ55：野生的棘胸蛙}□{～□zuɛe55：蚯蚓}[212]撮□{□uo55～：裸体}[33]错={交～}[53]擦□{□mo55～：皲裂}尺
dz	[33]查{调～}射
s	[55]沙纱{～布}赊痧三{一二～}杉□{～刀：砍刀}[35]捨[212]塑率{～领}[53]所
z	[212]索{细绳子}若弱[35]惹野[33]夜
k	[55]家-{分～}加-{～减乘除}戈□{女婿}[212]葛={姓}郭廓阁□{～舅：舅舅}[35]假{真～}[33]架价[53]夹{～崽：夹子；～菜}裌蟹胛隔{～壁；～开}□{剪}荚果裹□{□dzoŋ35～：蝗虫}□{杂～：鸡杂}
kʰ	[55]□{勒}科[212]扩确{的～}[35]课[33]□{～□tɕiou0：昨天}[33]掐客{～人}可
ŋ	[55]牙芽衙伢[212]鄂[53]额
x	[55]虾□{鳃}[212]活{生～}□{鸡～崽：鸡肫}鹤郝藿合{十～一升；结～}盒[35]霍贺[33]荷河和{～气}[53]吓{～人}瞎夥
∅	[55]鸦桠□{～□tsʰuo212：裸体}[212]何□{～□sɿ35：阿姨}[35]下{动词}哑[33]狭俄娥[53]押压-轭□{～～：叔叔}
#yo	
n	[53]栗曆-{～□tɐ0：日历}
tɕ	[212]觉{知～}□{～□sɿ35崽：板栗}[53]脊□{鬃}
tɕʰ	[212]却确{正～}[33]□{躲}[0]鹊
dz	[212]斜[33]谢□{跨}
ȵ	[55]黏鲇□{挨近}[212]虐略[53]咬
ɕ	[55]靴[212]学={化～}[35]写
∅	[212]约岳乐{音～}
#ɐ	
p	[212]不-泊{梁山～}[53]□{一～米：一粒米}笔擘[0]檗
b	[212]簰
pʰ	[55]披[212]□{瘊子}[35]派[33]妇-{媳～}
m	[55]□{乳房，乳汁}[212]默[35]买迈[33]卖
v	[55]有雨
t	[55]蔸{一～树：一棵树}[212]德[35]斗{一～}陡[33]□{□kʰuɑ35～：打赌}斗{～钱：凑钱}豆{绿～}逗[0]头{高～：上面}□{历nyo53～：日历}
tʰ	[55]梯[212]特[33]剃透[53]铁
d	[353]跌[33]豆{鱼～：鱼篓}
n	[55]楼[212]勒[35]□{被絮□bʌɯ212～：被窝}[33]□{房～：房间}□{讨}[0]□{街kɑ55～：沅陵}
ts	[55]周-{姓}[212]哲折{存～}浙则责[35]主崽[33]树事-{说～：说话}
tsʰ	[55]□{端、拿}[212]彻撤侧测泽册策[35]取娶[53]择拆
dz	[35]扯李{～崽：李子}[33]立字
s	[55]师狮丝馊收[212]摄涉设瑟色[35]数{动词}使-{～箸：用筷子}[33]晒[53]虱[0]数{岁～}
z	[212]梨[33]漏油右[353]□{老鼠啃}友
k	[55]鸡机-计-{会～}勾钩沟鸠阄□{拴}[212]革隔{～离}[33]够[0]□{风～：风筝}
kʰ	[55]溪-[212]躯抠扣{～起渠：扣留他}刻克客={～气}□{掏}[35]口
ɡ	[33]□{呆，傻}
ŋ	[55]捱岩[212]扼
x	[212]核[35]会{～不～}[53]海{大～}
∅	[212]侯喉还{～有}後{～生家：小伙子}[35]厚[33]沤
#iɐ	
t	[55]爹[53]□{戳}
tʰ	[55]抽[35]柱[53]□{繫}
n	[55]刘[35]柳[53]六陆绿
tɕ	[212]求[35]酒久九韭灸[33]□{歪}
tɕʰ	[55]秋-{交～：立秋}丘□{短}[35]件
dʑ	[212]球泅
ɕ	[55]修□{～猪：杀猪}[33]秀
∅	[35]也
#uɐ	
s	[212]说
k	[212]国
x	[212]或惑获
#ɛe	
p	[55]□{跛，形容词}[212]盆[35]粉{麦～：面粉}本[33]□{～□dzɑŋ33：诽谤}[53]摆={～子：疟疾}
pʰ	[33]喷{～水}[0]蔔{萝～}
m	[55]门[35]尾晚[33]万问闷[53]密
f	[55]分[212]坟豮{未阉割过的公猪}[35]翻反粉{米～}份[33]喷{～香}
v	[35]远[33]文闻
t	[55]呆{痴～}颠巅□{～犬崽：蝼蛄}□{□tɕʰiẽ55～：海带}[212]填[35]代贷点[33]待佃
tʰ	[55]胎台{～州}添天[35]太泰态掭{～笔}殿垫
d	[212]□{～□tsɛe53：钱}[35]□{沉，水浑：～一～}[33]台{～湾}苔
n	[55]年[212]田[35]耐奈赖簟碾□{蘸}[33]□{帐～：蚊帐}[53]乃
ts	[55]斋{聊～}尖针真[35]再债寨枕盏诊-{～病}□{□kʰuɑ35～：打仗}塞{出～}[33]箭-[53]宰□{□dɛe212～：钱}[0]匙□{□ɕiẽ55～：火铲}
tsʰ	[55]钗签{抽～}千[35]浅鳝{～鱼}[53]彩采铲{动词}
dz	[212]缠-{藤～树}[33]才材财纔柴
s	[55]深山身[35]社麝赛闪[33]佘鏾{～鸡：阉鸡}扇[53]醒-□{天～：天气}
z	[212]盐□{用盐腌制的咸菜}淋神
k	[55]皆阶跟根耕[35]械介界芥戒{猪八～}届丐[53]杆□{～的：整个的}解{调～；理～}
kʰ	[35]概[53]凯楷[0]慨
ŋ	[55]哀埃[35]爱碍眼
x	[35]亥[53]海{上～}很狠
∅	[35]陷
#iᴇ	
p	[55]□{澡衣～：棒槌}鞭边□{～□nẽ212骨：肋骨}□{～虫：臭虫}[212]便{～宜}别{区～；离～}[35]扁{压～}[33]变[53]憋逼壁
pʰ	[55]偏[212]撇[35]辫[33]骗[0]便{方～}
b	[33]□{捋}
m	[55]棉篾[212]灭[35]米-[33]面[0]明{清～}
t	[55]多[212]蹄池-{～坪：地名}碟陈-{～谷崽：陈粮}[53]摘
tʰ	[55]拖□{伸}[33]替[53]帖贴踢
n	[55]犁镰莲[212]啼列烈裂劣
tɕ	[55]歼{～猪：阉猪}裥肩斤筋京-金[212]坐座捷杰结={～婚}勤[35]碱紧-[33]祭见镜-[53]借姐接揭劫节笕鲫
tɕʰ	[55]牵亲{～戚；～家}[35]尽{～尔使：尽你用}近[53]切
dʑ	[212]齐前[353]里{一～路}□{勤～：勤快}[33]湿□{驮}
ȵ	[55]银[212]聂业孽捏[33]染认-地-[0]艺
ɕ	[55]心先新薪惜[212]协蝎穴[35]死□{骂}[33]邪细信性姓-[53]仙{神～}歇楔[0]鲜-{新～}
∅	[55]厌{吃～了：吃饱了}腌[212]页[33]印荫隐[53]噎
#uɛe	
t	[55]驐{～公猪：阉公猪}墩[33]顿
n	[33]嫩论
ts	[55]砖[35]准凖
tsʰ	[55]穿村椿春[35]茶[33]串寸[53]蠢喘□{揿}
dz	[212]船
s	[55]孙狲[35]帅笋榫
z	[55]□{□tsʰuo55～：蚯蚓}[212]匀[33]顺闰
k	[55]裈{裤子}[35]滚怪{妖～}[33]灌棍
kʰ	[35]犬{狗}[53]困睏[53]傀
x	[55]昏浑荤□{～～媳妇：童养媳}[35]混[33]怀槐淮
∅	[55]温瘟[212]魂横[35]外稳[33]□{咽}[53]□{～断：折断}
#yᴇ	
t	[212]椽{～稿：椽子}[33]转{～身；～圆圈}赚
n	[55]轮-
tɕ	[55]军[212]绝拳决诀裙[35]捲□{～□ti55：结巴}[33]鳜[53]蕨
tɕʰ	[55]吹圈[35]菌[33]脆-劝[53]怯缺
dz	[212]旋{～家：串门}茄[35]□{砍}[33]勺
ȵ	[33]润熨[53]月
ɕ	[55]掀熏[212]恤薛[35]选[33]□{推}[53]雪血
ʑ	[33]药[53]钥
∅	[55]烟[212]圆{～子：丸子}阅悦曰越云[33]院-{猪～：猪圈}楦运{～气}
#ei	
p	[55]碑卑悲[35]辈{一～子}背{～时：晦气}[33]辈{祖祖～～}
pʰ	[35]配佩[53]丕
b	[33]培陪赔
m	[35]妹{表～}昧[33]梅煤霉[53]每美
f	[55]非飞妃[35]虺{蛇}废肺费[33]肥[53]匪
v	[35]未味[33]维惟唯微
#uei	
t	[55]雷[212]锤□{□kʰuɑ35～：打夯}□{油□pɑŋ35～：蜥蜴}[35]兑
n	[212]律率{效～}[35]内累{连～}类[33]驴[53]儡吕旅屡累{～积}垒
ts	[35]最赘[53]嘴=
tsʰ	[55]炊[53]脆=翠粹
dz	[33]垂
s	[35]岁瑞[33]随绥
k	[53]归规龟[35]桂柜癸[53]诡轨
kʰ	[55]盔亏[35]溃愧
ɡ	[33]魁葵逵
x	[55]挥辉徽[35]汇会{开～}慧讳汇[33]回茴[53]晦毁
∅	[55]威[35]卫魏畏胃谓伪位[33]桅为{作～}违围=危[53]伟苇纬委
#ʌɯ	
p	[212]篷朋棚□{□tsuo53□ku0～：腋下}
pʰ	[53]捧
b	[212]缝{～衣服}□{被絮～□nɐ35：被窝}[33]□{埋葬}
m	[55]蒙[35]蠓
f	[55]风枫疯封蜂[35]凤
v	[33]缝{一条～}
t	[55]东冬[33]冻[53]□{～钻：钻，名词}
tʰ	[55]通桶
d	[212]同铜桐[33]洞
n	[55]笼[212]龙{～蜂：马蜂}[35]拢橹[33]弄□{树～：树林}
ts	[55]聋棕钟{～表；敲～}舂[212]□{皱}[35]种{～子}
tsʰ	[55]聪葱冲{动词}[33]铳
dz	[212]融[35]动
s	[55]鬆{～紧}[33]送宋痛
z	[212]檐-{瓦～：屋檐}[33]用-{有～}□{～得：要得}
k	[55]公工[33]□{～进去：钻进去}
kʰ	[55]空{～的}[33]空{～缺}
x	[55]烘[35]哄{哄骗}[33]□{～汁：溃脓}
∅	[55]□{肿}[212]红洪[33]瓮巷
#əɯ	
m	[35]贸茂[33]谋[53]亩牡
f	[53]否
t	[212]屠[35]肚{鱼～；～子}鬥{～争}[53]赌
tʰ	[55]独[33]兔[53]□{抖动}
d	[212]蹲[53]投徒-{～弟}
n	[55]芦{～茅：芦苇}[212]□{葫芦}[33]露鹭读[53]篓□{～履底：纳鞋底}□{捞}缕
ts	[55]邹周=州洲粥[35]奏纣宙咒[53]走
tsʰ	[35]凑[53]丑{子～寅卯}
dz	[33]仇酬绸[353]□{～雨：下雨}
s	[35]叟寿授售受[53]首
z	[33]柔
k	[55]箕[212]瞿[35]构购舅[33]个锯记{～号}救[53]狗枸
kʰ	[35]寇扣{～崽：扣子}起-{～火：着火}喜{欢～：喜欢}[33]去
ɡ	[33]锯{动词}
ŋ	[53]欧牛[33]饿[53]藕
x	[35]许-后{皇～}[53]吼
∅	[53]忆{～住：记住}
#ɔu	
p	[55]褒包胞鲍[35]抱暴曝雹[33]报豹[53]杷保堡宝饱剥
pʰ	[53]抛□{～□tsɑŋ212：背篓}□{～薪：茅草类的柴火}[35]菢饱[33]泡{～在水里；灯～}炮[53]跑[0]胞{衣～：胎盘}
b	[33]袍
m	[55]茅猫锚[35]冒貌[33]帽矛毛=[53]蟆卯
t	[55]刀[212]淘[55]稻道{～理}[33]到倒{～水}□{～阿□pu33：曾祖父}[53]祷岛导倒{□kʰuɑ35～：打倒}
tʰ	[55]滔涛[35]道-{～场}[33]套盗{强～}[0]□{相～：相貌}
d	[212]跳[33]盗{偷}逃陶萄桃=
n	[55]牢[212]□{～□dziɐ53：鸬鹚}桃-□{～饭：做饭}[35]脑老闹□{～疮崽：疥疮}[33]劳
ts	[55]遭糟召昭招沼诏[212]槽[35]早枣澡皂爪找赵兆少{多～}[33]灶罩照[53]蚤
tsʰ	[55]操嫂抄钞超[35]草騲造糙炒吵燥[33]躁臭
dz	[353]□{六～三：六减三}□{～面：擀面}□{～早：趁早}逐{～场：赶集}[33]巢曹朝{～代}潮
s	[55]骚稍烧[35]道扫{～地}少{～先队员}邵消[33]扫{～帚}臊{～气}笑韶哨苕[0]绍
z	[212]摇绕[33]傻丑{～陋}□{～崽：蝴蝶}臊{害～}饶窑姚鹞
k	[55]高膏{牙～；～油}篙糕交{～春：立春}教{～书}铰稿{薪～：柴火}珓{占卜用的竹片}[35]告搞较[33]觉{睏～}[33]稿{草～}角{牛～}
kʰ	[212]搉[35]靠{依～}[33]靠倚□{～崽：刀鞘}□{履～崽：鞋拔子}[53]壳考
ŋ	[35]傲[33]熬
x	[35]好{形容词；动词}浩[33]豪毫壕耗孝{～崽：孝子}蒿
∅	[35]□{踒}拗{～断：折断}[33]坳□{～长短：量长短}
#iɔu	
p	[55]膘标彪[33]薸{浮～：浮萍}[53]表{～格}錶{钟～}
pʰ	[55]飘[35]票□{骗}[53]漂{～白}
b	[33]嫖
m	[55]描{～红}[35]妙谬廖[33]苗庙描{～写}[53]秒
t	[55]朝{今～}刁貂雕中{当～}[212]□{莲花～：莲花池，地名}筒□{姑～：姑父}[35]调{音～}[53]钓吊掉调{～动}[53]缠{盘～}
tʰ	[55]挑[35]重{轻～}[53]斢
d	[212]条重{叠，摞，重叠}[33]调{～解}
n	[55]撩龙□{～犬：公狗}[35]岭[33]燎疗聊辽料撂{遗落}
tɕ	[55]交{～通}胶郊焦蕉椒娇骄浇[212]穷□{眨眼}□{～□ȵiɑŋ35：蜻蜓}[35]绞{～脚：裹腿}教{～育局}掷[53]绞{～刑}狡剿饺
tɕʰ	[55]锹燥敲[212]嚼[35]轿窍[33]俏[53]巧
dʑ	[212]桥荞松{～树}[33]乔侨
ȵ	[55]浓[212]虫[35]尿{～素}[33]尿{射～：尿床}[53]缴
ɕ	[53]消宵霄硝销嚣[212]雄{精力旺盛}[35]校{～对；上～}酵孝{～顺}效晓[33]淆[53]小=削
∅	[55]□{搂抱}妖邀腰要{～求}幺[35]跃舀耀[33]肴谣尧要{～不要}
#iou	
t	[55]猪蛛[53]箸住
tʰ	[33]唾吐{～痰；呕～}[55]直值
n	[55]榴溜[212]□{□dʑiou212～：口水}[33]留硫琉馏滤[35]落领{衣～}礼{送～}[53]力
tɕ	[55]书纠究□{□pɑ55□pɑ55～：髻}纠[35]煮守[53]举拄织{～布}竹烛□{～口：涩嘴}[0]□{□kʰuo33～：昨天}
tɕʰ	[55]蛆秋{～千}□{无耳的大锅}熟[35]□{攒(钱)}[53]畜{～牲}
dʑ	[212]流□{～□niou212：口水}[33]袖
ȵ	[55]鱼[212]□{～崽：里子}[35]女[53]纽扭肉
ɕ	[55]飕休絮[212]畜{～牧}蓄[35]绣手[33]瘦[53]朽粟
ʑ	[33]食-{～饭：吃饭}
∅	[55]优忧[212]育欲悠狱[35]又佑幼[33]邮由游犹悠[53]酉
#ã	
p	[55]斑扳[35]办伴拌[53]版
pʰ	[55]潘[35]判叛
m	[33]蛮馒
f	[35]范笵犯贩[33]番藩帆凡烦矾繁
t	[55]丹单担{～任}[35]诞旦但弹{子～}蛋
tʰ	[55]贪滩=[35]探[53]坦毯
d	[33]谭坛弹{～簧}
n	[35]滥难{患～}烂[33]男兰篮[53]览榄缆
ts	[55]簪瞻毡[35]暂站占赞栈战[53]攒斩展
tsʰ	[55]参餐[35]灿[53]惨铲{名词}产
dz	[33]惭残缠=
s	[55]衫珊删[35]散{鞋带～了}疝善[53]陕
z	[353]冉[33]然燃=
k	[55]艰干{天～地支}[35]鉴舰幹{～部}监{～督}[53]敢橄减赶
kʰ	[55]刊
ŋ	[55]庵安鞍[35]按案雁[33]颜-
x	[35]撼旱=汉焊限[33]函咸{老少～宜}鹹{～淡}寒韩
#iɛ̃	
p	[55]编[35]辨辩[53]匾贬
pʰ	[55]篇[35]遍{～地；一～}片
m	[33]绵眠[53]勉免
t	[35]电奠店[53]典
tʰ	[0]□{□niɛ̃35～：脾，人体器官}
d	[33]甜
n	[35]练炼□{～□tʰiɛ̃0：脾}殓[33]廉帘联连恋
tɕ	[55]煎间{反～}坚监兼奸[35]践建键荐剑箭=贱[33]简柬茧趼检俭
tɕʰ	[55]迁歼{～灭}签=谦笺[35]欠歉[53]遣
dʑ	[33]乾钳潜
ȵ	[35]验[33]研阎严
ɕ	[55]仙{八～}[35]宪献现县线[33]闲贤嫌[53]显险
∅	[55]炎[35]堰燕{～京}宴厌{讨～}艳焰[33]延檐=颜=[53]演掩
#uã	
t	[55]端{～正}[35]断{决～}锻段缎
d	[33]团{～圆}
n	[33]鸾
ts	[55]专[35]撰传{水浒～}
tsʰ	[55]汆川[35]窜篡
dz	[33]传{～达}
s	[55]酸
z	[353]软阮
k	[55]棺观{参～}鳏关[35]贯罐冠{～军}惯[53]管馆
kʰ	[55]宽[53]款
x	[35]焕幻[33]桓环[53]缓
∅	[55]湾[33]顽[53]皖挽
#yɛ̃	
tɕ	[55]绢捐[35]眷卷倦券
dʑ	[33]全泉权
ɕ	[55]鲜={新～}轩宣[33]弦玄悬[53]鲜{朝～}癣
∅	[55]冤渊[35]院={医～}怨愿[33]圆员缘沿铅元原源援辕
#ẽ	
p	[55]奔[35]笨
pʰ	[55]烹
m	[55]蚊{夜～崽：萤火虫}[35]妹{～～}□{□nuo212～：蚂蚁}
f	[55]芬纷[35]愤奋[33]焚
v	[33]纹
t	[55]张登灯=丁[212]场[35]涨长{～大}凳邓订锭[33]帐胀账[53]等={二～}顶=
tʰ	[55]□{□noŋ55～：连枷}[35]丈[53]挺艇
d	[212]长{～短}[33]亭停=庭廷腾誊
n	[55]粮梁[212]肠□{□piᴇ55～骨：肋骨}[35]两={二～}另令[33]林邻磷菱亮能陵凝宁灵零=伶[53]领{～导}[0]量{商～}
ts	[55]珍曾{姓}增憎贞侦征[35]赠证症郑正={～副}政[53]疹振震拯整
tsʰ	[55]称{～呼}[35]称{对～}[53]诊={门～}逞
dz	[33]臣曾{～经}乘承丞陈={姓}成{～功}城诚
s	[55]森参{人～}申僧升{～高}生={花～}[35]甚肾慎胜盛{兴～}圣[33]辰向{姓}[53]沈婶省{湖南～；～钱}
z	[35]任{姓}任{责～}纫认=仍[353]忍[33]壬仁
k	[55]更{打～}羹[35]更{～加}[53]梗耿
kʰ	[53]恳垦
ŋ	[55]恩
x	[55]痕[35]恨杏{～崽：杏儿}[33]恒衡
#iẽ	
p	[55]彬宾槟殡冰兵[35]并{合～}[53]禀丙秉饼
pʰ	[55]拼[35]聘[53]品
b	[33]贫频凭评屏瓶={酒～}
m	[35]命={革～}[33]闽民鸣盟明{证～}铭[53]敏抿
tɕ	[55]襟晶津巾浆薑{生～}京=荆惊精睛经{～济}[212]墙强-[35]禁儘{～量}进晋敬竟镜=竞静靖净{～重}劲{攒～：努力；有～}[33]酱[53]锦紧={～跟}进[0]□{铁～：火钳}
tɕʰ	[55]钦香卿清={～朝}□{～□tɛe55：海带}[35]寝侵庆抢[33]渗
dʑ	[35]象[33]琴禽擒秦芹匠鲸晴情
ȵ	[33]让[53]□{～头：里头}
