"字頭"	"聲紐"	"呼"	"等"	"韻部"	"聲調"	"組"	"攝"	"聲母"	"韻母"	"聲調"	"備註"		"部首"	"單字筆畫"	"部首外筆畫"	"注音"	"解釋"	
"班"	"幫"	"開"	"二"	"刪"	"平"	"幫"	"山"	"bb"	"on"	1		1	"玉"	"10"	"06	"	"ㄅㄢ"	"(1)行列、位次。如：「排班」、「班次」。(2)人群的組別。如：「分班」、「班級」、「升學班」。(3)工作的時段。如：「上班」、「下班」、「早班」、「晚班」。(4)定時開行的。如：「班車」、「班機」。(5)軍隊的編制之一。屬於排，通常由九人組成。(6)班師：把軍隊調回來。如：「班師回朝」。(7)班底：A>劇團中除了主角外的其他角色。B>固定在一起從事活動的一群人。如：「這支球隊的班底陣容十分堅強。」(8)量詞：A>計算人群的單位。如：「一班人馬」。B>計算交通工具定時開動的單位。如：「這家航空公司每週有三班飛機飛往歐洲。」C>計算班級的單位。如：「我們學校有二十五班學生。」D>)計算工作時段的單位。如：「這星期加了三班工作。」
"	
"斑"	"幫"	"開"	"二"	"刪"	"平"	"幫"	"山"	"bb"	"on"	1		1	"文"	"12"	"08	"	"ㄅㄢ"	"(1)雜色的點或花紋。如：「斑點」、「斑馬」、「雀斑」。(2)斑斕：燦爛多彩的樣子。如：「色彩斑斕」。_x000D_
"	
"搬"	"幫"	"合"	"一"	"桓"	"平"	"幫"	"山"	"bb"	"un"	1		1	"手"	"13"	"10"	"ㄅㄢ"	"(1)移動、遷移。如：「搬動」、「搬家」、「搬運」。(2)搬弄：挑撥。如：「搬弄是非」、「搬弄口舌」。_x000D_
"	
"頒"	"幫"	"開"	"二"	"刪"	"平"	"幫"	"山"	"bb"	"on"	1		1	"頁"	"13"	"04	"	"ㄅㄢ"	"(1)賜給。如：「頒獎」、「頒發」。(2)宣布。如：「頒布」、「頒行」。_x000D_
"	
"阪"	"幫"	"合"	"三"	"元"	"上"	"幫"	"山"	"bb"	"on"	2		1	"阜"	"07	"	"04	"	"ㄅㄢˇ"	"山坡。如：「山阪」、「長阪坡」。_x000D_
"	
"板"	"幫"	"開"	"二"	"刪"	"上"	"幫"	"山"	"bb"	"on"	2		1	"木"	"08	"	"04	"	"ㄅㄢˇ"	"(1)成片的木材。如：「木板」。(2)片狀的器具、物品。如：「地板」、「黑板」、「銅板」。(3)音樂的節拍。如：「慢板」、「快板」、「行板」。(4)不活潑或固執不變通的。如：「呆板」、「古板」。(5)繃緊。如：「板著臉」、「板面孔」。_x000D_
"	
"版"	"幫"	"開"	"二"	"刪"	"上"	"幫"	"山"	"bb"	"on"	2		1	"片"	"08	"	"04	"	"ㄅㄢˇ"	"(1)築牆釘模用的木板。同「板」。如：「版築」、「模版」。(2)印刷時用的印板，上面刻有文字或圖形。如：「銅版」、「鉛版」、「照相版」。(3)刊物印刷的次數。如：「初版」、「再版」。(4)報紙或雜誌的版面。如：「財經版」、「社會版」、「藝文版」、「第三版」。(5)泛指一切寬平的器物。如：「鋼版」、「木版」。(6)版圖：指國家疆域。(7)量詞：A>計算報紙頁面的單位。如：「今天的報紙共有十六版。」B>計算同一作品不同時期出版的單位。如：「這本書已出至十二版。」_x000D_
"	
"半"	"幫"	"開"	"一"	"寒"	"去"	"幫"	"山"	"bb"	"un"	3		1	"十"	"05	"	"03	"	"ㄅㄢˋ"	"(1)二分之一。如：「剖半」、「對半」、「半碗飯」、「半價優待」、「年過半百」。(2)在中間。如：「半路」、「半途而廢」、「夜半鐘聲到客船」。(3)部分、不完全的。如：「半透明」、「半成品」、「半生不熟」、「半信半疑」、「半新不舊」、「一知半解」、「半推半就」、「半買半送」。_x000D_
"	
"扮"	"幫"	"開"	"二"	"山"	"去"	"幫"	"山"	"bb"	"on"	3	"打~"	1	"手"	"07	"	"04	"	"ㄅㄢˋ"	"(1)裝飾。如：「打扮」、「妝扮」。(2)飾演。如：「扮演」、「扮新娘」。_x000D_
"	
"扮"	"並"	"開"	"二"	"山"	"上"	"幫"	"山"	"b"	"on"	6	"~窮，~豬喫老虎"	1						
"邦"	"幫"	"開"	"二"	"江"	"平"	"幫"	"江"	"bb"	"ang"	1	"白讀"	1						
"邦"	"幫"	"開"	"二"	"江"	"平"	"幫"	"江"	"bb"	"ong"	1	"文讀"	1	"邑"	"07	"	"04	"	"ㄅㄤ"	"國家。如：「鄰邦」、「家邦」、「友邦」、「安邦定國」。_x000D_
"	
"幫"	"幫"	"開"	"一"	"唐"	"平"	"幫"	"宕"	"bb"	"ong"	1		1	"巾"	"17"	"14"	"ㄅㄤ"	"(1)從旁協助。如：「幫忙」、「幫助」。(2)結合具有共同性質的多數人所組成的團體。如：「幫會」、「幫派」。(3)附和。如：「幫腔」。(4)物體的邊緣部分。如：「鞋幫」、「腮幫子」。(5)量詞。用於計算成批、成群事物的單位。如：「一幫人馬」。_x000D_
"	
"綁"	"幫"	"開"	"二"	"江"	"上"	"幫"	"江"	"bb"	"ang"	2	"白讀"	1						
"綁"	"幫"	"開"	"二"	"江"	"上"	"幫"	"江"	"bb"	"ong"	2	"文讀"	1	"糸"	"13"	"07	"	"ㄅㄤˇ"	"(1)用繩索或絲線纏繞束起。如：「繫綁」、「反綁」、「綁住」。(2)綁架：挾持人質，以敲詐金錢的行為。_x000D_
"	
"包"	"幫"	"開"	"二"	"肴"	"平"	"幫"	"效"	"bb"	"ou"	1		1	"勹"	"05	"	"03	"	"ㄅㄠ"	"(1)綑束。如：「包紮」、「打包」、「包裝」。(2)包好的東西。如：「香包」、「郵包」、「紅包」、「茶包」。(3)盛裝物品的袋子。如：「皮包」、「書包」、「荷包」、「腰包」、「公事包」。(4)一種用麵粉做成的食物。如：「麵包」、「肉包」、「菜包」、「包子」。(5)含括、容納其中。如：「包容」、「包含」、「無所不包」。(6)保證、擔保。如：「包君滿意」、「包管沒事」。(7)負責、承攬。如：「承包」、「包打聽」、「一手包辦」、「發包工程」。(8)約定的、專用的。如：「包車」、「包飯」、「包廂」、「包場子」。(9)圍住、圍困。如：「包圍」、「包抄」。(10)量詞。用於計算成包物品的單位。如：「一包糖果」、「十包水泥」。_x000D_
"	
"苞"	"幫"	"開"	"二"	"肴"	"平"	"幫"	"效"	"bb"	"ou"	1	"「～粟」[bbou1-2 sluk7]玉米"	1	"艸"	"09	"	"05	"	"ㄅㄠ"	"花蒂上包著未開花朵的小葉片。如：「花苞」、「含苞待放」。_x000D_
"	
"胞"	"幫"	"開"	"二"	"肴"	"平"	"幫"	"效"	"bb"	"ou"	1		1	"肉"	"09	"	"05	"	"ㄅㄠ"	"(1)同一父母所生的。如：「胞兄」、「胞弟」。(2)同國家或同種族的人。如：「民胞物與」、「全國同胞」。(3)胞衣：母體中包在嬰兒外面的薄膜。(4)細胞：構造生物體的基本單位。由細胞核、細胞質和細胞膜所組成。_x000D_
"	
"褒"	"幫"	"開"	"一"	"豪"	"平"	"幫"	"效"	"bb"	"eou"	1		1	"衣"	"15"	"09	"	"ㄅㄠ"	"稱讚、表揚。如：「褒揚」、「褒獎」。_x000D_
"	
"保"	"幫"	"開"	"一"	"豪"	"上"	"幫"	"效"	"bb"	"eou"	2		1	"人"	"09	"	"07	"	"ㄅㄠˇ"	"(1)護著不使受損。如：「保衛」、「保護」、「保健」、「保全」、「保養」。(2)負責、承擔。如：「保證」、「保舉」、「擔保」、「保荐」、「保險」。(3)受僱替人做事的人。如：「酒保」、「保母」。_x000D_
"	
"葆"	"幫"	"開"	"一"	"豪"	"上"	"幫"	"效"	"bb"	"eou"	2			"艸"	"13"	"09	"	"ㄅㄠˇ"	"眾草叢生的樣子。如：「頭如蓬葆」。_x000D_
"	
"堡"	"幫"	"開"	"一"	"豪"	"上"	"幫"	"效"	"bb"	"eou"	2			"土"	"12"	"09	"	"ㄅㄠˇ"	"(1)用土石築成的小城。如：「城堡」。(2)工事堅固的陣地。如：「堡壘」、「橋頭堡」、「灘頭堡」。(3)北方人對村落的稱呼。如：「青雲堡」、「張家堡」。_x000D_
"	
"飽"	"幫"	"開"	"二"	"肴"	"上"	"幫"	"效"	"bb"	"ou"	2		1	"食"	"13"	"05	"	"ㄅㄠˇ"	"(1)肚子被食物撐滿的感覺。如：「吃飽」、「飽食」、「飽餐一頓」、「酒醉飯飽」。(2)充分、充足。如：「飽學」、「飽經世故」、「飽歷風霜」。(3)漲滿。如：「飽滿」、「飽和」。(4)一種滿足的感覺。如：「睡飽」、「大飽眼福」。_x000D_
"	
"寶"	"幫"	"開"	"一"	"豪"	"上"	"幫"	"效"	"bb"	"eou"	2		1	"宀"	"20"	"17"	"ㄅㄠˇ"	"(1)珍貴的東西。如：「珠寶」、「國寶」、「傳家之寶」、「奇珍異寶」。(2)珍貴的、稀有的。如：「寶物」、「寶刀」、「寶庫」、「寶典」。(3)古代的錢幣。如：「元寶」、「通寶」。(4)尊稱他人的用語。如：「寶號」、「寶眷」。
"	
"豹"	"幫"	"開"	"二"	"肴"	"去"	"幫"	"效"	"bb"	"ou"	3		1	"豸"	"10"	"03	"	"ㄅㄠˋ"	"一種哺乳動物。體型像老虎但比較小，毛為黃褐色，背有黑圓斑。生性凶猛，能上樹捕食其他獸類。如：「黑豹」、「花豹」。_x000D_
"	
"報"	"幫"	"開"	"一"	"豪"	"去"	"幫"	"效"	"bb"	"eou"	3		1	"土"	"12"	"09	"	"ㄅㄠˋ"	"(1)酬答、回應。如：「報答」、「報酬」、「善有善報」、「知恩圖報」、「以德報怨」、「投桃報李」。(2)用有敵意的行動對付別人。如：「報復」、「報仇」。(3)告知。如：「報告」、「報信」、「報案」、「報佳音」。(4)信息。如：「情報」、「警報」、「捷報」、「快報」。(5)電報。如：「發報機」。(6)新聞紙或刊物。如：「日報」、「晚報」、「公報」、「報社」。_x000D_
"	
"爆"	"幫"	"開"	"二"	"肴"	"去"	"幫"	"效"	"bb"	"ou"	3	"～裂"	1						
"推"	"透"	"合"	"一"	"灰"	"平"	"章"	"端"	"t"	"ui"	1		1	"手"	"11"	"08	"	"ㄊㄨㄟ"	"(1)用手將物件往前移。如：「推車」、「推開」、「推門」。(2)找藉口回絕或躲避。如：「推托」、「推卸」、「推辭」、「推三阻四」。(3)擴展、使事情進行。如：「推行」、「推展」、「推動」、「推銷」、「推廣」。(4)依例演算、探究。如：「推求」、「類推」、「推算」、「推論」。(5)選出。如：「公推」、「推選」、「推舉」、「推派」。(6)尊崇、讚許。如：「推崇」、「推許」。(7)除去。如：「推陳出新」。_x000D_
"	
"翌"	"以"	"開"	"三"	"蒸"	"入"	"以"	"曾"	"j"	"i"	3			"羽"	"11"	"05	"	"ㄧˋ"	"其次的、第二的。如：「翌年」、「翌日」、「翌晨」。_x000D_
"	
"杯"	"幫"	"合"	"一"	"灰"	"平"	"幫"	"蟹"	"bb"	"ui"	1		1	"木"	"08	"	"04	"	"ㄅㄟ"	"(1)盛水、茶、酒等液體的器物。如：「茶杯」、「玻璃杯」、「咖啡杯」。(2)比賽優勝的杯狀獎品。如：「獎杯」。(3)量詞。用於計算杯裝物的單位。如：「一杯茶」、「兩杯果汁」、「兩杯麵粉」。_x000D_
"	
"嘀"	"知"	"開"	"二"	"耕"	"入"	"知"	"梗"	"dd"	"i"	1			"口"	"14"	"11"	"ㄉㄧˊ"	"嘀咕：A>低聲說話。如：「他們在嘀咕些什麼？好神祕喔！」B>形容心中遲疑不定或不安。如：「快決定吧！不要再嘀咕了。」_x000D_
"	
"食"	"邪"	"開"	"三"	"之"	"去"	"精"	"精"	"d"	"i"	6	"飼"							
"北"	"幫"	"開"	"一"	"登"	"入"	"幫"	"曾"	"bb"	"ak"	7		1	"匕"	"05	"	"03	"	"ㄅㄟˇ"	"(1)方位名。與「南」相對。如：「北方」、「北極」、「漠北」、「北半球」、「北回歸線」、「北國佳麗」。(2)失敗。如：「敗北」、「屢戰屢北」、「追亡逐北」。_x000D_
"	
"盃"	"幫"	"合"	"一"	"灰"	"平"	"幫"	"蟹"	"bb"	"ui"	1		1	"皿"	"09	"	"04	"	"ㄅㄟ"	"同「杯」。今獎杯的杯字多用「盃」。
"	
"貝"	"幫"	"開"	"一"	"泰"	"去"	"幫"	"蟹"	"bb"	"ui"	3		1	"貝"	"07	"	"00	"	"ㄅㄟˋ"	"(1)統稱生長於水中，有甲殼的軟體動物。如螺類等。(2)寶貝：A>珍貴奇異的東西。如：「這個明朝的花瓶是爺爺的寶貝。」B>比喻親愛的人。如：「每個小孩都是媽媽的寶貝。」C>戲稱愛作怪、言行特別的人。如：「你看那個寶貝又在那兒耍寶了。」_x000D_
"	
"背"	"幫"	"合"	"一"	"灰"	"去"	"幫"	"蟹"	"bb"	"ui"	3	"名詞"	1	"肉"	"09	"	"05	"	"ㄅㄟˋ
ㄅㄟ"	"1.(1)胸部的後面，從後腰以上到脖子以下的部位。如：「背痛」、「虎背熊腰」。(2)泛指物體的反面或後面。如：「刀背」、「背面」、「山背」。(3)用背部對著。如：「背山面海」、「背著太陽」、「背水一戰」。(4)離開、拋棄。如：「背棄」、「離鄉背井」。(5)違反。如：「背叛」、「違背」、「背約」、「背信忘義」。(6)躲避、瞞著。如：「背地裡」、「你是不是背著我幹了什麼壞事？」(7)默念、記憶。如：「背書」、「背誦」、「背臺詞」。(8)運氣不好。如：「最近手氣真背。」(9)聽力不好。如：「耳背」、「背聽」。2.負荷、擔負。如：「背小孩」、「背黑鍋」、「背負重任」。
"	
"狽"	"幫"	"開"	"一"	"泰"	"去"	"幫"	"蟹"	"bb"	"ui"	3			"犬"	"10"	"07	"	"ㄅㄟˋ"	"狼狽：A>處境窘迫、困頓。如：「警方出其不意的攻堅，一群綁匪衣衫不整的被帶出來，模樣十分狼狽。」B>狼狽為奸：彼此勾結做壞事。如：「這個業務員和詐騙集團狼狽為奸，偷取客戶的個人資料準備從事不法勾當。」_x000D_
"	
"奔"	"幫"	"合"	"一"	"魂"	"平"	"幫"	"臻"	"bb"	"an"	1		1	"大"	"08	"	"05	"	"ㄅㄣ"	"(1)急走。如：「狂奔」、「奔走」、「奔跑」、「奔馳」。(2)趕赴、投向。如：「投奔」、「奔喪」、「疲於奔命」。(3)逃亡。如：「林沖夜奔」。(4)私奔：男女朋友為求結合，不顧家長反對，而逃離家庭。如：「她因雙親強烈反對婚事，而不顧一切的私奔。」_x000D_
"	
"本"	"幫"	"合"	"一"	"魂"	"上"	"幫"	"臻"	"bb"	"un"	2		1	"木"	"05	"	"01	"	"ㄅㄣˇ"	"(1)草木的根。如：「根本」、「草本」。(2)事物的根源或本原。如：「基本」、「助人為快樂之本」。(3)主要的、中心的。如：「本體」、「校本部」。(4)原來的。如：「本來」、「本意」、「原本」。(5)依憑。如：「本乎良心」、「打分數要本著公平公正的原則。」(6)自己的。如：「本省」、「本國」、「本鄉」。(7)今、目前的。如：「本日」、「本年」、「本月」。(8)母金、資金。如：「成本」、「賠本」、「將本圖利」。(9)書冊、簿子。如：「課本」、「筆記本」。(10)量詞：A>計算書籍、簿冊等的單位。如：「五本書」、「三本帳簿」。B>計算戲曲分段的單位。如：「西廂記第四本」。C>計算影片攝製成的膠卷的單位。如：「這部影片長達八大本。」_x000D_
"	
"崩"	"幫"	"開"	"一"	"登"	"平"	"幫"	"曾"	"bb"	"ang"	1		1	"山"	"11"	"08	"	"ㄅㄥ"	"(1)倒塌。如：「山崩」、「崩塌」。(2)毀壞。如：「崩潰」、「禮廢樂崩」、「分崩離析」。(3)古稱天子之死。如：「駕崩」。_x000D_
"	
"逼"	"幫"	"開"	"三"	"蒸"	"入"	"幫"	"曾"	"bb"	"ik"	7		1	"辵"	"13"	"09	"	"ㄅㄧ"	"(1)以威權壓迫。如：「逼迫」、「威逼」、「逼供」、「逼人太甚」、「逼上梁山」。(2)接近、迫近。如：「逼視」、「逼近」、「逼真」。。_x000D_
"	
"廢"	"幫"	"合"	"三"	"廢"	"去"	"幫"	"蟹"	"f"	"i"	3			"广"	"15"	"12"	"ㄈㄟˋ"	"(1)捨棄不用。如：「報廢」、「廢除」、「廢止」、「半途而廢」。(2)沒有用處的。如：「廢紙」、「廢話」、「廢水」、「廢物利用」。(3)肢體殘缺或功能不健全。如：「殘廢」。(4)衰敗、毀壞。如：「百廢待興」。_x000D_
"	
"蔽"	"幫"	"開"	"三"	"祭A"	"去"	"幫"	"蟹"	"b"	"i"	6			"艸"	"15"	"11"	"ㄅㄧˋ"	"(1)遮蓋、擋住。如：「衣不蔽體」、「烏雲蔽日」。(2)遮掩、保護。如：「掩蔽」、「蔽護」。(3)遮瞞、欺騙。如：「蔽塞」、「蒙蔽」。(4)總括。如：「一言以蔽之。」_x000D_
"	
"啡"	"滂"	"合"	"一"	"灰"	"上"	"幫"	"蟹"	"f"	"i"	1			"口"	"11"	"08	"	"ㄈㄟ"	"譯音用字。如：「咖啡」、「嗎啡」。_x000D_
"	
"筆"	"幫"	"開"	"三"	"真B"	"入"	"幫"	"臻"	"bb"	"at"	7		1	"竹"	"12"	"06	"	"ㄅㄧˇ"	"(1)寫字、畫圖的用具。如：「毛筆」、「鉛筆」、「蠟筆」、「水彩筆」。(2)文字的筆畫。如：「筆順」、「起筆」。(3)寫。如：「筆誤」、「筆者」、「代筆」、「絕筆」、「筆之於書」。(4)像筆一樣直的。如：「筆直」、「筆挺」。(5)文章的寫作技巧。如：「敗筆」、「伏筆」、「驚人之筆」、「神來之筆」。(6)量詞：A>計算書畫作品運筆的單位。如：「畫幾筆潑墨山水。」B>計算金錢、項、交易等的單位。如：「一筆錢」、「兩筆獎學金」。C>計算文字筆畫數的單位。如：「文這個字共有四筆。」
"	
"必"	"幫"	"開"	"三"	"真A"	"入"	"幫"	"臻"	"bb"	"it"	7		1	"心"	"05	"	"01	"	"ㄅㄧˋ"	"一定。如：「必定」、「必然」、「必成」、「必要」、「必修」。_x000D_
"	
"肺"	"滂"	"合"	"三"	"廢"	"去"	"幫"	"蟹"	"f"	"i"	3			"肉"	"08	"	"04	"	"ㄈㄟˋ"	"動物的呼吸器官之一。以人體言，位於胸腔，分左右兩扇，左二葉，右三葉。或稱為「肺臟」。如：「肺病」、「肺炎」、「肺癌」。_x000D_
"	
"畢"	"幫"	"開"	"三"	"真A"	"入"	"幫"	"臻"	"bb"	"at"	7		1	"田"	"11"	"06	"	"ㄅㄧˋ"	"(1)完成、結束。如：「完畢」、「畢業」、「一槍畢命」、「今日事，今日畢。」(2)全部、完全。如：「畢生」、「畢散其財」、「原形畢露」、「群賢畢至」。(3)畢竟：終究、到底。如：「再怎麼說，他畢竟是我的兄弟。」
"	
"閉"	"幫"	"開"	"四"	"齊"	"去"	"幫"	"蟹"	"bb"	"ai"	3		1	"門"	"11"	"03	"	"ㄅㄧˋ"	"(1)關上、合上。如：「閉目」、「閉門思過」。(2)阻塞不通。如：「閉氣」、「閉塞」。(3)停止、結束。如：「閉會」、「閉幕」、「關閉」。_x000D_
"	
"媲"	"滂"	"開"	"四"	"齊"	"去"	"幫"	"蟹"	"p"	"i"	3			"女"	"13"	"10"	"ㄆㄧˋ"	"匹敵、比得上。如：「媲美」。_x000D_
"	
"碧"	"幫"	"開"	"三"	"清B"	"入"	"幫"	"梗"	"bb"	"ik"	7		1	"石"	"14"	"09	"	"ㄅㄧˋ"	"(1)青綠色的美石。如：「碧玉」。(2)青綠色的。如：「碧波」、「碧空」、「碧草如茵」、「碧海青天」。_x000D_
"	
"壁"	"幫"	"開"	"四"	"青"	"入"	"幫"	"梗"	"bb"	"ik"	7		1	"土"	"16"	"13"	"ㄅㄧˋ"	"(1)牆。如：「牆壁」、「家徒四壁」、「銅牆鐵壁」。(2)山崖。如：「絕壁」、「懸崖峭壁」。(3)生物的一種組織，具有保護、維持的作用。如：「胃壁」、「細胞壁」。(4)軍隊駐守的營壘。如：「壁壘分明」、「堅壁清野」。_x000D_
"	
"吠"	"並"	"合"	"三"	"廢"	"去"	"幫"	"蟹"	"f"	"i"	6			"口"	"07	"	"04	"	"ㄈㄟˋ"	"狗叫。如：「狂吠」、「雞鳴狗吠」、「蜀犬吠日」、「吠形吠聲」。_x000D_
"	
"璧"	"幫"	"開"	"三"	"清A"	"入"	"幫"	"梗"	"bb"	"ik"	7		1	"玉"	"18"	"13"	"ㄅㄧˋ"	"(1)中央有孔的圓形玉器，亦泛指玉。如：「璧玉」、「白璧」。(2)退還原物。典出「完璧歸趙」的故事。如：「璧還」、「璧謝」。(3)儀容美如璧玉的。如：「他們真是一對璧人。」(4)圓形且光潔如璧玉的。如：「璧日」、「璧月」。
"	
"鞭"	"幫"	"開"	"三"	"仙A"	"平"	"幫"	"山"	"bb"	"in"	1		1	"革"	"18"	"09	"	"ㄅㄧㄢ"	"(1)以皮條製成，用來驅使牛、馬等牲口的器具。如：「皮鞭」、「馬鞭」。(2)處罰的器具。如：「教鞭」、「竹鞭」。(3)俗稱雄性動物的生殖器官。如：「牛鞭」、「虎鞭」、「鹿鞭」。(4)用鞭子抽打。如：「鞭打」。(5)成串的爆竹。如：「鞭炮」。_x000D_
"	
