#a
p[51]巴叭芭疤笆[331]杷爬[44]把必[455]坝[335]爸霸耙
tsʰ[51]初{～一}[455]锉
s[51]嗦[44]所
k[51]歌哥高{～兴}
kʰ[44]可
x[331]河
ŋ[331]鹅蛾
∅[51]屙

#ɔŋ
p[331]棚
pʰ[44]捧
m[44]蒙
f[51]风蜂[331]封
t[51]东冬[331]同桐铜筒[455]冻[335]侗洞
tʰ[51]通[44]统捅桶[455]痛
n[331]孩浓脓
l[331]龙笼[44]咙拢[335]弄
ts[51]宗鬃
tsʰ[51]冲葱聪舂[455]铳
s[51]松[455]送
k[51]工公功蚣[331]扛[44]拱
kʰ[51]空{～气}[455]空{～闲}
x[51]烘[331]红
∅[335]蕹

#ɔk
p[24]伏
t[24]毒读独
tʰ[54]秃[54]托
l[54]掉六落[24]鹿绿
ts[54]竹烛[24]俗续族
tsʰ[54]畜
s[54]缩
k[54]谷

#i
p[331]皮枇脾[44]比[455]臂[335]备蓖
pʰ[51]披[44]屁
m[331]秘[44]眯尾[335]未
f[455]痱
t[455]地[335]些
n[44]你
l[331]梨狸离璃篱荔[44]李里{这～}理鲤[335]利
ts[331]鹚[44]姊[335]巳自
tsʰ[455]次
s[51]丝思撕[331]狮[44]死[455]四[335]事
tɕ[51]支芝枝蜘知[331]迟糍滋[44]肢只纸指子紫[335]治字
tɕʰ[44]齿[455]翅鳍刺
ɕ[51]师稀[331]匙时希[44]始屎喜[455]试戏[335]什市是
ȵ[44]耳蚁[335]二
k[51]机肌[331]饥奇骑棋旗[44]几[455]鸡记痣[335]箕
kʰ[44]起[455]气汽
∅[331]姨移[44]衣已以椅[455]亿意[335]易

#im
t[331]甜[44]点
n[51]念
l[44]蔫[455]镰
ts[51]尖
s[44]险
tɕ[455]占
ȵ[44]染
k[331]钳[455]捡剑
kʰ[455]欠
∅[51]阉[331]莞盐檐[455]厌

#in
p[51]边编鞭[44]扁[455]变[335]辩辫
pʰ[51]偏[44]蝙[455]片
m[331]绵棉[44]抿[335]面
t[51]癫[335]电
tʰ[51]天[331]田
l[44]俩[335]练链
ts[51]煎[331]前[44]剪[455]箭[335]贱
tsʰ[44]浅
s[51]先
ɕ[335]鳝
k[51]姜[331]经强[44]茧碱紧[455]件
kʰ[455]淀
x[51]身
∅[51]烟[331]然[455]砚焰燕[335]现

#iŋ
p[51]兵[331]平
pʰ[455]拼
t[331]停[335]靛
tʰ[44]挺
l[331]怜[44]两领[335]亮
ts[455]净[335]静
tsʰ[44]请
s[51]常腥[331]尝[44]想醒[455]擤像1[335]姓
tɕ[331]肠
tɕʰ[455]唱[335]拄
ɕ[51]伤赏
∅[331]扬阳赢[44]养痒[335]样

#ip
ts[54]接
s[54]涩
∅[54]腌

#it
p[54]鳖
m[24]灭
tʰ[54]铁
k[54]结

#ik
t[54]的{～确}
l[24]□{～ka³³¹：丈夫}
s[54]息

#iːn
n[44]碾
tsʰ[51]千

#iːk
tɕʰ[54]尺

#ia
tsʰ[44]且
tɕ[51]渣[455]蔗[335]鹧
tɕʰ[51]叉
ɕ[51]砂杉[331]蛇
ȵ[51]粘
k[331]茄
∅[51]爷{灶王～；姑～，姨～}椰[44]也野[335]夜

#iau
l[44]了{助词}
ȵ[331]牛
ɕ[44]手[455]兽
k[44]九韭[455]叫[335]旧舅
kʰ[44]巧
∅[44]酉[455]要{～下雨}[335]柚

#iam
∅[51]音因

#ian
ȵ[331]人年仁[44]忍
ɕ[335]顺
k[51]巾斤筋[331]今经
ŋ[331]银龈

#iaŋ
s[455]相
ɕ[51]凶
k[44]讲
∅[331]洋

#iap
ɕ[24]十
∅[54]眨

#iaːu
ȵ[331]挠

#iaːm
n[455]舔

#iaːn
p[51]斑
ɕ[51]唇申[331]辰神

#iaːp
ts[54]轧
tɕ[24]铡

#ie
pʰ[51]批
l[331]犁
ts[331]锤捶家{大～}[44]姐
s[44]水
ɕ[44]蚀洗
ȵ[335]额
∅[44]叶

#iem
t[335]垫
k[51]胗金[455]禁
∅[51]阴

#ien
p[335]办
s[51]仙[44]扇
k[331]芹

#ieŋ
p[455]柄
n[331]娘
l[331]梁粮
ts[51]章争筝
s[44]省[455]向
tɕ[335]丈
ɕ[51]生[331]成城
k[455]浆
kʰ[51]坑
∅[51]秧[331]杨

#iep
pʰ[54]秕
t[24]叠碟蝶褶
tʰ[54]贴
k[54]圾急吸{～气}

#iet
p[54]鸭[24]别
ts[54]疖摘窄
tsʰ[54]切
tɕ[24]着
ɕ[24]实术
ȵ[54]热
∅[54]一约[24]药

#iek
n[24]弱
ts[24]直值
tɕʰ[54]拆坼
ɕ[24]食

#ieːŋ
ts[455]象
s[51]箱星
k[51]羹
x[51]香{烧～～蕉}

#ieːt
p[54]八

#ieːk
p[54]柏
pʰ[54]拍魄
kʰ[54]客

#iəu
p[44]表
m[331]苗
t[331]条{量词}
l[455]料
s[44]小
tɕ[455]罩
tɕʰ[44]丑{美～}
k[331]球
∅[51]妖[331]油游[455]有[335]右

#iε
ts[331]齐
tɕʰ[51]吹

#iεn
m[335]慢
ts[331]钱
tɕ[44]铲
ȵ[455]验
ɕ[51]山
k[51]间{房～}[331]勤[455]见{意～}[335]近
kʰ[51]欺
∅[331]寅[44]隐[455]印

#io
ȵ[44]肉

#ioŋ
tɕ[335]状
tɕʰ[51]窗[455]闯
ɕ[51]霜[331]熊
kʰ[51]框[44]孔
x[331]胸
∅[51]王羊[331]永

#iok
tɕʰ[54]戳
ɕ[54]叔[24]熟
∅[24]欲

#iɔŋ]
tɕ[51]中
k[51]弓[331]穷[455]共
∅[331]绒容溶榕[44]勇蛹[335]用

#iu
p[331]瓢
pʰ[51]漂{～浮}[455]漂{～布}
m[331]瞄
t[51]叼条{粉～}[455]吊钓
tʰ[51]挑[455]跳
n[44]揪[335]尿
l[331]聊[44]缠
ts[51]椒焦蕉蘸招
tsʰ[51]锹
s[455]笑
tɕ[331]朝晨[455]照[335]就
tɕʰ[51]初{月～}
ȵ[44]绕
ɕ[51]烧梳[44]首[335]受
k[51]鸠[331]求[455]救
kʰ[455]翘
∅[331]摇[44]盛[455]鹞[335]又

#iuk
ts[24]镯

#iːu
ɕ[44]少
s[51]削宵消硝箫
k[455]轿桥
∅[51]腰

#u
p[331]脯葡[44]补簿[335]布步部
pʰ[51]扑铺
m[51]我[44]母
f[51]肤[331]扶狐壶湖葫[44]斧好{～吃}虎[455]附副傅富[335]夫腐父妇
t[331]图涂[44]堵赌[335]肚
tʰ[44]土吐[455]兔
n[44]努
l[51]路[331]芦炉鸬萝{～卜}[44]鲁[335]露
ts[51]粗[331]锄{～头}[44]祖
tsʰ[44]楚
s[44]数[455]漱
k[44]估古鼓故[335]姑
kʰ[51]鸪[44]箍苦[455]裤
∅[51]乌[331]胡糊或蜈[44]捂鹉[455]误[335]无雾

#un
m[331]瞒
f[51]欢
t[44]短
n[44]男生殖器暖
l[455]乱
ts[455]钻{动词}
s[51]酸[455]蒜算
k[335]困{～倦}

#uŋ
m[331]忙虻[44]网[335]望
f[51]方慌1[331]防房[455]搁
k[331]棺
x[51]慌
∅[51]皇[331]黄蝗磺[44]往枉

#ut
p[54]拨
pʰ[54]泼
t[24]夺
tʰ[54]脱蜕
ts[54]吮吸
kʰ[54]宽
∅[54]端{～水}[24]活

#uk
p[54]□{～tau⁵¹：肩膀}[24]薄
k[54]国

#uːn
p[51]搬拌
k[44]管[455]灌
x[331]还{～帐}[335]换

#ua
m[44]摸
t[44]朵躲[335]剁
n[335]糯
ts[51]抓[335]坐座
s[44]锁
k[51]瓜锅过蜗[44]孤寡鳏果[455]挂
kʰ[44]棵夸跨[455]货
x[51]花[44]火
ŋ[44]□{我们}
∅[331]和划窝[44]挖[455]脏[335]禾画话

#uai
t[335]对
tʰ[51]推[335]退褪
l[335]累
ts[331]随[455]醉
k[51]乖[335]怪
kʰ[455]块[335]快筷
ŋ[44]美
∅[51]歪[335]坏外

#uan
t[51]端{～午}
tsʰ[44]蠢
k[51]干竿关{～系}[44]杆秆赶滚[455]惯棍
kʰ[44]捆
x[51]婚[335]鼾旱焊
∅[51]弯[331]暗环魂纹[44]剜腕[335]玩万

#uat
∅[24]滑猾物

#uak
k[54]骨

#uaːt
k[54]割

#uei
p[51]杯[331]陪赔[455]辈[335]背{～书}被焙
m[331]媒煤[44]每[335]妹□{～ka³³¹：妻子小姑子（夫之妹）}
f[331]灰2
t[51]堆
tʰ[44]腿{大～}
n[335]内
l[331]雷[44]蕾
ts[44]嘴[455]最
tsʰ[51]催[331]捶
s[331]髓
k[51]龟[44]鬼巫[455]柜[335]跪
x[331]灰1[44]悔
∅[51]煨[331]回危围[455]苇味猬[335]会为位胃喂

#uən
p[331]盘[455]半[335]伴
k[51]官冠[455]罐
x[455]汉[335]寒苋
ŋ[51]安[44]软[335]按肝
∅[331]闻荧[44]碗

#y
l[331]驴
ts[331]厨
tɕ[51]蛛猪[331]除锄{～草}[44]煮[455]柱蛀[335]住
tɕʰ[51]蛆[44]曲取娶[335]处
ɕ[51]书输荽须[331]蜍薯[44]鼠[455]把{～尿}嗉[335]树竖
k[44]举[455]句具锯[335]去
kʰ[51]区
∅[331]如鱼[44]羽[455]雨[335]玉

#yn
n[44]女[455]蚯蚓
ts[44]转[335]赚
s[51]鲜[44]选[335]旋
tɕ[51]砖[331]传全
tɕʰ[51]穿[455]串
k[331]群
kʰ[51]圈[455]劝
x[331]浑
∅[51]冤[331]铅沿元原圆[455]远[335]愿

#yt
s[54]雪
ȵ[54]月{～蚀}
ɕ[51]园[331]船
k[54]打{～人}瘸
kʰ[54]缺
∅[24]越

#yai
tɕʰ[51]揣

#yan
k[51]关{～门}[331]裙[335]菌
y[331]云园{～麻}[335]运

#yaŋ
tɕ[335]壮

#ye
ɕ[331]血
x[455]唤
∅[331]还{～是}

#ye
tɕ[54]刷涮
k[54]桔[24]钝
ŋ[24]月{二～}

#yən
s[51]癣
k[331]拳[44]卷[335]绢
kʰ[44]犬
∅[331]丸

#yεi
ɕ[44]甩

#yεn
ɕ[51]闩栓
k[51]贵
∅[331]晕

#yɛŋ
ŋ[331]横

#yεt
k[54]刮
x[54]百
∅[24]扔

#ŋ̍
∅[44]五午
