	注释：-白读，=文读
kʰ	[1]欺㩻{去奇切，不正}坑-柿-[2]忌蜞{蜈～：蚂蝗}钳-[3]齿-起岂乞-{被}[5]去企器弃气汽
ɡ	[1]硬-[2]宜谊疑仪[3]语拟[5]御禦义议
h	[1]圩墟{大～、布～街：石狮地名}虚嘘牺熙希稀熹禧□{□～ha55-24hi33：打哈欠}耳-[2]鱼-渔-[3]许={那，原文作“许”}喜[5]戏砚-□{扔掉}
∅	[1]於淤伊{人称代词：他、她、它}医衣依□{儿语，玩耍}婴-[2]余餘移夷姨怡饴贻颐维-丸-圆-楹-[3]与倚-椅已以[5]誉预豫肄意易异燕-院-饫{依倨切，吃多而发腻}
#u	
p	[1]妇-[2]烰-{烤}炰{烤}匏-{一种瓜类}[5]富-伏-{《集韵》扶富切，孵化}
pʰ	[2]芙-浮-葡[3]殕-{腐败}□{～狸：狐狸}
b	[2]无芜诬愚{新读}娱{新读}牛-[3]武鹉舞侮抚母-拇-姆-[5]务雾遇
t	[1]诛蛛株堆推[2]厨橱蹰{愚～:犟脾气}[3]拄{顶；找钱}[5]注-
tʰ	[1]□{乌～～ɔ33tʰu33-11tʰu：黑黝黝}
l	[1]□{推倒}[2]如{新读}儒俞瑜榆逾愉[3]女{新读}乳愈[5]喻裕□{擦掉}
ts	[1]朱珠[2]□{呼鸡声，常拉长}[3]主[5]驻注=註蛀=铸聚柱=住=埾{垫}
tsʰ	[1]趋□{喷水}□{滑倒}[3]取[5]处{新读}趣厝{俗字}
s	[1]书={新读}舒={新读}须鬚=需枢输□{～～su33-11su33：儿语，尿尿}[2]殊[3]暑={新读}黍=署玺徙=墅[5]竖树=
k	[1]拘驹龟-痀{驼背}舅-[2]瞿[3]韭-久-[5]句灸具俱旧-
kʰ	[1]区驱躯邱-臼-柩-[2]跔{蹲}
ɡ	[2]愚{旧读}娱{旧读}牛{旧读}
h	[1]夫-肤烌-{灰烬}父妇=负{欺～}□{骹头～:膝盖}[2]符扶=芙=浮=[3]府腑俯甫脯=辅斧=抚釜腐[5]付驸咐赋傅=赴讣附富=腐{豆～}副负{新读}
∅	[1]迂于有-[3]雨=宇禹羽[5]污坞
#a	
p	[1]巴吧笆靶芭疤叭{喇～}□{鱼～：鱼干}[2]爸{新读}[3]把饱-[5]霸豹-爸罢□{用手打头部}
pʰ	[1]泡{身上起的水泡}抛-脬-{卵～：阴囊}葩{量词}□{火苗陡窜}[5]怕冇{俗字，不实}
b	[2]麻=痲妈{新读}猫-{狸～}□{也，也是}[3]妈{～祖}马=码=[5]骂码-{量词}密-茉-{～莉花}
t	[1]大{训，～官～家：公公婆婆}焦{干，无水分}丈{～夫：男子}担-□{到～：到如今}淡-{咸～}[2]□{乌～：黑瘦}[3]胆-疸-打[5]担-呾-{说话}赚-{错误}
tʰ	[1]他她它[3]坦-{平～}□{轻提}[5]𤙴{挑动}□{挑动}
l	[1]拉啦挠-{搅动}喇闹-{吵～}[2]蟟-{～鲤：穿山甲}蟧-{～蜈}□{差劲}萝-铙-{～钹}篮-岩-{龙～：地名}林-[3]拿榄-那娜□{～想～行：边想边走}□{～佛：番石榴}[5]□{轻轻碰触}□{毋～；不止}
ts	[1]查渣=□{～姥：女子}□{～米：量米}[3]早-[5]诈炸榨昨-□{～日：晒太阳}
tsʰ	[1]叉=钗{又读}差=[2]查樵[3]炒-吵-[5]钞-
s	[1]沙=莎砂裟□{抓取、乱抓}三-相衫-[2]□{狗扑}傻[3]洒[5]□{～□ba31-55sa31：感情融洽，做事妥当贴切}
k	[1]家=加=痂袈嘉傢=佳茄{雪～}胶-铰-交-茭-鲛-{马～}齩-{咬}咬{咬}□{～蚤：跳蚤}□{～□：木偶}柑-橄-监-[2]□{我～：惊叹语}[3]假=贾=绞-敢-囝-[5]架=驾稼价=教-酵-校-漖-{稀}
kʰ	[1]骹-尻-{～川：屁股}奇-{量词}徛-{站}坩-{一种容器}[2]奇-{～数}骑-[3]巧-[5]敲-较-{～好}徛-{竖放}
ɡ	[2]牙=芽=[3]雅=
h	[1]下-[2]霞=瑕遐暇=□{系、戴}焓{～火：烤火}□{语气词}[3]□{～□ha55-24hi33：打哈欠}[5]孝-夏=厦=□{应允声}
∅	[1]阿-啊鸦丫亚桠哑腌{又音，～臜：肮脏}也-[2]□{偏袒}[3]□{靠近}阿-{～兄}仔{俗字，词尾}抑{还是}[5]馅-□{低下}
#ia	
p	[2]平-{～仄}[3]丙-饼-[5]拚-摒-{倾倒}
pʰ	[1]𩩍{～支骨：肋骨}[2]平-坪-[3]丙-{一～药}
b	[2]明-名-[5]命-
t	[1]爹锭-[2]埕{俗字}庭-定-{又音，～～：常常}[3]鼎-[5]定-碇-靛-
tʰ	[1]听-厅-[2]呈-程-停-[5]疼{训，疼、疼惜}
l	[2]娘-[3]惹领-岭-[5]□{语气词}
ts	[1]遮精-正-□{背负}[2]情-成-诚-[3]姐者-䭕{味道淡}[5]蔗鹧正-□{面～:面筋}□{以中指羞辱人}
tsʰ	[1]车奢□{推倒}吒{～吒}清-{福～}[2]斜成-{陪送嫁妆}[3]且请-[5]倩-□{陡}
s	[1]些赊社声-□{～实：真实}[2]佘邪蛇=畲成-城-啥□{引诱}[3]写捨[5]泻卸赦舍谢射麝圣-□{谷仓}
k	[1]京-惊-件-□{陡坡}[2]行-[5]寄-健-镜-
kʰ	[5]庆-
ɡ	[2]鹅-蜈-迎-
h	[1]桸-{大勺子}靴蚁-兄-[2]燃-惶{俗字，惊～}[5]艾-
∅	[1]埃-{尘土飞扬}掖-{撒播}□{～葵扇：摇扇子}[2]爷耶椰盈-赢-营-萤-[3]冶野影-犹-{仍未，还}雅{（本字待考）副词，很}□{副词，很}[5]夜𤸸{倦态}也=
#ua	
p	[1]般-搬-拌-{～衫裤：拍打衣物}[2]盘-[3]坂-[5]簸-半-
pʰ	[1]潘-伴-[2]盘-[5]破-判-叛-贩-□{～水：分流引水}
b	[1]幔-{披}[2]磨-麻-瞒-鳗-[3]满-
t	[1]单-端-{因～：原因}舵-弹-懒{贫～，原文作“惮”}[2]坛-弹-[3]□{～～：总是}[5]带-旦-大-段-蹛{住}
tʰ	[1]拖-滩-摊-豸-{虫～}[3]铲{～草：锄草}[5]炭-□{渗开，繁衍}汰-{～衫裤：用清水洗涤衣物}
l	[1]拖-{又音}□{多少}澜-{唾液}[2]拦-栏-[3]摊-{揉}[5]赖-烂-□{量词，行}僆{鸡～}
ts	[1]抓煎-溅-{喷溅}[2]蛇-泉-残-[3]纸-盏-笊[5]誓-煎{～油：熬油}□{量词：行}
tsʰ	[1]䉔{小刺}鳝-[2]□{～草：拔草}[3]癣-[5]蔡-𤆬{娶妻、带领}闩{训，～门：关门}
s	[1]沙-鲨-山-刷{俗读}[3]徙-散-产-[5]伞-散-线-□{接续}汕-
k	[1]歌-瓜=柯-肝-杆-竿-乾-官-棺-菅-{～芒}□{提}□{铜～：铜板儿}过-{菜老}[2]寒-[3]赶-[5]过-{罪～}盖-芥-挂卦汗-
kʰ	[1]夸跨宽-[3]寡-可-{小～}款-[5]看-𣹇{放置、船搁浅}
ɡ	[3]我-[5]外-
h	[1]花=欢-瓦-哗-{反～}[2]华鼾-[5]化=岸-□{～家：持家}
∅	[1]娃旱-安-鞍-垵-{地名用字}[2]何-{无奈～}[3]瓦=倚-碗-腕-[5]晏-换-□{扶、靠}
#e	
p	[1]飞-倍-爸{训}[2]爬-琶-杷-赔-扒-{～痒：挠痒}[3]□{～食：骗吃}把-[5]坝-背-焙-耙-敝蔽弊毙币陛
pʰ	[1]胚-坯-被-[2]皮-[5]帕-配-杮{方废切，竹片}
b	[2]迷谜糜-微-妹-{又音}[3]马-码-蚂-尾-[5]妹-未-
t	[1]□{端午节用面粉炸成的饼}弟=[2]茶-题=[3]短□{～好：最好}[5]戴-帝块{训}□{块}跟{训}缀{跟}埭-代-袋-递第=地=□{处所}□{～屎：拉屎}
tʰ	[1]胎-推-䖙{躺卧}□{躺卧}[2]堤提[3]体=[5]䖳-退-替=
l	[1]□{～～：儿语，乳房}□{山～：蜻蜓}[2]螺-脶-犁=黎=璃梨=丽泥{旧读}挼{（本字待考）揉}[3]礼□{□～ka33le55：木偶}□{时态助词，在}[5]例厉=励丽隶
ts	[1]渣-灾-剂坐-罪-[2]齐=□{乌□～ɔ33ka33tse24：蝉}[3]济{～南：地名}[5]晬{度～：婴孩周岁，原文作“睟”}债-寨-祭际制製济□{“一（训）下”的合音}
tsʰ	[1]叉-杈-差-妻=栖=吹-炊-[2]箠-{小竹条}[3]髓-□{～尾：最后}□{～～：彼此彼此}[5]□{找}脆-厕切=尺{工～谱}
s	[1]纱-痧-砂-西=[2]垂-□{老～：父亲的背称}[3]洗=[5]世=势=誓=逝细=税-□{猛击或猛掷}
k	[1]家-加-傢-街=鸡=奎=下-{悬～：高低}□{都，全都}[2]枷-[3]果-粿-假-□{垫东西}[5]过-架-嫁-价-计=继髻-
kʰ	[1]科-稽=溪=[2]瘸-葵-[3]启[5]契=下-{放置}
ɡ	[2]牙-芽-衙-□{讨厌}□{量词，个}[5]艺=毅
h	[1]灰-暇-{放～：放学}下-{～愿：许愿}□{～痀：哮喘}[2]虾-霞-奚和-回-[3]火-伙-贿-{家～：家产}[5]货-系係岁-荟-会-{分～：分辨解释}夏-
∅	[1]锅-祸-下-{～底：下面}厦-{～门；地名}解-{知晓、会，常训写成“会”}[2]□{结构助词：的}[5]秽{传染、弄脏}下-{一（训）～}
#ue	
p	[1]杯𤖯{球～}[2]培陪裴[5]贝狈辈佩背=
pʰ	[1]批[3]䫌{面～:脸颊}[5]稗-配=
b	[1]袂{俗字，不会、不懂、不，“无解”的合音词}𣍐{不会、不懂、不，“无解”的合音词}[3]买-[5]卖-
t	[1]苎-[2]题-蹄-[3]底-贮-[5]兑地-
tʰ	[1]□{刨}钗-[3]体-[5]替-退=蜕=
l	[2]犁-[3]詈-[5]内芮鋭□{擦掉}
ts	[1]罪-[2]齐-[5]做-最□{多}赘
tsʰ	[1]初-妻-[2]□{慢慢擦地前行}[5]粞-{米～}□{擦}
s	[1]梳-疏-蔬-栖-衰[3]洗-黍-[5]细-岁帅说
k	[1]瓜-皆-街-鸡-阶-{墙～}奎-[2]鲑-[3]改-解-[5]界-疥-会{～计}刽桧绘-怪-鳜-□{容易}
kʰ	[1]溪-盔魁稽-{～削：挖讽}恢□{刮}[5]契-喫-{啃食}□{头发多且杂密：汝头毛真～，赶紧去剪头}
ɡ	[2]倪-[5]外=艺-
h	[1]花-灰=蟹-[2]回=茴铧-[3]贿=悔[5]化-{德～：地名}废汇会
∅	[1]挨-{挨碰}[2]鞋-喂[3]矮-[5]画-话-卫喂□{拿}
#o	
p	[1]菠-玻褒[2]婆[3]保-堡宝[5]报薄{～荷}
pʰ	[1]波坡抱-
b	[1]□{量词，蚊子咬过的包}[2]无-[5]磨帽
t	[1]多-{差～tsʰat5-24to：差不多}刀道-[2]驼驮逃萄□{～：哪}[3]祷-岛-躲倒□{～落：哪里}[5]倒道-{新读}
tʰ	[1]□{鸭、鹅啄食}[2]桃□{□～tʰit5-24tʰo24：玩耍}[3]讨[5]妥套椭
l	[1]啰□{～□：暖和}[2]罗锣箩逻哪{～吒}挪牢醪{浑浊}[3]脑恼老-□{□～o33lo55：称赞}[5]□{闩门}□{吃、揍}
ts	[1]座{量词}造[2]槽嘈[3]枣左-{～轮}[5]做=奏骤座
tsʰ	[1]臊粗{～桶}[3]础-楚-草-[5]措-错糙-挫剉{砍、劈}莝{砍、劈}
s	[1]梭唆嗦骚搔搜搓[2]趖{慢慢前行}[3]锁琐嫂叟[5]扫-嗽瘦燥
k	[1]哥歌-高膏篙羔糕戈□{掉落}[2]□{滚动}[3]稿[5]个告-□{～船：用竹篙撑船}
kʰ	[1]科=苛棵颗□{久煮，民间俗写“柯”}[2]□{态度不耐烦、刁难}[3]洘{浓稠}[5]课犒□{～浅：搁浅}□{被硬物硌着}
ɡ	[2]□{闲逛}[5]饿
h	[1]□{吆喝}[2]河何-荷和-禾豪壕毫[3]好[5]荷{薄～}贺号-
∅	[1]欧鸥挝{老～}□{～□o33lo55：称赞}窝-□{加热}[2]蚝[3]袄[5]奥澳
#io	
p	[1]镖-鳔-□{玩闹}[3]表-裱-
pʰ	[2]瓢-薸-{浮萍}□{□～tsiau33pʰio24：礼帽}[3]剖[5]票-漂-
b	[2]贸谋[3]藐-秒-{新读}母=[5]庙-茂
t	[2]潮-赵-跳-{跺脚}投=[3]斗=[5]钓-鬥=铫-豆=逗=
tʰ	[1]挑-[2]跳-{弹跳蹦起}头=[5]粜-
l	[2]楼=□{刀割}[3]瞜{偷看}[5]漏=陋=尿-躼{俗字，个子高}
ts	[1]蕉-椒-招-[3]少-[5]照-
tsʰ	[1]□{动物发情}[5]笑-耀{照}
s	[1]霄-烧-萧-[2]□{办事拖拉}[3]小-
k	[1]勾=沟=钩=购[2]茄荞-桥-[3]苟[5]叫-够=构轿-
kʰ	[3]口=[5]窍-叩扣寇
ɡ	[2]蛲-{一种贝类}[3]藕偶
h	[1]后厚=後=[2]侯=喉=[3]否[5]候
∅	[1]邀-腰-[2]摇-窑-[3]舀-□{用棍棒殴打}
#ɔ	
p	[1]菠={～薐菜}埠夫-晡{下～}埔{大～：地名}痡{《集韵》奔模切，木材朽烂}部[2]衭{《集韵》冯无切，衣物的褶边}捕袍{龙～}[3]补脯-斧-保=[5]布佈怖哺播傅-步
pʰ	[1]铺麸-簿□{毛重，十斤～：毛重十斤}[2]菩扶-莆[3]谱普浦圃[5]破=铺
b	[1]摸{又音}[2]魔摩漠{俗音}模摸摹毛=髦[3]某亩牡姥{（本字待考）妻子}□{妻子}[5]暮慕墓募幕冒戊
t	[1]多=都肚道=[2]徒途涂图厨佗陀淘陶涛杜[3]堵赌睹屠祷=肚岛=[5]妒度渡镀到蹈道={新读}盗导□{临摹、复写、传染}
tʰ	[1]滔[2]塗□{给予义动词}[3]土吐[5]吐兔□{又音，给予义动词}
l	[1]卤-□{摇动、懒散}[2]奴努卢炉庐芦鲈鸬庐劳痨捞牢[3]鲁橹裸虏卤老=[5]怒路赂露鹭
ts	[1]租[2]曹[3]左=祖组阻[5]助佐
tsʰ	[1]粗初=[3]楚=础=草=[5]醋操{曹～}措=糙=躁=
s	[1]苏酥梳=疏=蔬=□{～腰：驼背}[3]所[5]素诉数=扫=躁-{～性}
k	[1]歌{～诀}姑鸪菇辜孤高=[2]糊-[3]果=裹古估股鼓[5]过=故固锢雇顾告=
kʰ	[1]箍枯呼-[2]糊-{又音，维持}[3]可苦许=考烤[5]库裤靠
ɡ	[1]五-[2]俄娥峨吴吾梧[3]我=五=伍午忤[5]卧误悟傲
h	[1]呼=乎户雨-[2]何={～必}和=狐胡=葫糊=□{捞}[3]火=虎唬浒[5]戽好□{应允声}互护号=
∅	[1]阿{～弥陀佛}倭窝=乌[2]□{～～睏}胡-湖蝴瑚弧壶盂[3]□{～饭：扒饭}[5]芋恶□{袒护}
#ui	
p	[2]肥-爿-[3]反-[5]吠-沸-痱-
pʰ	[5]屁-□{～痰：吐痰}
b	[1]□{眯眼}[2]梅莓玫枚媒=煤[3]每[5]妹=
t	[1]堆追□{门～：门槛}[2]锤槌{动词}[5]对碓店-橂{坚硬}队坠
tʰ	[1]梯推[2]槌[3]腿[5]□{～包：掉包}坠{耳～}□{～毛：鸟类换毛}
l	[1]镭{俗字，钱}[2]雷莲-□{抹，研磨}[3]累蕊垒蜢-{草～}[5]累类泪楝-荔-{～枝}□{以绳子坠物}
ts	[1]锥椎[2]前-[3]指-水-[5]醉
tsʰ	[1]推{《集韵》川锥切}催崔吹炊□{拉紧}千-清-[3]筅-□{跳动}□{皮肤生的小颗粒}[5]碎脆=翠粹悴喙{嘴巴}
s	[1]蓑虽绥荽□{苏～仔：刘海}先-□{尿～}[2]随隋垂=谁[3]水=嫷{漂亮}[5]睡瑞遂隧穗
k	[1]圭闺规龟=归□{□～kap24-11kui：蝌蚪}胿{颔～:脖子}□{颔～:脖子}间-肩-关-跪[2]逵葵怀-{通～：口袋}悬-[3]癸几鬼拣-梗-裥-{衣褶子}[5]挂-桂季贵柜怀-{又音，带～：怀孕}惯-县-
kʰ	[1]开-亏窥[3]傀诡轨愧[5]溃快-{～活}气-
ɡ	[3]眼-研-[5]魏
h	[1]非菲飞=妃挥辉徽[2]横-磁{俗字，陶瓷，～灶：晋江地名，昔以出产陶瓷闻名}□{陶瓷}[3]毁匪诽[5]肺慧费讳卉惠苋-□{分别馈赠}
∅	[1]威胃[2]桅危伪为维={新读}唯惟遗违围闲-[3]萎委痿韦伟苇纬[5]位畏慰谓为
#iu	
p	[1]彪
b	[5]谬
t	[1]丢张-纣宙丈-粙{稻子}[2]绸稠筹踌场-[3]长-[5]帐-涨-胀-住-昼=
tʰ	[1]抽[3]丑
l	[1]溜[2]流=刘=浏留=榴瘤硫琉柔揉鰇{～鱼：鱿鱼}娘-量-粮-梁-粱-凉-[3]纽扭钮柳两-□{～掠：手脚敏捷}[5]让-馏{加热饭菜}
ts	[1]周舟州洲蟑{～蜍：癞蛤蟆}章-浆-樟-珠-痒-[2]裳-{裀～：衣裳}[3]酒帚守-蒋-桨-[5]蛀-咒酱-障-就上-养{头～：头一胎}
tsʰ	[1]鬚-秋□{一～尿：一泡尿}羞-枪-昌-象-像-橡-上-{～水：打水}[2]愁墙-杨-{～梅}扬-{～粟}□{套别人的话}[3]取{赎回}帚{又音}手-抢-厂-[5]唱-树-□{拍□～pʰaʔ5at5-24tsʰiu31：打喷嚏}
s	[1]修羞=收相-箱-厢-伤-{过于}受想-[2]囚泅仇酬售瘍-{～～：黏黏糊糊}[3]首守=赏-[5]秀绣锈袖兽相-受{新读}授尚-寿□{巢}
k	[1]薑-缰-□{蜷缩}舅=[2]求球强-[3]九=久=[5]纠救究
kʰ	[1]丘=姜-腔-柩=[2]□{～俭：节俭}□{毛发卷}[3]□{拉扯}[5]□{干爽}
h	[1]休香-乡-[2]裘-[3]朽[5]□{甩}
∅	[1]忧优悠幽鸯-秧-[2]尤邮由油游遊犹鱿羊-洋-烊-杨-扬-阳-[3]有=酉友诱养-[5]幼又右佑柚样-
#ai	
p	[2]排牌[3]跛-摆[5]拜败
pʰ	[3]否{坏}[5]沛派
b	[1]□{□～tsi33bai33：女阴}□{干饭}[2]埋眉-楣-[3]买=□{火光微弱}□{扭伤}[5]□{探望}卖=迈
t	[1]呆怠殆舵-[2]□{敲锣声}台臺埋□{～鱼：一种淡水鱼}□{鸡～：鸡身上的寄生虫}[3]滓-□{一～仔：一小个}[5]戴=贷代=黛=带=怠{新读}殆{新读}大=事蚮{蚣～：海滩上的一种贝类}
tʰ	[1]胎=□{风～：台风}筛-[2]抬治{杀}[3]癞{～哥=：麻风病}□{半番半～：不明事理}[5]态太汰=泰待
l	[1]裡-[2]来梨-[3]乃[5]耐奈=赖利-
ts	[1]灾=栽哉斋知=在[2]才材-财豺脐-仔{新读，牛～裤}[3]宰滓-[5]再载
tsʰ	[1]猜差=[2]材=裁[3]彩采[5]菜
s	[1]西-栖-犀-私-师-狮-[3]屎-使-史-驶-[5]赛婿-侍-使-事-{熟～}姒-{同～：妯娌}□{放置}
k	[1]该皆=阶=□{～己：自己}[3]改-解-□{～边：腹股沟}[5]盖=丐钙介界=芥=疥=届戒
kʰ	[1]开=[3]凯楷暨{俗音}[5]概溉慨
ɡ	[2]呆涯崖[5]碍艾=
h	[1]□{大}亥骇懈蟹=[2]孩□{下～：下巴}谐械[3]海[5]害
∅	[1]哀埃=挨=[3]蔼[5]爱隘□{～仔：唢呐}
#uai	
ts	[2]□{这些}
k	[1]乖[3]拐[5]怪=
kʰ	[5]快=
h	[2]怀槐淮□{那些}[5]坏
∅	[1]歪
#au	
p	[1]包胞[2]包{～公}鲍[3]饱
pʰ	[1]抛=抱=□{～～：圆润}[3]跑[5]袍-炮泡雹
b	[1]□{击打}[2]茅矛[3]卯□{估计}[5]貌□{过热水煮食物}
t	[1]兜-[2]投-骰-[3]斗-□{量词，回、次}[5]到-罩-鬥-昼-豆-
tʰ	[1]偷-[2]头-[3]敨-{解开}[5]透-毒-
l	[1]老-[2]楼-流-刘-留-[3]老-粩{俗字，麻～：一种米制本地零食，长条状，外层裹上芝麻}[5]漏-闹老-{～板}落-
ts	[1]找{～钱}糟[2]巢剿褿{均匀，齐整}[3]蚤-走-[5]灶
tsʰ	[1]操-抄[2]□{挪移调整}[3]草-吵=[5]钞=臭
s	[1]□{～声：声音沙哑}骚={阿～仔：对外地人的蔑称}[5]扫-嗽-
k	[1]交=郊勾-钩-沟-厚-[2]猴-[3]狡搞咬=垢-{～□kau55-24kueʔ5：污垢}狗-九-[5]教=校=较够-到{训}
kʰ	[1]抠-阄-敲=薅-{～草：锄草}[3]口-[5]铐哭-
ɡ	[2]𠢕{厉害}肴[5]乐{五教切}
h	[2]侯-□{～□hau24-11siau24：不实在、反常奇怪}[3]吼-[5]酵=孝=哮效校鲎-后-{又音，～生}
∅	[1]欧-瓯-沤-后-[2]喉-[3]呕-[5]奥-懊-恶{难闻、恶心}□{～□au31-55sai55：出局}
#iau	
p	[1]标={又音}[3]表=婊
pʰ	[1]标=飘[2]瓢=嫖[5]票=漂=
b	[2]苗描瞄[3]藐=渺秒=杳淼[5]妙
t	[1]朝刁貂雕凋碉兆肇□{整治}[2]朝潮=条调牢{圈养牲畜的巢、牢靠}[5]钓=吊掉召调
tʰ	[1]挑=超{～工：特地}柱-[2]□{面～：痤疮}[3]窕[5]眺跳
l	[1]猫{训}[2]燎僚寮疗辽聊寥□{剪裁、锯}□{皱}[3]爪-扰鸟-了瞭潦[5]料廖爪-□{拴住}
ts	[1]焦蕉=钊=昭招=[2]樵憔焦{又音}[3]沼鸟[5]照=诏
tsʰ	[1]超=□{搜}[5]俏
s	[1]消逍宵霄=硝销萧=潇箫[2]韶□{精液}潲{精液}[3]小=少=痟{疯}[5]数-笑=鞘少绍邵
k	[1]骄娇交□{连词，和}[2]乔侨桥=荞=[3]搅缴□{跋～：赌博}[5]叫=轿=
kʰ	[1]跷{～骹}[3]巧-[5]窍=翘
ɡ	[1]□{挠痒}[3]□{语不正}
h	[1]嚣枭骁侥{翻找、违背}[2]娆{女子行为不检点}姣{女子行为不检点}[3]晓
∅	[1]枵-{肚子饿}妖夭邀-要么[2]谣瑶遥摇=窑姚尧[3]夭{～寿}[5]要耀跃{俗音}
#im	
t	[2]沉[5]朕□{分量足而沉}□{炖}
tʰ	[1]琛[5]□{扔}
l	[5]□{喝}[2]林=淋=琳霖临=壬[3]忍=凛廪[5]赁任刃韧妊认{又音}
ts	[1]簪=斟□{吻}[2]蟳[3]枕婶-怎[5]浸
tsʰ	[1]侵深-[2]□{～□tsʰim55-24tsʰim24：一种铙钹}[3]寝□{□～tsʰim55-24tsʰim24：一种铙钹}
s	[1]心芯[2]寻[3]沈审[5]甚□{抖动}
k	[1]今金妗[3]锦[5]禁
kʰ	[1]钦襟[2]琴禽擒
ɡ	[2]岑{西～：地名}吟
h	[1]欣鑫[2]熊-[5]□{猛砸}
∅	[1]淹-音阴[2]淫[3]饮=[5]荫□{使密闭}
#am	
t	[1]耽眈担=□{用舌头浅尝}[2]谈□{湿}[3]胆=[5]淡氮頕{头低下}
tʰ	[1]贪坍[2]覃潭谭坛昙痰[5]探
l	[1]□{瘍～～：脏兮兮}[2]南楠男婪蓝淋-[3]览揽缆荏{体弱}[5]滥舰
ts	[1]簪-针-臜{腌～}□{胡蝇～}錾{斩}站[2]□{～岩：牢固结实}[3]斩[5]蘸
tsʰ	[1]参掺[2]蚕谗馋[3]惨[5]忏谶{咒～}
s	[1]三=叁杉衫=[3]糁{滥～：胡乱随便}[5]□{头发披散}□{～□sam31-55siau24：挖苦}
k	[1]甘柑=泔[2]含-[3]感敢=□{埋}[5]鉴监
kʰ	[1]堪龛[3]坎砍侃□{空～：神气}[5]勘㔶{盖住}
ɡ	[2]岩=癌
h	[1]蚶□{大吃}[2]含函涵=邯咸衔[5]憾□{～～：尚可}陷
∅	[1]庵鹌腌{～臜}□{呆傻}颔-{～胿：脖子}[2]涵-{～：涵洞}[3]饮-{饭汤}[5]暗
#iam	
t	[1]砧□{安静}[2]□{大～：大力}[3]点[5]店□{居住}
tʰ	[1]添=[3]□{程度深}[5]□{物体扔入水中、把所有财物集中到某事某物}
l	[1]□{～骹：蹑手蹑脚}[2]黏粘廉镰帘=临-连[3]敛染=[5]念捻{训，掐}
ts	[1]尖詹瞻{偷看}[2]潜[5]占暂渐
