汉字	IPA	注释
饵	zi5	鱼～
几	ki1	
饥	ki1	
机	ki1	
肌	ki1	
矶	ki1	
叽	ki1	
支	ki1	
枝	ki1	
肢	ki1	
吱	ki1	
基	ki1	
箕	ki1	
姬	ki1	
既	ki1	
奇	ki2	
骑	ki2	
其	ki2	
期	ki2	
棋	ki2	
旗	ki2	
琪	ki2	
祈	ki2	
祁	ki2	
歧	ki2	
鳍	ki2	
几	ki3	～个
己	ki3	
杞	ki3	
纪	ki3	
技	ki4	
伎	ki4	
妓	ki4	
记	ki5	
忌	ki5	
欺	kʰi1	
蜞	kʰi2	岳～：蚂蟥
岂	kʰi3	
起	kʰi3	
齿	kʰi3	白读，牙～
柿	kʰi4	
企	kʰi4	
气	kʰi5	
汽	kʰi5	
弃	kʰi5	
器	kʰi5	
宜	ɡi2	
谊	ɡi2	
仪	ɡi2	
疑	ɡi2	
议	ɡi3	
蚁	ɡi3	
拟	ɡi3	
□	ɡi3	指
义	ɡi5	
希	hi1	
稀	hi1	
牺	hi1	
熙	hi1	
熹	hi1	
禧	hi1	
嬉	hi1	
喜	hi3	
耳	hi4	白读，～空：耳朵
戏	hi5	
衣	i1	
依	i1	
伊	i1	
医	i1	
夷	i2	
姨	i2	
胰	i2	
怡	i2	
贻	i2	
饴	i2	
唯	i2	
维	i2	
惟	i2	
潍	i2	
彝	i2	
颐	i2	
移	i2	
已	i3	
以	i3	
椅	i3	
倚	i3	
矣	i4	
□	i4	阿～：祖父
亿	i5	
乜	i5	
肄	i5	～业
意	i5	
臆	i5	～造
易	i5	容～
异	i5	～己
□	pu1	亲小儿
炰	pu2	把食物直接放在火堆中烧熟
瓠	pu2	葫芦
妇	pu4	白读，新～：新娘；媳妇
孵	pu5	
浮	pʰu2	白读
芙	pʰu2	～蓉
葡	pʰu2	～萄
殕	pʰu3	生～：食物放久后生长毛
普	pʰu3	白读，天～～光：天蒙蒙亮
无	bu2	
芜	bu2	
武	bu3	
鹉	bu3	
侮	bu3	白读
母	bu3	
怃	bu3	
抚	bu3	
妩	bu3	
□	bu4	从口腔里吐出来
务	bu5	
雾	bu5	
鹜	bu5	
巫	bu5	
诬	bu5	
蛛	tu1	蜘～
厨	tu2	
橱	tu2	
抵	tu3	白读，顶住
□	tu3	～～：正好
□	tu3	找钱
□	tu4	沾水
注	tu5	白读，落～：下赌注
堵	tu5	
拖	tʰu1	～地板
□	tʰu3	搠
朱	tsu1	
珠	tsu1	
株	tsu1	
侏	tsu1	
诛	tsu1	
主	tsu3	
柱	tsu4	
住	tsu4	
炷	tsu4	
驻	tsu4	
聚	tsu4	
注	tsu5	
蛀	tsu5	～虫
铸	tsu5	
趋	tsʰu1	
雏	tsʰu1	
取	tsʰu3	
娶	tsʰu3	
趣	tsʰu5	
厝	tsʰu5	房子
输	su1	
须	su1	
需	su1	
舒	su1	
殊	su2	
玺	su3	
徙	su3	
嗽	su3	白读，吮吸
暑	su5	
曙	su5	
树	su5	
竖	su5	
𥚢	su5	又读
儒	zu2	
孺	zu2	
蠕	zu2	
俞	zu2	
瑜	zu2	
榆	zu2	
愉	zu2	
逾	zu2	
愈	zu3	
乳	zu3	
裕	zu5	
喻	zu5	
拘	ku1	
驹	ku1	
□	ku1	蹲
龟	ku1	金～：虫名
□	ku1	hau1～：驼背
居	ku1	白读，在
久	ku3	白读
舅	ku4	白读
具	ku5	
惧	ku5	
旧	ku5	白读
句	ku5	
瞿	ku5	
区	kʰu1	
岖	kʰu1	
躯	kʰu1	
驱	kʰu1	
丘	kʰu1	白读
臼	kʰu4	
愚	ɡu2	
诬	ɡu2	
牛	ɡu2	白读
寓	ɡu5	
愚	ɡu5	
遇	ɡu5	
夫	hu1	
肤	hu1	
麸	hu1	
孚	hu1	
俘	hu1	
蜉	hu1	
灰	hu1	白读，火～：灰烬
敷	hu1	
扶	hu2	
芙	hu2	
符	hu2	
斧	hu3	～正
府	hu3	
俯	hu3	
腑	hu3	
甫	hu3	
父	hu4	
妇	hu4	
付	hu5	
咐	hu5	
附	hu5	
驸	hu5	
赴	hu5	
讣	hu5	
傅	hu5	
富	hu5	
副	hu5	
赋	hu5	
辅	hu5	
腐	hu5	
负	hu5	
污	u1	
宇	u1	
雨	u3	
禹	u3	
羽	u3	
有	u4	
□	u5	以香烫物
□	pe1	往嘴里扒饭
爬	pe2	白读
杷	pe2	白读
耙	pe2	白读
扒	pe2	白读
白	pe2	白读
把	pe3	白读，火～
伯	pe3	白读
柏	pe3	白读
剥	pe3	白读
爸	pe4	白读，客～：岳父
币	pe5	
毙	pe5	
弊	pe5	
蔽	pe5	
□	pʰe5	量词，东西盛满一围裙
咩	be1	羊叫声
迷	be2	
脉	be2	白读
麦	be2	白读
马	be3	
码	be3	
茶	te2	
硩	te3	压，回赠
弟	te4	
第	te4	
帝	te5	
地	te5	
撑	tʰe1	白读，～雨伞
□	tʰe1	半躺
提	tʰe2	
堤	tʰe2	
宅	tʰe2	
体	tʰe3	
□	tʰe4	海～
黎	le2	
丽	le2	高～
礼	le3	
丽	le5	美～
渣	tse1	白读
齐	tse2	
脐	tse2	～带
仄	tse3	平～
叔	tse3	白读，三～，四～
祭	tse5	
际	tse5	
济	tse5	
制	tse5	
寨	tse5	白读
妻	tsʰe1	
凄	tsʰe1	
栖	tsʰe1	
叉	tsʰe1	白读
杈	tsʰe1	白读
镲	tsʰe2	钹，声音沙哑
册	tsʰe3	
西	se1	
纱	se1	白读
痧	se1	白读，着～：中暑
旋	se2	白读，唾～：围嘴
□	se3	木质条状框，上可放物
世	se5	
泄	se5	
势	se5	
细	se5	
逝	se5	
多	ke1	白读
家	ke1	白读
街	ke1	
鸡	ke1	
圭	ke1	
枷	ke2	
格	ke3	白读
假	ke3	白读
计	ke5	
继	ke5	
嫁	ke5	白读
价	ke5	白读
架	ke5	白读
溪	kʰe1	白读
启	kʰe3	
客	kʰe3	白读
契	kʰe5	
牙	ɡe2	白读
芽	ɡe2	白读
衙	ɡe2	白读
个	ɡe2	白读
艺	ɡe4	
毅	ɡe4	
□	he1	～ku1:哮喘
虾	he2	白读
霞	he2	白读
暇	he4	白读，放～：放学
夏	he5	白读
系	he5	
哑	e1	白读，～九：哑巴
□	e2	惊奇声
下	e4	白读
解	e4	白读，会
会	e4	训“解”
厦	e5	～门
白	pie2	
帛	pie2	
别	pie2	辞～
弼	pie2	
必	pie3	
毕	pie3	
笔	pie3	
伯	pie3	
百	pie3	
迫	pie3	
柏	pie3	
逼	pie3	
鳖	pie3	
匹	pʰie3	
撇	pʰie3	～开
碧	pʰie3	
魄	pʰie3	
瞥	pʰie3	
僻	pʰie3	
劈	pʰie3	
霹	pʰie3	～雳
密	bie2	
蜜	bie2	
灭	bie2	
蔑	bie2	
墨	bie2	
默	bie2	
藐	bie2	
脉	bie2	
麦	bie2	
蝶	tie2	
谍	tie2	
牒	tie2	
叠	tie2	
直	tie2	
值	tie2	
植	tie2	
殖	tie2	
侄	tie2	
笛	tie2	
秩	tie2	
狄	tie2	姓
泽	tie2	
择	tie2	
特	tie2	
蛰	tie2	
的	tie3	
得	tie3	
竹	tie3	
德	tie3	
摘	tie3	
嫡	tie3	～系
滴	tie3	
帖	tʰie3	
贴	tʰie3	
铁	tʰie3	
惕	tʰie3	
剔	tʰie3	
彻	tʰie3	
沏	tʰie3	
撤	tʰie3	
□	tʰie3	白读，～桃：玩耍，游玩
列	lie2	
烈	lie2	
裂	lie2	
力	lie2	
历	lie2	
立	lie2	
笠	lie2	
粒	lie2	
猎	lie2	
绿	lie2	白读
聂	lie3	
摄	lie3	
慑	lie3	
粟	lie3	战～
涅	lie3	
捏	lie3	～造
掠	lie3	～夺
集	tsie2	
疾	tsie2	
寂	tsie2	
籍	tsie2	户～
捷	tsie2	
截	tsie2	
一	tsie2	白读，～尾鱼
执	tsie3	
折	tsie3	
浙	tsie3	
接	tsie3	
质	tsie3	
织	tsie3	
职	tsie3	
积	tsie3	
责	tsie3	
绩	tsie3	
脊	tsie3	～椎
烛	tsie3	白读
则	tsie3	
迹	tsie3	
即	tsie3	
鲫	tsie3	
节	tsie3	
哲	tsie3	
缉	tsʰie3	
辑	tsʰie3	
楫	tsʰie3	
测	tsʰie3	
侧	tsʰie3	
妾	tsʰie3	
窃	tsʰie3	
切	tsʰie3	
七	tsʰie3	
戚	tsʰie3	
赤	tsʰie3	
擦	tsʰie3	白读，～桌布
策	tsʰie3	
粟	tsʰie3	白读，稻子
十	sie2	
习	sie2	
拾	sie2	
涉	sie2	
石	sie2	
舌	sie2	
席	sie2	主～
食	sie2	伙～
袭	sie2	
蚀	sie2	日～
熟	sie2	白读
实	sie2	
湿	sie3	
涩	sie3	
失	sie3	
息	sie3	做～：干活
媳	sie3	
熄	sie3	
昔	sie3	
惜	sie3	
设	sie3	
室	sie3	
色	sie3	
识	sie3	
式	sie3	
饰	sie3	
适	sie3	
释	sie3	
析	sie3	
锡	sie3	
悉	sie3	
入	zie2	
日	zie2	
热	zie2	白读
□	zie3	追赶
及	kie2	
杰	kie2	
极	kie2	
剧	kie2	
桀	kie2	
吉	kie3	
洁	kie3	
橘	kie3	
急	kie3	
给	kie3	供～
劫	kie3	
夹	kie3	
峡	kie3	
揭	kie3	
击	kie3	
激	kie3	
革	kie3	
格	kie3	及～
克	kʰie3	
刻	kʰie3	
笈	kʰie3	皮～：皮箱
乞	kʰie3	
吸	kʰie3	
挈	kʰie3	～起：提起
业	ɡie2	
孽	ɡie2	
玉	ɡie2	白读
虐	ɡie2	
疟	ɡie2	
叶	hie2	
胁	hie2	
协	hie2	
侠	hie2	武～
狭	hie2	
挟	hie2	
或	hie2	
惑	hie2	
域	hie2	
获	hie2	
穴	hie2	
肉	hie2	白读
□	hie3	焖
血	hie3	
黑	hie3	
吓	hie3	
翼	ie2	
液	ie2	
腋	ie2	
役	ie2	
疫	ie2	
逸	ie2	
悦	ie2	
易	ie2	交～
一	ie3	～二三
乙	ie3	
忆	ie3	
益	ie3	
溢	ie3	
楫	ie3	
邑	ie3	
挹	ie3	
抑	ie3	
谒	ie3	
阅	ie3	
臆	ie3	又读，～造
杯	pue1	
碑	pue1	白读
培	pue2	
赔	pue2	
陪	pue2	
拔	pue2	白读
八	pue3	白读
倍	pue4	
贝	pue5	
背	pue5	～叛
狈	pue5	狼～
佩	pue5	～服
辈	pue5	
批	pʰue1	
配	pʰue5	
稗	pʰue5	
买	bue3	白读
𫧃	bue4	不会，“毋解”的合音
卖	bue5	白读
蹄	tue2	
题	tue2	
底	tue3	白读
贮	tue3	盛东西
□	tue4	宁麻
地	tue5	白读
□	tʰue2	拿
垫	tʰue3	白读
退	tʰue5	
替	tʰue5	白读
犁	lue2	白读
□	lue3	多事
内	lue4	
螺	lue5	白读，锯～：锉刀
泪	lue5	
齐	tsue2	
□	tsue2	切
节	tsue3	白读，五月～：端午节
罪	tsue4	
□	tsue4	真～：真多
做	tsue5	
最	tsue5	
初	tsʰue1	白读，～一十五
衰	sue1	
疏	sue1	白读
梳	sue1	白读，～头
洗	sue3	
税	sue5	
岁	sue5	
细	sue5	白读，～枝：细的枝条
锐	zue5	
鸡	kue1	白读
街	kue1	白读
瓜	kue1	白读
夹	kue2	白读
改	kue3	白读
会	kue5	～计
绘	kue5	
疥	kue5	
溪	kʰue1	
盔	kʰue1	
恢	kʰue1	
奎	kʰue1	
魁	kʰue1	
嗑	kʰue3	～瓜子
契	kʰue5	
□	kʰue5	啃
挟	ɡue3	
外	ɡue5	
艺	ɡue5	白读
花	hue1	白读
回	hue2	
茴	hue2	
悔	hue3	
蟹	hue4	
汇	hue5	
会	hue5	开～
挨	ue1	白读，～面：磨面
鞋	ue2	白读
划	ue2	计～
狭	ue2	白读，窄
矮	ue3	白读
会	ue4	～显～：很能干
卫	ue4	保～
话	ue5	白读
画	ue5	
巴	pa1	
芭	pa1	
笆	pa1	
疤	pa1	
靶	pa1	
爸	pa2	
耙	pa2	
杷	pa2	
琶	pa2	
扒	pa2	
爬	pa2	
卜	pa2	萝～
把	pa3	～握
饱	pa3	白读
百	pa3	
罢	pa4	
吧	pa4	
霸	pa5	
坝	pa5	
豹	pa5	
脬	pʰa1	猪尿～：猪膀胱
□	pʰa1	量词，一～火，一～粽
拍	pʰa3	
泡	pʰa4	白读
怕	pʰa5	
□	ba2	一种形似大猫的动物
□	ba3	～椎：一种鱼名
密	ba4	白读，接缝严密
干	ta1	白读，干燥
大	ta1	白读，～家：婆婆
□	ta1	～某：男性
踏	ta2	
打	ta3	
搭	ta3	
他	tʰa1	
她	tʰa1	
它	tʰa1	
叠	tʰa2	白读，一～书
塔	tʰa3	
□	tʰa5	拨开废物堆，找出有用东西
拉	la1	
喇	la2	
瘌	la2	
蜡	la2	
腊	la2	
萝	la2	白读，～卜
□	la4	搅
查	tsa1	调～
渣	tsa1	
闸	tsa2	
铡	tsa2	
早	tsa3	白读
□	tsa3	～某：妇女
炸	tsa5	
诈	tsa5	
昨	tsa5	
榨	tsa5	
债	tsa5	
差	tsʰa1	相～，～遣
叉	tsʰa1	
杈	tsʰa1	
钗	tsʰa1	
岔	tsʰa1	三～路口
撑	tsʰa1	
查	tsʰa2	～字典
柴	tsʰa2	
吵	tsʰa3	白读
炒	tsʰa3	白读，～米
插	tsʰa3	
沙	sa1	
砂	sa1	
纱	sa1	
裟	sa1	
鲨	sa1	
□	sa2	～鸡卵：煮鸡蛋
洒	sa3	
耍	sa3	
家	ka1	
加	ka1	
袈	ka1	
笳	ka1	
枷	ka1	
佳	ka1	
嘉	ka1	
胶	ka1	白读
铰	ka1	～剪：剪刀
□	ka1	～儡：傀儡
□	ka1	～蚤：跳蚤
茄	ka2	
甲	ka3	
胛	ka3	
贾	ka3	
假	ka3	
绞	ka3	
咬	ka4	白读
架	ka5	
驾	ka5	
嫁	ka5	
稼	ka5	
价	ka5	
教	ka5	白读
骹	kʰa1	脚
尻	kʰa1	～川：屁股
揩	kʰa1	～油
巧	kʰa3	
卡	kʰa3	
敲	kʰa5	白读
牙	ɡa2	
芽	ɡa2	
蚜	ɡa2	
讶	ɡa2	
崖	ɡa2	
涯	ɡa2	
衙	ɡa2	
哈	ha1	
霞	ha2	
瑕	ha2	
暇	ha2	
吓	ha2	
下	ha4	
夏	ha5	
厦	ha5	
亚	a1	
阿	a1	
鸦	a1	
盒	a2	
匣	a2	
啊	a2	惊叹声
鸭	a3	
押	a3	
压	a3	白读
呀	a4	
啊	a4	
壁	pia3	白读，隔～
□	pia4	枪声
僻	pʰia3	白读，偏～
□	pʰia4	放炮声，枪声
爹	tia1	
拆	tʰia3	白读
掠	lia2	白读，～鸡：抓鸡
食	tsia2	白读，吃
者	tsia3	
只	tsia3	一～牛
脊	tsia3	白读，腹～：后背
蔗	tsia5	甘～
车	tsʰia1	白读
□	tsʰia1	相～：摔跤
奢	tsʰia1	
斜	tsʰia2	白读
赤	tsʰia3	
□	tsʰia3	织
□	tsʰia3	插入物中捞取
赊	sia1	
斜	sia2	
蛇	sia2	
邪	sia2	
勺	sia2	铜～
写	sia3	
舍	sia3	
削	sia3	白读
锡	sia3	白读
射	sia5	
谢	sia5	
麝	sia5	
泻	sia5	
赦	sia5	
卸	sia5	
社	sia5	
畲	sia5	
遮	zia1	
□	zia3	痕迹
□	kia2	～柴：扛木头
屐	kia2	柴～：木～
寄	kia5	白读
奇	kʰia1	白读，单数
伽	kʰia1	释～牟尼
骑	kʰia2	白读，～马
隙	kʰia3	白读
徛	kʰia4	原文“企”
鹅	ɡia2	白读
额	ɡia2	白读
□	ɡia3	用细棍从洞里把东西取出来
靴	hia1	
桸	hia1	带长柄的捞鱼小网
瓦	hia4	白读
蚁	hia4	白读，蚂蚁
埃	ia1	英～：灰尘
爷	ia2	
耶	ia2	
页	ia2	
额	ia2	白读，头～：额头
蝶	ia2	原文“蛾”，～婆：蝴蝶
野	ia3	
冶	ia3	
椰	ia3	
□	ia4	撒
夜	ia5	
□	ia5	腻味
也	ia5	
□	pua2	～搅：赌博
钵	pua3	白读
拨	pua3	白读
簸	pua5	白读
泼	pʰua3	白读，～水
破	pʰua5	白读
磨	bua2	白读，～刀
□	bua2	～你：麻烦你（感谢语）
末	bua2	白读，药～
抹	bua3	白读，妄～：乱抹
大	tua4	白读，～显～：很大
舵	tua4	白读
带	tua5	白读，鞋～
拖	tʰua1	白读，鞋～：拖鞋
獭	tʰua3	水～
屉	tʰua3	白读，抽屉
涮	tʰua4	白读，～衫
箩	lua2	白读
辣	lua2	
捋	lua2	
赖	lua5	白读，～侬：赖人
抓	tsua1	
蛇	tsua2	白读
纸	tsua3	白读
□	tsʰua2	斜
□	tsʰua3	撕
娶	tsʰua5	白读，～亲：娶媳妇
□	tsʰua5	～尿：尿炕
蔡	tsʰua5	
沙	sua1	白读
砂	sua1	白读
鲨	sua1	白读
傻	sua1	
煞	sua3	白读，～尾：末了
□	sua3	全～：全完蛋
□	sua3	撒
□	sua5	帮腔
热	zua2	白读
□	zua2	多少，～个：多少个；～好：多么好！
□	zua4	趟，回
瓜	kua1	
歌	kua1	白读
寡	kua3	白读，守～
割	kua3	白读，～草
挂	kua5	
卦	kua5	
盖	kua5	白读，名词
过	kua5	白读，罪～：可伶
夸	kʰua1	
垮	kʰua1	
跨	kʰua1	
阔	kʰua3	
我	ɡua3	白读
外	ɡua5	白读
花	hua1	
华	hua2	
桦	hua2	
铧	hua2	
喝	hua3	喊，原文“喊”
哗	hua4	
画	hua5	
话	hua5	
化	hua5	
蛙	ua1	
娃	ua1	
哇	ua1	
洼	ua1	
挖	ua1	
活	ua2	
瓦	ua3	
□	ua3	船～岸：船靠岸
□	ua5	～一下：靠一下
补	pɔ3	
斧	pɔ3	～头
篰	pɔ4	篓筐
哺	pɔ5	嚼
步	pɔ5	
布	pɔ5	
怖	pɔ5	
播	pɔ5	广～，～音
鄱	pɔ5	
铺	pʰɔ1	
颇	pʰɔ1	
麸	pʰɔ1	白读
普	pʰɔ3	～通
谱	pʰɔ3	
浦	pʰɔ3	
圃	pʰɔ3	
部	pʰɔ4	
薄	pʰɔ4	
破	pʰɔ5	
铺	pʰɔ5	里程单位，十里为一～
摸	bɔ1	
模	bɔ2	
摹	bɔ2	
漠	bɔ2	
亩	bɔ3	
某	bɔ3	～人
牡	bɔ3	
戊	bɔ5	
墓	bɔ5	
募	bɔ5	
慕	bɔ5	
幕	bɔ5	
都	tɔ1	
多	tɔ1	
徒	tɔ2	
途	tɔ2	
涂	tɔ2	糊～
屠	tɔ2	
荼	tɔ2	
堵	tɔ3	
赌	tɔ3	
睹	tɔ3	
肚	tɔ3	腹～：肚子
倒	tɔ3	
朵	tɔ3	
躲	tɔ3	
岛	tɔ3	
捣	tɔ3	
妒	tɔ3	
肚	tɔ4	～内：腹内
道	tɔ4	
盗	tɔ4	
稻	tɔ4	
到	tɔ5	
□	tɔ5	水迹在纸或布上泅开
韬	tʰɔ1	
滔	tʰɔ1	
涂	tʰɔ2	泥土
土	tʰɔ3	
妥	tʰɔ3	
唾	tʰɔ3	
吐	tʰɔ5	
兔	tʰɔ5	
卢	lɔ2	
芦	lɔ2	
炉	lɔ2	
鸬	lɔ2	
劳	lɔ2	
痨	lɔ2	
牢	lɔ2	
鲁	lɔ3	
橹	lɔ3	～味
裸	lɔ3	
卤	lɔ3	
路	lɔ5	
露	lɔ5	
鹭	lɔ5	
糟	tsɔ1	
遭	tsɔ1	
租	tsɔ1	
曹	tsɔ2	
昨	tsɔ2	白读，～日：～天
祖	tsɔ3	
组	tsɔ3	
阻	tsɔ3	
左	tsɔ3	
佐	tsɔ3	
皂	tsɔ3	～白
造	tsɔ4	
助	tsɔ5	
粗	tsʰɔ1	
初	tsʰɔ1	
楚	tsʰɔ3	
础	tsʰɔ3	
草	tsʰɔ3	
醋	tsʰɔ5	
错	tsʰɔ5	
措	tsʰɔ5	
挫	tsʰɔ5	
糙	tsʰɔ5	
苏	sɔ1	
稣	sɔ1	
骚	sɔ1	
疏	sɔ1	
梳	sɔ1	
蔬	sɔ1	
所	sɔ3	
素	sɔ5	
数	sɔ5	～学
塑	sɔ5	
诉	sɔ5	
姑	kɔ1	
沽	kɔ1	
菇	kɔ1	
辜	kɔ1	
鸪	kɔ1	
孤	kɔ1	
皋	kɔ1	
戈	kɔ1	
高	kɔ1	
锅	kɔ1	
枯	kɔ1	
糊	kɔ2	白读
古	kɔ3	
诂	kɔ3	
牯	kɔ3	
鼓	kɔ3	
蛊	kɔ3	
股	kɔ3	
故	kɔ5	
告	kɔ5	
固	kɔ5	
雇	kɔ5	
顾	kɔ5	
呼	kʰɔ1	白读，～鸡
□	kʰɔ1	大～：胖；一～：一节
估	kʰɔ1	
苦	kʰɔ3	
靠	kʰɔ5	
裤	kʰɔ5	
库	kʰɔ5	
课	kʰɔ5	
吴	ɡɔ2	
蜈	ɡɔ2	
吾	ɡɔ2	
梧	ɡɔ2	
午	ɡɔ3	
伍	ɡɔ3	
五	ɡɔ4	
误	ɡɔ5	
娱	ɡɔ5	
呼	hɔ1	招～
和	hɔ2	～平
禾	hɔ2	
毫	hɔ2	
豪	hɔ2	
壕	hɔ2	
荷	hɔ2	
互	hɔ2	
弧	hɔ2	
狐	hɔ2	
葫	hɔ2	
虎	hɔ3	
浒	hɔ3	
户	hɔ4	
沪	hɔ4	
雨	hɔ4	白读
护	hɔ5	
贺	hɔ5	
戽	hɔ5	
乌	ɔ1	
呜	ɔ1	
钨	ɔ1	
胡	ɔ2	
湖	ɔ2	
糊	ɔ2	
和	ɔ2	打麻将时某一家的牌合乎规定要求取得胜利；～拢：合起来
芋	ɔ5	
恶	ɔ5	可～
奥	ɔ5	
澳	ɔ5	
懊	ɔ5	
着	tiɔ2	沉～
逐	tiɔ2	
竹	tiɔ3	
竺	tiɔ3	
筑	tiɔ3	
畜	tʰiɔ3	～牧
蓄	tʰiɔ3	储～
陆	liɔ2	
略	liɔ2	
绿	liɔ2	
蜀	tsiɔ2	
浊	tsiɔ2	
爵	tsiɔ3	
嚼	tsiɔ3	
足	tsiɔ3	
祝	tsiɔ3	
烛	tsiɔ3	
酌	tsiɔ3	
促	tsʰiɔ3	
触	tsʰiɔ3	
雀	tsʰiɔ3	
俗	siɔ2	
续	siɔ2	
赎	siɔ2	
属	siɔ2	
叔	siɔ3	
淑	siɔ3	
肃	siɔ3	
粟	siɔ3	
宿	siɔ3	～舍
缩	siɔ3	
肉	ziɔ2	
辱	ziɔ2	
弱	ziɔ2	
若	ziɔ2	～干
局	kiɔ2	
菊	kiɔ3	
鞠	kiɔ3	
却	kiɔ3	
曲	kiɔ3	
脚	kiɔ3	
玉	ɡiɔ2	
虐	ɡiɔ2	又读
疟	ɡiɔ2	又读
旭	hiɔ3	
浴	iɔ2	
欲	iɔ2	
育	iɔ2	
药	iɔ2	
约	iɔ3	
玻	po1	～璃
菠	po1	
婆	po2	
薄	po2	白读
宝	po3	
保	po3	
堡	po3	
报	po5	
坡	pʰo1	
波	pʰo1	
叵	pʰo2	
粕	pʰo3	白读，猪油～：猪油渣
抱	pʰo4	白读
无	bo2	白读
卜	bo3	要
磨	bo5	白读
帽	bo5	白读
刀	to1	白读
逃	to2	白读
陀	to2	白读
驼	to2	白读
鸵	to2	白读
着	to2	白读，火燃
□	to2	白读，撕，扯
卓	to3	
桌	to3	
倒	to3	白读
道	to3	白读，一～金牌
倒	to3	白读，～水；走～：走回来
桃	tʰo2	白读
□	tʰo2	tʰie3～：玩耍
讨	tʰo3	白读
妥	tʰo3	白读
套	tʰo5	
罗	lo2	
逻	lo2	
锣	lo2	
落	lo2	白读，三～大厝：三进的大房子
牢	lo2	白读，监～
□	lo5	长
昨	tso1	白读，～日：前天
糟	tso2	白读
枣	tso3	
做	tso3	～工；～息：干活
造	tso4	白读
座	tso4	白读
臊	tsʰo1	白读，臭～：腥味
□	tsʰo3	～恁母（骂人的话）
唆	so1	
梭	so1	
嗦	so1	
骚	so1	白读，卖俏
槎	so1	白读
镯	so2	白读
□	so2	～树：爬树
□	so2	形容做事不干脆
嫂	so3	
琐	so3	
锁	so3	
索	so3	绳
燥	so5	白读
皂	so5	
羔	ko1	
糕	ko1	
哥	ko1	
膏	ko1	
个	ko2	
稿	ko3	
□	ko3	再～：又
廓	ko3	
阁	ko3	白读
搞	ko3	
滚	ko4	白读
告	ko5	白读
□	kʰo1	～肉：煮肉
靠	kʰo5	白读
□	kʰo5	炊～：虾皮
熬	ɡo2	白读，～油
饿	ɡo5	白读
河	ho2	
何	ho2	
荷	ho2	白读，～花
好	ho3	白读
荷	ho5	簿～
贺	ho5	白读
号	ho5	
学	o2	白读
恶	o3	难
□	o4	～气词，表示醒悟
岙	o5	
□	o5	硬要对方接受东西
猪	tɯ1	
除	tɯ2	
锄	tɯ2	白读，～头
躇	tɯ2	踌～
箸	tɯ4	筷子
著	tɯ4	
储	tʰɯ3	
贮	tʰɯ3	
