#調值	[1] 213 [2] 53 [3] 44 [5] 21
#符號說明:	-白=文
#ɿ	
ʂ	[1]沙纱杀[3]洒(又)傻[5]厦(商~)啥煞□(动词，~树)
k	[1]割疙(~瘩)胳(~肢窝)旮(~旯)[2]蛤(~喇)[5]尬
kh	[1]磕
ŋ	[5]啊(语气词 ， 应答)
x	[1]喝哈[2]蛤(~蟆)
#iɑ	
ph	[1]□(~一声:象声词)
tɕ	[1]家加嘉具佳夹[3]假贾夹甲[5]驾嫁稼价架
tɕh	[1]掐[5]恰洽
ɕ	[1]虾哈(~下腰)瞎[2]霞瑕遐暇狭峡匣辖[5]吓夏厦
∅	压雅鸭牙？
#uɑ	
tʂ	[1]抓[3]爪
ʂ	[1]刷[3]耍
k	[1]瓜刮(~风)[3]寡[5]挂卦褂
kh	[1]夸刮(~皮)[3]垮[5]跨挎胯
x	[1]花[2]华划滑猾[5]化画话
∅	[1]蜗蛙洼挖[3]瓦[5]瓦(动词)袜
#ɛ	
p	[3]摆[5]拜败
ph	[2]牌排[5]派
m	[2]埋霾[3]买[5]卖
t	[1]呆[5]戴贷待怠殆代袋带
th	[1]胎苔[2]台抬[5]态太泰汰
n	[3]乃奶[5]耐奈
l	[2]来[5]赖癞
ts	[1]栽灾[3]宰[5]再载在
tsh	[1]猜[2]才材财裁[3]彩采睬[5]菜蔡
s	[1]腮鳃[5]赛
tʂ	[1]斋[5]债寨
tʂh	[1]钗差[2]豺柴
ʂ	[1]筛[5]晒
k	[1]该[3]改[5]概溉盖丐钙
kh	[1]开[3]凯楷
ŋ	[1]哀埃[3]蔼[5]碍爱艾隘
x	[2]孩还核[3]海[5]亥害骇
#iɛ	
tɕ	[1]皆阶街秸[3]解[5]介界芥疥届戒
ɕ	[2]谐鞋[5]械懈蟹
∅	[1]挨[2]挨(~打)崖(~头)[3]矮
#uɛ	
ʂ	[1]衰[5]帅率(~领)蟀
k	[1]乖[3]拐[5]怪
kh	[5]块会刽块快筷
x	[2]怀槐淮[5]坏
∅	[1]歪[5]外
#ə	
p	[1]波菠玻钵拨剥[2]膊脖薄泊[3]跛簸[5]簸薄(~荷)
ph	[1]颇坡泼[2]婆[5]破
m	[1]摸[2]魔磨摩馍模摹膜[3]抹[5]磨末沫莫寞陌(~生)
f	[2]佛缚(=)[3]否(=)
l	[3]惹[5]热
ts	[1]则择(选~)[5]厕
tsh	[5]侧测
s	[5]涩(新)
tʂ	[1]蛰折蔗[3]者
ʂ	[2]蛇舌[5]摄射
k	[1]歌(=)鸽(=)
kh	[1]科窠壳刻(时~)克
ŋ	[2]额[3]扼
#iə	
p	[1]鳖憋[2]别
ph	[3]撇
m	[5]灭
t	[1]爹跌[2]叠碟牒蝶谍
th	[1]帖贴铁
l	[4]列烈裂劣
ts	[1]接节[2]捷截[3]姐[5]借褯
tsh	[1]切[5]妾
s	[1]些写楔[2]邪斜[5]泻卸谢泄屑
tɕ	[1]遮褶浙揭结[2]折劫蛰辙杰
tɕh	[1]车[2]茄[3]且扯[5]怯彻撤
ȵ	[1]捏[5]聂镊蹑孽
ɕ	[1]奢赊佘涎歇蝎血[2]携胁协[3]舍[5]射麝赦舍社涉设
∅	[1]噎掖[2]爷[3]也野[5]叶页业液腋(=)
#uə	
t	[1]多哆啄[2]夺[3]躲掇(拾~)[5]舵剁惰垛
th	[1]拖脱托[2]驼驮[3]妥椭[5]唾
n	[2]挪[5]糯诺懦
l	[1]啰烙[2]罗锣箩骡螺脶(手指纹)摞[3]裸[5]弱落胳洛络乐(~意)若
ts	[1]作柞[2]昨琢[3]左佐[5]坐座
tsh	[1]搓撮[2]矬[5]锉措错
s	[1]蓑梭唆[3]锁琐索
tʂ	[1]桌捉[2]浊镯
tʂh	[1]戳
ʂ	[1]说缩[3]所[5]朔
k	[1]哥锅戈搁胳郭国[3]裹果葛各[5]个过
kh	[1]棵颗咳括[3]可渴[5]课阔廓扩
x	[1]豁藿劐[2]河何荷和(~气)禾合盒活核(又)[3]火伙[5]荷(薄~)贺货祸喝(~彩)鹤霍惑获
∅	[1]阿(~胶)倭窝握[2]蛾鹅俄讹[3]我[5]饿卧恶(善~)沃
#yə	
l	[5]略掠
ts	[2]绝
s	[1]薛削[3]雪
tɕ	[1]镢[2]掘橛(~子)决诀掘嚼着(衣~，睡~，附~)觉(又，知~)[3]脚[5]倔
tɕh	[1]缺[2]瘸[5]却
ɕ	[1]靴[2]勺学
∅	[1]曰约[2]岳乐[3]哕[5]悦阅月越粤药钥跃
#ər	
∅	[1]而[3]尔耳饵[5]二贰
#ɔ	
p	[1]包胞[3]保堡宝饱[5]报抱暴豹爆鲍
ph	[1]抛剖胞(又)[2]袍刨[3]跑[5]泡炮
m	[1]猫(=)[2]毛茅锚猫(-)矛[3]卯[5]冒帽貌茂贸
t	[1]刀[3]祷岛倒导[5]到倒道稻盗
th	[1]滔掏涛[2]桃逃淘陶萄[3]讨[5]套
n	[2]挠[3]脑恼[5]闹
l	[2]劳捞牢唠饶[3]老扰[5]涝绕
ts	[1]遭糟[3]早枣蚤澡[5]躁灶糙皂造
tsh	[1]操嘈[2]曹槽[3]草
s	[1]骚臊[3]扫嫂[5]扫(~帚)臊
tʂ	[1]朝沼[3]找[5]罩召诏
tʂh	[1]抄钞[2]巢[3]炒吵
ʂ	[1]梢捎
k	[1]高膏篙羔糕[3]稿搞镐[5]告诰
kh	[3]考烤[5]靠犒
ŋ	[1]凹[2]熬翱遨[3]袄[5]傲鏊奥懊坳
x	[1]薅[2]豪壕毫[3]好[5]好耗浩号
#iɔ	
p	[1]腰标彪標彪[3]表裱
ph	[1]飘漂[2]瓢嫖剽朴[5]票漂
m	[2]苗描瞄[3]渺秒藐淼[5]庙妙
t	[1]刁貂雕[5]钓吊掉调
th	[1]挑[2]挑[3]条调[5]跳眺
l	[2]燎疗聊辽撩[3]了[5]瞭料尥(~蹶子)撂
ts	[1]焦蕉椒浇[5]噍(牛倒~)
tsh	[1]悄[2]瞧[5]俏鞘
s	[1]消宵霄硝销萧箫[3]小[5]笑
tɕ	[1]交郊胶教狡招骄娇[3]绞铰搅矫狡缴侥饺[5]教较酵窖觉赵兆照轿叫
tɕh	[1]敲超绰(宽~)㪕(~起棍子)[2]朝潮乔侨桥荞[3]巧[5]窍
ȵ	[3]鸟[5]尿
ɕ	[1]烧嚣稍[2]韶[3]少晓[5]孝效校少绍
∅	[1]妖邀腰要[2]肴摇谣窑姚[3]咬舀杳[5]要耀
#ei	
p	[1]杯碑卑悲北百柏伯掰[2]白[5]贝辈背倍被
ph	[1]胚坯迫拍[2]培陪赔裴[5]沛配佩
m	[2]梅枚媒煤眉楣霉[3]每美[5]迈妹昧媚寐墨默麦脉
f	[1]非飞妃扉[2]肥[3]匪翡[5]废肺吠痱费
t	[1]得德
n	[5]内
ts	[2]贼
s	[1]塞
tʂ	[1]泽窄摘责[2]择(~菜，选~)宅
tʂh	[1]拆策册
ʂ	[1]色
k	[1]格革隔
kh	[1]刻(用刀~)客
x	[1]黑
#uei	
t	[5]对队兑
th	[1]推忒[3]腿[5]退蜕
l	[2]雷[3]儡蕊垒累[5]累(极困)锐瑞类泪肋勒
ts	[1]堆[3]嘴[5]罪最醉
tsh	[1]催崔[5]脆翠粹
s	[1]虽[2]随[3]髓[5]碎岁隧穗
tʂ	[1]追锥[5]拽缀赘坠
tʂh	[1]吹炊[2]垂槌锤
ʂ	[1]摔[2]谁[3]水[5]税睡
k	[1]闺规龟归[3]诡轨鬼[5]刽(=)桂跪柜贵
kh	[1]盔亏窥[2]魁傀奎葵[5]溃愧
x	[1]恢灰悔挥辉徽[2]回[3]毁或(又)[5]贿晦汇桧会绘秽惠慧讳汇
∅	[1]煨危微威[2]为维惟唯违围[3]伪萎委尾伟苇纬[5]卫喂为位未味魏畏慰胃谓猬
#ou	
t	[1]都兜[3]斗抖陡[5]斗豆逗
th	[1]偷[2]头投[5]透
l	[2]楼耧柔揉镂蹂髅[3]搂蒌[5]漏陋肉
ts	[3]走[5]奏揍
tsh	[5]凑
s	[1]搜飕艘
tʂ	[1]邹掫搊(~起来)周舟州洲粥[3]肘[5]昼纣宙皱
tʂh	[2]愁[3]瞅
ʂ	[5]瘦售
k	[1]勾钩沟[3]狗苟[5]够构购
kh	[1]抠[3]口[5]叩扣寇
ŋ	[1]欧殴[3]藕偶呕[5]怄
x	[2]侯喉猴瘊[3]吼[5]厚后候
#iou	
t	[1]丢
l	[1]溜[2]流刘留榴硫琉[3]柳[5]馏六
ts	[1]揪[3]酒[5]就
tsh	[1]秋鞦(牛~)[2]囚
s	[1]修羞[5]秀绣宿(星~)锈袖
tɕ	[1]鬏阄纠[3]九久韭灸[5]咒救舅旧
tɕh	[1]抽丘[2]绸稠筹仇酬求球[3]丑糗(面煮~了)[5]臭
ȵ	[2]牛[3]纽扭
ɕ	[1]收休[3]手首守[5]兽受寿授嗅
∅	[1]忧优悠幽[2]尤邮由油游犹[3]有友[5]又右佑诱柚幼
#ã	
p	[1]班斑颁扳扳般搬[3]板版[5]扮瓣办半绊伴拌
ph	[1]攀潘[2]盘[5]盼判叛
m	[2]蛮瞒馒[3]满[5]慢漫幔
f	[1]帆翻番[2]凡烦矾繁[3]反[5]泛范犯贩嬔饭
t	[1]耽担丹单[3]胆掸[5]担淡旦诞但弹蛋
th	[1]贪坍滩摊[2]潭谭谈痰檀坛弹[3]毯坦[5]探炭叹
n	[2]南男难[5]难
l	[2]蓝篮冉兰拦栏然燃[3]漤(~柿子)览揽榄缆染懒[5]滥烂
ts	[1]簪[3]攒[5]錾(~花)赞暂
tsh	[1]参餐[2]蚕惭残[3]惨[5]灿
s	[1]三[3]散(鞋带~了)伞[5]散
tʂ	[1]瞻[3]斩盖展[5]站蘸绽栈战
tʂh	[1]搀[2]谗馋蝉[3]铲产
ʂ	[1]杉衫珊山删[3]陕[5]疝
k	[1]甘柑泔尴干肝竿杆秆[3]感敢橄擀赶[5]干
kh	[1]堪刊[3]坎砍[5]看
ŋ	[1]安鞍[5]暗岸按案
x	[1]憨[2]含函寒韩[3]喊罕[5]撼憾汉旱汗焊翰
#iã	
p	[1]鞭边蝙[3]贬扁匾[5]变辨辩汴便遍辫
ph	[1]篇偏[2]便[5]骗片
m	[2]绵棉眠[3]免勉娩缅[5]面
t	[1]掂颠癫巅[3]点典碘[5]店电殿奠佃垫
th	[1]添天[2]甜田填[3]舔腆
l	[2]廉镰帘连联怜莲[3]脸[5]练炼恋
ts	[1]尖歼[3]剪[5]箭溅贱荐
tsh	[1]签迁千[2]钱前[3]潜浅[5]渐
s	[1]仙先[5]线羡
tɕ	[1]监沾粘艰间奸煎毡肩坚[3]减碱检俭简拣茧[5]鉴监舰占剑谏涧践颤件犍建键健腱见
tɕh	[1]兼谦牵铅[2]钳缠乾虔[3]遣[5]嵌欠歉
ȵ	[1]拈[2]黏鲇年[3]碾辇撵[5]念
ɕ	[1]锨鲜掀[2]咸衔嫌闲贤弦[3]闪险鲜显[5]陷馅限扇善宪献现县
∅	[1]焉蔫烟燕(姓)[2]岩炎盐阎檐盐醃严颜延言研沿[3]淹阉掩眼演[5]验厌艳焰酽雁堰砚燕咽宴
#uã	
t	[1]端[3]短[5]断锻断段锻
th	[2]团
l	[3]卵软[5]乱
ts	[1]钻[3]纂撰[5]钻
tsh	[5]篡
s	[1]酸[5]蒜算
tʂ	[1]砖专[3]转[5]篆传转
tʂh	[1]川穿串[2]船传[3]喘[5]串
ʂ	[1]闩拴[5]涮
k	[1]官棺观冠关[3]管馆[5]贯灌罐观冠惯
kh	[1]宽[3]款
x	[1]欢[2]桓还环[3]缓[5]唤焕换幻患宦
∅	[1]豌剜弯湾[2]玩完丸顽[3]皖碗晚挽[5]腕万
#yã	
tsh	[2]全泉
s	[1]宣[2]旋[3]癣选[5]旋
tɕ	[1]捐[3]卷捲[5]眷绢圈倦
tɕh	[1]圈[2]拳权颧[3]犬[5]劝券
ɕ	[1]轩喧[2]玄悬[5]楦眩
∅	[1]冤渊[2]圆员缘元原源袁辕园援[3]阮远[5]院愿怨
#ẽ	
p	[1]奔镑[3]本[5]奔(又)笨
ph	[1]喷[2]盆[5]喷
m	[2]门[5]闷
f	[1]分芬纷[2]焚坟[3]粉[5]粪奋愤忿份
l	[2]林人仁临邻鳞磷[3]忍[5]赁任纫刃认韧吝
tʂ	[1]榛臻
tʂh	[5]衬
ʂ	[1]森参[5]渗葚甚
k	[1]跟根
kh	[3]恳垦肯
ŋ	[1]恩[5]摁
x	[2]含(-)痕[3]很[5]恨
#iẽ	
p	[1]彬宾槟[5]殡鬓
ph	[1]拼[2]贫频[3]品[5]聘
m	[2]民[3]闽悯敏抿皿
ts	[1]津[5]尽进晋
tsh	[1]浸侵亲[2]岑秦[3]寝[5]亲
s	[1]心辛新薪馨[5]信
tɕ	[1]针斟金襟真斤筋[3]枕锦诊疹巾紧仅谨[5]枕禁妗振震劲近阵
tɕh	[1]钦[2]沉琴禽擒陈尘辰晨臣勤芹[5]趁
ɕ	[1]深身申伸娠欣[2]神[3]沈审婶[5]肾慎衅
∅	[1]荫阴因姻殷[2]吟淫龈银寅[3]音饮引隐尹[5]窨饮印
#uẽ	
t	[1]敦墩蹲[2]饨[5]顿盾钝遁
th	[1]吞[2]屯豚臀囤
l	[2]仑伦沦轮纶淋(~湿)[5]嫩论闰润
ts	[1]尊遵
tsh	[1]村皴[2]存[5]寸
s	[1]孙荪[3]损
tʂ	[3]准
tʂh	[1]椿春[2]唇纯醇[3]蠢
ʂ	[5]顺舜
k	[3]滚磙辊[5]棍
kh	[1]昆坤[3]捆[5]困
x	[1]荤昏婚[2]魂茴馄浑[3]混(相~)
∅	[1]温瘟[2]文纹蚊闻[3]稳吻[5]问
#yẽ	
ts	[5]俊
s	[2]寻旬循巡[3]笋榫[5]讯迅
tɕ	[1]均钧菌君军[5]郡
tɕh	[2]群裙
ɕ	[1]熏勋薰醺[5]训
∅	[1]晕[2]匀云[3]允陨[5]熨韵蕴酝运孕
#ɑŋ	
p	[1]帮邦浜[3]榜绑[5]谤傍棒蚌
ph	[1]乓[2]旁螃庞[5]胖
m	[2]忙芒茫盲氓[3]莽蟒盲
f	[1]方芳坊[2]肪妨房防[3]仿纺访
t	[1]当[3]党挡[5]当荡宕档
th	[1]汤[2]堂棠螳唐糖塘[3]倘躺淌[5]烫趟
n	[1]囔(嘟~)[2]囊[3]攮暖(~和)
l	[2]郎廊狼螂瓤穰榔[3]朗壤攘嚷[5]浪让
ts	[1]赃脏[5]葬藏
tsh	[1]仓苍[2]藏
s	[1]桑丧[3]嗓搡[5]丧
tʂh	[1]掌
k	[1]刚纲钢缸[3]冈岗港[5]杠
kh	[1]康糠慷[2]扛[5]抗炕
ŋ	[1]肮[2]昂
x	[1]夯[2]行航杭
#iɑŋ	
l	[1]两(几~几钱)[2]良凉量粮梁粱[3]两[5]亮谅辆量
ts	[1]将浆[3]蒋奖桨[5]酱将匠
tsh	[1]枪[2]墙[3]抢
s	[1]相箱厢湘襄镶[2]详祥[3]想[5]相象像橡
tɕ	[1]张章樟疆僵姜缰姜江[3]长涨讲[5]帐账胀丈仗杖障瘴降
tɕh	[1]昌羌腔[2]长肠常尝强[3]场厂[5]畅唱倡
ȵ	[2]娘[5]酿
ɕ	[1]商伤香乡[2]裳降[3]偿赏晌饷享响[5]上尚向项巷
∅	[1]央秧殃[2]羊洋杨阳扬疡[3]仰养痒[5]样
#uɑŋ	
tʂ	[1]庄装桩[5]壮状撞(=)
tʂh	[1]疮窗[2]床[3]闯[5]创撞(-)
ʂ	[1]霜孀双[3]爽[5]双(~生)
k	[1]光胱[3]广[5]逛
kh	[1]筐[2]狂[5]旷眶况矿
x	[1]荒慌[2]黄簧皇蝗晃[3]谎
∅	[1]汪[2]亡王[3]网枉往[5]妄望旺
#əŋ	
p	[1]崩绷[5]迸
ph	[1]烹[2]朋彭膨棚篷蓬[3]捧[5]碰
m	[1]懵[2]萌盟蒙[3]猛[5]孟梦
f	[1]风枫疯丰封峰蜂锋[2]冯逢缝[3]讽[5]凤奉俸缝
t	[1]登灯[3]等[5]凳邓瞪
th	[1]熥[2]腾誊藤疼
n	[2]能[5]弄
l	[1]扔[2]楞仍[3]冷
ts	[1]曾增[5]憎赠锃
tsh	[2]曾层[5]蹭
s	[1]僧
tʂ	[1]争筝睁征[3]拯整[5]郑政
tʂh	[1]撑铛[2]乘澄呈程诚成城盛[3]逞
ʂ	[1]生牲笙声[2]甥[3]省[5]圣
k	[1]更庚羹[3]埂梗耿[5]更
kh	[1]坑
x	[1]亨[2]恒衡横(~直)[5]横
#uŋ	
t	[1]冬东[3]董懂[5]动洞
th	[1]通[2]同铜桐童瞳[3]桶筒统捅[5]痛
n	[2]脓浓
l	[2]荣笼聋隆戎绒融龙茸容蓉熔[3]拢垅冗
ts	[1]棕鬃宗踪[3]总[5]粽纵
tsh	[1]聪匆葱[2]丛从
s	[1]松[3]怂[5]送宋诵颂讼
tʂ	[1]中忠终钟盅[3]冢种肿[5]中仲众重种
tʂh	[1]充冲舂[2]虫崇重[3]宠
k	[1]公蚣工功攻弓躬宫恭[3]汞拱巩龚[5]贡供共
kh	[1]空[3]孔恐[5]控空
x	[1]烘轰[2]虹红洪鸿弘宏[3]哄[5]哄(起~)
#yŋ	
tɕh	[1]倾[2]琼穷[3]顷
ɕ	[1]兄胸凶[2]熊雄
∅	[1]雍拥庸[3]永泳咏甬勇涌[5]用佣
#iəŋ	
p	[1]冰兵[3]丙秉柄饼[5]病并
ph	[1]乒[2]凭平坪评瓶屏萍
m	[2]鸣明名铭[5]命
t	[1]丁钉[3]顶鼎[5]订定钉腚锭
th	[1]听(~任)[2]亭停廷庭蜓[3]挺艇
l	[1]拎[2]陵凌菱灵零铃伶翎[3]领岭[5]令另
ts	[1]精晶睛经[3]井[5]静靖净径
tsh	[1]清青蜻[2]情晴䝼(~受)[3]请
s	[1]星腥[2]形型刑[3]省醒[5]性姓
tɕ	[1]蒸耕茎京荆惊鲸贞侦正征整[3]景警颈[5]证症境敬竟镜竞正政
tɕh	[1]称卿轻[2]承丞成城盛[5]秤庆
ȵ	[2]宁凝[5]宁佞
ɕ	[1]升兴声[2]绳行[5]剩胜兴杏幸圣盛
∅	[1]应鹰莺鹦櫻英婴缨[2]蝇迎盈赢营茔颖萤[3]影[5]硬映
#uəŋ	
∅	[1]翁[5]瓮
ɭ̩	
∅	[2]日
