练	ȵian5	lian5																														
千	tɕʰian1	tɕʰian1																														
前	tɕʰian2	tɕʰian2																														
先	ɕian1	ɕian1																														
肩	ʨian1	tɕian1																														
坚	ʨian1	tɕian1																														
见	ʨian5	tɕian5																														
牵	tɕʰian1	tɕʰian1																														
研	ȵian2	ȵian2																														
显	ɕian3	ɕian3																														
现	ɕian5	ɕian5																														
烟	ian1	ian1																														
燕	ian5	ian5																														
憋	pie1	pie7																														
撇	pʰie1	pʰie7																														
铁	tʰie1	tʰie7																														
捏	ȵie1	ȵie7																														
节	ʨie1	tɕie7																														
切	tɕʰie1	tɕʰie7																														
截	ʨie2	tɕie7																														
屑	ɕie1	ɕie7																														
结	ʨie1	tɕie7																														
洁	ʨie1	tɕie7																														
噎	ie1	ie8																														
搬	pan1	pan1																														
半	pan5	pan5																														
潘	pʰan1	pʰan1																														
判	pʰan5	pʰan5																														
盘	pʰan2	pʰan2																														
拌	pan5	pan5																														
叛	pʰan5	pʰan5																														
瞒	man2	man2																														
馒	man2	man2																														
满	man3	man3																														
端	tan1	tan1																														
短	tan3	tan3																														
断	tan5	tan5																														
团	tʰan2	tʰan2																														
暖	nan3	lan3																														
乱	nan5	lan5																														
钻	tsan5	tsan5																														
窜	tʂʰʯan1	tsʰʮan5																														
酸	san1	sʮan1																														
算	san5	san5																														
蒜	san5	san5																														
官	kuan1	kuan1																														
管	kuan3	kuan3																														
罐	kuan5	kuan5																														
宽	kʰuan1	kʰuan1																														
欢	fan1	fan1																														
完	uan2	uan2																														
丸	uan2	uan2																														
缓	fan3	fan3																														
换	fan5	fan5																														
碗	uan3	uan3																														
拨	po1	po7																														
泼	pʰo1	pʰo8																														
沫	mo1	mo8																														
脱	tʰo1	tʰo7																														
夺	to1	to8																														
括	kua1	kua7																														
豁	xo1	xo7																														
活	xo2	xo8																														
幻	fan5	fan5																														
滑	fa2	fa8																														
挖	ua1	ua7																														
闩	san1	san1																														
闩	ʂʯan1																															
拴	san1	sʮan1																														
拴	ʂʯan1																															
关	kuan1	kuan1																														
惯	kuan5	kuan5																														
环	fan2	kʰuan2																														
弯	uan1	uan1																														
刷	sa1	sʮa7																														
刷	ʂʯa1																															
刮	kua1	kua7																														
全	tɕʰian2	tsʰʮan2																														
全	tʂʰʯan2																															
宣	ʂʯan1	sʮan1																														
选	ɕian3																															
选	ʂʯan3	sʮan3																														
旋	ʂʯan2	sʮan2																														
专	tʂʯan1	tsʮan1																														
砖	tʂʯan1	tsʮan1																														
穿	tʂʰʯan1	tsʰʮan1																														
喘	tʂʰʯan3	tsʰʮan3																														
串	tʂʰʯan5	tsʰʮan5																														
船	tʂʰʯan2	tsʰʮan2																														
软	yan3	ʮan3																														
卷(~曲)	tʂʯan3	tsʮan3																														
圈(~子)	tʂʰʯan1	tsʰʮan1																														
拳	tʂʰʯan2	tsʰʮan2																														
圈(猪~)	tʂʯan5	tsʮan5																														
圆	yan2	yan2																														
院	yan5	yan5																														
