#a
ɓ[35]巴芭疤[31]爸霸坝{(平川)}欛{(柄)}把{(~握|~守|一~)}
kʰ[35]去={(来~|~皮)}气=[53]骑[23]局[44]区{(~域)}驱[31]启
h[31]许[35]溪虚嘘{(吹~)}墟{(~市)}繫奚系={(连~)}
Ǿ[35]易{(交~)}

#u
ɓ[44]补[35]部怖{(恐~)}饰{(老)}[23]醭[31]布步铺{(店~)}补簿辅{(新)}
pʰ[35]步[23]菩{(~萨)}[44]铺{(~设)}蒲[31]捕脯{(杏~)}甫辅讣浦普谱
m[35]幕[31]募墓慕暮雾
f[35]夫肤妇釜父付附富负副[31]孵{(~小鸡)}扶芙俘{(~虏)}[23]扶符伏蝠{(蝙~)}[31]府斧腐
v[35]乌污巫诬务误悟雾勿[53]吴-吾-梧{(~桐)}蜈{(~蚣)}无[23]吴=无=[44]雨-互瓠{(~芦)}[31]恶{(恨:可~)}五=午伍武侮鹉{(鹦~)}舞=
tθ[35]索{(绳~)}租-粗-做数诉素塑{(~像)}[44]粗=租=疏{(注~)}苏梳{(~头)}疏{(~远)}蔬{(~菜)}[31]础{(柱下石)}楚组祖
ɗ[35]都{(~城)}都{(~是)}妒杜肚{(腹~|鱼~|猪~)}度渡镀踱[53]屠[31]堵赌
tʰ[35]肚=[23]图涂[31]兔肚-土-吐-{(呕~)}
n[53]奴[44]糯{(~米)}[31]怒努
l[35]鲁橹露路鹭{(~鸶)}[23]卢庐{(茅~|~山)}芦{(~草)}炉虏[31]赂
ʦʰ[31]醋
s[44]酥[31]嗉{(鸟~子)}
k[44]古盬{(~子)}股估{(~计)}姑孤箍[31]故固顾雇锢{(~露锅)}鼓
kʰ[35]箍裤库[44]苦裤枯
ŋ[53]吴[44]五伍
h[35]户戽瓠{(~子|~瓜)}斛[23]鬍胡[44]乎忽[31]护沪虎

#ɯ
tθ[35]丝疵{(吹毛求~)}次忌{(~讳)}士事-已{(辰~)}四=似祀{(祭~)}肆已字自[53]瓷{(~器)}慈辞磁{(~石)}兹滋[23]匙{(汤~)}词祠辞[44]紫锁师诗狮-嗤{(~笑)}筛-{(~子)}司私思斯寺伺饲资[31]四-此使死=子
ɗ[44]猪=
ʦʰ[35]鼠-
ʦ[35]猪-
s[35]书恃[44]嗣[31]事
kʰ[31]稠{(训读)}
ŋ[35]饿=
Ǿ[53]而[23]儿=[31]二贰{(~心)}耳=饵=

#ɿ
ʦʰ[53]慈
s[55]狮=[31]事=式势世

#ai
ɓ[35]败拜[31]罢摆
pʰ[35]拍派[53]排牌簰{筏}
m[35]迈卖[53]理[44]米-买
f[53]□{搧}[31]肺
tθ[35]推猜菜堆再在载{(满~)}载{(年~)}载{(~重)}[23]裁纔豺才材财[53]矮{(训读)}[31]采彩睬
ɗ[35]低袋戴代待带[55]呆獃遮{(训读)}
tʰ[35]太泰屉替=[53]台抬苔殆[44]胎[31]第大-替-
n[35]奈耐[53]倪[31]乃奶
l[35]辣攋{(把~)}赖癞[53]黎[23]来[31]篾{(训读，竹~)}懒
ʦ[35]灾栽斋[44]栽宰[31]债宅
ʦʰ[35]菜[23]柴[44]猜钗[31]砌
s[35]赛寨蔡[44]筛=[31]祭晒辈{训读}□{小沟}
ɹ[31]蔼{(和~)}
k[35]蟹盖溉概[44]该[31]改解{(晓也)}解{(讲~|~开)}
kʰ[35]溉概[44]开=概{(慷~)}[31]丐{(乞~)}凯
ŋ[35]哀-埃-[31]艾爱碍
h[35]鞋[53]孩[44]海[31]蟹亥骇{(惊~)}害瞎
Ǿ[35]倚{(靠)}[44]哀埃{(灰~)}[31]□{(精液)}

#iai
ɹ[35]□{(番~|木瓜)}[53]崖={(山~)}涯={(天~)}挨{(~打)}□{(~粪:施肥)}
k[35]尴{(~尬)}街稭{(麦~)}谐介=戒=芥=界=械=[23]尬={(=尴~)}[44]楷皆=

#uai
k[35]乖-怪-[44]乖=柺[31]怪-
kʰ[35]快=块=[31]块-快-
h[35]坏=画=话=[23]淮=怀=

#ɔi
ɓ[44]譬
pʰ[35]被{(~子)}[53]皮[23]陪培赔
m[53]梅媒煤[44]每-
f[35]飞-非-[53]肥-[31]废-费-{(~用)}
v[53]围
tθ[35]腮虽-岁-[53]□{(四脚蛇)}[44]死-[31]在最-字洗=
ɗ[31]队-碓-
l[53]来-捞[23]黎=来=[31]锐-{(训读，利)}
ʦʰ[31]扔{(训读)}
k[35]饥{(饿)}[44]几{(~个)}改盖
kʰ[35]开[53]徛骑[23]魁=
ŋ[53]宜[44]其-饵-蚁[31]艾
h[35]灰溪[53]回茴{(~香)}[44]海恢=[31]去害坏
Ǿ[31]□{(伯母)}

#ɛi
ɓ[35]辈背{(~诵)}杯=[44]杯
pʰ[35]胚{(~胎)}佩配倍焙{(~干)}[23]培[31]肺
m[53]梅媒煤[44]美[31]妹昧每
f[35]飞-废费{(~用)}[23]肥-[44]飞=非=痱{(~子)}[31]匪翡{(~翠)}裴
v[35]苇-卫未位畏胃谓慰魏[53]微唯围[44]威[31]纬违伟伪苇{(芦~)}
tθ[35]坠最对-粹{(纯~)}碎隧{(~道)}[23]罚[44]虽[31]喘{(老)}绥
ɗ[35]队=碓
tʰ[35]退[31]腿
n[44]你
l[35]累{(极困)}累{(连~)}[53]雷-[31]累[23]雷=

#ei
ɓ[35]背{(~诵)}[44]杯-
pʰ[35]佩配倍焙{(~干)}[23]培
m[31]每
f[44]飞=非痍{(~子)}[31]匪翡{(~翠)}裴[35]废费{(~用)}
v[35]卫未位畏胃谓慰魏[23]围[44]威[31]纬违伟伪苇{(芦~)}
l[23]雷=[35]累

#ui
ɓ[44]□{(提)}[31]□{(拿)}
m[35]□{(女阴)}
ɗ[31]兑
tʰ[35]□{(垫)}[31]退
l[53]雷-
ʦ[35]□{(~水:潜水)}[44]岁醉[31]缀赘钻
ʦʰ[44]崔{(姓)}催
s[44]水[31]脆-
ɹ[35]悦阅[31]锐
k[35]圭闺傀{(~儡)}[44]鬼[31]桂刽跪
kʰ[53]傀{(~儡)}魄魁[23]奎槐[44]盔[31]溃{(~脓)}蜕{(蛇~皮)}
h[35]会{(~计)}会{(开~)}桧[44]悔[31]会{(~不~)}会{(开~)}绘晦惠慧贿秽

#ɯi
m[44]□{(na44~:仔)}
tθ[35]税芮[44]薯死[31]四肆
ɗ[35]队=
tʰ[53]投[44]土-
n[44]女[31]内
l[35]㪗
ʦ[44]箸
k[31]锯
kʰ[53]徛{(站立)}[31]去
ŋ[53]鱼-渔-
Ǿ[35]医{(~病)}[21]□{(拽)}□{(母亲)}

#au
ɓ[35]包胞报豹暴报抱[53]袍[44]宝饱胞[31]鲍{(姓)}瀑{(~布)}曝保堡
pʰ[35]鉋[23]狍[44]鳔抛[31]抱刨{(~地)}炮{(枪~)}泡{(~在水里)}跑
m[35]冒贸帽茂[53]毛矛茅[44]锚[31]耗卯貌牡
tθ[35]羞糙{(粗~)}灶造{(建~)}[23]曹槽{(马~)}巢遭糟躁[44]早扫-{(~地)}操{(~作)}缲{(~边)}潲{(~雨)}[31]草剿皂澡蚤扫-{(~帚)}
ɗ[35]刀到盗道[44]到刀叨{(~唠)}[31]导岛倒{(打~)}倒{(~水)}祷
tʰ[35]涛滔[53]头-[23]逃桃陶萄[44]摘{(训读)}[31]豆盗稻套透浩{(老)}讨
n[44]恼脑[31]闹□{(骂)}
l[35]捞涝{(旱~)}[53]劳[23]唠{(~叨)}牢[44]老漏
ʦ[35]照=诏笊{(~篱)}罩[44]韶{(~关,老)}昭沼{(池~)}召[31]兆赵枣找爪{(~子)}
ʦʰ[35]朝{(今~)}[23]朝{(~代)}潮[44]吵炒抄{(略取)}钞{(钱~)}超招
s[35]馊{(饭~了)}臊{(~气)}骚烧[53]韶{(~关:新)}[44]扫-{(~地)}少-{(多~)}[31]少={(~年)}邵绍
ɹ[35]淆绕{(~线)}要{(想~)}要{(~求)}耀鹞[53]姚窑谣摇[23]挠铙牛=柔侥{(~幸)}扰尧肴[44]妖腰邀要={(~求)}[31]绕-{(围~)}晓杳{(~无音信)}
k[35]高交勾钩-搞[23]告够[44]搞稿羔高膏篙糕蒿铰教-{(~书)}教{(~育)}[31]窖
kʰ[35]敲□{(饭勺)}[44]口-[31]考烤靠窍酷
ŋ[44]熬-[23]熬=[44]咬
h[35]好={(喜~)}[23]豪壕[44]好-{(~坏)}号{(~数)}[31]号{(呼~)}浩{(新)}厚-後-
Ǿ[35]傲奥懊{(~悔|~恼)}鏊[44]袄

#iau
ɓ[31]表錶
pʰ[35]飘票{(车~)}膘{(肥~)}[23]瓢嫖{(~赌)}[44]漂{(~白)}标[31]漂{(~亮)}
m[35]妙廟[23]描苗[44]猫[31]渺秒藐
tθ[35]浇{(新)}蕉{(芭~)}销{(训读)}鞘{(刀~)}醮{(打~)}[23]稠{(老)}[44]俏宵悄{(静~~)}捎{(~带)}梢{(树~)}椒樵消焦{(老)}瞧硝箫萧霄[31]小
ɗ[35]调{~子：勺子}[44]雕刁芍貂[31]吊掉调{(音~)}钓=调{(~动)}
tʰ[35]挑[53]条调{(~和)}[31]跳
n[31]尿
l[35]廖料[53]燎{(火~眉毛)}[31]瞭了{(了~)}撩{(~起来)}燎療聊遼
s[35]稍潲{(猪~)}
ɹ[35]浇{(老)}钥{(~匙)}[31]跃
k[35]叫教={(~书)}教={(~育)}轿较[53]扰{(训读)}搅骄[44]狡绞铰交胶郊焦{(新)}[31]缴{(上~)}
kʰ[23]桥矫{(~诈)}乔侨娇荞[31]巧
h[35]孝效校{(上~|学~|~对)}酵[44]嚣

#ou
m[23]谋否无[31]亩
f[31]否
t[44]兜[31]斗抖[35]豆逗鬥
tʰ[44]偷[23]图{(老)}[35]透叶=
l[35]陋
ʦ[44]周洲州舟[35]昼宙绉皱骤奏[31]走咒
ʦʰ[35]抽[23]仇绸筹酬唯[44]醜[31]臭{(香~)}丑嗅{(用鼻~)}帚凑
s[35]受=叟收飕[44]手-守[31]寿受兽售授树手=首
tθ[23]愁[31]酒=搜游[44]酒稠{(新)}掏{(训读，~出来)}
k[31]苟九-久-韭救[35]构购
kʰ[35]叩{(~头)}寇[53]求[21]口扣{(~住)}
ŋ[31]偶{(~然;配~)}藕
h[44]呼{(~叫;~鸡)}[23]狐胡壶湖[35]厚=後=候后
ɹ[35]优优幽悠{(~~)}尤犹[53]油-柚[23]友=由邮油=[44]友-有-酉-[31]又右佑{(祐)}有=酉=
v[35]跟{(训读)}
Ǿ[44]欧殴瓯怄{(~气)}沤[31]舅呕{(~吐)}藕=

#iu
ɓ[53]□{(胆~:蜻蜒)}□{(扎)}
m[31]谬
tθ[31]酒=[35]轴休椒就秀袖莠诱锈{(铁~)}[44]笑偢{(傻)}鬏锹秋{(~千)}秋{(~天)}囚修
ɗ[35]钓=[44]丢
tʰ[35]钓-[31]掉{(丢)}
n[35]尿[31]扭纽
l[35]榴{(石~)}[23]刘流留硫{(~黄)}榴{(石~)}[44]了{(了~)}[31]柳
ʦ[35]招[31]照-
s[35]烧-[44]少-{(多~)}
ɹ[35]腰
k[35]究[44]九鸠炙灸{(针~)}咎柩[31]旧=救久韭
kʰ[35]阄{(拈~)}[23]仇{(姓)}求球[44]纠{(~缠)}纠{(~正)}丘
h[35]嗅{(用鼻子闻)}[44]朽
Ǿ[35]要-{(想~)}靿[53]窑[23]油-[31]又右佑幼

#iɯ
tθ[35]射{(老)}借藉{(~故)}笡射麝{(~香)}谢蔗=[44]写-借蔗-蛆[31]泻姐且
ɗ[44]爹
l[31]□{(玩,游戏)}
ʦ[23]憠厥
ʦʰ[35]车-{(马~)}[44]车={(马~)}遮
s[35]射{(新)}舍社[53]蛇[23]斜蛇=邪[44]舍-[31]写=奢赊
Ǿ[35]耶液腋夜=[23]爷[44]宵[31]夜-也{(者~|~是)}野
k[23]瘸{(~腿)}
h[35]靴

#ɯu
m[53]谋-否-某[23]谋=无-[44]舞-□{(弟媳)}[31]亩
f[53]否=
v[35]□{(跟)}
tθ[35]嫂腮{(鬚)}[53]搜游[23]愁[44]酒-稠{(新)}掏{(~出来)}[31]嫂
ɗ[35]都豆逗斗[44]戽{(~水)}兜[31]斗抖
tʰ[35]透吐=[53]头=投图{(老)}[44]吐-{(~痰)}偷
l[35]漏陋[53]留[23]楼缕{(丝~)}搂{(~抱)}搂{(~取)}耧{(播种用的农具)}篓[31]屡
ʦ[35]昼宙绉皱骤奏[44]走周洲州舟[31]咒
ʦʰ[35]抽[53]泅[23]仇[44]醜□{(土匪)}[31]臭{(香~)}嗅{(用鼻~)}帚凑丑=
s[35]收飕受=[44]手-守树=[31]寿受兽售授树-手-首-
ɹ[35]优忧幽悠尤犹[53]油柚[23]友=由邮油=[44]友-有-酉-[31]又右佑{(祐)}有=酉=
k[35]钓={(老)}构购[44]狗九-久-韭救勾{(~当)}沟钩-[31]苟
kʰ[35]叩{(~头)}寇[53]求[31]救旧-臼扣{(~住)}口=狗=
ŋ[31]偶{(~然)}偶{(配~)}藕-
h[35]厚=後=候[23]狐胡壶湖侯喉猴[44]呼{(~叫|~鸡)}[31]后
Ǿ[44]欧殴瓯怄{(~气)}沤[31]舅呕{(~吐)}藕=

#am
f[35]犯泛范范[31]犯范范
tθ[35]三-监-{(国子~鉴)}[44]三=
ɗ[35]担-{(~任)}噎
tʰ[35]贪[23]谭潭[31]淡
n[53]男南□{(~sam53:唾液)}[23]男=南=
l[53]篮[31]览揽缆榄{(橄~)}滥
s[35]衫
k[31]感憾撼
ŋ[35]喑{(哑)}[44]岩{(崖)}
h[53]咸[23]含=函喊
Ǿ[35]揞{(~住)}暗

#iam
tθ[35]签籤渐[31]灒{(溅)}暂潜=浅=
ɗ[31]典腆{(~肚子)}
tʰ[23]甜=[44]添舔
n[35]念=[53]黏[31]念-撵撚
l[23]镰=廉[44]脸
ʦ[35]占黏{(~米|~起来)}[44]尖歼{(~灭)}
k[44]减兼搛[31]俭减碱
kʰ[35]歉[44]谦嵌[31]坎{(老)}
h[44]险
Ǿ[23]嫌=验严酽{(~茶)}盐=

#ɔm
k[35]柑乾-{(~湿)}
kʰ[35]痒{(训读)}
ŋ[53]□{(~睡:趴着睡)}
h[53]含-
Ǿ[53]□{(孵)}□{(捂)}

#im
tθ[35]心-[44]潜-淺-心=
tʰ[53]舔[55]添[31]添
n[31]念-
l[23]林淋{(~漓)}临[53]镰-
ʦ[35]针[44]针=尘{(老)}珍斟[31]诊枕疹趁
ʦʰ[44]沈枕{(动词)}[23]沉
s[35]深甚[31]沈婶審[44]深=
ɹ[35]任{(姓)}任{(责~)}紝{(缝~)}[31]壬
k[35]金襟禁{(~不住)}禁{(~止)}[44]岑今妗吟
kʰ[35]钦-[53]禽-擒-[23]琴[44]钦=禽=擒=
Ǿ[35]阴[44]阴=荫[53]淫嫌-盐-

#an
ɓ[35]办瓣[44]扳班颁斑[31]贩板版
pʰ[35]攀[53]盘[31]盼扮
m[35]蔓[53]馒{(~头)}[23]蛮[31]慢
f[35]饭[53]藩凡繁[23]烦矾[44]反扮盼帆番{(几~)}翻藩=凡=潘
tθ[35]撒□{(蘑菇)}燦赞散{(分~|鞋带~了)}[53]残惭[23]蚕馋[44]杉渗参{(~加|~差|人~)}餐搀簪[31]惨伞
ɗ[35]单-担-挑{(~但)}诞蛋[44]胆-单=担=耽禅{(~让)}丹[31]担-胆=店{(新)}
tʰ[35]淡嘆[53]谈-痰[23]禅{(~宗)}蝉掸{(鸡毛~子)}弹{(~琴)}弹{(子~)}谈=壇檀毯[44]探摊滩[31]炭坦
n[23]难{(患~)}难{(~易)}
l[23]蓝篮攔兰欄烂[44]懒{(口)}[31]敛
ʦ[35]蟾{(~蜍)}盏战站={(~立)}颤[44]沾粘{(~贴)}瞻[31]店{(老)}栈践{(新)}
ʦʰ[44]产铲删{(新)}
s[35]山-搧扇-善-[44]山=珊{(新)}膻杉[31]疝{(~气)}闪陕{(~西)}
ɹ[35]腌怨[53]延筵袁援{(~救)}辕[23]燃园[44]焉{(心不在~)}姻烟[31]晏{(晚也)}雁敛殓冉染眼
k[35]柬裥幹[44]简憨砍-簪干甘肝泔{(~水)}柑尴{(~尬)}奸间{(~断)}间{(空~)}艰监={(=~=视)}锏{(车~)}涧钳乾={(~湿)}[31]竿{(竹~)}赶敢稈{(稻~)}橄{(~榄)}
kʰ[35]看={(~守|~见)}[44]坎刊勘[31]看{(白)}砍=
ŋ[35]岸按案[53]银-[23]岩颜[44]{(牛~:蝴蝶)}安鞍
h[35]汉汗翰[53]闲[23]寒韩[31]旱限罕
Ǿ[44]淹阉

#ian
ɓ[35]鞭汴便{(~宜)}便{(方~)}辫变[44]边蝙[31]辨辩贬扁匾
pʰ[35]编骗{(欺~)}遍={(一~|~地)}[23]便={(~宜)}[44]偏=篇[]片
m[35]面麵[53]澠{(~池)}勉编棉[31]娩{(分~)}缅免
tθ[35]羡线[23]前=钱[44]千=迁仙先鲜{(新~)}轩喧楦{(鞋~)}[31]剪-饯{(~行)}贱箭选癣
ɗ[44]掂{(~掇)}颠[31]电佃奠殿墊{(~钱)}店{(新)}
tʰ[23]田=[44]㮇掭天=
n[23]年=
l[35]练=楝{(~树)}煉恋戀{(~糊)}[53]揀[23]连莲联
ʦ[35]践{(老)}[44]拈{(~起来)}鲇{(~鱼)}[31]眷倦剪=卷遣展
ʦʰ[53]缠
s[35]扇=善=[53]旋{(~吃~做)}鏇{(~床)}[23]衔=[44]闪-陕{(~西)}[]选
ɹ[23]言[44]蔫{(花萎)}渊庵[31]宴谚燕{(~子)}
k[35]见件=建苋{(~菜)}舰[44]检捲{(~起)}绢砚{(老)}坚肩[31]券犍{(~子)}
kʰ[35]牵圈{(圆~)}圈{(猪~)}[53]乾{(~坤)}权虔全[23]拳颧{(~骨)}[44]犬
ŋ[23]研
h[23]县现宪献眩[53]玄悬贤弦[31]显
Ǿ[35]院願[53]沿炎盐=元员园原缘源俨{(~然)}铅[44]远掩阎{(新)}冤[31]厌艳砚{(新)}

#uan
ɓ[35]半=伴拌绊[44]般搬=
pʰ[35]判叛
m[35]幔漫[31]瞒满=
tθ[35]删{(老)}珊{(老)}蒜算
ɗ[35]端断{(~绝)}断{(决~)}缎椴锻{(~炼)}[44]短=[31]段
tʰ[23]团糰
n[44]缓[31]暖
l[53]乱[23]鸾[44]卵
ʦ[35]撰[44]酸=专[31]传{(~记)}钻转{(~螺丝)}转{(~眼)}
ʦʰ[35]串窜患钻[23]船=传{(~记)}传{(~达)}[44]川穿[31]纂喘{(新)}
s[35]闩
k[35]惯灌罐[44]官=棺=观{(参~)}棺=鳏{(~寡)}关观{(寺~)}[31]冠{(~军)}冠{(衣~)}贯馆管
kʰ[44]宽[31]款
ŋ[53]顽{(~皮)}
h[35]欢幻唤换焕[23]还{(~有)}还{(~原)}环[31]宦
Ǿ[35]弯湾万[23]玩{(古~)}完[55]剜豌{(~豆)}阮[31]碗宛挽晚皖

#ɔn
ɓ[53]搬[31]半
pʰ[35]攀[53]盘
m[44]满
ɗ[44]短-
n[31]嫩-
ʦʰ[35]春
ɹ[31]闰
k[35]军[44]干=肝=
kʰ[35]看{(~见)}看{(~守)}

#in
ɓ[44]宾彬殡鬓[31]禀
pʰ[35]拼{(~命)}[53]贫便-{(~宜)}[44]品
m[23]眠民闽{(~越)}[31]问-抿悯敏
v[44]远
tθ[35]千-臻榛先尽进晋肾慎信讯迅[53]前-寻[23]秦[44]剪津亲{(~家)}辛新真侵[31]浸
tʰ[35]天[53]田
n[53]年
l[23]憐邻磷鳞檀[31]吝{(~啬)}赁{(租~)}
ʦ[35]振镇震[44]砖=
ʦʰ[53]缠[23]臣陈唇
s[23]辰晨娠神[44]勛薰申伸身熏
ɹ[53]人仁[44]忍饮{(米汤)}饮{(~酒)}隐[31]刃靱认饮{(~马)}
k[44]巾斤筋军=君芹[31]劲{(有~)}近紧谨锦
kʰ[23]勤群=[44]均钧坤裙=匀[31]件-
ŋ[23]银=
h[35]欣
Ǿ[35]因音殷烟-燕{(~京)}印[44]窨[31]引

#un
m[53]门
tθ[35]酸-[31]算-
ɗ[35]都断[44]短-
n[35]嫩=
t[35]酸-孙□{(累)}
tʰ[31]断-
l[44]卵{(男阴)}
ʦ[44]准準
ʦʰ[44]蠢春椿{(~树)}
s[35]酸[53]殉[23]纯莼{(~菜)}醇{(酒味~)}旬荀循[31]筍榫{(~头)}顺舜
ɹ[35]韵闰润[53]云雲[31]晕运
k[35]官-棺-棍困[44]滚
kʰ[35]昆-菌[23]馄{(~饨)}[44]昆=
h[35]训[44]昏荤婚
Ǿ[44]碗[31]刎吻

#ɯn
ɓ[35]逩-奔-笨[44]奔=锛=[31]本
pʰ[35]□{(禾~:稻茬儿)}喷{(~水)}喷{(~香)}[23]盆
m[35]闷[53]门-[23]门=
f[35]愤[53]坟[23]坟焚[44]份{(一~)}奋分{(~开)}纷芬忿[31]粪粉
v[35]□{(大姑子,大姨子)}[53]云
tθ[35]砖-捐衬忖寸俊[53]权旋[23]存巡[44]笋蒜-村蹲森尊遵撙孙[31]釁{(挑~)}损
ɗ[35]沌盾{(矛~)}钝遁囤飩{(馄~)}[44]敦{(~厚)}扽墩顿屯肫{(~肝)}
tʰ[35]吞
n[35]嫩=[53]□{(你们)}[44]软
l[35]□{(舔)}论{(议~)}[23]伦沦轮侖[31]论{(~语)}练-
ʦ[35]砖-□{(蹲)}
ʦʰ[53]尘{(新)} □{(坛子)}
s[35]逊串窜[53]船-[31]衅
k[44]根跟[31]垦恳
kʰ[53]群-裙-[44]垦犬{(狗)}
ŋ[35]恩[53]□{(荆棘)}
h[44]很痕[31]恨
Ǿ[35]问=[23]文纹闻蚊[44]稳温瘟

#aŋ
p[35]邦帮[31]绑
pʰ[35]□{(瘫痪)}傍榜[23]滂{(~沱)}旁螃{(~蟹)}
m[53]蚊{(~子)}[23]忙芒盲茫莽蟒虻{(牛~)}[31]忘-
f[53]防房[23]纺[44]芳方肪{(脂~)}[31]仿{(相似)}彷{(~佛)}仿{(~效)}放妨{(~害)}访
v[35]妄旺{(兴~)}望忘[53]亡王[44]网-往枉{(新)}汪{(一~水)}[31]枉{(老)}辋网=
tθ[35]仓苍丧{(~失|婚~)}[44]桑[31]藏{(隐~)}
ɗ[35]当{(~时)}当{(~作)}灯铛挡{(阻~)}[44]党[31]荡{(放~)}当{(典~)}
tʰ[35]汤=烫=[53]藤[23]唐堂棠塘糖螳{(~螂)}[31]趟{(去一~)}
l[23]郎狼廊螂[44]朗[31]浪
ʦ[35]脏{(肮~)}丈仗帐杖胀账障{(保~)}瘴{(~气)}[44]掌涨张章樟[31]藏{(西~)}脏葬长{(生~)}
ʦʰ[35]创[23]长{(~短)}肠=场[44]昌菖{(~蒲)}疮=[31]畅倡{(提~)}唱
s[35]上={(~山)}上={(~面)}[23]常[44]尝偿赏裳{(衣~)}桑嗓伤商[31]倘{(~使)}躺尚
ɹ[35]央=殃=[53]扬阳杨[23]羊=洋烊{(融化)}[44]嚷壤{(土~)}攘[31]让样养疡{(溃~)}仰痒秧
