	注释：-白读，=文读
x	[1]稀希熙禧嬉妃姬嘻牺[2]兮奚携[3]慧惠系[5]废肺戏吠=
∅	[1]衣依伊倚=[2]移[3]已以[5]翳溢
#u	
p	[1]晡夫-{～丈}[2]菩莆[3]步部簿埠[5]布怖
m	[1]摸[2]模[3]母=暮募慕姥亩-某=戊[5]墓
t	[1]都[2]厨[3]赌睹肚{腹～}堵□{路}
tʰ	[3]土
l	[3]撸鲁卤{～鸡}
ts	[1]租疽珠朱{～砂}资咨姿[3]子祖组阻梓
tsʰ	[1]粗初=[3]此楚[5]厝
s	[1]私=师=苏=疏蔬酥输斯伺[3]死=驶=史
k	[1]姑孤枯孤锅辜[3]古鼓股估贾{商～}䀇[5]过
kʰ	[1]科䉐呼{～鸡}箍戈[2]瘸[3]苦[5]课
ŋ	[3]伍=午误悟
x	[1]灰-呼肤麸夫=孵=敷=[2]和禾[3]浒俯府虎祸甫许腑雨-[5]货
∅	[1]乌污蜗[3]武舞侮鹉抚
#y	
t	[1]猪贮储[3]杵
tʰ	[1]蛛诛株
n	[3]女汝
l	[3]铝吕侣旅屡缕
ts	[1]书-诸[3]煮水渚
tsʰ	[1]舒{～床}蛆疽趋雏[3]鼠取
s	[1]舒=须鬚{胡～}输{运～}书胥需[3]署暑曙
k	[1]居车{～马炮}拘[2]茄桥-[3]举矩
kʰ	[1]区驱驹枢[5]去-
ŋ	[3]语
x	[1]虚嘘吁[3]许栩
∅	[1]迂竽盂淤[3]雨=宇与禹乳於于
#ai	
p	[3]摆={钟～}跛[5]拜[6]败
pʰ	[3]歹[5]派
m	[2]埋[5]□{坏}[6]迈
t	[1]呆{书～子}獃[2]台[3]歹[5]戴{～帽}带碓[6]待怠大=代=贷埭
tʰ	[1]胎筛梯苔{舌～}台{风～}抬[2]治{杀}[5]太态泰
n	[3]乃[6]奈耐
l	[2]来=雷-梨-{黄～：菠萝}[3]䉪[6]赖
ts	[1]栽灾哉[2]财材裁才脐-豺[3]宰载{一～}崽滓[5]再债[6]在寨
tsʰ	[1]猜钗[3]彩采採{～取}睬[5]菜蔡
s	[1]腮-师-鳃狮私-[3]屎-驶-使-[5]婿{夫～}使{大～}
k	[1]阶皆该[3]改解=[5]界芥介戒届盖丐
kʰ	[1]开[3]凯楷恺揩[5]溉慨概
ŋ	[2]呆崖[5]艾隘[6]碍砑
x	[2]骇□{陶瓷}颏偕谐[3]海[6]亥械害
∅	[1]哀埃唉挨{～打}[3]蔼霭倚[5]爱
#ei	
p	[2]脾[5]泌痹箅蔽秘庇[6]彼币备被{～动}弊敝毙婢篦
pʰ	[2]肥=皮=疲[5]鼻屁
m	[2]眉媚楣唯惟维微迷谜弥靡糜[6]未=味昧寐袂
t	[2]迟[5]智蒂致置[6]地治稚痔雉
tʰ	[2]苔-提持堤驰
n	[2]呢{～绒}[5]饵[6]二贰腻
l	[2]来-梨=[5]利{胜～}[6]利{刀～}吏痢
ts	[5]志痣誌{杂～}至[6]字
tsʰ	[5]饲[6]市峙恃
s	[2]时树糍鲥[5]试四肆[6]是示氏寺侍视
k	[2]奇旗棋祈祇祁耆其期蜞圻葵鳍[5]记既冀[6]忌技妓
kʰ	[2]骑[5]气汽器弃[6]柿
ŋ	[2]疑仪宜[6]耳
∅	[2]儿夷姨贻怡饴而[5]意忆亿懿[6]易{难～}异
#ɔi	
t	[5]对块{训}[6]代-袋总
tʰ	[5]退
n	[6]内
l	[2]雷=腡螺
ts	[5]晬{周岁}最[6]罪
tsʰ	[5]碎剉{砍}
s	[5]赛帅率{统～}[6]坐-
#oi	
p	[2]肥-
pʰ	[5]屁-
t	[2]颓[6]堕队坠
tʰ	[2]槌锤
n	[2]搂{揉}
l	[2]骡[6]累{连～}类泪
ts	[2]才{秀～}[5]醉[6]瘁粹悴赘
tsʰ	[5]喙翠
s	[2]垂随谁[6]瑞燧遂
k	[2]逵[5]贵瑰鳜[6]跪愦柜溃
kʰ	[5]愧
ŋ	[2]危巍[6]魏伪
x	[5]慰蔚尉
∅	[2]为{作～}围桅违苇[6]为{～什么}位胃谓
#øy	
p	[1]杯飞-
pʰ	[1]胚坯[5]沛
m	[3]尾每
t	[1]堆[2]除躇[3]短-箸[5]著
tʰ	[2]锄[3]腿
n	[3]馁
l	[3]滤儡{傀～}虑
ts	[3]住=柱=驻聚[5]渍注=
tsʰ	[1]吹欢崔催崔[3]髓[5]处娶觑趣□{寻找}
s	[1]衰□{瘦，指人}[2]徐薯茹殊[3]屿树=竖序墅=叙-[5]庶穗恕絮
k	[2]渠瞿[3]具巨俱惧粿距炬[5]句据锯倨踞逑
kʰ	[1]魁盔[5]去
ŋ	[2]鱼渔娱愚隅[3]寓遇禦{防～}御
x	[1]灰=恢诙[3]火-伙[5]煦酗
∅	[2]如儒榆余俞舆瑜愉誉[3]裕喻癒{病～}愈逾豫[5]妪
#au	
p	[1]包[2]胞[3]饱=[5]豹
pʰ	[1]抛[2]跑[5]炮泡鲍
m	[2]茅矛[3]卯[6]貌
t	[1]兜[2]投[3]鬥-斗-陡-[5]罩昼-[6]胆豆{黄～}
tʰ	[1]偷[2]头[3]敨{解开}透毒{～鱼}
n	[3]挠饶绕{～线}[6]闹
l	[1]捞[2]楼-流-留-刘[6]老-漏-
ts	[1]糟[2]巢剿缫[3]爪-蚤走找[5]灶
tsʰ	[1]操抄钞[3]草-吵=[5]臭-
s	[1]捎[3]稍[5]啸嗽扫-
k	[1]交沟胶=郊狡钩[2]猴-[3]九-垢[5]教=遘{到}校{～对}较够[6]厚-
kʰ	[1]阄抠[3]口-
ŋ	[3]藕
x	[1]薅耨[5]孝=酵=鲎吼[6]校{学～}效
∅	[1]瓯{茶杯}坳{山～}[3]呕[5]拗{～脾气}[6]後-
#ɛu	
pʰ	[2]浮=
m	[2]谋牟眸[6]贸茂
t	[2]条愁-[5]鬥={～争}吊-[6]逗
l	[2]楼=搂撩[6]抖廖漏=陋
ts	[5]绉奏皱[6]骤
tsʰ	[2]愁=[5]凑
s	[2]稠{常}[5]瘦
k	[5]购构媾
kʰ	[5]扣寇叩
x	[2]侯喉=猴=[6]後=候厚=
#eu	
t	[2]绸调{～查}橱[6]住=粙{稻}宙
tʰ	[6]柱-
n	[2]揉
l	[2]留=榴流=辽硫琉燎疗聊缭[5]溜
ts	[5]蛀[6]就
tsʰ	[5]树-臭=
s	[2]泅仇雠{校～，校对文字}售[5]宿{星～}绣秀少{～年}兽[6]寿受绶授袖
k	[2]球求[5]救究[6]舅=旧=
kʰ	[5]䊆{饭硬}[6]臼=咎
ŋ	[2]牛=
x	[5]嗅
∅	[2]酋柔尤邮油由悠犹游[5]幼[6]釉柚又右宥祐
#ou	
p	[2]瓠[5]富-[6]孵-腐-
pʰ	[2]浮-
t	[2]涂徒途图[5]妒蠹[6]杜肚{鱼～}度渡镀
tʰ	[5]吐兔
n	[2]奴[6]怒努
l	[2]炉卢庐[5]露[6]卤{盐～}路赂
ts	[2]瓷兹滋慈磁[6]自=
tsʰ	[5]醋刺=次
s	[2]辞祠词嗣饲=[5]素诉塑数赐[6]仕俟祀似已事士
k	[2]糊{米～}[5]故固顾雇[6]旧-舅-
kʰ	[5]库裤[6]臼-
ŋ	[2]梧吾吴牛-[6]五伍-
x	[2]糊{～涂}湖胡蝴壶狐符扶[5]戽傅付赋赴讣富=副[6]妇=负阜户沪恬互护父腐=附驸
∅	[2]无=巫诬[5]恶{可～}坞[6]务有雾
#ia	
n	[3]惹
∅	[3]野冶也
#ie	
t	[1]爹[6]蛎-
ts	[1]支{～提寺}[5]祭蔗[6]藉借{凭～}
tsʰ	[1]车奢[5]□{传染}
s	[1]赊施{～漏}[2]蛇邪斜=[3]写[5]泻卸赦舍[6]谢射社
k	[2]鲑岐[5]寄
kʰ	[1]奇{～数}欺[5]徛{陡峭}[6]徛{站立}
ŋ	[2]鹅-[5]艾-[6]外-蚁
∅	[2]耶椰爷[6]夜□{撒}
#iu	
pʰ	[2]瓢薸{浮萍}嫖[5]票漂
m	[2]猫=苗描[6]庙妙谬
t	[1]丢[2]朝潮调{～和}[3]肘[5]钓昼=[6]赵兆肇召调{～动}纣
tʰ	[1]□{细高}抽[3]丑{子～}[5]跳
n	[3]纽扭[6]尿
l	[3]柳
ts	[1]周舟州洲珠{目～：眼睛}咒蘸[3]酒[5]照
tsʰ	[1]秋锹[3]手帚醜{小～}[5]笑
s	[1]修羞收鬚{喙～}[2]韶绍邵[3]守首[5]宿{生～}
k	[1]□{缩}[2]桥=乔荞[3]九=久灸纠[5]叫[6]轿□{把重物撬起}
kʰ	[1]蚯丘邱[2]虬{卷曲}[5]跷窍
ŋ	[2]饶{上～}尧
x	[1]休
∅	[1]优忧[2]摇窑谣遥姚[3]有=友酉莠诱[5]耀
#iɐu	
p	[1]标膘{肥～}彪[3]表婊
pʰ	[1]飘[3]否剖亩
m	[3]秒渺杳{～无音信}
t	[1]朝{～夕}刁貂雕[3]抖
tʰ	[1]超=挑[2]筹□{筷子}
n	[3]鸟=
l	[3]了篓
ts	[1]焦椒礁招昭邹{姓}[3]少{多～}鸟-
tsʰ	[1]缲锹=[3]沼
s	[1]梢消霄宵硝销烧萧箫搜飕[3]小瘦-
k	[1]娇骄[3]饺矫缴狗苟
kʰ	[1]敲[3]巧口=
ŋ	[3]偶
x	[1]嚣哮[3]晓
∅	[1]腰邀妖要{～求}幺{一}讴欧{姓}殴夭[3]扰舀
#ua	
s	[3]耍
k	[3]寡剐
∅	[1]曰[3]我-
#uo	
p	[5]簸
pʰ	[5]破{～柴}派{～水}
m	[2]磨{～刀}魔摩麻=痳
t	[6]大-舵-
l	[3]箩
ts	[1]抓
s	[1]沙=
k	[1]瓜过{菜老}[5]芥挂褂卦
kʰ	[1]夸垮跨
ŋ	[6]瓦
x	[1]花[2]华铧[5]化
∅	[1]挖倭窝挝蛙洼娃[6]话画
#ui	
p	[2]赔陪培[5]贝痱沸[6]倍吠-
pʰ	[2]皮-[5]配破-[6]被{棉～}
m	[2]梅媒枚玫煤莓糜{～粥}[5]妹[6]未
t	[1]追
l	[3]蕊垒儡=
ts	[1]锥
tsʰ	[2]绥[5]脆
s	[1]虽[5]岁=说{游～}税
k	[1]龟归饥-[3]鬼幾-诡轨[5]髻会{～计}刽绘癸
kʰ	[1]开-亏[3]傀=
x	[1]挥辉徽[2]回茴蛔[3]毁[5]悔晦岁-讳[6]会汇卉
∅	[1]煨偎威[2]桅[3]伟委贿[5]秽畏[6]卫
#uoi	
kʰ	[5]快=块=
x	[2]怀槐淮[6]坏
#uai	
s	[1]摔
k	[1]乖[3]拐蒯
#am	
t	[1]耽担{负～}[2]谈痰[3]胆[5]担{担～}[6]淡澹
tʰ	[1]贪[3]潭谭[5]探
n	[2]南男
l	[2]篮林{树～}蓝[3]览揽榄[6]滥缆
ts	[1]簪[3]斩䭕{味淡}[6]暂錾站栈
tsʰ	[1]参{～观}搀[3]惨铲[5]忏
s	[1]三杉衫
k	[1]甘绀柑泔坩监{～牢}[2]含-衔-[3]敢瞰橄[5]鑫监{太～}鉴
kʰ	[1]龛[3]舰坎侃
ŋ	[2]岩-
x	[1]蚶酣邯[2]含=衔=函涵咸[5]□{双～：相争}[6]陷撼
∅	[1]庵谙[2]颔{下～}涵{～洞}[3]饮{米汤}[5]暗窨[6]馅
#ɛm	
t	[1]甜沾椹[3]点[5]店[6]殿垫
tʰ	[1]添[2]沉-[3]忝
n	[1]拈{拿}[3]染[6]念{～经}
l	[3]殓脸敛
ts	[1]尖针櫼{打入}毡戈
tsʰ	[1]签
s	[1]参{人～}森[3]闪陕
k	[1]兼[2]鹹-[3]减检[6]妗
kʰ	[1]谦[5]□{盖上}
∅	[1]掩淹[5]□{掩火}
#em	
tʰ	[2]沉=
ts	[5]占浸
s	[6]甚肾慎
k	[5]禁
kʰ	[2]琴钳{～囝}禽擒
ŋ	[2]吟
∅	[2]壬淫[5]荫[6]任赁孕刃
#im	
t	[2]恬滇
n	[2]黏[6]念=
l	[2]林=淋奁[3]凛廪惊
ts	[1]斟箴[3]枕[6]渐
tsʰ	[1]深侵[2]寻{量词}[3]寝
s	[1]心芯[2]盐[3]审沈[5]盐{腌}渗
k	[1]金今[3]锦[5]剑[6]俭
kʰ	[1]钦襟[5]欠
ŋ	[2]严[6]验彦
x	[2]嫌
∅	[1]音阴荫=[2]炎延涎筵[3]饮{～酒}[5]厌[6]艳焰
#iɛm	
k	[2]钳{铁～}
ŋ	[2]阎岩=
#aŋ	
p	[1]班斑颁扳般[2]平-坪[3]板=版[5]柄[6]病-
pʰ	[1]攀潘藩[2]彭膨[5]冇{不结实}
m	[2]蛮庞盲瞒馒闽明[3]满猛[6]慢漫曼蔓
t	[1]单丹珊[2]弹{～棉}坛□{现在}掸[3]鐤[5]旦蛋[6]弹{子～}但郑诞惮
tʰ	[1]撑听厅滩摊[3]坦[5]炭叹
n	[1]□{骹～：脚跟}[2]难[5]□{踮起}难{患～}
l	[2]兰拦栏[3]懒[6]烂两-
ts	[1]争-精正{～月}脏精[2]惭残潺馋[3]盏井[5]赞
tsʰ	[1]餐生-青-[3]癣请醒-[5]灿
s	[1]删讪生-山声[2]晴-[3]产伞散-省{～钱}[5]散性姓
k	[1]奸更{三～}干肝竿乾间{中～}艰经{～纬}[2]寒-[3]秆简柬[5]干间{～断}谏[6]汗-
kʰ	[1]堪坑看{～守}刊勘[5]看
ŋ	[2]颜[3]眼[6]岸雁
x	[2]鼾韩闲=寒=[3]罕[5]汉
∅	[1]安鞍桉[5]晏案按暗[6]旱焊
#ɛŋ	
p	[1]鞭崩边[2]爿朋[3]板-版-贬扁蝙匾[6]办
pʰ	[1]编篇偏烹[2]弘宏衡[5]横{蛮～}
m	[2]萌盟们[3]免猛=勉娩[6]孟慢锰
t	[1]巅癫灯[2]腾誉澄橙填[3]展典等[6]橂{硬、结实}邓瞪{～眼}镫
tʰ	[1]天蛏
n	[2]□{乳汁，树～}
l	[2]莲[3]辇冷
ts	[1]曾憎僧增争睁筝煎臻榛[2]层曾{～经}甑[3]剪践溅[6]赠
tsʰ	[1]撑迁鲜笺千歼纤[2]蚕田[3]浅筅
s	[1]生=牲=甥仙先-腥[2]前-榛{～油}[3]铣省{反～}
k	[1]庚羹耕肩坚铿间[2]悬{高}[3]楝哽梗亘耿炯茧笕迥鲠[5]更{～加}[6]县
kʰ	[1]茎牵[3]肯遣犬谴啃[5]□{推给别人负担}
ŋ	[3]俨碾{～米}研辗{车～}[6]硬
x	[1]亨[2]恒行=[3]狠很显[5]苋{～菜}贩[6]幸杏行{品～}
∅	[1]莺缨鹦焉燕烟=[2]闲-[6]限
#eŋ	
p	[2]平=瓶屏{围～}凭萍贫频苹[5]并[6]病=
pʰ	[5]聘并迸
m	[2]民珉明=眠瞑冥螟铭[5]面-[6]命=泳咏
t	[2]亭停廷庭蜓{蜻～}陈尘[5]钉镇订凳[6]阵定=
tʰ	[5]听{～其自然}趁{赚}
n	[2]宁仁{目珠～}[6]认宁{～可}
l	[2]陵凌菱灵铃伶零怜邻鳞[6]另令吝
ts	[2]秦情秦[5]进晋政证症正=[6]尽靖静净
tsʰ	[1]凊{冷}称{相～}
s	[2]乘盛{～满}神绳丞承臣成=辰晨蝇诚[5]信讯迅圣=胜性=姓=[6]剩
k	[2]琼荆[5]劲敬颈径[6]竞
kʰ	[5]庆磬{钟～}
ŋ	[2]迎=凝
x	[2]形型刑邢[5]兴{高～}
∅	[2]赢盈荣莹人仁寅[5]印应{答～}[6]刃
#œŋ	
m	[3]猛蝶[5]梦[6]网-
t	[1]钝东-冬-墩[2]铜-同-筒桐-[3]墩{桥～}[5]冻-栋-[6]动-洞-重{轻～}
tʰ	[1]通-吞[2]虫桐{～油}[3]桶
n	[2]脓能侬{人}[3]软暖[5]□{软}
l	[2]笼聋垅砻
ts	[1]棕鬃[3]钻{～石}[5]粽
tsʰ	[1]葱
s	[1]双酸孙[3]𢱤{推}[5]送宋
k	[1]工江-[3]港{～口}公-
kʰ	[1]空-
x	[1]鲂{～鱼}[2]悬{～下}[5]巷
∅	[1]翁-[2]红-[5]盎瓮[6]哕{乾～}
#øŋ	
t	[2]重{～新}丈{～侬：岳父}[3]转
tʰ	[2]重{～复}
n	[2]浓{～茶}农
l	[2]隆龙
ts	[2]从{～容}怂[5]众纵{放～}种{耕～}
tsʰ	[5]铳
s	[2]松[6]诵讼颂
k	[2]穷[5]供[6]共近
kʰ	[2]勤芹
ŋ	[2]银
x	[2]雄熊戎[5]衅
∅	[2]绒融茸容溶庸匀[5]涌映[6]用润
#ɔŋ	
p	[1]帮邦奔分-[2]旁滂{～沱}傍[3]榜绑本[5]谤
pʰ	[6]蚌碰磅
m	[2]忙茫芒[3]莽
t	[1]当张中-[2]唐螳堂塘肠长-屯[3]党挡涨{水～}长{省～}[5]顿当{上～}[6]荡段锻缎撞丈
tʰ	[1]汤[2]糖[3]倘{～使}躺趟[5]褪[6]烫
n	[2]撚{～碎}囊[3]冗曩[6]酿{～酒}嫩
l	[2]郎狼螂廊[3]两=朗[6]浪乱-卵论
ts	[1]尊蹲将{～来}浆砖庄装章樟赃妆[2]藏存床{蒸笼}[3]桨蒋奖掌钻{金钢～}[5]葬壮钻{～孔}[6]藏{西～}臓状
tsʰ	[1]仓村枪疮昌窗=川穿[2]床忖[3]厂抢[5]创闩寸
s	[1]喧桑丧{婚～}霜拴相箱厢商伤[3]想鲞爽赏选损嗓[5]算蒜丧{～失}逊涮
k	[1]冈岗刚纲缸光关-扛肛豇江=根=[3]广讲箢卷鬈[5]钢杠降{下～}
kʰ	[1]康糠慷昆匡筐坤[3]孔圹垦恳[5]抗睏{睡}囥{藏}
ŋ	[2]昂[6]戆{傻}
x	[1]荒慌恍方坊芳薰{烟}肪昏婚烘[2]防降{投～}航杭痕魂[3]访纺=[6]混项
∅	[1]恩汪冤晕秧-[2]行{银～}□{久}[3]影-阮䘼{手～}远=往网=[6]笐{竹～}
#oŋ	
p	[2]房㖹{吹}盆[5]粪放-畚[6]笨
pʰ	[2]蓬篷帆-缝{～纫}逢[5]缝{一条～}喷
m	[2]蒙[5]懵[6]闷
t	[2]同=桐=铜=童[5]冻=栋={～梁}囤顿[6]动=洞=沌炖
tʰ	[5]痛
n	[5]润-[6]润
l	[2]轮沦伦仑崙囵
ts	[2]崇从[5]竣俊圳{深～}骏
s	[2]船唇纯醇旋漩询循旬巡[5]舜瞬[6]顺
k	[2]群裙[5]贡汞[6]郡
kʰ	[5]旷[6]虹-
x	[2]哄洪浑云红=虹=[5]训奋况放=[6]份奉俸
∅	[2]文蚊闻纹[5]揾{蘸}[6]问=韵殒
#iŋ	
p	[1]冰宾宾彬斌槟殡鬓[2]便{～宜}[3]丙炳秉禀[5]变柄[6]汴辩辨便{方～}辫
pʰ	[1]妍{～头}拼[5]片骗骈
m	[2]棉[3]皿永颖悯敏[6]面=缅麵{～粉}
t	[1]徵惩贞侦丁钉疗珍[2]田缠[3]顶[6]电佃
tʰ	[1]听=厅=汀[3]逞艇挺鼎=[6]䋎{缝}
n	[2]年
l	[1]拎[2]临帘廉镰连联怜=[6]练炼链{～条}
ts	[1]蒸晶旌睛{眼～}真[2]钱前=潜[3]震拯{～救}整疹诊振娠{妊～}[5]箭战颤荐[6]贱渐
tsʰ	[1]称{～呼}青=清蜻亲[3]请=
s	[1]升胜{～任}声=星腥=伸申新身先=辛[2]暹蟾檐蝉[3]省=醒=[5]扇搧[6]善鳝膳擅羡
k	[1]惊=京擎鲸经=钧均[2]乾{～坤}虔舷{边}[3]境景谨仅紧警[5]见
kʰ	[1]卿轻倾[3]肯-顷
ŋ	[5]砚
x	[1]兴{～旺}兄=[2]贤弦悬=眩玄=[6]现
∅	[1]应{～当}因鹰英烟茵咽姻[2]然燃圆仍[3]影=颖[5]燕宴偃[6]院
#uŋ	
p	[1]枋[6]饭-
pʰ	[1]喷{～水}潘{～水}蜂-
m	[2]门[5]问-
t	[1]东=谆[2]传{～达}[3]董懂盾[6]传{～记}
tʰ	[1]通=椿[2]椽[3]统冢[5]篆
l	[3]拢陇垅宠
ts	[1]宗踪纵{～横}[2]痊全泉[3]准总
tsʰ	[1]春聪匆葱[3]蠢
s	[1]鬆{～紧}嵩[3]笋徇殉[6]吮
k	[1]公=工=功攻{～击}君军[2]狂拳权[3]滚[5]棍券眷眷[6]倦窘
kʰ	[1]空{～虚}[3]菌捆[5]劝
ŋ	[2]元源圆玄原[6]愿
x	[1]轰哄{～骗}风疯封蜂=分=纷讽[2]皇蝗癀妨{～害}园[3]粉忿愤[6]远-
∅	[1]温瘟翁=酝=[2]黄亡忘王完丸圆员袁[3]稳吻刎[6]望援
#yŋ	
t	[1]中=忠[2]长=场[3]等-[5]涨帐账胀[6]丈{姑～}
tʰ	[5]畅怅[6]仗杖
n	[2]娘[5]让-[6]嚷攘
l	[2]良粮凉梁粱量{～布}[6]量{气～}亮谅辆
ts	[1]终钟盅舂[3]种{～类}肿[5]酱将{大～}障瘴
tsʰ	[1]冲充[2]墙[5]倡{提～}唱[6]匠象像
s	[2]详祥常裳赏[5]相{～貌}[6]上尚痒-
k	[1]弓宫躬供{～给}恭根-跟-斤筋[2]强拱[3]建毽绢[6]健腱件键
kʰ	[3]恐巩
ŋ	[2]言
x	[1]胸凶掀欣薰熏勋[5]向饷献宪
∅	[1]雍拥殷[2]羊洋杨{～柳}扬疡阳沿铅缘[3]勇忍引隐允尹[5]恙[6]样壤让=
#iaŋ	
p	[3]饼
pʰ	[1]𩩍{背}
t	[3]侦{～探}鼎{锅}
tʰ	[3]毯坦
l	[3]领{～导}岭
s	[3]省{～长}
k	[1]惊-[3]囝
ŋ	[3]眼{龙～}
x	[1]兄-[3]掀
#iɛŋ	
p	[5]併{合～}
m	[2]名[6]命
t	[6]朕锭定-绽
tʰ	[2]呈程
ts	[5]正-[6]净-
tsʰ	[5]衬趁[6]鳝-
s	[2]成城[5]霰圣-[6]𣛮
k	[2]行-{走}
ŋ	[2]迎-[6]岸=
∅	[2]赢营
#uaŋ	
t	[1]端[3]短=
tsʰ	[5]喘舛
k	[1]官观冠鳏{～寡}关=[3]管{水～}馆
kʰ	[1]宽[3]款
x	[1]欢番番[3]反
∅	[1]弯[3]宛婉腕豌碗皖晚挽
#uoŋ	
p	[5]半[6]绊
pʰ	[5]判[6]伴叛
t	[5]断{决～}[6]断{判～}
tʰ	[2]团
l	[2]鸾銮[6]乱=
ts	[3]转{～螺丝}[6]撰
tsʰ	[5]串钏篡纂
k	[2]逛[5]贯惯藩罐观{寺～}
kʰ	[2]环圈
ŋ	[2]顽[6]玩
x	[2]横{～直}恒繁矾还{～原}桓[5]梵饭贩唤焕涣[6]患宦幻缓
∅	[6]万换
#yøŋ	
k	[1]捐涓姜薑羌疆僵
kʰ	[1]腔[3]强{勉～}
ŋ	[3]仰
x	[1]轩香乡[3]享响
∅	[1]蔫{不新鲜}秧=殃渊央[3]养
#ap	
t	[7]答搭[8]踏
tʰ	[7]塔塌榻[8]叠
n	[8]纳
l	[8]腊蜡猎粒-
ts	[7]匝洽[8]杂什-铡闸栅
tsʰ	[7]插
s	[7]飒霎[8]煠{～卵}
k	[7]蛤鸽甲夹合{合伙}
kʰ	[7]恰{～当}
x	[8]合
∅	[7]鸭押压呷狎[8]盒匣
