					#声调 [1]44 [2]22 [3]35 [6]31 [7]4 [8]2
小	ɕ	iɑu	35		
笑	s	au	44		
朝	tɕh	ieu	22		
照	tɕ	ieu	44		
烧	ɕ	ieu	44		
绕	ȵ	iɑu	31		
桥	kh	eu	22		
轿	kh	eu	31		
腰	Ǿ	ieu	44		
要	Ǿ	ieu	44		
摇	Ǿ	ieu	22		
钓	t	au	44		
条	th	au	22	白	
条	t	iɑu	22	文	
料	l	eu	31		
叫	k	eu	44		
母	m	o	35		
抖	t	iɤu	22		
偷	th	eu	44		
头	th	eu	22		
豆	th	eu	31		
楼	l	eu	22		
走	ts	ɑu	35		
凑	tsh	eu	44		
钩	k	ɑu	31		
狗	k	ɑu	35		
够	k	eu	44		
口	kh	eu	35		
藕	ŋ	eu	22	声调特殊	
后	ɕ	ieu	31		
厚	k	ɑu	31		
富	f	u	44		
副	f	u	44		
浮	ph	eu	22	白	
浮	f	u	22	文	
妇	ph	iɤu	44	白，声调特殊	
妇	f	u	31	文	
流	l	iɤu	44	白，声调特殊	
流	l	iɤu	22	文，风～	
酒	ts	iɤu	35		
修	s	iɤu	44		
袖	ɕ	iɤu	31		
抽	tsh	iɤu	44		
绸	ts	iɤu	22		
愁	s	eu	22		
瘦	s	ɑu	44		
州	tɕ	iɤu	44		
臭	tɕh	iɤu	44		
手	ɕ	iɤu	35		
寿	ɕ	iɤu	31		
九	k	iɤu	35		
球	k	iɤu	22		
舅	kh	iɤu	31		
旧	kh	iɤu	31		
牛	ŋ	ɑu	22		
休	ɕ	iɤu	44		
优	Ǿ	iɤu	44		
有	h	o	44	白	
有	Ǿ	iɤu	35	文	
右	Ǿ	iɤu	31		
油	Ǿ	iɤu	22		
丢	t	iɤu	44		
幼	Ǿ	iɤu	44		
贪	th	on	44		
潭	t	on	22		
南	n	ɑm	22		
蚕	tsh	ɑm	35	声调特殊	
感	k	am	35		
含	h	ɑm	22		
暗	Ǿ	ɑm	44		
搭	t	ɑp	4		
踏	th	ɑp	2	声调特殊	
拉	l	a	44	韵母、声调特殊	
杂	tsh	ɑp	2		
盒	h	ɑp	2		
胆	t	ɑm	35		
毯	th	ɔ	22	白，韵母、声调特殊	
毯	th	ɔn	35	文	
淡	th	ɑm	44		
蓝	l	ɑm	22		
三	s	ɑm	44		
甘	k	am	44		
敢	k	ɑm	35		
塔	th	ɔʔ	4		
蜡	l	ɔt	2		
赚	tɕ	yon	31		
杉	s	ɑm	44		
减	k	am	35		
咸	h	am	22		
插	tsh	ap	4		
闸	ts	ɑp	2		
夹	k	ap	4		
衫	s	am	44		
监	k	am	44		
岩	ŋ	ɑm	22		
甲	k	ɑp	4		
鸭	Ǿ	ɑp	4		
黏	n	e	31	韵母、声调特殊	
尖	tɕ	iɑm	44		
签	tɕh	ian	44		
占	tɕ	iem	44		
染	ȵ	iem	31	声调特殊	
钳	kh	em	22		
验	ȵ	iem	31		
险	ɕ	ien	35		
厌	Ǿ	ien	44		
炎	Ǿ	ien	22		
盐	Ǿ	iem	31		
接	ts	ap	4		
折	tɕ	iep	4		
叶	Ǿ	iep	2		
剑	ts	an	44		
欠	kh	en	44		
严	ȵ	iem	22		
业	ȵ	iep	2		
点	t	am	35		
店	t	iɑm	44		
添	th	am	44		
甜	th	am	22		
念	ȵ	iɑm	31		
嫌	h	am	22		
跌	t	et	4		
贴	th	ap	4		
碟	th	ap	2		
协	ɕ	ieʔ	4		
犯	f	ɔn	31		
法	f	ɔt	4		
品	ph	in	35		
林	l	im	22		
浸	ts	im	44		
心	s	im	44		
寻	s	im	22		
沉	th	im	22		
参	s	im	44		
针	tɕ	im	44		
深	tsh	im	44		
任	ȵ	in	31		
金	k	im	44		
琴	kh	im	22		
音	Ǿ	im	44		
立	l	it	2		
集	s	it	2		
习	ɕ	yt	2		
汁	ts	it	4		
十	ɕ	ip	2		
入	Ǿ	ip	2		
急	k	it	4		
及	k	ip	2		
吸	ɕ	iep	4		
单	t	ɔn	44		
炭	th	ɔn	44		
弹	t	an	31		
难	n	ɔn	22		
兰	l	ɑm	22		
懒	l	ɔn	44		
烂	l	ɔn	31		
伞	s	ɔn	44		
肝	k	ɔn	44		
岸	Ǿ	uon	44		
汉	h	ɔn	44		
汗	h	ɔn	31		
安	Ǿ	uon	44	～全	
安	Ǿ	ɔn	44	平～	
达	th	ɑp	2		
辣	l	ɔt	2		
擦	tsh	ɔʔ	4		
割	k	ɔt	4		
扮	p	ɔn	44		
办	p	ɔn	31		
铲	tsh	an	35		
山	s	an	44		
产	tsh	an	35		
间	k	ian	44		
眼	ȵ	ian	35		
限	Ǿ	ɔn	31		
八	p	at	4		
扎	ts	ɔʔ	4		
班	p	ɔn	44		
板	p	an	35		
慢	m	ɔn	31		
奸	k	an	44		
颜	ŋ	ɔ	22	～色	
颜	ȵ	iem	22	姓～	
变	p	en	44		
骗	ph	en	44		
便	p	en	31		
棉	m	en	22		
面	m	en	44		
连	l	en	22		
剪	ts	an	35		
浅	tsh	an	35		
钱	tsh	an	31		
鲜	s	en	44	白	
鲜	ɕ	ien	44	文	
线	s	an	44		
缠	tɕh	ien	22		
战	tɕ	ien	44		
扇	ɕ	ien	44		
善	ɕ	ien	31		
件	k	ien	31		
延	Ǿ	ien	22		
别	ph	et	2		
灭	m	et	2		
列	l	et	2		
撤	tɕh	iet	4		
舌	ɕ	iet	2		
设	ɕ	iet	4		
热	ȵ	iet	2		
孽	ȵ	iep	2		
建	k	yon	44	白	
建	tɕ	ien	44	文	
健	k	ien	31	白	
健	tɕ	ien	44	文，声调特殊	
言	ȵ	iem	22		
歇	ɕ	iet	4		
扁	p	an	35		
片	ph	iaŋ	35	韵母特殊	
面	m	en	31		
典	t	am	35		
天	th	an	44		
田	th	an	22		
垫	t	em	31		
年	n	an	22		
莲	l	en	22		
前	tsh	an	22	～年	
前	tɕh	iem	22	～晡	
前	ɕ	ian	31	～进	
先	ɕ	ian	31	～去	
先	ɕ	ien	44	～生	
肩	k	in	44		
见	k	ian	44		
牵	ɕ	ien	44		
显	ɕ	iem	35		
现	Ǿ	ian	31	白	
现	ɕ	ien	31	文	
烟	Ǿ	ian	44		
篾	m	at	2		
铁	th	at	4		
捏	n	et	4	声调特殊	
节	ts	at	4		
切	tsh	at	2	声调特殊	
截	ɕ	iaʔ	2		
结	k	iet	4	白	
结	tɕ	iet	4	文	
搬	p	ɔn	22	声调特殊	
半	p	ɔn	44		
判	ph	ɔn	44		
盘	ph	ɔn	22		
满	m	ɔn	35		
短	t	ɔn	35		
断	th	ɔn	44		
暖	n	ɔn	44		
乱	l	on	31		
酸	s	ɔn	44		
算	s	ɔn	44		
官	k	on	44		
宽	f	ɔn	44	白	
宽	kh	uɔn	44	文	
欢	f	ɔn	44		
完	Ǿ	yon	22	白	
完	Ǿ	uon	22	文	
换	Ǿ	uon	31		
碗	Ǿ	uon	35		
拨	p	ot	4		
泼	ph	ɔt	4		
末	m	oʔ	2	韵母特殊	
脱	th	ɔt	4		
夺	th	ɔt	2		
阔	f	ot	4		
活	Ǿ	uɔt	2		
顽	Ǿ	uon	22		
滑	Ǿ	iat	2	白	
滑	Ǿ	uɔt	2	文	
挖	Ǿ	uɔʔ	4		
闩	s	eu	44	韵母特殊	
关	Ǿ	uən	44		
惯	k	uɔn	44		
还	Ǿ	ian	22		
弯	Ǿ	uɔn	44		
刷	s	ot	4		
刮	k	iat	4		
全	ɕ	yon	22		
选	ɕ	yon	35		
转	tɕ	yon	35		
传	tɕh	yon	22		
传	tɕ	yon	31		
砖	k	yon	44		
船	ɕ	yon	22		
软	ȵ	yon	44		
卷	k	ien	35		
圈	kh	yon	44		
权	tɕ	yon	22		
圆	Ǿ	yon	22		
院	Ǿ	ien	31		
铅	tɕh	ian	44		
绝	ɕ	yot	2		
雪	s	ɔt	4		
反	p	on	35	动词	
反	f	ɔn	35	形容词	
翻	f	ɔn	44		
饭	ph	ɔn	31		
晚	m	ɔn	35		
万	m	ɔn	31		
劝	kh	yon	44		
原	ȵ	yon	22		
冤	Ǿ	yon	44		
园	Ǿ	yon	22		
远	Ǿ	yon	35		
罚	f	ɔt	2		
袜	Ǿ	uɔt	2		
月	ȵ	yot	2		
越	Ǿ	yot	2		
县	Ǿ	ien	31		
决	tɕ	yot	4		
缺	tɕh	yt	4		
血	ɕ	iet	4		
吞	th	ən	44		
根	k	yn	44	白	
根	k	yon	44	文	
恨	h	on	31		
恩	Ǿ	ɔn	44		
贫	ph	iaŋ	22		
民	m	in	22		
邻	l	in	22		
进	ts	in	44		
亲	tsh	in	44		
新	s	in	44		
镇	ts	in	44		
陈	ts	in	22		
震	ts	in	44		
神	ɕ	in	22		
身	ɕ	in	44		
辰	ɕ	in	22		
人	ȵ	in	22		
认	ȵ	in	31		
紧	k	in	35		
银	ȵ	yn	22		
印	Ǿ	in	44		
引	Ǿ	in	35		
笔	p	it	4		
匹	ph	it	4		
密	m	et	2		
栗	l	it	2		
七	tsh	it	4		
虱	s	et	4		
实	s	it	2		
失	s	it	4		
日	ȵ	it	4		
吉	k	it	4		
一	Ǿ	it	4		
筋	k	yn	44		
劲	k	yn	44		
勤	k	yn	22		
近	kh	yon	44		
隐	Ǿ	in	35		
本	p	on	35		
盆	ph	ən	31	声调特殊	
门	m	ən	22		
墩	t	ən	35	声调特殊	
嫩	n	ən	31		
村	tsh	ən	44		
寸	tsh	ən	44		
蹲	t	ən	44		
孙	s	ən	44		
滚	k	uən	35		
困	kh	uən	35	声调特殊	
婚	h	on	44		
魂	Ǿ	uən	22		
温	Ǿ	uən	44		
卒	ts	it	4		
骨	k	uət	4		
轮	l	ən	22		
笋	s	ən	35		
准	tɕ	yn	35		
春	tɕh	yn	44		
唇	ɕ	yn	22		
顺	s	ən	31		
纯	ɕ	yn	22		
闰	l	ən	31		
均	k	yn	44		
匀	Ǿ	yn	22		
律	l	it	2		
出	tɕh	yt	4		
分	p	ən	44		
粉	p	ən	35	白	
粉	f	ən	35	文	
粪	f	ən	35		
坟	ph	ən	22		
蚊	m	ən	31	声调特殊	
问	m	ən	44		
军	k	yn	44		
裙	kh	uən	22		
熏	ɕ	yn	44		
云	Ǿ	uən	22		
运	Ǿ	uən	31	白	
运	Ǿ	yn	31	文	
佛	f	ət	2		
物	m	ət	2		
帮	p	ɔŋ	44		
忙	m	ɔŋ	22		
党	t	ɔŋ	35		
汤	th	ɔŋ	44		
糖	th	ɔŋ	22		
浪	l	ɔŋ	31		
仓	tsh	ɔŋ	44		
钢	k	ɔŋ	44		
糠	h	ɔŋ	44		
薄	ph	oʔ	2		
摸	m	oʔ	4	声调特殊	
托	th	oʔ	4		
落	l	oʔ	2		
作	ts	oʔ	4		
索	s	oʔ	4		
各	k	oʔ	4		
鹤	ŋ	oʔ	2		
恶	Ǿ	oʔ	4		
娘	ȵ	ia	35	指母亲	
娘	ȵ	iɔŋ	22	新～	
两	l	iɔŋ	44	声调特殊	
亮	l	iɔŋ	31		
浆	tɕ	iɔŋ	44		
抢	tɕh	iɔŋ	35		
匠	tɕ	iɔŋ	44		
想	ɕ	iɔŋ	35	名词	
想	ɕ	iɔŋ	31	动词	
像	ɕ	iaŋ	31		
张	t	iɔŋ	44		
长	tɕh	iɔŋ	22		
装	tɕ	iɔŋ	44	白	
装	ts	ɔŋ	44	文	
壮	ts	ɔŋ	44		
疮	tsh	ɔŋ	44		
床	tsh	ɔŋ	22		
霜	s	ɔŋ	44		
章	tɕ	iɔŋ	44		
厂	tɕh	iɔŋ	35		
唱	tɕh	iɔŋ	44		
伤	ɕ	iɔŋ	44		
尝	ɕ	iɔŋ	22		
上	ɕ	iɔŋ	44	声调特殊	
让	ȵ	iɔŋ	31		
姜	k	iɔŋ	44		
响	ɕ	iaŋ	44		
向	ɕ	iɔŋ	44		
秧	Ǿ	iɔŋ	44		
痒	Ǿ	iɔŋ	44	声调特殊	
样	Ǿ	iɔŋ	31		
雀	tɕh	iaʔ	4		
削	ɕ	iaʔ	4		
着	tɕh	ioʔ	2		
勺	ɕ	ioʔ	2		
弱	ȵ	iaʔ	2		
脚	k	ioʔ	4		
约	Ǿ	iaʔ	4		
药	Ǿ	ioʔ	2		
光	k	ɔŋ	44		
慌	h	ɔŋ	44		
黄	Ǿ	uɔŋ	22		
郭	k	oʔ	4		
霍	h	oʔ	4		
方	f	ɔŋ	44		
放	p	iɔŋ	44	白	
放	f	ɔŋ	44	文	
纺	ph	iɔŋ	35		
房	ph	iɔŋ	22	白	
房	f	ɔŋ	22	文	
防	f	ɔŋ	22		
网	m	ɔŋ	35		
狂	Ǿ	uɔŋ	22		
王	Ǿ	uɔŋ	22		
旺	Ǿ	uɔŋ	31		
缚	ph	uʔ	2		
绑	p	ɔŋ	31	声调特殊	
胖	ph	ɔŋ	44		
棒	p	ɔŋ	22	声调特殊	
桩	t	iɔŋ	44		
撞	tɕ	iɔŋ	31		
窗	tɕh	iɔŋ	44		
双	s	əŋ	44		
江	k	ɔŋ	44		
讲	k	ɔŋ	35		
降	h	ɔŋ	22		
项	h	ɔŋ	22		
剥	p	oʔ	4		
桌	t	oʔ	2	声调特殊	
镯	tɕ	ioʔ	2		
角	k	oʔ	4		
壳	h	oʔ	4		
学	h	oʔ	2		
握	Ǿ	uʔ	4		
朋	p	əŋ	22		
灯	t	en	44		
等	t	en	35		
凳	t	en	44		
藤	th	en	22		
能	n	in	22		
层	tsh	en	22		
僧	s	in	44		
肯	ɕ	ien	35	白	
肯	kh	an	35	文	
北	p	eʔ	4		
墨	m	eʔ	2		
得	t	eʔ	4		
特	t	eʔ	2		
贼	tsh	eʔ	2		
塞	tsh	əʔ	4		
刻	kh	eʔ	4		
黑	ɕ	ieʔ	4	白	
黑	h	eʔ	4	文	
冰	p	in	44		
证	ts	in	44		
秤	tɕh	in	44		
绳	ɕ	in	31	声调特殊	
剩	tɕh	iɔŋ	31	白	
剩	s	in	31	文	
升	s	aŋ	31	白	
升	s	in	44	文	
兴	ɕ	in	44		
蝇	Ǿ	in	22		
逼	p	iʔ	4		
力	l	iʔ	2		
息	s	iʔ	4		
直	tɕh	iʔ	2		
侧	ts	eʔ	4		
测	tsh	əʔ	4		
色	s	eʔ	4		
织	ts	iʔ	4		
食	ɕ	iʔ	2		
式	s	iʔ	4		
极	tɕ	iʔ	2		
国	k	ot	4		
或	ŋ	əʔ	2		
猛	m	aŋ	35		
打	t	aŋ	35		
冷	l	aŋ	44		
生	s	aŋ	44	白	
生	s	en	44	文	
省	s	aŋ	35		
更	k	aŋ	44		
梗	k	iaŋ	35		
坑	h	aŋ	44		
硬	ŋ	aŋ	31		
行	h	aŋ	22		
百	p	aʔ	4		
拍	ph	aʔ	4		
白	ph	aʔ	2		
拆	tsh	aʔ	4		
择	ts	aʔ	2		
格	k	aʔ	4		
客	h	aʔ	4		
额	ŋ	aʔ	4	声调特殊	
棚	p	əŋ	22		
争	ts	aŋ	44		
耕	k	aŋ	44		
麦	m	aʔ	2		
摘	ts	aʔ	4		
策	tsh	aʔ	4		
隔	k	aʔ	4		
兵	p	in	44		
柄	p	iaŋ	44		
平	ph	iaŋ	22		
病	ph	iaŋ	31		
明	m	in	22		
命	m	iaŋ	31	白	
命	m	in	31	文	
镜	k	iaŋ	44		
迎	Ǿ	iaŋ	22	白	
迎	Ǿ	in	22	文	
影	Ǿ	iaŋ	35		
剧	tɕ	y	31	舒化	
饼	p	iaŋ	35		
名	m	iaŋ	44		
领	l	iaŋ	31	白	
领	l	in	31	文	
井	ts	aŋ	35		
清	tsh	in	44		
静	ts	in	31		
姓	s	aŋ	44		
贞	ts	in	44		
程	tɕh	in	22		
整	tɕ	in	35		
正	tɕ	iaŋ	44		
声	ɕ	iaŋ	44		
城	ɕ	iaŋ	22		
轻	kh	iaŋ	44		
赢	Ǿ	iaŋ	22		
积	tɕ	iʔ	4		
惜	s	iʔ	4		
席	tsh	aʔ	2	白	
席	ɕ	iʔ	2	文	
尺	tɕh	iaʔ	4		
石	ɕ	iaʔ	2		
益	Ǿ	iʔ	4		
瓶	ph	en	22		
钉	t	en	44		
顶	t	in	35		
厅	th	aŋ	44	白	
厅	th	in	44	文	
听	th	aŋ	44		
停	t	in	22		
挺	th	in	35		
定	th	aŋ	31		
零	l	in	22		
青	tsh	aŋ	44	白	
青	tsh	in	44	文	
星	s	aŋ	31	白，声调特殊	
星	s	in	44	文	
经	k	in	44		
形	Ǿ	in	22		
壁	p	iaʔ	4		
劈	ph	eʔ	4		
踢	th	eʔ	4		
历	l	iʔ	2		
锡	s	aʔ	4		
击	ts	iʔ	4		
横	Ǿ	iaŋ	22	白	
横	f	ɔŋ	22	文	
划	Ǿ	uɔt	2		
兄	ɕ	iaŋ	44		
荣	Ǿ	yŋ	22		
永	Ǿ	yn	31	韵母特殊	
营	Ǿ	in	22		
蓬	ph	əŋ	22		
东	t	əŋ	44		
懂	t	əŋ	35		
冻	t	əŋ	44		
通	th	əŋ	44		
桶	th	əŋ	35		
痛	th	əŋ	44		
铜	th	əŋ	22		
动	t	əŋ	31		
洞	t	əŋ	31		
聋	l	əŋ	44	声调特殊	
弄	l	əŋ	31		
粽	ts	əŋ	44		
葱	tsh	əŋ	31	声调特殊	
送	s	əŋ	44		
公	k	əŋ	44		
孔	kh	əŋ	35		
烘	h	əŋ	44		
红	f	əŋ	22		
翁	Ǿ	ɔŋ	44		
木	m	oʔ	2		
读	th	oʔ	2		
鹿	l	oʔ	2		
族	s	oʔ	2		
谷	k	uʔ	4		
哭	kh	uʔ	4		
屋	Ǿ	uʔ	4		
冬	t	əŋ	44		
统	th	əŋ	35		
脓	n	əŋ	22		
松	s	əŋ	44		
宋	s	əŋ	44		
毒	t	uʔ	2	名词	
毒	th	o	31	动词，舒化	
风	p	yŋ	44	白	
风	f	əŋ	44	文	
丰	f	əŋ	44		
凤	f	əŋ	31		
梦	m	əŋ	31		
中	tɕ	yŋ	44		
虫	tɕh	yŋ	31		
终	tɕ	yŋ	44		
充	tɕh	yŋ	44		
宫	k	yŋ	44		
穷	kh	yŋ	22		
熊	Ǿ	yŋ	22		
雄	Ǿ	yŋ	22		
福	f	uʔ	4		
服	f	uʔ	2		
目	m	oʔ	2		
六	l	yʔ	4		
宿	ɕ	ioʔ	4		
竹	tɕ	yʔ	4		
畜	kh	yʔ	4		
缩	s	oʔ	4		
叔	ɕ	yʔ	4		
熟	ɕ	yʔ	2		
肉	ȵ	yʔ	4		
菊	tɕ	yʔ	4		
育	Ǿ	iuʔ	4		
封	f	əŋ	44		
蜂	ph	yŋ	31	声调特殊	
缝	f	əŋ	31		
浓	n	yŋ	22		
龙	l	yŋ	22		
松	s	əŋ	22		
重	tɕh	yŋ	44		
肿	tɕ	yŋ	35		
种	tɕ	yŋ	44		
冲	tɕh	yŋ	44		
恭	k	əŋ	44		
共	k	əŋ	31		
凶	ɕ	yŋ	44		
拥	Ǿ	iɔŋ	44		
容	Ǿ	iɔŋ	22		
用	Ǿ	iɔŋ	31		
绿	l	ioʔ	2		
足	tɕ	ioʔ	4		
烛	ts	oʔ	4		
赎	ɕ	ioʔ	2		
属	ɕ	ioʔ	2		
曲	tɕh	ioʔ	4		
局	k	ioʔ	2		
玉	ȵ	ioʔ	2		
浴	Ǿ	ioʔ	2		
