#ɿ
ʦ[1]资姿咨滋兹辎[3]紫姊子梓[5]自字
k[1]刮瓜擖[3]寡[5]尬挂卦
kʰ[1]夸[3]胯[5]跨
x[1]哈花[2]华铧划桦滑猾[5]化华(~山)画划
ʦ[2]杂
ʦʰ[1]搓擦
s[1]撒[3]洒撒
tʂ[1]札渣抓眨髽紥[2]闸炸铡[3]爪-[5]诈榨炸乍栅
tʂʰ[1]叉差插[2]茶搽查茬察[5]杈岔
ʂ[1]沙纱杀刷[3]傻[5]厦

#iɔ
ʨ[1]家加痂嘉佳夹傢裌[3]假賈甲胛[5]驾架嫁价
ʨʰ[1]掐[2]恰洽
ɕ[1]虾瞎霞瑕遐暇狭峡匣辖蝦[5]下夏厦吓
Ǿ[1]押鸦丫鸭压桠[2]牙芽衙伢涯崖[3]雅哑[5]亚轧

#uɔ
Ǿ[1]蛙洼挖[3]瓦[5]袜

#ə
t[2]得德
tʰ[5]特
l[5]乐
k[1]搁胳阁歌哥戈蛤鸽割葛[2]格[3]各[5]个
kʰ[1]科棵颗磕渴[2]咳壳[3]可[5]课刻克客
x[1]喝[2]河何荷和禾盒合[5]贺荷喝鹤吓赫
ʦ[2]责=泽=择=[3]则
ʦʰ[5]厕侧测策
s[1]色=[5]塞=涩瑟啬
tʂ[1]遮蔗蜇折[2]浙[3]者
tʂʰ[1]车[3]扯
ʂ[1]奢赊佘[2]蛇舌折[3]舍设[5]社射麝赦舍騇
ʐ[3]惹[5]热
ŋ[2]蛾鹅俄讹额[5]饿恶
Ǿ[1]阿[5]鄂扼

#uo
p[1]波菠玻拨饽剥=泊[2]钵钹勃博伯帛[3]跛簸[5]薄(~荷)
pʰ[1]颇坡泼泊[2]婆[5]破迫魄
m[1]摸[2]膜魔磨没(~有)摩馍模摹[3]抹[5]陌默墨磨末莫沫寞
f[2]佛
t[1]多[2]夺铎踱[3]躲朵[5]舵惰垛剁
tʰ[1]拖脱托[2]驼驮[3]妥椭
n[2]挪[5]糯诺
l[1]啰[2]罗锣箩骡螺摞[3]裸[5]落=络=若=骆=
k[1]锅郭[3]果国裹鳏[5]过
kʰ[5]括阔廓扩
x[1]豁[2]活核(~对)[3]伙火[5]获或祸货和(~面)豁霍藿惑
ʦ[1]撮作(~坊)[2]琢(~磨)[3]左佐昨[5]坐座做作
ʦʰ[2]矬[5]锉措错莝
s[1]索缩蓑梭嗦[3]锁琐所索
tʂ[1]桌捉[2]卓啄浊涿拙酌镯
tʂʰ[1]戳
ʂ[1]说
ʐ[5]弱=
Ǿ[1]窝蜗倭[3]我[5]卧握沃

#iɛ
p[1]鼈憋[2]别
pʰ[3]撇
m[5]灭篾
t[1]爹跌[2]叠碟蝶牒谍
tʰ[1]帖贴铁
n[2]苶[5]聂镊蹑孽捏
l[5]烈列裂
ʦ[1]节接[2]截捷[3]姐[5]借褯
ʦʰ[1]切[3]且[5]妾
s[1]些楔[2]邪斜[3]写[5]泄泻卸屑谢
ʨ[1]街阶皆揭楷[2]洁劫杰[3]解[5]藉介解芥戒届
ʨʰ[1]血[2]茄[5]怯
ɕ[1]歇蝎[2]谐鞋携脅[5]械懈解
tʂ[2]折[3]褶
ʂ[5]摄涉
Ǿ[1]噎腋[2]耶爷[3]也[5]夜叶页液

#yɛ
n[5]虐疟
l[5]劣略掠
ʦ[2]绝爵
ʦʰ[1]雀鹊
s[1]薛雪
ʨ[2]厥掘决诀橛[5]憠倔
ʨʰ[1]缺[2]瘸[5]却确
ɕ[1]靴穴血削=[2]学=[5]屑(不~)
Ǿ[1]曰约[3]哕[]5岳悦阅月越粤乐=跃=

#ai
p[1]伯檗[2]白[3]摆百柏[5]拜稗败
pʰ[1]拍[2]排[5]派
m[2]埋[3]买[5]卖
t[1]呆[3]带待殆戴贷代袋大(~夫)
tʰ[1]胎苔[2]台抬臺[5]态太泰
n[3]乃奶[5]耐奈
l[2]来[5]赖癞
k[1]该[3]改[5]盖概丐溉
kʰ[1]开[3]凯楷慨
x[1]骇[2]孩[3]海[5]亥害
ʦ[1]灾栽[3]宰载载(~重)[5]在再
ʦʰ[1]猜[2]才材财裁[3]采彩[5]蔡
s[1]腮鳃塞=[5]赛
tʂ[1]摘斋[2]责-泽-择-宅[3]窄[5]寨债
tʂʰ[1]钗差拆册[2]豺柴
ʂ[1]筛色-[5]晒
ŋ[1]捱哀埃挨[2]捱[3]蔼矮[5]碍艾爱隘

#uai
k[1]乖[3]拐[5]怪
kʰ[5]块会(~计)
x[2]怀槐淮[5]坏
tʂ[3]拽
tʂʰ[1]揣
ʂ[1]衰[5]帅率蟀
Ǿ[1]歪[3]𨂿[5]外

#ei
p[1]杯碑卑婢悲北笔=奔[3]本苯[5]贝倍背被备臂锛奔(~头)
pʰ[1]胚喷坯披[2]培陪赔焙盆[5]沛配喷(~香)
m[2]媚梅枚媒煤眉楣霉门没[3]每美[5]妹寐昧闷
f[1]非飞妃分芬纷[2]肥坟焚[3]匪翡粉[5]废肺吠痱榧费愤忿粪份分
t[5]对队
tʰ[1]推忒[3]腿[5]退蜕
n[5]内
l[1]勒[2]雷[3]儡累垒[5]累类泪肋
k[1]跟根[3]给
kʰ[3]恳垦啃肯
x[1]黑[2]痕[3]很
ʦ[2]贼
ʦʰ[2]岑
s[1]森
tʂ[1]针斟真珍榛臻真斟贞侦针[3]枕诊疹[5枕镇阵振震
tʂʰ[2]沉陈尘辰晨臣[3]逞[5]趁衬称
ʂ[1]身深伸申参娠[2]谁神葚沈审婶[5]睡甚渗肾慎
ʐ[2]壬任人仁[3]忍[5]任刃认韧纫
Ǿ[1]恩

#iei
p[1]彬宾槟[5]殡
pʰ[2]贫频[3]品拼姘[5]聘
m[2]民[3]闽悯敏抿皿
l[1]拎[2]林淋临粼鳞磷[5]赁吝
ʦ[5]尽进晋近
ʦʰ[1]寝浸亲[2]秦[3]侵[5]吣
s[1]心新薪[2]寻[5]信
ʨ[1]今金禁襟巾斤筋[3]锦紧仅谨[5]禁妗劲
ʨʰ[1]钦[2]琴禽擒勤芹
ɕ[1]辛馨
Ǿ[1]音阴荫因姻洇寅引[2]淫饮银寅[3]吟引尹[5]窨饮印

#uei
t[1]敦墩蹲[2]屯豚[5]饨沌盾顿钝遁囤兑对队
tʰ[1]吞[2]臀[5]褪蜕
n[5]嫩
l[2]论仑伦沦轮[3]蕊[5]芮瑞锐论润闰
k[1]闺圭规龟轨癸归[3]滚鬼诡刽[5]桂跪柜贵棍鳜
kʰ[1]昆坤盔亏窥[2]魁傀奎葵逵捆[5]溃愧困
x[1]荤灰恢挥麾辉徽昏婚馄[2]魂浑回茴[3]悔毁[5]贿汇晦会绘惠慧讳
ɕ[2]逊寻
ʦ[1]遵堆尊[3]嘴[5]最罪醉俊
ʦʰ[1]催崔村皴[2]存[5]脆翠粹寸
s[1]孙[2]随髓虽遂隧巡荀旬[3]损笋榫损绥[5]碎岁穗秽迅讯殉
tʂ[1]追锥[3]准[5]缀赘坠
tʂʰ[1]春椿吹炊[2]唇纯醇垂槌锤[3]蠢
ʂ[2]谁[3]水[5]顺税舜睡舜
Ǿ[1]温瘟煨危萎微威惟[2]文蚊纹闻围违桅为(作~)维唯惟[3]吻刎伪委尾=伟苇[5]问畏慰纬胃谓卫为位未味魏

#yei
ʨ[1]均钧军君[3]菌郡
ʨʰ[2]群裙
ɕ[1]熏勋薰[5]训
Ǿ[1]晕[2]匀允云[5]熨韵运孕

#au
p[1]包胞剥[2]薄雹[3]褒保堡宝饱[5]报抱暴鲍豹刨菢
pʰ[1]抛[2]袍刨[3]跑[5]泡炮
m[2]毛茅猫锚矛[3]卯[5]冒帽貌
t[1]刀叨[3]祷岛倒导[5]道稻到倒盗
tʰ[1]滔掏涛[2]桃逃淘陶萄[3]讨[5]套
n[2]挠铙[3]脑恼[5]闹
l[2]劳捞牢崂[3]老
k[1]高膏篙羔糕[3]稿搞[5]告膏(~油)
kʰ[3]考烤[5]靠犒
x[1]蒿薅[2]豪毫号壕[3]好郝[5]浩好耗号
ʦ[1]遭糟[2]凿[3]早枣蚤澡[5]皂造躁灶糙
ʦʰ[1]操[2]曹槽[3]草
s[1]骚臊[3]扫嫂
tʂ[1]朝召昭招沼诏着[2]着[3]爪=[5]笊罩赵兆照
tʂʰ[1]抄钞超焯[2]巢朝潮[3]炒吵
ʂ[1]梢捎稍烧[2]韶勺芍绍[3]少[5]稍少邵
ʐ[2]饶[3]扰绕(困~)[5]绕(~线)弱-
Ǿ[2]熬爊桡襖坳傲懊奥

#iau
p[1]臕标彪[3]表錶
pʰ[1]飘漂鳔[2]瓢嫖[5]票漂
m[1]猫[2]苗描[3]藐渺秒[5]庙妙
t[1]刁貂雕[5]钓吊掉调
tʰ[1]挑[2]条调[3]挑[5]跳粜
n[3]鸟[5]尿虐-
l[2]燎疗聊辽廖瞭[3]燎了(~结)[5]料廖尥
ʦ[1]焦椒[2]嚼
ʦʰ[1]锹悄[3]悄
s[1]消宵霄销萧箫削-[3]小[5]笑
ʨ[1]脚蕉觉(知~)饺交郊教胶缴浇[3]绞狡铰搅剿侥角[5]教较窖觉叫瞧
ʨʰ[1]敲[2]樵瞧[3]巧[5]俏鞘壳窍
ɕ[2]学-[3]晓[5]校孝酵
Ǿ[1]幺吆约-[2]淆肴尧[3]咬[]勒药跃-乐-(~章)钥

#ou
p[1]剖
m[3]某[5]茂贸
f[3]否
t[1]都兜[3]斗抖陡[5]斗豆逗
tʰ[1]偷[2]头投[5]透
l[2]楼搂(~取)樓[3]篓搂[5]漏陋
k[1]勾钩沟[3]狗苟[5]够构购勾(~当)
kʰ[1]抠眍[3]口[5]叩扣寇
x[2]侯喉猴疾[3]吼[5]后厚候
ʦ[1]邹[3]走[5]奏
ʦʰ[5]凑
s[1]搜飕馊嵬[3]叟[5]嗽
tʂ[1]周舟州洲粥掫[2]轴[3]肘[5]纣昼宙皱绉骤咒
tʂʰ[1]抽[2]绸稠筹愁仇[3]丑瞅[5]臭
ʂ[1]收叔[3]手首守[5]瘦受兽寿授售
ʐ[2]揉柔[5]肉
ŋ[1]欧[3]藕偶呕殴[5]沤怄

#iou
m[5]谬
t[1]丢
n[2]牛[3]纽扭
l[1]溜[2]流刘留榴硫琉馏[3]缕柳[5]六陆
ʦ[1]揫[3]酒[5]就
ʦʰ[1]秋鞦[2]囚
s[1]修宿[5]秀绣锈袖
ʨ[1]鸠阄纠灸咎究[3]韭九久[5]臼救旧柩舅
ʨʰ[1]丘[2]求球仇[3]糗朽
ɕ[1]休羞[3]朽[5]嗅
Ǿ[1]忧优悠幽[2]釉尤邮由油游犹柚[3]有友酉莠[5]诱又右佑幼

#ã
p[1]班斑颁搬般扳[3]板[5]扮办瓣伴拌半绊
pʰ[1]攀潘[2]盘[5]盼判叛襻
m[2]瞒馒[3]蛮满[5]慢漫蔓幔
f[1]帆藩翻番[2]凡烦矾繁[3]反[5]范犯泛贩饭
t[1]耽担丹单[3]胆[5]淡担诞旦但蛋弹
tʰ[1]贪坍摊滩[2]谭潭谈檀坛弹痰[3]毯掸坦[5]探炭叹
n[2]南难男[5]难
l[2]蓝篮兰拦栏[3]揽览榄缆懒[5]滥烂
k[1]甘柑泔尴干肝竿[3]感敢橄杆擀稈[5]干
kʰ[1]堪龛勘刊[3]砍看(~守)[5]看(~见)
x[1]蚶憨酣鼾[2]含函寒韩翰还[3]喊罕[5]撼憾旱汉汗
ʦ[1]簪[3]攒[5]暂赞
ʦʰ[1]参餐[2]蚕惭残[3]惨[5]灿
s[1]三[3]散伞[5]散
tʂ[1]沾瞻占[3]斩绽盏展[5]站蘸占栈战
tʂʰ[1]搀[2]馋谗蟾缠蝉禅[3]产铲[5]颤
ʂ[1]衫杉钐珊山删擅扇[3]陕闪[5]疝扇善膳单禅
ʐ[2]然[3]染冉燃
ŋ[1]安鞍[3]庵[5]暗岸按案接

#iã
p[1]鞭编边[3]贬扁匾[5]辩辨变汴遍遍
pʰ[1]篇偏蝙[2]便(~宜)[5]骗片
m[2]绵棉眠[3]免勉缅娩渑[5]面
t[1]掂颠[3]点典奠[5]电店殿佃垫簟
tʰ[1]天添[2]甜田填[3]舔腆
n[1]蔫[2]粘鲶年[3]碾辇燃撵[5]念堰
l[2]廉镰簾连联莲怜楝[3]脸敛[5]敛殓练炼
ʦ[1]尖煎[3]剪[5]渐践溅箭践贱荐
ʦʰ[1]签潜迁笺千[2]钱前[3]浅
s[1]仙鲜先[5]线羡
ʨ[1]监(国子~)兼艰歼奸间肩监坚[3]减检简柬拣茧[5]健键建腱见件舰剑谏涧犍
ʨʰ[1]鹐锨铅谦牵[2]钳乾虔[3]谴[5]嵌欠歉
ɕ[1]掀[2]咸衔嫌闲贤弦鹹涎[3]险显[5]馅限宪献现县
Ǿ[1]淹阉腌焉烟[2]言研砚沿延岩炎盐阎檐严俨颜[3]掩眼演[5]宴燕筵验厌艳焰雁晏谚

#uã
t[1]端[3]短[5]断锻段缎
tʰ[2]团糰
n[3]暖
l[2]鸾[3]卵软[5]乱
k[1]官棺观冠鳏关[3]管馆[5]灌惯贯罐观冠
kʰ[1]宽[3]款
x[1]欢[2]还桓环[3]缓[5]唤焕换幻患宦
ts[1]钻[5]钻
tsʰ[1]汆[2]全泉[5]窜
s[1]酸宣喧[2]旋鏇眩玄悬[3]癣选[5]纂算蒜旋陷
tʂ[1]砖专[3]转[5]赚转传撰篆
tʂʰ[1]川穿[2]传椽船[3]喘[5]篡串
ʂ[1]闩栓[5]涮
Ǿ[1]豌剜弯湾[2]玩完丸顽[3]皖碗晚挽[5]腕万蔓

#yã
ʨ[1]捐[3]卷捲[5]圈眷绢倦券
ʨʰ[1]圈[2]拳权颧[3]犬[5]劝
ɕ[1]轩
Ǿ[1]冤渊[2]园辕圆员元缘原源阮援袁[3]远[5]院愿宛

#aŋ
p[1]帮邦浜[3]榜绑[5]谤傍棒
pʰ[2]滂旁螃庞[5]胖
m[2]忙芒盲茫[3]莽蟒
f[1]方肪芳[2]妨房防[3]仿纺仿访[5]放
t[1]当[3]党挡[5]荡当宕
tʰ[1]汤螳[2]堂棠唐糖塘[3]倘躺[5]烫趟
n[2]囊[3]攮[5]曩
l[2]郎廊狼螂[3]朗[5]浪
k[1]冈刚纲钢缸[3]岗港[5]钢(~刀)
kʰ[1]康糠[2]扛[5]抗炕
x[1]夯[2]行航杭
ʦ[1]脏[5]葬藏
ʦʰ[1]仓苍[2]藏
s[1]桑丧[3]嗓搡[5]丧
tʂ[1]张章樟筝[3]长涨掌[5]丈仗杖帐账胀障瘴
tʂʰ[1]昌菖[2]长肠场常尝[3]场厂[5]畅唱倡
ʂ[1]商伤裳[3]赏晌[5]上尚
ʐ[2]瓤穰[3]壤攘嚷[5]让
ŋ[1]肮[2]昂

#iaŋ
n[2]娘[5]酿
l[2]良凉量粮梁粱[3]两[5]亮谅辆量
ʦ[1]浆蒋奖桨[5]酱将匠
ʦʰ[1]枪[2]墙[3]抢
s[1]相箱厢湘镶襄[2]详祥[3]想[5]象像相橡
ʨ[1]疆僵缰姜豇江将薑[3]趼讲耩[5]降
ʨʰ[1]羌腔[2]强[3]强(勉~)
ɕ[1]香乡[2]降[3]享响饷[5]向项巷
Ǿ[1]央秧殃[2]羊洋杨阳扬[3]仰养疡痒[5]样

#uaŋ
k[1]光[3]广[5]逛恍
kʰ[1]匡筐[2]狂[5]旷眶况矿
x[1]荒慌[2]黄簧皇蝗[3]谎[5]晃
tʂ[1]庄装[5]壮状撞
tʂʰ[1]疮窗[2]床[3]闯[5]创
ʂ[1]霜孀双[3]爽
Ǿ[1]汪[2]亡芒(麦~)[3]网往[5]妄忘望旺

#əŋ
p[1]崩[5]蚌迸
pʰ[1]烹[2]朋彭澎棚篷蓬
m[2]萌盟蒙懵蠓[3]猛[5]梦孟
f[1]风疯[2]冯[3]讽[5]枫凤
t[1]登灯[3]等[5]凳镫邓澄(~一~)瞪
tʰ[1]熥[2]腾藤疼腾
n[2]能[5]弄
l[2]楞[3]冷[5]愣
k[1]更庚羹耕[3]哽埂耿[5]更
kʰ[1]坑
x[1]亨[2]恒衡横[5]横
ʦ[1]曾增[5]憎赠锃蹭
ʦʰ[2]曾层
s[1]僧
tʂ[1]征蒸争正睁[3]拯整[5]证症郑正政
tʂʰ[1]称撑铛(饼~)[2]成澄城诚乘丞橙呈程盛承[3]惩[5]秤牚(~儿)
ʂ[1]升生牲笙甥声[2]绳[3]省[5]剩胜圣盛
ʐ[1]扔[2]仍

#uəŋ
Ǿ[1]翁嗡[5]瓮

#iŋ
p[1]冰兵[3]丙秉柄饼禀[5]病并
pʰ[2]凭平评瓶屏萍坪
m[2]鸣明名[3]铭[5]命
t[1]丁钉靪[3]顶鼎[5]锭钉订定
tʰ[1]听厅蜓[2]亭停庭廷[3]挺艇
n[2]凝宁[5]宁佞
l[2]陵凌菱灵零铃伶翎[3]领岭[5]令另
ʦ[1]津精晶睛[3]井[5]净靖静
ʦʰ[1]清青蜻[2]情晴[3]请
s[1]星腥[3]醒省[5]性姓
ʨ[1]粳京鲸经惊[3]荆景警[5]颈径经(~纬)竞茎境敬竟镜穄
ʨʰ[1]卿轻倾[2]擎[5]亲(~家)庆磬
ɕ[1]兴[2]行形刑陉[5]兴杏行幸
Ǿ[1]英婴缨樱应鹰莺鹦[2]蝇迎赢萤盈茔[3]影映颖[5]应硬

#uŋ
t[1]东冬[3]董懂[5]动冻栋洞
tʰ[1]通囱[2]同铜桐童瞳[3]筒桶捅统[5]痛
n[2]农脓侬
l[2]荣龙聋隆戎绒融容镕熔茸溶[3]拢冗
k[1]公蚣工功攻弓躬宫[3]汞[5]贡
kʰ[1]空[3]孔[5]控空
x[1]轰烘[2]虹弘宏红洪鸿[3]哄[5]哄
ʦ[1]纵综鬃棕[3]总[5]粽
ʦʰ[1]聪葱忽[2]丛从
s[1]松嵩[5]送宋
tʂ[1]中忠仲终[5]中众
tʂ[1]樁仲充[2]虫崇[5]铳

#yŋ
ʨ[3]窘迥
ʨʰ[2]琼穷
ɕ[1]胸凶匈兄[2]熊雄
Ǿ[1]拥庸[3]勇涌永泳咏[5]用佣
