字音					
#i					
p	[1]标- [3]表- [6]鳔				
pʰ	[2]嫖 [3]剖 [5]票				
b	[3]母= [6]庙				
t	[2]跳-{跑步} [5]钓- [6]赵 [8b]着				
tʰ	[1]挑- [2]跳{弹跳} [5]粜				
l	[1]瞜 [3]瞭{斜视} [5]躼{个头高} [8b]略-				
ts	[1]焦椒= [2]□{这里} [3]借 [5]照- [8b]石-				
tsʰ	[1]𤞚{动物发情} [3]尺 [5]笑 [8b]席蓆{席子}				
s	[1]烧宵霄肖 [2]□{做事动作慢} [3]小惜-絮 [6]邵 [8b]液-{骹~}				
dz	[6]尿				
k	[3]桥-茄 [6]叫-轿 [8b]轿				
kʰ	[3]抾{拾}				
g	[6]蕌{露~，~头} [8b]谑				
h	[2]侯= [3]歇 [8b]箬叶-□{□naĩ6~，乌鸦}				
∅	[1]腰- [2]摇- [3]舀 [8b]药				
#ə					
p	[1]飞- [2]赔- [5]□{用浆糊粘贴} [6]背-				
pʰ	[1]胚- [2]皮- [5]配- [6]被- [8b]垈{泡沫}				
b	[2]糜-{粥} [3]卜{俗字，要}尾 [6]妹 [8b]袜				
t	[1]䭔{淀粉炸成的饼} [3]短 [5]垛{块} [6]袋-				
tʰ	[1]胎- [3]撤- [5]退				
l	[2]螺 [3]勒{拿} [8b]□{小声骂人}痨-{瓯语借词，童子~，狭义上指调皮的小男孩}				
ts	[1]灾- [2]□{压碎} [3]□{~脱：浪费} [5]晬{度~：满周岁} [6]坐座罪 [8b]绝-				
tsʰ	[1]吹-□{蒸}村-{瓯语借词} [2]箠{小棍子} [3]髓- [5]脆- [6]□{寻找}				
s	[3]雪-说- [5]税- [6]渗- [8b]踅{旋转}				
k	[2]□{~仔尾，辫子} [3]馃郭- [5]过-				
kʰ	[1]科- [2]瘸 [3]缺- [6]□{~~抖}				
g	[2]㤉{不灵活} [8b]月-				
h	[1]灰- [2]回- [3]火 [5]岁-货				
∅	[1]锅- [5]秽 [6]祸 [8b]厄{厚~，心里难受}				
#e					
p	[1]□{用筷子大口扒饭} [2]爬把-擘 [3]勃父把-柏 [5]币 [6]父- [8b]白-				
pʰ	[5]帕{花~，背孩子的方巾}				
b	[1]□{~仔豆，豌豆} [2]迷 [3]马- [8b]麦脉				
t	[1]低 [2]茶 [3]硩{压} [5]帝 [6]地弟第				
tʰ	[1]梯= [2]提 [3]彻{赤胳膊} [6]䖳{海蜇}				
l	[2]黎 [3]礼 [6]丽 [8b]裂-				
ts	[1]渣- [2]齐= [5]制 [6]寨				
tsʰ	[1]妻 [2]叔- [3]扯-{带子两头的交叉捆物} [8b]镲{破~，破裂声}				
