cnd	character	iintian	fnian	tone	iote
130	贝	p	ei	13	
131	带	t	ai	13	
132	盖	k	ai	13	
133	害	x	ai	13	
134	拜	p	ai	13	
135	排	ph	ai	21	
136	埋	m	ai	21	
137	戒	k	ai	13	
138	摆	p	ai	42	
139	派	ph	ai	13	
140	牌	ph	ai	21	
141	买	m	ai	42	
142	卖	m	ai	13	
143	柴	tsh	ai	21	
144	晒	s	ai	13	
145	街	k	ai	35	
146	解	k	ai	42	
147	鞋	x	ai	21	
148	蟹	x	ai	42	
149	矮	ŋ	ai	42	
150	败	p	ai	13	
151	币	p	i	13	
152	制	ts	ɿ	13	
153	世	s	ɿ	13	
154	艺	∅	i	13	
135	米	m	i	42	
156	低	t	i	35	
157	梯	th	i	35	
158	剃	th	i	13	
159	弟	t	i	13	
160	递	t	i	13	
161	泥	n	i	21	
162	犁	n	i	21	
163	西	ɕ	i	35	
164	洗	ɕ	i	42	
165	鸡	tɕ	i	35	
166	溪	tɕh	i	35	白
166	溪	ɕ	i	35	文，小～
167	契	tɕh	i	13	
168	系	ɕ	i	13	
169	杯	p	ei	35	
170	配	ph	ei	13	
171	赔	ph	ei	21	
172	背	p	ei	13	
173	煤	m	ei	21	
174	妹	m	ei	13	
175	对	t	uei	13	
176	雷	n	uei	21	
177	罪	ts	uei	13	
178	碎	tsh	uei	13	白
178	碎	s	uei	13	文
179	灰	x	uei	35	
180	回	x	uei	21	
181	外	∅	uai	13	
182	会	x	uei	13	
183	怪	k	uai	13	
184	块	kh	uai	42	
185	怀	x	uai	21	
186	坏	x	uai	13	
187	拐	k	uai	42	
188	挂	k	ua	13	
189	歪	∅	uai	35	
190	画	x	ua	13	
191	快	kh	uai	13	
192	话	x	ua	13	
193	岁	s	uei	13	
194	卫	∅	uei	13	
195	肺	f	ei	13	
196	桂	k	uei	13	
197	碑	p	ei	35	
198	皮	ph	n	21	
199	被	p	ei	13	
200	紫	ts	ɿ	42	
201	刺	tsh	ɿ	13	
202	知	ts	ɿ	35	
203	池	tsh	ɿ	21	
204	纸	ts	ɿ	42	
205	儿	∅	ɚ	21	
206	寄	tɕ	i	13	
207	骑	tɕh	i	21	
208	蚁	∅	i	13	
209	义	n	i	13	白，遵～
209	义	∅	i	13	文，～气
210	戏	ɕ	i	13	
211	移	∅	i	21	
212	比	p	i	42	
213	屁	ph	i	13	
214	鼻	p	i	21	
215	眉	m	i	21	白
215	眉	m	ei	21	文
216	地	t	i	13	
217	梨	n	i	21	
218	资	ts	ɿ	35	
219	死	s	ɿ	42	
220	四	s	ɿ	13	
221	迟	tsh	ɿ	21	
222	师	s	ɿ	35	
223	指	ts	ɿ	42	
224	二	∅	ɚ	13	
225	饥	tɕ	i	35	
226	器	tɕh	i	13	
227	姨	∅	i	21	
228	李	n	i	42	
229	子	ts	ɿ	42	
230	字	ts	ɿ	13	
231	丝	s	ɿ	35	
232	祠	tsh	ɿ	21	
233	寺	s	ɿ	13	
234	治	ts	ɿ	13	
235	柿	s	ɿ	13	
236	事	s	ɿ	13	
237	使	s	ɿ	42	
238	试	s	ɿ	13	
239	时	s	ɿ	21	
240	市	s	ɿ	13	
241	耳	∅	ɚ	42	
242	记	tɕ	i	13	
243	棋	tɕh	i	21	
244	喜	ɕ	i	42	
245	意	∅	i	13	
246	几	tɕ	i	42	
247	气	tɕh	i	13	
248	希	ɕ	i	35	
249	衣	∅	i	35	
250	嘴	ts	uei	42	
251	随	s	uei	21	
252	吹	tsh	uei	35	
253	垂	tsh	uei	21	
254	规	k	uei	35	
235	亏	kh	uei	35	
256	跪	k	uei	13	
257	危	∅	uei	21	
258	类	n	uei	13	
259	醉	ts	uei	13	
260	追	n	uei	35	白
260	追	ts	uei	35	文
261	锤	tsh	uei	21	
262	水	s	uei	42	
263	龟	k	uei	35	
264	季	tɕ	i	13	
265	柜	k	uei	13	
266	位	∅	uei	13	
267	飞	f	ei	35	
268	费	f	ei	13	
269	肥	f	ei	21	
270	尾	∅	uei	42	
271	味	∅	uei	13	
272	鬼	k	uei	42	
273	贵	k	uei	13	
274	围	∅	uei	21	
275	胃	∅	uei	13	
276	宝	p	ᴀʊ	42	
277	抱	p	ᴀʊ	13	
278	毛	m	ᴀʊ	21	
279	帽	m	ᴀʊ	13	
280	刀	t	ᴀʊ	35	
281	讨	th	ᴀʊ	42	
282	桃	th	ᴀʊ	21	
283	道	t	ᴀʊ	13	
284	脑	n	ᴀʊ	42	
285	老	n	ᴀʊ	42	
286	早	ts	ᴀʊ	42	
287	灶	ts	ᴀʊ	13	
288	草	tsh	ᴀʊ	42	
289	糙	tsh	ᴀʊ	13	
290	造	tsh	ᴀʊ	13	
291	嫂	s	ᴀʊ	42	
292	高	k	ᴀʊ	35	
293	靠	kh	ᴀʊ	13	
294	熬	ŋ	ᴀʊ	21	
295	好	x	ᴀʊ	42	
296	号	x	ᴀʊ	13	
297	包	p	ᴀʊ	35	
298	饱	p	ᴀʊ	42	
299	炮	ph	ᴀʊ	13	
300	猫	m	ᴀʊ	35	
301	闹	n	ᴀʊ	13	
302	罩	ts	ᴀʊ	13	
303	抓	ts	ua	35	
304	找	ts	ᴀʊ	42	
305	抄	tsh	ᴀʊ	35	
306	交	tɕ	iaʊ	35	
307	敲	kh	ᴀʊ	35	
308	孝	ɕ	iaʊ	13	
309	校	ɕ	iaʊ	13	
310	表	p	iaʊ	42	
311	票	ph	iaʊ	13	
312	庙	m	iaʊ	13	
313	焦	tɕ	iaʊ	35	
314	小	ɕ	iaʊ	42	
315	笑	ɕ	iaʊ	13	
316	朝	tsh	ᴀʊ	21	
317	照	ts	ᴀʊ	13	
318	烧	s	ᴀʊ	35	
319	绕	z	ᴀʊ	42	
320	桥	tɕh	iaʊ	21	
321	轿	tɕ	iaʊ	13	
322	腰	∅	iaʊ	35	
323	要	∅	iaʊ	13	
324	摇	∅	iaʊ	21	
325	鸟	n	iaʊ	42	
326	钓	t	iaʊ	13	
327	条	th	iaʊ	21	
328	料	n	iaʊ	13	
329	箫	ɕ	iaʊ	35	
330	叫	tɕ	iaʊ	13	
331	母	m	uᶹ	42	
332	抖	th	əu̜	42	
333	偷	th	əu̜	35	
334	头	th	əu̜	21	
335	豆	t	əu̜	13	
336	楼	n	əu̜	21	
337	走	ts	əu̜	42	
338	凑	tsh	əu̜	13	
339	钩	k	əu̜	35	
340	狗	k	əu̜	42	
341	够	k	əu̜	13	
342	口	kh	əu̜	42	
343	藕	ŋ	əu̜	42	
344	后	x	əu̜	13	
345	厚	x	əu̜	13	
346	富	f	uᶹ	13	
347	副	f	uᶹ	13	
348	浮	f	uᶹ	21	
349	妇	f	uᶹ	13	
350	流	n	iəu̜	21	
351	酒	tɕ	iəu̜	42	
352	修	ɕ	iəu̜	35	
353	袖	ɕ	iəu̜	13	
354	抽	tsh	əu̜	35	
335	绸	tsh	əu̜	21	
356	愁	tsh	əu̜	21	
357	瘦	s	əu̜	13	
358	州	ts	əu̜	35	
359	臭	tsh	əu̜	13	
360	手	s	əu̜	42	
361	寿	s	əu̜	13	
362	九	tɕ	iəu̜	42	
363	球	tɕh	iəu̜	21	
364	舅	tɕ	iəu̜	13	
365	旧	tɕ	iəu̜	13	
366	牛	n	iəu̜	21	
367	休	ɕ	iəu̜	35	
368	优	∅	iəu̜	35	
369	有	∅	iəu̜	42	
370	右	∅	iəu̜	13	
371	油	∅	iəu̜	21	
372	丢	t	iəu̜	35	
373	幼	∅	iəu̜	13	
374	贪	th	an	35	
375	潭	th	an	21	
376	南	n	an	21	
377	蚕	tsh	an	21	
378	感	k	an	42	
379	含	x	an	21	
380	暗	ŋ	an	13	
381	搭	t	a	21	
382	踏	th	a	21	
383	拉	n	a	35	
384	杂	ts	a	21	
385	鸽	k	o	21	
386	盒	x	o	21	
387	胆	t	an	42	
388	毯	th	an	42	
389	淡	t	an	13	
390	蓝	n	an	21	
391	三	s	an	35	
392	甘	k	an	35	
393	敢	k	an	42	
394	喊	x	an	42	
395	塔	th	a	21	
396	蜡	n	a	21	
397	赚	ts	uan	13	
398	杉	s	a	35	
399	减	tɕ	iɛn	42	
400	咸	ɕ	iɛn	21	
401	插	tsh	a	21	
402	闸	ts	a	21	
403	夹	tɕ	ia	21	
404	衫	s	an	35	
405	监	tɕ	iɛn	35	
406	岩	ŋ	ai	21	实为崖的训读字
407	甲	tɕ	ia	21	
408	鸭	∅	ia	21	
409	黏	n	iɛn	21	
410	尖	tɕ	iɛn	35	
411	签	tɕh	iɛn	35	
412	占	ts	an	13	
413	染	z	an	13	
414	钳	tɕh	iɛn	21	
415	验	n	iɛn	13	
416	险	ɕ	iɛn	42	
417	厌	∅	iɛn	13	
418	炎	∅	iɛn	35	
419	盐	∅	iɛn	21	
420	接	tɕ	i	21	
421	折	ts	ei	21	
422	叶	∅	i	21	
423	剑	tɕ	iɛn	13	
424	欠	tɕh	iɛn	13	
425	严	n	iɛn	21	
426	业	n	i	21	
427	点	t	iɛn	42	
428	店	t	iɛn	13	
429	添	th	iɛn	35	
430	甜	th	iɛn	21	
431	念	n	iɛn	13	
432	嫌	ɕ	iɛn	21	
433	跌	th	i	21	
434	贴	th	i	21	
435	碟	t	i	21	
436	协	ɕ	i	21	
437	犯	f	an	13	
438	法	f	a	21	
439	品	ph	in	42	
440	林	n	in	21	
441	浸	tɕh	in	13	
442	心	ɕ	in	35	
443	寻	ɕ	yn	21	
444	沉	tsh	ən	21	
445	参	s	ən	35	
446	针	ts	ən	35	
447	深	s	ən	35	
448	任	z	ən	13	
449	金	tɕ	in	35	
450	琴	tɕh	in	21	
451	音	∅	in	35	
452	立	n	i	21	
453	集	tɕ	i	21	
454	习	ɕ	i	21	
435	汁	ts	ɿ	21	
456	十	s	ɿ	21	
457	入	z	uᶹ	21	
458	急	tɕ	n	21	
459	及	tɕ	n	21	
460	吸	ɕ	n	21	
461	单	t	an	35	
462	炭	th	an	13	
463	弹	th	an	21	
464	难	n	an	21	
465	兰	n	an	21	
466	懒	n	an	42	
467	烂	n	an	13	
468	伞	s	an	42	
469	肝	k	an	35	
470	看	kh	an	13	
471	岸	ŋ	an	13	
472	汉	x	an	13	
473	汗	x	an	13	
474	安	ŋ	an	35	
475	达	t	a	21	
476	辣	n	a	21	
477	擦	tsh	a	21	
478	割	k	o	21	
479	渴	kh	o	21	
480	扮	p	an	13	
481	办	p	an	13	
482	铲	tsh	uan	42	
483	山	s	an	35	
484	产	tsh	an	42	
485	间	k	an	35	白
485	间	tɕ	iɛn	35	文
486	眼	∅	iɛn	42	
487	限	ɕ	iɛn	13	
488	八	p	a	21	
489	扎	ts	a	21	
490	杀	s	a	21	
491	班	p	an	35	
492	板	p	an	42	
493	慢	m	an	13	
494	奸	tɕ	iɛn	35	
495	颜	∅	iɛn	21	
496	瞎	ɕ	ia	21	
497	变	p	iɛn	13	
498	骗	ph	iɛn	13	
499	便	p	iɛn	13	
500	棉	m	iɛn	21	
501	面	m	iɛn	13	
502	连	n	iɛn	21	
503	剪	tɕ	iɛn	42	
504	浅	tɕh	iɛn	42	
505	钱	tɕh	iɛn	21	
506	鲜	ɕ	yɛn	35	
507	线	ɕ	iɛn	13	
508	缠	tsh	an	21	
509	战	ts	an	13	
510	扇	s	an	13	
511	善	s	an	13	
512	件	tɕ	iɛn	13	
513	延	∅	iɛn	21	
514	别	p	i	21	
515	灭	m	i	21	
516	列	n	i	21	
517	撤	tsh	ei	21	
518	舌	s	ei	21	
519	设	s	ei	21	
520	热	z	ei	21	
521	杰	tɕ	i	21	
522	孽	n	i	21	
523	建	tɕ	iɛn	13	
524	健	tɕ	iɛn	13	
525	言	∅	iɛn	21	
526	歇	ɕ	i	21	
527	扁	p	iɛn	42	
528	片	ph	iɛn	13	
529	面	m	iɛn	13	
530	典	t	iɛn	42	
531	天	th	iɛn	35	
532	田	th	iɛn	21	
533	垫	t	iɛn	13	
534	年	n	iɛn	21	
535	莲	n	iɛn	21	
536	前	tɕh	iɛn	21	
537	先	ɕ	iɛn	35	
538	肩	tɕ	iɛn	35	
539	见	tɕ	iɛn	13	
540	牵	tɕh	iɛn	35	
541	显	ɕ	iɛn	42	
542	现	ɕ	iɛn	13	
543	烟	∅	iɛn	35	
544	憋	p	i	13	
545	篾	m	i	21	
546	铁	th	i	21	
547	捏	n	i	21	
548	节	tɕ	i	21	
549	切	tɕh	i	21	
350	截	tɕh	i	21	
351	结	tɕ	i	21	
352	搬	p	an	35	
353	半	p	an	13	
354	判	ph	an	13	
355	盘	ph	an	21	
356	满	m	an	42	
357	端	t	uan	35	
358	短	t	uan	42	
359	断	t	uan	13	
560	暖	n	uan	42	
561	乱	n	uan	13	
562	酸	s	uan	35	
563	算	s	uan	13	
564	官	k	uan	35	
565	宽	kh	uan	35	
566	欢	x	uan	35	
567	完	∅	uan	21	
568	换	x	uan	13	
569	碗	∅	uan	42	
570	拨	p	o	21	
571	泼	ph	o	21	
572	末	m	o	21	
573	脱	th	o	21	
574	夺	t	o	21	
575	阔	kh	uei	21	白
575	阔	kh	o	21	文
576	活	x	o	21	
577	顽	∅	uan	21	
578	滑	x	ua	21	
579	挖	∅	ua	35	
580	闩	s	uan	13	
581	关	k	uan	35	
582	惯	k	uan	13	
583	还	x	uan	21	
584	还	x	an	21	
585	弯	∅	uan	35	
586	刷	s	ua	21	
587	刮	k	ua	21	
588	全	tɕh	yɛn	21	
589	选	ɕ	yɛn	42	
590	转	ts	uan	42	
591	传	tsh	uan	21	
592	传	ts	uan	13	
593	砖	ts	uan	35	
594	船	tsh	uan	21	
595	软	z	uan	42	
596	卷	tɕ	yɛn	42	
597	圈	tɕh	yɛn	35	
598	权	tɕh	yɛn	21	
599	圆	∅	yɛn	21	
600	院	∅	yɛn	13	
601	铅	tɕh	iɛn	35	
602	绝	tɕ	y	21	
603	雪	ɕ	y	21	
604	反	f	an	42	
605	翻	f	an	35	
606	饭	f	an	13	
607	晚	∅	uan	42	
608	万	∅	uan	13	
609	劝	tɕh	yɛn	13	
610	原	∅	yɛn	21	
611	冤	∅	yɛn	35	
612	园	∅	yɛn	21	
613	远	∅	yɛn	42	
614	发	f	a	21	
615	罚	f	a	21	
616	袜	∅	ua	21	
617	月	∅	y	21	
618	越	∅	y	21	
619	县	ɕ	iɛn	13	
620	决	tɕ	y	21	
621	缺	tɕh	y	21	
622	血	ɕ	y	21	
623	吞	th	ən	35	
624	根	k	ən	35	
625	恨	x	ən	13	
626	恩	ŋ	ən	35	
627	贫	ph	in	21	
628	民	m	in	21	
629	邻	n	in	21	
630	进	tɕ	in	13	
631	亲	tɕh	in	35	
632	新	ɕ	in	35	
633	镇	ts	ən	13	
634	陈	tsh	ən	21	
635	震	ts	ən	13	
636	神	s	ən	21	
637	身	s	ən	35	
638	辰	s	ən	21	白，星～
638	辰	tsh	ən	21	文，生～
639	人	z	ən	21	
640	认	z	ən	13	
641	紧	tɕ	in	42	
642	银	∅	in	21	
643	印	∅	in	13	
644	引	∅	in	42	
645	笔	p	i	21	
646	匹	ph	i	21	
647	密	m	i	21	
648	栗	n	i	21	
649	七	tɕh	i	21	
650	侄	ts	ɿ	21	
651	虱	s	ei	21	
652	实	s	ɿ	21	
653	失	s	ɿ	21	
654	日	z	ɿ	21	
635	吉	tɕ	i	21	
656	一	∅	i	21	
657	筋	tɕ	in	35	
658	劲	tɕ	in	13	
659	勤	tɕh	in	21	
660	近	tɕ	in	13	
661	隐	∅	in	42	
662	本	p	ən	42	
663	盆	ph	ən	21	
664	门	m	ən	21	
665	墩	t	ən	35	
666	嫩	n	ən	21	
667	村	tsh	ən	35	
668	寸	tsh	ən	13	
669	蹲	t	ən	35	
670	孙	s	ən	35	
671	滚	k	uən	42	
672	困	kh	uən	13	
673	婚	x	uən	35	
674	魂	x	uən	21	
675	温	∅	uən	35	
676	卒	tɕ	yu	21	
677	骨	k	uᶹ	21	
678	轮	n	ən	21	
679	俊	tɕ	yn	13	
680	笋	s	ən	42	
681	准	ts	uən	42	
682	春	tsh	uən	35	
683	唇	s	uən	21	
684	顺	s	uən	13	
685	纯	s	uən	21	
686	闰	z	uən	13	
687	均	tɕ	yn	35	
688	匀	∅	yn	21	
689	律	n	y	21	
690	出	tsh	uᶹ	21	
691	橘	tɕ	yu	21	
692	分	f	ən	35	
693	粉	f	ən	42	
694	粪	f	ən	13	
695	坟	f	ən	21	
696	蚊	∅	uən	21	
697	问	∅	uən	13	
698	军	tɕ	yn	35	
699	裙	tɕh	yn	21	
700	熏	ɕ	yn	35	
701	云	∅	yn	21	
702	运	∅	yn	13	
703	佛	f	uᶹ	21	
704	物	v	uᶹ	21	
705	帮	p	aŋ	35	
706	忙	m	aŋ	21	
707	党	t	aŋ	42	
708	汤	th	aŋ	35	
709	糖	th	aŋ	21	
710	浪	n	aŋ	13	
711	仓	tsh	aŋ	35	
712	钢	k	aŋ	35	
713	糠	kh	aŋ	35	
714	薄	p	o	21	
715	摸	m	o	35	
716	托	th	o	21	
717	落	n	o	21	
718	作	ts	o	21	
719	索	s	o	21	
720	各	k	o	21	
721	鹤	x	o	21	
722	恶	∅	o	21	
723	娘	n	iaŋ	21	
724	两	n	iaŋ	42	
725	亮	n	iaŋ	13	
726	浆	tɕ	iaŋ	35	豆～
726	浆	tɕ	iaŋ	13	～糊
727	抢	tɕh	iaŋ	42	
728	匠	tɕ	iaŋ	13	
729	想	ɕ	iaŋ	42	
730	像	ɕ	iaŋ	13	
731	张	ts	aŋ	35	
732	长	tsh	aŋ	21	
733	装	ts	uaŋ	35	
734	壮	ts	uaŋ	13	
735	疮	tsh	uaŋ	35	
736	床	tsh	uaŋ	21	
737	霜	s	uaŋ	35	
738	章	ts	aŋ	35	
739	厂	tsh	aŋ	42	
740	唱	tsh	aŋ	13	
741	伤	s	aŋ	35	
742	尝	s	aŋ	21	
743	上	s	aŋ	13	
744	让	z	aŋ	13	
745	姜	tɕ	iaŋ	35	
746	响	ɕ	iaŋ	42	
747	向	ɕ	iaŋ	13	
748	秧	∅	iaŋ	35	
749	痒	∅	iaŋ	42	
750	样	∅	iaŋ	13	
751	雀	tɕh	io	21	
752	削	ɕ	y	21	
753	着	ts	o	21	白
753	着	ts	ᴀʊ	21	文
754	勺	s	ᴀʊ	21	
735	弱	z	o	21	
756	脚	tɕ	io	21	
757	约	∅	io	21	
758	药	∅	io	21	
759	光	k	uaŋ	35	
760	慌	x	uaŋ	35	
761	黄	x	uaŋ	21	
762	郭	k	o	21	
763	霍	x	o	13	
764	方	f	aŋ	35	
765	放	f	aŋ	13	
766	纺	f	aŋ	42	
767	房	f	aŋ	21	
768	防	f	aŋ	21	
769	网	∅	uaŋ	42	
770	筐	kh	uaŋ	35	
771	狂	kh	uaŋ	21	
772	王	∅	uaŋ	21	
773	旺	∅	uaŋ	13	
774	缚	p	o	21	
775	绑	p	aŋ	42	
776	胖	ph	aŋ	13	
777	棒	p	aŋ	13	
778	桩	ts	uaŋ	35	
779	撞	ts	uaŋ	13	
780	窗	tsh	aŋ	35	
781	双	s	uaŋ	35	
782	江	tɕ	iaŋ	35	
783	讲	tɕ	iaŋ	42	
784	降	ɕ	iaŋ	21	
785	项	x	aŋ	13	
786	剥	p	o	21	
787	桌	ts	o	21	
788	镯	ts	uᶹ	21	
789	角	k	o	21	白
789	角	tɕ	io	21	文
790	壳	kh	o	21	
791	学	ɕ	io	21	
792	握	∅	o	21	
793	朋	ph	oŋ	21	
794	灯	t	ən	35	
795	等	t	ən	42	
796	凳	t	ən	35	又
796	凳	t	ən	13	文
797	藤	th	ən	21	
798	能	n	ən	21	
799	层	tsh	ən	21	
800	僧	ts	ən	35	
801	肯	kh	ən	42	
802	北	p	ei	21	
803	墨	m	ei	21	
804	得	t	ei	21	
805	特	th	ei	21	
806	贼	ts	uei	21	形容词，～哩很
806	贼	ts	ei	21	名词，小～
807	塞	s	ei	21	
808	刻	kh	ei	21	
809	黑	x	ei	21	
810	冰	p	in	35	
811	证	ts	ən	13	
812	秤	tsh	ən	13	
813	绳	s	uən	21	
814	剩	s	ən	13	
815	升	s	ən	35	
816	兴	ɕ	in	13	
817	蝇	∅	in	35	
818	逼	p	i	21	
819	力	n	i	21	
820	息	ɕ	i	21	
821	直	ts	ɿ	21	
822	侧	ts	ei	21	白
822	侧	tsh	ei	21	文
823	测	tsh	ei	21	
824	色	s	ei	21	
825	织	ts	ɿ	21	
826	食	s	ɿ	21	
827	式	s	ɿ	13	
828	极	tɕ	i	21	
829	国	k	uei	21	
830	或	x	uei	21	
831	猛	m	oŋ	42	
832	打	t	a	42	
833	冷	n	ən	42	
834	生	s	ən	35	
835	省	s	ən	42	
836	更	k	ən	35	
837	梗	k	ən	42	
838	坑	kh	ən	35	
839	硬	ŋ	ən	13	
840	行	ɕ	in	21	
841	百	p	ei	21	
842	拍	ph	ei	21	
843	白	p	ei	21	
844	拆	tsh	ei	21	
845	择	tsh	ei	21	
846	窄	ts	ei	21	
847	格	k	ei	21	
848	客	kh	ei	21	
849	额	ŋ	ei	21	
850	棚	ph	oŋ	21	
851	争	tsh	ən	35	
852	耕	k	ən	35	
853	麦	m	ei	21	
854	摘	ts	ei	21	
835	策	tsh	ei	21	
856	隔	k	ei	21	
857	兵	p	in	35	
858	柄	p	in	42	
859	平	ph	in	21	
860	病	p	in	13	
861	明	m	in	21	
862	命	m	in	13	
863	镜	tɕ	in	13	
864	庆	tɕh	in	13	
865	迎	∅	in	21	
866	影	∅	in	42	
867	剧	tɕ	y	13	
868	饼	p	in	42	
869	名	m	in	21	
870	领	n	in	42	
871	井	tɕ	in	42	
872	清	tɕh	in	35	
873	静	tɕ	in	13	
874	姓	ɕ	in	13	
875	贞	ts	ən	35	
876	程	tsh	ən	21	
877	整	ts	ən	42	
878	正	ts	ən	13	
879	声	s	ən	13	
880	城	tsh	ən	21	
881	轻	tɕh	in	35	
882	赢	∅	in	21	
883	积	tɕ	i	21	
884	惜	ɕ	i	21	
885	席	ɕ	i	21	
886	尺	tsh	ɿ	21	
887	石	s	ɿ	21	
888	益	∅	i	21	
889	瓶	ph	in	21	
890	钉	t	in	35	
891	顶	t	in	42	
892	厅	th	in	35	
893	听	th	in	13	
894	停	th	in	21	
895	挺	th	in	42	
896	定	t	in	13	
897	零	n	in	21	
898	青	tɕh	in	35	
899	星	ɕ	in	35	
900	经	tɕ	in	35	
901	形	ɕ	in	21	
902	壁	p	i	21	
903	劈	ph	i	21	
904	踢	th	i	21	
905	笛	t	i	21	
906	历	n	i	21	
907	锡	ɕ	i	21	
908	击	tɕ	i	21	
909	吃	tsh	ɿ	21	
910	横	x	uən	21	
911	划	x	ua	13	
912	兄	ɕ	ioŋ	21	
913	荣	∅	ioŋ	21	
914	永	∅	yn	42	
915	营	∅	in	21	
916	蓬	ph	oŋ	42	
917	东	t	oŋ	35	
918	懂	t	oŋ	42	
919	冻	t	oŋ	13	
920	通	th	oŋ	35	
921	桶	th	oŋ	42	
922	痛	th	oŋ	13	
923	铜	th	oŋ	21	
924	动	t	oŋ	13	
925	洞	t	oŋ	13	
926	聋	n	oŋ	35	
927	弄	n	oŋ	13	
928	粽	ts	oŋ	13	
929	葱	tsh	oŋ	35	
930	送	s	oŋ	13	
931	公	k	oŋ	35	
932	孔	kh	oŋ	42	
933	烘	x	oŋ	35	
934	红	x	oŋ	21	
935	翁	∅	oŋ	35	
936	木	m	uᶹ	21	
937	读	t	uᶹ	21	
938	鹿	n	uᶹ	21	
939	族	tɕh	yu	21	
940	谷	k	uᶹ	21	
941	哭	kh	uᶹ	21	
942	屋	v	uᶹ	21	
943	冬	t	oŋ	35	
944	统	th	oŋ	42	
945	脓	n	oŋ	21	
946	松	s	oŋ	35	
947	宋	s	oŋ	13	
948	毒	t	uᶹ	21	
949	风	f	oŋ	35	
950	丰	f	oŋ	35	
951	凤	f	oŋ	13	
952	梦	m	oŋ	13	
953	中	ts	oŋ	35	
954	虫	tsh	oŋ	21	
935	终	ts	oŋ	35	
956	充	tsh	oŋ	35	
957	宫	k	oŋ	35	
958	穷	tɕh	ioŋ	21	
959	熊	ɕ	ioŋ	21	
960	雄	ɕ	ioŋ	21	
