字	音	注
屍	θi[1]	
絲	θi[1]	
詩	θi[1]	
匙	θi[2]	
世	θi[5]	
勢	θi[5]	
逝	θi[5]	
細	θi[5]	
四	θi[5]	
泗	θi[5]	～橋：地名
試	θi[5]	
誓	θi[6]	
始	θi[6]	
支	tɕi[1]	～出
脂	tɕi[1]	
芝	tɕi[1]	
之	tɕi[1]	1
□	tɕi[1]	老～：女陰
祭	tɕi[5]	
際	tɕi[5]	
制	tɕi[5]	
製	tɕi[5]	
至	tɕi[5]	夏～
志	tɕi[5]	
誌	tɕi[5]	
痣	tɕi[5]	
紫	tɕi[6]	
止	tɕi[6]	
趾	tɕi[6]	
址	tɕi[6]	
鰓	ɕi[1]	
雌	ɕi[1]	
犧	ɕi[1]	
癡	ɕi[1]	2
嬉	ɕi[1]	
熙	ɕi[1]	
希	ɕi[1]	
稀	ɕi[1]	
妃	ɕi[1]	
廢	ɕi[5]	
肺	ɕi[5]	
刺	ɕi[5]	名詞
戲	ɕi[5]	
飼	ɕi[5]	1餵養，～豬：養豬，～雞：養雞
費	ɕi[5]	
系	ɕi[6]	
係	ɕi[6]	
惠	ɕi[6]	
慧	ɕi[6]	
喜	ɕi[6]	2～酒
雞	ki[1]	
圭	ki[1]	
枝	ki[1]	1鐵～：抬著游行的演戲的臺子，荔～
肢	ki[1]	
栀	ki[1]	黃～
妓	ki[1]	
飢	ki[1]	
肌	ki[1]	
几	ki[1]	茶～
基	ki[1]	
箕	ki[1]	
饑	ki[1]	2
機	ki[1]	2
譏	ki[1]	
幾	ki[1]	～乎
鮭	ki[2]	鹹～：較小的鹹魚乾
□	ki[2]	～蛇：一種較大、有毒的蛇
計	ki[5]	
繼	ki[5]	
桂	ki[5]	～花，肉～
冀	ki[5]	
記	ki[5]	
既	ki[5]	
季	ki[5]	
紀	ki[6]	
□	ki[0]	～□□li44nun44：發抖
技	ki[9]	～術
稽	kʰi[1]	
㩻	kʰi[1]	傾斜
欺	kʰi[1]	
契	kʰi[5]	塍～：田契
企	kʰi[5]	
器	kʰi[5]	
氣	kʰi[5]	
汽	kʰi[5]	
去	kʰi[5]	2～年
枝	ŋi[1]	2柴樹～：樹枝
□	ŋi[1]	青～：一種青蛙
宜	ŋi[2]	1便～
□	ŋi[2]	□□na11lan23～：知了
藝	ŋi[6]	
誼	ŋi[6]	1
義	ŋi[6]	
議	ŋi[6]	
毅	ŋi[6]	
外	ŋi[11]	2～爿：外面
伊	∅i[1]	他
醫	∅i[1]	
衣	∅i[1]	2～裳
依	∅i[1]	
底	∅i[1]	5著～…：正在…
得	∅i[1]	3一種助詞，相當於普通話的「了」或「掉」，如，□tʃʰœ55～：擦掉；𣍐記～：忘記
□	∅i[1]	掩～屈：捉迷藏
移	∅i[2]	
意	∅i[5]	
憶	∅i[5]	
億	∅i[5]	
□	∅i[5]	萎
椅	∅i[6]	
倚	∅i[6]	2
已	∅i[6]	
以	∅i[6]	
底	∅i[0]	4頭～：頭上，墻～：墻上
□	∅i[11]	□nam11～□ᴇi433：螢火蟲
夫	pu[1]	1丈～：男人
蒲	pu[2]	菖～，～扇：扇子
葡	pu[2]	～萄
□	pu[2]	～蠅：蒼蠅
布	pu[5]	
布	pu[5]	
怖	pu[5]	
鋪	pu[5]	十里。不送氣音
富	pu[5]	1
補	pu[6]	
浦	pu[6]	2霞～：地名
部	pu[6]	
簿	pu[6]	
步	pu[6]	
捕	pu[6]	1
鋪	pʰu[1]	動詞
潽	pʰu[1]	溢出
扶	pʰu[2]	1竪起來；推
譜	pʰu[6]	
普	pʰu[6]	
浦	pʰu[6]	1
捕	pʰu[6]	2
甫	pʰu[6]	
脯	pʰu[6]	
摸	mu[1]	用手掏
牡	mu[1]	～丹
模	mu[2]	
摹	mu[2]	
□	mu[2]	朵，量詞
墓	mu[5]	
□	mu[5]	～薺：荸薺
暮	mu[6]	□θœŋ33～：昨日
母	mu[6]	2□tɕiŋ55～：女人，父～
姆	mu[6]	
戊	mu[6]	2
都	tu[1]	首～
都	tu[1]	副詞
□	tu[5]	洇
拄	tu[5]	～杖：幫助挑擔用的棍子
朵	tu[6]	
躲	tu[6]	
渡	tu[6]	
□	tu[6]	路；～下：地上
□	tu[10]	～□nᴇn11：蜥蜴
吐	tʰu[5]	嘔吐
兔	tʰu[5]	
妥	tʰu[6]	
橢	tʰu[6]	
土	tʰu[6]	
枯	nu[1]	2偏～：癱瘓
咐	nu[5]	吩～
露	lu[5]	1露水
裸	lu[6]	
魯	lu[6]	
櫓	lu[6]	
虜	lu[6]	
租	tʃu[1]	
朱	tʃu[1]	
硃	tʃu[1]	
珠	tʃu[1]	2蜀粒～
株	tʃu[1]	
資	tʃu[1]	
姿	tʃu[1]	
咨	tʃu[1]	
之	tʃu[1]	2
駐	tʃu[5]	
注	tʃu[5]	
蛀	tʃu[5]	
注	tʃu[5]	
鑄	tʃu[5]	
祖	tʃu[6]	
組	tʃu[6]	
阻	tʃu[6]	
主	tʃu[6]	
子	tʃu[6]	3～孫
梓	tʃu[6]	
粗	tʃʰu[1]	
醋	tʃʰu[5]	
厝	tʃʰu[5]	康～：地名
戍	tʃʰu[5]	房子
次	tʃʰu[5]	
楚	tʃʰu[6]	2清～
蘇	θu[1]	
酥	θu[1]	
輸	θu[1]	～贏
輸	θu[1]	運～
斯	θu[1]	
廝	θu[1]	
撕	θu[1]	
私	θu[1]	3
師	θu[1]	2
司	θu[1]	
思	θu[1]	
素	θu[5]	
訴	θu[5]	
塑	θu[5]	
數	θu[5]	動詞
數	θu[5]	名詞
賜	θu[5]	
使	θu[6]	2～命
史	θu[6]	
駛	θu[6]	2
鍋	ku[1]	
姑	ku[1]	
孤	ku[1]	
菇	ku[1]	
枯	ku[1]	3
估	ku[1]	
過	ku[5]	～世：去世；去～
故	ku[5]	
固	ku[5]	
雇	ku[5]	
顧	ku[5]	
句	ku[5]	1
固	ku[5]	還，副詞。本書中寫作「固」
□	ku[5]	火～得了：火滅了
□	ku[5]	～個：別的，～個乇：別的東西
□	ku[5]	～□on33貓：貓頭鷹
果	ku[6]	2水～
餜	ku[6]	2
古	ku[6]	2
□	ku[9]	～□lun44：屁股
□	ku[9]	～眠號：夢中驚叫
科	kʰu[1]	
窠	kʰu[1]	脫～：脫臼
棵	kʰu[1]	
顆	kʰu[1]	
箍	kʰu[1]	空胡切
枯	kʰu[1]	1榨完油之後的渣子壓成的餅
呼	kʰu[1]	1～雞
古	kʰu[1]	3～田：地名。此處「田」讀作[tʃʰᴇn-ᴇn322-433]
丘	kʰu[1]	1量詞，用於田
□	kʰu[1]	～牛：蝸牛
□	kʰu[1]	雞母～□liᴇ44：母雞叫
課	kʰu[5]	
庫	kʰu[5]	
褲	kʰu[5]	
富	kʰu[5]	3～瀨：地名
□	kʰu[5]	～毛孔：汗毛孔
晡	ŋu[1]	冥～：晚上
誤	ŋu[6]	
悟	ŋu[6]	
呼	hu[1]	2
乎	hu[1]	
夫	hu[1]	2姊～：姐夫
膚	hu[1]	
敷	hu[1]	
孵	hu[1]	
麩	hu[1]	
烌	hu[1]	火～：灰
□	hu[1]	大～：大襟
和	hu[2]	～尚；～棋；～平
禾	hu[2]	
禍	hu[5]	2
貨	hu[5]	
戽	hu[5]	
付	hu[5]	
賦	hu[5]	
傅	hu[5]	
赴	hu[5]	
附	hu[5]	
富	hu[5]	2
副	hu[5]	量詞，用於棺材
霍	hu[5]	～童：地名
禍	hu[6]	1
滸	hu[6]	
府	hu[6]	2政～
雨	hu[6]	1做～：下雨
蝴	hu[9]	～蝶
窩	∅u[1]	燕～
烏	∅u[1]	黑
污	∅u[1]	
□	∅u[2]	小酒杯
背	∅u[5]	1刀～：刀背
武	∅u[6]	
舞	∅u[6]	
侮	∅u[6]	
鵡	∅u[6]	
芋	∅u[10]	～卵：芋頭
糜	my[1]	～粥：稀飯
豬	ty[1]	
著	ty[5]	
□	ty[5]	雪～去：積雪
□	tʰy[6]	鼎～：鍋鏟，洋～：鐵鍬
女	ny[6]	外甥～：外甥女、外孫女
汝	ny[6]	你
蛛	ly[1]	蜘～
呂	ly[6]	
旅	ly[6]	
鋁	ly[6]	
履	ly[6]	
須	θy[1]	必～
需	θy[1]	
絮	θy[5]	
庶	θy[5]	
恕	θy[5]	
暑	θy[6]	大～
署	θy[6]	
諸	tɕy[1]	
書	tɕy[1]	
儲	tɕy[1]	～蓄
□	tɕy[5]	～雪：下雪
煮	tɕy[6]	
鼠	tɕy[6]	2石～：兔子
舒	ɕy[1]	～牀：鋪牀
墟	ɕy[1]	
虛	ɕy[1]	
噓	ɕy[1]	
處	ɕy[5]	相～
處	ɕy[5]	～長
趣	ɕy[5]	
喙	ɕy[5]	2～齒：牙齒。本書中寫作「喙」
鼠	ɕy[6]	1老～
許	ɕy[6]	2姓
取	ɕy[6]	
娶	ɕy[6]	
居	ky[1]	
車	ky[1]	～馬炮
拘	ky[1]	
駒	ky[1]	
茄	ky[2]	
□	ky[2]	～□□lyuk4kai44：呃逆
據	ky[5]	
鋸	ky[5]	
句	ky[5]	2
舉	ky[6]	
矩	ky[6]	
區	kʰy[1]	
驅	kʰy[1]	
語	ŋy[6]	
盂	∅y[1]	
薏	∅y[5]	～米：薏仁
於	∅y[6]	
與	∅y[6]	
于	∅y[6]	
雨	∅y[6]	2做～：下雨，谷～
宇	∅y[6]	
禹	∅y[6]	
羽	∅y[6]	
胰	∅y[9]	～皂：肥皂
巴	pa[1]	
芭	pa[1]	
疤	pa[1]	
爸	pa[1]	2
爬	pa[2]	
琶	pa[2]	
杷	pa[2]	松毛～：耙子
筢	pa[2]	
扒	pa[2]	～癢：抓癢，～□maŋ55：扒飯
霸	pa[5]	
壩	pa[5]	
□	pa[5]	牛頭～：牛軛
把	pa[6]	
靶	pa[6]	
耙	pa[6]	
罷	pa[6]	～工
飽	pa[6]	
拋	pʰa[1]	1～轉爿：穿反
□	pʰa[1]	翻滾，～龍：舞龍燈
帕	pʰa[5]	
泡	pʰa[5]	1生～：起泡
媽	ma[1]	2
□	ma[1]	抓
□	ma[1]	手～：手套
瑪	ma[1]	～坑：地名
麻	ma[2]	2～面窟：麻臉
蟆	ma[2]	
毛	ma[2]	2～竹
貓	ma[2]	1～□ni55：貓，野～
明	ma[2]	2～年
駡	ma[5]	
□	ma[5]	～□□lan33ŋiᴇ322：蟢子。一般讀作[maʔ5]
媽	ma[6]	1老～：妻子
馬	ma[6]	
碼	ma[6]	
□	ma[6]	無□tʃɔ35～：不穩
爸	ma[6]	1郎～：父親
脬	ma[10]	𡳞～袋：陰囊
□	ta[1]	乾燥
茶	ta[2]	
打	ta[6]	
廈	ta[6]	□pʰit5～：廂房
他	tʰa[1]	
䖳	tʰa[5]	海蜇
□	tʰa[5]	～□liəu533：玩兒
□	na[1]	疤
□	na[2]	拃
□	na[2]	解大小便
□	na[2]	目珠～仁：瞪眼
□	na[2]	灡～：涎布
早	na[6]	2今～：今日
□	na[6]	淨；只
□	na[6]	如果
□	na[6]	～□□lan23ŋi322：知了
拉	la[1]	
蘿	la[9]	1～蔔
渣	tʃa[1]	
楂	tʃa[1]	山～
查	tʃa[1]	動詞
詐	tʃa[5]	
榨	tʃa[5]	
炸	tʃa[5]	
早	tʃa[6]	1
這	tʃa[6]	這。本書中寫作「這」
叉	tʃʰa[1]	
差	tʃʰa[1]	～別
岔	tʃʰa[1]	
柴	tʃʰa[2]	柴。本書中寫作「柴」
炒	tʃʰa[6]	
吵	tʃʰa[6]	
沙	θa[1]	2
紗	θa[1]	
痧	θa[1]	發～：中暑
傻	θa[1]	～瓜
灑	θa[6]	
家	ka[1]	
加	ka[1]	
嘉	ka[1]	
傢	ka[1]	
佳	ka[1]	
膠	ka[1]	1～水
鉸	ka[1]	剪，裁，～刀：剪刀
蛟	ka[1]	發～：山洪暴發
□	ka[1]	～機：織布機
架	ka[5]	
駕	ka[5]	
嫁	ka[5]	
稼	ka[5]	
價	ka[5]	
教	ka[5]	1～字：教書
□	ka[5]	盡～：非常
橄	ka[5]	～欖
假	ka[6]	真～
賈	ka[6]	
假	ka[6]	放～
絞	ka[6]	
咬	ka[6]	下巧切
□	ka[6]	擀
□	ka[0]	～□lam44吞：囫圇吞
傀	ka[0]	2～儡囝：小孩兒。本書中寫作「傀」
揩	kʰa[1]	1～油
骹	kʰa[1]	腳
□	kʰa[1]	～□li55蟲：孑孓
敲	kʰa[5]	苦教切，～門
卡	kʰa[6]	
□	ŋa[1]	杈，開～：分枝
□	ŋa[1]	橫～寫：橫著寫，直～寫：竪著寫，此時讀作[la44]
牙	ŋa[2]	
芽	ŋa[2]	
衙	ŋa[2]	
蚜	ŋa[2]	
雅	ŋa[6]	
蝦	ha[2]	何加切
霞	ha[2]	出紅～：出朝霞、晚霞
瑕	ha[2]	
孝	ha[5]	1帶～
廈	ha[6]	～門
下	ha[6]	2～霧，～願：許願
夏	ha[6]	～至
許	ha[6]	1那
鴉	∅a[1]	
丫	∅a[1]	
亞	∅a[5]	
下	∅a[6]	樓～
啞	∅a[6]	病～：啞巴
下	∅a[6]	1～堂：下課
下	∅a[6]	動量詞
拗	∅a[6]	
個	∅a[6]	2有～：有些
阿	∅a[0]	～爹：父親
啊	∅a[0]	一種助詞。參[句]27、50
咸	∅a[0]	2～村。常讀得接近[am0]
□	∅a[0]	～□man44：肮髒。常讀得接近[am0]
個	∅a[0]	3慢慢～：慢慢地
□	∅ia[6]	阿～：母親
我	∅ua[6]	1
□	pai[1]	～骹：瘸子
拜	pai[5]	
敗	pai[6]	
派	pʰai[5]	
埋	mai[2]	
□	mai[2]	蜀～葡萄：一串葡萄
□	mai[5]	壞，破
邁	mai[6]	
□	tai[1]	～□moŋ44：中間
臺	tai[2]	2戲～
□	tai[2]	埋
□	tai[2]	雞虱
□	tai[2]	蕃𧄔～：一串白薯
戴	tai[5]	動詞；姓
帶	tai[5]	名詞；動詞
碓	tai[5]	～寮：水碓
大	tai[6]	2～寒，～學
待	tai[6]	
怠	tai[6]	
貸	tai[6]	
代	tai[6]	2～表
逮	tai[6]	𣍐～：來不及
胎	tʰai[1]	
苔	tʰai[1]	舌苔
抬	tʰai[1]	
梯	tʰai[1]	
𥭘	tʰai[1]	篩子
癡	tʰai[1]	1風～：颱風
豺	tʰai[2]	1～囝精：狼的頭目
治	tʰai[2]	直之切，殺
態	tʰai[5]	
太	tʰai[5]	
泰	tʰai[5]	
婿	nai[5]	兒～：女婿，妹～：妹夫。此時讀作[lai55]
乃	nai[6]	
耐	nai[6]	
奈	nai[6]	
膩	nai[6]	1油～
□	nai[9]	□man33～：可以
來	lai[2]	2將～
雷	lai[2]	1𦗀～：打雷
□	lai[3]	簍
儡	lai[3]	2傀～囝：小孩兒。本書中寫作「儡」
腿	lai[3]	1大骹～：大腿
□	lai[5]	人蹭癢
賴	lai[6]	～伏雞母：抱窩的母雞；姓
癩	lai[6]	
士	lai[6]	1道～
灾	tʃai[1]	
栽	tʃai[1]	
才	tʃai[2]	2人～
材	tʃai[2]	
財	tʃai[2]	
豺	tʃai[2]	2
臍	tʃai[2]	腹～：肚臍
宰	tʃai[3]	1
再	tʃai[5]	
載	tʃai[5]	1～重
債	tʃai[5]	
宰	tʃai[6]	2
載	tʃai[6]	四十～
在	tʃai[6]	
載	tʃai[6]	2～重
寨	tʃai[6]	
猜	tʃʰai[1]	
釵	tʃʰai[1]	
差	tʃʰai[1]	欽～
才	tʃʰai[2]	1奴～
彩	tʃʰai[3]	
采	tʃʰai[3]	
睬	tʃʰai[3]	
踩	tʃʰai[3]	
指	tʃʰai[3]	2十一～：有六指的人。送氣音
菜	tʃʰai[5]	
蔡	tʃʰai[5]	
□	tʃʰai[5]	□hat4～：打噴嚏
獅	θai[1]	
私	θai[1]	1～家錢：私房錢
屎	θai[3]	
使	θai[3]	1用，解～得：可以，𣍐～得：不可以
駛	θai[3]	1
師	θai[10]	1～父
該	kai[1]	
皆	kai[1]	
階	kai[1]	
□	kai[1]	嗉子
□	kai[1]	□□ky11lyuk4～：呃逆
改	kai[3]	
解	kai[3]	2～放
蓋	kai[5]	
丐	kai[5]	
介	kai[5]	
界	kai[5]	
芥	kai[5]	2
屆	kai[5]	
戒	kai[5]	2～酒
械	kai[5]	
□	kai[5]	1再
□	kai[5]	平斗斛的木片
開	kʰai[1]	2～水
揩	kʰai[3]	2
凱	kʰai[3]	
楷	kʰai[3]	
概	kʰai[5]	
溉	kʰai[5]	
慨	kʰai[5]	
□	ŋai[1]	棕～：蓑衣
呆	ŋai[2]	
礙	ŋai[6]	
孩	hai[2]	
骸	hai[2]	
□	hai[2]	陶瓷器
海	hai[3]	
亥	hai[6]	
害	hai[6]	
駭	hai[6]	
哀	∅ai[1]	
埃	∅ai[1]	
□	∅ai[2]	無□ni～：不允許
螠	∅ai[3]	一種海裡的螃蟹，較小
倚	∅ai[3]	1
拐	kuai[3]	～骹：瘸子
包	pau[1]	～起：包起來；包子
胞	pau[1]	1
□	pau[1]	～貓□□ni44øŋ44：捉迷藏
□	pau[1]	尾～骨：尾骨
胞	pau[2]	2同～
豹	pau[5]	
□	pau[5]	□θiᴇ33～：杜鵑
齙	pau[5]	～牙
拋	pʰau[1]	2
跑	pʰau[2]	
炮	pʰau[5]	棋子之一，放～：放鞭炮
泡	pʰau[5]	2～茶
鮑	pʰau[6]	
泡	pʰau[6]	皮教切，魚鰾
茅	mau[2]	
貓	mau[2]	2□□ku55on33～：貓頭鷹
矛	mau[2]	
卯	mau[3]	
鉚	mau[3]	～釘
貌	mau[6]	
兜	tau[1]	
蔸	tau[1]	棵
□	tau[1]	身～：附近
投	tau[2]	
斗	tau[3]	容量單位
陡	tau[3]	
罩	tau[5]	
晝	tau[5]	1食～：吃午飯
豆	tau[6]	
逗	tau[6]	
痘	tau[6]	
脰	tau[6]	1～管：脖子
偷	tʰau[1]	
頭	tʰau[2]	
㪗	tʰau[3]	展開
透	tʰau[5]	
□	tʰau[5]	用毒藥毒害致死
鬧	nau[6]	
脰	nau[6]	2吊～：上吊
紐	nau[6]	1秤～
樓	lau[2]	1～下
流	lau[2]	1
劉	lau[2]	
留	lau[2]	
□	lau[2]	～□uɔŋ322：時候
□	lau[5]	～烟筒：疏通烟囪
老	lau[6]	1形容詞
漏	lau[6]	
陋	lau[6]	
遭	tʃau[1]	
糟	tʃau[1]	
巢	tʃau[2]	
剿	tʃau[2]	
蚤	tʃau[3]	
爪	tʃau[3]	
找	tʃau[3]	
少	tʃau[3]	1副詞
鳥	tʃau[3]	2□nɔi33～：陰莖
走	tʃau[3]	跑
抓	tʃau[5]	1
灶	tʃau[5]	
操	tʃʰau[1]	2體～
抄	tʃʰau[1]	
鈔	tʃʰau[1]	
□	tʃʰau[1]	～□mai55：弄壞
草	tʃʰau[3]	1
臭	tʃʰau[5]	
掃	θau[5]	動詞
哨	θau[5]	～子，橫～：橫笛
嗽	θau[5]	
交	kau[1]	
郊	kau[1]	
膠	kau[1]	2
勾	kau[1]	
鈎	kau[1]	
溝	kau[1]	
狡	kau[1]	～猾
猴	kau[2]	
□	kau[2]	骰子
垢	kau[3]	污垢
九	kau[3]	
教	kau[5]	2～育
較	kau[5]	
夠	kau[5]	
□	kau[5]	到
□	kau[5]	牙～：刷牙用的杯子
□	kau[5]	蜀～日：一個月
□	kau[5]	□tɔ11霜～：降霜
厚	kau[6]	
□	kau[9]	～□øn33：蚯蚓
□	kʰau[1]	鬮
□	kʰau[2]	摳；刮去，～豬毛：刮豬毛
快	kʰau[5]	2～活：舒服，輕鬆
口	ŋau[3]	1洪～：地名
藕	ŋau[6]	
偶	ŋau[6]	
薅	hau[1]	～草：稻田除草，用力搔
吼	hau[3]	叫
酵	hau[5]	
孝	hau[5]	2
校	hau[6]	學～
效	hau[6]	
甌	∅au[1]	杯子
號	∅au[2]	胡刀切，哭
□	∅au[5]	～逆：頑皮
後	∅au[6]	1□kun55～：後邊
表	piau[3]	
錶	piau[3]	
婊	piau[3]	
漂	pʰiau[3]	～白
否	pʰiau[3]	2
藐	miau[3]	
渺	miau[3]	
秒	miau[3]	
畝	miau[3]	
鳥	niau[3]	3
瞭	liau[3]	
了	liau[3]	3～解
小	θiau[3]	
少	θiau[3]	2～數
曉	ɕiau[3]	
繳	kiau[3]	
狗	kiau[3]	～腿：走狗
苟	kiau[3]	
巧	kʰiau[3]	
口	kʰiau[3]	2人～
舀	∅iau[3]	
排	pᴇ[2]	
牌	pᴇ[2]	
簰	pᴇ[2]	筏子
□	pᴇ[2]	□yoŋ23～：青蛙
□	pᴇ[5]	一種竹編的捕魚器具
擺	pᴇ[6]	
□	pᴇ[0]	～□lᴇn33：掭
稗	pʰᴇ[5]	
□	pʰᴇ[6]	扭腳
□	pʰᴇ[6]	喙～：臉頰，□□ku11lun44～：屁股蛋
□	mᴇ[2]	□tʃʰᴇm55～：銅鈸
□	mᴇ[2]	□lyoŋ55～：老鷹
買	mᴇ[6]	
賣	mᴇ[6]	
𣍐	mᴇ[6]	不會。本書中寫作「𣍐」
爹	tᴇ[1]	2阿～：父親
低	tᴇ[1]	
題	tᴇ[2]	
蹄	tᴇ[2]	1蹄子
帝	tᴇ[5]	
底	tᴇ[6]	3水～，鞋～
抵	tᴇ[6]	
弟	tᴇ[6]	2徒～
第	tᴇ[6]	
隸	tᴇ[6]	
替	tʰᴇ[5]	
屜	tʰᴇ[5]	
體	tʰᴇ[6]	
泥	nᴇ[2]	～匙：抹子
倪	nᴇ[2]	姓
尼	nᴇ[2]	
奶	nᴇ[6]	1伯母
荔	lᴇ[1]	～枝
□	lᴇ[1]	棕□mi44～：棕樹的葉子
黎	lᴇ[2]	
厲	lᴇ[6]	
勵	lᴇ[6]	
禮	lᴇ[6]	1
遮	tʃᴇ[1]	
齋	tʃᴇ[1]	食～：吃素
齊	tʃᴇ[2]	1齊全
濟	tʃᴇ[5]	
䶓	tʃᴇ[5]	苧絲
劑	tʃᴇ[5]	讀字
□	tʃᴇ[5]	～開：撩開
笊	tʃᴇ[5]	～籬
西	θᴇ[1]	～爿：西邊，～瓜
犀	θᴇ[1]	
細	θᴇ[5]	～嬸：最小的叔母
所	θᴇ[6]	
洗	θᴇ[6]	
□	θᴇ[6]	多
街	kᴇ[1]	
疥	kᴇ[5]	
戒	kᴇ[5]	1豬母～：豬八戒
囝	kᴇ[5]	2～郎爸：父子，～娘奶：母子
個	kᴇ[6]	1的
解	kᴇ[6]	1～開；了～
溪	kʰᴇ[1]	
快	kʰᴇ[5]	1形容詞
□	kʰᴇ[6]	啃
□	ŋᴇ[6]	□tɕiŋ35～：怎麼
蟹	hᴇ[6]	老～：淡水螃蟹
□	hᴇ[6]	膩
□	hᴇ[6]	近視眼
鞋	∅ᴇ[2]	
□	∅ᴇ[5]	看
禮	∅ᴇ[5]	2～門：地名
解	∅ᴇ[6]	胡買切，會
矮	∅ᴇ[6]	
欸	∅ᴇ[0]	
爹	tiᴇ[1]	1阿～：父親
蠣	tiᴇ[6]	牡蠣
廿	niᴇ[6]	「二十」的合音
□	liᴇ[1]	卵～：蛋胚
賒	θiᴇ[1]	
□	θiᴇ[1]	雞母□kʰu44～：母雞叫
邪	θiᴇ[2]	
蛇	θiᴇ[2]	
佘	θiᴇ[2]	
畲	θiᴇ[2]	
□	θiᴇ[2]	～□βau55：杜鵑
瀉	θiᴇ[5]	
卸	θiᴇ[5]	
赦	θiᴇ[5]	
舍	θiᴇ[5]	
寫	θiᴇ[6]	
捨	θiᴇ[6]	
社	θiᴇ[6]	
謝	θiᴇ[6]	多～汝：謝謝你；姓
射	θiᴇ[6]	
麝	θiᴇ[6]	
蔗	tɕiᴇ[5]	
漈	tɕiᴇ[5]	～頭：小瀑布
者	tɕiᴇ[6]	
姐	tɕiᴇ[6]	
紙	tɕiᴇ[6]	
□	tɕiᴇ[6]	用背馱
柘	tɕiᴇ[11]	～榮：地名
車	ɕiᴇ[1]	坐～
斜	ɕiᴇ[2]	
□	ɕiᴇ[5]	～農：傳染
且	ɕiᴇ[6]	
迦	kiᴇ[1]	釋～
枷	kiᴇ[2]	
寄	kiᴇ[5]	
徛	kʰiᴇ[5]	2陡；～戍：蓋房子
徛	kʰiᴇ[6]	1站立
鵝	ŋiᴇ[2]	
□	ŋiᴇ[2]	□□maʔ5lan33～：蟢子
艾	ŋiᴇ[5]	草名
外	ŋiᴇ[6]	1～婆
蟻	ŋiᴇ[6]	
□	ŋiᴇ[9]	～桶：馬桶
□	∅iᴇ[1]	□ti33～：婆婆
耶	∅iᴇ[2]	
爺	∅iᴇ[2]	
也	∅iᴇ[6]	
野	∅iᴇ[6]	
夜	∅iᴇ[6]	
□	∅iᴇ[6]	撒
丫	∅iᴇ[11]	～頭
脾	pᴇi[2]	內臟之一
幣	pᴇi[6]	
斃	pᴇi[6]	
被	pᴇi[6]	～告，～動
備	pᴇi[6]	
迷	mᴇi[2]	
謎	mᴇi[2]	
彌	mᴇi[2]	
眉	mᴇi[2]	
楣	mᴇi[2]	
維	mᴇi[2]	
惟	mᴇi[2]	
遺	mᴇi[2]	～腹囝：遺腹子
唯	mᴇi[2]	
微	mᴇi[2]	1
昧	mᴇi[6]	
未	mᴇi[6]	2地支之一
味	mᴇi[6]	味道
□	mᴇi[6]	潛水
遲	tᴇi[2]	
底	tᴇi[6]	2～蜀隻：哪個
地	tᴇi[6]	
痔	tᴇi[6]	
治	tᴇi[6]	政～
堤	tʰᴇi[2]	讀字
提	tʰᴇi[2]	
持	tʰᴇi[2]	
苔	nᴇi[2]	青～
膩	nᴇi[6]	2細～：小心
二	nᴇi[6]	
貳	nᴇi[6]	
來	lᴇi[2]	1
梨	lᴇi[2]	
