#ɿ
ts[5]牸巳[3]资姿咨兹滋子梓辎
∅[1]丫[3]哑鸭鸦押压

#ia
n[5]娘{爹~}
l[3]列裂劣
ts[3]姐
tɕ[2]遮茄[5]借蔗鹧
tɕʰ[1]车[3]扯
ɕ[1]赊[2]邪斜蛇佘[3]写捨[5]厦{~门}泻谢射麝社泄
k[2]葛
∅[2]涯崖[3]野惹[5]亚夜

#ua
k[1]瓜[3]寡剐割刮[5]挂卦
kʰ[3]夸垮跨[5]跨
∅[1]洼[3]瓦蛙挖[5]划画话滑劃

#ə
p[7]北壁剥钵卜扑驳憋
pʰ[7]迫泼
m[5]□{满的状态}陌墨
t[7]得德
tʰ[3]剔他它[7]特
1[2]疬[5]勒力历肋曆
ts[1]初[2]贼泽择宅责侄直值[3]者只[5]集绩寂疾脊鲫织隻
tsʰ[7]七漆戚膝侧测策出尺畜
s[3]玺徙[5]十拾舌适室识设食石[7]塞惜锡湿熄席色习
k[1]□{打}[5]革搁[7]角阁
kʰ[7]壳刻克
ŋ[5]月
x[5]盒核[7]黑学

#o
p[1]玻波菠[2]婆[3]搏[5]簸播薄{~荷}
pʰ[1]坡[5]破
m[2]摩魔馍磨{~刀}[5]膜摸磨{~面}寞漠木目牧莫睦抹{~墙}

#iɛ
p[7]百伯
pʰ[1]秕[3]拍魄
m[1]瘪[5]篾蜜灭
t[7]叠
tʰ[7]帖铁贴
n[5]孽业额
l[5]立笠烈栗
ts[7]接节疗
tsʰ[7]切
tɕ[1]激[3]摘藉[5]汁浙[7]摺褶劫急脚杰揭竭择结
tɕʰ[3]且笡厕[7]喫妾撤拆
ɕ[5]失协[7]屑虱歇
k[7]隔格
kʰ[7]客
x[3]□{哄}[5]吓嚇
∅[3]也[5]叶药益[7]一噎揖乙液日入热

#yɛ
l[5]落
ts[5]凿
s[3]索
tɕ[2]钁镢[3]啄[5]确诀决
ɕ[3]刷朔[5]厦[7]血
k[7]各
kʰ[7]缺
∅[5]越粤

#ai
p[2]稗排鞴牌簰[3]跛摆[5]败拜
pʰ[5]派
m[2]埋[3]买[5]迈卖
f[2]槐淮怀
t[2]臺苔拾[5]大贷戴带待怠殆代袋逮
tʰ[3]胎[5]态太泰
l[2]来[5]赖癩
ts[1]栽灾[2]裁才材财[3]载{记~}斋宰崽[5]在寨再载{~重}债住驻咋
tsʰ[1]猜钗[2]豺[3]彩采睬[5]菜蔡
s[1]腮鳃筛[2]柴[5]赛晒
k[1]□{窗户}阶秸[3]该街解改皆[5]概溉盖弓介界芥尬疥届戒械
kʰ[1]开楷[3]楷凯慨
ŋ[1]挨哀埃[2]捱
x[2]孩鞋[3]海[5]亥害蟹
∅[3]矮

#iai
p[5]白柏[7]笔
m[7]脉麦

#uai
s[3]衰[5]帅
k[1]乖[3]拐[5]怪
kʰ[5]块快会{~计}
∅[1]歪[5]会坏

#ao
p[1]包胞苞[3]褒堡饱[5]爆刨鉋鲍雹
pʰ[1]孵抛泡{不实}[5]炮泡{浸~}
m[2]矛茅[3]卯[5]冒帽猫锚貌
t[2]头[3]岛倒{~塌}捣导斗抖陡[5]痘道豆
tʰ[1]偷[3]讨[5]透
n[2]饶牛
l[1]捞[2]劳唠痨楼[5]漏
ts[1]周舟州洲[2]绸[3]走爪酒肘[5]皂罩赵兆袖就
tsʰ[1]秋靴抽钞超[2]巢[3]抄炒丑醜[5]臭奏凑
s[1]削{~皮}修搜飕收艘[2]韶[3]守手首[5]邵绍嗽秀绣瘦兽受
k[1]勾钩沟交胶[3]搞搅狗苟[5]觉窖够教媾
kʰ[1]敲抠[3]口考烤[5]扣拷靠
ŋ[3]偶
x[1]蒿[2]豪壕毫侯喉[5]浩後厚后候孝效校
∅[5]怄奥懊

#iao
p[1]膘彪标
t[5]调{~动}
n[3]纽扭钮[5]□{皱的样子}
l[2]燎疗嘹了流刘留榴硫馏[3]溜柳
tɕ[1]鸠浇鬏骄娇郊[2]球求[3]剿绞狡铰矫九久韭灸[5]教旧舅救枢究
tɕʰ[2]鳅
ɕ[1]削{剥~}[3]梢捎鞘宵霄销逍嚣萧[5]较酵
∅[2]谣舀由油游[3]有友扰[5]又右祐酉柚

#ei
p[1]杯卑悲[2]鼻赔裴陪培[5]倍贝辈背闭蓖篦
pʰ[1]批胚坯[2]焙[3]比[5]沛配辔佩
m[2]煤莓霉梅枚玫媒媚外霓密[3]米每美糜尾[5]寐妹昧媚
f[1]灰非妃[2]茴[3]悔毁翡匪框[5]晦贿汇废肺吠秽惠慧穗痱费
t[1]堆低底牴[2]蹄啼题[5]对碓队帝敌蒂兑滴嫡笛弟第
tʰ[1]梯推[3]体腿颓[5]嚏替涕剃屉退蜕[7]惕
n[2]泥尼倪[5]腻内
l[1]囉[2]犁黎雷擂{~鼓}[3]屡垒累{积~}儡儽[5]擂{~打}累{连~}类泪
ts[2]随齐脐[3]嘴挤[5]罪最醉荠济
tsʰ[1]催崔[5]砌淬脆翠
s[1]西栖犀[3]洗髓虽[5]世细碎岁事粹遂隧
ɕ[1]蛳
k[1]鸡

#uei
ts[1]追锥[2]槌锤[5]缀赘坠
tsʰ[1]吹[3]揣
s[1]输{~赢}[2]垂谁[3]水[5]税睡
k[1]龟圭闺规归[3]轨鬼癸[5]鳜桂诡跪柜贵殨刽
kʰ[1]亏盔[2]逵葵[3]傀[5]愧溃桧
x[1]恢挥辉徽[5]彗讳
∅[2]桅回为{作~}维惟违围危微[3]萎委猬伟苇纬伪[5]为{~了}绘卫餵位未味畏慰胃谓

#ou
p[3]保宝煲[5]报暴菢豹抱
m[2]毛谋[3]某亩拇[5]茂贸
t[1]刀[2]桃逃[3]萄[5]逗鬥读毒到倒{~水}
tʰ[1]掏[2]投[5]套
l[2]牢篓萝[3]缕老[5]陋摞
ts[1]糟遭□{村庄的意思}[2]曹槽愁筹[3]枣蚤澡早[5]咒灶造拄戳[7]浊筑轴烛竹触卒{兵~}
tsʰ[2]仇酬[3]操{~作}草[5]燥骤糙操{节~}
s[1]骚臊[3]扫嫂[5]寿授售熟赎[7]薛叔雪粟
k[1]高膏篙羔糕[3]稿[5]构购告[7]穀谷
kʰ[7]哭
ŋ[1]熬{~菜}[2]熬{~药}摇
x[3]好{~坏}耗[5]号好{喜~}
∅[5]沤[7]屋

#iu
p[2]瓢嫖[3]表錶[5]鳔
pʰ[1]漂飘[5]票
m[2]苗描[3]秒[5]庙
t[1]刁貂雕[2]条调{~和}[3]鸟屌[5]钓吊掉
tʰ[1]挑{~担}[5]跳挑{~战}
n[2]肉[5]尿{屎~}
l[2]聊辽僚撩[5]料廖鹿六陆陸绿禄录镣
tɕ[1]樵焦蕉椒揪朝招[2]乔侨桥荞[3]缴纠[5]昭照叫
tɕʰ[1]锹丘[2]鹊囚泅瞧[3]巧[5]翘窍
ɕ[2]硝烧箫[3]少小休[5]笑
∅[1]约{~秤}妖邀腰[2]窑姚遥柔揉尧邮[3]优忧悠幽[5]挠绕鹞疫役育辱褥狱[7]约{~会}

#iuo
∅[5]乐{音~}

#uo
t[1]多[2]夺紽驼驮[3]躲妥朵椭[5]舵剁堕垛惰
tʰ[3]拖托託[5]唾
n[2]挪
l[2]罗锣萝骡螺赂脶[3]瘰掠裸捋[5]辣烙洛络骆乐
ts[3]左[5]凿佐坐座
tsʰ[1]搓[5]挫锉矬措错
s[1]蓑梭唆缩[3]锁琐耍所索{~取}
k[1]歌哥戈郭锅[2]国葛[3]果裹餜[5]过[7]骨鸽
kʰ[1]科窠棵蝌[3]可坷颗[5]课扩括阔[7]磕
x[2]河何合活服荷和[3]苛火伙[5]荷贺货祸鹤获诬[7]福喝
∅[1]洼涡阿[3]倭[5]握沃恶{善~}恶{厌~}

#an
p[1]班斑般瘢扳[3]板版[5]瓣办拌扮
pʰ[1]攀[5]盼叛襻
m[2]蛮[5]慢馒漫幔蔓曼
f[1]翻[2]矾[3]返反[5]患贩饭旱汗焊
t[1]单担{~任}[2]弹{~琴}檀坛潭谭罎谈痰淡[3]胆丹[5]担{~子}弹{~药}诞但蛋
tʰ[1]摊瘫滩贪[3]毯坦[5]探旦炭叹
n[2]男南
l[2]蓝篮兰拦栏[3]览揽榄滥缆懒[5]烂
ts[1]参{~差}参{~加}[2]蚕[3]盏斩簪[5]栈赞蘸□{砸}錾
tsʰ[1]餐[2]馋馋残[3]惨铲产喘
s[1]三衫山杉[3]伞散{松~}[5]疝散{解~}
k[1]竿杆间干{~涉}[3]感敢橄减碱秆桿擀赶[5]舰
kʰ[3]龛坎砍勘
x[2]函咸鹹闲含[3]喊[5]陷馅汉限苋
∅[5]揞晏

#ian
p[5]汴□{拉}
pʰ[3]品
m[2]绵[3]免勉娩缅
t[5]奠锭
tʰ[3]艇挺
n[2]人银鲇拈[3]黏碾[5]认韧硬验念
l[2]廉林淋临[3]冷[5]令
ts[3]准[5]荐
tɕ[1]禁{~不住}襟今金艰奸姦津真巾筋鲸经歼斤[2]涧尘勤琼[3]检俭趼茧体儘紧景警颈[5]剑禁{~止}妗件犍建劲浸近敬径键健腱见
tɕʰ[1]春撑椿[2]琴禽乾虔[3]蠢侵寝[5]歉磬
ɕ[1]身生牲甥[2]参{人~}唇行{~为}行{走}型刑[3]显仅[5]嫌羡县宪献兴{高~}
k[1]更{~改}更{打~}耕粳庚[3]梗
∅[1]淹音阴姻莺鹦应{~当}[2]阎严壬颜淫然延言迎莹[3]掩饮焉演衍影[5]任雁印嚥孕映

#uan
tsʰ[1]氽[5]窜
s[1]闩拴栓
k[1]甘柑泔干{天气~}肝关[3]鰥[5]惯冠{~军}
kʰ[5]看
∅[1]鞍庵豌弯湾[2]还{~原}还{~是}环顽[5]万

#yan
t[1]当{~时}铛[2]塘糖唐堂[3]挡[5]当{上~}档
tʰ[1]汤[3]躺[5]烫趟
l[2]郎榔
ts[2]藏{隐~}[5]葬脏
tsʰ[1]仓
tɕ[1]均钧君军
ɕ[2]弦舷[5]驯顺训
k[1]刚纲钢{~材}[2]群裙[3]捡岗[5]菌钢{~刀}
kʰ[1]糠康慷
∅[1]熏[2]云横匀耘[3]允[5]润闰运晕

#ən
p[1]兵[2]平坪苹评瓶屏[3]丙秉柄饼[5]病並
pʰ[1]拼
m[2]鸣明名盟[5]命
t[1]丁钉{铁~}疔庭[2]亭停[3]顶[5]钉{~住}订定
tʰ[1]厅听
n[2]宁
l[2]灵零铃伶翎龄[3]岭领[5]另
ts[1]争睁精睛侦正{~月}征粘砧筝[2]晴程[3]展诊整井[5]镇阵振震静净郑正{~好}政□{祝福}
tsʰ[1]清青[2]陈情成城诚拎[3]请逞[5]衬
s[1]声星腥鲜[2]神辰晨盛{~满}[3]沈省[5]线慎姓圣盛{兴~}
k[1]京[2]□{交}[3]□{拿}惊[5]境镜
kʰ[1]轻[3]垦
x[1]哼[2]衡[3]很[5]痕
ŋ[2]赢

#uən
l[2]轮
ts[1]尊遵[5]俊骏
tsʰ[3]皴
s[2]纯鹑旬巡
x[2]馄
∅[2]纹[5]酝

#in
p[1]鞭编边[2]贫便{~宜}[3]扁匾[5]徧遍辨辩便{方~}变辫
pʰ[1]偏篇[5]聘骗片
m[2]眠棉民闽[3]抿[5]面麺
t[2]甜田填[3]典点颠癫[5]店掂垫电淀
tʰ[1]添[3]舔
n[2]娘{新~}炎年燃
l[2]镰鳞帘连联鲢怜莲邻磷凉量{~度}梁[3]两俩[5]练鍊炼亮辆量{重~}
ts[2]钱前[3]煎剪浅[5]贱箭
tsʰ[1]千迁[2]秦[5]亲{~家}
s[1]仙先
tɕ[1]伸尖将{~来}浆张樟薑姜[2]钳墙长肠场强[3]笕蒋桨涨掌[5]渐占佔尽酱匠帐账胀涨丈仗
tɕʰ[1]牵枪腔[2]芹[3]抢厂[5]欠唱庆
ɕ[1]掀镶箱伤香乡[2]尝裳常偿[3]想享[5]善象像相{~貌}上尚向
∅[1]英阉烟因秧[2]盐檐仁寅羊洋杨阳疡盈营萤[3]染忍引隐养痒[5]刃堰现样

#yn
s[3]癣
tɕ[3]转{~运}捐[5]眷转{~圈}传
tɕʰ[1]川穿[5]串
ɕ[5]船
k[2]拳权[3]捲[5]卷
kʰ[5]劝圈{圆~}
∅[1]冤[2]圆园元原源猿缘沿铅[3]远鸳[5]愿怨院

#aŋ
p[1]崩[2]盆[3]本[5]棒蚌
pʰ[1]奔[2]彭[5]胖
m[2]门蚊虻忙[3]莽[5]闷问□{傻憨愚獃的意思}
f[1]昏分{~开}荤荒慌芳瘟[2]烦坟妨防魂凡帆[3]粉谎仿访[5]泛范犯範粪份分{本~}
t[1]吞灯墩登[2]腾誉藤疼[3]党等戥[5]囤凳邓澄{分清浊}
n[1]恩[3]软[5]嫩
l[2]论[3]朗[5]□{量词个}浪
ts[1]针章罾专毡□{找}[2]潜沉存层[3]枕{落~}[5]枕{~木}藏{西~}杖障赠战篆畅
tsʰ[1]村疮昌菖亲{~戚}[2]橡[5]壮渗
s[1]心深辛新薪桑商孙搧[2]寻[3]陕闪审婶损笋赏省{~市}[5]扇膳信讯丧
k[1]跟根江豇[3]讲港[5]杠
kʰ[1]扛坑[3]啃肯[5]抗
x[2]行{银~}航杭[3]能[5]恨项巷

#iaŋ
n[5]酿
l[2]良[5]谅
tɕ[1]疆僵[3]奖[5]将
tɕʰ[1]羌[2]翔[3]勥
ɕ[1]相{互~}[2]祥降{投~}[3]响[5]橡
∅[1]央殃[2]扬[3]鸯壤[5]让

#uaŋ
t[3]端
ts[1]桩
k[1]昆崑□{裤子}[2]狂[3]滚[5]棍
kʰ[1]匡框[3]捆[5]逛困况矿
∅[1]温汪[2]玩翫丸文闻[3]稳往[5]旺

#əŋ
p[1]喷[2]朋鹏凭
pʰ[5]碰
f[5]奉俸
t[5]顿盾
l[2]崙
ts[1]曾增憎僧徵蒸[2]承[5]挣证症甑
tsʰ[1]称{~呼}[5]称{相~}秤寸
s[1]升胜{~任}[5]剩胜{~负}
ŋ[1]鹰[5]应{响~}
x[2]恒

#iŋ
l[2]棱菱
ɕ[2]形[3]兴{~旺}幸[5]性
∅[2]仍

#oŋ
p[1]帮搬[2]盘螃旁[3]榜[5]半绊伴拌
pʰ[1]潘[5]判
m[2]瞒[3]蟒[5]忘望妄
f[1]欢方[3]幌纺倣[5]放晃{摇~}晃{~眼}
t[2]团糰[3]短[5]断段缎
n[3]暖
l[2]鸾[5]乱
ts[1]装妆[2]泉全[3]攒[5]钻状撞
tsʰ[3]闯[5]创
s[1]酸霜双[2]床[3]选爽[5]算蒜
k[1]官棺冠{鸡~}光缸观[3]广管馆[5]贯灌罐
kʰ[1]筐宽[5]旷
∅[1]剜[2]黄簧皇蝗凰隍蟥王[3]碗挽网枉[5]换

#uŋ
p[2]棚蓬篷膨
pʰ[3]捧
m[2]蒙[3]懵蠓猛[5]孟梦
f[1]风疯丰封峰蜂枫[2]冯逢缝{~衣服}[3]讽[5]凤缝{墙~}
t[1]冬东[2]铜桐同[3]董懂筒[5]栋动洞冻
tʰ[1]通[3]桶捅统[5]痛
n[2]农浓
l[2]笼{鸟~}聋隆窿[3]拢笼{~罩}[5]弄
ts[1]棕鬃宗踪中{当~}忠钟锺衷[2]丛从{~来}虫重{~复}[3]总种{~子}肿[5]粽综众种{~地}中{射~}仲重{~量}
tsʰ[1]从{~容}聪匆葱冲{下来}充衝舂[3]怂[5]铳揰冲{水}
s[1]鬆松[3]耸[5]送宋
k[1]躬恭龚公蚣工功攻宫[3]巩汞拱[5]共
kʰ[1]空{~了}[3]孔[5]空{有~}
x[1]轰揈烘[2]红洪鸿
∅[1]翁[5]瓮

#ioŋ
n[2]脓[5]齈
l[2]龙[3]垄
tɕ[1]弓[2]穷[5]供
ɕ[2]熊雄[3]胸凶兇
∅[2]荣戎绒融茸容[3]永恿痈壅[5]用

#ŋ̍
∅[2]蜈鱼渔[3]五伍午
