tsɿ1  兹滋孳资咨姿孜辎淄缁髭龇芝吱支枝肢栀知蜘脂猪㾔剚（~锥）㿳（黑~~）䐈（黏）
ka3  假-芥-贾-解-（~开）

ka5    嫁-稼-架-价-疥-假-（休~）介-界-戒-届-尬解-（~释）𢉤（几~梁）庎

kʰa1  揩咖（~啡）

kʰa3  楷卡（~片）

kʰa5  卡（嵌在两物之间）

ga2    茄-笳-袈-□（用盐腌，~落苏）

ga4    解-（~开）澥□（~進去，擠入）鎅（锯；割；切；裁：～木。）

ga6    骱懈

ŋa2  牙-芽-蚜-衙-（~门）齖（啃骨头）砑

ŋa4  □(仰面)

ŋa6  外捱（~辰光，拖延）𧻲（~食，孩子看见别人吃东西，期待别人给一点吃）

ha1    哈颬𨉣（身傴貌）

ha3    蟹

ha5    解-（姓）罅（髈~赖-，腹股沟）

ɦa2    鞋蝦（~蟆，蝌蚪）

ɦa4    也-

ɦa6    啊（疑问语气词）

a1    啊（惊讶语气词）阿（~姨）挨-

a3    矮

a5    □（~模样，时间差不多）


tia1    爹

tia3    嗲

tsia1  嗟-□（用小火煎烤）

tsia3  姐-

tsia5  借

tsʰia1  七（~八岁，七八岁）

tsʰia5  笡（零头~角，碎布）

sia3    写

sia5    泻卸㕐

zia2    斜邪

zia6    谢榭塮（厩肥）

cia1    街=阶=加=枷=茄=（雪~）袈=家=傢=嘉=皆佳

cia3    假=（真~）芥=贾=解=（~决）

cia5    嫁=稼=架=价=假=（休~）介=界=戒=届=驾解=（押~）誡

ɟia2    茄=（~克衫）笳身建（健壮，强的音变）

ɲia2  鲶

çia1  （~巴眼，斜白眼)奢（~遮，能干）

çia3    虾=夏=

çia5    下=（~面子，丢脸）

ɦia2    爷涯崖耶（感叹词）牙=芽=蚜=衙=暇瑕遐霞揶讶

ɦia4    野-也-（~妙[ˀmɔ˧˩]弄）下=

ɦia6    夏=厦=

ia1    椰耶（~穌）呀丫=鸦=迓（躲藏，~皮，躲懒）桠=

ia3    雅亚哑=

ia5    夜-


kua1    乖-瓜=

kua3    拐-寡=

kua5    怪-挂=卦=褂=剐=

kʰua1  夸=

kʰua3  垮

kʰua5  快-蒯-跨=

ɸa1    花=

ɸa5    化=

βa2    华=铧=桦=骅=

βa4    瓦=

βa6    话=画=

ua1    蛙=哇娃洼


pɛ1    般瘢螌班斑扳颁（~布）掰𢲔

pɛ3    板版坂阪舨瓣摆=

pɛ5    扮绊颁（~白）□（用力摔物）拜=

pʰɛ1  攀

pʰɛ3  盼

pʰɛ5  襻鋬（器物的提手）

bɛ2    爿𨂝（~河）排=牌=

bɛ6    办败=稗=

ˀmɛ1  蛮（~横；程度副词，很，~好）

mɛ2    蛮（野~）漫曼蔓玩-顽-

mɛ4    晚-（~稻）

mɛ6    慢谩幔嫚万-迈

ɸɛ1    番幡翻

ɸɛ3    反返

ɸɛ5    泛贩㽹（胃部不舒服想吐）甩䛀（言語反復）𨠒

βɛ2    凡帆烦蕃藩璠燔繁蘩樊矾梵范（师~）桓洹还怀=喂（招呼用语）圜

βɛ4    范（姓）犯患

βɛ6    饭万=外=坏=

tɛ1    丹单郸箪殚担（~心）耽眈

tɛ3    胆疸

tɛ5    旦担（~子）诞疸带=

tʰɛ1  滩摊瘫坍毯

tʰɛ3  坦袒□（用火燎，~茅柴）

tʰɛ5  叹碳炭太=泰=忐𨂞（爬行）

dɛ2    谈痰郯覃谭弹（~跳）檀亶坛

dɛ4    淡但澹

