-a		
ts	[1]揪邹[3]鸟-走[5]奏皱绉骤	
tsh	[2]愁□{挪动}[5]凑	
s	[1]俏{~皮}销{插~}[2]稠{均匀、经常}[3]叟瘦[5]□{插入}	
0	[1]殴瓯欧枵-{肚饿}瓯{杯子}[3]呕	
-oi		
p		
ph		
t	[1]堆[3]短-[5]对=块-[6]代-{传~}袋□{量词，块}	
th	[1]推[5]退	
n	[2]□{拧}□{挪}[6]内	
l	[2]螺雷=擂[3]儡{傀~囝}□{□mai22~：干饭}	
k	[5]个	
kh	[1]盔魁奎	
ts	[2]才{秀~，傀~囝}[5]晬{周岁}[6]罪	
tsh	[1]吹=炊催崔□{勒要}[3]髓[5]碎𢶀{找}□{找}揣{找}剉{砍}脆	
s	[1]瘦衰-[6]坐-	
0	[5]爱{要}	
-ia		
p	[5]壁-	
ph	[5]僻	
t	[1]爹[5]摘[6]蛎	
th	[5]拆	
n	[3]惹	
k	[2]枷岐[5]寄	
kh	[1]奇{~数}[3]企[6]徛{立}	
ŋ	[2]鹅[5]艾[6]蚁外-[8]额	
h	[1]桸{杓}	
ts	[1]遮[3]纸者姐[5]蔗笊{~篱}柘迹-隻-	
tsh	[1]车-{马~}奢[2]斜[3]且[5]□{编织}刺{编织}赤□{传染}	
s	[1]赊[2]邪蛇畲佘[3]写捨[5]泻卸赦舍{宿~}[6]谢射社麝[8]食-	
0	[2]椰耶爷[3]野冶[6]夜也穓{撒}	
-ie		
p	[6]避	
ph	[1]批□{削}㓟{削}	
t	[2]池[3]裏-[6]弟-	
th	[1]□{滑}[2]啼-{哭}[3]杼{鼎~}	
l	[2]离篱[6]例离{~开}滤荔{~枝}	
k	[1]鸡规硅[2]□{~囝}[5]桂计继季	
kh	[5]契	
ŋ	[2]宜{便~}[6]义易毅谊议	
h	[1]靴[5]戏废肺[6]系惠慧吠=[8]穴	
ts	[1]芝肢支枝=栀{~子}[3]紫这=[5]借祭制	
tsh	[5]刺翅[8]蓆{草~}席{草~}䗻{梭子蟹}蠞{梭子蟹}	
s	[1]施[2]匙[5]世[6]豉{豆~}誓[8]石	
0	[2]移儿[3]椅[6]阅[8]药	
-iau		
p		
ph		
t	[3]斗{阿~}	
th	[1]□{叹语，uog212~}	
k		
kh	[5]□{惊讶}	
ŋ	[2]皱[6]□{调皮}	
ts	[3]爪-[5]□{用指甲抓}	
tsh		
s	[2]□{詈语}	
0	[2]□{晓得}[3]□{~有：还有}	
-iou		
p	[1]彪标[3]表	
ph	[1]飘漂[2]瓢嫖□{浮萍}[5]票漂{~白}	
m	[2]苗描猫=[3]藐渺秒[6]庙妙谬	
t	[1]朝{今~}刁貂[2]朝{~代}调{~和}潮[5]钓[6]赵兆调{声~}召{~集}	
th	[1]挑[5]跳粜	
n	[3]鸟=[6]尿	
l	[2]燎疗聊辽撩僚[3]了[6]廖	
k	[1]骄娇矫[2]乔桥侨[3]缴[5]叫[6]轿	
kh	[3]巧撬[5]窍	
h	[1]囂[3]晓	
ts	[1]焦蕉椒樵=昭招沼礁[3]少{多~}[5]照[6]诏	
tsh	[1]超[5]笑	
s	[1]消宵霄萧箫硝销烧[3]小[5]鞘少{~年}[6]邵韶绍	
0	[1]妖邀腰么{~二三}幺{~二三}[2]摇谣窑[3]舀杏扰[5]要{重~}[6]耀鹞{纸~}	
-iu		
p		
ph		
t	[1]丢[2]橱[5]宙昼=[6]纣粙{稻}	
th	[1]抽[2]绸筹[3]丑[6]柱-	
n	[3]纽扭[5]□{~花}	
l	[1]溜[2]流=榴硫琉留=□{□thau34~：玩}[3]柳□{抠}[5]□{猾头}	
k	[1]鸠□[蹲][2]求球[3]九=久韭纠[5]灸救究咎[6]舅=旧=柩	
kh	[1]丘蚯揪邱[2]囚虬[3]□{一串}[5]□{饭硬}	
ŋ	[2]牛=	
h	[1]休[3]朽[5]嗅	
ts	[1]周州舟洲睭{目~}珠{目~}[3]酒[5]蛀[6]就	
tsh	[1]鬚{虾~}秋[2]酬仇售[3]帚手□{赎}{5}啾{拍~：打喷嚏}	
s	[1]修羞收[2]泅[3]首守[5]兽秀锈袖绣[6]受寿授	
0	[1]忧优悠幽[2]尤邮由游油犹[3]酉莠诱有=友[5]幼[6]又右祐柚釉岫	
-ua		
p	[5]簸{~箕}	
ph	[5]破-□{~柴}	
m	[2]磨{~刀}麻麻{大~}	
t	[6]舵-大-	
th	[1]拖	
n	[2]□{揉搓}	
l	[2]箩	
k	[1]瓜[3]寡剐[5]挂卦芥{~菜}	
kh	[1]夸[3]垮[5]跨胯	
ŋ	[3]瓦=[6]瓦-	
h	[1]花[2]华桦[5]化	
ts	[1]抓[3]爪=	
tsh		
s	[1]沙-[3]耍□{略移动}徙{略移动}	
0	[1]蛙洼娃鸦{老~：乌鸦}[3]我-[6]画话夥{□ni22~：多少}[8]划-[9]□{这~：这里，这些}	
-uo		
p	[1]晡夫{丈~人}[2]脯{胸~}蒲□{一~花}□{□pi21~：蝙蝠}[3]补[5]布怖髮{连读音，头~骹：鬓角}[6]簿步部埠[8]缚	
ph	[1]铺麸{麦~}[2]□{捧}[3]浦斧-普谱哺[5]铺{十里}	
m	[1]摸[2]摩模[3]亩-姥{太~山}某[5]墓[6]慕雾募暮	
t	[2]厨[3]躲=朵[6]墿{路}	
th	[3]妥	
l	[3]裸[8]绿-	
k	[1]锅[3]果裹[5]过郭廓句[8]局	
kh	[1]科窠棵颗窝-[2]□{脚跛}[5]课	
ŋ	[6]误卧[8]狱钰	
h	[2]和禾[3]火=伙=[5]货[6]雨	
ts	[1]朱珠[3]主[5]铸烛注{~音}	
tsh	[5]厝粟{谷子}	
s	[1]输-	
0	[1]倭窝乌{黑色}[5]沃{淋}[6]芋	
-uai		
p		
ph		
t		
th		
k	[1]乖[3]拐[5]怪	
kh	[5]块快=筷	
ŋ	[3]□{扭伤}[6]外=	
h	[2]怀槐淮[6]坏	
ts		
tsh		
s		
0	[1]歪	
-uoi		
p	[1]杯飞-[2]赔培陪肥-[5]辈褙贝背{椅~}[6]背{~书}佩倍焙吠-	
ph	[1]胚坯[2]皮-[5]配屁-[6]被{棉~}	
m	[2]梅枚媒煤糜-{~粥}玫霉莓[3]每尾[5]妹[6]未-	
t		
th		
k	[3]馃[5]髻会{~计}绘	
kh		
h	[1]恢灰诙飞=[2]回迴[3]火-伙-[5]贿悔岁-{几~}[6]会={开~}迴	
ts	[5]最赘	
tsh	[5]喙{嘴}	
s	[5]岁=税赛帅说{游~}	
0	[1]煨偎	
-ui		
p	[1]背{动词}[2]肥-{同puoi212}[5]痱[6]吠-{同puoi22}	
ph	[5]屁-啡{~痰}	
t	[1]追[2]搥{动词}[6]队	
th	[2]锤搥[3]腿=[6]坠	
l	[3]儡=累{~计}垒[6]累{连~}类泪	
k	[1]龟归窥[3]几-诡轨鬼[5]贵瑰[6]跪柜	
kh	[1]亏开-[2]逵葵馗睽[3]傀[5]溃愧	
ŋ	[2]危[6]伪魏	
h	[1]非辉挥微晖[2]茴[3]毁[5]秽讳纬诽	
ts	[1]锥[3]水[5]缀醉	
tsh	[5]翠粹	
s	[1]虽绥[2]随隋睡垂谁[5]穗[6]瑞隧	
0	[1]威□{针扎入}[2]为{作~}违围[3]委伟苇[5]畏慰尉蔚[6]卫为{因~}位胃谓	
-aŋ		
p	[1]邦班斑颁扳{~手腕}[2]平-棚-坪[3]扳{~手}板={呆~}版=[5]柄-[6]病-	
ph	[1]攀□{分开}[2]庞彭膨评[5]盼判胖𥻵{松，不饱满}泛{松，不饱满}冇{松，不饱满}伴	
m	[1]□{张开}[2]蛮暝□{开玩笑}闽-瞒-盲-{青~：瞎眼}明-{~早起：明天}[3]猛-{~火}蜢[6]慢=漫蔓馒	
