#ɿ
ts[44]雌资姿咨兹滋辎[2]紫子梓滓
pʰ[44]铺[11]蒲菩脯[2]谱甫{杜~}脯普浦捕殕{食上生白毛}[31]部簿□{~涕：鼻涕}[35]破铺{店~}[52]伏{~小鸡}步埠阜朴{又，~素，~实}
m[11]模{~子，~范}摹{~仿}[2]某母拇[31]亩[52]暮慕墓募摸
f[44]肤敷俘{~虏，~获}麸{麦~}[11]抚符扶芙烰{煎}孚[2]府腑俯斧釜辅[31]父妇[35]付赋傅赴讣附富副[52]腐
v[2]五伍午
t[44]都{~城，~是}[2]堵赌睹[35]剁妒
tʰ[11]徒屠途涂{糊~，~改}图[2]土[31]杜肚□{摞}[35]吐{~痰，呕~}兔[52]渡度镀踱
l[11]奴卢炉芦鸬庐{茅~，~山}驴[31]努鲁橹虏卤[52]怒路露鹭
ts[44]租[2]祖组阻[35]做[52]□{吮吸}
tsʰ[44]粗初[11]雏[2]楚础{柱下石}[35]锉莝醋措错{~误，交~}□{~蝎：蝎子}[52]座助猝促
s[44]苏酥梳{~头}疏{~远，注~}蔬[11]锄[2]所数{动词}[35]素塑诉嗉数{名词}
k[44]姑孤[2]古牯股鼓估[35]过{~期，~去}故固雇顾□{~仂：那里}
kʰ[44]箍枯[2]苦[35]库裤
ŋ[11]吴蜈吾梧[35]误悟
x[44]呼[11]胡{姓~}胡{~须}湖狐壶乎瓠[2]虎浒[31]户沪[35]货戽{~水}[52]贺互护获
∅[44]乌污巫诬[11]无[2]坞武舞侮鹉[35]恶{恨，可~}□{~iᴀ⁵²：八哥}[52]务雾戊□{~酒：压酒劝酒无节制的喝酒}婺

#y
tɕ[44]猪诸居车{~马炮}诛蛛株朱{~笔，~红}朱{~砂}珠拘驹俱归追龟{乌~}[2]褚{姓}煮举主矩{规~}诡鬼[35]著据锯{~子，~木头}驻注{~册}注{~意，赌~}蛀铸句癸愧季贵鳜
tɕʰ[44]趋枢区驱吹炊[11]除储渠厨瞿随逵葵槌锤徐橱捶[2]处{~所，相~}杵鼠[31]苎拄柱竖聚巨拒距序叙绪跪[35]处去{文读}[52]箸具惧住柜遂坠隧
ȵ[11]愚虞娱危[2]语
ɕ[44]书舒墟{~市}虚嘘须{必~}须{胡~}需输{~赢，运~}虽绥挥辉徽晖[11]薯{白~}殊垂谁[2]暑黍许毁水[35]絮庶恕讳[52]署{专~}树睡瑞
∅[44]于淤迂吁威[11]如鱼渔余{姓~}余{~粮}儒于盂芋榆逾愉愈{~好，病~}为{作~}维惟遗违围伟苇纬唯[2]汝与{及，给~}委乳{小称}[31]雨萎{气~，买卖~}宇禹羽[35]喂畏慰尉蔚[52]御{~赐，驾~}御{防~，~寒}誉{荣~}预豫遇寓喻裕卫伪为{~什么}位胃谓猬魏

#ᴇ
p[44]鞭□{烫~：烙铁}[2]跛[35]蔽箅□{别：不要}[52]瘪{~谷}别{区~}别{离~}鳖□{瘸}
pʰ[44]批[52]篦敝弊币毙撇{~捺，~开}
m[11]□{做~仂，做~物：干什么}[52]灭篾蔑
f[35]废肺费
v[52]悦阅
t[44]爹低[2]底抵□{胁下~：腋下}[35]帝蒂[52]跌
tʰ[44]梯□{~物：什么}□{~物事：为什么}[11]题提蹄啼堤[2]体[31]弟[35]替涕剃屉[52]第递隶帖贴迭{叠}碟牒蝶谍铁
l[11]泥犁尼[2]礼[35]裂[52]丽例厉励荔猎列烈劣
ts[44]遮[2]姐姊[35]祭际借蔗制{~定，节~}制{~造，~图}济剂穄{~粟秆：高粱秆儿}[52]接折{打~}哲折{~断}浙节拙□{~□⁵²：怎么(写)，为什么}
tsʰ[44]车妻[11]笡邪斜齐脐荠[2]且扯[35]砌脆缀翠□{打~：打喷嚏}[52]谢妾捷彻撤辙舌切{~开，亲~}截绝戳□{舔}
s[44]奢赊佘畲西栖犀□{鱼~：鱼鳍、鱼鳃}□{~仂：谁}[11]蛇[2]写舍{~得，施~}洗玺徙[31]社[35]泻卸赦舍{宿~，~利子}势世细婿岁税[52]射麝誓逝□{蹑：蹑脚走}摄涉薛泄设屑{不~，木~}雪说折{弄~了，~本}

#iᴇ
l[52]聂捏
tɕ[44]鸡稽圭闺规[35]计继繫{~鞋带}髻桂[52]劫给{~你，供~}揭结洁秸{麦~}决诀荚□{辣~：辣椒}□{纽~：扣眼}
tɕʰ[44]溪亏[11]茄{~子}渠{水~}[2]启[35]契{~约}橛□{鳜}[52]缺怯杰厥掘倔{~强}□{~地：锄地}
ȵ[11]倪[52]艺业热孽月
ɕ[44]兮奚[11]谐携畦[52]系{水~，直~}系{连~}系{是}惠慧胁{威~；~下tᴇ²：腋下}协歇蝎血穴
∅[44]□{~之：累了}[11]耶爷阎[2]野[35]缢瞖[52]芮叶页液腋夜

#uᴇ
kʰ[44]窥
∅[35]哕{干~}[52]越粤

#ᴀ
p[44]褒□{蚊子咬成的疙瘩}[11]□{~pᴀ³⁵：祖母}[2]保堡宝[35]报□{pᴀ¹¹~：祖母}[52]笔擘□{太娘~：曾祖母}毕必掰{~开}
pʰ[52]暴弼瀑{~布}曝
m[11]毛谋[52]冒帽茂贸谬密蜜墨
f[11]浮[2]否
t[44]刀叨兜丢□{tʰɔm¹¹~：顶针儿}呆{书~子}[2]祷岛倒{打~}斗{烟~，一~}抖[35]到倒{~水}斗{~鸡}
tʰ[44]滔偷□{~猪：肉母猪}[11]掏桃逃淘陶萄涛头投誊[2]讨敨{展开，~气}[31]道稻[35]套透[52]盗导豆逗邓
l[11]劳牢唠楼流留刘榴硫琉浏[2]搂{~柴：抱柴火}搂{~抱}篓搂柳[31]脑恼老瑙佬老[35]捞涝{稀饭稀}涝{水~灾害}溜{滑}馏[52]漏陋立粒笠栗六陆绿录禄
ts[44]遭糟邹周舟州洲[2]早枣蚤澡走酒帚[35]躁灶奏昼皱绉咒□{sᴀ⁵²门~：刘海}[52]蛰执汁质着{~衣}侧{白读}织职足
tsʰ[44]操{~作，体~}秋{~天，~千}鞦锹缲{~边}抽矁揪[11]曹槽囚泅绸稠筹愁雠酬仇{姓}□{泳~：游泳}[2]草騲丑{美~，子~寅卯}[31]皂造[35]操{曹~}糙凑臭{香~}嗅{读字音}□{痱子}[52]续就袖纣宙骤售缉集辑湿七漆疾侄秩直值俗续着{睡~，附~}
s[44]傻骚臊修羞搜{~查}飕馊搜收{~集}[2]耍嫂叟手首守洒{潇~}[31]受授[35]扫{~地，~帚}嗽秀绣锈{铁~}兽瘦[52]寿宿{星~，住~}十什拾实失室鹊食蚀识式饰粟肃□{~门tsᴀ³⁵：刘海}
k[44]高膏{~车，~游}篙羔糕膏□{舌~：舌苔}[2]稿[35]告[52]□{给}□{被}佮{~伙：合伙}合{十~一升}鸽蛤
kʰ[44]犒[2]考烤[35]磕{疑为叩}靠叩[52]咳{~嗽}
ŋ[11]熬鳌敖[2]袄[35]懊{~恼；~悔}奥[52]傲□{滥柿子，滥菜}
x[44]蒿[11]孩豪壕毫[2]好{~坏}[35]耗好{爱~}[52]𨉣蝦{蛤蟆}号浩合{匣母，结~}盒{烟~}

#iᴀ
tɕ[44]勾{~住，~当}钩沟鸠阄纠{~察；~正}[2]狗苟九久韭[35]彀{往上~}够构购灸{针~}救究[52]急级及{来得及}吉脚菊
tɕʰ[44]丘[11]求球[2]口[31]臼舅[35]扣寇去{白读}[52]咎旧柩及{~格}曲{~折，歌~}局曲{大~酒}
ȵ[11]牛[2]纽扭[31]藕偶{配~，~然}□{发~：打嗝儿}[52]日肉{白读}玉狱
ɕ[44]休□{一病：气喘}[11]侯喉猴[2]朽[31]后{~日，~门}后{皇~}厚[35]吼嗅{用鼻~}[52]候吸蓄
∅[44]欧忧优幽[11]柔揉尤邮由油游犹悠{~~}[2]□{好~：母亲，面称；大~：伯母}[31]有友酉[35]诱幼[52]又右佑柚釉入揖乙一逸药{又}钥郁育欲{~来}欲{~望}浴□{u³⁵~：八哥}

#uᴀ
k[44]乖{很~}乖{~~}[2]寡拐{~骗，~弯}□{扔：丢弃}[35]怪□{~佬：外地人}[31]□{~出去：撵出去}[52]剐橘
kʰ[2]夸{浮~风；~张}侉垮[35]蒯块快筷[52]扩
x[11]华{~山，姓，中~}铧划{~不来}桦怀槐淮[52]坏画划{笔~}
∅[44]歪

#ɒ
p[44]包胞狍[2]饱[35]豹[52]博剥驳卜{~卦}
pʰ[44]抛[11]袍跑刨{~地}[31]抱鲍[35]泡炮[52]刨{~子}匹{一~马，一~布}薄朴{又，~素，~实}雹扑醭仆{~人}仆{前~后继}
m[44]猫[11]茅锚矛[31]卯[52]貌莫膜幕寞木目穆牧
f[52]复{~杂}缚福幅蝠复{~写}腹覆{反~}服伏{进~：入伏，埋~}栿{梁}复{~兴}袱
t[52]浞{水湿}笃督□{捅}□{末~名：最后一名}
tʰ[44]□{~鞋：拖鞋}[52]托{~儿所，拜~}托{茶~，~盘}铎秃独读牍犊毒□{肉}
l[44]□{挪，文读}[35]哪{变调}[52]闹拉诺落烙骆酪洛络乐{音~}乐{快~}鹿禄□{揉}
ts[44]抓{~东西，~痒}笊[2]爪{~牙，~子}找[35]罩赂[52]作{~坊，工~}酌绰桌卓琢啄涿捉竹筑祝粥烛嘱蜀竺{天~}
tsʰ[44]抄{~家，~写}[11]巢[2]炒吵[35]钞[52]凿昨{~日}浊镯畜{~生}逐轴畜{~牧}触寂族
s[35]潲{猪食，变调}潲{~雨，变调}[52]索勺{~子}芍{~药花}朔速缩叔熟{煮~，~悉}淑赎束属
k[44]交郊胶郭廓[2]绞狡铰搅搞[35]教{~书；~育；~他去}窖较校{~对}[52]觉{睡~}各阁搁觉{知~}角{额~前}角{牛~，一~钱}谷{~子}谷{山~}
kʰ[44]敲[2]巧[35]搉{击，~蒜}[52]确壳哭
ŋ[44]□{脚~：膝盖的反面}坳{又}[31]咬[35]坳{又}[52]鄂恶{善~}岳{山~}岳{~父，姓~}□{作~鬼：小气鬼}
x[11]肴淆[35]孝酵[52]效校{学~，上~}鹤霍藿学斛□{手趼子}

#iɒ
l[52]略掠
ts[52]爵雀{麻~}嚼
tɕʰ[52]却
s[52]削
∅[52]若弱约跃肉{文读}辱褥药{又}

#uɒ
[52]握屋

#iɔ
p[44]膘标彪[2]表{~哥，电~，~面}表{手~}
pʰ[44]飘[11]瓢嫖[2]漂{~流，~亮}鳔[35]票
m[11]苗描[31]渺秒缈{~无音信：杳无音信}[52]庙妙杪藐
t[44]刁貂雕叼[35]钓吊调{~动}
tʰ[44]挑[11]条调{~和}[35]跳粜[52]掉调{音~}
l[11]铙燎疗聊辽撩{~起来}寥瞭[2]挠鸟了{~结}[52]料廖
ts[44]焦蕉椒[2]剿[35]醮{打~，再~}噍{牛倒~}蘸
tsʰ[11]樵瞧[35]悄{静~~}[52]□{~新人：闹洞房}
s[44]梢捎消宵霄硝销萧箫[2]小筱[35]潲{猪食}潲{潲雨}俏笑鞘{刀~}
tɕ[44]骄娇浇[2]矫{~诈}缴{上~}饺□{擦，揩}□{~桌幅：抹桌布}[35]叫
tɕʰ[11]乔侨桥荞[35]窍[52]轿
ȵ[11]饶尧[2]绕{围~，~线}[52]逆{顺~，~风}疟{~疾}虐□{~之：落枕了}
ɕ[44]嚣侥{~幸}[2]晓
∅[44]妖邀腰幺□{知pi³⁵~：知了}[11]摇谣窑姚鹞[2]也扰[31]舀{~水}[35]要{~求，想~；~求}[52]耀翼域役疫曰

#o
p[44]菠{~菜~萝}玻巴芭疤[11]□{~蒂：阴茎}[2]把{~握，~守，一~}摆[35]拜霸{~占}坝{堤}坝{平川}[52]爸北八钵拨{挑~，~款}逼百柏伯迫碧璧壁{墙~，~虎}□{石~子：火石}伯{叔~母：妯娌}檗
pʰ[11]爬琶杷排簰□{草鞋~：螳螂}[2]颇[31]罢[35]怕派[52]帕稗败耙{~地}泼钹泊{梁山}泊拍魄僻辟劈拔白匹帛□{犁~：犁铧}
m[44]妈[11]魔摩麻痲蟆埋[31]马码买[52]骂卖迈脉抹{~布，~桌子}末沫抹{~墙，~粉}袜麦觅默陌
f[52]法{方~，~子}乏发{头~}发{~芽，~射}伐筏罚
t[2]打[35]带[52]答搭德得的{目~}滴嫡□{望~：盼望}
tʰ[44]他拖{~鞋}[35]太泰[52]大{~小，文读}大{~夫，~黄，药名}踏搨{~本}塔榻塌达脱夺特拆踢剔笛敌狄籴
l[44]□{疤~：疤}[11]那[35]□{迈}[52]奈赖癞□{惹}腊蜡镴纳捺辣癞乱捋{往下捋袖}肋勒匿力溺{~死}历{经~，来~}历{日~}
ts[44]斋渣楂查朝{今~}召昭招沼{~气，~池}[2]者[35]诈榨炸{~弹}乍债寨照诏窄[52]闸炸札{~子，~记}扎{~手，用手~}轧{被车~，~棉花}铡{~刀，~草}□{往上捋袖}则即鲫侧{文读}摘积迹脊只{量词}炙绩□{~tɕʰi³¹：陡}硩{压}稷责
tsʰ[44]叉杈{树~}差{~别，~不多}岔{三~路}钗差{出~}超[11]茶搽查{调~}朝{~代}潮[31]赵兆[35]蔡[52]藉擦插獭{水~}撮{一~米}杂贼测策册籍藉{狼~}赤斥尺戚察拆㿭泽择宅席夕
s[44]唆沙纱筛{~子，~东西}烧[11]豺柴韶{~关}[2]少{多~}[35]少{~年}绍稍□{~水：洒水}洒{~水}晒稍[52]漱{读字音}撒{~种}萨杀邵刷悉膝塞{堵~}息熄媳色啬昔惜适释石锡析殖植□{xuɤ²~：彗星}□{~炭：长条的煤炭}䅴{谷~：稻穗}□{~蟀：蟋蟀}□{眼~：睫毛}煠{~饭：泡饭加开水重煮}□{~色子：掷色子}叔{~伯母：妯娌}
k[44]聒家{~庭}家{画~，妇人~}家{~具}加痂嘉瓜蜗皆阶佳街[2]假{真~，放~}贾{姓}解{理~，姓}[35]架驾嫁稼价介界芥疥届戒尬{尴~}懈挂卦褂𨱕[52]括眨夹袂甲{指~}胛挟割葛胳{~臂}格革隔□{~股：翻绳}
kʰ[44]揩[11]□{背~：坎肩}[2]楷[35]跨[52]客阔掐渴
ŋ[11]牙芽衙涯崖捱{~打，~骂}雅□{□mᴀ̃¹¹：婴儿}[2]哑矮[31]瓦[35]亚隘{狭~}压[52]研外{~孙，~头，~公}□{~ȵi⁵²：脏}艾砑鸭押额扼轭[44]鸦丫桠挨{~进，~住}
x[44]虾花[11]霞瑕遐鞋[2]蟹[31]下{底下，下降}[35]化□{~xᴀ̃³¹：蚌、蛤蜊}[52]恰狭峡洽喝{~酒，~彩，吆~}瞎辖滑猾{狡~}核{~心}郝{姓}赫吓{恐~}核{审~，果子~}匣豁{~然，~嘴，~口}□{tsᴇ⁵²~：怎么(写)}夏{春夏}暇厦{前廊后~，姓，~门}吓{~一跳}骇{惊~}械
∅[44]阿倭蛙窪挖[11]还{~有，白读}[52]话活

#io
tɕ[52]击激戟
tɕʰ[52]剧{~烈，戏~}极吃刻{时~，用刀~}克
ɕ[52]黑
∅[52]益亦译易{交~}

#ɤ
p[44]波坡杯[35]辈背{~书包}[52]不
pʰ[44]胚{~胎}坯{土~}[11]婆培陪赔裴[31]□{木~：刨花}□{花瓣}[35]配沛[52]倍佩背{~诵}焙{~干}勃饽剖□{嘴~：唾沫}
m[11]磨{~刀}梅枚媒煤霉□{鸡~咯咯：松果}嫲{鸡~：母鸡}[2]每[52]磨{~面，石~}没{沉~，~有}物{白读}妹昧
f[52]佛{仿~，~教}
v[44]窝[11]禾
t[44]多堆[2]朵躲[35]戴对碓队
tʰ[44]胎拖{~拉机}推[11]台{天~，~州}台{兄~}苔抬驼驮舵[2]妥腿[31]待怠殆惰[35]退蜕[52]兑大{~小，白读}代袋突
l[11]罗锣箩啰螺来雷莱[2]儡蕊垒[35]□{脚~骨：踝子骨}[52]律率{速~}糯内□{扔}□{凳~：一人坐的方凳}
ts[44]□{鹐：鸟啄物}[2]左佐宰[31]载{年~，满~}[35]再最□{扔：投掷}[52]□{~mɒ⁵²liɔ³¹：啄木鸟}
tsʰ[44]搓猜催崔[11]才{~能}才{刚~}材财裁[2]彩采睬揣{怀~着，~度}[31]坐在{~哪里，现~，~不~}罪[52]出
s[44]腮鳃蓑梭衰帅[11]纯醇[2]锁琐□{~炉：烘篮}[35]赛碎粹摔塞{~北}栖{鸡~：鸡住的地方}[52]戍戌恤率{~领}蟀术{算~}述秫术{白~，苍~}
k[44]歌哥[35]个{~人，一~}
kʰ[2]可
ŋ[11]蛾鹅俄讹呆{~板}[31]我[52]饿卧碍
[11]儿而[31]耳尔{又}[52]二贰饵

#uɤ
k[44]该锅戈[2]裸改果裹馃[35]会{~计}刽桧盖{动词、名词}丐绘[52]骨国
kʰ[44]科窠棵颗开盔魁奎窟[2]凯傀{傀儡}[35]慨概溉课
x[44]灰恢□{蒙蒙~：毛毛雨}[11]荷{~花，薄~}河何和{~气，~面}回茴徊迥[2]火伙海贿□{~so³⁵：彗星}[35]悔晦绘[52]害祸汇{~报，~集，文汇}溃{~浓}会{开~；~不~}或惑
∅[44]哀埃{尘~}煨[2]蔼{和~}[31]吻[35]爱[52]杌物{文读}勿

#ĩ
p[44]边[2]贬蝙扁匾□{金~簪：簪子}[35]变遍{一~，~地}
pʰ[44]编篇偏[11]便{~宜}[31]辨辩辫[35]骗{骗马}骗{欺骗}片[52]汴便{方~}
m[11]绵棉眠□{xõ²~：打哈欠}[2]捻{以指碾碎}[31]免勉娩缅[52]面{~具，桌~，正~，脸面}面{~包，~粉}
v[44]冤渊[11]圆员缘沿元原源袁辕园援[2]宛[31]阮远[35]怨[52]院愿
t[44]掂颠□{~脚：踮脚}[2]点典腆{~肚子}[35]店
tʰ[44]添天笺舔[11]田填甜[31]佃簟[35]掭{~笔}[52]电殿奠垫{~钱}
l[11]帘黏廉镰拈{~起来}连联年怜莲[2]敛殓脸辇撵[35]□{麻~：麻子}[52]念练炼楝{~树}恋
ts[44]尖粘{~米，~起来}瞻占{~卜}沾煎毡膻专砖[2]剪展转{~眼，~送}转{~圆圈}[35]占{~有}箭溅{~了一身水}饯{~行}战颤荐转{~螺丝}
tsʰ[44]签{求~，牙~}签{~字}迁千川穿笺歼[11]潜蟾钱缠蝉禅{~宗}前全泉旋{~转}传{~达}椽[2]浅喘[31]渐[35]串{穿}[52]践篆贱旋{~吃~做，头发~}传{~记}
s[44]仙鲜{新~，~少，朝~}宣先[11]船[2]陕闪癣选[31]善[35]线扇{~风}扇{~子}线□{~簟：蜥蜴}𫔌{~：阉鸡}[52]膳单{姓}禅{~让}
tɕ[44]蒹搛肩坚绢捐□{肚~鸟：布谷鸟}娟[2]检茧趼笕{以竹通水}卷{~起}[35]剑建键见卷{考试~}眷券
tɕʰ[44]谦牵圈{圆~，围~}[11]乾{~坤}钳虔掮犍{~为县}拳权颧{~骨}[2]遣犬[31]俭[35]欠羡劝歉[52]健腱件
ȵ[11]严言研[2]□{kʰõ⁵²~：怀孕；病~：害喜；生~：生小孩}[31]染软碾[35]俨[52]验谚砚
ɕ[44]轩掀喧[11]嫌贤弦玄悬眩[2]险显[35]宪献楦{鞋~}[52]苋{~菜}现县
∅[44]淹阉腌烟嚥{咽}[11]炎盐檐涎{白读}然燃焉{心不在~}延筵蜒{~蚰：不带壳的蜗牛}[2]掩演兖冉[35]厌堰燕{~京；姓；~子}宴□{谷~：秕谷}[52]艳焰

#ᴀ̃
p[44]崩冰烹浜{一条~}兵□{~熟：饭生}[2]丙秉饼倂□{~荚：扁豆、芸豆}[35]欛{柄}迸{~裂}
pʰ[44]拚{~命}拼{~音}[11]苹朋凭棚平坪评彭膨姘瓶屏萍[31]蚌并{合~}[35]聘[52]病
m[11]萌明鸣盟名铭□{~ŋo¹¹：婴儿}茗[2]猛皿[52]孟命
t[44]登灯丁钉疔澄{把水~清}[2]等顶鼎趸{~下来：包圆儿}戥[35]凳瞪{~眼}钉{~住}订{~约}
tʰ[44]厅汀[11]腾藤廷亭停廷庭蜓藤滕[2]艇挺[35]听{~见；~话；~其自然}[52]绽{破~，~开}锭定邓
l[11]能楞陵凌菱宁{安~，~可}泞{泥~}灵零铃伶拎翎[31]冷岭领[52]令佞另
ts[44]曾{姓}增憎僧征{长~}争筝睁精晶睛{眼~}贞侦正{~月}征{~集}[2]井整㬹{手~：肘}拯[35]证症正{~确}政
tsʰ[44]撑{~簰，支~}清{~早，~明}青蜻[11]曾{~经}惩橙澄{~清事实}晴情逞{~能，得~}呈程□{门~：木的门键}[2]请[31]静靖[35]牚[52]净郑掷赠
s[44]生牲笙甥声星□{~瓜：黄瓜}[11]乘承丞成城诚[2]省{~长；节~；反~}醒手[35]胜{~任，~败}性姓圣腥[52]剩盛{~满了}盛{兴~}
k[44]更{~换，五~}庚羹耕庚[2]粳{~米}哽耿埂[35]更{~加}
kʰ[44]坑[2]龈{老鼠~，文读}
ŋ[44]莺鹦樱婴缨[52]硬
x[44]亨□{我~：我们；尔~：你们；渠~：他们}[11]行{~为}衡□{和：连词，介词}桁[31]杏□{xo³⁵~：蚌、蛤蜊}□{嘴~开：张嘴}[52]行{品~}幸

#iᴀ̃
tɕ[44]京荆惊鲸经{~过}经{~纬，~线}陉{井~}[2]境景警颈[35]敬竟镜径
tɕʰ[44]轻{~重，年~}卿[11]擎茎[2]肯啃{白读}[35]庆磬[52]竞
ȵ[11]凝迎
ɕ[44]兴{~旺}[11]形型刑邢[35]兴{高~}
∅[44]应{~当，~用}蝇英鹰[11]仍盈赢荣萤荥营茔□{~火虫：萤火虫}[2]影颍[31]颖[35]应{~对，响~}

#uᴀ̃
kʰ[44]倾[11]琼[2]顷
x[44]兄[11]横{~直，文读}横{蛮~}[35]迥
∅[11]横{~直，白读}[31]永[52]泳咏

#ɔ̃
p[44]帮邦[2]绑榜[35]谤
pʰ[11]滂旁螃{~蟹}傍{~晚}[31]棒蚌[35]胖[52]傍{~早：趁早}
m[11]忙芒{~果，~种}茫忘{白读}盲虻[2]莽蟒[52]望{白读，~~}
f[44]肪方芳[11]房防妨{~害}[2]仿{效~}纺仿{相似}彷{~佛}访[35]放
t[44]当{~时，应~}[2]党挡{阻~}[35]当{~时，典~}□{~杵：说明挑担的棍子}
tʰ[44]汤[2]倘躺[31]荡{放~}凼[35]烫趟□{~刨：刨子}□{~街：逛街}堂棠螳唐糖塘搪
l[11]囊郎廊狼螂[2]朗[52]浪
ts[44]赃脏{不干净}张{量词}庄装章樟桩[2]长{生~}涨{长}掌[35]葬帐账胀壮障{保~}瘴{~气}
tsʰ[44]仓苍昌菖疮窗[11]藏{隐~}长{~短}肠场□{~魂：串门}[2]闯厂[31]丈仗杖[35]畅创唱倡[52]藏{西~}脏{心~}撞状□{牙~肉：牙床}
s[44]霜孀商伤双{一~}双{~生}桑丧{婚~}丧{~事}[11]床常尝裳{衣~}偿[2]嗓爽赏磉{柱下石}[31]上{~山}[35]丧{~失}
k[44]冈岗刚{~才，~好}纲钢缸钢{刀钝了，~~}江扛豇□{~tɕi⁴⁴：蜻蜓}[2]讲港[35]杠降虹□{山~：山脊}
kʰ[44]康糠慷{~慨}[11]□{~kʰuᴇn²：蚯蚓}[35]抗炕囥
ŋ[44]骯{~脏}[11]昂
x[44]夯{打~}[11]行{~列，银~}杭航降{~伏，投~}[31]项[52]笐{~竿：晾衣服的竹竿}巷

#iɔ̃
l[11]良凉量{~长短}粮梁粱[31]两{~个，几~几钱}[52]亮谅辆量{数~}
ts[44]将{~来}浆漳[2]蒋奖桨[35]酱将{大~}
tsʰ[44]枪[11]墙详祥[2]抢[31]象像橡{~树}[52]匠
s[44]相{互~}箱厢湘襄镶[2]想[31]上{~山}[35]相{~貌}[52]尚上{~面}
tɕ[44]疆僵姜礓{~石}缰姜{生~}[35]强
tɕʰ[44]羌匡{姓~}筐眶腔框[11]强{~弱}[2]强{勉~}
ȵ[11]娘[31]仰[52]酿让
ɕ[44]香乡[2]晌{~午}饷享响[35]向
∅[44]央秧殃[11]瓤{瓜~}穰{禾茎}羊洋烊{融化}杨阳扬疡王[31]痒壤攘嚷养往[35]映[52]样旺{兴~，火~}

#uɔ̃
m[11]芒{麦~儿}[31]网辋{车~}
k[44]光[2]广
kʰ[35]旷矿况
x[44]荒慌[11]黄{文读}簧{锁~}皇蝗[2]谎
∅[44]汪{一~水，姓}[11]亡忘{文读}黄{~色，白读}[2]枉[52]妄望{希~，文读}

#õ
p[44]班斑颁扳攀般搬瘢[2]板版[35]扮半
pʰ[44]潘[11]爿盘[31]伴拌[35]盼判叛[52]瓣办绊
m[11]蛮瞒馒[31]满[52]慢漫幔蔓{瓜~子}
f[44]翻番{三~五次}[11]凡帆藩烦矾繁[2]反返[31]范{姓~，规~，模~}犯[35]泛贩㽹{~恶：恶心}畈[52]饭
t[44]耽担{扁~}丹单{~独}端[2]胆短[35]担{挑~}旦锻{~炼}
tʰ[44]贪滩摊瘫[11]潭谭痰谈檀坛弹{~琴}团{纸~，~员}团{汤~}□{~腔：装晒东西的圆竹筐}[2]毯坦{~白}[31]淡断{~绝}断{~暗：快要黑了}断{果~}[35]探{试~，侦~}炭叹掸{鸡毛~子}[52]坦{一只~：晒粮之地}诞但弹{子~}蛋{鸡~，王八~}段缎椴□{~被：褥子}
l[11]南男蓝篮鸾难{~易}兰拦栏鸾□{~床：尿床}[31]懒览揽榄{橄~}缆暖卵□{~蛤蟆：癞蛤蟆}[52]滥难{患~}烂乱
ts[44]簪钻{动词}攒{积~}[2]斩盏[35]站{~立，车~}赞钻{木工用具}
