阴平[1]55 阳平[2]212 上[3]53 去[5]24
s [1]书输疏梳舒酥苏 [2]术述叔淑蜀属嘱黍宿{住∽} [3]暑鼠数{∽数}墅   [5]树竖恕素嗦诉塑朔数{∽学}
z [2]入如肉儒辱褥  [3]汝乳
k [1]姑孤辜跍 [2]骨谷 [3]股古估鼓贾{商∽} [5]固故顾雇
kʰ [1]枯箍 [2]哭酷  [3]苦 [5]库裤梏

#uᶹ
f [1]俘夫肤呼敷孵{∽化}   [2]壶狐扶乎弗佛伏胡湖糊忽复腹服福幅拂核{桃∽}符  [3]腐
v [1]乌巫诬污邬 [2]吴吾梧无勿物屋捂 [3]五伍武舞鹉午侮 [5]务雾误悟戊恶

#y
n  [3]女履旅{文}吕{文}屡{文}
tɕ [1]居拘驹俱{∽乐部}车{∽马炮}[2]局{文}菊{文}桔{文} [3]举矩 [5]据剧锯巨距拒具惧俱
tɕʰ [1]区躯驱蛆趋 [2]渠瞿  [3]取娶 [5]去趣砌{∽石头}
ɕ [1]虚嘘墟须需虽  [2]徐戌续旭畜蓄随{白} [3]许 [5]序绪叙遂隧絮
Ø  [1]迂吁 [2]鱼渔余馀于予盂娱愚愉俞舆育{文}欲{文}   [3]与雨宇语羽禹隅 [5]玉芋预遇喻豫

#iu
tɕ [2]菊桔局
tɕʰ [2]曲族
ɕ [2]畜蓄宿

#e̞
p [2]北百柏伯白
pʰ [2]迫拍魄
m [2]墨{文}默{文}脉麦{文}
t [2]得德
tʰ [2]特忑忒
n [2]勒劣肋{文}
ts [1]遮   [2]浙折哲则责摘窄宅贼   [3]者 [5]这遮{文？}
tsʰ [1]车 [2]册泽择策彻撤测侧切{∽菜}[3]扯且
s [1]奢赊 [2]蛇色涉虱设涩骰摄舌塞折{∽本}啬  [3]舍 [5]社射赦舍{宿∽}
z [2]热  [3]惹
k [2]革隔格疙{∽腻}  [3]给
kʰ [1]剋  [2]客克咳刻
ŋ [2]扼厄额
x [2]核{∽对}骇黑赫吓{恐~}

#ie̞
p [1]憋鳖瘪{干∽} [2]别蹩
pʰ [2]撇{∽捺} [3]撇□{折断、分}
m [2]灭蔑篾墨{白}默{白}麦
n [2]肋{白}猎列烈咧裂聂蹑捏孽镊嗫业
t [1]爹   [2]谍蝶碟喋迭叠跌
tʰ [2]贴铁
tɕ [2]洁结杰节接劫竭揭 [3]姐 [5]借
tɕʰ [2]切怯截捷喫{白}   [3]且
ɕ [1]些 [2]协胁邪穴歇蝎泄  [3]写{文}  [5]谢泻卸
Ø  [1]耶椰 [2]叶页爷  [3]也野冶  [5]夜

#ue̞
k[2]国蝈
kʰ [2]扩
x [2]或惑获

#ye̞
tɕ [2]绝决诀撅獗蕨
tɕʰ [2]茄缺
ɕ [1]靴 [2]血雪薛恤
Ø  [2]月越粤悦阅曰

#o
p [1]波玻菠 [2]钵脖博搏薄驳剥拨礴   [3]簸跛  [5]播
pʰ [1]坡 [2]婆泼{∽水}[3]颇叵泼{∽辣}剖 [5]破鄱
m [1]摩摸 [2]魔莫膜寞末沫磨{∽石}模{∽范} [3]抹{∽杀。涂擦:∽药} [5]磨
t [1]多朵{耳∽}  [2]夺  [3]躲朵{花∽} [5]剁舵垛{放置：把水壶~在炉子上}
tʰ [1]拖 [2]驮驼砣托脱 [3]妥軃{下垂、放低、吊}唾
n [1]哆□{拉拢；圆}[2]罗锣箩萝逻洛络烙螺骡落乐{欢～} [3]裸□{拉拢，巴结}[5]糯□{慢、疲踏}
ts  [2]卓桌作昨浊酌琢拙撮着{穿∽}捉    [3]左□{交换：∽个坐位} [5]坐座做
tsʰ [1]搓磋蹉  [2]凿戳撮促  [5]错挫措{文}
s [1]蓑嗦踆梭莎唆 [2]索缩说勺朔芍硕烁 [3]所琐锁唢
z [2]若弱
k [1]哥歌戈锅  [2]各阁鸽葛郭割合{白：～不得人}角 [3]果裹   [5]个过
kʰ [1]科珂苛棵 [2]渴磕阔壳 [3]可颗 [5]课搁
ŋ [2]恶{凶∽}蛾{白}鹅{白}讹   [5]卧{白} 饿{白}
Ø  [1]窝屙  [2]俄峨鳄鄂沃握鹅{文}  [3]我{文} [5]卧饿{文}

#io
n [2]掠略虐疟
tɕ [2]脚觉爵角{主∽}
tɕʰ [2]确却雀鹊
ɕ [2]学削
Ø  [2]约药钥岳乐{音∽}

#a
p [1]巴疤粑芭爬 [2]爸八捌跋 [3]把{∽守，一∽刀}[5]欛罢坝霸把{刀∽}
pʰ [1]□{熟：数∽了；软弱：∽耳朵}琶杷  [2]爬   [3]趴 [5]帕怕
m [1]妈马{∽虎}[2]麻抹{∽布} [3]马码   [5]骂
f [2]发乏法罚伐筏
t [2]达搭答挞  [3]打 [5]大
tʰ [1]他她它 [2]沓踏塔塌榻獭
n [1]拉哪挪啦 [2]拿辣蜡腊呐钠纳捺邋 [3]哪喇 [5]那
ts [1]渣奓 [2]扎札轧炸{油~}闸杂铡咱眨酢{贿赂} [5]榨乍诈炸{∽药}查{山∽}
tsʰ [1]叉槎差{∽错}蹅{踩}[2]查茶察擦插   [3]刹□{∽嘴巴} [5]岔诧姹
s [1]沙莎纱痧杉萨 [2]杀煞  [3]洒傻{文}撒  [5]啥
k [1]家{外公；外婆}[2]夹  [3]□{肉}
kʰ [1]咖旮 [2]掐 [3]卡 [5]胯{白}
ŋ [3]哑 [5]压{白}
x [1]哈  [3]傻{白} [5]下{白，一∽子}
Ø  [1]阿 [5]那{白}

#ia
p [3]扁{白读，一说本字为瘪。扁、不圆}瘪{白读，一说本字为扁。扁、不圆}
pʰ [3]□{跛}
t [2]□{下垂：∽下去了}
n [1]黏□{粘：耍娇} [2]□{懒:∽得很} 
tɕ [1]家稼加佳嘉   [2]甲夹 [3]假贾 [5]架嫁价
tɕʰ [1]吃{∽饭} [2]恰洽
ɕ  [1]虾□{欺压：~人}[2]斜霞遐匣侠瞎辖峡 [5]下夏厦{文}
Ø  [1]鸦丫桠垭 [2]牙芽鸭涯押衙   [3]雅讶哑{文}  [5]亚压

#ua
ts [1]抓 [2]啄  [3]爪
s [2]刷  [3]耍厦{白}
k [1]瓜 [2]刮括 [3]剐寡 [5]挂卦褂
kʰ [1]夸 [3]垮胯 [5]跨
Ø   [1]蛙娃挖 [2]袜娃  [3]瓦  [5]凹

#ə˞ 
Ø  [2]儿而  [3]耳尔饵 [5]二贰

#ai
p [1]湃  [3]摆  [5]败湃拜稗
pʰ [2]排牌  [3]□{一∽长} [5]派
m [2]埋霾  [3]买 [5]迈卖
t [1]呆待{∽会儿} [3]歹逮{拉扯} [5]代袋贷待带戴怠
tʰ [1]胎  [2]台抬苔 [5]太态钛泰
n [1]奶{乳} [2]来  [3]奶  [5]耐奈赖癞□{热烫}
ts [1]灾栽哉斋 [3]崽宰者{老∽，父}  [5]在再寨载债
tsʰ [1]钗猜差{出∽} [2]才材财豺裁柴  [3]采踩睬彩 [5]菜蔡
s [1]筛腮   [5]晒赛塞
k [1]该街皆阶  [3]改解  [5]介界疥芥丐届戒械
kʰ [1]开揩  [3]楷  [5]慨溉概
ŋ [1]挨埃哀 [2]岩霭挨 [3]矮蔼 [5]爱碍艾隘
x [1]奒{大，粗壮}  [2]鞋孩还  [3]海 [5]害亥骇
Ø  [2]而儿 [3]耳 [5]二贰

#uai
ts [1]栽{白，摔}   [5]拽
tsʰ [1]揣 [3]喘 [5]揣{耍泼：～人}
s [1]衰  [2]□{傻蠢：∽包}[3]摔甩 [5]帅率{表~}
k [1]乖  [3]拐  [5]怪
kʰ [3]块傀 [5]快筷侩会{∽计}
Ø  [1]歪  [3]崴{扭伤：∽脚了}  [5]外

#ei
p [1]卑碑悲杯背{∽东西} [5]贝辈倍秘背臂
pʰ [1]批披丕坯胚 [2]培陪赔 [5]配佩沛譬
m [2]梅媒煤眉{文}玫枚霉   [3]美每没 [5]妹昧寐媚
f [1]飞非菲妃绯扉   [2]肥淝   [3]匪翡   [5]费废肺痱

#uei
t [1]堆 [3]兑  [5]队对碓兑
tʰ [1]推 [2]颓   [3]腿 [5]退褪
n [1]追{白}  [2]雷蕾擂  [3]吕铝屡磊儡旅 [5]泪内类累虑滤
ts [1]追锥 [2]贼 [3]嘴咀 [5]罪最缀醉
tsʰ [1]吹崔催摧炊 [2]垂锤陲捶 [5]翠悴脆碎
s [1]虽{文}   [2]谁随隋   [3]水髓 [5]岁税睡祟絮瑞
z [5]锐蕊
k [1]规龟圭桂？归闺 [3]鬼轨诡  [5]贵桂跪柜癸
kʰ [1]亏盔魁窥 [2]奎逵葵  [5]愧溃
x [1]灰恢诙徽挥辉 [2]回蛔   [3]悔毁 [5]会汇烩贿惠慧秽讳绘卉
Ø  [1]威煨萎 [2]违苇韦危桅唯维帏为围微薇 [3]伟尾委萎 [5]卫为未味尉胃谓渭猬伪畏喂魏

#ao
p [1]包胞苞褒  [3]保堡葆宝饱 [5]抱刨豹雹报暴爆孵{白}
pʰ [1]抛泡{灯∽}[2]刨袍庖 [3]跑  [5]炮泡
m [1]猫□{胆大}[2]毛矛茅锚    [3]□{僵：关系搞∽了}卯牡 [5]冒帽貌
t [1]刀叨 [3]倒岛捣着{白} [5]到导道盗稻倒
tʰ [1]滔涛掏 [2]桃逃陶淘萄涛 [3]讨 [5]套
n [1]捞□{焦} [2]劳涝痨牢捞 [3]老恼瑙脑 [5]闹癆{用毒药毒}
ts [1]招召昭朝遭糟 [2]着{白，被}  [3]早找爪蚤枣沼澡藻 [5]赵灶皂照兆罩
tsʰ [1]操超抄钞 [2]曹槽潮巢□{疯:一头一脑}朝 [3]吵草炒 [5]造糙燥躁
s [1]烧骚搔梢稍捎筲艄 [2]苕韶  [3]少扫嫂 [5]绍邵少扫潲肇臊
z [2]姚饶挠   [3]绕挠 [5]绕
k [1]高膏羔糕   [3]搞稿 [5]告窖
kʰ [1]敲  [3]考烤铐 [5]靠
ŋ [1]熬{∽油；～价，一说爊}[2]熬鳌敖翱    [3]袄咬 [5]奥澳懊拗坳
x [1]薅蒿 [2]豪毫嚎   [3]好 [5]号浩耗好

#iao
p [1]标彪膘   [3]表裱 [5]鳔
pʰ [1]飘缥漂{∽流 }  [2]瓢嫖殍 [3]熛 [5]票漂
m [2]苗瞄描  [3]秒渺藐 [5]妙庙谬
t [1]凋刁雕  [3]鸟 [5]吊调掉钓
tʰ [1]挑 [2]条调{∽整}   [3]调{训读，∽换} [5]跳
n [2]辽疗寥聊嘹僚燎   [3]了鸟 [5]料尿廖撂
tɕ [1]交郊胶焦蕉椒浇骄娇教  [2]狡{白} [3]绞饺狡搅缴剿 [5]觉叫较轿教校
tɕʰ [1]悄锹跷 [2]桥谯瞧樵乔侨荞   [3]巧 [5]俏翘窍
ɕ [1]肖萧箫宵消霄销 [2]淆肴 [3]小晓 [5]笑校孝酵效啸
Ø [1]幺腰要{∽求}邀妖夭 [2]摇遥谣窑尧 [3]舀咬{文} [5]要跃耀

#əu̜
m [2]谋   [3]某亩 [5]贸茂
f  [3]否
t [1]兜逗蔸篼  [3]陡斗抖 [5]豆痘斗逗
tʰ [1]偷 [2]投头 [3]抖 [5]透
n [1]搂 [2]楼娄缕   [3]搂   [5]陋漏
ts [1]邹周州洲舟粥{文}  [3]走肘  [5]咒昼宙奏揍
tsʰ [1]抽 [2]愁仇绸稠畴筹酬   [3]丑 [5]臭骤奏凑
s [1]收搜馊飕   [3]守狩首手擞 [5]寿售受授瘦嗽
z [2]柔揉
k [1]勾沟钩  [3]狗苟 [5]够构垢购
kʰ [1]抠 [2]抠{白，吝啬}  [3]口 [5]叩扣寇
ŋ [1]欧瓯  [3]偶呕藕呕   [5]怄
x [1]呴{哮喘} [2]侯猴喉  [3]吼 [5]候后厚

#iəu̜
t [1]丢
n [1]溜瘤馏 [2]刘牛浏流硫留榴   [3]柳扭纽拗
tɕ [1]纠赳鸠揪阄   [2]揪   [3]九久酒韭□{扭}[5]就旧咎柩救臼究舅
tɕʰ [1]秋丘瞅 [2]求球裘囚
ɕ [1]休修羞 [2]□{瞅}  [3]朽 [5]秀绣锈袖宿{星∽}
Ø  [1]优忧悠幽  [2]由邮油郁尤犹游役疫育狱欲浴 [3]有酉友  [5]又幼釉诱右佑

#an
p [1]般搬班瘢斑扳颁  [3]板版 [5]办半伴拌扮瓣
pʰ [1]攀潘 [2]盘磐  [5]叛判绊盼
m [2]蛮馒瞒 [3]满  [5]漫曼慢
f [1]翻番幡  [2]凡帆矾烦樊梵 [3]反返 [5]饭贩泛犯范梵
t [1]单丹耽眈担{∽任} [3]胆掸 [5]蛋旦但淡弹{子∽}惮瘅石诞担
tʰ [1]贪滩摊探 [2]谈痰坛檀潭谭弹{∽琴}[3]坦袒毯 [5]炭叹□{谈}
n [1]揽 [2]南楠男兰拦栏蓝篮难   [3]览揽缆懒漤{抹擦：~盐巴}[5]烂滥难{苦~}
ts [1]瞻詹沾粘毡簪  [3]展盏斩崭 [5]占站战栈赞绽醮
tsʰ [1]参餐掺 [2]残惭蚕谗馋搀缠  [3]产惨阐 [5]灿忏颤孱粲璨
s [1]山三衫杉   [2]婵禅   [3]伞散陕闪 [5]善膳缮鳝擅扇散
z [2]然燃 [3]染冉
k [1]甘柑干肝竿 [3]敢橄杆赶擀感 [5]干{∽部}赣阚
kʰ [1]刊堪勘 [3]坎砍 [5]看
ŋ [1]安鞍淹菴胺 [2]严□{恰正：~好}[5]晏雁暗岸按案
x [1]鼾憨 [2]含函涵衔咸 [3]喊罕 [5]汉汗旱苋憾撼翰

#iɛn
p  [1]边编鞭  [3]扁匾贬蝙 [5]便遍变辫辨辩
pʰ [1]篇偏  [2]骈便   [3]片  [5]片骗遍
m [2]眠棉绵   [3]免勉娩缅 [5]面
t [1]颠癫滇掂巅   [3]点典碘   [5]垫奠店惦玷佃殿电甸
tʰ [1]天添 [2]填甜田恬   [3]忝舔殄掭
n [1]研拈  [2]连莲年帘严阎联怜廉镰 [3]脸碾撵 [5]念验砚练炼链敛恋严
tɕ [1]尖坚奸肩监艰间兼煎   [3]俭检捡减简茧柬剪 [5]见件建键贱践剑渐箭荐溅
tɕʰ [1]千迁歼笺签纤牵谦铅 [2]前钱钳乾黔潜虔覃掮   [3]浅遣谴 [5]欠堑茜歉倩纤
ɕ [1]仙先 [2]贤闲咸嫌  [3]险显  [5]现献宪线羡县限馅陷
Ø [1]烟咽炎腌焉蔫淹{文}[2]言颜檐延盐 [3]眼掩演 [5]燕焰厌宴艳堰筵

#uan
t [1]端 [3]短 [5]段锻缎断
tʰ [1]湍 [2]团
n [2]鸾拦{白}峦  [3]卵暖 [5]乱
ts [1]专砖钻{∽研} [3]转{∽变}[5]传赚篆撰转{∽动}
tsʰ [1]川穿 [2]传船椽 [3]铲 [5]串窜篡纂
s [1]拴酸删珊姗   [5]蒜涮算闩疝
z [3]软阮
k [1]官观关冠棺鳏 [2]□{自己} [3]馆管 [5]冠惯罐灌观
kʰ [1]宽  [3]款
x [1]欢 [2]还桓环寰 [3]缓浣 [5]换唤幻宦焕豢痪
Ø  [1]弯湾豌  [2]玩完顽丸 [3]晚挽碗腕皖剜 [5]万苑

#yɛn
tɕ [1]娟捐绢卷{∽∽} [3]卷  [5]券倦卷眷圈
tɕʰ [1]圈 [2]全痊拳权泉颧  [3]犬 [5]劝
ɕ [1]宣喧萱掀鲜   [2]玄眩弦旋琁  [3]选癣 [5]旋{∽风}
Ø  [1]冤渊鸳  [2]原源元园员圆沿袁猿辕援丸{白}  [3]远  [5]院愿怨

#ən
p [1]奔崩绷 [3]本 [5]笨
pʰ [1]烹凴{靠;依靠}[2]彭澎膨盆
m [1]们扪 [2]门 [3]满{白} [5]闷焖懑
f [1]分芬纷 [2]焚坟 [3]粉 [5]奋分份忿粪愤喷
t [1]灯敦墩蹲登蹬噔 [3]等磴 [5]凳瞪钝吨炖邓盾遁顿囤
tʰ [1]吞饨  [2]腾滕藤誊屯囤疼臀  [3]吞 [5]□{等}
n [1]捻 [2]伦沦轮棱能抡 [3]冷 [5]论嫩
ts [1]真贞侦睁正{∽月}征争筝针斟曾僧增蒸尊遵谆  [3]枕整振震拯 [5]正政证症镇郑赠憎阵净{梵~山}
tsʰ [1]村称皴撑参{∽差} [2]陈丞承呈程乘成诚城尘臣存曾{∽经}层沉忱 [3]惩 [5]秤称趁衬慎
s [1]生甥牲笙声参身升深申伸森孙 [2]神晨辰承  [3]沈省损笋审婶  [5]胜盛圣甚肾剩
z [1]扔 [2]人仁任仍  [3]刃忍仞纫  [5]认任壬
k [1]根耕跟更庚羹 [3]耿哽梗埂  [5]更
kʰ [1]坑吭  [3]肯啃恳垦
x [1]亨哼 [2]痕恒衡 [3]很狠 [5]恨

#in
p [1]兵宾殡鬓冰彬斌   [3]丙柄炳秉饼禀 [5]并病
pʰ [1]拼姘 [2]贫平评坪萍屏瓶频 [3]品 [5]聘
m [2]名铭茗民泯明鸣冥螟 [3]敏皿闽悯 [5]命
t [1]丁盯钉叮疔 [2]盯 [3]顶鼎 [5]钉订定锭
tʰ [1]听厅 [2]亭停廷蜓庭 [3]挺艇 [5]听
n [1]拎 [2]铃玲伶零林淋临邻灵宁陵凌菱凝 [3]领岭凛  [5]泠令另吝凌
tɕ [1]斤今金巾襟津荆京晶旌筋兢精睛经 [3]景井紧谨锦境警  [5]近进尽禁襟晋竟镜径劲净静竟敬
tɕʰ [1]亲青清侵钦轻卿 [2]情晴禽擒琴芹秦勤 [3]寝请   [5]浸侵庆磬罄
ɕ [1]星腥心新薪欣馨兴辛 [2]行刑型形 [3]醒省{反∽} [5]性姓杏兴信衅幸
Ø  [1]因姻茵音阴荫殷蝇婴樱缨鹦英 [2]银迎吟淫盈赢   [3]饮影隐瘾颖寅 [5]印映应

#uən
ts [1]谆{文} [3]准
tsʰ [1]春椿村 [3]蠢 [5]寸
s [1]孙 [2]纯绳唇醇 [3]瞬  [5]舜顺
z [5]孕闰润
k [3]滚  [5]棍
kʰ [1]昆坤 [2]馄{∽饨} [3]捆  [5]困
x [1]昏婚浑 [2]横魂 [5]混浑
Ø  [1]温 [2]文纹汶闻  [3]吻稳 [5]问

#yn
tɕ [1]军君均钧筠 [3]窘 [5]俊骏竣郡菌
tɕʰ [1]倾顷 [2]群琼裙
ɕ [1]熏勋 [2]寻旬荀巡循 [5]殉训逊迅讯
Ø [1]晕 [2]匀筠云营耘纭  [3]永尹允 [5]运咏泳韵熨

#ɑŋ
p [1]邦帮 [3]绑谤膀榜 [5]棒蚌磅
pʰ [1]滂  [2]旁滂彷  [3]膀 [5]胖
m [1]□{粗、壮} [2]忙盲芒茫氓 [3]莽蟒
f [1]方芳枋 [2]房防妨 [3]访纺 [5]放
t [1]当裆  [3]挡档党 [5]荡当{∽辅}凼
tʰ [1]汤 [2]唐糖塘搪堂膛螳 [3]倘躺淌 [5]趟烫{文}
n [1]軃 [2]郎廊螂狼囊 [3]朗 [5]浪
ts [1]章彰樟獐张脏赃 [2]咋{白}  [3]长掌涨 [5]丈仗杖怅胀障瘴藏葬脏帐
tsʰ [1]昌娼猖苍窗 [2]场长肠藏{收∽}  [3]厂敞 [5]唱倡畅
s [1]伤丧商桑殇 [2]尝偿裳常 [3]赏嗓上{∽声}[5]尚上
z [2]瓤 [3]酿嚷壤 [5]让
k [1]钢冈岗刚杠肛缸 [2]扛□{驼背} [3]港 [5]杠虹
kʰ [1]康糠慷 [2]扛 [3]冚{盖：∽锅盖}㝩{盖：∽锅盖} [5]抗炕吭
ŋ [1]咉{叫、哭、发了声音。}[2]昂 [5]□{呆，走神，傻}
x [1]夯 [2]行航杭 [5]项巷

#iɑŋ
t [1]拎{白。提：一起来；揪：～出来。}
n [1]嬢 [2]娘良粮凉梁粱量  [3]仰两俩辆 [5]亮谅晾量漾{∽头}
tɕ [1]江浆将{∽来}姜僵疆桨  [3]讲颈{白}奖蒋 [5]匠酱将{∽帅}降{∽落}浆犟
tɕʰ [1]腔枪羌 [2]强墙翔{白}祥{白}详{白}  [3]抢强{勉∽}[5]呛象像
ɕ [1]香湘厢乡镶相{∽信}  详{文}祥{文}翔{文} [3]响饷想 [5]向相象像
Ø  [1]央殃秧 [2]羊佯洋阳杨扬 [3]养痒 [5]样恙漾{荡∽}

#uɑŋ
ts [1]装妆庄桩  [3]奘{添、凑}  [5]状壮撞
tsʰ [1]疮窗{文} [2]床幢 [3]闯   [5]创
s [1]双霜孀 [3]爽
k [1]光 [3]广 [5]逛光
kʰ [1]匡框筐 [2]狂 [5]况矿旷邝
x [1]荒慌肓 [2]黄璜皇蝗徨凰煌 [3]谎晃恍 [5]晃
Ø  [1]汪 [2]亡忘王 [3]往枉网 [5]望旺

#oŋ
p [1]崩绷 [3]乓 [5]蹦
pʰ [1]鬔埲 [2]蓬篷朋棚  [3]棒 [5]碰
m [1]朦懞 [2]蒙懞矇檬盟萌氓 [3]蜢猛锰 [5]梦孟
f [1]风枫疯丰封锋蜂 [2]冯逢缝  [3]讽 [5]凤奉缝{∽隙}
t [1]冬东  [2]□{个：那~人} [3]董懂 [5]洞动冻栋
tʰ [1]通  [2]铜同桐筒童曈   [3]统桶 [5]痛
n [1]弄聋 [2]龙珑笼农浓脓隆  [3]拢 [5]弄
ts [1]中忠盅钟终宗综踪棕舂{白}  [3]肿种{~子，~类}[5]众纵仲中{打∽}粽皱重{∽量}种
tsʰ [1]冲充匆葱囱聪舂{文} [2]虫从松{白}丛崇重{~复} [3]宠耸{白}□{推：∽一下}[5]冲{白，爱出风头：~得很。}
s [1]松{文}嵩  [3]耸  [5]宋送颂讼诵
z [2]戎绒茸
k [1]工功攻弓躬公宫恭   [2]拱  [3]拱汞巩 [5]共供贡
kʰ [1]空  [3]孔恐  [5]控空{∽白}
x [1]轰哄烘 [2]红虹{文}宏鸿弘泓 [3]哄
Ø  [1]翁  [5]瓮

#ioŋ
tɕ [1]龚 [2]雄{白}
tɕʰ [2]穷
ɕ [1]凶匈胸   [2]雄熊
Ø  [1]雍庸   [2]容蓉榕熔荣融庸 [3]拥勇涌踊 [5]用佣
