汉字	音标	注释
字	sɿ⁴ˀ⁴⁵	不符合古今语音演变的对应规律
司	sɿ¹³	
思	sɿ¹³	
辞	tsʰɿ²¹	
祠	tsʰɿ²¹	
寺	sɿ²²	
饲	tsʰɿ²¹	不符合古今语音演变的对应规律
置	tsɿ⁴⁴	
耻	tsʰɿ²⁴	
持	tsʰɿ²¹	
痔	sɿ²⁴	不符合古今语音演变的对应规律
治	tsʰɿ²²	
士	sɿ²²	
柿	sɿ⁴⁴	
事	sɿ²²	
使	sɿ²⁴	
史	sɿ²⁴	
之	tsɿ¹³	
止	tsɿ²⁴	
志	tsɿ⁴⁴	
痣	tsɿ⁴⁴	
齿	tsʰɿ²⁴	
诗	sɿ¹³	
始	tsʰɿ²⁴	不符合古今语音演变的对应规律
试	sɿ⁴⁴	
时	sɿ²¹	
市	sɿ⁴⁴	
耳	ŋi⁴⁴	
基	ki¹³	
己	ki²⁴	
己	ki²ˀ²³	自~
记	ki⁴⁴	
欺	hi¹³	
起	hi²⁴	
其	kʰi²¹	
棋	kʰi²¹	字音
棋	kʰi⁴ˀ⁴⁵	
旗	kʰi²¹	
疑	ŋi²¹	
喜	hi²⁴	
医	jɿ¹³	
意	jɿ⁴⁴	
以	ji²⁴	
异	ji⁴⁴	不符合古今语音演变的对应规律
机	ki¹³	
几	ki²⁴	~个
气	hi⁴⁴	
汽	hi⁴⁴	
毅	ŋei²²	陈~
毅	ŋᴀi²²	~力
希	hi¹³	
衣	jɿ¹³	
依	jɿ¹³	
累	loe²²	积~，不符合古今语音演变的对应规律
嘴	tsoe²⁴	
随	tsʰoe²¹	
吹	tsʰʉ¹³	
炊	tsʰoe¹³	
垂	soe²¹	
瑞	sʉ²²	人名
瑞	soe²²	祥~
规	kʰoe¹³	不符合古今语音演变的对应规律
亏	kʰoe¹³	
跪	kʰoe²²	
危	ŋoe²¹	
毁	voe²⁴	
委	voe²⁴	
为	voe²¹	作~
为	voe²¹	~了，不符合古今语音演变的对应规律
类	loe²²	
类	loe⁴ˀ⁴⁵	肉~
泪	loe⁴ˀ⁴⁵	
醉	tsoe⁴⁴	
虽	soe¹³	
隧	soe²¹	不符合古今语音演变的对应规律
追	tsoe¹³	
锤	tʰoe²¹	动词
锤	tʰoe⁴ˀ⁴⁵	名词
衰	soe¹³	
帅	soe⁴⁴	
水	sʉ²⁴	
水	sʉ⁴⁴	下~，不符合古今语音演变的对应规律
龟	koe¹³	
轨	koe²⁴	
季	koe⁴⁴	
葵	kʰoe²¹	
柜	kʰoe²²	抽~
柜	kʰoe⁴ˀ⁴⁵	
位	voe⁴ˀ⁴⁵	
唯	voe²¹	不符合古今语音演变的对应规律
遗	voe²¹	不符合古今语音演变的对应规律
非	foe¹³	
飞	foe¹³	
匪	foe²⁴	
费	foe⁴⁴	
肥	foe²¹	
微	moe²¹	
尾	moe²ˀ²³	
未	moe²²	
味	moe²²	
归	koe¹³	
鬼	koe²⁴	
贵	koe⁴⁴	
魏	ŋoe²²	
挥	foe¹³	
威	voe¹³	
慰	voe²⁴	不符合古今语音演变的对应规律
违	voe²¹	
围	voe²¹	
伟	voe²⁴	
胃	voe²²	
谓	voe²²	
保	pᴀu²⁴	
宝	pᴀu²⁴	
报	pᴀu⁴⁴	
袍	pʰᴀu²¹	
抱	pʰᴀu⁴⁴	
暴	pᴀu⁴⁴	不符合古今语音演变的对应规律
菢	pʰᴀu²²	孵
毛	mᴀu²¹	
毛	mᴀu⁴ˀ⁴⁵	松~
冒	mᴀu²²	
帽	mᴀu⁴ˀ⁴⁵	
刀	tᴀu²ˀ²³	
岛	tᴀu²⁴	
到	tᴀu⁴⁴	
倒	tᴀu²⁴	~水，不符合古今语音演变的对应规律
讨	tʰᴀu²⁴	
套	tʰᴀu⁴⁴	
桃	tʰᴀu⁴ˀ⁴⁵	
逃	tʰᴀu²¹	
陶	tʰᴀu²¹	
道	tʰᴀu²²	
稻	tʰᴀu¹³	不符合古今语音演变的对应规律
导	tʰᴀu²²	
脑	lᴀu⁴⁴	~囟
脑	lᴀu²ˀ²³	
劳	lᴀu²¹	
牢	lᴀu²¹	
老	lᴀu⁴⁴	
老	lᴀu²⁴	
捞	lᴀu²¹	
糟	tsᴀu¹³	
早	tsᴀu²⁴	
枣	tsᴀu²ˀ²³	
灶	tsᴀu⁴⁴	
操	tsʰᴀu¹³	体~
草	tsʰᴀu²⁴	
曹	tsʰᴀu²¹	
皂	tsʰᴀu⁴⁴	
造	tsʰᴀu²²	
臊	sᴀu¹³	~气
扫	sᴀu⁴⁴	~地
嫂	sᴀu²⁴	
扫	sᴀu⁴⁴	~帚
扫	sᴀu²ˀ²³	芒花~
高	kᴀu¹³	
糕	kᴀu¹³	
稿	kᴀu²⁴	
告	kᴀu⁴⁴	
考	kʰᴀu²⁴	
靠	kʰᴀu⁴⁴	
熬	ŋᴀu²¹	
蒿	kʰᴀu¹³	
好	hᴀu²⁴	~坏
好	hᴀu⁴⁴	喜~
毫	hᴀu²¹	
号	hᴀu²²	~码
袄	ᴀu²⁴	
奥	ᴀu⁴⁴	
包	pᴀu¹³	
饱	pᴀu²⁴	
豹	pᴀu⁴⁴	
爆	pᴀu⁴⁴	
泡	pʰᴀu²ˀ²³	
炮	pʰᴀu⁴⁴	
跑	pʰᴀu²⁴	不符合古今语音演变的对应规律
猫	miᴀu⁴ˀ⁴⁵	不符合古今语音演变的对应规律
貌	mᴀu²²	
闹	lᴀu²²	
罩	tsᴀu⁴⁴	动词
罩	tsᴀu²ˀ²³	名词
爪	tsᴀu²⁴	~子
抄	tsʰᴀu¹³	
炒	tsʰᴀu²⁴	
吵	tsʰᴀu²¹	不符合古今语音演变的对应规律
巢	tsʰᴀu²¹	
稍	sᴀu¹³	不符合古今语音演变的对应规律
交	kᴀu¹³	
胶	kᴀu¹³	~布
搅	kᴀu²⁴	
搞	kᴀu²⁴	
教	kᴀu⁴⁴	~育
觉	kᴀu⁴⁴	睡~
巧	kʰᴀu²⁴	
咬	ŋᴀu⁴⁴	
孝	hᴀu⁴⁴	
效	hᴀu²²	
校	kᴀu²ˀ²³	学~，不符合古今语音演变的对应规律
标	piᴀu¹³	
表	piᴀu¹³	手~
表	piᴀu²⁴	~格
飘	pʰiᴀu¹³	
票	pʰiᴀu²ˀ²³	车~
薸	pʰiᴀu⁴ˀ⁴⁵	浮萍
苗	miᴀu²¹	
秒	miᴀu²⁴	
庙	miᴀu⁴ˀ⁴⁵	
妙	miᴀu²²	
疗	liᴀu²¹	不符合古今语音演变的对应规律
焦	tsiᴀu¹³	
椒	tsiᴀu²ˀ²³	
噍	tsʰiᴀu²²	嚼
消	siᴀu¹³	
小	siᴀu²⁴	
笑	siᴀu⁴⁴	
朝	tiᴀu¹³	今~
超	tsʰiᴀu¹³	
朝	tsʰiᴀu²¹	~代
潮	tsʰiᴀu²¹	
赵	tsʰiᴀu²²	
召	tsʰiᴀu²²	
昭	tsiᴀu¹³	
招	tsiᴀu¹³	
照	tsiᴀu⁴⁴	
烧	siᴀu¹³	
少	siᴀu²⁴	多~
少	siᴀu⁴⁴	~年
绍	tsʰiᴀu²²	不符合古今语音演变的对应规律
饶	ŋiᴀu²¹	
骄	kiᴀu¹³	
桥	kʰiᴀu²¹	
轿	kʰiᴀu²²	八~佬
轿	kʰiᴀu⁴ˀ⁴⁵	
嚣	hiᴀu¹³	
妖	jiᴀu¹³	
要	jiᴀu¹³	~求
要	jiᴀu⁴⁴	重~
摇	jiᴀu²¹	
窑	jiᴀu²¹	
舀	jiᴀu²⁴	
耀	jiᴀu²²	
鹞	jiᴀu²ˀ²³	
刁	tiᴀu¹³	
鸟	tiᴀu²⁴	
钓	tiᴀu⁴⁴	
挑	tʰiᴀu¹³	
跳	tʰiᴀu⁴⁴	
粜	tʰiᴀu⁴⁴	卖出
条	tʰiᴀu²¹	
条	tʰiᴀu⁴ˀ⁴⁵	雪~
调	tʰiᴀu²²	~动
尿	liᴀu²²	
聊	liᴀu²¹	
了	liᴀu²⁴	~解
料	liᴀu²²	
萧	siᴀu¹³	
缴	kiᴀu²⁴	
叫	kiᴀu⁴⁴	
尧	ŋiᴀu²¹	
晓	hiᴀu²⁴	
某	mᴀi²ˀ²³	
亩	mᴀi⁴⁴	
牡	mᴀi²²	不符合古今语音演变的对应规律
母	mᴀi²⁴	
母	mʉ⁴⁴	老~
贸	mᴀi²²	
兜	tᴀi¹³	
斗	tᴀi²⁴	
陡	tᴀi²⁴	
斗	tᴀi⁴⁴	~争
偷	tʰᴀi¹³	
敨	tʰᴀi²⁴	
透	tʰᴀi⁴⁴	
头	tʰᴀi²¹	
头	tʰᴀi⁴ˀ⁴⁵	热~
豆	tʰᴀi²²	~角
豆	tʰᴀi⁴ˀ⁴⁵	黄~
逗	tʰᴀi²²	
楼	lᴀi²¹	
漏	lᴀi²²	
走	tsᴀi²⁴	
奏	tsᴀi⁴⁴	
凑	tsʰᴀi⁴⁴	
勾	kᴀi¹³	
钩	kᴀi¹³	动词
钩	kᴀi²ˀ²³	名词
沟	kᴀi¹³	
狗	kᴀi²⁴	
够	kᴀi⁴⁴	
构	kᴀi⁴⁴	
口	hᴀi²⁴	
扣	kʰᴀi⁴⁴	
藕	ŋᴀi⁴⁴	
偶	ŋᴀi²²	配~
侯	hᴀi²¹	
喉	hᴀi²¹	
猴	hᴀi⁴ˀ⁴⁵	
后	hᴀi⁴⁴	~年
后	hᴀi²²	~世
厚	hᴀi⁴⁴	
候	hᴀi²²	
候	hᴀi⁴ˀ⁴⁵	时~
欧	ᴀi¹³	
呕	ᴀi²⁴	
沤	ᴀi⁴⁴	~肥
否	fᴀi²⁴	
富	fʉ⁴⁴	
副	fʉ⁴⁴	
浮	fᴀi²¹	
妇	fʉ⁴⁴	~女
