原文	單字	IPA轉寫
Nga	雅	ŋa
Ngai	倪厓	ŋai
Ngak	呃額	ŋak
Ngam	唅巖	ŋam
Ngan	銀眼	ŋan
Ngang	硬	ŋaŋ
Ngap	口挾	ŋap
Ngat	齧	ŋat
Ngau	肴	ŋau
Ngei	議	ŋei
Ngeiêk	弱	ŋeiɐk
Ngeiêng	攘	ŋeiɐŋ
Ngen,ngǐng	然迎	ŋen/ŋɪŋ
Ngep	…	ŋep
Nget,ngǐk	熱抑蠲/鷁	ŋet/ŋɪk
Ngeu	牛	ŋeu
Ngi	耳	ŋi
Ngiau	嬈柔	ŋiau
Ngiê	惹	ŋiɐ
Ngiêk	瘧	ŋiɐk
Ngiêm	嚴	ŋiɐm
Ngiêp	業	ŋiɐp
Ngim	飲苒	ŋim
Ngin	人	ŋin
Ngip	卄	ŋip
Ngit	日	ŋit
Ngoê	我	ŋoɐ
Ngoên	岸閏	ŋoɐn
Ngoêt	*	ŋoɐt
Ngoi	外	ŋoi
Ngok	嶽	ŋok
Ngong	𧆐	ŋoŋ
Ngui	魚	ŋui
Nguk	玉	ŋuk
Ngun	言玩源	ŋun
Ngung	濃絨	ŋuŋ
Ngut	月	ŋut
Niau	鳥	niau
Niêk	*	niɐk
Niêm	念	niɐm
Niêng	娘	niɐŋ
Niêp	涅	niɐ
Nip	湆	nip
Nit	奀	nit
Niu	鈕	niu
Noê	懦	noɐ
Noên	煖	noɐn
Noi	耐	noi
Nok	諾	nok
Nong	曩	noŋ
Nou	怒	nou
Nui	女內	nui
Nuk	忸	nuk
Nun	嫩	nun
Nung	農	nuŋ
Nut	訥	nut
O		
Oê	柯多	ʔoɐ
Oên	安端	ʔoɐn
Oêt	奪	ʔoɐt
Oi	哎代	ʔoi
Ok	惡鐸	ʔok
Ök	琢	ʔœk
Ong	盎當	ʔoŋ
Ou	都	ʔou
P		
Pa	巴	pa
P'a	怕	pʰa
Pai	閉拜	pai
P'ai	批派	pʰai
Pak	北百	pak
P'ak	珀	pʰak
Pan	班	pan
P'an	攀	pʰan
Pang	崩	paŋ
P'ang	朋彭	pʰaŋ
Pat	八	pat
P'at	*	pʰat
Pau	飽保	pau
P'au	剖跑抱	pʰau
Pe	*	pe
Pei	卑	pei
P'ei	披	pʰei
Peiê	*	peiɐ
P'ei	ê跛疲	pheiɐ
Pem	*	pem
P'em	*	pʰem
Pen,pǐng	邊兵	pen/pɪŋ
P'en,p'ǐng	徧聘	pʰen/pʰɪŋ
Pet,pǐk	偪必	pet/pɪk
P'et,p'ǐk	辟蹩	pʰet/pʰɪk
Peu	*	peu
P'eu	*	pʰeu
Pi	*	pi
P'i	*	pʰi
Piau	標表	piau
P'iau	票	pʰiau
Piêk	壁	piɐk
P'iêk	劈	pʰiɐk
Piêng	餅病	piɐŋ
P'iêng	瓶平	pʰiɐŋ
Piêt	鱉	piɐt
P'iêt	撇	pʰiɐt
Pin	品	pin
P'in	貧	pʰin
Pit	畢拂	pit
P'it	疋	pʰit
Poê	波	poɐ
P'oê	破	pʰoɐ
Poên	本	poɐn
P'oên	判	pʰoɐn
Poêt	勃	poɐt
P'oêt	潑	pʰoɐt
Poi	貝	poi
P'oi	沛	pʰoi
Pok	博	pok
P'ok	樸	pʰok
Pong	邦	poŋ
P'ong	謗	pʰoŋ
Pou	布	pou
P'ou	普	pʰou
Puk	卜	puk
P'uk	蹼	pʰuk
Pun	笨	pun
P'un	盆	pʰun
Pung	捧	puŋ
P'ung	篷	pʰuŋ
Put	不	put
P'ut	*	pʰut
S		
Sha	沙	ʃa
Shai	世晒	ʃai
Shak	索	ʃak
Sham	衫	ʃam
Shan	山	ʃan
Shang	生省覡	ʃaŋ
Shap	烚霎	ʃap
Shat	殺	ʃat
Shau	梢廋	ʃau
Sheiêk	汋杓	ʃeiɐk
Sheiêng	商	ʃeiɐŋ
Shem	森	ʃem
Shen,shing	成升	ʃeb/ʃɪŋ
Shet,shik	適食	ʃet/ʃɪk
Sheu	瘦	ʃeu
Shi	詩書	ʃi
Shiau	少	ʃiu
Shiê	赦	ʃiɐ
Shiêk	石	ʃiɐk
Shiêm	閃	ʂm
Shiên	善	ʃiɐn
Shiêng	聲城	ʃiɐŋ
Shiêp	涉	ʃiɐp
Shiêt	舌	ʃiɐt
Shim	審	ʃim
Shin	身	ʃin
Ship	十	ʃip
Shit	失	ʃit
Shiu	守	ʃiu
Shoê	所	ʃoɐ
Shoên	船	ʃoɐn
Shoêt	說	ʃoɐt
Shoi	駛賽	ʃoi
Shok	朔	ʃok
Shong	爽雙霜	ʃoŋ
Shou	數	ʃou
Shui	水	ʃui
Shuk	熟	ʃuk
Shun	順	ʃun
Shung	崇	ʃuŋ
Shut	術	ʃut
T		
ta	*	ta
Tai	祭	tai
T'ai	妻	tʰai
Tak	則	tak
T'ak	賊	tʰak
Tam	簪	tam
T'am	參	tʰam
Tan	贊	tan
T'an	餐	tʰan
Tang	憎	taŋ
T'ang	層	tʰaŋ
Tap	雜	tap
T'ap	*	tʰap
Tat	曱	tat
T'at	擦	tʰat
Tau	早	tau
T'au	曹	tʰau
Tei	姊	tei
T'ei	臍	tʰei
Teiê	借	teiɐ
T'eiê	邪灺	tʰeiɐ
Teiêk	雀斫	teiɐk
Teiêng	將	teiɐŋ
T'eiêng	詳	tʰeiɐŋ
Tem	泵	tem
T'em	*	tʰem
Ten,tĭng	煎精	ten/tɪŋ
T'en,t'ĭng	千靑	tʰen/tʰɪŋ
Tep	*	tep
T'ep	*	tʰep
Tet,tĭk	節卽	tet/tɪk
T'et,t'ĭk	切戚	tʰet/tʰɪk
Teu	走	teu
T'eu	湊	tʰeu
Ti	*	ti
Tiau	剿	tiau
T'iau	峭	tʰiau
Tiêk	蓆	tiɐk
T'iêk	瘌	tʰiɐk
Tiêm	尖	tiɐm
T'iêm	僉	tʰiɐm
Tiên	箋	tiɐn
Tiêng	井	tiɐŋ
T'iêng	請	tʰiɐŋ
Tiêp	捷	tiɐp
T'iêp	妾	tʰiɐp
Tiêt	*	tiɐt
Tim	浸	tim
T'im	寢	tʰim
Tin	進盡	tin
T'in	親	tʰin
Tip	習	tip
T'ip	緝	tʰip
Tit	疾	tit
T'it	七	tʰit
Tiu	酒	tiu
T'iu	秋	tʰiu
Tl	子訾	tl
Toê	左	toɐ
T'oê	傞	tʰoɐ
Toên	鑽	toɐn
T'oên	爨	tʰoɐn
Toêt	啐	toɐt
T'oêt	猝	tʰoɐt
Toi	宰仔	toi
T'oi	財	tʰoi
Tok	作	tok
T'ok	錯	tʰok
Tong	臧	toŋ
T'ong	倉	tʰoŋ
Tou	租	tou
T'ou	粗	tʰoi
Tui	聚罪	tui
T'ui	取	tʰui
Tuk	足	tuk
T'uk	速	tʰuk
Tun	樽尊	tun
T'un	旬全	thun
Tung	總	tuŋ
T'ung	聰	tʰuŋ
Tut	卒絕	tut
T'ut	*	tʰut
U		
Ui	對	ʔui
Uk	督	ʔuk
Un	敦	ʔun
Ung	東	ʔuŋ
Ut	突	ʔut
W		
Wa	話	wa
Wai	懷	wai
Wak	或域	wak
Wan	患	wan
Wang	橫	waŋ
Wat	滑	wat
Wau	吼	wau
Wei	戚(威)	wei
Weiê	*	weiɐ
Wen,wĭng	榮	wen/wɪŋ
Wet,wĭk	役疫	wet/wɪk
Woê	禾	woɐ
Woên	碗	woɐn
Woêt	活	woɐt
Woi,wui	偎	woi/wui
Wok	鑊	wok
Wong	黃	woŋ
Wu	烏	wu
Wun	温	wun
Wut	核	wut
Y		
Ya	也	ja
Yai	曳	jai
Yap	*	jap
Yeiêk	約	jeiɐk
Yeiêng	央	jeiɐŋ
Yi	衣	ji
Yiau	要	jiau
Yiê	野	jiɐ
Yiêk	*	jiɐk
Yiêm	淹	jiɐm
Yiên	烟	jiɐn
Yiêng	贏	jiɐŋ
Yiêp	葉	jiɐp
Yiêt	謁	jiɐt
Yĭk,yet	益	jɪk/jet
Yim	音	jim
Yin	因	jin
Yĭng,yen	英	jɪŋ/jen
Yip	入	jip
Yit	一	jit
Yiu	有	jiu
Yoên	完	joɐn
Yoêt	穴	joɐt
Yui	裔	jui
Yuk	育	juk
Yun	勻	jun
Yung	用	juŋ
