#a
p[32]巴芭疤笆[21]爸爬琵耙耙[55]把霸坝
ȵ[21]牛
ʃ[32]收受寿授售[21]仇酬[33]手首守[55]瘦兽
k[32]勾钩沟纠[21]囚求球[33]狗苟九久韭灸臼舅[55]够构救究柩
kʰ[32]抠[55]购叩扣寇
ŋ[33]藕偶
x[32]耗浩后候[21]侯喉猴[33]好口吼厚[55]好
ʔ[32]欧鸥殴[33]呕[55]怄
j[32]丘休朽优忧又右祐悠诱柚幽[21]柔揉尤邮由油游犹[33]有友酉[55]嗅幼
#ɛu
m[55]猫
ʃ[55]俏
k[32]胶
ʔ[32]叫
#əu
m[33]某亩牡
t[32]都
#iu
p[32]标[21]瓢嫖鳔彪[33]表婊
pʰ[32]飘漂[55]漂票
m[32]苗妙谬[21]苗描[33]藐渺秒
t[32]刁貂雕掉调[21]条调[55]钓吊
tʰ[32]挑[55]跳
n[32]尿[33]鸟
ɬ[32]宵霄硝销逍萧箫[33]悄小[55]笑
l[32]撩料廖[21]燎疗聊辽嘹瞭獠[33]了
tʃ[32]焦蕉椒朝赵兆肇召昭招[21]朝潮[55]照
tʃʰ[32]超
ʃ[32]韶绍烧邵[33]少[55]少
k[32]骄娇轿[21]乔侨桥荞[33]缴
kʰ[33]巧[55]窍
x[32]嚣[33]侥
j[32]绕妖邀腰要耀[21]饶摇谣窑姚遥舀尧[33]扰晓[55]要
#uei
m[33]每
ɬ[32]虽[55]岁穗
l[32]擂类泪[21]擂[33]屡儡累
tʃ[32]追坠锥[21]随槌锤[33]嘴[55]醉最
tʃʰ[32]吹炊[55]脆翠粹
ʃ[32]睡隧衰[21]髓谁[33]水[55]瑞税说帅
x[32]贿
#am
t[32]耽担[21]潭谭谈痰[33]胆[55]担
tʰ[32]贪
n[21]男南
ɬ[32]三
l[32]蓝篮
tʃ[32]簪[33]斩
tʃʰ[32]杉搀
ʃ[32]衫
k[32]甘柑橄尴监[33]感敢减[55]鉴
ŋ[21]癌岩
x[21]含函咸衔
ʔ[55]暗鹌
#ɑm
t[32]淡
tʰ[55]探
l[33]览揽榄缆
tʃ[32]暂站
tʃʰ[33]惨
kʰ[32]勘[33]砍
x[32]陷
#ɐm
ɬ[32]心
l[32]林淋临
tʃ[32]砧针斟[21]寻沉[33]枕[55]浸
tʃʰ[32]侵[33]寝
ȵ[33]饮
ʃ[32]森参深甚[33]沈审婶
k[32]今金[21]琴禽擒[33]锦[55]禁
kʰ[21]岑[33]妗
x[32]钦
j[32]音阴荫[21]吟淫
#ɛm
t[33]点
l[33]舔
k[21]钳
x[55]喊
#im
t[32]掂垫淀[21]甜[33]典[55]店
tʰ[32]添
n[32]验
l[32]帘[21]廉镰[33]敛殓
tʃ[32]尖渐沾瞻毡[55]占
tʃʰ[32]歼迁签
ʃ[21]潜禅[33]陕闪
k[32]兼[33]检俭柬拣[55]剑舰
x[32]谦[33]险[55]欠歉
j[32]淹阉腌[21]炎盐严嫌[33]染掩演[55]厌
#an
p[32]班斑颁[33]板扳版
pʰ[32]攀
m[21]蛮
f[32]藩帆翻番[21]凡烦繁矾[33]反返[55]泛范贩
t[32]丹单[21]檀坛弹[55]旦诞
tʰ[32]滩摊瘫
n[21]难
ɬ[32]散[55]伞散
l[32]兰拦栏
tʃ[21]蚕惭谗馋残[33]盏[55]赞
tʃʰ[32]参餐
ʃ[32]珊山删拴[21]诞[55]疝
k[32]干肝竿杆艰间奸[33]碱赶简[55]间
ŋ[21]颜
x[21]寒韩闲
ku[32]关[55]惯
ʔ[32]庵安鞍[55]按晏
w[32]弯湾[21]顽还环
#ɑn
p[32]扮瓣办
pʰ[55]盼
m[32]慢慢漫万蔓曼[33]晚挽
f[32]犯饭
t[32]但弹蛋
tʰ[33]毯坦[55]炭叹
n[21]难
l[32]滥烂[33]懒
tʃ[32]赚
tʃʰ[33]铲产[55]灿
ȵ[33]眼
ŋ[32]岸
x[32]撼憾汉旱汗焊翰限苋[33]罕[55]刊看
j[33]颖
w[32]幻患宦[33]玩
#ɐn
p[32]宾槟奔笨冰兵[21]贫频平坪评苹瓶屏萍[33]禀丙秉[55]殡鬓柄并
pʰ[33]品[55]喷
m[32]闽问命[21]民文纹蚊闻鸣明名铭冥[33]悯敏抿吻刎皿
f[32]分吩芬纷分[21]焚坟[33]粉奋[55]粪训
t[32]蹲敦墩盾遁丁钉[21]屯豚臀囤亭停廷庭蜓[33]顶鼎[55]顿钉
tʰ[32]吞钝厅
n[21]宁
ɬ[32]辛新薪荀殉星腥猩馨[21]旬循巡[33]笋省醒[55]信讯衅迅舜性姓
l[32]论[21]邻鳞磷伦轮陵凌菱绫灵零铃翎龄
tʃ[32]津尽珍阵真徵蒸晶精晴贞侦正征[21]澄秦陈尘惩澄情晴呈程[33]攒诊疹准準拯井整[55]靖进晋镇振震俊骏证症正政
tʃʰ[32]亲春鹑称清青蜻[33]蠢[55]亲趁衬
ȵ[32]壬任刃认韧[21]人仁[33]忍
ʃ[32]身申伸娠肾慎顺升[21]神晨辰臣唇纯醇乘绳承丞成城诚[55]胜圣
k[32]跟根巾斤筋京荆惊鲸经[21]勤芹琼[33]紧仅谨近境景警颈[55]劲敬竟镜竞劲径
kʰ[32]倾[33]顷
ŋ[32]案[21]银凝迎盈萤莹
x[32]兴卿轻[21]痕赢形型刑[55]兴
ku[32]君军[21]群裙[33]滚[55]棍郡
kʰu[32]昆崑坤均钧[33]菌[55]困
ʔ[32]恩因姻应鹰蝇莺鹦樱英婴缨[33]影映[55]印应
j[32]寅欣殷[33]引尹
w[32]婚浑混温瘟熏薰荤酝韵运晕兄[21]昏魂馄匀云耘营[33]稳
#ən
p[32]病
pʰ[55]聘拼
f[32]份[33]愤
t[32]订定
tʰ[33]艇挺[55]听
l[32]令另[33]岭领
tʃ[32]尽静净[21]郑
tʃʰ[32]川穿[33]请[55]称秤
ȵ[32]润闰孕
ʃ[32]剩[55]塍
x[32]恨[33]垦恳很[55]庆
j[33]隐
w[33]永泳咏
#ɛn
p[33]贬扁匾辫
n[33]撵捏
k[33]茧
#on
p[32]本
n[32]嫩
ɬ[32]孙[33]损[55]逊
l[21]鸾銮
tʃ[32]遵尊[21]存[55]钻
tʃʰ[32]村[55]串篡寸
#in
p[32]鞭编辨辩便边蝙遍[21]便[55]变
pʰ[32]篇偏[55]骗片
m[32]面[21]棉绵眠[33]勉勉娩缅
t[32]颠癫电殿[21]田填
n[32]念[21]年
ɬ[32]仙鲜先宣旋喧[21]旋[33]癣选[55]线
l[32]练鍊炼楝恋[21]连联鲢怜莲
tʃ[32]煎贱践篆专砖[21]溅钱缠前全泉传[33]剪展转[55]箭战颤荐传传
tʃʰ[32]千[33]喘浅
ʃ[32]善鳝膳[21]禅船[55]扇
k[32]件键健腱肩坚倦捐鹃[21]乾虔拳权颧[55]建见
ŋ[32]绢[33]软捲卷[55]眷
x[32]轩掀宪献牵圈[33]遣显犬[55]羡劝券
j[32]谚焉砚现烟姻胭院愿冤鸳县渊[21]阎檐然燃延筵言研贤弦完丸圆员缘沿铅元原源袁辕园援猿玄悬[33]阮宛婉远[55]艳焰燕宴怨
#un
p[32]般搬伴拌[21]盘盆[55]半绊
pʰ[32]潘[55]判叛
m[32]闷[21]瞒门[33]满
t[32]端段缎[21]团[33]断
n[32]暖
ɬ[32]酸[55]算蒜
l[32]乱[33]卵
k[32]官棺观冠[33]管馆[55]贯灌罐观冠
kʰ[33]款
x[32]欢宽
ʔ[32]唤焕换[33]豌碗腕
#aŋ
p[32]帮邦傍[21]旁螃庞[33]膀榜绑
m[32]芒[21]忙茫氓
t[32]当铛裆[21]堂棠螳唐糖塘[33]党挡档[55]当
tʰ[32]汤
n[21]囊
ɬ[32]桑丧[33]嗓[55]丧
l[32]郎廊狼螂榔
tʃ[32]赃脏藏脏庄装妆桩[55]葬壮
tʃʰ[32]仓苍舱疮窗
ʃ[21]床[33]爽
k[32]冈刚纲钢缸江[21]扛[33]岗讲港[55]钢杠降
kʰ[32]康
x[32]糠慷[21]行航杭降
ku[32]筐
kʰu[32]匡筐眶框
#ɑŋ
p[32]谤棒
m[33]莽蟒猛
t[21]荡宕
tʰ[33]躺[55]烫趟
l[32]浪[33]朗
tʃ[32]藏状
tʃʰ[33]闯厂敞橙[55]创
ʃ[32]上尚
kʰ[55]抗
ŋ[33]昂
x[32]项巷
kʰu[55]旷况矿
#ɐŋ
p[32]崩绷[21]朋鹏凭彭膨棚蓬
m[21]萌盟
t[32]登灯[21]腾藤疼[33]等[55]凳
n[21]能
ɬ[32]僧
l[32]棱
tʃ[32]增憎赠筝睁[21]曾层
ʃ[32]声
k[55]更
kʰ[32]坑[33]梗
x[21]衡[55]杏
#əŋ
t[32]邓
x[32]幸[33]肯
#ɛŋ
p[33]饼
m[32]孟[21]盲
n[32]酿[21]娘
ɬ[32]箱相厢湘湘镶霜孀[33]想[55]相
l[32]亮谅辆量[21]良凉量粮梁粱[33]两
tʃ[32]争将浆匠象像橡张丈章樟[21]墙详祥翔长肠场[33]蒋奖桨长涨掌[55]酱将帐账胀仗障
tʃʰ[32]撑枪昌[33]逞抢[55]畅唱倡
ʃ[32]生牲笙甥商伤常[21]尝裳偿[33]省赏
k[32]更庚羹耕疆僵薑缰姜羌[21]强
kʰ[32]腔
ŋ[32]硬[33]仰
x[32]香乡[21]行[33]享响[55]向
j[32]央秧殃鸯恙样让[21]羊洋样杨阳扬疡[33]养痒壤攘嚷
w[21]横
#oŋ
p[21]篷
pʰ[33]捧[55]碰
m[32]忘旺梦[21]亡蒙[33]懵
f[32]风枫疯丰封峰蜂锋缝奉[21]冯逢[33]讽
t[32]东栋动洞冬[21]同铜桐筒童瞳[33]董懂[55]冻
tʰ[32]通[33]桶捅统[55]痛
n[21]农脓侬浓
ɬ[32]松[33]怂耸[55]送宋
l[32]弄窿[21]笼聋胧隆龙[33]拢陇垄
tʃ[32]棕总宗综中忠衷仲终踪纵从诵颂讼钟锺盅[21]丛虫崇从重[33]重种肿[55]粽中种众纵
tʃʰ[32]聪匆葱囱冲充舂[33]宠
k[32]公蚣工功攻弓躬宫恭龚共[21]狂穷[33]拱巩[55]贡供
kʰ[33]孔
x[32]轰空烘哄胸匈凶[21]弘宏红洪鸿虹[33]控恐[55]空
ʔ[32]翁[21]黄簧皇蝗凰隍蟥王
j[32]臃拥庸用[21]荣戎绒熊雄融茸容蓉鎔溶榕熔[33]勇涌恿踊
w[33]枉往
#uŋ
m[32]妄望[33]网
f[32]凤方肪坊芳[21]妨房防缝[33]纺仿访[55]放
tʃ[32]撞
ʃ[32]双
k[32]光胱[33]广
x[32]荒慌
ʔ[32]汪
#ap
t[4]答搭
tʃʰ[4]眨
k[4]蛤鸽甲
ʔ[4]鸭
#ɑp
t[2]沓
tʰ[4]塔
n[2]纳
l[4]腊蜡
tʃ[2]杂闸
tʃʰ[4]插
k[2]夹峡
x[2]合盒狭

#ɐp
t[2]踏
n[4]粒
l[4]立笠
tʃ[4]执汁[2]集习袭
tʃʰ[4]缉[2]辑
ȵ[4]入
ʃ[4]湿[2]十什拾
k[4]急[2]及
kʰ[4]级给吸
x[2]匣
#ɛp
n[4]镊
#ip
t[2]叠碟蝶谍秩
tʰ[4]帖贴
n[2]聂
tʃ[4]接
tʃʰ[4]妾
ȵ[4]业
ʃ[4]摄涉
kʰ[4]劫
x[4]叶页胁协挟
j[4]腌
#at
p[4]八壁
f[4]法发
n[2]捺
ɬ[4]撒萨
tʃ[4]扎札紮绩
tʃʰ[2]质疾侄寂
ʃ[4]杀刷
k[4]割葛
x[4]乞吃
ku[4]刮
kʰu[4]括
ʔ[4]押压轧
j[2]逸
#ɑt
p[2]拔
m[4]抹袜
f[2]乏伐筏罚阀
t[2]达
tʰ[4]榻塌遢
l[4]辣
tʃ[4]察
tʃʰ[4]擦
x[4]喝渴[2]辖
w[2]滑猾
#ɐt
p[4]笔毕必逼碧壁僻
pʰ[4]匹[2]辟
m[4]密蜜物
t[4]滴嫡[2]突
ɬ[4]悉膝戌恤率息熄媳惜昔析[2]术述
tʃ[4]质卒即鲫积迹脊[2]织职
tʃʰ[4]七漆
ȵ[4]日
ʃ[4]虱失室识式适释[2]实
k[4]吉击激
ku[4]掘骨
ʔ[4]疫役一益
w[4]窟[2]屈
#ət
p[2]鼻
pʰ[4]劈霹
f[2]佛
t[2]笛敌狄
tʰ[4]踢剔
n[2]匿逆溺
l[4]栗律率力历
tʃ[2]直值殖植籍席
tʃʰ[4]厕出斥尺戚
ȵ[4]译
ʃ[2]舌食蚀石
k[4]剧[2]极
x[4]核
#ɛt
k[2]隔
w[4]挖
#it
p[4]憋[2]别
pʰ[4]撇
m[4]灭篾
t[4]跌
tʰ[4]铁
ɬ[4]薛泄屑雪
l[4]猎列烈裂劣
tʃ[4]洁哲折浙节[2]截绝
tʃʰ[4]彻撤澈设切窃
ȵ[4]热月
ʃ[2]折说
k[4]揭结洁[2]杰
kʰ[4]决诀缺
x[4]蝎
j[4]曰血穴乙[2]越粤
#ut
p[2]拨勃
pʰ[4]泼
m[4]末没[2]沫
t[2]夺
tʰ[4]脱
x[4]阔
ʔ[2]活
#ak
p[4]剥
ɬ[4]索朔
l[4]肋
tʃ[4]作择
ȵ[4]岳
ʃ[4]饰
k[4]各阁搁角格
ŋ[2]额
ʔ[4]恶
#ɑk
tʰ[4]託托
l[4]落烙骆洛络乐
tʃ[2]凿
kʰ[4]确
ŋ[4]鄂
x[4]壳[2]学
w[4]画获划[2]惑或
#ɐk
p[4]北
t[2]得德特
ɬ[2]塞
tʃ[4]则
tʃʰ[4]侧测
ʃ[4]色
ŋ[4]握
#ək
m[4]墨默
l[4]勒
tʃʰ[4]贼
x[4]刻克黑
#ɛk
p[4]泊[2]泊
pʰ[4]帕迫拍魄
m[4]陌麦脉
t[4]的
n[4]虐疟
ɬ[4]削硕
l[4]略掠
tʃ[4]宅泽窄责爵雀[2]着
tʃʰ[4]拆策册鹊
ȵ[4]弱
k[4]革脚
kʰ[4]觉却
ŋ[4]沃
x[4]鹤客吓
j[4]翼若[2]悦阅药跃液
#ek
p[4]百柏伯[2]白
tʃ[2]只
j[4]忆亿抑
#ok
p[4]驳
pʰ[4]扑
m[4]莫膜幕寞木目牧睦
f[4]福幅蝠腹辐复[2]服伏
t[4]啄督[2]独读毒
ɬ[4]塑肃宿粟
l[4]鹿禄六陆绿录赂
tʃ[4]桌竹祝粥足烛瞩[2]族逐轴续
tʃʰ[4]镯速筑畜蓄促触束
ȵ[4]肉辱褥玉狱浴欲
ʃ[4]缩叔[2]熟淑孰塾俗赎蜀属
k[4]郭毂谷菊鞠[2]局
kʰ[4]霍藿曲
x[4]哭
ʔ[2]屋
#uk
p[4]博[2]薄
pʰ[4]朴
f[4]缚
tʃ[4]琢捉[2]浊
k[4]国
kʰ[4]廓扩
#ŋ
∅[32]误悟[21]蜈梧吴[33]五伍午
