#ɿ
p[31]屄[24]彼鄙比[53]篦闭避弊毙
kʰ[31]科棵颗{一颗珠}[24]可[53]课
x[31]□{巴结；扇人耳光}[45]河何荷和{和气}禾[24]火伙[53]贺货祸和{和面}
∅[31]莴窝蜗倭屙[45]蛾鹅俄讹□{~人，欺负人}[24]我[53]饿卧

#ʊ
t[31]都兜[24]斗{漏斗}抖陡[53]斗{斗争}豆逗痘
tʰ[31]偷[45]头投[53]透
l[31]搂[45]楼[24]篓搂[53]漏陋
ts[31]诌邹[24]走[53]奏皱绉骤
tsʰ[31]揶搊[45]愁瞅[53]凑嗽
s[31]搜飕馊[24]叟[53]瘦
tʂ[31]周舟州洲[24]肘帚[53]昼纣宙咒
tʂʰ[31]抽[45]绸稠筹仇酬[24]丑[53]臭
ʂ[31]收[24]手首守[53]兽受寿授售
ʐ[45]柔揉[53]肉
k[31]勾钩沟[24]狗苟枸{枸杞}[53]够构购
kʰ[31]抠躯[24]口[53]叩扣寇蔻
x[31]齁{味道太甜或太咸}[45]侯猴喉瘊[24]吼候{候人}[53]后厚候{时候}
∅[31]欧[24]藕偶呕殴[53]沤怄

#iʊ
t[31]丢{丢人}
n[31]□{抵消}[45]牛[24]纽扭[53]拗{拗不过}
l[31]溜遛[45]流刘留硫琉瘤[24]柳[53]榴馏
tɕ[31]阄纠灸咎柩揪[24]酒九久韭[53]就救究臼舅旧
tɕʰ[31]秋丘邱[45]囚泅鸠求球仇{姓}[24]鳅{泥鳅}
ɕ[31]修羞休[24]朽[53]秀绣锈袖
∅[31]忧优悠幽[45]尤邮由油游犹[24]有友酉[53]又右佑诱柚鼬釉幼

#ɘ
p[31]杯碑卑婢悲[53]贝辈背倍焙臂被备蔽敝
pʰ[31]胚[45]培陪赔裴[53]沛配佩
m[45]梅枚媒煤眉楣霉莓[24]每美[53]妹昧媚寐
f[31]非飞妃菲霏[45]肥[24]匪翡[53]废肺吠痱费
t[31]堆[24]□{抵消}[53]对碓队兑
tʰ[31]推[24]腿[53]退蜕褪
n[53]内
l[45]雷[24]儡垒磊[53]累类泪
ts[45]贼[24]嘴[53]最罪醉
tsʰ[31]催崔[53]脆翠粹
s[31]虽尿[45]髓随遂隧□{吆喝，指使}隋[53]碎岁穗荽{芫荽}祟{鬼鬼祟祟}
tʂ[31]遮蜘{蜘蛛}
tʂʰ[31]车[24]扯
ʂ[31]赊奢[45]蛇谁[24]舍{舍不得}[53]社舍{宿舍}射
ʐ[24]惹
k[24]给

#uɘ
tʂ[31]追锥[53]缀赘坠
tʂʰ[31]吹炊[45]垂槌锤
ʂ[24]水[53]税睡
ʐ[53]芮锐蕊瑞
k[31]闺规龟归[45]轨癸[24]傀诡鬼[53]桂跪柜贵
kʰ[31]盔亏[45]魁奎逵葵[53]溃窥愧
x[31]恢灰麾挥辉徽[45]回茴[24]悔毁[53]贿晦汇会绘惠慧秽讳烩
∅[31]桅煨威[45]危为维惟唯微围纬[24]伪萎委伟苇尾{末尾}[53]卫为位未味魏畏慰胃谓猬喂

#iɪ̃
p[31]鞭编边蝙[24]贬扁匾[53]辨辩变汴便{方便}遍{一遍，遍地}辫
pʰ[31]篇偏[45]便{便宜}[53]骗片
m[45]绵棉眠[24]免勉娩[53]面
t[31]掂颠[24]点典碘[53]店电殿奠佃垫
tʰ[31]添天[45]甜田填[24]舔
n[31]拈[45]黏鲇年[24]碾辇撵捻{以指捻碎}[53]念
l[45]廉镰簾连联怜莲帘[24]脸[53]敛殓练炼楝恋
tɕ[31]监尖歼兼艰间奸涧锏煎犍肩坚[24]减碱检俭简柬拣剪茧[53]鉴舰渐剑践件箭溅贱饯建键健笺荐见
tɕʰ[31]签谦迁千牵铅纤[45]潜钳钱乾虔前[24]浅遣[53]欠歉倩
ɕ[31]掀先[45]咸衔嫌闲涎贤弦[24]险显[53]陷馅限苋线羡宪献现县
∅[31]淹腌焉烟蔫[45]岩炎严盐阎檐颜延筵言研沿闫芫{芫荽}[24]眼演掩[53]验魇厌艳焰雁谚堰砚燕咽宴

#yɪ̃
tɕ[31]绢捐娟鹃[24]卷{卷起}[53]眷卷{试卷}圈{猪圈}倦
tɕʰ[31]圈{圆圈}[45]全泉拳权颧蜷[24]犬[53]劝券
ɕ[31]仙鲜轩宣喧靴[45]旋{旋转}玄悬□{小孩子顽皮}[24]癣选[53]旋{旋吃旋做}镟漩楦{鞋楦}
∅[31]冤渊[45]圆员缘元原源袁辕园援[24]远[53]院愿苑怨

#æ̃
p[31]班斑颁扳般搬[24]板版□{扔掉}[53]扮瓣办伴拌半
pʰ[31]攀潘[45]盘[53]盼襻绊判叛
m[45]蛮瞒馒{馒头}[24]满[53]慢漫幔
f[31]帆翻番[45]凡烦藩矾繁[24]反返[53]泛范犯贩饭
t[31]耽担丹单[24]胆掸[53]淡担诞旦但弹{炸弹}
tʰ[31]贪坍滩摊瘫叹[45]潭谭谈痰檀坛弹{弹琴}[24]毯坦[53]探炭
n[45]南男难{难易}[53]难{患难}
l[45]蓝篮兰拦栏[24]溇览揽榄缆懒[53]滥烂
ts[31]簪[45]□{漂亮}[24]攒□好{~了：什么时候}[53]赞□{撞}
tsʰ[31]参餐[45]蚕惭残[24]惨[53]灿
s[31]三[24]散{鞋带散了}伞[53]散{分散}
tʂ[31]沾粘毡[24]斩盏展[53]站蘸占绽栈战颤暂
tʂʰ[31]搀[45]谗馋蟾缠蝉禅[24]铲产[53]忏
ʂ[31]杉衫珊山删搧膻{膻味}[24]陕闪[53]善扇膳单{姓}禅{禅让}鳝{蛐鳝}
ʐ[45]然燃[24]染冉
k[31]甘柑干{干湿}肝[24]感敢橄竿杆擀{擀面}赶[53]干{干活}
kʰ[31]堪勘看{看守}刊[24]坎砍[53]看{看见}
x[31]蚶憨[45]含函寒韩[24]喊罕[53]撼憾旱汉汗焊翰
∅[31]庵安鞍[53]暗岸按案

#uã
t[31]端[24]短[53]断锻段缎椴
tʰ[45]团
n[24]暖
l[45]鸾[24]卵[53]乱
ts[31]钻{动词}[53]钻{钻子}
tsʰ[31]汆{汆丸子}[53]窜篡
s[31]酸[53]算蒜
tʂ[31]专砖肫[24]转{转眼，转送}[53]赚撰转{转螺丝，转圆圈}篆传{传记}
tʂʰ[31]川穿[45]传{传达}船[24]喘[53]串
ʂ[31]闩栓[53]涮
ʐ[24]软阮
k[31]官棺观{参观}冠{衣冠}鳏关[24]管馆[53]贯灌罐冠{冠军}惯
kʰ[31]宽[24]款
x[31]欢[45]桓还{还原}环[24]缓[53]唤焕换幻患宦痪
∅[31]豌{豌豆}弯湾[45]完丸{肉丸}玩{古玩，游玩}顽[24]皖{安徽}剜碗腕晚挽宛[53]万

#ən
p[31]奔[24]本[53]笨
pʰ[31]喷烹[45]盆[53]喷
m[31]闷焖{焖饭}[45]门[53]闷
f[31]分芬纷[45]焚坟[24]粉[53]粪奋愤忿份
t[31]敦墩蹲登灯[24]等[53]顿饨囤盾{矛盾}钝遁凳镫邓澄{水浑，澄一澄}瞪{瞪眼}
tʰ[31]吞[45]屯臀腾謄藤疼
n[45]能[53]嫩
l[45]论{论语}仑伦沦轮[24]冷[53]论{议论}楞
ts[31]尊遵曾{姓}增争筝睁[24]怎[53]憎赠
tsʰ[31]村皴撑[45]岑存曾{曾经}层[53]衬寸蹭{磨蹭}
s[31]森参孙生牲笙甥[24]损笋榫省{省长，节省}[53]渗{水渗透}
tʂ[31]针斟珍榛臻真诊蒸贞侦正{正月}征砧{砧板}[24]枕疹拯整[53]镇阵振震证症郑正政
tʂ[31]伸称{称呼，称重量}[45]沉陈辰晨臣唇澄橙{橙子}乘承丞呈程成城诚盛{盛满了}[24]惩逞{逞能}[53]趁称{相称}秤{一杆秤}
ʂ[31]深身申升声[45]神绳[24]沈审婶[53]甚肾慎剩胜{胜任，胜败}圣盛{兴盛}
ʐ[31]扔[45]壬人仁[24]忍仍[53]任纫刃认韧
k[31]跟根更{更换}庚耕[24]哽埂梗耿[53]更{更加}
kʰ[31]坑[24]恳垦肯
x[31]亨哼[45]痕桓衡[24]很狠[53]恨
∅[31]恩

#in
p[31]彬宾殡鬓冰兵[24]禀丙秉柄饼[53]病并{合并}
pʰ[31]拼姘{姘头}[45]贫频凭平坪评瓶屏{围屏}萍[24]品
m[45]民鸣明名铭[24]闽悯敏抿皿[53]命
t[31]丁钉{钉住}叮{蚊子叮}盯[24]顶鼎[53]定订{订约}
tʰ[31]听厅汀[45]亭停廷庭蜓[24]艇挺
n[45]宁[53]佞
l[31]拎[45]林淋临邻鳞嶙陵凌菱灵零铃伶玲龄绫[24]领岭[53]赁吝令另
tɕ[31]今金襟津巾斤筋茎京荆惊鲸精晶睛经{经过，经线}[24]锦紧仅谨景警井颈[53]禁尽进晋近劲境敬竟镜竞静靖净
tɕʰ[31]侵钦浸亲卿清轻{轻重，年轻}青蜻倾顷[45]琴禽擒秦勤芹擎情晴[24]寝请[53]吣{猫吣}庆磬
ɕ[31]心辛新薪欣兴{兴旺}星腥馨[45]行{行为，品行}形型刑[24]省{反省}醒[53]信兴{高兴}杏幸性姓
∅[31]音阴荫因姻殷鹰鹦樱英婴缨[45]吟淫银寅莺迎盈赢萤营茔莹[24]饮引隐影颖[53]印应{应当，应对，响应}硬映

#uə̃
tʂ[31]肫{鸡肫}[24]准
tʂʰ[31]椿春[24]蠢
ʂ[45]纯醇[53]顺舜
ʐ[53]润闰{闰月}
k[24]滚[53]棍
kʰ[31]昆坤[24]捆[53]困
x[31]昏婚荤[45]魂馄{馄饨}浑{浑浊}[53]混{相混}□{~的：一种鱼}
∅[31]温瘟[45]文纹蚊闻[24]稳吻刎[53]问

#yn
tɕ[31]均钧菌君军[[24]郡[53]俊骏
tɕʰ[45]群裙
ɕ[31]熏勋薰[45]寻荀旬循巡殉[53]讯逊迅训驯
∅[31]晕[45]匀云芸[24]允[53]熨韵运孕

#ɑŋ
p[31]帮傍邦[24]榜绑膀[53]谤棒蚌磅
pʰ[31]□{装~}[45]滂旁螃庞[53]胖
m[45]忙芒茫盲虻氓[24]莽蟒
f[31]方芳[45]房防{妨害}[24]肪{脂肪}仿纺访[53]放
t[31]当{当时}裆铛{铃铛}[24]党挡{阻挡}[53]当{典当}荡宕
tʰ[31]汤□{试一试}[45]堂棠螳唐糖塘[24]倘躺[53]烫趟{一趟}
n[45]囊[24]攮{用刀子攮}
l[45]郎廊狼螂[24]朗[53]浪□{晾衣服}
ts[31]脏[53]葬藏脏
tsʰ[31]仓苍沧[53]□{碰，蹭}
s[31]桑丧{婚丧}[24]嗓搡[53]丧{丧失}□{厉害，有劲}
tʂ[31]张章樟[24]长{生长}涨掌[53]丈仗杖帐账胀障{保障}瘴{瘴气}
tʂʰ[31]昌[45]长{长短}肠常尝偿[24]场厂[53]畅唱倡
ʂ[31]商伤裳[24]赏[53]上尚
ʐ[45]瓤{瓜瓤}[24]壤攘嚷[53]让
k[31]冈岗刚纲钢缸肛[24]港{港口}[53]杠
kʰ[31]康糠慷[45]扛[53]抗炕
x[31]夯[45]行{行列，银行}航杭
∅[31]肮{肮脏}[45]昂

#iɑŋ
n[45]娘
l[45]良凉量{量长短}粮梁粱[24]两{几两几钱}辆[53]亮谅量{数量}
tɕ[31]将{将来}疆僵缰姜江豇{豇豆}[24]蒋浆奖桨讲[53]酱将匠犟降{下降}
tɕʰ[31]枪羌腔[45]墙详祥强{勉强}藏[24]抢[53]呛
ɕ[31]相{互相}箱厢湘襄镶香乡[45]降{投降}[24]想享响饷[53]象像橡{橡树}相{相貌}向项巷
∅[31]央秧殃鸯[45]羊洋杨阳扬疡[24]氧养痒仰[53]样□{吃多了引起反胃}

#uɑŋ
tʂ[31]庄装桩妆[53]壮状撞
tʂʰ[31]疮窗[45]床[24]闯[53]创
ʂ[31]霜孀双[24]爽
k[31]光[24]广[53]逛
kʰ[31]匡筐眶{眼眶}[45]狂桄{一桄线}[53]况旷矿
x[31]荒慌[45]黄簧皇蝗[24]谎[53]晃
∅[31]汪[45]亡芒王枉[24]网辋往[53]忘妄望旺{兴旺，火旺}

#oŋ
p[31]崩绷迸[53]蹦蚌{蚌埠}
pʰ[45]朋彭膨棚鹏篷蓬[24]捧[53]碰
m[45]萌盟蒙懵[24]猛[53]孟梦
f[31]风枫疯讽丰封峰蜂锋[45]冯逢缝{缝衣服}[53]凤奉俸缝{一条缝}
t[31]东冬[24]董懂[53]冻栋动洞
tʰ[31]通[45]同铜桐童瞳[24]筒桶统捅{捅破了}[53]痛{文读}
n[45]农脓侬浓[53]弄
l[45]聋龙隆[24]笼拢陇垄
ts[31]棕鬃{马鬃，猪鬃}宗综踪[24]总[53]粽纵{纵横，放纵}
tsʰ[31]聪匆葱囱[45]丛崇从{从容，跟从}
s[31]松嵩[24]怂{怂恿}[53]送宋诵颂讼
tʂ[31]中{当中}忠终钟盅[24]种{种类}肿[53]中{射中}仲众重{轻重}种{种树}
tʂʰ[31]充冲{冲洗}[45]虫重{重复}[24]宠[53]冲{冲劲}铳{火铳}
ʐ[45]戎绒茸[24]□{~毛}
k[31]公蚣工功攻弓躬宫恭[24]汞拱{拱手}巩[53]贡供{供不起，供养}共
kʰ[31]空{空虚}[24]孔恐[53]控空{空缺}
x[31]轰烘[45]弘宏红洪鸿虹[24]哄{哄骗}[53]哄{起哄}
∅[31]翁[53]瓮

#yŋ
tɕ[24]迥
tɕʰ[45]琼穷
ɕ[31]兄胸凶{吉凶，凶恶}[45]熊雄
∅[31]雍痈拥庸甬[45]荣融容熔蓉镕溶[24]永泳咏勇涌[53]用佣

#ʅʔ
tʂ[4]执汁侄秩质掷炙直值织职殖植这
tʂʰ[4]赤斥尺吃
ʂ[4]湿十什拾实失室食蚀识饰适释石
ʐ[4]日

#iʔ
p[4]笔毕必弼逼碧璧壁
pʰ[4]匹{一匹马}僻辟劈
m[4]密蜜觅
t[4]的{目的}滴嫡笛敌狄
tʰ[4]踢剔
n[4]逆溺{溺死}
l[4]立笠粒栗力历
tɕ[4]集辑急级及疾吉即鲫极积迹脊籍藉绩寂击激
tɕʰ[4]缉泣七漆膝迄讫乞戚
ɕ[4]习袭吸息熄媳惜昔席夕锡析
∅[4]揖乙一逸益亦译液腋

#uʔ
t[4]独读牍犊{牛犊子}督毒
tʰ[4]唾秃突
l[4]鹿禄六陆绿录
ts[4]卒足
tsʰ[4]猝族促
s[4]速肃宿缩俗续
tʂ[4]浊竹筑逐轴祝粥烛嘱
tʂʰ[4]出触畜{畜生}鼠
ʂ[4]术述叔熟{煮熟，熟悉}淑赎束蜀属
ʐ[4]入辱褥
k[4]骨国谷
kʰ[4]窟哭
x[4]忽核{桃核，杏核}或惑
∅[4]踒物勿屋沃握

#yʔ
l[4]律率{效率}
tɕ[4]橘菊局
tɕʰ[4]黢屈曲{曲折，歌曲}蛐{蛐蟮}
ɕ[4]戌恤畜{畜牧}蓄{储蓄}屑楔
∅[4]育疫役狱欲浴

#əʔ
p[4]不勃博薄泊剥北百柏伯白帛
pʰ[4]卜扑仆{倒}曝瀑
m[4]没莫膜寞木目穆陌拇
f[4]福蝠{蝙蝠}腹覆服伏复{复原}
t[4]得德
tʰ[4]特
l[4]肋勒
ts[4]则泽择{择菜，选择}宅窄摘责砸
tsʰ[4]侧测拆策册
s[4]涩瑟虱塞色啬
tʂ[4]蛰蔗哲蜇辙折浙
tʂʰ[4]彻撤澈
ʂ[4]摄涉舌设折{弄折了}
ʐ[4]热
k[4]各阁搁胳格革隔合{十合一升}鸽割葛虼{虼蚤}疙{疙瘩}
kʰ[4]磕渴壳刻克客咳
x[4]喝合盒郝鹤霍黑赫嚇{嚇一跳}核{审核，核心}骇{惊骇}
∅[4]鄂恶额

#iəʔ
p[4]别鳖憋
pʰ[4]撇{撇捺，撇开}
m[4]灭蔑篾{竹篾}
t[4]跌叠碟牒蝶谍
tʰ[4]帖贴铁
n[4]聂镊蹑孽捏虐疟
l[4]猎列烈裂劣
tɕ[4]夹甲接捷劫挟杰揭节截结洁届竭
tɕʰ[4]恰掐洽怯切
ɕ[4]胁协瞎辖歇蝎血谐
∅[4]鸭押压叶页业噎{噎住了}

#yəʔ
l[4]略掠
tɕ[4]绝厥掘决诀倔爵脚镢觉{知觉}角□{骂}
tɕʰ[4]缺雀鹊却搉{击，搉算}确
ɕ[4]薛雪穴削学
∅[4]悦阅月越曰粤约药钥岳乐{音乐}

#ɐʔ
p[4]八钵拨钹剥驳叭{喇叭}
pʰ[4]泼泊迫拍魄
m[4]末沫抹麦脉墨默
f[4]法乏发伐筏罚
t[4]答搭沓达
tʰ[4]踏榻塌塔
n[4]纳钠捺
l[4]腊蜡辣
ts[4]杂
tsʰ[4]擦
s[4]撒萨
tʂ[4]闸炸札扎铡
tʂʰ[4]插察
ʂ[4]杀

#uɐʔ
t[4]夺铎踱
tʰ[4]脱托
n[4]诺若
l[4]落烙骆洛络乐{快乐}
ts[4]撮{一撮米}作凿
s[4]索□{吸}
tʂ[4]桌卓琢啄涿{涿县，涿鹿}捉镯{镯子}着{睡着}
tʂʰ[4]绰焯戳
ʂ[4]刷说勺朔
ʐ[4]若弱
k[4]刮郭聒{聒噪}
kʰ[4]括阔扩廓
x[4]豁{豁口}活滑猾{狡猾}获
∅[4]袜
