#ɿ
ts[1]资姿咨兹滋租组[3]子仔籽紫阻祖
f[2]怀淮槐[3]坏
v[1]歪[2]倄（痛呼：～~掉，大声呼叫）[3]𨂿抁（播撒）
t[1]低[3]底抵（唔~：不值）[5]带戴
tʰ[1]弟娣[2]啼蹄[3]大[5]太态泰剃替
n[1]乃奶[2]泥[3]耐[5]𦤧（脏）
l[1]拉[2]犁黎邌（耷~：疲乏、无精打采）濑（~尿）[3]赖荔（~果：荔枝）[5]𠠍（直割：～一刀）俪（~哩：儿子）
ts[1]灾斋栽哉[3]仔崽宰[5]再债
tsʰ[1]猜钗差搓（~粄：揉搓糯米粉）[2]柴裁踩[3]采彩在塞[5]蔡
s[1]筛[2]豺㾹（饿极）[3]徙玺[5]晒塞
k[1]鸡街皆阶乖絯（~裤头带：系裤带）繫（裤头带：系裤带）[2]介（~只：那只）[3]解（~散）拐𧊅[5]介（~绍）界届芥疥尬戒刏（~玻璃）解（押~：～到劳改场）
kʰ[1]揩楷㧡（挑担）[3]概漑慨凯[5]快筷块会会（~计）
ŋ[2]捱涯崖𠊎（第一人称代词）[5]顡（瘾大、痴迷：十分~打麻将）
h[1]奚溪□（乱：乱～～）[2]孩鞋偕谐[3]蟹懈解（姓）械骇
∅[1]埃挨[3]矮[5]隘䬵（打~啄：打嗝）
#oi
p[3]㤳（依靠）䟺（脚~：脚嵗）[5]背（~部）
pʰ[1]胚坯[2]赔[3]吠背（~书）
m[1]霉[2]媒煤梅枚玫脢（腰~肉）麼（吊~：尘吊）[5]妹
f[1]灰恢
v[1]煨（~番薯）[3]会（~电脑：懂电脑；好~：很行）
t[1]堆搥（掷）䭔（煎~）哆（叹词：阿㜷~：妈呀）蹪（跌跤）[3]等（齐集、集中：来个货单忒~怕做唔掣）[5]碓对（~门）
tʰ[1]胎梯推（～三~四）[2]台抬苔[3]代袋贷待[5]蜕（~皮）毻（鸡~毛）
l[2]来莱[5]赉（削去枝节）籁（狗~：狗洞）
ts[1]脧（男阴）[5]载
tsʰ[1]在（~哪里）[2]才材财裁（分切）[3]睬（唔使~佢：不用理睬他）□（一小段）[5]菜
s[1]衰腮鰓[5]赛
tʃ[5]啜（嘴巴）
tʃʰ[2]㿃（大疮）
ʃ[3]睡[5]税说（~服）
k[1]胲（下颌）该赅[3]改[5]丐钙盖
kʰ[1]开[3]𣧼（疲倦）□（疲倦）
ŋ[2]呆[3]外碍
h[2]㾂（痒）[3]亥海[5]嗨（叹词）
∅[1]哀𡟓（母亲的背称）□（母亲的背称）唉（叹词）[5]爱暖
#au
p[1]包胞苞煲褒[3]保堡宝饱[5]报豹龅（齿外露）爆（破裂）
pʰ[1]跑抛泡（灯~）[2]刨袍[3]抱暴（残～）瀑（~火水：急雨）[5]炮爆（~破）奅（大~:说大话）
m[1]毛髦[2]矛茅无（没、没有）[3]冒帽𢯾（端起）貌
t[1]刀叨[3]倒岛捣祷[5]到
tʰ[1]涛滔稻[2]桃逃淘萄綯（拴绳子）陶[3]讨盗道悼导[5]套
n[1]恼[2]挠铙[3]脑闹
l[1]捞摎（使混合）䵏（黄~~哩）[2]劳涝唠牢[3]老[5]𡬘（稀疏）
ts[1]糟遭燥（干~）[3]早枣蚤澡藻找（寻~）爪（鸡~：鸡爪子）抓（搔痒）[5]灶罩□（~猪肉：相当于虎皮肉）
tsʰ[1]抄钞操[2]曹槽嘈巢吵[3]草炒造[5]皂糙躁燥（热~：热气）惜（心~）槽（搅~：打扰）
s[1]梢捎臊骚掻稍（~微）[2]繅（焯：沸水中稍煮）[3]嫂稍（~息）[5]扫哨潲㩋（掌打）
tʃ[1]朝（~阳）招昭钊[3]沼[5]诏照
tʃʰ[1]超[2]朝（~代）潮嘲[3]赵兆召
ʃ[1]烧[2]韶[3]少（多～）[5]少（~年）绍邵船（~啜）
k[1]高篙膏羔糕稿（禾~：稻兜）咬（唠唠~～：啰里啰嗦）交胶郊教（~书）[3]搞稿（草~）绞狡较校（学~）搅㽱（~肠痧）[5]告窖酵教（~育）觉（睡一～）校（~钟）
kʰ[1]敲尻[3]考烤拷巧[5]靠犒铐敲（击头）撽（打）
ŋ[1]咬[2]敖熬嗷嫯（~王头：不肖之人）[3]傲[5]乐（~肥猪肉：喜欢肥肉）𢳆（移动）𩳔（面~～哩：脸难看）
h[1]浩耗蒿薅[2]豪毫壕𤕢（发~：女子作态）[3]好效校（学~）[5]孝好（喜爱）
∅[1]凹訞（~人：诬赖人）[3]祆拗（折断）[5]奥懊澳坳拗（~事：无理争辩）
#eu
pʰ[2]浮[3]剖
m[1]某亩[2]牟谋[3]贸茂牡谬
f[2]浮[3]否缶
t[1]丢兜吺（讘~来讲）[3]斗（升~）抖陡[5]斗（~争）窦（窝：鸟~）𢭃（~柄）
tʰ[1]偷[2]头投[3]豆荳㪗䚵（诱杀）毒（诱杀）逗（歇息）[5]透窦（姓）
n[2]㳶（浓稠：~粥）[3]纽[5]沑（沤～：不洁）
l[2]楼塿（包块）[3]搂篓漏陋[5]□（呼叫禽畜）
ts[1]邹[3]走[5]奏
tsʰ[3]骤[5]凑
s[1]捜馊艘摗（袋中取物）[2]愁[3]叟[5]瘦嗽嗉（鸡~：鸡~子）
k[1]勾沟钩鸠阄[3]苟狗枸垢（乌头~面：头脸极脏）[5]够构购
kʰ[1]抠𥫷眍[2]球[3]口[5]扣叩寇
ŋ[3]偶藕
h[2]侯喉猴睺（~等：看着）[3]后候厚吼
∅[1]欧殴讴[2]□（投掷）[3]呕怄（～气：生闷气）
#i
p[1]杯悲卑碑婢蓖陂[3]比庇陛彼臂髀[5]闭币辈蔽毙贝沸痱痹（脚~：腿发麻）背（背负、肩扛）
pʰ[1]披被疲批丕婢（老~嫲）[2]皮陪培肥琵枇脾[3]倍备鄙鼻痞敝[5]沛肺配佩屁
m[1]美尾冞（~𥌂：严实）[2]迷谜眉楣微弥[3]米昧味寐沕（~水：潜水）
f[1]非菲绯斐匪翡妃挥辉徽[2]回茴[3]悔会（开~）绘汇贿毁惠慧[5]废费
v[1]委萎威[2]为围唯维违遗[3]未位伟讳纬卫胃尉慰喂（~养）[5]畏
t[1]底（～背：里面）[3]扺[5]帝
tʰ[2]堤提题[3]弟体地第[5]递屉替涕
n[1]尔你汝[2]尼怩倪[3]腻[5]蒂𢛜（心中有事想不开）
l[1]吕铝理礼鲤狸里（公~）[2]厘黎离璃篱梨[3]李丽例利痢吏隶旅虑滤荔厉励里（~外）
ts[1]挤[3]嘴姊[5]济剂际祭醉最㢀（鸡~：鸡舍）挤（~干）
tsʰ[1]妻栖趋[2]齐脐荠徐随[3]取娶牸哜（~味：尝味）[5]砌趣聚翠菆（~窦：作窝）
s[1]西须需虽[2]徐随[3]死序叙绪[5]四栖（米~：碎米）絮
tʃ[1]之芝支枝肢知蜘栀[3]纸止址趾旨指脂[5]至致置智志痣制
tʃʰ[1]痴稚雉驰[2]池迟匙持侈㓾（宰杀）治（宰杀）[3]耻始治痔峙翅[5]试（又音）
ʃ[1]诗尸施矢虚墟希稀牺熙兮携奚溪[2]时[3]屎始示视市恃莳豉匙起誓氏是许侍喜[5]试去戏世逝气汽势系器弃
k[1]基饥肌几（茶几）居车拘驹机讥[2]佢[3]己据矩举几[5]寄既继髻句锯刏（切）旡（颈~～：吞咽困难的样子）
kʰ[1]倚企岐欺技妓区拒距驱渠[2]其奇骑期旗琪祈鳍[3]启岂具惧俱瞿[5]去
ŋ[1]蚁语议[2]仪宜沂疑愚禺虞[3]艺娱义二遇寓谊拟毅耳
∅[1]衣伊医以于盂与迂[2]移夷姨儿而如余[3]已异椅倚雨羽宇禹愉逾榆愈喻裕誉预豫予[5]意亿忆薏易（容~）肄
#ia
p[1]逋（~上~下：蹿来蹿去）
pʰ[1]铺（～开：向四面散开）
m[1]摸（~门头唔倒：摸不着门道）
t[1]爹[3]嗲
ts[1]嗟[3]姐[5]借藉
tsʰ[1]□（～个：自己的）[2]斜[3]且谢[5]趄（~等来：斜靠过来）
s[1]些[2]邪斜[3]写[5]泻卸
k[1]跔（手足冻僵）佢（~爸：他爸）
kʰ[1]踽（逻~）[2]跨（横横~：蛮不讲理）[3]踞（~把：厨帚）跒（~鈀）[5]□（鸡~:鸡刨挖）𠳌（叹词）癯（瘦~~）
ŋ[1]惹[2]□（举：手～唔起来）[5]娅（~姹：动手动脚纠缠捣蛋）
∅[1]也野（～苋菜）[2]爷耶椰[3]夜冶野（田~）捼（抓挠：～㾂）
#iau
p[1]标膘表（手~）熛（火势上升）𧽤（行疾：~上～下）䅺（～禾：抽穗）彪[3]表（~格）婊
pʰ[1]飘漂（~流）彪（又音）[2]嫖薸[3]漂（~洗）[5]票漂（~白粉）
m[1]秒描[2]苗锚[3]妙杳庙藐[5]猫
t[1]刁雕鸟（飞禽）[3]鸟（交合）[5]吊钓调（~查）
tʰ[1]挑[2]条调（～味）迢[3]调（声～）[5]跳粜掉
n[1]鸟[2]尧饶[3]尿绕
l[1]撩（用工具或脚把地上的东西弄上来）[2]辽疗撩（挑弄、戏弄）聊寥燎嘹暸僚[3]了料僚（坐~）[5]撂（遗忘东西）
ts[1]焦蕉椒[2]僬（阿~哩：小男孩儿）[3]剿[5]醮
tsʰ[1]锹悄劁（~猪）掺[2]樵[3]噍[5]俏
s[1]消销硝宵霄萧箫[3]小筱[5]笑
ʃ[1]嚣[2]姣（～聂聂：女子作态的样子）肴淆[3]晓
k[1]骄娇浇[3]缴侥矫[5]叫噭（哭）
kʰ[1]藠跷（~脚：举腿交叉）[2]乔侨桥[3]轿撬[5]翘窍𧾻䠗（𧾻䠗转：东倒西歪）
ŋ[2]尧饶
∅[1]天妖邀腰要（～求）[2]摇谣窑姚陶（又音）[3]舀鹞杳耀[5]要（需~）
#ie
k[1]佢（~个：他的）
kʰ[2]茄瘸
ŋ[1]你（~个：你的）
#io
n[1]挼（两手相切摩：~成团）
ts[5]嗟（拟声：～～掉）
ʃ[1]靴
kʰ[2]茄瘸（又音）
∅[1]𦚢（肚～～哩：腹大下垂的样子）
#ioi
ŋ[5]艾
#iu
n[1]妞[3]扭
l[1]溜[2]刘留榴馏流硫琉[3]柳[5]雷（屋~水：房檐上流下的雨水）
ts[2]揪[3]酒帚㩆（～啜角）掫（~一皮树叶）[5]皱绉
tsʰ[1]秋鳅（搞~一下：集中一起）煪（~烟：冒烟）[2]囚泅酋[3]袖𥣙（~集：紧凑）宙
s[1]修羞[2]囚（又音）[5]秀绣锈
tʃ[1]州洲舟周[3]肘[5]昼咒
tʃʰ[1]抽[2]仇筹酬绸稠售（又音）[3]丑
ʃ[1]收休丘邱[2]仇（又音）[3]手首守寿受授朽[5]售兽
k[1]纠赳[3]九久灸柩韭[5]救究疚咎
kʰ[1]舅臼[2]求球裘仇（姓）[3]旧
ŋ[2]牛
∅[1]忧幽有友西[2]尤优由游邮油犹悠柔蹂[3]又右佑柚釉[5]幼诱
#iui
∅[3]锐芮蕊
#u
p[1]晡𧻷（半蹲）[2]𧻷（半蹲，又音）[3]斧补[5]布怖
pʰ[1]铺（~床）埔（大~县）普簿潽（溢出）[2]扶符苻谱蒲菩脯（胸~）殕[3]捕浦脯（菜~：咸萝卜干）甫步孵[5]部埠铺（店~）
m[1]母拇姆武（～艺）[2]模巫诬[3]舞[5]暮墓慕
f[1]夫肤芙俘敷互呼[2]扶符苻胡糊湖葫狐乎壶[3]府腑俯斧赋抚父腐辅户虎浒护沪苦（～味）[5]付附傅赴富副负裤
v[1]乌侮污武[2]无[3]舞鹉戊[5]务雾骛恶（可~）
t[1]都[2]杜（用话语塞人嘴）[3]肚赌堵睹妬[5]蠹（蛆~哩：一种毒虫）𪐞（乌～～哩：极黑）
tʰ[2]徒途涂图屠[3]土度渡镀[5]吐杜兔
n[2]奴[3]努怒
l[1]鲁𧀦（一种蕨类植物可以作柴火）芦（一种蕨类植物可以作柴火）虏卤磠（生~：生锈）□（生～：生锈）[2]卢芦庐炉驴撸（~手：动手）攎（~烧：抱柴火）[3]路[5]赂露
ts[3]主煮[5]注驻蛀著铸
tʃ[1]朱株珠诛蛛猪诸
tʃʰ[1]柱苎[2]除储厨雏[3]住拄箸处（~理）[5]处（到～）
ʃ[1]书抒舒输[2]殊薯[3]暑署树[5]竖恕
k[1]姑孤跍（蹲）[2]跍（蹲）[3]古牯股鼓櫎（测算）[5]故固雇顾
kʰ[1]枯沽估（~计）辜箍𣗺（茶~：油茶饼）[2]鈷（又音）[3]苦（辛~）[5]库裤
ŋ[3]误悟[5]忤（~固狗：闷葫芦）
#ui
t[3]𠡒（扯拉）[5]队对兑
tʰ[1]推馈（~饱：吃饱）[3]腿[5]退褪
n[3]内
l[1]镭（~哩：铜元）[2]雷蕾[3]累[5]泪累（~计）䉂（~哩：鱼篓子）
ts[3]嘴[5]最醉
tsʰ[1]崔催摧[2]随[3]罪[5]翠粹
s[1]虽绥[2]随隋[3]穗髓隧遂[5]碎
tʃ[1]追锥[5]赘坠（~落）
tʃʰ[1]吹炊[2]垂槌捶锤[3]缒坠（~软柯：压弯树枝）
ʃ[2]谁垂[3]水瑞
k[1]亏盔窥岿[3]鬼轨诡[5]贵桂癸季
kʰ[1]归闺规龟[2]魁奎逵葵[3]柜跪溃愧
ŋ[2]危桅巍[3]魏伪
#am
f[1]犯（迷信用语，与庇佑相反）[2]凡帆矾梵[3]范犯（~罪）患[5]幻泛
t[1]担躭□（~脚：抬脚）頕（头～~哩：伸长脖子）[3]胆疸啗（无~磣）[5]担（~竿）
tʰ[1]贪淡（味~）探（～手：伸手）[2]谈潭痰潭（鸡翼火上~熟来食）[3]淡（冷～）[5]探（勘~）
n[1]腩（牛~）萳（长~～）[2]男南楠[3]抩（抱）顲（黄~~）
l[1]篮（藤~哩：藤匣子）[2]蓝篮（花~）婪[3]揽缆榄览[5]滥缆（用索嫲~下：用绳子稍稍捆一下）懢（~食：蹭饭）
ts[1]簪[3]斩錾（～碗：在碗中凿字为记）[5]渗（~水：沁水）
tsʰ[1]参掺[2]蚕馋谗（喦~：多言）惭[3]惨錾（又音）[5]杉
s[1]三衫[3]糁（饭~：饭粒）
tʃ[1]沾粘詹瞻[5]占
tʃʰ[1]□（～晡日：昨天）[2]禅蝉[3]谄
ʃ[1]□（油、腊肉等变味）[2]蟾蝉（又音）禅（又音）[3]陕闪
k[1]甘柑疳尴监（~房：监獄）[3]感敢减[5]监（~督）鉴鑑舰赣
kʰ[1]堪湛龛[2]凵（打冂～：自言自语）[3]坎砍[5]勘凚（～～䟴；打战）
ŋ[1]𠿑（认可对方的言行）喦（和谐、没矛盾，唔~即不和）[2]岩癌冂喦（多言）[3]顉（~头：点头）[5]儑（主动求人接受）
h[1]陷（迷信用语，与福荫相反）[2]咸含函衔[3]撼憾陷（缺~）馅欿（贪占：屋基分佢~去哩）[5]喊磡（~头：崖下）
∅[1]庵[3]揞（藏匿）盦（覆盖）埯（盖土）[5]暗
#em
t[1]倓（~～哩去：悄悄地去）[3]蹬（跺脚）[5]䏙（~冬瓜：矮胖走路困难的样子）
n[2]拰（哈痒）饪（食物煮得松软烂熟）[3]稔（~哩：一种野果）𩅠（干燥食物受潮）[5]恁（体弱）
ts[1]罾（一种方形鱼网）[3]锓（~只印：盖个章）
s[1]森参（人~）[5]𢕕（慢走的样子）
k[2]𠖫（~盖，又音）[3]𠖫（~盖）
kʰ[3]唫（咳嗽）[5]䁍（目~~哩：不拾头看看，喻不识做、不懂事）
h[1]譀（大声叫嚷，又音）[5]譀（～～掉：震撼性声音）
∅[1]揜（用手遮盖）[5]暗（~天：阴天将雨，又音）
#an
p[1]班斑颁般搬扳[3]板版坂版[5]半扮绊
pʰ[1]番潘藩攀[2]盘磐[3]伴拌畔办瓣[5]判叛襻
m[1]满[2]蛮[3]曼慢鳗馒漫㿸（皮垢）瞒
f[1]翻番[2]烦繁樊还环寰桓[3]反返饭[5]贩㤆（顽~：顽皮倔犟）
v[1]弯湾晚剜鲩[2]完（~税）[3]挽绾（挂）万
t[1]丹单[3]掸[5]旦诞
tʰ[1]摊滩瘫坍[2]弹坛檀[3]坦但毯蛋[5]叹炭
n[2]难（为~）[3]难（受~）
l[1]懒[2]兰拦栏澜谰[3]烂
ts[1]儹（忨~：舍不得给）[3]盏攒（~钱：存积钱）㜺（物美）[5]赞灒（溅：～倒一身水）□（翻滚：睡目床上～来～去）
tsʰ[2]残泉[3]灿铲栈䏼[5]绽孱（~头鬼：捣蛋鬼）𠟉（~掌：伸手攻击）
s[1]山汕珊删疝[3]产伞散（药~）[5]散（~会）
k[1]间（房~）奸关鳏[2]咁（~哩：那样）[3]柬拣谏简涧矔（转目）[5]惯间（~隔）
kʰ[1]刊[3]侃擐（手挽或肩挂）
ŋ[1]研奀（幼儿消瘦）[2]顽谚颜刓（圆切）[3]玩眼岸雁唁彦
h[1]憨鼾[2]闲娴痫[3]限苋蚬
∅[2]䭡（肚~~：肚子饱胀挺起，又音）[3]咹（~样：这样）[5]咹（~多：这么多）
#en
p[1]冰崩[5]嘣（靠）
pʰ[2]朋
m[1]敏皿[2]盟
f[2]宏衡
t[1]灯登丁[3]等[5]凳
tʰ[2]縢藤腾誊[3]邓[5]幐（~头：担子两头均衡）挺（~手：帮手）
n[2]能宁
ts[1]曾增[5]赠憎
tsʰ[2]层曾（~经）
s[1]僧[3]省（~长）[5]擤
tʃ[1]毡搌（~桌帕）[3]展辗[5]战颤
tʃʰ[2]缠[3]阐擅[5]硟（~米：用机器加工大米）
ʃ[1]膳鳝[2]□（痕迹）[3]善蟮[5]扇
k[1]根跟[3]更（~加）耿
kʰ[3]恳垦肯（~定）
ŋ[2]宁凝
h[1]很[2]痕拫（繃得紧）縆（绷得紧）[3]狠恨杏幸肯（答应）
∅[1]恩[3]䭡（肚~~：肚子饱胀挺起）
#on
pʰ[1]𤺏（呕吐）
f[1]欢宽（一～被：一床被）[3]奂焕换（又音）缓
v[2]完（~个：整个全部）[3]碗腕豌剜皖换
t[1]端[2]短（~佢：用话语劝说、阻拦他）[3]短（长短）[5]断（判~）
tʰ[1]断（折~）[2]团抟[3]段锻缎塅疃
n[1]暖
l[1]躝（乱走动）[2]峦銮鸾[3]乱卵僆（鸡~哩：子母鸡）
ts[1]钻躜（乱走动）[3]攒纂籫（一～花：一朵花）[5]钻（~哩：锥子）
tsʰ[1]拴闩餐汆吮[3]旋（毛发的旋）[5]窜篡
s[1]酸[2]旋（凯~）[5]算蒜
tʃ[1]专砖[3]转（~屋下：回家）[5]转（唔晓~：不会转动）□（倒塌）
tʃʰ[1]川穿[2]传（宣~）椽[3]传（自~）[5]串
ʃ[2]船
k[1]干肝竿乾官棺观冠[3]秆杆赶馆管莞[5]干冠贯灌罐
kʰ[1]宽（~敞）[5]看
h[1]旱鼾[2]寒韩[3]汗焊罕捍[5]汉翰
∅[1]安鞍[5]按晏案
#aŋ
p[1]邦㧍（拉）[5]迸（虚火~熛：火气冲天）
pʰ[1]烹剂（溢出）肨（~臭）降（~气）[2]彭膨澎棚庞[3]㼞（小陶缸）埿（湖洋~：深泥田）[5]胖𦜍（空的）𩐨（拟声）閛（关门）
m[1]𥌂[2]盲氓吂（食饭~：吃饭没）[3]猛蜢莽蟒
f[3]□（弹起）[5]妨（过~）
v[2]横璜[3]□（掷）[5]□（掷）
t[1]钉订疔噔登[3]顶[5]□（~凉：摊凉）
tʰ[1]厅汀[5]听
n[2]乪（圆形凹陷）[3]憹（～~掉：惊惧叫喊）[5]□（踩踏）
l[1]冷硠（碗~：拟声）[2]零泠[3]另[5]凌（光滑）
ts[1]争挣铮筝睁踭（脚~：脚跟）[5]挣（~开：摆脱束缚）
tsʰ[3]䂻（塞：死食死~）[5]牚（支撑的棍子）衬撑
s[1]生甥笙牲（头~：禽畜）貹（家~：家中器物、用具、工具等）[3]省（节~）磢（擦洗）
tʃ[1]正[3]整（修理）[5]正（~来：刚来、才来）
tʃʰ[2]橙成（少两~）程（姓）[3]郑掷[5]锃（~光：光亮）
ʃ[1]声[2]城成（去唔~：去不成）[3]饟（拿东西~人：先戏后给）
k[1]更粳耕庚羹[3]梗哽埂耿[5]径胫踁（叉手~脚：碍手碍脚）
kʰ[1]坑㰢（~～：咳声）吭（~硍：拟声）慷[5]慷（钱分佢~核哩：钱被他胡乱花了，又音）
ŋ[3]硬
h[1]坑（山沟）亨[2]行（走路）桁[3]行（品~）
∅[1]罂
#oŋ
p[1]邦帮[3]绑榜膀（肩~）[5]谤嗙（~~掉：拟声）
pʰ[1]蚌𢪋（掌击）䎧（~锄：一种方形大锄）[2]旁傍膀（~胱）滂膀（疙瘩：蚊叨倒一只~）[3]𧑑（~~哩飞：昆虫群飞）[5]胖（又音）炐（~～掉：火声）
m[1]芒（~果）[2]亡忙忘茫[3]妄望莽（又音）蟒（又音）[5]𥤩（~食：深穴）
f[1]方芳荒慌谎[2]房防妨（~碍）坊肪皇（又音）[3]仿纺访[5]放
v[1]汪往[2]王黄簧皇[3]枉旺
t[1]当（当然）[2]挡（~等：拦着）[3]党挡（阻~）[5]当（上~）
tʰ[1]汤盪（~碗）[2]唐糖塘堂棠螳[3]倘躺宕荡盪（振~）笾（踉~：逸游、闲逛）[5]烫趟
n[2]囊[5]儾（不珍惜、可惜）
l[1]□（~啜：嗽口）[2]狼郎廊[3]浪朗踉（~趤）[5]眼（晾晒）狼（体长：好~：好高）酿（斫~：拟声）食（～～簾簾：内里空阔）
ts[1]庄脏妆装[5]壮葬藏（西~）
tsʰ[1]仓苍沧疮[2]床藏（躲~）[3]闯状撞[5]创
s[1]桑丧（~事）霜孀[3]爽嗓丧（~失）
tʃ[1]章漳樟獐张[3]长（～大）涨掌[5]胀账帐嶂障瘴仗（打~）
tʃʰ[1]昌菖娼丈（~老：岳父）[2]长（~短）肠场[3]厂丈（丈量）杖畅敞仗（~势欺人）[5]唱倡
ʃ[1]商上（～班）伤[2]尝偿常[3]上（～级）赏尚
k[1]冈岗刚纲缸江肛光扛（~碗：捧碗）[3]讲广港[5]钢杠降（下～）
kʰ[1]康[2]狂𠻞（~~咯咯：咳声）[3]况慷[5]抗炕（~燥：炕干）旷吭（~硍：拟声）䆲（䆡~）
ŋ[1]昂𠹃[5]戆（愚笨）
h[1]糠𢴦（~人：怀孕）[2]航杭行（银~）降（投~）[3]项巷□（干制食物变质）[5]䟘（~床：起床）
∅[1]肮[5]𠹃
#iam
t[1]掂帖（~～：安然、泰然、从容不道）[3]点[5]店垫
tʰ[1]添[2]甜恬[3]舔簟□（搞~：很利索地搞完了）
l[1]敛（~钱：捐钱）[2]廉镰帘[3]殓溓[5]廉（棱：杨桃有五~）
ts[1]尖歼櫼渐（~队：夹塞）[3]蘸[5]□（挤占）
tsʰ[1]签𠠃（~猪：杀猪放血）[2]潜[3]暂渐（逐~）[5]嶃（倾斜）
s[1]纤[2]暹
ʃ[1]馦[2]嫌喊（呵斥）[3]险
k[1]兼[3]检捡睑碱缄[5]剑
kʰ[1]谦[2]钳嵌饮（背负：~细人哩）鸽（鸟啄物）[5]欠芡
ŋ[1]拈[2]严闫酽黏鲇[3]俨念趁（～~哩行：俯首疾走）[5]验險（蜗~：蝌蚪）
