單字	松柏(調類)	松柏(調值)	注释
奇			奇數
詭	kɐi2	kɐi²¹⁴	
寄	ki3	ki⁴⁴	
羈	ki1	ki⁴⁵	
差	ʦʰa1	ʦʰa⁴⁵	參差
衰			齊衰
揣	ʦʰin2	ʦʰin²¹⁴	
池	ʦʰi4	ʦʰi²¹	
錘	ʦʰui4	ʦʰui²¹	鐵錘，稱錘
馳	ʦʰi4	ʦʰi²¹	
疲	pʰi4	pʰi²¹	
罷	pa6	pa⁵²	
皮	pʰi4	pʰi²¹	
被	pi5	pi²¹²	棉被
被	pʰi6	pʰi⁵²	被動
襬			
碑	pi1	pi⁴⁵	
彼	pʰi2	pʰi²¹⁴	
跛	pɐi1	pɐi⁴⁵	站立時重心偏於某一足上
陂	pi1	pi⁴⁵	
髀	pʰi4	pʰi²¹	
脂	ʦi1	ʦi⁴⁵	
錐	ʦui1	ʦui⁴⁵	白读jui⁴⁵
指	ʦi2	ʦi²¹⁴	
旨	ʦi2	ʦi²¹⁴	
摯	ʦi3	ʦi⁴⁴	
至	ʦi3	ʦi⁴⁴	
伊	ji1	ji⁴⁵	
黝	jɐu2	jɐu²¹⁴	
胰	ji4	ji²¹	
夷	ji4	ji²¹	
寅	jɐn4	jɐn²¹	
姨	ji4	ji²¹	
惟	wɐi4	wɐi²¹	
唯	wɐi4	wɐi²¹	唯一
唯	wɐi4	wɐi²¹	唯唯諾諾
遺	wɐi4	wɐi²¹	遺失
遺			贈遺
維	wɐi4	wɐi²¹	
肄			
彝	ji4	ji²¹	
羨	sin6	sin⁵²	
雖	sui1	sui⁴⁵	
私	si1	si⁴⁵	
綏			
死	si2	si²¹⁴	
邃	sui6	sui⁵²	
粹	ʦʰui3	ʦʰui⁴⁴	
四	si3	si⁴⁴	
肆	si3	si⁴⁴	肆意
肆	si3	si⁴⁴	四的大寫
祟	sʊŋ4	sʊŋ²¹	
駟	si3	si⁴⁴	
遂	sui6	sui⁵²	
穗	sui6	sui⁵²	
隧	sui6	sui⁵²	
彗	wɐi6	wɐi⁵²	
燧	sui6	sui⁵²	
咦	ji2	ji²¹⁴	
屎	si2	si²¹⁴	
棄	hi3	hi⁴⁴	
屍	si1	si⁴⁵	
水	sui2	sui²¹⁴	
矢	ʦʰi2	ʦʰi²¹⁴	
尸	si1	si⁴⁵	
鈰			
二	ji3	ji⁴⁴	
貳	ji6	ji⁵²	
鰭	kʰi4	kʰi²¹	
葵	kʰɐi4	kʰɐi²¹	
揆			
悸	kɐi3	kɐi⁴⁴	
耆			
翠	ʦʰui3	ʦʰui⁴⁴	
次	ʦʰi3	ʦʰi⁴⁴	
屁	pʰi3	pʰi⁴⁴	
寐	mi6	mi⁵²	
累	lui5	lui²¹²	果實累累，同「纍」
纍	lui5	lui²¹²	
梨	li4	li²¹	
壘	lui5	lui²¹²	堡壘
履	li5	li²¹²	
耒			
淚	lui6	lui⁵²	
利	li6	li⁵²	
類	lui6	lui⁵²	
痢	li6	li⁵²	
諮	ʦi1	ʦi⁴⁵	
資	ʦi1	ʦi⁴⁵	
姿	ʦi1	ʦi⁴⁵	
姊	ʦi2	ʦi²¹⁴	
恣			恣意
醉	ʦui3	ʦui⁴⁴	
咨	ʦi1	ʦi⁴⁵	
秭			
眥			
癸	kɐi3	kɐi⁴⁴	
季	kɐi3	kɐi⁴⁴	
地	ti6	ti⁵²	
悴	ʦʰui5	ʦʰui²¹²	又读ʦʰui⁴⁴
萃	ʦʰui3	ʦʰui⁴⁴	
瓷	ʦʰi4	ʦʰi²¹	
茨			
自	ʦi6	ʦi⁵²	
嫉	ʦɐt9	ʦɐt⁵²	
糍	ʦʰi4	ʦʰi²¹	
誰	sui4	sui²¹	
視	si6	si⁵²	
嗜	si3	si⁴⁴	
推	tʰui1	tʰui⁴⁵	
出	ʦʰɐt7	ʦʰɐt⁴	
鴟			
琵	pʰi4	pʰi²¹	
比	pi2	pi²¹⁴	比鄰
枇	pʰi4	pʰi²¹	
鼻	pi6	pi⁵²	
貔			
比	pi2	pi²¹⁴	比較
妣	pi2	pi²¹⁴	
庇	pi3	pi⁴⁴	
痹	pi3	pi⁴⁴	
秕			
匕	pʰi3	pʰi⁴⁴	
畀	pi2	pi²¹⁴	
胝	ʦi1	ʦi⁴⁵	
追	ʦui1	ʦui⁴⁵	
致	ʦi3	ʦi⁴⁴	
質	ʦɐt7	ʦɐt⁴	人質
帷	wɐi4	wɐi²¹	
位	wɐi6	wɐi⁵²	
懿	ji5	ji²¹²	
器	hi3	hi⁴⁴	
喟			
衰	sui1	sui⁴⁵	衰老
師	si1	si⁴⁵	
篩	sɐi1	sɐi⁴⁵	
獅	si1	si⁴⁵	
帥	sui3	sui⁴⁴	
逵	kʰɐi4	kʰɐi²¹	
餽	kʰɐi3	kʰɐi⁴⁴	
櫃	kɐi6	kɐi⁵²	
饋	kʰɐi3	kʰɐi⁴⁴	
暨	kʰi3	kʰi⁴⁴	
匱	kʰɐi3	kʰɐi⁴⁴	
夔			
丕	pʰi1	pʰi⁴⁵	
尼	nɐi4	nɐi²¹	
呢			呢喃
呢	ni1	ni⁴⁵	語氣助詞
膩	nɐi6	nɐi⁵²	又读ni⁵²
麋	mi4	mi²¹	
薇	mi4	mi²¹	
黴	mui4	mui²¹	
楣	mi4	mi²¹	
眉	mi4	mi²¹	
美	mi5	mi²¹²	
魅	mi6	mi⁵²	
媚	mi4	mi²¹	
嵋	mi4	mi²¹	
湄	mi4	mi²¹	
肌	ki1	ki⁴⁵	
龜	kʰɐi1	kʰɐi⁴⁵	
飢	ki1	ki⁴⁵	
軌	kɐi2	kɐi²¹⁴	
几	ki2	ki²¹⁴	
晷			
冀	kʰi3	kʰi⁴⁴	
愧	kʰɐi3	kʰɐi⁴⁴	
覬			
遲	ʦʰi4	ʦʰi²¹	
槌	ʦʰui4	ʦʰui²¹	
椎	ʦui1	ʦui⁴⁵	鐵椎又读jui⁴⁵
椎	ʦui1	ʦui⁴⁵	脊椎
鎚	ʦʰui4	ʦʰui²¹	
莉	li6	li⁵²	
墜	ʦui6	ʦui⁵²	
稚	ʦi3	ʦi⁴⁴	
緻	ʦi3	ʦi⁴⁴	
雉			
邳			
圮	ki2	ki²¹⁴	
否			否極泰來
備	pi6	pi⁵²	
悲	pi1	pi⁴⁵	
鄙	pʰi2	pʰi²¹⁴	
祕	pi3	pi⁴⁴	
費	fɐi3	fɐi⁴⁴	
泌	pi3	pi⁴⁴	
轡			
恩	jɐn1	jɐn⁴⁵	
痕	hɐn4	hɐn²¹	
很	hɐn2	hɐn²¹⁴	
恨	hɐn6	hɐn⁵²	
墾	hɐn2	hɐn²¹⁴	
懇	hɐn2	hɐn²¹⁴	
吞	tʰɐn1	tʰɐn⁴⁵	
跟	kɐn1	kɐn⁴⁵	
根	kɐn1	kɐn⁴⁵	
艮			
溫	wɐn1	wɐn⁴⁵	
穩	wɐn2	wɐn²¹⁴	
瘟	wɐn1	wɐn⁴⁵	
兀	ŋɐt9	ŋɐt⁵²	
杌			
諢			
孫	sin1	sin⁴⁵	
飧			
損	sin2	sin²¹⁴	
遜	sin3	sin⁴⁴	
屑	sit8	sit³	
窣	sɐt7	sɐt⁴	
昏	fɐn1	fɐn⁴⁵	
婚	fɐn1	fɐn⁴⁵	
惚	fɐt7	fɐt⁴	
忽	fɐt7	fɐt⁴	
渾	wɐn4	wɐn²¹	渾人，雄渾
渾			同「混」
棍	kɐn3	kɐn⁴⁴	
混	kɐn6	kɐn⁵²	
餛	wɐn4	wɐn²¹	
琿			
坤	kʰɐn1	kʰɐn⁴⁵	
壼	wu4	wu²¹	
困	kʰɐn3	kʰɐn⁴⁴	
窟	kʰɐt7	kʰɐt⁴	
燉	tɐn3	tɐn⁴⁴	
突	tɐt9	tɐt⁵²	
卒			倉卒
村	ʦʰin1	ʦʰin⁴⁵	
忖			
寸	ʦʰin3	ʦʰin⁴⁴	
猝			
噴	pʰɐn3	pʰɐn⁴⁴	
嫩	nin6	nin⁵²	
門	mun4	mun²¹	
悶	mun6	mun⁵²	
沒	mut9	mut⁵²	
歿			
論	lɐn6	lɐn⁵²	討論
論	lɐn4	lɐn²¹	論語
尊	ʦin1	ʦin⁴⁵	
樽	ʦin1	ʦin⁴⁵	
昆	kʰɐn1	kʰɐn⁴⁵	
骨	kɐt7	kɐt⁴	
滑	wat9	wat⁵²	滑稽
袞			
鯤	kʰɐn1	kʰɐn⁴⁵	
墩	tɐn1	tɐn⁴⁵	又读tɐn²¹⁴
頓	tɐn6	tɐn⁵²	安頓
咄	ʦʰit8	ʦʰit³	
扽			
屯	tʰin4	tʰin²¹	
臀	tʰɐn4	tʰɐn²¹	
豚	tʰin4	tʰin²¹	
沌	tɐn6	tɐn⁵²	
遁	tɐn6	tɐn⁵²	
鈍	tʰɐn5	tʰɐn²¹²	
凸	tɐt9	tɐt⁵²	
飩			
囤			
蹲	tin1	tin⁴⁵	
存	ʦʰin4	ʦʰin²¹	
鱒			
盆	pʰun4	pʰun²¹	
脖	put9	put⁵²	
渤	put9	put⁵²	
勃	put9	put⁵²	
𡋯	put9	put⁵²	
餑	put9	put⁵²	
奔	pɐn1	pɐn⁴⁵	
本	pun2	pun²¹⁴	
笨	pɐn6	pɐn⁵²	
畚			
云	wɐn4	wɐn²¹	
雲	wɐn4	wɐn²¹	
芸	wɐn4	wɐn²¹	
耘	wɐn4	wɐn²¹	
運	wɐn6	wɐn⁵²	
韻	wɐn6	wɐn⁵²	
暈			
員	jin4	jin²¹	
熨			熨貼
尉			尉遲
蘊	wɐn6	wɐn⁵²	
醞	wɐn6	wɐn⁵²	
鬱	wɐt7	wɐt⁴	
氳			
慍			
薰	fɐn1	fɐn⁴⁵	
醺	fɐn1	fɐn⁴⁵	
燻	fɐn1	fɐn⁴⁵	
勛	fɐn1	fɐn⁴⁵	
訓	fɐn3	fɐn⁴⁴	
熏	fɐn1	fɐn⁴⁵	
勳	fɐn1	fɐn⁴⁵	
葷	fɐn1	fɐn⁴⁵	
郡	kɐn6	kɐn⁵²	
掘	kɐt9	kɐt⁵²	
倔	kɐt9	kɐt⁵²	
崛	kɐt9	kɐt⁵²	
芬	fɐn1	fɐn⁴⁵	
紛	fɐn1	fɐn⁴⁵	
忿	fɐn5	fɐn²¹²	又读fɐn⁵²
拂	fɐt9	fɐt⁵²	白读pʰɐt⁵²
彿	fɐt9	fɐt⁵²	
雰			
聞	mɐn4	mɐn²¹	
文	mɐn4	mɐn²¹	文字
蚊	mɐn4	mɐn²¹	白读mɐn⁴⁵
紋	mɐn4	mɐn²¹	
刎	mɐn5	mɐn²¹²	
吻	mɐn5	mɐn²¹²	
問	mɐn6	mɐn⁵²	
紊	mɐn5	mɐn²¹²	
物	mɐt9	mɐt⁵²	
勿	mɐt9	mɐt⁵²	
璺			
雯	mɐn4	mɐn²¹	
軍	kɐn1	kɐn⁴⁵	
君	kɐn1	kɐn⁴⁵	
屈	kʰɐt7	kʰɐt⁴	
分	fɐn6	fɐn⁵²	本分
焚	fɐn4	fɐn²¹	
墳	fɐn4	fɐn²¹	
頒	pan1	pan⁴⁵	
氛	fɐn1	fɐn⁴⁵	
憤	fɐn5	fɐn²¹²	
佛	fɐt9	fɐt⁵²	佛教
豶			
芾			芾芾
分	fɐn1	fɐn⁴⁵	分開
扮	pan6	pan⁵²	
粉	fɐn2	fɐn²¹⁴	
糞	fɐn3	fɐn⁴⁴	
奮	fɐn5	fɐn²¹²	
拚			
弗	fɐt9	fɐt⁵²	
殷	jɐn1	jɐn⁴⁵	殷切
隱	jɐn5	jɐn²¹²	
齦	ŋɐn4	ŋɐn²¹	
屹	ŋɐt9	ŋɐt⁵²	
欣	jɐn1	jɐn⁴⁵	
迄	ŋɐt8	ŋɐt³	
契			
乞	hɐt7	hɐt⁴	
芹	kʰɐn4	kʰɐn²¹	
勤	kʰɐn4	kʰɐn²¹	
近	kʰɐn5	kʰɐn²¹²	白讀
近	kɐn6	kɐn⁵²	靠近
筋	kɐn1	kɐn⁴⁵	
斤	kɐn1	kɐn⁴⁵	
槿	kɐn2	kɐn²¹⁴	
謹	kɐn2	kɐn²¹⁴	
吃	hɐt7	hɐt⁴	口吃
訖	hɐt7	hɐt⁴	
質	ʦɐt7	ʦɐt⁴	物質
肫			
振	ʦɐn3	ʦɐn⁴⁴	
諄	ʦɐn1	ʦɐn⁴⁵	
真	ʦɐn1	ʦɐn⁴⁵	
疹	ʦʰɐn2	ʦʰɐn²¹⁴	
診	ʦʰɐn2	ʦʰɐn²¹⁴	
准	ʦɐn2	ʦɐn²¹⁴	
準	ʦɐn2	ʦɐn²¹⁴	
賑	ʦɐn3	ʦɐn⁴⁴	
震	ʦɐn3	ʦɐn⁴⁴	
盹	tɐn2	tɐn²¹⁴	
侄	ʦɐt9	ʦɐt⁵²	
娠	sɐn4	sɐn²¹	
蛭	ʦi3	ʦi⁴⁴	
甄	ʦɐn1	ʦɐn⁴⁵	
洇	jɐn1	jɐn⁴⁵	
湮	jɐn1	jɐn⁴⁵	
氤	jɐn1	jɐn⁴⁵	
因	jɐn1	jɐn⁴⁵	
茵	jɐn1	jɐn⁴⁵	
姻	jɐn1	jɐn⁴⁵	
印	jɐn3	jɐn⁴⁴	
壹	jɐt7	jɐt⁴	
一	jɐt7	jɐt⁴	
蚓	jɐn5	jɐn²¹²	
引	jɐn5	jɐn²¹²	
逸	jɐt9	jɐt⁵²	
溢	jɐt9	jɐt⁵²	
佚	jɐt9	jɐt⁵²	
勻	wɐn4	wɐn²¹	
允	wɐn5	wɐn²¹²	
尹	wɐn5	wɐn²¹²	
鷸			
峻	ʦɐn3	ʦɐn⁴⁴	
荀	ʦʰɐn4	ʦʰɐn²¹	
浚	ʦɐn3	ʦɐn⁴⁴	
濬	ʦɐn3	ʦɐn⁴⁴	
薪	sɐn1	sɐn⁴⁵	
詢	ʦʰɐn4	ʦʰɐn²¹	
新	sɐn1	sɐn⁴⁵	
辛	sɐn1	sɐn⁴⁵	
筍	sɐn2	sɐn²¹⁴	
訊	sɐn3	sɐn⁴⁴	
迅	sɐn3	sɐn⁴⁴	
信	sɐn3	sɐn⁴⁴	
窸	sɪk7	sɪk⁴	
悉	sɪk7	sɪk⁴	
膝	sɐt7	sɐt⁴	
恤	sɐt7	sɐt⁴	
蟋	sɪk7	sɪk⁴	
戌	sɐt7	sɐt⁴	
殉	sɐn3	sɐn⁴⁴	
巡	ʦʰɐn4	ʦʰɐn²¹	
馴	fɐn3	fɐn⁴⁴	
旬	ʦʰɐn4	ʦʰɐn²¹	
循	ʦʰɐn4	ʦʰɐn²¹	
詰	kʰit3	kʰit⁴⁴	
身	sɐn1	sɐn⁴⁵	
申	sɐn1	sɐn⁴⁵	
伸	sɐn1	sɐn⁴⁵	
紳	sɐn1	sɐn⁴⁵	
呻	sɐn1	sɐn⁴⁵	白读sɐn⁴⁴
舜	sɐn6	sɐn⁵²	
瞬	sɐn3	sɐn⁴⁴	
失	sɐt7	sɐt⁴	
室	sɐt7	sɐt⁴	
娠	sɐn4	sɐn²¹	妊娠
人	jɐn4	jɐn²¹	
仁	jɐn4	jɐn²¹	
忍	jɐn2	jɐn²¹⁴	
仞	jɐn6	jɐn⁵²	
閏	jɐn6	jɐn⁵²	
刃	jɐn6	jɐn⁵²	
認	jɐn6	jɐn⁵²	
潤	jɐn6	jɐn⁵²	
韌	jɐn6	jɐn⁵²	
日	jɐt9	jɐt⁵²	
軔	jɐn6	jɐn⁵²	
竣	ʦɐn3	ʦɐn⁴⁴	
親	ʦʰɐn1	ʦʰɐn⁴⁵	親人
親	ʦʰɐn3	ʦʰɐn⁴⁴	親家
柒	ʦʰɐt7	ʦʰɐt⁴	
七	ʦʰɐt7	ʦʰɐt⁴	
漆	ʦʰɐt7	ʦʰɐt⁴	
皴			
黢	ʦɐn3	ʦɐn⁴⁴	
繽	pɐn1	pɐn⁴⁵	
匹	pʰɐt7	pʰɐt⁴	
民	mɐn4	mɐn²¹	
謐	mɐt9	mɐt⁵²	
蜜	mɐt9	mɐt⁵²	
泯	mɐn5	mɐn²¹²	
麟	lɐn4	lɐn²¹	
掄			
磷	lɐn4	lɐn²¹	
鄰	lɐn4	lɐn²¹	
