音标	调类	字汇							
kuən	3	滚							
kuən	5	棍							
kʰuən	1	昆							
kʰuən	2	浑(白，表示一整个)							
kʰuən	3	捆							
kʰuən	5	困							
xuən	1	浑(水∽)昏							
xuən	2	魂横浑(∽身)							
xuən	5	混							
nuən	2	轮							
nuən	5	论							
tʰuən	2	豚							
in	1	因烟英音樱鹦							
in	2	迎银言盐沿(新)檐							
in	3	影演眼							
in	5	应印厌艳燕							
pin	1	冰边鞭兵宾滨							
pin	3	饼乒							
pin	5	病并便辩变							
pʰin	1	拼篇							
pʰin	2	平苹贫屏频便(∽宜)							
pʰin	3	片品							
pʰin	5	遍(普∽，走∽)片骗							
min	2	民明棉眠							
min	3	缅敏免							
min	5	命面							
tin	1	丁尖(豌豆尖儿，椿尖儿，一般儿化)颠巅							
tin	3	顶点							
tin	5	订电店甸							
tʰin	1	天厅添							
tʰin	2	停田填甜							
tʰin	3	㖭舔							
tʰin	5	听							
nin	1	研拈							
nin	2	宁凝零年连莲严吟黏(文)阎(∽王)链(项∽儿，一般儿化)拧							
nin	3	拧领岭							
nin	5	念另验凝链恋令炼练砚							
tɕin	1	今金京精津禁(∽不住，受不了)肩兼间(文读)尖坚艰							
tɕin	3	井紧警捡检剪颈(文)尽(让，∽他耍)境(环∽)							
tɕin	5	进净静敬晋禁见建健剑箭尽贱							
tɕʰin	1	青清亲千阡歼铅签牵							
tɕʰin	2	秦情前钱勤芹潜(∽水)黔琴							
tɕʰin	3	请浅							
tɕʰin	5	庆侵(∽略)欠芡浸							
ɕin	1	心星腥新欣先仙鲜(白，新∽)辛锌							
ɕin	2	行嫌闲贤咸(文)舷(口语，∽∽，边)							
ɕin	3	醒显险擤 □(∽tia③了，表示黏[或油、脏]状，杯子∽tia③了)							
ɕin	5	幸信性姓现县陷线限							
yn	1	冤渊							
yn	2	云原园圆员袁援盐沿荣(疑似存在)							
yn	3	永(文)远							
yn	5	运泳愿晕(∽车)院苑							
tɕyn	1	军捐娟坚(∽决)均							
tɕyn	3	卷(花∽)							
tɕyn	5	卷(∽子)券圈(羊∽)菌							
ɕyn	1	宣鲜掀							
ɕyn	2	寻悬巡							
ɕyn	3	选藓							
ɕyn	5	迅讯训旋□(∽眼睛，强光炫目)							
tɕʰyn	1	圈倾							
tɕʰyn	2	群全权泉琼裙拳							
tɕʰyn	3	犬							
tɕʰyn	5	劝							
toŋ	1	冬东							
toŋ	3	董懂斗(∽蓬)							
toŋ	5	动冻洞栋							
tʰoŋ	1	通捅(口语)							
tʰoŋ	2	铜同童筒							
tʰoŋ	3	桶统							
tʰoŋ	5	痛							
noŋ	1	聋弄(白)							
noŋ	2	龙农隆							
noŋ	3	拢							
noŋ	5	弄							
tsoŋ	1	中宗综忠							
tsoŋ	3	总种肿							
tsoŋ	5	众棕种皱(∽纹)							
tsʰoŋ	1	冲舂葱充							
tsʰoŋ	2	从丛虫重(∽庆、∽复)松(∽木树)							
tsʰoŋ	3	宠							
tsʰoŋ	5	冲(∽鼻子)							
soŋ	1	松(放∽)							
soŋ	2	怂							
soŋ	3	耸							
soŋ	5	送宋颂诵							
zoŋ	2	茸绒							
zoŋ	3	冗							
koŋ	1	公工攻功弓供(∽给)							
koŋ	2	□(“各人”合音)							
koŋ	3	拱							
koŋ	5	共拱(人顶进去)							
kʰoŋ	1	空							
kʰoŋ	3	孔恐							
kʰoŋ	5	空(有∽)控							
xoŋ	1	轰							
xoŋ	2	红洪喉(∽咙)							
xoŋ	3	哄							
xoŋ	5	讧							
oŋ	1	翁							
oŋ	5	瓮							
ŋoŋ	5	瓮							
poŋ	1	绷							
poŋ	3	乓							
poŋ	5	蹦							
pʰoŋ	1	埲{白，∽上来}							
pʰoŋ	2	棚朋蓬鹏							
pʰoŋ	3	捧							
pʰoŋ	5	碰喷(∽∽香)							
moŋ	1	蒙							
moŋ	2	谋蒙(∽古)							
moŋ	3	某亩猛蒙(白，∽起)							
moŋ	5	梦孟贸							
foŋ	1	风疯锋蜂							
foŋ	2	冯							
foŋ	3	讽							
foŋ	5	奉凤							
tɕioŋ	1	供(白，∽他读书)弓(弯，背∽起，或作躬)							
tɕʰioŋ	2	穷							
ɕioŋ	1	凶胸匈兄							
ɕioŋ	2	熊雄							
ioŋ	1	雍庸							
ioŋ	2	容蓉融荣							
ioŋ	3	勇允(∽许)永(白，∽远，此音来历不明)							
ioŋ	5	用							
