// HSD Syllabary Data Partition
// 地区：山西省-大同市-渾源縣-永安鎮
// 来源：張津《渾源方言調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-大同市-渾源縣-永安鎮
@SRC	張津《渾源方言調查研究》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	k	kʰ	x	Ø
@FIN	a
k	a	陰平	尕{脾氣~：脾氣壞；~~兒的一碗：滿滿兒的一碗，前一個~讀變調去聲，後一個讀陰平} 咯1{~~：人的笑聲或雞的叫聲，後一個~讀輕聲} 嘎1{~一下，象聲；叫~~：種公驢，後一個~讀輕聲；打~~兒：說一些似真非真開玩笑的話，後一個~讀輕聲} 戛1{~然而止}
k	a	上聲	嘎2{哽~；象聲} 尬1{尷~} 窊{~生不~古：不好；~渣子：壞皮，無賴}
k	a	去聲	咯2{~~：模仿雞叫聲，前一個~讀又音去聲，後一個讀輕聲} 閣1{~下} 擱1{放；~下哇；~起哇；~分兒：打撲克術語}
kʰ	a	陰平	咳1{~~：不斷地~，後一個~讀輕聲} 咔1{~嚓；~達：訓斥} 喀1{~嚓一下} 咖1{~啡}
kʰ	a	上聲	咔2{~叭} 可1{~以；許~} 坷1{塊~} 卡1{~車；~人：~住啦；~腳板子哩} 咳2{~的一下咯了圪蛋頑涎，象聲}
kʰ	a	去聲	可2{表程度更深一層，如：風~大哩} 咯3{~血；~痰；~出來；~得可厲害}
x	a	陰平	哈1{~氣；~料子；吸毒；~~大笑；後一個~讀輕聲} 呵1{~氣；~手；~斥；~噠} 蛤1{~蟆，輕聲詞}
x	a	上聲	哈2{~巴狗；~兒橫疙埑：喉結} 甭{~貨：不精名的人} 郝1{~家寨，村名}
x	a	去聲	哈3{~數；本事、辦法、手段；~~~~：吆喝牛向外手轉彎的聲音，第一個~讀去聲，其餘3個讀輕聲}
x	a	輕聲	哈4{作動詞後綴的讀音：答~；說~}
Ø	a	陰平	阿1{~飛；剛正不~} 啊1{張嘴要吃的}
Ø	a	陽平	阿2{~諛奉承} 啊2{單字音} 婀{~娜多姿}
Ø	a	去聲	啊3{~呀呀：表驚嘆}
// HSD Syllabary Data Partition
// 地区：山西省-大同市-渾源縣-永安鎮
// 来源：張津《渾源方言調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-大同市-渾源縣-永安鎮
@SRC	張津《渾源方言調查研究》

@INI	p	pʰ	m	t	tʰ	n	l	ts	tsʰ	s	z	k	kʰ	x	Ø
@FIN	au
@TON	陰平	31
@TON	陽平	22
@TON	上聲	53
@TON	去聲	214
@TON	輕聲	20

// Initial	Final	Tone	CharList (Space separated)
p	au	陰平	包 鮑1{姓~} 胞1{衣~兒：須兒化} 孢 褎1{~義}
p	au	陽平	抱1{~毀} 薄2{單~；皮~}
p	au	上聲	飽 寶 保 堡2{~堡；地~} 褎2{~獎}
p	au	去聲	抱2{~住} 刨1{~花兒} 雹 鮑2{~魚} 暴 爆 曝2{~曬；~光} 報 豹
pʰ	au	陰平	拋 剖 泡1{燈~子} 胞2{細~} 疱1{~症}
pʰ	au	陽平	袍 胞3{舊，同~} 刨2{~山藥} 咆 狍{~子}
pʰ	au	上聲	跑
pʰ	au	去聲	泡2{~一~：後一個~讀輕聲} 炮{槍~} 礮{石頭，人或其他東西從高坡向下滾落，如：從山上~下來啦} 疱2 胖1{屎~頭：詈詞}
pʰ	au	輕聲	胖2{屎~}
m	au	陰平	瞄{看、探望：我到醫院~病人去來}
m	au	陽平	毛{~膩：挖苦諷刺或調逗} 矛1 茅 錨1{拋~} 貓{~子} 角1{七~八；三~五}
m	au	上聲	角2{一~錢} 牡2{~丹} 卯 鉚
m	au	去聲	冒 帽 貿 茂 貌 哞3{~兒：喚牛聲，~須兒化}
t	au	陰平	刀1 叨 扔{用手抓}
t	au	上聲	島 搗1 悼1{哀~} 倒1{顛~；打~} 搗{~線子} 道1{~德；~古：講故事；~軟：告饒服輸；人~} 蹈1{重~覆轍} 禱 導1{領~；~航}
t	au	去聲	導2{領~；~航} 到 倒2{~水} 道2{~路} 盜 稻 悼2{~念} 蹈2{赴湯~火} 鑄2{~鐘；~鍋；~耳環子} 刀2{一~紙}
t	au	輕聲	道3{詞綴“溜~的”中的讀音}
tʰ	au	陰平	掏
tʰ	au	陽平	逃 桃 濤 滔 陶 啕{號~大哭} 淘
tʰ	au	上聲	討
tʰ	au	去聲	套
n	au	陰平	熬1{將肉或其他食物放在水裡煎煮} 燋{圪~：垃圾} 臑{夾~子：一種捕鼠、捕鳥或捕野獸的器具，用鐵絲圈或細鋼筋及彈簧等制成，大小不等}
n	au	陽平	熬2{~稀粥} 獒1 撓1{~癢} 饒 副詞：~來了吃了，走頓還再拿上
n	au	上聲	腦 腦{裌~夾~兒：~須兒化} 撓2{~東西}
n	au	去聲	鬧 傲{驕~} 熬3{鍋~乾啦；水~乾啦} 奧{~妙} 澳 懊{~悔；~惱} 藥1{~耗子} 拗1{~斷啦；~門兒：別扭的人} 坳{~山~} 凹2 淖1 嫩
l	au	陰平	獰{瞎~：中華鼴鼠} 嘮1{圪~：連續不停地說話、拉呱兒} 撈1{尿圪~} 晃1{昂~} □{黑~、圪~：都指反復地淘、桶、攪}
l	au	陽平	勞 嘮2{~叨} 撈 澇1{防~} 癆{牢}
l	au	上聲	老1 佬
l	au	去聲	落5{樹葉兒~啦} 絡2{~子} 酪1{奶~} 澇2{雨~} 罄{圪~兒~子：一種專用的塔燈用具} 撈2{圪~子：即沓~子；即沓~} 老2{兩口~}
l	au	輕聲	老3{詞綴“~少的、~意的、式~的”中的讀音}
ts	au	陰平	召 招 昭 詔 沼 遭 噪1{~~：大喊大叫地說，後一個~讀輕聲} 糟1{~蹋} 朝1{~令夕改} 肇 兆1{瑞雪~豐年} 蚤 笊1{~子}
ts	au	陽平	鑿1{~子} 著1{睡~；~火} 啄1{~米}
ts	au	上聲	早 棗 爪2{~子；~牙} 澡 找 朝2{~霞}
