字頭	呼	等	韻部	聲調	組	聲紐	攝	聲母	韻母	聲調	備註
貝	開	一	泰	去	幫	幫	蟹	bb	ui	3	
背	合	一	灰	去	幫	幫	蟹	bb	ui	3	名詞
狽	開	一	泰	去	幫	幫	蟹	bb	ui	3	
奔	合	一	魂	平	幫	幫	臻	bb	an	1	
本	合	一	魂	上	幫	幫	臻	bb	un	2	
崩	開	一	登	平	幫	幫	曾	bb	ang	1	
逼	開	三	蒸	入	幫	幫	曾	bb	ik	7	
廢	合	三	廢	去	幫	幫	蟹	f	i	3	
蔽	開	三	祭A	去	幫	幫	蟹	b	i	6	
啡	合	一	灰	上	幫	滂	蟹	f	i	1	
筆	開	三	真B	入	幫	幫	臻	bb	at	7	
必	開	三	真A	入	幫	幫	臻	bb	it	7	
肺	合	三	廢	去	幫	滂	蟹	f	i	3	
畢	開	三	真A	入	幫	幫	臻	bb	at	7	
閉	開	四	齊	去	幫	幫	蟹	bb	ai	3	
媲	開	四	齊	去	幫	滂	蟹	p	i	3	
碧	開	三	清B	入	幫	幫	梗	bb	ik	7	
壁	開	四	青	入	幫	幫	梗	bb	ik	7	
吠	合	三	廢	去	幫	並	蟹	f	i	6	
璧	開	三	清A	入	幫	幫	梗	bb	ik	7	
鞭	開	三	仙A	平	幫	幫	山	bb	in	1	
邊	開	四	先	平	幫	幫	山	bb	in	1	
扁	開	四	先	上	幫	幫	山	bb	en	2	口語
扁	開	四	先	上	幫	幫	山	bb	in	2	
匾	開	四	先	上	幫	幫	山	bb	en	2	口語
匾	開	四	先	上	幫	幫	山	bb	in	2	
貶	開	三	鹽B	上	幫	幫	咸	bb	en	2	
貶	開	三	鹽B	上	幫	幫	咸	bb	in	2	
變	開	三	仙B	去	幫	幫	山	bb	in	3	
彪	開	三	幽	平	幫	幫	流	bb	iu	1	
標	開	三	宵A	平	幫	幫	效	bb	iu	1	
飆	開	三	宵A	平	幫	幫	效	bb	iu	1	
鑣	開	三	宵B	平	幫	幫	效	bb	iu	1	
表	開	三	宵B	上	幫	幫	效	bb	iu	2	
彬	開	三	真B	平	幫	幫	臻	bb	an	1	
賓	開	三	真A	平	幫	幫	臻	bb	an	1	
濱	開	三	真A	平	幫	幫	臻	bb	an	1	
檳	開	三	真A	平	幫	幫	臻	bb	an	1	
瀕	開	三	真A	平	幫	幫	臻	bb	an	1	
鬢	開	三	真A	去	幫	幫	臻	bb	an	3	
冰	開	三	蒸	平	幫	幫	曾	bb	ing	1	
兵	開	三	庚	平	幫	幫	梗	bb	ing	1	
丙	開	三	庚	上	幫	幫	梗	bb	ing	2	
秉	開	三	庚	上	幫	幫	梗	bb	ing	2	
柄	開	三	庚	去	幫	幫	梗	bb	ing	3	
炳	開	三	庚	上	幫	幫	梗	bb	ing	2	
稟	開	三	侵B	上	幫	幫	深	bb	an	2	
餅	開	三	清A	上	幫	幫	梗	bb	ing	2	
并	開	三	清A	平	幫	幫	梗	bb	ing	3	
併	開	三	清A	上	幫	幫	梗	bb	ing	3	
摒	開	三	清A	去	幫	幫	梗	bb	ing	3	
波	開	一	歌	平	幫	幫	果	bb	eo	1	
缽	合	一	桓	入	幫	幫	山	bb	ut	7	
播	開	一	歌	去	幫	幫	果	bb	eo	3	
撥	開	一	寒	入	幫	幫	山	bb	ut	7	
魄	開	一	唐	入	端	透	宕	p	aa	2	
博	開	一	唐	入	幫	幫	宕	bb	ok	8	
搏	合	三	虞	去	幫	幫	遇	bb	ok	8	
駁	開	二	江	入	幫	幫	江	bb	ok	8	
跛	開	一	歌	上	幫	幫	果	bb	ai	1	
跛	開	二	歌	上	幫	幫	果	bb	eo	2	
簸	開	一	歌	上	幫	幫	果	bb	eo	3	
卜	開	一	東	入	幫	幫	通	bb	uk	7	
幕	開	一	唐	入	幫	明	宕	m	u	6	見《玉林市志》
不	合	三	尤	平	幫	幫	流	bb	at	7	
不								f	au	2	同「否」
富	合	三	尤	去	幫	幫	流	f	u	3	
憊	開	二	皆	去	幫	並	蟹	b	i	6	
陛	開	四	齊	上	幫	並	蟹	b	i	5	
迫	開	二	庚	入	幫	幫	梗	bb	ik	7	
發	合	三	元	入	幫	幫	山	f	ot	8	
敝	開	三	祭A	去	幫	並	蟹	b	i	6	
法	合	三	凡	入	幫	幫	咸	f	ot	8	
髮	合	三	元	入	幫	幫	山	f	ot	8	
反	合	三	元	上	幫	幫	山	f	on	2	
返	合	三	元	上	幫	幫	山	f	on	1	口語
返	合	三	元	上	幫	幫	山	f	on	2	
販	合	三	元	去	幫	幫	山	f	on	3	
販								m	en	1	販子：菜~|果~|牛~
放	合	三	陽	上	幫	幫	宕	f	ong	3	
弊	開	三	祭A	去	幫	並	蟹	b	i	6	
幣	開	三	祭A	去	幫	並	蟹	b	i	6	
斃	開	三	祭A	去	幫	並	蟹	b	i	6	
莉	開	四	齊	平	來	來	蟹	l	i	6	
撕	開	四	齊	平	精	心	蟹	sl	i	1	
誓	開	三	祭A	去	章	常	蟹	s	i	6	
費								bb	ai	3	枉費：~我買咁多
分	合	三	文	平	幫	幫	臻	f	an	1	~開
吩	合	三	文	平	幫	幫	臻	f	an	1	
粉	合	三	文	上	幫	幫	臻	f	an	2	
份	合	三	問	去	幫	並	臻	f	an	6	
奮	合	三	文	去	幫	幫	臻	f	an	6	
糞	合	三	文	去	幫	幫	臻	f	an	3	
封	合	三	鍾	平	幫	幫	通	f	ung	1	
風	合	三	東	平	幫	幫	通	f	ung	1	
楓	合	三	東	平	幫	幫	通	f	ung	1	
瘋	開	三	東	平	幫	幫	通	f	ung	1	
諷	合	三	東	去	幫	幫	通	f	ung	2	
俸	開	一	東	上	幫	幫	通	f	ung	2	《玉林话研究》讀阳去
副	合	三	尤	去	幫	滂	流	f	u	3	
弗	合	三	文	入	幫	幫	臻	f	at	9	
幅	合	三	東	入	幫	幫	通	f	uk	7	
福	合	三	東	入	幫	幫	通	f	uk	7	
蝠	合	三	東	入	幫	幫	通	f	uk	7	
輻	合	三	尤	去	幫	幫	流	f	uk	7	
浮	合	三	尤	平	幫	並	流	f	u	4	白讀
負	合	三	尤	上	幫	並	流	f	u	6	
婦	合	三	尤	上	幫	並	流	f	u	5	
牟	合	三	尤	平	幫	明	流	m	u	6	
母	開	一	侯	上	幫	明	流	m	u	5	
拇	開	一	侯	上	幫	明	流	m	u	2	
畝	開	一	侯	上	幫	明	流	m	u	2	
戊	開	一	侯	去	幫	明	流	m	u	6	
姆	開	一	侯	去	幫	明	流	m	u	5	
腹	合	三	東	入	幫	幫	通	f	uk	7	
剝	開	二	江	入	幫	幫	江	m	ok	8	文讀：~削
剝	開	二	江	入	幫	幫	江	m	uk	7	剝去，摘除，扒掉：~插頭|~衫|~去tang2-3皮
絆	開	一	寒	去	幫	幫	山	b	un	5	
薄	開	一/三	歌戈	平	幫	幫	果	b	eo	6	~荷
爆	開	二	肴	去	幫	幫	效	b	eou	6	~炸
世	開	三	祭A	去	章	書	蟹	s	i	3	文讀：~界
扒	開	二	皆	去	幫	幫	蟹	b	o	4	
笨	合	一	魂	上	幫	並	臻	b	an	6	
頒	開	二	刪	平	幫	幫	山	p	on	3	
勢	開	三	祭A	去	章	書	蟹	s	ai	3	白讀。手~：手兿，技術；慣~：嬌慣，不管不頋，放任自流
勢	開	三	祭A	去	章	書	蟹	s	i	3	文讀。~力
啟	開	四	齊	上	見	溪	蟹	h	i	2	見1959年字表，其標記爲文讀
蝙	開	四	先	平	幫	幫	山	p	in	1	
編	開	四	先	平	幫	幫	山	p	in	1	
遍	開	四	先	去	幫	幫	山	p	in	3	
漱	開	三	尤	去	莊	生	流	s	u	3	
輩	合	一	灰	去	幫	幫	蟹	bb	ui	3	
拚	合	三	文	去	幫	幫	臻	p	un	3	
拼	開	四	青	平	幫	滂	梗	p	ing	3	
嗅	開	三	尤	去	影	曉	流	nj	u	3	動詞
補	開	一	模	上	幫	幫	遇	bb	u	2	
布	開	一	模	去	幫	幫	遇	bb	u	3	
屏	開	四	青	平	幫	並	梗	b	ing	4	
靶	開	二	麻	去	幫	幫	假	bb	o	3	
粄	開	一	寒	上	幫	幫	山	bb	on	2	
褓	開	一	豪	上	幫	幫	效	bb	on	2	
畚	合	一	魂	上	幫	幫	臻	bb	on	2	
良	開	三	陽	平	來	來	宕	l	aa	4	
涼	開	三	陽	平	來	來	宕	l	aa	4	
彆	開	三	祭A	去	幫	幫	蟹	bb	it	7	
啓	開	四	齊	上	見	溪	蟹	h	i	2	見1959年字表，其標記爲文讀
芾								f	at	7	草木盛
倪	開	四	齊	平	見	疑	蟹	nj	i	1	
佈	開	一	模	去	幫	幫	遇	bb	u	3	
霓	開	四	齊	平	見	疑	蟹	nj	i	1	見《玉林话研究》
蹼	開	一	東	入	幫	幫	通	bb	uk	7	
叭	開	二	山	入	幫	滂	山	bb	o	1	
繽	開	三	真A	平	幫	滂	臻	bb	an	1	
玻	開	一	歌	平	幫	滂	果	bb	eo	1	
膊	開	一	唐	入	幫	滂	宕	bb	ok	8	
膚	合	三	虞	平	幫	幫	遇	f	u	1	
捧	合	三	鍾	上	幫	滂	通	bb	ung	2	白讀
翻	合	三	元	平	幫	滂	山	f	on	1	文讀
翻	合	三	元	平	幫	滂	山	f	en	1	翻開，翻動，翻找
翻	合	三	元	平	幫	滂	山	p	en	1	翻開
翻	合	三	元	平	幫	滂	山	m	en	1	翻開
翻	合	三	元	平	幫	滂	山	f	en	2	外翻（如脣）；邊緣卷翹、外展
翻	合	三	元	平	幫	滂	山	f	en	4	翻動，或是「繙」
翻	合	三	元	平	幫	滂	山	b	en	4	翻動，或是「繙」
泛	合	三	凡	去	幫	滂	咸	f	om	3	
芳	合	三	陽	平	幫	滂	宕	f	ong	1	
妨	合	三	陽	平	幫	滂	宕	f	ong	4	
仿	合	三	陽	上	幫	滂	宕	f	ong	2	
紡	合	三	陽	上	幫	滂	宕	f	ong	2	
訪	合	三	陽	去	幫	滂	宕	f	ong	2	
兮	開	四	齊	平	影	匣	蟹	h	i	1	
裔	開	三	祭A	去	以	以	蟹	j	i	1	
卑	開	三	支A	平	幫	幫	止	bb	i	1	
悲	開	三	脂B	平	幫	幫	止	bb	i	1	
芬	合	三	文	平	幫	滂	臻	f	an	1	
紛	合	三	文	平	幫	滂	臻	f	an	1	
忿	合	三	文	上	幫	滂	臻	f	an	6	
丰	合	三	鍾	平	幫	滂	通	f	ung	1	
峰	開	三	鍾	平	幫	滂	通	f	ung	1	
烽	合	三	鍾	平	幫	滂	通	f	ung	1	
鋒	合	三	鍾	平	幫	滂	通	f	ung	1	
豐	合	三	東	平	幫	滂	通	f	ung	1	
斧	合	三	虞	上	幫	幫	遇	f	u	2	
府	合	三	虞	上	幫	幫	遇	f	u	2	
拂	合	三	文	入	幫	滂	臻	f	at	7	文讀
彿	合	三	文	入	幫	滂	臻	f	at	7	
俯	合	三	虞	上	幫	幫	遇	f	u	2	
父	合	三	虞	上	幫	並	遇	f	u	6	
付	合	三	虞	去	幫	幫	遇	f	u	3	
覆	合	三	尤	去	幫	滂	流	f	uk	7	
㭋	開	二	江	上	幫	並	江	b	ang	5	打
拔	合	三	元	入	幫	並	山	b	ot	10	
跋	開	一	寒	入	幫	並	山	b	ot	10	
魃	開	一	寒	入	幫	並	山	b	ot	10	
罷	開	二	佳	上	幫	並	蟹	b	o	6	
吧	開	二	麻	平	幫	滂	假	p	o	02	
吧								bb	o	1	酒~，網~
拂	合	三	文	入	幫	滂	臻	p	at	7	白讀。輕輕掠過表面以除去髒物
沛	開	一	泰	去	幫	滂	蟹	p	ui	3	
怕	開	二	麻	去	幫	滂	假	p	o	3	
梁	開	三	陽	平	來	來	宕	l	aa	4	
拍	開	二	庚	入	幫	滂	梗	p	ek	8	又讀。拍打
派	開	二	佳	去	幫	滂	蟹	p	oi	2	
派	開	二	佳	去	幫	滂	蟹	p	oi	3	又讀
潘	開	一	寒	平	幫	滂	山	p	un	1	
攀	開	二	刪	平	幫	滂	山	p	on	1	
判	開	一	寒	去	幫	滂	山	p	un	3	
盼	開	二	山	去	幫	滂	山	p	on	3	
拋	開	二	肴	平	幫	滂	效	p	ou	1	
泡	開	二	肴	平	幫	滂	效	p	ou	1	名詞：燈~、水~
泡	開	二	肴	去	幫	滂	效	p	ou	3	動詞：~茶
炮	開	二	肴	去	幫	滂	效	p	ou	3	
皰	開	二	肴	去	幫	滂	效	p	ou	3	
坏	合	一	灰	平	幫	滂	蟹	p	ui	1	同「坯」，又見「壞」的簡體
胚	合	一	灰	平	幫	滂	蟹	p	ui	1	
噴	合	一	魂	去	幫	滂	臻	p	an	3	
蜋	開	三	陽	平	來	來	宕	l	aa	4	
批	開	四	齊	平	幫	滂	蟹	p	ai	1	
碑	開	三	支B	平	幫	幫	止	bb	i	1	
劈	開	四	青	入	幫	滂	梗	p	ik	7	
霹	開	四	青	入	幫	滂	梗	p	ik	7	
匹	開	三	真A	入	幫	滂	臻	p	at	7	
比	開	四	脂A	上	幫	幫	止	bb	i	2	
僻	開	三	清A	入	幫	滂	梗	p	ik	7	
妣	開	三	脂A	上	幫	幫	止	bb	i	2	
偏	開	三	仙A	平	幫	滂	山	p	in	1	
篇	開	三	仙A	平	幫	滂	山	p	in	1	
片	開	四	先	去	幫	滂	山	p	en	3	白讀。名量詞：藥~|一~豬肉；切成片：~芋頭
片	開	四	先	去	幫	滂	山	p	in	3	
騙	開	三	仙A	去	幫	滂	山	p	in	3	
漂	開	三	宵A	平	幫	滂	效	p	iu	1	~泊
漂	開	三	宵A	去	幫	滂	效	p	iu	3	~亮，~白
票	開	三	宵A	去	幫	滂	效	p	iu	3	
瞥	開	四	先	入	幫	滂	山	p	it	7	
撇	開	三	屑	入	幫	滂	山	p	it	7	
品	開	三	侵B	上	幫	滂	深	p	an	2	
聘	開	三	清A	去	幫	滂	梗	p	ing	3	
娉	開	三	清	去	幫	滂	梗	p	ing	3	
坡	開	一	歌	平	幫	滂	果	p	eo	1	
粱	開	三	陽	平	來	來	宕	l	aa	4	
破	開	一	歌	去	幫	滂	果	p	eo	3	
頗	開	一	歌	上	幫	滂	果	p	eo	2	
剖	開	一	侯	上	幫	滂	流	p	au	2	見《玉林話研究》
剖	開	一	侯	上	幫	滂	流	p	eou	2	見《玉林市志》
撲	開	一	東	入	幫	滂	通	p	ok	8	
付	合	三	虞	去	幫	幫	遇	f	u	6	~款
咐	合	三	虞	去	幫	幫	遇	f	u	3	
仆	合	三	虞	去	幫	滂	遇	p	uk	7	
傅	合	三	虞	去	幫	幫	遇	f	u	6	
甫	合	三	虞	上	幫	幫	遇	p	u	2	
樸	開	二	覺	入	幫	滂	江	p	ok	8	
彼	開	三	支B	上	幫	幫	止	bb	i	2	
庇	開	三	脂A	去	幫	幫	止	bb	i	3	
脯	合	三	虞	上	幫	幫	遇	p	u	2	果~
湃	開	二	皆	去	幫	滂	蟹	p	oi	3	
痺	開	三	至	去	幫	幫	止	bb	i	3	
翩	開	三	仙A	平	幫	滂	山	p	in	1	
瞟	開	三	宵A	平	幫	滂	效	p	iu	2	
粕	開	一	唐	入	幫	滂	宕	p	ok	8	
璞	開	二	江	入	幫	滂	江	p	ok	8	
爸	開	二	禡	去	幫	幫	麻	bb	o	1	
般	合	一	寒	平	幫	幫	山	bb	un	1	
榜	開	一	唐	上	幫	幫	宕	bb	ong	2	
糧	開	三	陽	平	來	來	宕	l	aa	4	
棒	開	二	江	上	幫	並	江	bb	ung	2	棍~
雹	開	二	江	入	幫	並	江	bb	ak	7	白讀：~子
雹	開	二	江	入	幫	並	江	bb	ou	1	冰~
鮑	開	二	肴	上	幫	並	效	bb	ou	1	
配	合	一	灰	去	幫	滂	蟹	p	ui	3	
蓓	合	一	灰	上	幫	並	蟹	bb	ui	3	
埠	開	一	模	去	幫	並	遇	f	au	6	
乏	合	三	凡	入	幫	並	咸	f	ot	10	
伐	合	三	元	入	幫	並	山	f	ot	10	
筏	合	三	元	入	幫	並	山	f	ot	10	
罰	合	三	元	入	幫	並	山	f	ot	10	
帆	合	三	凡	平	幫	並	咸	f	on	4	
番	合	三	元	平	幫	滂	山	f	on	1	西洋的：~薯|~茄|~鬼
番	合	一	桓	平	幫	幫	山	p	un	1	~禺：地名，在廣東
蕃	合	三	元	平	幫	並	山	f	on	4	
藩	合	三	元	平	幫	並	山	f	on	4	
凡	合	三	凡	平	幫	並	咸	f	on	4	
煩	合	三	元	平	幫	並	山	f	on	4	
樊	合	三	元	平	幫	並	山	f	on	4	
繁	合	三	元	平	幫	並	山	f	on	4	
犯	合	三	凡	上	幫	並	咸	f	om	6	
犯	合	三	凡	上	幫	並	咸	f	om	5	白讀。阻礙，干擾；騷擾，冒犯；
氾	合	三	凡	平	幫	並	咸	f	om	4	地名；河流名；姓
氾	合	三	凡	去	幫	滂	咸	f	om	3	大水淹
范	合	三	凡	上	幫	並	咸	f	om	6	姓
梵	合	三	凡	去	幫	並	咸	f	on	6	
飯	合	三	元	上	幫	並	山	f	on	6	
範	合	三	凡	上	幫	並	咸	f	om	3	規~|模~|師~
方	合	三	陽	平	幫	滂	宕	f	ong	1	
坊	合	三	陽	平	幫	幫	宕	f	ong	2	
防	合	三	陽	平	幫	並	宕	f	ong	4	
肪	合	三	陽	平	幫	並	宕	f	ong	1	
房	合	三	陽	平	幫	並	宕	f	ong	4	
臂	開	三	支A	去	幫	幫	止	bb	i	3	
祕	開	三	脂B	去	幫	幫	止	bb	i	3	
秘	開	三	脂B	去	幫	幫	止	bb	i	3	
分	合	三	文	去	幫	並	臻	f	an	6	成~
氛	合	三	文	平	幫	滂	臻	f	an	1	
焚	合	三	文	平	幫	並	臻	f	an	4	
墳	合	三	文	平	幫	並	臻	f	an	4	
憤	合	三	文	上	幫	並	臻	f	an	6	
蜂	開	三	鍾	平	幫	滂	通	f	ung	1	
逢	合	三	鍾	平	幫	並	通	f	ung	4	
馮	合	三	東	平	幫	並	通	f	ung	4	
縫	合	三	鍾	平	幫	並	通	f	ung	4	動詞
縫	合	三	鍾	去	幫	並	通	f	ung	6	名詞，見《玉林市志》
奉	合	三	鍾	上	幫	並	通	f	ung	6	
鳳	合	三	東	去	幫	並	通	f	ung	6	
佛								f	at	7	仿~
佛	合	三	文	入	幫	並	臻	f	at	9	
否	開	三	有	上	幫	幫	流	f	au	2	
非	合	三	微	平	幫	幫	止	f	i	1	
圃	開	一	模	上	幫	幫	遇	p	u	2	
譜	開	一	模	上	幫	幫	遇	p	u	2	
伏	合	三	尤	去	幫	並	流	f	uk	9	
賦	合	三	虞	去	幫	幫	遇	f	u	3	
怖	開	一	模	去	幫	滂	遇	bb	u	3	
服	合	三	東	入	幫	並	通	f	uk	9	
浮	合	三	尤	平	幫	並	流	f	au	4	輕~|~躁
孵	合	三	虞	平	幫	滂	遇	f	u	1	
敷	合	三	虞	平	幫	滂	遇	f	u	1	
匐	合	三	東	入	幫	並	通	f	uk	9	
俘	合	三	虞	平	幫	滂	遇	f	u	1	
撫	合	三	虞	上	幫	滂	遇	f	u	5	
鋪	合	一	虞	平	幫	滂	遇	p	u	1	動詞
鋪	開	一	模	去	幫	滂	遇	p	u	3	名詞
復	合	三	尤	去	幫	並	流	f	uk	7	
複	開	三	屋	去	幫	幫	通	f	uk	7	
縛	開	一	歌	去	幫	並	果	f	ok	10	
馥	合	三	東	入	幫	並	通	f	uk	9	
彷	開	一	唐	平	幫	並	宕	f	ong	1	
癟	開	四	先	入	幫	並	山	m	et	8	訓讀
敗	開	二	夬	去	幫	並	蟹	b	oi	6	
伴	開	一	寒	上	幫	並	山	b	un	5	
伴	開	一	寒	上	幫	並	山	bb	on	3	帶上（某人），跟（某人）作伴：~我去
拌	合	一	桓	上	幫	並	山	b	on	6	凉~粉
拌	合	一	桓	上	幫	並	山	b	un	5	攪~
辦	開	二	山	去	幫	並	山	b	on	6	
瓣	開	二	山	去	幫	並	山	b	on	6	
蚌	開	二	江	上	幫	並	江	b	ang	5	
傍	開	一	唐	去	幫	並	宕	b	ang	6	倚靠
傍	開	一	唐	去	幫	並	宕	b	ong	6	
薄	開	一	唐	入	幫	並	宕	b	ok	10	
抱	開	一	豪	上	幫	並	效	b	eou	5	
暴	開	一	豪	去	幫	並	效	b	eou	6	
陪	合	一	灰	平	幫	並	蟹	bb	ui	1	連詞。就着……一起，跟……一塊儿
背	合	一	灰	去	幫	並	蟹	b	ui	6	動詞
飛	合	三	微	平	幫	幫	止	f	i	1	
匪	合	三	微	上	幫	幫	止	f	i	2	
沸	合	三	微	去	幫	幫	止	f	i	3	
倍	合	一	灰	上	幫	並	蟹	b	ui	5	
疿	合	三	微	去	幫	幫	止	f	i	3	
鼻	開	三	脂A	去	幫	並	止	b	at	9	口語：~涕|~屎|~竉|~鼻(bi6)|嶺~
費	開	三	脂B	去	幫	幫	止	f	i	3	
彼	開	三	支B	上	幫	幫	止	p	i	2	又讀
鄙	開	三	脂B	上	幫	幫	止	p	i	2	
扉	合	三	微	平	幫	幫	止	f	i	1	
芾	合	三	微	去	幫	幫	止	f	i	3	樹木枝幹、莖葉幼小的樣子
泌	開	三	脂B	去	幫	幫	止	bb	i	3	
妃	合	三	微	平	幫	滂	止	f	i	1	
菲	合	三	微	平	幫	滂	止	f	i	1	
汴	開	三	仙B	去	幫	並	山	b	in	6	
便	開	三	仙A	平	幫	並	山	b	in	4	~宜
便	開	四	仙A	去	幫	並	山	b	in	6	方~
辨	開	三	仙B	上	幫	並	山	b	in	6	
辮	開	四	先	上	幫	並	山	b	in	5	
辯	開	三	仙B	上	幫	並	山	b	in	6	
別	開	三	仙B	入	幫	並	山	b	et	10	
並	開	四	青	上	幫	並	梗	b	ing	5	
病	開	三	庚	去	幫	並	梗	b	ing	6	
兩	開	三	陽	上	來	來	宕	l	aa	5	數目
勃	合	一	魂	入	幫	並	臻	b	ot	10	
蔔	開	一	登	入	幫	並	曾	b	ak	9	
浦	開	一	模	上	幫	滂	遇	p	u	2	
普	開	一	模	上	幫	滂	遇	p	u	2	
赴	合	三	虞	去	幫	滂	遇	f	u	3	
夫	合	三	虞	平	幫	幫	遇	f	u	1	
夫	合	三	虞	平	幫	並	遇	f	u	4	文言中表示句首發語詞、指示詞、語氣詞
杷	開	二	麻	平	幫	並	假	b	o	4	
爬	開	二	麻	平	幫	並	假	b	o	4	
耙	開	二	麻	去	幫	並	假	b	o	4	
琶	開	二	麻	平	幫	並	假	b	o	4	
排	開	二	皆	平	幫	並	蟹	b	oi	4	
焙	合	一	隊	去	幫	並	蟹	b	ui	6	
牌	開	二	佳	平	幫	並	蟹	b	oi	4	
盤	開	一	寒	平	幫	並	山	b	un	4	
蹣	開	一	寒	平	幫	並	山	b	on	4	
畔	開	一	寒	去	幫	並	山	b	un	5	
旁	開	一	唐	平	幫	並	宕	b	ong	4	
螃	開	一	唐	平	幫	並	宕	b	ang	4	
龐	開	二	江	平	幫	並	江	b	ang	4	
袍	開	一	豪	平	幫	並	效	b	eou	4	
泡	開	二	肴	平	幫	並	效	b	eou	5	泡沫
徘	合	一	灰	平	幫	並	蟹	b	ui	4	
陪	合	一	灰	平	幫	並	蟹	b	ui	4	陪伴，伴隨
培	合	一	灰	平	幫	並	蟹	b	ui	4	
盆	合	一	魂	平	幫	並	臻	b	un	4	
朋	開	一	登	平	幫	並	曾	b	ang	4	
兩	開	三	陽	上	來	來	宕	l	aa	2	重量單位
魎	開	三	陽	上	來	來	宕	l	aa	5	
蓬	開	一	東	平	幫	並	通	b	ung	4	~草
篷	開	一	東	平	幫	並	通	b	ung	4	~被
亮	開	三	陽	去	來	來	宕	l	aa	3	
鵬	開	一	登	平	幫	並	曾	b	ang	4	
捧	開	三	鍾	平	幫	並	通	b	ung	4	文讀
披	開	三	支B	平	幫	滂	止	p	i	1	
屁	開	三	脂A	去	幫	滂	止	p	i	3	
譬	開	三	支A	去	幫	滂	止	p	i	3	
悱	合	三	微	上	幫	滂	止	f	i	2	
瓢	開	三	宵A	平	幫	並	效	b	iu	5	
貧	開	三	真B	平	幫	並	臻	b	an	4	
頻	開	三	真A	平	幫	並	臻	b	an	4	
平	開	三	仙A	平	幫	並	山	b	ing	4	
坪	開	三	庚	平	幫	並	梗	b	ing	4	
瓶	開	四	青	平	幫	並	梗	b	ing	4	
萍	開	四	青	平	幫	並	梗	b	ing	4	
評	開	三	庚	平	幫	並	梗	b	ing	4	
憑	開	三	蒸	平	幫	並	曾	b	ang	4	
蘋	開	三	真A	平	幫	並	臻	b	ing	4	
婆	開	一	歌	平	幫	並	果	b	eo	4	
菩	開	一	模	平	幫	並	遇	b	eo	4	
扶	合	三	虞	平	幫	並	遇	f	u	4	
芙	合	三	虞	平	幫	並	遇	f	u	4	
符	合	三	虞	平	幫	並	遇	f	u	4	
