韵母	声母	平声	上声	去声
ua	ts	抓	爪
ua	s		刷
uə	t	多掇夺	朵躲	舵惰垛剁
uə	tʰ	拖驮	妥椭脱托	唾
uə	n	挪		诺
uə	l	罗罗箩啰骡螺脶	裸	摞乐落骆
uə	k	锅	果裹聒郭国	过
uə	kʰ	棵	括扩	阔廓
uə	x	河和禾盒活	火喝豁劐	贺祸货或惑获
uə	ts	琢镯	左佐做撮拙昨作柞桌捉	坐座
uə	tsʰ	搓矬	戳	锉错措
uə	s	梭唆莎	锁琐所说索缩	塑
uɛ	k	乖	拐	怪
uɛ	x	怀槐		坏
uɛ	ts			拽
uɛ	tsʰ	揣
uɛ	s			帅率
uɛi	k	闺龟规归轨	癸诡鬼	桂柜跪贵
uɛi	kʰ	盔魁傀逵葵亏窥		溃愧刽
uɛi	x	恢灰回茴麾挥辉徽	悔毁或	会晦贿汇秽惠慧讳
uɛi	tsʰ		出
uæ̃	t	端	短	断锻段缎
uæ̃	tʰ	团
uæ̃	l	恋	卵	乱
uæ̃	k	官棺观冠关	管馆	冠贯灌罐惯
uæ̃	kʰ	宽	款
uæ̃	x	欢环	缓	唤换幻患宦
uæ̃	ts	钻	转	赚钻篆转传
uæ̃	tsʰ	汆全泉传椽穿	喘	窜篡串
uæ̃	s	酸栓宣旋	选	算蒜涮漩
uæ̃	z		软
uaŋ	k	光	广	逛
uaŋ	kʰ	筐眶狂		旷矿况
uaŋ	x	荒慌黄簧皇蝗	谎	晃
uaŋ	ts	庄装桩		壮状撞
uaŋ	tsʰ	疮床噇	闯	创
uaŋ	s	霜双	爽
uŋ	t	敦墩蹲饨东冬	董懂	囤盾钝顿拖动洞
uŋ	tʰ	臀通同铜桐筒童	吞桶捅统	痛
uŋ	n	农浓
uŋ	l	仑论伦轮笼聋隆龙	拢垅	论
uŋ	k	公工功攻弓躬宫恭供	滚汞巩	棍贡供共
uŋ	kʰ	昆坤空	捆孔恐	困控空
uŋ	x	昏婚魂馄浑荤轰宏红洪	哄	混
uŋ	ts	尊遵棕鬃宗综中忠终钟盅踪	准总种肿	棕中众怂重种
uŋ	tsʰ	村存皴椿春唇纯醇聪匆葱虫充从重冲	蠢宠	寸铳
uŋ	s	孙松	损笋榫	顺舜送宋颂讼
uŋ	z	荣绒融容蓉茸		润闰
y	n		女
y	l		吕缕履屡捋	滤虑律率
y	tɕ	居车拘	举矩橘	巨锯据距具俱惧句聚剧
y	tɕʰ	蛆区驱駸屈	去取娶焌曲菊	趣
y	ɕ	虚嘘须需	许	序叙绪絮续戌续宿蓄
y	ø	鱼渔于淤余与迂盂榆愚如	语雨宇羽禹	御誉预豫愈喻裕遇愉娱欲玉狱育
yɛ	l		掠
yɛ	tɕ	决	绝厥掘橛诀镢	倔
yɛ	tɕʰ	瘸	缺确
yɛ	ɕ	靴	薛雪穴血学
yɛ	ø		悦月越哕
yæ̃	tɕ	捐	卷	圈
yæ̃	tɕʰ	圈拳权颧	犬	劝
yæ̃	ɕ	喧玄悬		楦
yæ̃	ø	圆员缘元原源冤袁辕园援 渊	远	院怨愿
yŋ	tɕ	均钧君军	菌	郡
yŋ	tɕʰ	群裙穷
yŋ	ɕ	循巡熏勋兄熊雄	旬	训
yŋ	ø	匀云		韵运晕孕永
