繁體	简体	吳拼	備注
沸	沸	fi⁵³	
誹	诽	fi⁵³	
廢	废	fi⁴⁴	
肺	肺	fi⁴⁴	
菲	菲	fi⁴⁴	
翡	翡	fi⁴⁴	
痱	痱	fi⁴⁴	
費	费	fi⁴⁴	費用
維	维	vi²²¹	
惟	惟	vi²²¹	
微	微	vi²²¹	文讀
唯	唯	vi¹³	
吠	吠	vi¹³	
肥	肥	vi¹³	文讀
尾	尾	vi¹³	文讀
味	味	vi¹³	文讀
未	未	vi¹³	文讀
費	费	vi¹³	姓
低	低	ti⁵³	
底	底	ti³⁵	
抵	抵	ti³⁵	
帝	帝	ti⁴⁴	
蒂	蒂	ti⁴⁴	蒂頭
締	缔	ti⁴⁴	
嚏	嚏	tʰi⁵³	
梯	梯	tʰi⁵³	
體	体	tʰi³⁵	
涕	涕	tʰi⁴⁴	
剃	剃	tʰi⁴⁴	
屜	屉	tʰi⁴⁴	
屉	屉	tʰi⁴⁴	
替	替	tʰi⁴⁴	
弟	弟	di²²¹	
逮	逮	di²²¹	
隸	隶	di²²¹	
隶	隶	di²²¹	
蹄	蹄	di²²¹	
啼	啼	di²²¹	
題	题	di¹³	
提	提	di¹³	
堤	堤	di¹³	
第	第	di¹³	
遞	递	di¹³	
地	地	di¹³	
你	你	ʔȵi⁴⁴	文讀
粘	粘	ʔȵi⁴⁴	粘結格牢
離	离	li²²¹	
璃	璃	li²²¹	
籬	篱	li²²¹	
勵	励	li²²¹	
荔	荔	li²²¹	
旅	旅	li²²¹	
犁	犁	li²²¹	
漓	漓	li²²¹	
梨	梨	li²²¹	
釐	厘	li²²¹	
狸	狸	li²²¹	
慮	虑	li²²¹	
麗	丽	li²²¹	
吏	吏	li²²¹	
俐	俐	li²²¹	
淚	泪	li²²¹	白讀
厲	厉	li¹³	
莉	莉	li¹³	
呂	吕	li¹³	
侶	侣	li¹³	
禮	礼	li¹³	
李	李	li¹³	
裏	里	li¹³	
里	里	li¹³	
裡	里	li¹³	
理	理	li¹³	
鯉	鲤	li¹³	
履	履	li¹³	
俚	俚	li¹³	
鋁	铝	li¹³	
黎	黎	li¹³	
濾	滤	li¹³	
例	例	li¹³	
利	利	li¹³	
痢	痢	li¹³	
娌	娌	li¹³	
机	机	tɕi⁵³	
機	机	tɕi⁵³	
稽	稽	tɕi⁵³	
譏	讥	tɕi⁵³	
飢	饥	tɕi⁵³	
饑	饥	tɕi⁵³	
肌	肌	tɕi⁵³	
姊	姊	tɕi⁵³	
悸	悸	tɕi⁵³	
箕	箕	tɕi⁵³	
姬	姬	tɕi⁵³	
幾	几	tɕi⁵³	幾乎
基	基	tɕi⁵³	基礎
擠	挤	tɕi³⁵	
己	己	tɕi³⁵	
雞	鸡	tɕi³⁵	
鷄	鸡	tɕi³⁵	
幾	几	tɕi³⁵	幾個
基	基	tɕi³⁵	基地
祭	祭	tɕi⁴⁴	
際	际	tɕi⁴⁴	
濟	济	tɕi⁴⁴	
劑	剂	tɕi⁴⁴	
計	计	tɕi⁴⁴	
繼	继	tɕi⁴⁴	
寄	寄	tɕi⁴⁴	
季	季	tɕi⁴⁴	
既	既	tɕi⁴⁴	
記	记	tɕi⁴⁴	
冀	冀	tɕi⁴⁴	
紀	纪	tɕi⁴⁴	
繫	系	tɕi⁴⁴	繫鞋帶
妻	妻	tɕʰi⁵³	
棲	栖	tɕʰi⁵³	
溪	溪	tɕʰi⁵³	
欺	欺	tɕʰi⁵³	
淒	凄	tɕʰi⁵³	
悽	凄	tɕʰi⁵³	
啓	启	tɕʰi³⁵	
啟	启	tɕʰi³⁵	
企	企	tɕʰi³⁵	
起	起	tɕʰi³⁵	
砌	砌	tɕʰi³⁵	
豈	岂	tɕʰi⁴⁴	
契	契	tɕʰi⁴⁴	
氣	气	tɕʰi⁴⁴	
汽	汽	tɕʰi⁴⁴	
器	器	tɕʰi⁴⁴	
棄	弃	tɕʰi⁴⁴	
楔	楔	tɕʰi⁴⁴	
杞	杞	tɕʰi⁴⁴	
碶	碶	tɕʰi⁴⁴	碶門
去	去	tɕʰi⁴⁴	白讀
蛆	蛆	tɕʰi⁴⁴	蛆蟲
苧	苎	dʑi²²¹	
薺	荠	dʑi²²¹	
峙	峙	dʑi²²¹	
臍	脐	dʑi²²¹	
奇	奇	dʑi²²¹	
騎	骑	dʑi²²¹	
其	其	dʑi²²¹	
棋	棋	dʑi²²¹	
碁	棋	dʑi²²¹	
期	期	dʑi²²¹	
旗	旗	dʑi²²¹	
祈	祈	dʑi²²¹	
鰭	鳍	dʑi²²¹	
嫉	嫉	dʑi²²¹	
齊	齐	dʑi²²¹	文讀
技	技	dʑi¹³	
痔	痔	dʑi¹³	
歧	歧	dʑi¹³	
妓	妓	dʑi¹³	
忌	忌	dʑi¹³	
崎	崎	dʑi¹³	
渠	渠	dʑi¹³	他
蟻	蚁	ȵi²²¹	
義	义	ȵi²²¹	
誼	谊	ȵi²²¹	
疑	疑	ȵi²²¹	
霓	霓	ȵi²²¹	
泥	泥	ȵi²²¹	
宜	宜	ȵi²²¹	
尼	尼	ȵi²²¹	
擬	拟	ȵi²²¹	
膩	腻	ȵi²²¹	
呢	呢	ȵi²²¹	
倪	倪	ȵi²²¹	姓
尾	尾	ȵi²²¹	白讀 尾巴
議	议	ȵi¹³	
儀	仪	ȵi¹³	
藝	艺	ȵi¹³	
毅	毅	ȵi¹³	
貳	贰	ȵi¹³	
二	二	ȵi¹³	白讀
耳	耳	ȵi¹³	白讀
西	西	ɕi⁵³	
犧	牺	ɕi⁵³	
希	希	ɕi⁵³	
稀	稀	ɕi⁵³	
嬉	嬉	ɕi⁵³	
熙	熙	ɕi⁵³	
璽	玺	ɕi⁵³	
徙	徙	ɕi⁵³	
髓	髓	ɕi⁵³	
犀	犀	ɕi⁵³	
世	世	ɕi⁵³	白讀
洗	洗	ɕi³⁵	
喜	喜	ɕi³⁵	
死	死	ɕi³⁵	白讀
細	细	ɕi⁴⁴	
婿	婿	ɕi⁴⁴	
戲	戏	ɕi⁴⁴	
絮	絮	ɕi⁴⁴	白讀 棉花絮
徐	徐	ʑi²²¹	
齊	齐	ʑi²²¹	白讀
余	余	ʑi²²¹	姓
自	自	ʑi¹³	白讀 自家人
鋸	锯	ki⁴⁴	白讀
兮	兮	ɦi²²¹	
遺	遗	ɦi²²¹	
姨	姨	ɦi²²¹	
矣	矣	ɦi²²¹	
夷	夷	ɦi²²¹	
異	异	ɦi²²¹	
肄	肄	ɦi²²¹	
胰	胰	ɦi²²¹	
移	移	ɦi²²¹	
頤	颐	ɦi²²¹	
繫	系	ɦi²²¹	聯繫
易	易	ɦi²²¹	容易
奚	奚	ɦi¹³	
又	又	ɦi¹³	白讀 又來啦
依	依	i⁵³	
醫	医	i⁵³	
伊	伊	i⁵³	
衣	衣	i⁵³	
倚	倚	i³⁵	
已	已	i³⁵	
以	以	i³⁵	
椅	椅	i³⁵	
意	意	i⁴⁴	
蔫	蔫	i⁴⁴	不新鮮
譜	谱	pu³⁵	
補	补	pu³⁵	
布	布	pu⁴⁴	
怖	怖	pu⁴⁴	
鋪	铺	pʰu⁵³	鋪陳
普	普	pʰu³⁵	
浦	浦	pʰu³⁵	
圃	圃	pʰu³⁵	
潽	潽	pʰu⁴⁴	水沸
鋪	铺	pʰu⁴⁴	鋪板
菩	菩	bu²²¹	
葡	葡	bu²²¹	
匍	匍	bu²²¹	
蒲	蒲	bu²²¹	
荸	荸	bu²²¹	荸薺
脯	脯	bu²²¹	胸脯
部	部	bu¹³	
簿	簿	bu¹³	
捕	捕	bu¹³	
哺	哺	bu¹³	
步	步	bu¹³	
埠	埠	bu¹³	
孵	孵	bu¹³	
殕	殕	bu¹³	白黴
呼	呼	fu⁵³	
夫	夫	fu⁵³	
膚	肤	fu⁵³	
敷	敷	fu⁵³	
俘	俘	fu⁵³	
麩	麸	fu⁵³	
甫	甫	fu⁵³	
脯	脯	fu⁵³	果脯
府	府	fu³⁵	
俯	俯	fu³⁵	
腑	腑	fu³⁵	
虎	虎	fu³⁵	
滸	浒	fu³⁵	
斧	斧	fu³⁵	
釜	釜	fu³⁵	
付	付	fu⁴⁴	
賦	赋	fu⁴⁴	
赴	赴	fu⁴⁴	
訃	讣	fu⁴⁴	
副	副	fu⁴⁴	
富	富	fu⁴⁴	
傅	傅	fu⁴⁴	
湖	湖	vu²²¹	
壺	壶	vu²²¹	
乎	乎	vu²²¹	
瓠	瓠	vu²²¹	
葫	葫	vu²²¹	
蕪	芜	vu²²¹	
婦	妇	vu²²¹	
巫	巫	vu²²¹	
蝴	蝴	vu²²¹	
弧	弧	vu²²¹	
狐	狐	vu²²¹	
糊	糊	vu²²¹	
滬	沪	vu²²¹	
浮	浮	vu²²¹	文讀
吳	吴	vu²²¹	文讀
胡	胡	vu²²¹	胡琴
務	务	vu¹³	
戶	户	vu¹³	
戸	户	vu¹³	
户	户	vu¹³	
伍	伍	vu¹³	
午	午	vu¹³	
腐	腐	vu¹³	
輔	辅	vu¹³	
武	武	vu¹³	
舞	舞	vu¹³	
侮	侮	vu¹³	
鵡	鹉	vu¹³	
父	父	vu¹³	
互	互	vu¹³	
符	符	vu¹³	
扶	扶	vu¹³	
芙	芙	vu¹³	
撫	抚	vu¹³	
誣	诬	vu¹³	
護	护	vu¹³	
附	附	vu¹³	
霧	雾	vu¹³	
戊	戊	vu¹³	
五	五	vu¹³	文讀
無	无	vu¹³	文讀
都	都	tu⁵³	
堵	堵	tu³⁵	
賭	赌	tu³⁵	
睹	睹	tu³⁵	
肚	肚	tu³⁵	豬肚
妒	妒	tu⁴⁴	
土	土	tʰu³⁵	
唾	唾	tʰu³⁵	涎唾
吐	吐	tʰu³⁵	吐痰
兔	兔	tʰu⁴⁴	
堍	堍	tʰu⁴⁴	堍頭
吐	吐	tʰu⁴⁴	嘔吐
徒	徒	du²²¹	
屠	屠	du²²¹	
途	途	du²²¹	
涂	涂	du²²¹	
塗	涂	du²²¹	
圖	图	du²²¹	
度	度	du¹³	
渡	渡	du¹³	
鍍	镀	du¹³	
杜	杜	du¹³	
肚	肚	du¹³	肚皮
努	努	nu¹³	
奴	奴	nu¹³	
娛	娱	nu¹³	
怒	怒	nu¹³	
悟	悟	nu¹³	
誤	误	nu¹³	
梧	梧	nu¹³	
弩	弩	nu¹³	
吾	吾	nu¹³	
晤	晤	nu¹³	
盧	卢	lu²²¹	
爐	炉	lu²²¹	
蘆	芦	lu²²¹	
鸕	鸬	lu²²¹	
廬	庐	lu²²¹	
驢	驴	lu²²¹	
路	路	lu¹³	
露	露	lu¹³	
鷺	鹭	lu¹³	
魯	鲁	lu¹³	
櫓	橹	lu¹³	
滷	卤	lu¹³	
鹵	卤	lu¹³	
租	租	tsu⁵³	
祖	祖	tsu³⁵	
組	组	tsu³⁵	
阻	阻	tsu³⁵	
詛	诅	tsu³⁵	
粗	粗	tsʰu⁵³	
初	初	tsʰu⁵³	
楚	楚	tsʰu⁵³	
礎	础	tsʰu⁵³	
醋	醋	tsʰu⁴⁴	
措	措	tsʰu⁴⁴	
助	助	dzu¹³	
鋤	锄	dzu¹³	
蘇	苏	su⁵³	
蔬	蔬	su⁵³	
疏	疏	su⁵³	
酥	酥	su⁵³	
鬚	须	su⁵³	牙鬚
數	数	su³⁵	文讀 數一數
素	素	su⁴⁴	
塑	塑	su⁴⁴	泥塑木雕
訴	诉	su⁴⁴	
數	数	su⁴⁴	數目
姑	姑	ku⁵³	
孤	孤	ku⁵³	
古	古	ku³⁵	
估	估	ku³⁵	
股	股	ku³⁵	
鼓	鼓	ku³⁵	
牯	牯	ku³⁵	
故	故	ku⁴⁴	
固	固	ku⁴⁴	
僱	雇	ku⁴⁴	
辜	辜	ku⁴⁴	
顧	顾	ku⁴⁴	
枯	枯	kʰu⁵³	
骷	骷	kʰu⁵³	
苦	苦	kʰu³⁵	
庫	库	kʰu⁴⁴	
褲	裤	kʰu⁴⁴	
絝	绔	kʰu⁴⁴	
咕	咕	ɡu²²¹	咕咕鳥叫
跍	跍	ɡu²²¹	蹲下
烏	乌	u⁵³	
污	污	u⁵³	
嗚	呜	u⁵³	
衣	衣	u⁵³	
熓	𤆡	u³⁵	火熄
椅	椅	u³⁵	
塢	坞	u⁴⁴	
惡	恶	u⁴⁴	可惡
焐	焐	u⁴⁴	煨
居	居	tɕy⁵³	
拘	拘	tɕy⁵³	
駒	驹	tɕy⁵³	
龜	龟	tɕy⁵³	白讀
歸	归	tɕy⁵³	白讀 歸家
車	车	tɕy⁵³	車馬炮
矩	矩	tɕy³⁵	
舉	举	tɕy³⁵	
鬼	鬼	tɕy³⁵	白讀
據	据	tɕy⁴⁴	
句	句	tɕy⁴⁴	
鋸	锯	tɕy⁴⁴	文讀
貴	贵	tɕy⁴⁴	白讀
區	区	tɕʰy⁵³	
驅	驱	tɕʰy⁵³	
軀	躯	tɕʰy⁵³	
蛆	蛆	tɕʰy⁵³	文讀
虧	亏	tɕʰy⁴⁴	白讀 虧了
去	去	tɕʰy⁴⁴	文讀
距	距	dʑy¹³	
炬	炬	dʑy¹³	
具	具	dʑy¹³	
瞿	瞿	dʑy¹³	
巨	巨	dʑy¹³	
拒	拒	dʑy¹³	
俱	俱	dʑy¹³	
懼	惧	dʑy¹³	
衢	衢	dʑy¹³	
攫	攫	dʑy¹³	
跪	跪	dʑy¹³	白讀
櫃	柜	dʑy¹³	白讀
渠	渠	dʑy¹³	水渠
語	语	ȵy²²¹	
虞	虞	ȵy²²¹	姓
愚	愚	ȵy²²¹	
禺	禺	ȵy²²¹	
女	女	ȵy¹³	
遇	遇	ȵy¹³	
寓	寓	ȵy¹³	
餌	饵	ȵy¹³	餌頭
蕊	蕊	ȵy¹³	白讀 蕊頭 蓓蕾
虛	虚	ɕy⁵³	
噓	嘘	ɕy⁵³	
墟	墟	ɕy⁵³	
靴	靴	ɕy⁵³	
鞾	靴	ɕy⁵³	
許	许	ɕy³⁵	
與	与	ɦy²²¹	
宇	宇	ɦy²²¹	
禹	禹	ɦy²²¹	
輿	舆	ɦy²²¹	
盂	盂	ɦy²²¹	
籲	吁	ɦy²²¹	
竽	竽	ɦy²²¹	
余	余	ɦy²²¹	我
餘	余	ɦy²²¹	
漁	渔	ɦy²²¹	
榆	榆	ɦy²²¹	
愉	愉	ɦy²²¹	
豫	豫	ɦy²²¹	
喻	喻	ɦy²²¹	
裕	裕	ɦy²²¹	
逾	逾	ɦy²²¹	
渝	渝	ɦy²²¹	
愈	愈	ɦy²²¹	
諭	谕	ɦy²²¹	
魚	鱼	ɦy²²¹	文讀
圍	围	ɦy²²¹	白讀
羽	羽	ɦy¹³	
譽	誉	ɦy¹³	
雨	雨	ɦy¹³	
預	预	ɦy¹³	
御	御	ɦy¹³	
予	予	ɦy¹³	
于	于	y⁵³	
於	於	y⁵³	
迂	迂	y⁵³	
淤	淤	y⁴⁴	
瘀	瘀	y⁴⁴	
喂	喂	y⁴⁴	白讀 喂飯
蛛	蛛	tʃʯ⁵³	
朱	朱	tʃʯ⁵³	
珠	珠	tʃʯ⁵³	
知	知	tʃʯ⁵³	
智	智	tʃʯ⁵³	
株	株	tʃʯ⁵³	
諸	诸	tʃʯ⁵³	
致	致	tʃʯ⁵³	
侏	侏	tʃʯ⁵³	
疰	疰	tʃʯ⁵³	疰夏
蜘	蜘	tʃʯ⁵³	文讀
錐	锥	tʃʯ⁵³	白讀 錐鞋
豬	猪	tʃʯ³⁵	
主	主	tʃʯ³⁵	
嘴	嘴	tʃʯ³⁵	
拄	拄	tʃʯ⁴⁴	
著	著	tʃʯ⁴⁴	
蛀	蛀	tʃʯ⁴⁴	
注	注	tʃʯ⁴⁴	
鑄	铸	tʃʯ⁴⁴	
制	制	tʃʯ⁴⁴	
置	置	tʃʯ⁴⁴	
誅	诛	tʃʯ⁴⁴	
駐	驻	tʃʯ⁴⁴	
癡	痴	tʃʰʯ⁵³	
媸	媸	tʃʰʯ⁵³	
嗤	嗤	tʃʰʯ⁵³	
侈	侈	tʃʰʯ⁵³	
趣	趣	tʃʰʯ⁵³	
趨	趋	tʃʰʯ⁵³	
糍	糍	tʃʰʯ⁵³	糍飯
餈	餈	tʃʰʯ⁵³	餈飯
吹	吹	tʃʰʯ⁵³	白讀
取	取	tʃʰʯ³⁵	
娶	娶	tʃʰʯ³⁵	
鼠	鼠	tʃʰʯ³⁵	文讀
處	处	tʃʰʯ³⁵	相處
恥	耻	tʃʰʯ⁴⁴	
處	处	tʃʰʯ⁴⁴	處所
除	除	dʒʯ²²¹	
池	池	dʒʯ²²¹	
持	持	dʒʯ²²¹	
遲	迟	dʒʯ²²¹	
馳	驰	dʒʯ²²¹	
弛	弛	dʒʯ²²¹	
廚	厨	dʒʯ²²¹	
住	住	dʒʯ²²¹	
治	治	dʒʯ²²¹	
稚	稚	dʒʯ²²¹	
櫥	橱	dʒʯ²²¹	
捶	捶	dʒʯ²²¹	白讀 捶背
錘	锤	dʒʯ²²¹	白讀 秤錘
滯	滞	dʒʯ¹³	滯底
柱	柱	dʒʯ¹³	
槌	槌	dʒʯ¹³	白讀 甩鑼槌
垂	垂	dʒʯ¹³	白讀 垂落
書	书	ʃʯ⁵³	
舒	舒	ʃʯ⁵³	
需	需	ʃʯ⁵³	
暑	暑	ʃʯ⁵³	
豕	豕	ʃʯ⁵³	
黍	黍	ʃʯ⁵³	
尿	尿	ʃʯ⁵³	白讀
歲	岁	ʃʯ⁵³	白讀
須	须	ʃʯ⁵³	必須
輸	输	ʃʯ⁵³	運輸
水	水	ʃʯ³⁵	白讀
數	数	ʃʯ³⁵	白讀 數一數
庶	庶	ʃʯ⁴⁴	
恕	恕	ʃʯ⁴⁴	
勢	势	ʃʯ⁴⁴	
貰	贳	ʃʯ⁴⁴	
絮	絮	ʃʯ⁴⁴	文讀
世	世	ʃʯ⁴⁴	文讀
輸	输	ʃʯ⁴⁴	輸贏
如	如	ʒʯ²²¹	
殊	殊	ʒʯ²²¹	
抒	抒	ʒʯ²²¹	
茹	茹	ʒʯ²²¹	
曙	曙	ʒʯ²²¹	
墅	墅	ʒʯ²²¹	
乳	乳	ʒʯ²²¹	
汝	汝	ʒʯ²²¹	
儒	儒	ʒʯ²²¹	
孺	孺	ʒʯ²²¹	
誰	谁	ʒʯ²²¹	白讀 誰儂
樹	树	ʒʯ²²¹	樹立
敘	叙	ʒʯ¹³	
聚	聚	ʒʯ¹³	
儲	储	ʒʯ¹³	
序	序	ʒʯ¹³	
緒	绪	ʒʯ¹³	
署	署	ʒʯ¹³	
薯	薯	ʒʯ¹³	
豉	豉	ʒʯ¹³	豆豉
貯	贮	ʒʯ¹³	
豎	竖	ʒʯ¹³	
樹	树	ʒʯ¹³	樹木
擺	摆	pa³⁵	
叭	叭	pa³⁵	
拜	拜	pa⁴⁴	
湃	湃	pa⁴⁴	
派	派	pʰa⁴⁴	
排	排	ba²²¹	
牌	牌	ba²²¹	
徘	徘	ba²²¹	
敗	败	ba¹³	
罷	罢	ba¹³	罷了
埋	埋	ma²²¹	白讀
買	买	ma¹³	
賣	卖	ma¹³	
帶	带	ta⁴⁴	
戴	戴	ta⁴⁴	白讀
他	他	tʰa⁵³	
汰	汰	tʰa⁵³	
太	太	tʰa⁴⁴	
泰	泰	tʰa⁴⁴	
埭	埭	da²²¹	走一埭
大	大	da¹³	文讀
奶	奶	na¹³	奶粉
奈	奈	na¹³	白讀
那	那	ʔna⁴⁴	
賴	赖	la¹³	白讀
癩	癞	la¹³	
喇	喇	la¹³	
拉	拉	ʔla⁴⁴	
齋	斋	tsa⁵³	
追	追	tsa⁵³	白讀
債	债	tsa⁴⁴	
蔡	蔡	tsʰa⁵³	姓
差	差	tsʰa⁵³	差使
怎	怎	dza¹³	白讀
咋	咋	dza¹³	怎麼
撒	撒	dza¹³	撒尿
曬	晒	sa⁵³	
灑	洒	sa³⁵	
豺	豺	za²²¹	
寨	寨	za²²¹	
柴	柴	za²²¹	
街	街	ka⁵³	
階	阶	ka⁵³	白讀
解	解	ka³⁵	解決
界	界	ka⁴⁴	
芥	芥	ka⁴⁴	
戒	戒	ka⁴⁴	
尬	尬	ka⁴⁴	尷尬
疥	疥	ka⁴⁴	
介	介	ka⁴⁴	白讀
屆	届	ka⁴⁴	白讀
隘	隘	ka⁴⁴	地名
揩	揩	kʰa⁵³	
楷	楷	kʰa⁵³	
卡	卡	kʰa⁵³	
嘎	嘎	ɡa²²¹	
解	解	ɡa¹³	鋸開
外	外	ŋa¹³	白讀
雁	雁	ŋa¹³	白讀 雁鵝
捱	挨	ŋa¹³	捱辰光
蟹	蟹	ha³⁵	
哈	哈	ha⁴⁴	
鞋	鞋	ɦa²²¹	
啊	啊	ɦa²²¹	
埃	埃	a⁵³	
鴉	鸦	a⁵³	白讀 鴉片
鵶	鸦	a⁵³	白讀 鴉片
挨	挨	a⁵³	挨次
阿	阿	a⁵³	阿哥
矮	矮	a³⁵	
阿	阿	a⁴⁴	文讀 阿姆 傭人
爹	爹	tia⁵³	白讀
佳	佳	tɕia⁵³	
姐	姐	tɕia⁵³	
家	家	tɕia⁵³	文讀
嘉	嘉	tɕia⁵³	文讀
借	借	tɕia⁴⁴	
笡	笡	tɕʰia³⁵	斜
欺	欺	tɕʰia⁴⁴	欺詐
茄	茄	dʑia²²¹	
寫	写	ɕia³⁵	
瀉	泻	ɕia⁴⁴	
卸	卸	ɕia⁴⁴	
邪	邪	ʑia²²¹	
謝	谢	ʑia¹³	
斜	斜	ʑia¹³	
崖	崖	ɦia²²¹	
涯	涯	ɦia²²¹	
爺	爷	ɦia²²¹	白讀
也	也	ɦia¹³	白讀
野	野	ɦia¹³	白讀
夜	夜	ɦia¹³	白讀
呀	呀	ia⁵³	
雅	雅	ia³⁵	
亞	亚	ia⁴⁴	
霞	霞	ia⁴⁴	晚霞
鴉	鸦	ia⁴⁴	文讀 烏鴉
鵶	鸦	ia⁴⁴	文讀 烏鵶
拐	拐	kua³⁵	
怪	怪	kua³⁵	奇怪
怪	怪	kua⁴⁴	怪罪
快	快	kʰua⁴⁴	
懷	怀	ɡua²²¹	白讀
歪	歪	hua⁴⁴	
歪	歪	ua⁵³	
哇	哇	ua⁵³	
壞	坏	ua⁴⁴	
芭	芭	po⁵³	
笆	笆	po⁵³	
巴	巴	po⁵³	巴結
把	把	po³⁵	
靶	靶	po³⁵	
霸	霸	po⁴⁴	
壩	坝	po⁴⁴	
疤	疤	po⁴⁴	
怕	怕	pʰo⁴⁴	
爬	爬	bo²²¹	
琶	琶	bo²²¹	
吧	吧	bo²²¹	
扒	扒	bo²²¹	
杷	杷	bo²²¹	
罷	罢	bo²²¹	罷工
巴	巴	bo²²¹	下巴
耙	耙	bo¹³	
稗	稗	bo¹³	稗草
䶕	𫜨	bo¹³	䶕牙
麻	麻	mo²²¹	
