音标	调值				
tʰai	33	梯体替第			
tʰai	21	跳剔			
tʰai	5	帖铁			
ŋai	33	泥尼闹业热孽逆			
lai	33	□(些)例低犁底抵礼帝丽荔朝(今～)雕料列烈力歷曆			
lai	35	鸟			
lai	21	钓吊调(～动)滴			
tsai	33	柴际济剂(一～药)焦嚼			
tsai	5	接节鲫			
tsʰai	33	砌戚			
tsʰai	5	切截			
sai	33	西犀洗细消宵霄惜			
sai	35	小(大～)			
sai	21	小(～的)笑			
sai	5	薛息析			
ai	33	儿而恩			
kuai	5	橘			
kʰuai	5	缺			
ŋuai	33	越			
ŋuai	5	月			
tɕyai	33	绝			
tɕʰyai脆	33脆	脆			
tɕʰyai翠	21翠	翠			
ɕyai	33	婿岁税			
ɕyai	5	雪			
kuəi	21	棍			
kʰuəi	33	昆坤			
kʰuəi	35	款肯			
kʰuəi	21	困			
pau	33	□(躲)			
mau	33	冒帽貌贸			
mau	42	谋			
mau	21	某亩			
tau	33	□(窝)盗导兜豆			
tau	42	头投			
tau	35	叹			
tau	21	稻			
tʰau	33	偷			
tʰau	21	透			
lau	33	□(棵)□(惹)逗漏			
lau	42	楼			
lau	35	岛斗陡			
lau	21	鬥			
tsau	33	蹲			
tsau	42	愁			
tsau	35	走			
tsau	21	皱			
tsau	5	作(工～)卓			
tsʰau	21	凑			
sau	33	稍馊			
sau	21	嗽痩			
kau	33	个(～人)勾钩沟阄			
kau	35	狗苟			
kau	21	够构购			
kau	5	各廓			
kʰau	33	敲壳			
kʰau	35	可口			
kʰau	21	叩扣			
kʰau	5	烤确			
ŋau	42	牛			
ŋau	21	藕			
hau	33	和(～面)候			
hau	42	侯喉猴			
hau	35	吼			
hau	21	後后			
au	33	欧			
au	21	呕(～吐)沤			
au	5	恶(善～)			
piau	33	暴包胞雹			
piau	35	饱			
piau	21	豹鳔			
piau	5	拨剥驳			
pʰiau	33	抛飘			
pʰiau	21	泡炮票			
miau	33	矛			
miau	42	茅苗描			
miau	21	卯秒			
liau	33	溜			
liau	42	疗流刘留榴硫			
liau	21	柳			
liau	5	略六陆竹			
tsiau	33	就袖			
tsiau	42	绸球			
tsiau	35	酒			
tsʰiau	33	秋			
tsʰiau	35	丑			
tsʰiau	5	筑畜(～生)			
siau	33	修羞削			
siau	21	秀			
siau	5	熄宿			
tɕiau	33	交郊胶教(～书)蕉椒稠周州洲纠(～缠)旧纠(～正)觉(知～)角			
tɕiau	42	酬求			
tɕiau	35	醜守九久灸□(等)			
tɕiau	21	教(～育)较窖舅咒救究			
tɕiau	5	觉(睡～)祝			
tɕʰiau	33	锹抽丘			
tɕʰiau	21	臭(香～)			
ȵiau	33	□(猫)瓤壌岳乐(音～)			
ȵiau	35	嚷			
ȵiau	21	咬			
ɕiau	33	蒐(～集)收休学熟			
ɕiau	42	仇			
ɕiau	35	手首			
ɕiau	21	孝效校(学～)校(上～)受兽寿授			
ɕiau	5	□(方～，方法)叔			
iau	33	忧优右祐弱			
iau	42	柔邮由油游			
iau	21	么(～二三)有友酉幼			
əɯ					
pəɯ	33	疤钯(～子)把(一～)霸欛(柄)耙(～地)□(～船，划船)□(～瓜，瓠子)杯培陪赔倍辈背(后～)背(～诵)白卜			
pəɯ	21	妇			
pəɯ	5	钵泊(梁山～)北百柏伯			
pʰəɯ	33	帕配佩			
pʰəɯ	5	泼迫拍魄			
fəɯ	33	灰回贿汇会(开～)徽活或惑			
vəɯ	33	会(～不～)			
təɯ	33	他忒特			
təɯ	42	桃			
tʰəɯ	5	踢			
ləɯ	33	摞拿			
ləɯ	35	挑			
ləɯ	5	浊得德勒			
tsəɯ	33	做宰指贼			
tsəɯ	35	左趾置			
tsʰəɯ	33	楚			
tsʰəɯ	35	厕(～所)吵			
tsʰəɯ	5	侧测策			
səɯ	33	梭锁琐(～碎)所(～以)搜			
səɯ	35	使			
səɯ	21	媳			
səɯ	5	塞色啬			
piəɯ	33	标彪			
piəɯ	35	表錶			
pʰiəɯ	35	漂漂(～亮)			
tɕiəɯ	33	招骄娇召			
tɕiəɯ	35	狡搅剿缴饺			
tɕiəɯ	21	赵			
tɕʰiəɯ	33	超			
tɕʰiəɯ	35	巧			
ȵiəɯ	35	扭			
ɕiəɯ	33	韶			
ɕiəɯ	42	绍			
ɕiəɯ	35	少(多～)			
ɕiəɯ	21	少(～年)邵			
iəɯ	33	妖邀要(～求)			
iəɯ	42	谣			
fɯə	33	下(底～)夏(姓)厦(～门)厦(前廊后～)嚇(～一跳)暇花华(中～)化画话客			
fɯə	21	嚇(恐～)			
vɯə	33	丫(～头)哑蟹			
vɯə	5	轭鸭押压划			
paŋ	33	般搬饭帮邦			
paŋ	42	盘旁			
paŋ	35	反纺绑			
paŋ	21	扮伴拌半放棒			
pʰaŋ	33	潘判叛			
pʰaŋ	42	庞			
pʰaŋ	21	盼胖			
maŋ	33	梦			
maŋ	42	瞒馒忙芒莽盲蒙			
maŋ	21	满蟒网			
faŋ	33	翻慌方芳丰凤封峰锋缝(一道～)			
faŋ	42	环肪妨房防			
faŋ	35	谎			
faŋ	21	晃仿			
vaŋ	33	忘妄望			
vaŋ	42	顽			
vaŋ	21	往			
vaŋ	5	枉			
taŋ	33	但锻段缎			
taŋ	42	谭弹(子～)蛋团堂棠螳唐糖塘同童			
taŋ	21	断(～绝)断(决～)			
tʰaŋ	33	汤通			
tʰaŋ	42	谈			
tʰaŋ	35	统			
tʰaŋ	21	趟捅			
ŋaŋ	21	暖			
laŋ	33	耽担(～任)端乱当(～时)			
laŋ	42	郎廊狼榄			
laŋ	35	短党挡			
laŋ	21	朗			
tsaŋ	33	脏(内～)庄装章状樁撞			
tsaŋ	42	藏(西～)床			
tsaŋ	35	展总			
tsaŋ	21	占(～卜)葬壮			
tsʰaŋ	33	仓疮昌聪			
saŋ	33	陕酸丧(婚～)丧(～失)霜双			
saŋ	35	嗓			
saŋ	21	算蒜			
kaŋ	33	甘柑干肝官观(参～)冠(衣～)冈岗刚纲缸光攻宫			
kaŋ	35	感敢橄桿稈(稻～)赶管馆广港			
kaŋ	21	幹钢(～刀)杠			
kʰaŋ	33	看(～守)空(～虚)			
kʰaŋ	42	扛			
kʰaŋ	35	慷孔			
kʰaŋ	21	抗旷控空(～缺)			
kʰaŋ	5	砍			
haŋ	33	罕汗宽欢换康糠荒			
haŋ	42	含函凡寒韩行(银～)航杭黄皇蝗			
haŋ	21	憾旱汉焊			
liaŋ	33	张(一～纸)亮谅量(数～)			
liaŋ	42	良凉量(～长短)粮梁粱龙			
liaŋ	35	两(几～几钱)			
liaŋ	21	两(～个)辆			
tsiaŋ	33	将(～来)浆匠			
tsiaŋ	42	藏(隐～)牆详祥长(～短)			
tsiaŋ	35	蒋奖			
tsiaŋ	21	桨象像丈酱将(大～)			
tsʰiaŋ	33	枪			
tsʰiaŋ	35	抢			
siaŋ	33	相(互～)箱厢湘襄镶			
siaŋ	35	想			
siaŋ	21	相(～貌)			
tɕiaŋ	33	张(姓)樟疆僵薑礓缰姜尚上(～面)江中忠终钟供(～给)供(上～)共			
tɕiaŋ	42	肠场强			
tɕiaŋ	35	长(生～)掌讲			
tɕiaŋ	21	战仗帐賬障降(下～)众种(～树)			
tɕʰiaŋ	33	倡腔充			
tɕʰiaŋ	35	厂强(倔～)			
tɕʰiaŋ	21	畅唱			
ȵiaŋ	33	酿			
ȵiaŋ	42	娘			
ɕiaŋ	33	善商伤裳(衣～)香乡			
ɕiaŋ	42	常尝偿降(～服)熊雄凶			
ɕiaŋ	35	赏晌饷			
ɕiaŋ	21	上(～山)享响向项巷			
iaŋ	33	□(烂)央秧让样用			
iaŋ	42	羊洋杨扬疡融容蓉			
iaŋ	35	拥勇			
iaŋ	21	养痒			
kuaŋ	35	罐			
kuaŋ	21	贯灌			
kʰuaŋ	42	狂			
kʰuaŋ	21	况矿			
tɕyaŋ	35	闯			
pəŋ	33	鞭编便(方～)边			
pəŋ	21	辨辩变遍(一～)			
pʰəŋ	33	篇偏拼			
pʰəŋ	21	骗(欺～)遍(～地)片聘			
məŋ	33	梅媒煤妹昧面麵墨默脉盟			
məŋ	42	绵棉			
məŋ	21	免勉			
vəŋ	42	丸□(攒)缘			
vəŋ	21	远			
təŋ	33	电垫瞪			
təŋ	42	甜田填			
təŋ	21	簟			
tʰəŋ	33	添天			
ŋəŋ	33	哪那朵怒殓验念研恋			
ŋəŋ	42	镰帘燃年能			
ŋəŋ	35	点店典捻(以指～碎)			
ŋəŋ	21	艳			
ləŋ	33	联练			
ləŋ	42	连莲邻轮			
tsəŋ	33	贱			
tsəŋ	42	钱前			
tsəŋ	35	剪			
tsəŋ	21	箭			
tsʰəŋ	33	签千			
tsʰəŋ	35	浅			
səŋ	33	仙鲜(新～)鲜(～少)先			
səŋ	35	癣			
səŋ	21	线			
kəŋ	33	梗			
kəŋ	35	滚			
tsiəŋ	21	践			
tɕiəŋ	33	监(～察)监(国子～)坚粳经			
tɕiəŋ	42	乾			
tɕiəŋ	35	检俭景警			
tɕiəŋ	21	剑件键建健见震径			
tɕʰiəŋ	33	谦牵			
tɕʰiəŋ	21	嵌欠歉寝			
ɕiəŋ	33	现伸			
ɕiəŋ	42	嫌形型刑			
ɕiəŋ	35	闪险掀显			
ɕiəŋ	21	搧扇杏			
iəŋ	33	□(你)淹染烟			
iəŋ	42	炎盐阎严吟颜然延迎			
iəŋ	21	演燕(～子)宴映			
tɕyəŋ	33	专砖捐绢倦			
tɕyəŋ	42	全泉传(～达)权			
tɕyəŋ	35	转(～眼)			
tɕyəŋ	21	赚卷(～起)转(～圆圈)传(～记)卷(试～)			
tɕʰyəŋ	33	川穿圈			
tɕʰyəŋ	21	串劝券庆			
ɕyəŋ	33	宣			
ɕyəŋ	42	船圆员循巡			
ɕyəŋ	35	选			
ɕyəŋ	21	旋			
yəŋ	33	冤愿渊县			
yəŋ	42	完元原源袁园援			
yəŋ	35	院允			
yəŋ	21	阮怨			
mοŋ	21	孟			
mοŋ	5	猛			
tοŋ	42	潭洞			
tοŋ	35	坦			
tοŋ	21	淡			
tοŋ	5	董懂			
tʰοŋ	33	贪吞			
tʰοŋ	35	毯			
tʰοŋ	21	探痛			
ŋοŋ	42	南男农			
lοŋ	42	蓝兰笼			
lοŋ	35	胆掸(鸡毛～子)			
lοŋ	21	担(挑～)			
tsοŋ	33	簪			
tsʰοŋ	33	参冲			
sοŋ	33	三			
kοŋ	35	巩			
ŋοŋ	21	我			
hοŋ	42	鹹			
piοŋ	33	宾兵病			
piοŋ	42	频憑平坪评瓶屏萍			
piοŋ	35	丙秉饼			
pʰiοŋ	33	拼			
miοŋ	33	命			
miοŋ	42	明名			
liοŋ	33	令丁钉另			
liοŋ	42	灵零铃伶			
liοŋ	35	顶鼎挺			
liοŋ	21	领岭钉(～住)订			
tsiοŋ	33	津精睛净定			
tsiοŋ	42	情晴亭停廷庭蜓			
tsiοŋ	35	井			
tsiοŋ	21	静			
tsʰiοŋ	33	铅清厅青蜻			
tsʰiοŋ	35	请			
tsʰiοŋ	21	听听(～任)			
siοŋ	33	星腥			
siοŋ	35	省(反～)醒			
siοŋ	21	锈性姓			
tɕiοŋ	33	京荆惊鲸正(～月)			
tɕiοŋ	35	整颈			
tɕiοŋ	21	境敬镜正政			
tɕʰiοŋ	33	轻			
ȵiοŋ	33	英			
ȵiοŋ	42	宁			
ȵiοŋ	35	影			
ɕiοŋ	33	声盛(兴～)兄			
ɕiοŋ	42	成城诚盛(～满了)			
ɕiοŋ	21	□(犯)			
iοŋ	33	旺			
iοŋ	42	王赢荣营镕			
iοŋ	21	永			
ŋ̍	33	饿五哀安			
ŋ̍	42	人			
ŋ̍	35	碗			
ŋ̍	21	暗按案			
