汉字	钟山	郎岱	岩脚	响水	鸡场坪	陡箐	玉舍	营盘
姐	tɕi3	tɕie3	tɕiɛ3	tɕiɛ3	tɕiɛ3	tɕi3	tɕi3	tɕi3
借	tɕi5	tɕie5	tɕiɛ5	tɕiɛ5	tɕiɛ5	tɕi5	tɕi5	tɕi5
写	ɕi3	ɕie3	ɕiɛ3	ɕiɛ3	ɕiɛ3	ɕi3	ɕi3	ɕi3
斜	ɕi2	ɕie2	ɕiɛ2	ɕiɛ2	ɕiɛ2	ɕi2	ɕi2	ɕi2
谢	ɕi5	ɕie5	ɕiɛ5	ɕiɛ5	ɕiɛ5	ɕi5	ɕi5	ɕi5
车(～辆)	tsʰei1	tsʰei1	tsʰei1	tsʰei1	tsʰei1	tsʰei1	tsʰei1	tsʰei1
蛇	sei2	sei2	sei2	sei2	sei2	sei2	sei2	sei2
射	sei5	sei5	sei5	sei5	sei5	sei5	sei5	sei5
爷	i2	ie2	iɛ2	iɛ2	iɛ2	i2	i2	i2
野	i3	ie3	iɛ3	iɛ3	iɛ3	i3	i3	i3
夜	i5	ie5	iɛ5	iɛ5	iɛ5	i5	i5	i5
瓜	kua1	kua1	kua1	kua1	kua1	kua1	kua1	kua1
瓦(名词)	ua3	ua3	ua3	ua3	ua3	ua3	ua3	ua3
花	xua1	xua1	xua1	xua1	xua1	xua1	xua1	xua1
化	xua5	xua5	xua5	xua5	xua5	xua5	xua5	xua5
华(中～)	xua2	xua2	xua2	xua2	xua2	xua2	xua2	xua2
谱(家～)	pʰu3	pʰu3	pʰu3	pʰu3	pʰu3	pʰu3	pʰu3	pʰu3
布	pu5	pu5	pu5	pu5	pu5	pu5	pu5	pu5
铺(动)	pʰu5	pʰu5	pʰu5	pʰu5	pʰu5	pʰu5	pʰu5	pʰu5
簿	po2	po2	po2	po2	po2	po2	pou2	po2
步	pu5	pu5	pu5	pu5	pu5	pu5	pu5	pu5
赌	tu3	tu3	tu3	tu3	tu3	tu3	tu3	tu3
土	tʰu3	tʰu3	tʰu3	tʰu3	tʰu3	tʰu3	tʰu3	tʰu3
图	tʰu2	tʰu2	tʰu2	tʰu2	tʰu2	tʰu2	tʰu2	tʰu2
杜	tu3	tu3	tu3	tu3	tu3	tu3	tu3	tu3
奴	lu2	nu2	nu2	nu2	lu2	nu2	nu2	lu2
路	lu5	nu5	nu5	nu5	lu5	nu5	nu5	lu5
租	tsu1	tsu1	tsu1	tsu1	tsu1	tsu1	tsu1	tsu1
做	tso5	tsəu5	tsəu5	tso5	tso5	tso5	tso5	tso5
错(对～)	tsʰo5	tsʰo5	tsʰo5	tsʰo5	tsʰo5	tsʰo5	tsʰo5	tsʰo5
箍(～桶)	kʰu1	kʰu1	kʰu1	kʰu1	kʰu1	kʰu1	kʰu1	kʰu1
古	ku3	ku3	ku3	ku3	ku3	ku3	ku3	ku3
苦	kʰu3	kʰu3	kʰu3	kʰu3	kʰu3	kʰu3	kʰu3	kʰu3
裤	kʰu5	kʰu5	kʰu5	kʰu5	kʰu5	kʰu5	kʰu5	kʰu5
吴	u2	u2	u2	u2	u2	u2	u2	u2
五	u3	u3	u3	u3	u3	u3	u3	u3
虎	fu3	fu3	fu3	fu3	fu3	fu3	fu3	fu3
壶	fu2	fu2	fu2	fu2	fu2	fu2	fu2	fu2
户	fu5	fu5	fu5	fu5	fu5	fu5	fu5	fu5
乌	u1	u1	u1	u1	u1	u1	u1	u1
女	ly3	ni3	ni3	ni3	li3	ny3	ny3(新派)/mi3(老派)	li3
吕	luei3	nuei3	nuei3	nei3	luei3	nuei3	nuei3	luei3
徐	ɕy2	ɕi2	ɕi2	ɕi2	ɕi2	ɕy2	ɕy2	ɕi2
猪	tsu1	tsu1	tsu1	tsu1	tsu1	tsu1	tsu1	tsu1
除	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2
初	tsʰu1	tsʰu1	tsʰu1	tsʰu1	tsʰu1	tsʰu1	tsʰu1	tsʰu1
锄	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2	tsʰu2
所	so3	so3	so3	so3	so3	so3	so3	so3
书	su1	su1	su1	su1	su1	su1	su1	su1
鼠	su3	su3	su3	tsʰu3	tsʰu3	su3	su3	su3
如	zu2	zu2	zu2	zu2	zu2	zu2	zu2	zu2
举	tɕy3	tɕi3	tɕi3	tɕi3	tɕi3	tɕy3	tɕy3	tɕi3
锯(名)	tɕy5	tɕi5	tɕi5	tɕi5	tɕi5	tɕy5	tɕy5	tɕi5
去	kʰei5	tɕʰi1	tɕʰi5	kʰei5(白)/tɕʰi5(文)	kʰei5(白)/tɕʰi5(文)	kʰei(白)5/tɕʰy5(文)	kʰei(白)5/tɕʰy5(文)	kʰei(白)5/tɕʰi(文)
渠(～道)	tɕʰy2	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰy2	tɕʰy2	tɕʰi2
鱼	y2	i2	i2	i2	i2	y2	y2	i2
许	ɕy3	ɕi3	ɕi3	ɕi3	ɕi3	ɕy3	ɕy3	ɕi3
余(剩～，多～)	y2	i2	i2	i2	i2	y2	y2	i2
府	fu3	fu3	fu3	fu3	fu3	fu3	fu3	fu3
付	fu5	fu5	fu5	fu5	fu5	fu5	fu5	fu5
父	fu5	fu5	fu5	fu5	fu5	fu5	fu5	fu5
武	u3	u3	u3	u3	u3	u3	u3	u3
雾	u5	u5	u5	u5	u5	u5	u5	u5
取	tɕʰy3	tɕʰi3	tɕʰi3	tɕʰi3	tɕʰi3	tɕʰy3	tɕʰy3	tɕʰi3
柱	tsu5	tsu5	tsu5	tsu5	tsu5	tsu5	tsu5	tsu5
住	tsu5	tsu5	tsu5	tsu5	tsu5	tsu5	tsu5	tsu5
数(动)	su3	su3	su3	su3	su3	su3	su3	su3
数(名)	su5	su5	su5	su5	su5	su5	su5	su5
主	tsu3	tsu3	tsu3	tsu3	tsu3	tsu3	tsu3	tsu3
输	su1	su1	su1	su1	su1	su1	su1	su1
竖	su5	su5	su5	su5	su5	su5	su5	su5
树	su5	su5	su5	su5	su5	su5	su5	su5
句	ʨy5	ʨi5	ʨi5	ʨi5	ʨi5	ʨy5	ʨy5	ʨi5
区(地～)	tɕʰy1	tɕʰi1	tɕʰi1	tɕʰi1	tɕʰi1	tɕʰy1	tɕʰy1	tɕʰi1
遇	y5	i5	i5	i5	i5	y5	y5	i5
雨	y3	i3	i3	i3	i3	y3	y3	i3
芋	y5	i5	i5	i5	i5	y5	y5	i5
裕	y5	i5	i5	i5	i5	y5	y5	i5
胎	tʰai1	tʰai1	tʰai1	tʰai1	tʰai1	tʰai1	tʰai1	tʰai1
台(戏～)	tʰai2	tʰai2	tʰai2	tʰai2	tʰai2	tʰai2	tʰai2	tʰai2
袋	tai5	tai5	tai5	tai5	tai5	tai5	tai5	tai5
来	lai2	nai2	nai2	nai2	lai2	nai2	nai2	lai2
菜	tsʰai5	tsʰai5	tsʰai5	tsʰai5	tsʰai5	tsʰai5	tsʰai5	tsʰai5
财	tsʰai2	tsʰai2	tsʰai2	tsʰai2	tsʰai2	tsʰai2	tsʰai2	tsʰai2
该	kai1	kai1	kai1	kai1	kai1	kai1	kai1	kai1
改	kai3	kai3	kai3	kai3	kai3	kai3	kai3	kai3
开	kʰai1	kʰai1	kʰai1	kʰai1	kʰai1	kʰai1	kʰai1	kʰai1
海	xai3	xai3	xai3	xai3	xai3	xai3	xai3	xai3
爱	ŋai5	ŋai5	ai5	ai5	ŋai5	ŋai5	ŋai5	ŋai5
贝	pei5	pei5	pei5	pei5	pei5	pei5	pei5	pei5
带(动)	tai5	tai5	tai5	tai5	tai5	tai5	tai5	tai5
盖(动)	kai5	kai5	kai5	kai5	kai5	kai5	kai5	kai5
害	xai5	xai5	xai5	xai5	xai5	xai5	xai5	xai5
拜	pai5	pai5	pai5	pai5	pai5	pai5	pai5	pai5
排	pʰai2	pʰai2	pʰai2	pʰai2	pʰai2	pʰai2	pʰai2	pʰai2
埋	mai2	mai2	mai2	mai2	mai2	mai2	mai2	mai2
戒	kai5(白)/tɕiai5(文)	kai5(白)/tɕiai5(文)	kai5(白)/tɕiai5(文)	kai5(白)/tɕiai5(文)	kai5(白)/tɕiai5(文)	kai5(白)/tɕiai5(文)	kai5(白)/tɕiai5(文)	kai5(白)/tɕiai5(文)
摆	pai3	pai3	pai3	pai3	pai3	pai3	pai3	pai3
派	pʰai5	pʰai5	pʰai5	pʰai5	pʰai5	pʰai5	pʰai5	pʰai5
牌	pʰai2	pʰai2	pʰai2	pʰai2	pʰai2	pʰai2	pʰai2	pʰai2
买	mai3	mai3	mai3	mai3	mai3	mai3	mai3	mai3
卖	mai5	mai5	mai5	mai5	mai5	mai5	mai5	mai5
柴	tsʰai2	tsʰai2	tsʰai2	tsʰai2	tsʰai2	tsʰai2	tsʰai2	tsʰai2
晒	sai5	sai5	sai5	sai5	sai5	sai5	sai5	sai5
街	kai1	kai1(白)/tɕiai1(文)	kai1(白)/tɕiai1(文)	kai1(白)/tɕiai1(文)	kai1(白)/tɕiai1(文)	kai1(白)/tɕiai1(文)	kai1(白)/tɕiai1(文)	kai1
解(～开)	kai3	kai3	kai3(白)/tɕiai3(文)	kai3(白)/tɕiai3(文)	kai3(白)/tɕiai3(文)	kai3(白)/tɕiai3(文)	tɕiai1	kai3(白)/tɕiai3(文)
鞋	xai2(白)/ɕiai2(文)	xai2	xai2(白)/ɕiai2(文)	xai2	xai2(白)/ɕiai2(文)	xai2(白)/ɕi(文)2	xai2(白)/ɕi2(文)	xai2
蟹	xai5(白)/ɕiai5(文)	xai5	xai5(白)/ɕiai5(文)	xai5(白)/ɕiai5(文)	xai5	xai5(白)/ɕi5(文)		xai5(白)/ɕiai5(文)
矮	ŋai3	ŋai3	ai3	ai3	ŋai3	ŋai3	ŋai3	ŋai3
败	pai5	pai5	pai5	pai5	pai5	pai5	pai5	pai5
币	pi5	pi5	pi5	pi5	pi5	pi5	pi5	pi5
制(～造)	tsɿ5	tsɿ5	tsɿ5	tsɿ5	tsɿ5	tsɿ5	tsɿ5	tsɿ5
世	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5
艺	i5	i5	ni5(白)/i5(文)	i5	i5	i5	ni5(白)/i5(文)	li5
米	mi3	mi3	mi3	mi3	mi3	mi3	mi3	mi3
低	ti1	ti1	ti1	ti1	ti1	ti1	ti1	ti1
梯	tʰi1	tʰi1	tʰi1	tʰi1	tʰi1	tʰi1	tʰi1	tʰi1
剃	tʰi1	tʰi1	tʰi1	tʰi1	tʰi1	tʰi1	tʰi1	tʰi1
弟	ti5	ti5	ti5	ti5	ti5	ti5	ti5	ti5
递	ti5	ti5	ti5	ti5	ti5	ti5	ti5	ti5
泥	li2	ni2	ni2	ni2	li2	ni2	ni2	li2
犁	li2	ni2	ni2	nei2	li2	ni2	ni2	li2
西	ɕi1	ɕi1	ɕi1	ɕi1	ɕi1	ɕi1	ɕi1	ɕi1
洗	ɕi3	ɕi3	ɕi3	ɕi3	ɕi3	ɕi3	ɕi3	ɕi3
鸡	tɕi1	tɕi1	tɕi1	tɕi1	tɕi1	tɕi1	tɕi1	tɕi1
溪	ɕi1	ɕi1	ɕi1	ɕi1	ɕi1	ɕi1	ɕi1	ɕi1
契	tɕʰi5	tɕʰi5	tɕʰi5	tɕʰi5	tɕʰi5	tɕʰi5	tɕʰi5	tɕʰi5
系(联～)	ɕi5	ɕi5	ɕi5	ɕi5	ɕi5	ɕi5	ɕi5	ɕi5
杯	pei1	pei1	pei1	pei1	pei1	pei1	pei1	pei1
配	pʰei5	pʰei5	pʰei5	pʰei5	pʰei5	pʰei5	pʰei5	pʰei5
赔	pʰei3	pʰei3	pʰei3	pʰei3	pʰei3	pʰei3	pʰei3	pʰei3
背(～诵)	pei5	pei5	pei5	pei5	pei5	pei5	pei5	pei5
煤	mei2	mei2	mei2	mei2	mei2	mei2	mei2	mei2
妹	mei5	mei5	mei5	mei5	mei5	mei5	mei5	mei5
对	tuei5	tuei5	tuei5	tuei5	tuei5	tuei5	tuei5	tuei5
雷	luei2	nuei2	nuei2	nei2	luei2	nuei2	nuei2	luei2
罪	tsuei5	tsuei5	tsuei5	tsuei5	tsuei5	tsuei5	tsuei5	tsuei5
碎	suei5	suei5	suei5	suei5	suei5	suei5	suei5	suei5
灰	xuei1	xuei1	xuei1	xuei1	xuei1	xuei1	xuei1	xuei1
回	xuei2	xuei2	xuei2	xuei2	xuei2	xuei2	xuei2	xuei2
外	uai5	uai5	uai5	uai5	uai5	uai5	uai5	uai5
会(开～)	xuei5	xuei5	xuei5	xuei5	xuei5	xuei5	xuei5	xuei5
怪	kuai5	kuai5	kuai5	kuai5	kuai5	kuai5	kuai5	kuai5
块	kʰuai3	kʰuai3	kʰuai3	kʰuai3	kʰuai3	kʰuai3	kʰuai3	kʰuai3
怀	xuai1	xuai1	xuai1	xuai1	xuai1	xuai1	xuai1	xuai1
坏	xuai5	xuai5	xuai5	xuai5	xuai5	xuai5	xuai5	xuai5
拐	kuai3	kuai3	kuai3	kuai3	kuai3	kuai3	kuai3	kuai3
挂	kua5	kua5	kua5	kua5	kua5	kua5	kua5	kua5
歪	uai1	uai1	uai1	uai1	uai1	uai1	uai1	uai1
画	xua5	xua5	xua5	xua5	xua5	xua5	xua5	xua5
快	kʰuai5	kʰuai5	kʰuai5	kʰuai5	kʰuai5	kʰuai5	kʰuai5	kʰuai5
话	xua5	xua5	xua5	xua5	xua5	xua5	xua5	xua5
岁	suei5	suei5	suei5	suei5	suei5	suei5	suei5	suei5
卫	uei5	uei5	uei5	uei5	uei5	uei5	uei5	uei5
肺	fei5	fei5	fei5	fei5	fei5	fei5	fei5	fei5
桂	kuei5	kuei5	kuei5	kuei5	kuei5	kuei5	kuei5	kuei5
碑	pei1	pei1	pei1	pei1	pei1	pei1	pei1	pei1
皮	pʰi2	pʰi2	pʰi2	pʰi2	pʰi2	pʰi2	pʰi2	pʰi2
被(～子)	pei5	pei5	pei5	pei5	pei5	pei5	pei5	pei5
紫	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3
刺	tsʰɿ5	tsʰɿ5	tsʰɿ5	tsʰɿ5	tsʰɿ5	tsʰɿ5	tsʰɿ5	tsʰɿ5
知	tsɿ1	tsɿ1	tsɿ1	tsɿ1	tsɿ1	tsɿ1	tsɿ1	tsɿ1
池	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2
纸	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3
儿	er2	er2	er2	er2	er2	er2	er2	er2
寄	tɕi5	tɕi5	tɕi5	tɕi5	tɕi5	tɕi5	tɕi5	tɕi5
骑	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2
蚁	i3	i3	i3	i3	i3	i3	i3	i3
义	i5	i5	i5	i5	i5	i5	i5	i5
戏	ɕi5	ɕi5	ɕi5	ɕi5	ɕi5	ɕi5	ɕi5	ɕi5
移	i2	i2	i2	i2	i2	i2	i2	i2
比	pi3	pi3	pi3	pi3	pi3	pi3	pi3	pi3
屁	pʰi5	pʰi5	pʰi5	pʰi5	pʰi5	pʰi5	pʰi5	pʰi5
鼻	pi2	pi2	pi2	pi2	pi2	pi2	pi2	pi2
眉	mi2	mi2	mi2	mei2	mei2	min2	mi2/min2(画～鸟)	mi2
地	ti5	ti5	ti5	ti5	ti5	ti5	ti5	ti5
梨	li2	ni2	ni2	nei2	li2	ni2	ni2	li2
资	tsɿ1	tsɿ1	tsɿ1	tsɿ1	tsɿ1	tsɿ1	tsɿ1	tsɿ1
死	sɿ3	sɿ3	sɿ3	sɿ3	sɿ3	sɿ3	sɿ3	sɿ3
四	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5
迟	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2
师	sɿ1	sɿ1	sɿ1	sɿ1	sɿ1	sɿ1	sɿ1	sɿ1
指	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3
二	ɚ5	ɚ5	ɚ5	ᴇr5	ɐr5	ɝ5	ɝ5	er5
饥(～饿)	tɕi1	tɕi1	tɕi1	tɕi1	tɕi1	tɕi1	tɕi1	tɕi1
器	tɕʰi5	tɕʰi5	tɕʰi5	tɕʰi5	tɕʰi5	tɕʰi5	tɕʰi5	tɕʰi5
姨	i2	i2	i2	i2	i2	i2	i2	i2
李	li3	ni3	ni3	nei3	li3	ni3	ni3	li3
子	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3	tsɿ3
字	tsɿ5	tsɿ5	tsɿ5	tsɿ5	tsɿ5	tsɿ5	tsɿ5	tsɿ5
丝	sɿ1	sɿ1	sɿ1	sɿ1	sɿ1	sɿ1	sɿ1	sɿ1
祠	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2	tsʰɿ2
寺	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5
治	tsɿ5	tsɿ5	tsɿ5	tsɿ5	tsɿ5	tsɿ5	tsɿ5	tsɿ5
柿	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	tsʰɿ5(老派)/sɿ5(新派)
事	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5
使	sɿ3	sɿ3	sɿ3	sɿ3	sɿ3	sɿ3	sɿ3	sɿ3
试	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5
时	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2	sɿ2
市	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5	sɿ5
耳	ɚ3	ɚ3	ɚ3	ᴇr3	ɐr3	ɝ3	ɝ3	er3
记	tɕi5	tɕi5	tɕi5	tɕi5	tɕi5	tɕi5	tɕi5	tɕi5
棋	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2	tɕʰi2
喜	ɕi3	ɕi3	ɕi3	ɕi3	ɕi3	ɕi3	ɕi3	ɕi3
意	i5	i5	i5	i5	i5	i5	i5	i5
几(～个)	tɕi3	tɕi3	tɕi3	tɕi3	tɕi3	tɕi3	tɕi3	tɕi3
气	tɕʰi5	tɕʰi5	tɕʰi5	tɕʰi5	tɕʰi5	tɕʰi5	tɕʰi5	tɕʰi5
希	ɕi1	ɕi1	ɕi1	ɕi1	ɕi1	ɕi1	ɕi1	ɕi1
衣	i1	i1	i1	i1	i1	i1	i1	i1
嘴	tsuei3	tsuei3	tsuei3	tsuei3	tsuei3	tsuei3	tsuei3	tsuei3
随	suei2	suei2	suei2	suei2	suei2	suei2	suei2	suei2
吹	tsʰuei1	tsʰuei1	tsʰuei1	tsʰuei1	tsʰuei1	tsʰuei1	tsʰuei1	tsʰuei1
垂	tsʰuei2	tsʰuei2	tsʰuei2	tsʰuei2	tsʰuei2	tsʰuei2	tsʰuei2	tsʰuei2
规	kuei1	kuei1	kuei1	kuei1	kuei1	kuei1	kuei1	kuei1
亏	kʰuei1	kʰuei1	kʰuei1	kʰuei1	kʰuei1	kʰuei1	kʰuei1	kʰuei1
跪	kuei5	kuei5	kuei5	kuei5	kuei5	kuei5	kuei5	kuei5
危	uei2	uei2	uei2	uei2	uei2	uei2	uei2	uei2
类	luei5	nuei5	nuei5	nuei5	luei5	nuei5	nuei5	luei5
醉	tsuei5	tsuei5	tsuei5	tsuei5	tsuei5	tsuei5	tsuei5	tsuei5
追	luei1(白)/tsuei1(文)	nuei1(白)/tsuei1(文)	nuei1(白)/tsuei1(文)	tsuei1	tsuei1	luei1(白)/tsuei1(文)	tsuei1	luei1(白)/tsuei1(文)
锤	tsʰuei2	tsʰuei2	tsʰuei2	tsʰuei2	tsʰuei2	tsʰuei2	tsʰuei2	tsʰuei2
水	suei3	suei3	suei3	suei3	suei3	suei3	suei3	suei3
龟	kuei1	kuei1	kuei1	kuei1	kuei1	kuei1	kuei1	kuei1
季	tɕi5	tɕi5	tɕi5	tɕi5	tɕi5	tɕi5	tɕi5	tɕi5
柜	kuei5	kuei5	kuei5	kuei5	kuei5	kuei5	kuei5	kuei5
位	uei5	uei5	uei5	uei5	uei5	uei5	uei5	uei5
飞	fei1	fei1	fei1	fei1	fei1	fei1	fei1	fei1
费	fei5	fei5	fei5	fei5	fei5	fei5	fei5	fei5
肥	fei2	fei2	fei2	fei2	fei2	fei2	fei2	fei2
尾	uei3	uei3	uei3	uei3	uei3	uei3	uei3	uei3
味	uei5	uei5	uei5	uei5	uei5	uei5	uei5	uei5
鬼	kuei3	kuei3	kuei3	kuei3	kuei3	kuei3	kuei3	kuei3
贵	kuei5	kuei5	kuei5	kuei5	kuei5	kuei5	kuei5	kuei5
围	uei2	uei2	uei2	uei2	uei2	uei2	uei2	uei2
胃	uei5	uei5	uei5	uei5	uei5	uei5	uei5	uei5
宝	pau3	pau3	pau3	pau3	pau3	pau3	pɔu3	pau3
抱	pau5	pau5	pau5	pau5	pau5	pau5	pɔu5	pau5
毛	mau2	mau2	mau2	mau2	mau2	mau2	mɔu2	mau2
帽	mau5	mau5	mau5	mau5	mau5	mau5	mɔu5	mau5
刀	tau1	tau1	tau1	tau1	tau1	tau1	tɔu1	tau1
讨	tʰau3	tʰau3	tʰau3	tʰau3	tʰau3	tʰau3	tʰɔu3	tʰau3
桃	tʰau2	tʰau2	tʰau2	tʰau2	tʰau2	tʰau2	tʰɔu2	tʰau2
道	tau5	tau5	tau5	tau5	tau5	tau5	tɔu5	tau5
脑	lau3	nau3	nau3	nau3	lau3	nau3	nɔu3	nau3
老	lau3	nau3	nau3	nau3	lau3	nau3	nɔu3	lau3
早	tsau3	tsau3	tsau3	tsau3	tsau3	tsau3	tsɔu3	tsau3
灶	tsau5	tsau5	tsau5	tsau5	tsau5	tsau5	tsɔu5	tsau5
草	tsʰau3	tsʰau3	tsʰau3	tsʰau3	tsʰau3	tsʰau3	tsʰɔu3	tsʰau3
糙	tsʰau1	tsʰau1	tsʰau1	tsʰau1	tsʰau1	tsʰau1	tsʰɔu1	tsʰau1
造	tsʰau5	tsʰau5	tsʰau5	tsʰau5	tsʰau5	tsʰau5	tsʰɔu5	tsʰau5
嫂	sau3	sau3	sau3	sau3	sau3	sau3	sɔu3	sau3
高	kau1	kau1	kau1	kau1	kau1	kau1	kɔu1	kau1
靠	kʰau5	kʰau5	kʰau5	kʰau5	kʰau5	kʰau5	kʰɔu5	kʰau5
熬	ŋau2	ŋau2	au2	au2	ŋau/au2	ŋau2	ŋɔu2/ɔu2	ŋau2/au2
好(～坏)	xau3	xau3	xau3	xau3	xau3	xau3	xɔu3	xau3
号名	xau5	xau5	xau5	xau5	xau5	xau5	xɔu5	xau5
包	pau1	pau1	pau1	pau1	pau1	pau1	pɔu1	pau1
饱	pau3	pau3	pau3	pau3	pau3	pau3	pɔu3	pau3
炮	pʰau5	pʰau5	pʰau5	pʰau5	pʰau5	pʰau5	pʰɔu5	pʰau5
猫	mau1	mau1	mau1	mau1	mau1	mau1	mɔu1	mau1
闹	lau5	nau5	nau5	nau5	lau5	nau5	nɔu5	lau5
罩	tsau5	tsau5	tsau5	tsau5	tsau5	tsau5	tsɔu5	tsau5
抓(用手～牌)	tsua1	tsua1	tsua1	tsua1	tsua1	tsua1	tsua1	tsua1
找(～零钱)	tsau3	tsau3	tsau3	tsau3	tsau3	tsau3	tsɔu3	tsau3
抄	tsʰau1	tsʰau1	tsʰau1	tsʰau1	tsʰau1	tsʰau1	tsʰɔu1	tsʰau1
交	tɕiau1	tɕiau1	tɕiau1	tɕiau1	tɕiau1	tɕiau1	tɕiɔu1	tɕiau1
