cid	character	initial	final	tone	note
369	有	∅	iou	213	
370	右	∅	iou	53	
371	油	∅	iou	35	
372	丢	t	iou	55	
373	幼	∅	iou	53	
374	贪	th	an	55	
375	潭	th	an	35	
376	南	n	an	35	
377	蚕	tsh	an	35	
378	感	k	an	213	
379	含	x	an	35	
380	暗	n	an	53	老
380	暗	∅	an	53	新
381	搭	t	ɑ	55	
382	踏	th	ɑ	53	
383	拉	l	ɑ	55	
384	杂	ts	ɑ	35	
385	鸽	k	ɤ	55	
386	盒	x	ɤ	35	
387	胆	t	an	213	
388	毯	th	an	213	
389	淡	t	an	53	
390	蓝	l	an	35	
391	三	s	an	35	～个
391	三	s	an	55	
392	甘	k	an	55	
393	敢	k	an	213	
394	喊	x	an	213	
395	塔	th	ɑ	213	
396	蜡	l	ɑ	53	
397	赚	ts	uan	53	
398	杉	s	an	55	
399	减	tɕ	iɛ̃	213	
400	咸	ɕ	iɛ̃	35	
401	插	tsh	ɑ	213	
402	闸	ts	ɑ	35	
403	夹	tɕ	iɑ	35	
404	衫	s	an	55	
405	监	tɕ	iɛ̃	55	
406	岩	∅	iɛ̃	35	
407	甲	tɕ	iɑ	213	
408	鸭	∅	iɑ	55	
409	黏	ȵ	iɛ̃	35	
410	尖	tɕ	iɛ̃	55	
411	签	tɕh	iɛ̃	55	
412	占	ts	an	53	
413	染	∅	iɛ̃	213	老
413	染	ʐ	an	213	新
414	钳	tɕh	iɛ̃	35	
415	验	∅	iɛ̃	53	
416	险	ɕ	iɛ̃	213	
417	厌	∅	iɛ̃	53	
418	炎	∅	iɛ̃	35	
419	盐	∅	iɛ̃	35	
420	接	tɕ	iɛ	55	
421	折	ts	ɤ	35	
422	叶	∅	iɛ	53	
423	剑	tɕ	iɛ̃	53	
424	欠	tɕh	iɛ̃	53	
425	严	∅	iɛ̃	35	
426	业	∅	iɛ	53	
427	点	t	iɛ̃	213	
428	店	t	iɛ̃	53	
429	添	th	iɛ̃	55	
430	甜	th	iɛ̃	35	
431	念	ȵ	iɛ̃	53	
432	嫌	ɕ	iɛ̃	35	
433	跌	t	iɛ	35	
434	贴	th	iɛ	55	
435	碟	t	iɛ	35	
436	协	ɕ	iɛ	35	
437	犯	f	an	53	
438	法	f	ɑ	213	
439	品	ph	in	213	
440	林	l	in	35	
441	浸	tɕh	in	213	
442	心	ɕ	in	55	
443	寻	ɕ	in	35	～思
443	寻	ɕ	yn	35	
444	沉	tsh	ən	35	
445	参	s	ən	55	
446	针	ts	ən	55	
447	深	s	ən	55	
448	任	∅	in	53	老
448	任	ʐ	ən	53	新
449	金	tɕ	in	55	
450	琴	tɕh	in	35	
451	音	∅	in	55	
452	立	l	i	53	
453	集	tɕ	i	35	
454	习	ɕ	i	35	
455	汁	ts	ɿ	55	
456	十	s	ɿ	35	
457	入	ʐ	u	53	
458	急	tɕ	i	35	
459	及	tɕ	i	35	
460	吸	ɕ	i	55	
461	单	t	an	55	
462	炭	th	an	53	
463	弹	th	an	35	
464	难	n	an	35	
465	兰	l	an	35	
466	懒	l	an	213	
467	烂	l	an	53	
468	伞	s	an	213	
469	肝	k	an	55	
470	看	kh	an	53	
471	岸	n	an	53	老
471	岸	∅	an	53	新
472	汉	x	an	53	
473	汗	x	an	53	
