聲	呼	等	韻	調	組	攝	單字	多音	罕度	檢	注释	聲母	韻母	聲調	IPA	次 聲母	次 韻母	次 聲調	新註
匣	開	一	東	平	影	通	烘	0	0	0		h	oŋ	44	hoŋ44				
匣	開	一	東	平	影	通	紅	1	0	1	紅色	h	oŋ	231	hoŋ231				
見	開	一	東	平	見	通	紅	1	0	1	女紅								
匣	開	一	東	平	影	通	鴻	0	1	0		h	oŋ	231	hoŋ231				
影	開	一	東	平	影	通	翁	0	0	0			oŋ	52	ʔoŋ52				
影	開	一	東	平	影	通	蓊	0	2	0									
云	開	三	東	平	影	通	雄	0	0	0		h	oŋ	231	hoŋ231				
云	開	三	東	平	影	通	熊	0	0	0		j	oŋ	231	joŋ231				
以	開	三	東	平	以	通	融	0	0	0		j	oŋ	231	joŋ231				
幫	合	三	東	平	幫	通	楓	0	1	0		f	oŋ	52	foŋ52				
幫	合	三	東	平	幫	通	風	0	0	0		f	oŋ	52	foŋ52				
並	開	一	東	平	幫	通	蓬	0	0	0		p	oŋ	231	poŋ231				
							蓬					f	oŋ	231	foŋ231				
並	開	一	東	平	幫	通	篷	0	1	0		p	oŋ	231	poŋ231				
							篷					f	oŋ	231	foŋ231				
並	開	一	東	平	幫	通	蜂	0	0	0		f	oŋ	52	foŋ52				
並	合	三	東	平	幫	通	梵	0	2	0									
並	合	三	東	平	幫	通	馮	1	1	1	馮姓	f	oŋ	231	foŋ231				
並	開	三	蒸	平	幫	曾	馮	1	1	1	暴虎馮河								
明	開	一	東	平	幫	通	矇	0	0	0									
明	開	一	東	平	幫	通	濛	0	0	0									
明	開	一	東	平	幫	通	朦	0	1	0		m	oŋ	52	moŋ52				
明	開	一	東	平	幫	通	檬	0	1	0		m	oŋ	24	moŋ24				
明	開	一	東	平	幫	通	蒙	0	0	0		m	oŋ	231	moŋ231				
明	合	三	東	平	幫	通	夢	0	0	0		m	oŋ	213	moŋ213				
滂	合	三	東	平	幫	通	豐	0	0	0		f	oŋ	52	foŋ52				
群	開	三	東	平	見	通	窮	0	0	0		tʃ	oŋ	231	tʃoŋ231				
端	開	一	東	上	端	通	董	0	0	0		t	oŋ	44	toŋ44				
透	開	一	東	上	端	通	桶	0	0	0		tʰ	oŋ	44	tʰoŋ44				
定	開	一	東	上	端	通	動	0	0	0		t	oŋ	24	toŋ24				
來	開	一	東	上	來	通	攏	0	0	0		l	oŋ	44	loŋ44				
精	開	一	東	上	精	通	總	0	0	0		t	oŋ	44	toŋ44				
溪	開	一	東	上	見	通	孔	0	0	0		h	oŋ	44	hoŋ44				
							孔					kʰ	oŋ	44	kʰoŋ44				
幫	開	一	東	上	幫	通	俸	0	2	0		f	oŋ	231	foŋ231				
明	開	一	東	上	幫	通	懵	0	2	0		m	oŋ	44	moŋ44				
端	開	一	東	去	端	通	棟	0	0	0		t	oŋ	35	toŋ35				
透	開	一	東	去	端	通	痛	0	0	0		tʰ	oŋ	35	tʰoŋ35				
來	開	一	東	去	來	通	弄	0	0	0		l	oŋ	213	loŋ213				
精	開	一	東	去	精	通	粽	0	2	0		t	oŋ	35	toŋ35				
心	開	一	東	去	精	通	送	0	0	0		θ	oŋ	35	θoŋ35				
澄	開	三	東	去	知	通	仲	0	1	0		tʃ	oŋ	213	tʃoŋ213				
昌	開	三	東	去	章	通	銃	0	2	0		tʃʰ	oŋ	44	tʃʰoŋ44				
見	開	一	東	去	見	通	貢	0	0	0		k	oŋ	35	koŋ35				
匣	開	一	東	去	影	通	哄	1	0	1	哄騙	h	oŋ	231	hoŋ231				
							哄	1	0	1	亂哄哄	h	oŋ	231	hoŋ231				
影	開	一	東	去	影	通	甕	0	1	0			oŋ	35	ʔoŋ35				
幫	合	三	東	去	幫	通	諷	0	0	0		f	oŋ	44	foŋ44				
並	合	三	東	去	幫	通	鳳	0	0	0		f	oŋ	213	foŋ213				
端	開	一	東	入	端	通	啄	0	0	0		θ	ɔk	212	θɔk212				
							啄					tʃ	ɔk	34	tʃɔk34				
端	開	一	東	入	端	通	竺	0	2	0									
透	開	一	東	入	端	通	禿	0	0	0		tʰ	ok	5	tʰok5				
定	開	一	東	入	端	通	犢	0	2	0		t	ok	2	tok2				
定	開	一	東	入	端	通	獨	0	0	0		t	ok	2	tok2				
定	開	一	東	入	端	通	瀆	0	2	0									
定	開	一	東	入	端	通	讀	1	0	1	朗讀	t	ok	2	tok2				
定	開	一	侯	去	端	流	讀	1	0	1	句讀								
來	開	一	東	入	來	通	麓	0	2	0									
來	開	一	東	入	來	通	鹿	0	0	0		l	ok	2	lok2				
來	開	一	東	入	來	通	漉	0	2	0									
來	開	一	東	入	來	通	碌	0	0	0		l	ok	5	lok5				
來	開	一	東	入	來	通	角	0	0	0		k	ɔk	34	kɔk34				
來	開	一	東	入	來	通	祿	0	2	0		l	ok	2	lok2				
來	開	三	東	入	來	通	陸	0	0	0		l	ok	2	lok2				
來	開	三	東	入	來	通	六	0	0	0		l	ok	2	lok2				
精	開	三	東	入	精	通	蹙	0	2	0									
清	開	一	東	入	精	通	簇	0	1	0									
清	開	三	東	入	精	通	蹴	0	2	0									
從	開	一	東	入	精	通	族	0	0	0		θ	ok	2	θok2				
從	開	一	東	入	精	通	鑿	0	1	0		θ	ɔk	212	θɔk212				
心	開	一	東	入	精	通	速	0	0	0		tʰ	ok	5	tʰok5				
心	開	三	東	入	精	通	肅	0	0	0		θ	ok	5	θok5				
心	開	三	東	入	精	通	夙	0	2	0									
知	開	三	東	入	知	通	竹	0	0	0		tʃ	ok	5	tʃok5				
知	開	三	東	入	知	通	築	0	0	0		tʃʰ	ok	5	tʃʰok5				
澄	開	三	東	入	知	通	逐	0	0	0		tʃ	ok	5	tʃok5				
澄	開	三	東	入	知	通	軸	0	1	0		tʃʰ	ok	5	tʃʰok5				
澄	開	三	東	入	知	通	筑	0	0	0									
初	開	三	東	入	莊	通	矗	0	1	0									
生	開	三	東	入	莊	通	縮	0	0	0		ʃ	ok	5	ʃok5				
常	開	三	東	入	章	通	淑	0	1	0		ʃ	ok	5	ʃok5				
常	開	三	東	入	章	通	熟	0	0	0		ʃ	ok	2	ʃok2				
常	開	三	東	入	章	通	塾	0	2	0		ʃ	ok	2	ʃok2				
常	開	三	東	入	章	通	孰	0	2	0		ʃ	ok	2	ʃok2				
書	開	三	東	入	章	通	倏	0	2	0									
書	開	三	東	入	章	通	叔	0	0	0		ʃ	ok	5	ʃok5				
日	開	三	東	入	日	通	肉	0	0	0		ȵ	ok	2	ȵok2				
見	開	一	東	入	見	通	穀	0	0	0		k	ok	5	kok5				
見	開	一	東	入	見	通	谷	1	0	1	山谷	k	ok	5	kok5				
以	開	三	鍾	入	以	通	谷	1	0	1	吐谷渾								
來	開	一	東	入	來	通	谷	1	0	1	谷蠡王								
見	開	三	東	入	見	通	掬	0	2	0									
見	開	三	東	入	見	通	鞠	0	0	0		k	ok	5	kok5				
見	開	三	東	入	見	通	菊	0	0	0		k	ok	5	kok5				
溪	開	一	東	入	見	通	哭	0	0	0		h	ok	5	hok5				
溪	開	三	東	入	見	通	麴	0	0	0		tʃʰ	ok	5	tʃʰok5				
曉	開	三	東	入	影	通	蓄	0	0	0		tʃʰ	ok	5	tʃʰok5				
匣	開	一	東	入	影	通	斛	0	2	0									
影	開	一	東	入	影	通	屋	0	0	0			ok	5	ʔok5				
影	開	三	東	入	影	通	郁	0	1	0		j	ok	5	jok5				
以	開	三	東	入	以	通	粥	0	0	0		tʃ	ok	5	tʃok5				
以	開	三	東	入	以	通	鬻	0	2	0									
以	開	三	東	入	以	通	育	0	0	0		j	ok	5	jok5				
以	開	三	東	入	以	通	昱	0	3	0									
幫	開	一	東	入	幫	通	蹼	0	2	0									
幫	開	一	東	入	幫	通	卜	0	0	0		p	ok	5	pok5				
幫	合	三	東	入	幫	通	腹	0	0	0		f	ok	5	fok5				
幫	合	三	東	入	幫	通	蝠	0	1	0		f	ok	5	fok5				
幫	合	三	東	入	幫	通	福	0	0	0		f	ok	5	fok5				
幫	合	三	東	入	幫	通	幅	0	0	0		f	ok	5	fok5				
並	開	一	東	入	幫	通	僕	0	0	0		p	ok	5	pok5				
並	合	三	東	入	幫	通	服	0	0	0		f	ok	2	fok2				
並	合	三	東	入	幫	通	匐	0	2	0									
並	合	三	東	入	幫	通	馥	0	2	0									
明	開	一	東	入	幫	通	木	0	0	0		m	ok	2	mok2				
明	開	一	東	入	幫	通	沐	0	1	0									
明	合	三	東	入	幫	通	睦	0	1	0		m	ok	2	mok2				
明	合	三	東	入	幫	通	穆	0	1	0									
明	合	三	東	入	幫	通	目	0	0	0		m	ok	2	mok2				
明	合	三	東	入	幫	通	牧	0	0	0		m	ok	2	mok2				
滂	開	一	東	入	幫	通	撲	0	0	0		pʰ	ok	5	pʰok5				
端	合	一	冬	平	端	通	冬	0	0	0		t	oŋ	52	toŋ52				
定	合	一	冬	平	端	通	疼	1	0	1	疼痛	t	ɐŋ	231	tɐŋ231				
定	合	一	冬	平	端	通	疼	1	0	1	疼愛	t	ɐŋ	231	tɐŋ231				
定	合	一	冬	平	端	通	彤	0	1	0									
定	合	一	冬	平	端	通	鼕	0	0	0									
泥	合	一	冬	平	端	通	農	0	0	0		n	oŋ	231	noŋ231				
泥	合	一	冬	平	端	通	膿	0	1	0		n	oŋ	231	noŋ231				
精	合	一	冬	平	精	通	宗	0	0	0		t	oŋ	52	toŋ52				
從	合	一	冬	平	精	通	淙	0	2	0									
從	合	一	冬	平	精	通	鬃	0	2	0		t	oŋ	52	toŋ52				
心	合	一	冬	平	精	通	鬆	0	0	0		θ	oŋ	52	θoŋ52				
透	合	一	冬	去	端	通	統	0	0	0		tʰ	oŋ	44	tʰoŋ44				
精	合	一	冬	去	精	通	綜	0	1	0		t	oŋ	52	toŋ52				
心	合	一	冬	去	精	通	宋	0	0	0		θ	oŋ	35	θoŋ35				
端	合	一	冬	入	端	通	篤	0	2	0		t	ok	5	tok5				
端	合	一	冬	入	端	通	督	0	0	0		t	ok	5	tok5				
定	合	一	冬	入	端	通	毒	0	0	0		t	ok	2	tok2				
泥	合	一	冬	入	端	通	褥	0	1	0		j	ok	2	jok2				
溪	合	一	冬	入	見	通	酷	0	0	0		k	ok	2	kok2				
影	合	一	冬	入	影	通	沃	0	0	0		j	ok	5	jok5				
娘	開	三	鍾	平	知	通	濃	0	0	0									
來	開	三	鍾	平	來	通	龍	0	0	0		l	oŋ	231	loŋ231				
精	開	三	鍾	平	精	通	縱	1	0	1	縱橫	θ	oŋ	213	θoŋ213				
精	開	三	鍾	去	精	通	縱	1	0	1	放縱	θ	oŋ	213	θoŋ213				
精	開	三	鍾	平	精	通	蹤	0	0	0		t	oŋ	52	toŋ52				
精	開	三	鍾	平	精	通	樅	0	3	0									
從	開	三	鍾	平	精	通	從	1	0	1	跟從	θ	oŋ	231	θoŋ231				
清	開	三	鍾	平	精	通	從	1	0	1	從容								
從	開	三	鍾	平	精	通	從	1	0	1	從兄弟								
邪	開	三	鍾	平	精	通	松	0	0	0		θ	oŋ	231	θoŋ231				
邪	開	三	鍾	平	精	通	訟	0	1	0		θ	oŋ	213	θoŋ213				
澄	開	三	鍾	平	知	通	重	1	0	1	重新	tʃ	oŋ	231	tʃoŋ231				
澄	開	三	鍾	上	知	通	重	1	0	1	重量	tʃ	oŋ	24	tʃoŋ24				
澄	開	三	鍾	去	知	通	重	1	0	1	重要	tʃ	oŋ	24	tʃoŋ24				
章	開	三	鍾	平	章	通	鐘	0	0	0		tʃ	oŋ	52	tʃoŋ52				
章	開	三	鍾	平	章	通	忪	1	2	1	怔忪								
							忪	1	2	1	惺忪								
章	開	三	鍾	平	章	通	鍾	0	0	0		tʃ	oŋ	52	tʃoŋ52				
昌	開	三	鍾	平	章	通	憧	0	2	0									
昌	開	三	鍾	平	章	通	衝	1	0	1	衝鋒	tʃʰ	oŋ	52	tʃʰoŋ52				
							衝	1	0	1	衝勁								
書	開	三	鍾	平	章	通	舂	0	2	0		tʃʰ	oŋ	52	tʃʰoŋ52				
日	開	三	鍾	平	日	通	茸	0	1	0		j	oŋ	231	joŋ231				
見	開	三	鍾	平	見	通	共	0	0	0		k	oŋ	213	koŋ213				
							共					tʃ	oŋ	213	tʃoŋ213				
見	開	三	鍾	平	見	通	恭	0	0	0		k	oŋ	52	koŋ52				
見	開	三	鍾	平	見	通	供	1	0	1	提供	k	oŋ	35	koŋ35				
見	開	三	鍾	去	見	通	供	1	0	1	供奉	k	oŋ	35	koŋ35				
曉	開	三	鍾	平	影	通	凶	0	0	0		h	oŋ	52	hoŋ52				
							凶					j	oŋ	52	joŋ52				
曉	開	三	鍾	平	影	通	洶	0	1	0									
曉	開	三	鍾	平	影	通	兇	0	0	0		h	oŋ	52	hoŋ52				
							兇					j	oŋ	52	joŋ52				
曉	開	三	鍾	平	影	通	匈	0	1	0		j	oŋ	52	joŋ52				
影	開	三	鍾	平	影	通	雍	0	2	0									
以	開	三	鍾	平	以	通	蓉	0	1	0		j	oŋ	231	joŋ231				
以	開	三	鍾	平	以	通	溶	0	1	0		j	oŋ	231	joŋ231				
以	開	三	鍾	平	以	通	容	0	0	0		j	oŋ	231	joŋ231				
以	開	三	鍾	平	以	通	傭	0	0	0		j	oŋ	44	joŋ44				
以	開	三	鍾	平	以	通	鎔	0	2	0		j	oŋ	231	joŋ231				
以	開	三	鍾	平	以	通	頌	0	0	0		θ	oŋ	213	θoŋ213				
以	開	三	鍾	平	以	通	庸	0	0	0		j	oŋ	231	joŋ231				
幫	合	三	鍾	平	幫	通	封	0	0	0		f	oŋ	52	foŋ52				
並	合	三	鍾	平	幫	通	逢	0	0	0		f	oŋ	231	foŋ231				
並	合	三	鍾	平	幫	通	縫	1	0	1	裁縫	f	oŋ	231	foŋ231				
並	合	三	鍾	去	幫	通	縫	1	0	1	裂縫	f	oŋ	231	foŋ231				
滂	合	三	鍾	平	幫	通	鋒	0	0	0		f	oŋ	52	foŋ52				
滂	合	三	鍾	平	幫	通	烽	0	2	0									
滂	合	三	鍾	平	幫	通	丰	0	0	0		f	oŋ	52	foŋ52				
來	開	三	鍾	上	來	通	隴	0	2	0		l	oŋ	44	loŋ44				
心	開	三	鍾	上	精	通	聳	0	1	0		θ	oŋ	231	θoŋ231				
心	開	三	鍾	上	精	通	悚	0	2	0									
心	開	三	鍾	上	精	通	慫	0	2	0		θ	oŋ	231	θoŋ231				
知	開	三	鍾	上	知	通	冢	0	2	0									
知	開	三	鍾	上	知	通	塚	0	2	0									
徹	開	三	鍾	上	知	通	寵	0	1	0		tʃʰ	oŋ	44	tʃʰoŋ44				
章	開	三	鍾	上	章	通	踵	0	2	0									
章	開	三	鍾	上	章	通	腫	0	0	0		tʃ	oŋ	44	tʃoŋ44				
章	開	三	鍾	上	章	通	種	1	0	1	種子	tʃ	oŋ	44	tʃoŋ44				
章	開	三	鍾	去	章	通	種	1	0	1	種植	tʃ	oŋ	35	tʃoŋ35				
見	開	三	鍾	上	見	通	鞏	0	0	0		k	oŋ	44	koŋ44				
見	開	三	鍾	上	見	通	拱	0	1	0		k	oŋ	44	koŋ44				
溪	開	三	鍾	上	見	通	恐	0	0	0		kʰ	oŋ	44	kʰoŋ44				
影	開	三	鍾	上	影	通	擁	0	0	0		j	oŋ	44	joŋ44				
以	開	三	鍾	上	以	通	恿	0	2	0		j	oŋ	44	joŋ44				
以	開	三	鍾	上	以	通	蛹	0	1	0		j	oŋ	44	joŋ44				
以	開	三	鍾	上	以	通	勇	0	0	0		j	oŋ	44	joŋ44				
並	合	三	鍾	上	幫	通	奉	0	0	0		f	oŋ	213	foŋ213				
滂	合	三	鍾	上	幫	通	捧	0	0	0		pʰ	oŋ	44	pʰoŋ44				
邪	開	三	鍾	去	精	通	誦	0	0	0		θ	oŋ	213	θoŋ213				
以	開	三	鍾	去	以	通	用	0	0	0		j	oŋ	213	joŋ213				
來	開	三	鍾	入	來	通	綠	0	0	0		l	ok	2	lok2				
來	開	三	鍾	入	來	通	錄	0	0	0		l	ok	2	lok2				
清	開	三	鍾	入	精	通	促	0	0	0		tʰ	ok	5	tʰok5				
心	開	三	鍾	入	精	通	粟	0	1	0		θ	ok	5	θok5				
邪	開	三	鍾	入	精	通	續	0	0	0		θ	ok	2	θok2				
邪	開	三	鍾	入	精	通	俗	0	0	0		θ	ok	2	θok2				
章	開	三	鍾	入	章	通	燭	0	0	0		tʃ	ok	5	tʃok5				
章	開	三	鍾	入	章	通	囑	0	0	0		tʃ	ok	5	tʃok5				
章	開	三	鍾	入	章	通	矚	0	2	0									
章	開	三	鍾	入	章	通	屬	1	0	1	屬文	tʃ	ok	5	tʃok5				
常	開	三	鍾	入	章	通	屬	1	0	1	屬於	tʃ	ok	5	tʃok5				
昌	開	三	鍾	入	章	通	觸	0	0	0		tʃ	ok	5	tʃok5				
常	開	三	鍾	入	章	通	鐲	0	2	0		tʃ	ok	5	tʃok5				
常	開	三	鍾	入	章	通	蜀	0	1	0		tʃ	ok	5	tʃok5				
書	開	三	鍾	入	章	通	束	0	0	0		tʰ	ok	5	tʰok5				
船	開	三	鍾	入	章	通	贖	0	1	0		ʃ	ok	2	ʃok2				
日	開	三	鍾	入	日	通	辱	0	0	0		j	ok	2	jok2				
溪	開	三	鍾	入	見	通	曲	0	0	0		tʃʰ	ok	5	tʃʰok5				
疑	開	三	鍾	入	見	通	獄	0	0	0		j	ok	2	jok2				
疑	開	三	鍾	入	見	通	玉	0	0	0		ȵ	ok	2	ȵok2				
曉	開	三	鍾	入	影	通	旭	0	1	0		j	ok	5	jok5				
以	開	三	鍾	入	以	通	浴	0	0	0		j	ok	2	jok2				
以	開	三	鍾	入	以	通	慾	0	0	0		j	ok	2	jok2				
以	開	三	鍾	入	以	通	欲	0	0	0									
群	開	三	鍾	入	見	通	局	0	0	0		tʃ	ok	2	tʃok2				
知	開	二	江	平	知	江	樁	0	1	0		tʃ	ɔŋ	52	tʃɔŋ52				
澄	開	二	江	平	知	江	撞	0	0	0		tʃ	ɔŋ	213	tʃɔŋ213				
澄	開	二	江	平	知	江	幢	1	1	1	幡幢								
澄	開	二	江	去	知	江	幢	1	1	1	一幢樓								
							幢	1	1	1	海幢寺								
生	開	二	江	平	莊	江	雙	0	0	0		ʃ	ɔŋ	52	ʃɔŋ52				
見	開	二	江	平	見	江	江	0	0	0		k	aŋ	52	kaŋ52				
							江					k	ɔŋ	52	kɔŋ52				
見	開	二	江	平	見	江	肛	0	1	0		k	ɔŋ	52	kɔŋ52				
見	開	二	江	平	見	江	扛	0	0	0		kʰ	ɔŋ	52	kʰɔŋ52				
溪	開	二	江	平	見	江	控	0	0	0		h	oŋ	44	hoŋ44				
							控					kʰ	oŋ	44	kʰoŋ44				
溪	開	二	江	平	見	江	腔	0	0	0		kʰ	ɛŋ	52	kʰɛŋ52				
匣	開	二	江	平	影	江	缸	0	0	0		k	ɔŋ	52	kɔŋ52				
匣	開	二	江	平	影	江	降	1	0	1	投降	k	ɔŋ	35	kɔŋ35				
見	開	二	江	去	見	江	降	1	0	1	降落	k	ɔŋ	35	kɔŋ35				
幫	開	二	江	平	幫	江	邦	0	1	0		p	ɔŋ	52	pɔŋ52				
並	開	二	江	平	幫	江	龐	0	1	0		p	aŋ	231	paŋ231				
見	開	二	江	上	見	江	講	0	0	0		k	ɔŋ	44	kɔŋ44				
見	開	二	江	上	見	江	港	0	0	0		k	ɔŋ	44	kɔŋ44				
匣	開	二	江	上	影	江	項	0	0	0		h	ɔŋ	24	hɔŋ24				
並	開	二	江	上	幫	江	棒	0	0	0		p	aŋ	24	paŋ24				
							棒					p	ɔŋ	24	pɔŋ24				
並	開	二	江	上	幫	江	蚌	0	1	0		p	ɔŋ	24	pɔŋ24				
匣	開	二	江	去	影	江	巷	0	0	0		h	ɔŋ	213	hɔŋ213				
知	開	二	江	入	知	江	桌	0	0	0		tʃ	ɔk	34	tʃɔk34				
知	開	二	江	入	知	江	琢	0	1	0		tʃ	ɔk	34	tʃɔk34				
知	開	二	江	入	知	江	卓	0	1	0		tʃ	ɔk	34	tʃɔk34				
澄	開	二	江	入	知	江	擢	0	2	0									
澄	開	二	江	入	知	江	濁	0	0	0		tʃ	ɔk	212	tʃɔk212				
莊	開	二	江	入	莊	江	捉	0	0	0		tʃ	ɔk	34	tʃɔk34				
崇	開	二	江	入	莊	江	浞	0	3	0									
生	開	二	江	入	莊	江	朔	0	2	0		ʃ	ɔk	34	ʃɔk34				
溪	開	二	江	入	見	江	確	0	0	0		kʰ	ɔk	34	kʰɔk34				
疑	開	二	江	入	見	江	嶽	0	1	0		ŋ	ɔk	212	ŋɔk212				
疑	開	二	江	入	見	江	岳	0	1	0		ŋ	ɔk	212	ŋɔk212				
匣	開	二	江	入	影	江	學	0	0	0		h	ɔk	212	hɔk212				
影	開	二	江	入	影	江	握	0	0	0			ok	5	ʔok5				
影	開	二	江	入	影	江	渥	0	2	0									
影	開	二	江	入	影	江	喔	1	2	1	喔喔叫								
							喔	1	2	1	嘆詞								
幫	開	二	江	入	幫	江	剝	0	0	0		p	ɔk	34	pɔk34				
幫	開	二	江	入	幫	江	駁	0	0	0		p	ɔk	34	pɔk34				
並	開	二	江	入	幫	江	雹	0	0	0		p	ak	212	pak212				
							雹					p	ɔk	212	pɔk212				
滂	開	二	江	入	幫	江	璞	0	2	0									
來	開	三	支A	平	來	止	罹	0	2	0									
來	開	三	支A	平	來	止	鸝	0	2	0									
來	開	三	支A	平	來	止	離	0	0	0		l	i	231	li231				
來	開	三	支A	平	來	止	驪	0	2	0									
來	開	三	支A	平	來	止	麗	0	0	0		l	ɐi	213	lɐi213				
來	開	三	支A	平	來	止	璃	1	0	1	琉璃	l	i	52	li52				
來	開	三	支A	平	來	止	璃	1	0	1	玻璃	l	i	52	li52				
來	開	三	支A	平	來	止	漓	0	1	0									
來	開	三	支A	平	來	止	籬	0	1	0		l	i	231	li231				
精	合	三	支A	平	精	止	劑	0	0	0		t	ɐi	52	tɐi52				
清	開	三	支A	平	精	止	雌	0	1	0		tʰ	i	52	tʰi52				
從	開	三	支A	平	精	止	疵	0	2	0		pʰ	i	52	pʰi52				
心	開	三	支A	平	精	止	斯	0	0	0		θ	i	52	θi52				
心	開	三	支A	平	精	止	廝	0	2	0		θ	i	52	θi52				
邪	合	三	支A	平	精	止	隨	0	0	0		θ	ui	231	θui231				
邪	合	三	支A	平	精	止	隋	0	2	0									
章	開	三	支A	平	章	止	肢	0	0	0		tʃ	i	52	tʃi52				
章	開	三	支A	平	章	止	支	0	0	0		tʃ	i	52	tʃi52				
章	開	三	支A	平	章	止	只	0	0	0									
章	開	三	支A	平	章	止	枝	0	0	0		tʃ	i	52	tʃi52				
常	開	三	支A	上	章	止	氏	1	0	1	姓氏	ʃ	i	213	ʃi213				
章	開	三	支A	平	章	止	氏	1	0	1	月氏								
昌	合	三	支A	平	章	止	炊	0	0	0		tʃʰ	ui	52	tʃʰui52				
昌	合	三	支A	平	章	止	吹	0	0	0		tʃʰ	ui	52	tʃʰui52				
常	開	三	支A	平	章	止	提	0	0	0		t	ɐi	231	tɐi231				
常	合	三	支A	平	章	止	垂	0	0	0		ʃ	ui	231	ʃui231				
常	開	三	支A	平	章	止	匙	1	0	1	鑰匙	ʃ	i	231	ʃi231				
							匙	1	0	1	茶匙，湯匙，一本作「瓷」	tʃ	i	231	tʃi231				
常	開	三	支A	平	章	止	堤	0	0	0		t	ɐi	231	tɐi231				
書	開	三	支A	平	章	止	施	0	0	0		ʃ	i	52	ʃi52				
日	開	三	支A	平	日	止	兒	0	0	0		ȵ	i	231	ȵi231				表示小稱時讀陰平調
見	合	三	支A	平	見	止	規	0	0	0		kʰ	uɐi	52	kʰuɐi52				
