	阴平	阳平	阴上	阳上	阴去	阳去	阴入	阳入	
tsʰu	粗搓初		楚磋挫		锉醋措错□（干起来）				
dzu		锄=雏刍		坐		助			
su	蓑梭苏酥疏蔬鬚（~牙）		锁数（动词）所琐		素诉数（名词）塑（泥~木雕）				
zu				坐（又音）座					
ku	哥歌锅戈蜗姑孤箍辜估（~价）过（~头）		果裹古故（缘~）牯股鼓估（~计）		故固雇顾个=（原~子：整个儿）过（~桥）				
kʰu	科窠棵颗枯库（仓~）		可苦		课库（烧化的纸屋子之类：扎~）裤				
ŋu		蛾鹅娥俄梧讹		我=		饿卧悟捂-			
hu	呼烀（~馒头）		火夥虎浒（水~）		货荷（薄~）				
hɦu		河何禾荷（~花）和（~气）		祸		贺和（掺和：~米麦饭）			
ʔu	污乌□（愚，傻）				捂=恶（大便）				
ɦu		吴=蜈胡湖狐壶糊		五伍		户沪互护雾（又音）午误讹（又音）务（又音）伍（队~）			
ne		男南							
tse	簪								
tsʰe	参汆（~汤）		惨		掺（加进）				
dze		□（从口袋或洞中取出东西）							
se	奢		捨=		舍=				
ze		蚕				社射=			
ke	甘泔（米~水）柑（~橘）		感敢赣						
kʰe	堪		坎砍						
ŋe		岩癌							
he	酣蚶柑（~子）								
hɦe		含函涵				憾撼			
ʔe	庵		掩揞		暗淹				
pie	鞭编边蝙篦搬		贬扁匾		变半				
pʰie	篇偏遍潘				骗片判				
bie		盘便（~宜）骈瀊（水溢出）		辨辩辫（动词）拌卞		汴伴叛便（方~）拌（~说话）辫（~子）𨒃（躲藏）			
mie	免	绵棉=（~布）眠瞒馒	勉	满		面麺			
vie				范（姓）					
tie	颠巅䪴（~子）		掂点典		店				
tʰie	贪添天		舔		掭				
die		潭甜田填坛（~子）		电		殿奠佃垫甸			
lie		廉镰帘连联怜莲楝恋		脸		敛殓练炼			
tɕie	尖兼搛（~菜）艰间=奸=煎笺肩坚		检简柬剪茧趼减=捡		鉴剑间（~断）谏涧箭建荐见				
tɕʰie	签谦千迁牵且骞歼		浅		欠歉				
dʑie		钳钱=乾（~坤）虔掮前全泉旋=				潜渐践贱=羡件键健腱俭藉=			
ȵie	粘（~贴）拈（拾：~出来）研捻	阎严年		验染（~布）		念谚砚碾廿			
ɕie	仙鲜轩先宣喧籼掀		险癣显选洗		线宪献				
ʑie		𬊈（~毛）钱-旋-				贱-□（转头）			
ʔie	焉烟蔫（花~）胭咽（~喉）也=				厌咽（动词）宴雁燕野=晏				
ɦie		盐簷嫌延筵言贤弦沿咸颜=				陷腌艳焰演现炎液夜=爷（~两个）野=（又音）			
kue	官棺观冠（衣~）		管馆罐冠（~军）		贯灌				
kʰue	宽		款						
hue	欢=								
ʔue	缓（推迟：欠你的钱，~一~）		缓（迟，慢）碗		腕				
ɦue		完丸				玩换皖			
tø	丹端单		短掸（鸡毛~子）		锻断（决~）				
tʰø	滩摊毯				炭叹探（把东西从钩子上取下）				
dø		檀团糰弹（~琴）		断		蛋段缎弹（子~）断（~一段木头）			
nø	囡	难（~易）		暖		难（患~）			
lø	拦（又赶又拦：拿鸡~进棚里）	拦栏鸾儿=而=		卵（阴茎）		乱二=			
tsø	专砖瞻簪（又音）钻（~研）毡		展转（~送）		占战钻（名词，木工用具）赞颤				
tsʰø	川穿汆（~粥）餐		喘		灿串窜篡				
dzø		传（~达）椽		缠（纠~）		缠篆传（~记）			
sø	掮煽酸闩栓拴苫（荆~）		陕闪伞散（~文，解~腰）		散（分~）算蒜骟苫（动词）扇				
zø		蟾蝉禅船然燃		□（心不定)		冉染（传~）善膳单（姓）擅篅（~条）			
kø	干肝竿杆		桿擀赶干（~部）		幹				
