cʰaracter	initian	finan	tone	note								
捞	n	au	44									
捞	n	au	21									
早	ts	au	45									
灶	ts	au	13									
草	tsʰ	au	45									
超	tsʰ	au	44									
曹	tsʰ	au	21									
炒	tsʰ	au	45									
糙	tsʰ	au	13									
造	tsʰ	au	13									
嫂	s	au	45									
高	k	au	44									
搞	k	au	45									
告	k	au	13									
靠	kʰ	au	13									
熝	ŋ	au	44									
爊	ŋ	au	44									
熬	ŋ	au	44	俗，或作“熝”或“爊”								
熬	ŋ	au	21									
咬	ŋ	au	45									
傲	ŋ	au	13									
好	x	au	45									
蒿	x	au	44									
豪	x	au	21									
号	x	au	13									
包	p	au	44									
饱	p	au	45									
抛	pʰ	au	44									
刨	pʰ	au	21									
跑	pʰ	au	45									
炮	pʰ	au	13									
猫	m	au	44									
卯	m	au	45									
牡	m	au	45	∽丹								
闹	n	au	13									
罩	ts	au	13									
抓	ts	ua	44									
招	ts	au	44									
找	ts	au	45									
抄	tsʰ	au	44									
交	tɕ	iau	44									
敲	kʰ	au	44									
考	kʰ	au	45									
孝	ɕ	iau	13									
校	ɕ	iau	13									
表	p	iau	45									
票	pʰ	iau	13									
庙	m	iau	13									
焦	tɕ	iau	44									
小	ɕ	iau	45									
笑	ɕ	iau	13									
朝	tsʰ	au	21									
照	ts	au	13									
烧	s	au	44									
苕	s	au	21									
少	s	au	45									
潲	s	au	13									
饶	z	au	21									
绕	z	au	45									
绕	z	au	13									
桥	tɕʰ	iau	21									
轿	tɕ	iau	13									
腰	∅	iau	44									
要	∅	iau	13									
摇	∅	iau	21									
鸟	n	iau	45									
钓	t	iau	13									
条	tʰ	iau	21									
料	n	iau	13									
箫	ɕ	iau	44									
叫	tɕ	iau	13									
母	m	uᶹ	45									
抖	tʰ	əu	45									
偷	tʰ	əu	44									
头	tʰ	əu	21									
豆	t	əu	13									
楼	n	əu	21									
走	ts	əu	45									
凑	tsʰ	əu	13									
钩	k	əu	44									
狗	k	əu	45									
够	k	əu	13									
口	kʰ	əu	45									
欧	ŋ	əu	44									
藕	ŋ	əu	45									
呕	ŋ	əu	45									
怄	ŋ	əu	13									
后	x	əu	13									
厚	x	əu	13									
富	f	uᶹ	13									
副	f	uᶹ	13									
浮	f	uᶹ	21									
妇	f	uᶹ	13									
流	n	iəu	21									
酒	tɕ	iəu	45									
修	ɕ	iəu	44									
袖	ɕ	iəu	13									
抽	tsʰ	əu	44									
绸	tsʰ	əu	21									
愁	tsʰ	əu	21									
瘦	s	əu	13									
州	ts	əu	44									
臭	tsʰ	əu	13									
手	s	əu	45									
寿	s	əu	13									
九	tɕ	iəu	45									
球	tɕʰ	iəu	21									
舅	tɕ	iəu	13									
旧	tɕ	iəu	13									
牛	n	iəu	21									
休	ɕ	iəu	44									
优	∅	iəu	44									
有	∅	iəu	45									
右	∅	iəu	13									
油	∅	iəu	21									
丢	t	iəu	44									
幼	∅	iəu	13									
贪	tʰ	æ	44									
潭	tʰ	æ	21									
南	n	æ	21									
蚕	tsʰ	æ	21									
感	k	æ	45									
含	x	æ	21									
暗	ŋ	æ	13									
搭	t	a	21									
踏	tʰ	a	21									
拉	n	a	44									
拿	n	a	21									
哪	n	a	45									
那	n	a	13									
渣	ts	a	44									
砸	ts	a	21									
杂	ts	a	21									
□	ts	a	45	~包，作客吃酒时留一点带回给小孩吃的食物。								
炸	ts	a	13									
鸽	k	o	21									
盒	x	o	21									
胆	t	æ	45									
旦	t	æ	13									
毯	tʰ	æ	45									
淡	t	æ	13									
蓝	n	æ	21									
三	s	æ	44									
甘	k	æ	44									
敢	k	æ	45									
憨	x	æ	44									
喊	x	æ	45									
罕	x	æ	13									
塔	tʰ	a	21									
蜡	n	a	21									
赚	ts	uæ	13									
杉	s	a	44									
减	tɕ	iɛ	45									
咸	ɕ	iɛ	21									
插	tsʰ	a	21									
闸	ts	a	21									
夹	tɕ	ia	21									
衫	s	æ	44									
监	tɕ	iɛ	44									
岩	ŋ	ai	21									
甲	tɕ	ia	21									
鸭	∅	ia	21									
黏	n	iɛ	21									
尖	tɕ	iɛ	44									
签	tɕʰ	iɛ	44									
占	ts	æ	13									
染	z	æ	45									
钳	tɕʰ	iɛ	21									
验	n	iɛ	13									
险	ɕ	iɛ	45									
厌	∅	iɛ	13									
炎	∅	iɛ	44									
盐	∅	iɛ	21									
接	tɕ	iɛ	21									
瞻	ts	æ	44									
折	ts	æ	21									
斩	ts	æ	45									
站	ts	æ	13									
叶	∅	iɛ	21									
剑	tɕ	iɛ	13									
欠	tɕʰ	iɛ	13									
严	n	iɛ	21									
业	n	iɛ	21									
点	t	iɛ	45									
店	t	iɛ	13									
添	tʰ	iɛ	44									
甜	tʰ	iɛ	21									
念	n	iɛ	13									
嫌	ɕ	iɛ	21									
跶	t	a	21	跌								
跌	t	iɛ	21									
贴	tʰ	iɛ	21									
碟	t	iɛ	21									
协	ɕ	iɛ	21									
犯	f	æ	13									
法	f	a	21									
品	pʰ	in	45									
林	n	in	21									
浸	tɕʰ	in	13									
心	ɕ	in	44									
寻	ɕ	yn	21									
沉	tsʰ	ən	21									
参	s	ən	44									
参	tsʰ	æ	44									
针	ts	ən	44									
深	s	ən	44									
任	z	ən	13									
金	tɕ	in	44									
琴	tɕʰ	in	21									
音	∅	in	44									
立	n	i	21									
集	tɕ	i	21									
习	ɕ	i	21									
集	tɕ	ʑ̩	21									
习	ɕ	ʑ̩	21									
汁	ts	ɿ	21									
十	s	ɿ	21									
入	z	uᶹ	21									
急	tɕ	ʑ̩	21									
及	tɕ	ʑ̩	21									
吸	ɕ	ʑ̩	21									
急	tɕ	i	21									
及	tɕ	i	21									
吸	ɕ	i	21									
单	t	æ	44									
摊	tʰ	æ	44									
坦	tʰ	æ	45									
炭	tʰ	æ	13									
弹	tʰ	æ	21									
难	n	æ	21									
兰	n	æ	21									
懒	n	æ	45									
勒	n	æ	21									
览	n	æ	45									
烂	n	æ	13									
伞	s	æ	45									
肝	k	æ	44									
龛	kʰ	æ	44									
砍	kʰ	æ	45									
看	kʰ	æ	13									
岸	ŋ	æ	13									
谙	ŋ	æ	21	估计								
汉	x	æ	13									
汗	x	æ	13									
安	ŋ	æ	44									
达	t	a	21									
答	t	a	21									
辣	n	a	21									
擦	tsʰ	a	21									
割	k	o	21									
渴	kʰ	o	21									
扮	p	æ	13									
办	p	æ	13									
铲	tsʰ	uæ	45									
山	s	æ	44									
产	tsʰ	uæ	45									
产	tsʰ	æ	45									
忏	tsʰ	æ	13									
间	k	æ	44	白								
间	tɕ	iɛ	44									
眼	∅	iɛ	45									
限	ɕ	iɛ	13									
八	p	a	21									
扎	ts	a	21									
杀	s	a	21									
班	p	æ	44									
板	p	æ	45									
慢	m	æ	13									
奸	tɕ	iɛ	44									
颜	∅	iɛ	21									
瞎	ɕ	ia	21									
变	p	iɛ	13									
骗	pʰ	iɛ	13									
便	p	iɛ	13									
棉	m	iɛ	21									
面	m	iɛ	13									
连	n	iɛ	21									
剪	tɕ	iɛ	45									
浅	tɕʰ	iɛ	45									
钱	tɕʰ	iɛ	21									
鲜	ɕ	yɛ	44									
线	ɕ	iɛ	13									
缠	tsʰ	æ	21									
战	ts	æ	13									
散	s	æ	13									
扇	s	æ	13									
扇	s	æ	44									
善	s	æ	13									
件	tɕ	iɛ	13									
延	∅	iɛ	21									
别	p	iɛ	21									
灭	m	iɛ	21									
列	n	iɛ	21									
撤	tsʰ	æ	21									
舌	s	æ	21									
设	s	æ	21									
热	z	æ	21									
杰	tɕ	iɛ	21									
孽	n	iɛ	21									
建	tɕ	iɛ	13									
健	tɕ	iɛ	13									
言	∅	iɛ	21									
歇	ɕ	iɛ	21									
扁	p	iɛ	45									
片	pʰ	iɛ	13									
面	m	iɛ	13									
典	t	iɛ	45									
天	tʰ	iɛ	44									
田	tʰ	iɛ	21									
垫	t	iɛ	13									
年	n	iɛ	21									
莲	n	iɛ	21									
前	tɕʰ	iɛ	21									
先	ɕ	iɛ	44									
肩	tɕ	iɛ	44									
见	tɕ	iɛ	13									
牵	tɕʰ	iɛ	44									
显	ɕ	iɛ	45									
现	ɕ	iɛ	13									
烟	∅	iɛ	44									
憋	p	iɛ	44									
篾	m	iɛ	21									
铁	tʰ	iɛ	21									
捏	n	iɛ	21									
节	tɕ	iɛ	21									
切	tɕʰ	iɛ	21									
截	tɕ	iɛ	21									
结	tɕ	iɛ	21									
搬	p	æ	44									
半	p	æ	13									
判	pʰ	æ	13									
潘	pʰ	æ	44									
盘	pʰ	æ	21									
盼	pʰ	æ	13									
瞒	m	æ	21									
满	m	æ	45									
曼	m	æ	13									
端	t	uæ	44									
短	t	uæ	45									
断	t	uæ	13									
暖	n	uæ	45									
乱	n	uæ	13									
酸	s	uæ	44									
算	s	uæ	13									
官	k	uæ	44									
宽	kʰ	uæ	44									
欢	x	uæ	44									
完	∅	uæ	21									
换	x	uæ	13									
碗	∅	uæ	45									
拨	p	o	21									
泼	pʰ	o	21									
末	m	o	21									
脱	tʰ	o	21									
夺	t	o	21									
阔	kʰ	o	21									
扩	kʰ	uæ	21									
活	x	o	21									
顽	∅	uæ	21									
滑	x	ua	21									
挖	∅	ua	44									
闩	s	uæ	13									
关	k	uæ	44									
惯	k	uæ	13									
还	x	uæ	21									
还	x	ai	21									
弯	∅	uæ	44									
刷	s	ua	21									
刮	k	ua	21									
全	tɕʰ	yɛ	21									
选	ɕ	yɛ	45									
转	ts	uæ	45									
传	tsʰ	uæ	21									
传	ts	uæ	13									
砖	ts	uæ	44									
船	tsʰ	uæ	21									
软	z	uæ	45									
卷	tɕ	yɛ	45									
圈	tɕʰ	yɛ	44									
权	tɕʰ	yɛ	21									
圆	∅	yɛ	21									
院	∅	yɛ	13									
铅	tɕʰ	iɛ	44									
绝	tɕ	yɛ	21									
雪	ɕ	yɛ	21									
反	f	æ	45									
番	f	æ	44									
翻	f	æ	44									
烦	f	æ	21									
饭	f	æ	13									
晚	∅	uæ	45									
万	∅	uæ	13									
劝	tɕʰ	yɛ	13									
原	∅	yɛ	21									
冤	∅	yɛ	44									
园	∅	yɛ	21									
远	∅	yɛ	45									
发	f	a	21									
罚	f	a	21									
袜	∅	ua	21									
月	∅	yɛ	21									
越	∅	yɛ	21									
县	ɕ	iɛ	13									
决	tɕ	yɛ	21									
缺	tɕʰ	yɛ	21									
血	ɕ	yɛ	21									
吞	tʰ	ən	44									
根	k	ən	44									
恨	x	ən	13									
恩	ŋ	ən	44									
贫	pʰ	in	21									
民	m	in	21									
邻	n	in	21									
进	tɕ	in	13									
亲	tɕʰ	in	44									
新	ɕ	in	44									
镇	ts	ən	13									
陈	tsʰ	ən	21									
震	ts	ən	13									
神	s	ən	21									
身	s	ən	44									
辰	s	ən	21									
晨	s	ən	21									
人	z	ən	21									
认	z	ən	13									
紧	tɕ	in	45									
银	∅	in	21									
印	∅	in	13									
引	∅	in	45									
笔	p	i	21									
匹	pʰ	i	21									
密	m	i	21									
栗	n	i	21									
七	tɕʰ	i	21									
七	tɕʰ	ʑ̩	21									
侄	ts	ɿ	21									
虱	s	æ	21									
实	s	ɿ	21									
失	s	ɿ	21									
日	z	ɿ	21									
吉	tɕ	i	21									
一	∅	i	21									
一	∅	ʑ̩	21									
筋	tɕ	in	44									
劲	tɕ	in	13									
勤	tɕʰ	in	21									
近	tɕ	in	13									
隐	∅	in	45									
本	p	ən	45									
盆	pʰ	ən	21									
门	m	ən	21									
喷	pʰ	ən	13									
墩	t	ən	44									
嫩	n	ən	13									
村	tsʰ	ən	44									
寸	tsʰ	ən	13									
蹲	t	ən	44									
孙	s	ən	44									
滚	k	uən	45									
困	kʰ	uən	13									
婚	x	uən	44									
魂	x	uən	21									
温	∅	uən	44									
不	p	uᶹ	21									
卒	ts	uᶹ	21									
骨	k	uᶹ	21									
轮	n	ən	21									
俊	tɕ	yn	13									
笋	s	ən	45									
准	ts	uən	45									
春	tsʰ	uən	44									
唇	s	uən	21									
顺	s	uən	13									
纯	s	uən	21									
闰	z	uən	13									
均	tɕ	yn	44									
匀	∅	yn	21									
律	n	y	21									
出	tsʰ	uᶹ	21									
橘	tɕ	yu	21									
分	f	ən	44									
粉	f	ən	45									
粪	f	ən	13									
坟	f	ən	21									
蚊	∅	uən	21									
问	∅	uən	13									
军	tɕ	yn	44									
倾	tɕʰ	yn	44									
裙	tɕʰ	yn	21									
顷	tɕʰ	yn	45									
熏	ɕ	yn	44									
云	∅	yn	21									
运	∅	yn	13									
佛	f	uᶹ	21									
物	v	uᶹ	21									
帮	p	aŋ	44									
忙	m	aŋ	21									
党	t	aŋ	45									
汤	tʰ	aŋ	44									
糖	tʰ	aŋ	21									
浪	n	aŋ	13									
仓	tsʰ	aŋ	44									
钢	k	aŋ	44									
糠	kʰ	aŋ	44									
肮	ŋ	aŋ	44									
昂	ŋ	aŋ	21									
薄	p	o	21									
摸	m	o	44									
托	tʰ	o	21									
落	n	o	21									
作	ts	o	21									
索	s	o	21									
哥	k	o	44									
各	k	o	21									
鹤	x	o	21									
恶	∅	o	21									
娘	n	iaŋ	21									
两	n	iaŋ	45									
亮	n	iaŋ	13									
辆	n	iaŋ	45									
浆	tɕ	iaŋ	44									
抢	tɕʰ	iaŋ	45									
匠	tɕ	iaŋ	13									
想	ɕ	iaŋ	45									
像	tɕʰ	iaŋ	13									
像	ɕ	iaŋ	13	文								
张	ts	aŋ	44									
长	tsʰ	aŋ	21									
装	ts	uaŋ	44									
壮	ts	uaŋ	13									
疮	tsʰ	uaŋ	44									
床	tsʰ	uaŋ	21									
霜	s	uaŋ	44									
章	ts	aŋ	44									
厂	tsʰ	aŋ	45									
唱	tsʰ	aŋ	13									
伤	s	aŋ	44									
尝	s	aŋ	21									
上	s	aŋ	13									
让	z	aŋ	13									
姜	tɕ	iaŋ	44									
响	ɕ	iaŋ	45									
向	ɕ	iaŋ	13									
秧	∅	iaŋ	44									
痒	∅	iaŋ	45									
样	∅	iaŋ	13									
雀	tɕʰ	io	21									
削	ɕ	io	21									
削	ɕ	yɛ	21	文								
着	ts	o	21									
着	ts	au	21									
勺	s	o	21									
弱	z	o	21									
脚	tɕ	io	21									
约	∅	io	21									
药	∅	io	21									
略	n	io	21									
光	k	uaŋ	44									
广	k	uaŋ	45									
逛	k	uaŋ	13									
慌	x	uaŋ	44									
黄	x	uaŋ	21									
郭	k	o	21									
龚	tɕ	ioŋ	44									
方	f	aŋ	44									
放	f	aŋ	13									
纺	f	aŋ	45									
房	f	aŋ	21									
防	f	aŋ	21									
网	∅	uaŋ	45									
筐	kʰ	uaŋ	44									
狂	kʰ	uaŋ	21									
汪	∅	uaŋ	44									
王	∅	uaŋ	21									
旺	∅	uaŋ	13									
绑	p	aŋ	45									
胖	pʰ	aŋ	13									
棒	p	aŋ	13									
桩	ts	uaŋ	44									
撞	ts	uaŋ	13									
窗	tsʰ	uaŋ	44									
双	s	uaŋ	44									
爽	s	uaŋ	45									
江	tɕ	iaŋ	44									
讲	tɕ	iaŋ	45									
降	ɕ	iaŋ	21									
项	x	aŋ	13									
剥	p	o	21									
桌	ts	o	21									
镯	ts	uᶹ	21									
镯	ts	o	21	文								
角	k	o	21									
角	tɕ	io	21	文								
壳	kʰ	o	21									
学	ɕ	io	21									
握	∅	o	21									
朋	pʰ	oŋ	21									
朋	pʰ	ən	21									
灯	t	ən	44									
等	t	ən	45									
凳	t	ən	13									
藤	tʰ	ən	21									
能	n	ən	21									
层	tsʰ	ən	21									
僧	s	ən	44									
肯	kʰ	ən	45									
北	p	æ	21									
墨	m	æ	21									
得	t	æ	21									
特	tʰ	æ	21									
贼	ts	uei	21	白								
贼	ts	æ	21									
塞	s	æ	21									
刻	kʰ	æ	21									
黑	x	æ	21									
冰	p	in	44									
证	ts	ən	13									
秤	tsʰ	ən	13									
绳	s	uən	21									
剩	s	ən	13									
升	s	ən	44									
兴	ɕ	in	13									
蝇	∅	in	44									
逼	p	i	21									
力	n	i	21									
息	ɕ	i	21									
息	ɕ	ʑ̩	21									
直	ts	ɿ	21									
侧	ts	æ	21	白								
侧	tsʰ	æ	21									
测	tsʰ	æ	21									
色	s	æ	21									
织	ts	ɿ	21									
食	s	ɿ	21									
式	s	ɿ	13									
极	tɕ	i	21									
国	k	uæ	21									
或	x	uæ	21									
猛	m	oŋ	45									
打	t	a	45									
冷	n	ən	45									
生	s	ən	44									
省	s	ən	45									
更	k	ən	44									
梗	k	ən	45									
坑	kʰ	ən	44									
硬	ŋ	ən	13									
行	ɕ	in	21									
百	p	æ	21									
拍	pʰ	æ	21									
般	p	æ	44									
白	p	æ	21									
拆	tsʰ	æ	21									
择	ts	æ	21									
窄	ts	æ	21									
格	k	æ	21									
客	kʰ	æ	21									
额	ŋ	æ	21									
棚	pʰ	oŋ	21									
棚	pʰ	ən	21									
争	ts	ən	44									
耕	k	ən	44									
麦	m	æ	21									
摘	ts	æ	21									
策	tsʰ	æ	21									
干	k	æ	44									
隔	k	æ	21									
秆	k	æ	45									
干	k	æ	13									
兵	p	in	44									
柄	p	in	45									
平	pʰ	in	21									
病	p	in	13									
明	m	in	21									
命	m	in	13									
镜	tɕ	in	13									
庆	tɕʰ	in	13									
迎	∅	in	21									
影	∅	in	45									
剧	tɕ	y	13									
饼	p	in	45									
名	m	in	21									
领	n	in	45									
井	tɕ	in	45									
清	tɕʰ	in	44									
静	tɕ	in	13									
姓	ɕ	in	13									
贞	ts	ən	44									
程	tsʰ	ən	21									
整	k	ən	45	白								
整	ts	ən	45									
正	ts	ən	13									
声	s	ən	44									
城	tsʰ	ən	21									
轻	tɕʰ	in	44									
赢	∅	in	21									
积	tɕ	i	21									
惜	ɕ	i	21									
席	ɕ	i	21									
积	tɕ	ʑ̩	21									
惜	ɕ	ʑ̩	21									
席	ɕ	ʑ̩	21									
尺	tsʰ	ɿ	21									
石	s	ɿ	21									
益	∅	i	21									
益	∅	ʑ̩	21									
瓶	pʰ	in	21									
钉	t	in	44									
顶	t	in	45									
