音標	調類	
ʦʰo	7	戳綽濁（白）
so	1	梭蓑唆娑嗍艘颼
so	2	□（話多）
so	3	所（白）鎖瑣塑（文）溯（文）朔（文）
so	7	所（文）朔（白）塑（白）溯（白）索
tʂo	5	□（～～：兒語，雞。）
tʂo	7	酌著角₂腳
tʂʰo	6	□（液體流淌）
tʂʰo	7	著（白）辵
ʂo	5	謶□（壞）
ʂo	7	碩爍
ko	1	歌哥戈鍋
ko	3	果裹
ko	5	個過
ko	7	各閣鴿角₂葛郭割佮
kʰo	1	科蝌柯窠
kʰo	3	顆可（白）棵（白）
kʰo	5	課
kʰo	7	確殼擴闊渴可（文）棵（文）
ŋo	1	阿₁□（張望）
ŋo	2	鵝俄蛾訛峨娥
ŋo	4	我
ŋo	6	餓
ŋo	7	握鄂鱷齶顎沃斡惡
xo	1	呵
xo	2	河何（文）荷₁和
xo	3	火夥夥
xo	5	貨禍（文）荷₂賀和₂（文）
xo	6	禍（白）和₂（白）
xo	7	活喝曷鶴霍藿豁惑或獲合₁盒₁
Ǿo	1	窩蝸渦萵屙
Ǿo	2	禾何（白）和（～尚）
Ǿo	5	臥𤌍
lio	7	略掠
ʨio	7	爵嚼
ʨʰio	5	嚼₂
ʨʰio	7	雀卻鵲確（文）覺
ȵio	7	弱虐瘧
ɕio	5	勺芍□（壞）
ɕio	7	學削謔
io	1	喲呦
io	5	□（大叫）
io	7	樂₂嶽躍鑰約藥若
pə	3	伯（文）
pə	7	缽百₂北柏伯（白）帛陌撥
pʰə	7	潑拍（文）珀魄泊
mə	7	墨默麥脈（文）沒沫
tə	7	得德
tʰə	7	脫₂特
lə	7	捋勒肋
ʦə	3	宅（文）
ʦə	7	側則惻廁責摘（文）宅（白）
ʦʰə	7	策冊測澤擇（文）賊拆（文）
sə	7	嗇色虱瑟塞澀
tʂə	3	這（文）者（白）
tʂə	5	鷓這（白）
tʂʰə	7	徹澈撤轍輒這（白）者（文）
ʂə	1	奢
ʂə	2	佘
ʂə	3	舍₁（文）
ʂə	5	舍₂社（文）
ʂə	7	攝涉失（白）
kə	3	弆革（文）
kə	5	鋸（白）蓋（白）嗝₁
kə	7	隔（文）格革（白）
kʰə	4	□（鋸）嗝₂
kʰə	7	刻客（文）克咳□（夾）
ŋə	7	額（文）厄扼軛
xə	1	許（白）
xə	2	□（～起個細人）
xə	5	□（笑聲）害₂（僅“厲～”）
xə	7	黑核赫
ə	2	兒而
ə	4	爾（文）餌耳邇珥
ə	5	二（文）貳
ə	6	二（白）
pie	3	癟
pie	7	鱉□（～别，較為粗俗地叫人）
pʰie	1	撇（～淡）瞥
pʰie	3	蹩
pʰie	7	撇₂別
mie	1	咩
mie	7	滅蔑
tie	2	喋₁
tie	7	跌迭瓞耋
tʰie	2	喋₂
tʰie	7	鐵帖貼餮碟蝶牒疊
lie	5	捩厲（僅～害）
lie	7	列裂烈獵劣冽洌趔鬣
ʨie	1	□（詞綴）
ʨie	5	藉₁（慰～）借
ʨie	7	接結節揭桀潔秸癤劫絕（文）
ʨʰie	2	茄
ʨʰie	3	且
ʨʰie	5	去（白）
ʨʰie	7	切妾竊怯鍥挈愜篋截捷睫婕絕
ȵie	7	聶捏（文）鑷囁臬鎳業鄴
ɕie	1	些（文）
ɕie	2	斜（文）
ɕie	5	謝卸
ɕie	7	血薛雪泄歇脅
ie	1	椰
ie	2	耶爺（文）
ie	4	野（文）也（文）□（撒）冶
ie	5	夜（文）
ie	7	頁葉謁掖曳燁曄噎
kuə	7	國虢
ɕye	1	靴
ɕye	7	說穴噱
ʨye	5	倔
ʨye	7	決訣掘厥撅蕨崛玦抉
ʨʰye	3	□（折斷）
ʨʰye	7	闋缺闕
ye	5	曰（文1）
ye	7	曰（文2）月越粵悅閱玥
pai	1	跛
pai	3	擺
pai	5	拜稗（文）敗（文）
pʰai	2	牌排
pʰai	5	派
pʰai	6	敗（白）
mai	2	埋霾
mai	4	買賣（白）
mai	5	賣（文：燒～）邁
fai	2	槐淮懷（文）
fai	6	壞
tai	5	待帶怠殆貸戴代（文）
tʰai	1	胎
tʰai	2	檯臺颱薹苔抬
tʰai	5	太泰態
tʰai	6	大袋代（白）
lai	2	來
lai	4	奶₁□（雞爬地）
lai	5	賴（文）奈（文）奶₂那
lai	6	耐賴（文）癩（文）
ʦai	1	災齋
ʦai	3	載₁崽
ʦai	5	載₂債再
ʦʰai	1	猜差₂釵搓（白）
ʦʰai	2	柴
ʦʰai	3	彩采睬踩
ʦʰai	5	蔡
ʦʰai	6	寨㾹（～雨：淋雨）□（橋～：橋邊）在₂
sai	1	篩腮□（形容詞尾綴：惡～著：凶極了）
sai	3	甩（白：～網：一種漁網）□（～牛：用牛耕田）□（～得／幹：能有，竟能有，如“一個班～～八個體育生”）洒
sai	5	曬賽寨（文：大～）
kai	1	階皆喈（蔡伯～）街
kai	3	改解
kai	5	戒械丐屆尬介芥界蓋（文）
kʰai	1	揩
kʰai	3	凱楷愷
kʰai	5	慨概溉
ŋai	1	哀挨娭
ŋai	2	捱埃岩崖
ŋai	3	矮
ŋai	4	靄藹
ŋai	5	隘礙（文）艾（文）愛（文）
ŋai	6	艾（白）
xai	1	嗨
xai	2	鞋諧孩還偕
xai	3	海蟹
xai	5	害₁（文）懈亥
kuai	1	乖
kuai	3	拐□（品性壞）
kuai	5	怪
kʰuai	3	塊傀蒯
kʰuai	4	㧟
kʰuai	5	快會₁筷噲獪膾劊
uai	1	歪
uai	2	懷（白：～抱裏）
uai	3	□（行動不穩，兩頭搖擺）
uai	5	外（文）
uai	6	外（白）
pei	1	杯悲卑碑背□（掰斷）
pei	5	貝閉陛蔽敝斃幣輩（文）背₁裨婢臂痹備倍（文）被（文）焙（文）秘避₁
pʰei	1	胚坯
pʰei	2	培賠陪
pʰei	4	被₁背₂
pʰei	5	佩配轡沛譬珮
pʰei	6	被₂（白）倍焙
pʰei	7	呸
mei	1	痗
mei	2	眉湄梅煤媒糜靡迷謎彌枚玫
mei	4	每美
mei	5	媚昧寐妹（文）
mei	6	妹（白）
fei	1	飛非妃灰微揮輝麾
fei	2	肥回（文）洄
fei	3	匪菲悔毀賄䵋
fei	5	肺廢費疿吠晦慧彗惠穢卉穗匯（文）諱繪會₂（文）
fei	6	會₂（白）匯（白）
fei	7	□（～ʨie³：一點兒）
tei	1	堆
tai	3	歹
tei	5	隊對兌
tʰei	1	推
tʰei	2	頹
tʰei	3	腿
tʰei	5	退褪
lei	2	雷
lei	4	累₁侶鋁縷餒屢
lei	5	類（文）內（文）淚（文）濾慮
lei	6	內（白）類（白）累₂（吃～）
ʦai	1	栽
ʦei	3	嘴（文）
ʦei	5	最罪（文2）醉（文）
ʦʰei	1	催崔摧炊
ʦʰai	2	才材裁
ʦʰei	5	粹悴翠脆菜
ʦʰei	6	罪（文1）
sei	1	雖
sei	2	隨隋綏
sei	5	歲（文）碎（白）
kai	1	該
kʰai	1	開
kei	3	箇（實為箇ko3一連讀，但ko3現已不單用）
kei	4	□（結構助詞，相當於普通話的“的”）
ŋai	5	愛（白）
ŋai	6	礙（白）
xai	6	害（白）
kuei	1	規歸矽閨龜
kuei	3	鬼詭晷軌垝
kuei	5	貴桂鱖瑰癸（歲在～醜）
kʰuei	1	虧魁盔奎
kʰuei	2	葵逵圭揆睽夔珪
kʰuei	3	跪
kʰuei	5	愧潰饋
kʰuei	6	櫃
uei	1	威煨
uei	2	維唯帷惟圍違危桅葦微薇嵬巍回
uei	4	尾（文）偉委諉
uei	5	胃謂渭魏畏慰偽衛未（文）味（文）位（文）
uei	6	位（白）未（白）味（白）
uei	7	𣝗（“核”別體，即北京話“桃核兒”之本字，廣韻胡骨切）
ɕyai	1	摔
ɕyei	1	衰
ɕyei	2	誰
ɕyai	3	甩（文）
ɕyei	5	稅瑞睡（文）
ɕyai	5	帥率
ʨye	1	追錐
ʨyai	3	轉（文）
ʨye	5	綴贅墜
ʨʰyei	1	吹（文）
ʨʰye	2	垂捶
ye	2	蕤
ye	4	蕊
ye	5	銳睿芮
pɑu	1	包褒
pɑu	3	保寶堡飽
pɑu	5	報爆抱（文）暴（文）齙鮑
pʰɑu	1	拋泡₁胞
pʰɑu	2	袍浮（白）咆匏
pʰɑu	3	跑
pʰɑu	4	刨抱（白）
pʰɑu	5	炮砲泡₂
pʰɑu	6	刨抱（白）
mɑu	1	貓
mɑu	2	毛矛茅
mɑu	4	卯
mɑu	5	冒貌
mɑu	6	毋（沒有，俗作“冇”）
tɑu	1	刀
tɑu	3	倒₁島禱
tɑu	5	稻（文）倒₂盜道（文）
tʰɑu	1	叨滔
tʰɑu	2	桃濤燾掏陶
tʰɑu	3	討
tʰɑu	5	套導
tʰɑu	6	稻（白）道（白）
lɑu	1	□（~輕：很輕）
lɑu	2	撈勞澇癆₁牢撓
lɑu	4	腦₁老₁鬧₁（熱鬧）
lɑu	5	鬧₁（文）腦₂
lɑu	6	鬧₂（白）
ʦɑu	1	糟遭糟
ʦɑu	3	早₁蚤找
ʦɑu	5	灶臊罩
ʦʰɑu	1	抄操鈔
ʦʰɑu	2	曹嘈槽糟巢
ʦʰɑu	3	草吵
ʦʰɑu	4	皂
ʦʰɑu	5	糙造（文）躁燥操
ʦʰɑu	6	造（白）濯₁
sɑu	1	捎梢騷筲
sɑu	3	稍掃₁嫂
sɑu	5	掃₂潲
tʂɑu	1	朝₁招昭
tʂɑu	3	沼
tʂɑu	5	趙詔照兆召肇
tʂʰɑu	1	超
tʂʰɑu	2	朝₂潮
ʂɑu	1	燒
ʂɑu	2	韶苕□（ie⁴²～：壞了，完了）
ʂɑu	3	少₁
ʂɑu	5	少₂紹邵
yɑu	4	繞擾
kɑu	1	高糕跤膠（白）交（白）
kɑu	3	稿犒鎬搞₂
kɑu	5	告教（白）覺窖校₁（白）
kʰɑu	1	敲（白）
kʰɑu	3	考烤巧（白）
kʰɑu	4	搞₂
kʰɑu	5	靠銬
ŋɑu	2	熬□（～式：身体硬朗）鏖鼇
ŋɑu	3	襖
ŋɑu	4	咬（～鹽：醃制）
ŋɑu	5	奧傲澳坳凹
xɑu	1	蒿薅
xɑu	2	毫豪號₁
xɑu	3	好₁
xɑu	5	號₂（文）好2皓耗孝（白）
xɑu	6	號₂（白）
ʨiɑu	1	家₂（～夥）
piɑu	1	標彪膘熛
piɑu	3	表錶婊裱
pʰiɑu	1	飄漂₁
pʰiɑu	2	剽瓢嫖
pʰiɑu	3	瞟漂₂
pʰiɑu	5	飄票漂₃
miɑu	1	瞄₁喵
miɑu	2	瞄₂苗描
miɑu	4	秒邈緲
miɑu	5	妙繆廟（文，～堂）
miɑu	6	廟（白）
tiɑu	1	刀貂雕丟
tiɑu	3	鳥吊₁
tiɑu	5	吊₂（文）釣調₁掉（文）
tʰiɑu	1	挑₁
tʰiɑu	2	調₂條
tʰiɑu	3	挑₂斢
tʰiɑu	4	窕
tʰiɑu	5	眺跳糴
tʰiɑu	6	吊₂（白）掉
liɑu	2	遼瞭₁燎療寥聊
liɑu	4	了瞭₂
liɑu	5	廖料（文）
liɑu	6	料（白）□（扔）
ʨiɑu	1	交（文）膠（文）焦椒驕嬌
ʨiɑu	3	矯鉸狡餃絞繳剿攪
ʨiɑu	5	教校₁叫醮₁轎（文，～車）
ʨʰiɑu	1	繰劁蹺鍬翹
ʨʰiɑu	2	樵瞧喬蕎橋憔
ʨʰiɑu	3	巧（文）悄
ʨʰiɑu	4	撬藠
ʨʰiɑu	5	俏鞘峭翹竅
ʨʰiɑu	6	轎（白）噍
ȵiɑu	1	蹘□（努嘴）
ȵiɑu	2	□（～魚：鯰魚）
ȵiɑu	4	鳥（文）
ȵiɑu	6	尿
ɕiɑu	1	消瀟肖逍宵霄囂簫蕭嘵銷硝梟蛸
ɕiɑu	2	肴淆爻
ɕiɑu	3	小曉
ɕiɑu	5	笑嘯肖₂較校₁（文）效（文）孝（文）酵
ɕiɑu	6	效（白）孝（白2）
iɑu	1	腰妖要₁夭么邀
iɑu	2	搖謠窯姚堯饒瑤
iɑu	3	窈
iɑu	4	杳
iɑu	5	要耀
təɯ	1	都
təɯ	3	堵睹肚朵賭督（文）獨（文）讀（文）
təɯ	5	度（文）杜妒蠹渡（文）鍍
təɯ	7	牘篤督□（器物之底）
tʰəɯ	2	屠塗徒圖
tʰəɯ	3	吐土
tʰəɯ	5	兔
tʰəɯ	6	度（白）渡（白）讀（白）
tʰəɯ	7	獨（白）禿毒突
ləɯ	1	□（鏽）
ləɯ	2	奴廬蘆鸕爐盧
ləɯ	4	魯櫓虜努鹵
ləɯ	5	路（文）露（文）璐鷺
ləɯ	6	露（白）路（白）
ləɯ	7	鹿祿陸₁錄漉□（弄）六
ʦəɯ	1	租
ʦəɯ	3	祖阻組紫₂（～蘇）足（文）
ʦəɯ	5	做
ʦəɯ	7	足（白）
ʦʰəɯ	1	初粗
ʦʰəɯ	2	鋤愁（文）
ʦʰəɯ	3	楚礎促（文）驟
ʦʰəɯ	4	在₃
ʦʰəɯ	5	醋助
ʦʰəɯ	7	促（白）族卒猝
səɯ	1	蘇₁梳疏蔬酥
səɯ	3	數₁
səɯ	5	數₂素愫
səɯ	7	速宿₁肅俗夙
tʂəɯ	1	周州洲舟
tʂəɯ	3	肘帚
tʂəɯ	5	宙晝紂咒
tʂəɯ	7	竹築燭囑祝
tʂʰəɯ	1	抽
tʂʰəɯ	2	綢疇儔仇讎誰酬籌售（白）
tʂʰəɯ	3	醜醜軸（文）
tʂʰəɯ	5	臭
tʂʰəɯ	7	觸束畜軸（白）
ʂəɯ	1	收
ʂəɯ	3	守手淑（文）屬（文）首蜀
ʂəɯ	5	壽（文）受（文）授獸售（文）
ʂəɯ	6	壽（白）受（白）
ʂəɯ	7	叔淑（白）熟塾屬（白）贖
liəɯ	3	育（文2）獄（文2）欲（文2）褥（文2）辱（文2）
liəɯ	1	溜₁
liəɯ	2	流留瑠榴硫琉劉瀏
liəɯ	4	柳
liəɯ	5	綹溜₂裏（地名用，如：灣～屋，在石井村）
liəɯ	6	溜₃
liəɯ	7	六陸綠
ʨiəɯ	1	揪糾鳩
ʨiəɯ	3	酒九久韭
ʨiəɯ	5	舊（文）就（文）□（剩下）㲃救究臼咎柩灸舅
ʨʰiəɯ	1	秋鰍丘邱
ʨʰiəɯ	2	囚泅求球
ʨʰiəɯ	3	曲（文）
ʨʰiəɯ	5	梂雀（麻～）
ʨʰiəɯ	6	舊（白）就（白）
ʨʰiəɯ	7	蓄（白）曲（白）麯
ȵiəɯ	1	妞
ȵiəɯ	2	牛
ȵiəɯ	4	扭（文）紐鈕
ȵiəɯ	5	扭（白）
ȵiəɯ	7	肉
ɕiəɯ	1	修脩羞休
ɕiəɯ	3	旭（文）朽
ɕiəɯ	5	袖秀鏽繡嗅（文）宿₂
ɕiəɯ	7	粟旭（白）蓄（文）畜₂宿₁（白，～得屋裏：宅在家裏）
iəɯ	1	悠幽優憂
iəɯ	2	尤遊猶郵由油柔₁游
iəɯ	3	育（文1）獄（文1）欲（文1）褥（文1）辱（文1）
iəɯ	4	有友酉
iəɯ	5	又（文）右（文）幼柚釉誘宥莠
iəɯ	6	又（白）右（白）
iəɯ	7	育（白）獄（白）欲（白）褥（白）辱（白）
yəɯ	2	柔₂揉
yəɯ	7	育（白）獄（白）欲（白）褥（白）辱（白）
pʰəɯ	3	剖
məɯ	2	謀眸鍪
məɯ	4	畝牡某
məɯ	5	茂貿
fəɯ	2	浮
təɯ	1	兜蔸逗₁
təɯ	3	抖陡斗
təɯ	5	鬥逗₂豆（文）
tʰəɯ	1	偷
tʰəɯ	2	投頭
tʰəɯ	3	敨
tʰəɯ	5	透
tʰəɯ	6	豆（白）
ləɯ	1	摟
ləɯ	2	樓
ləɯ	4	簍
ləɯ	5	陋
ləɯ	6	漏
ʦəɯ	1	鄒鯫諏
ʦəɯ	3	走
ʦəɯ	5	皺（文）
ʦʰəɯ	1	搊
ʦʰəɯ	2	愁（白）
