字	注释	南宁老口	南宁万秀	武鸣府城	
劃	劃船	wa31		wa31	
華	華山，姓	wa31	wa21	wa31	
樺	樺樹	wa31	wa21		
蛙		kʰua55	wa42	wa55	
窪		kʰua55	wa42	wa55	
補		pou33	pu33	po33	
譜		pʰu33	pʰu33	pʰu33	
布		pou24	pu55	pɔi35	
佈		pou24	pu55	pɔi35	
鋪	鋪設	pʰou55	pʰu42	pʰou55	
普		pu33	pʰu33	pʰou33	
浦		pu33	pʰu33	pʰou33	
鋪	店鋪	pʰou24	pʰu55	pʰou35	
怖	恐怖	pou24	pu55	pou35	
蒲		pu31	pu21	pu31	
菩	菩薩	pu31	pu21	pu31	
脯	胸脯	pou31	pu21	pʰu33	
部		pou223	pu21	pou22	
簿		pou223	pu21	pou22	
步		pou223	pu21	pou22	
捕		pʰu33	pu21	pʰu33	
埠		pou223	pu33		
模	模子	mo55	mo42	mo55	
模	模範	mo55	mo42	mo55	
摹		mo55	mo42	mo55	
暮		mo223	mu21	mo22	
慕		mo223	mu21	mo22	
墓		mo223	mu21	mo22	
募		mo223	mu21	mo22	
都	都城	to55	tu42	to55	
都	都是	to55	tu42	to55	
堵		to33	tu33	to33	
賭		to33	tu33	to33	
肚	魚肚	to21	tu13	to21	
妒		tu24	tu21	to22	
土		tʰo33	tʰu33	tʰo33	
吐	吐痰	tʰo24	tʰu55	tʰu35	
吐	嘔吐	tʰo24	tʰu55	tʰu35	
兔		tʰo24	tʰu55	tʰu35	
徒		to31	tu21	to31	
屠		to31	tu21	to31	
途		to31	tu21	to31	
塗		to31	tu21	to31	
圖		to31	tu21	to31	
杜		to21	tu21	to22	
肚	腹肚	to21	tu13	to21	
度		to223	tu21	to22	
渡		to223	tu21	to22	
鍍		to223	tu21	to22	
奴		no31	nu21	no31	
努		no21	nu13	no21	
怒		no223	nu21	no22	
盧		lo31	lu21	lo31	
爐		lo31	lu21	lo31	
蘆	蘆葦	lo31	lu21	lo31	
鸕	鸕鶿	lo31	lu21	lo31	
魯		lo21	lu13	lo21	
櫓		lo21	lu13	lo21	
虜		lo21	lu13	lo21	
滷		lo21	lu13	lo21	
路		lo223	lu21	lo22	
賂		lak32	lu21	lo22	
露		lo223	lu21	lo22	
鷺	鷺鷥	lo223	lu21	lo22	
租		tʃo55	tso42	tso55	
祖		tʃo33	tsu33	tso33	
組		tʃo33	tsu33	tso33	
做		tʃo24	tso55	tso35	
粗		tʃʰo55	tsʰu42	tsʰo55	
醋		tʃʰo24	tsʰo55	tsʰo35	
措	措置	tʃʰo24	tsʰo55	tsʰo35	
錯	錯誤	tʃʰo24	tsʰo55	tsʰo35	
蘇		ɬo55	ɬu42	ɬo55	
酥		ɬo55	ɬu42	ɬo55	
素		ɬo24	ɬu55	ɬo35	
訴		ɬo24	ɬu55	ɬo35	
塑	塑像	ɬo24	ɬu55	ɬak33	
嗉	鳥嗉子	ɬo24	ɬu55		
姑		ku55	ku42	ko55	
孤		ko55	ku42	ko55	
箍		kʰo55	kʰu42	kʰo55	
古		ko33	ku33	ko33	
估	估計	ku55	ku33	ku33	
䀇	䀇子				
牯		ko33	ku33	ko33	
股		ko33	ku33	ku33	
鼓		ko33	ku33	ko33	
故		ku24	ku55	ku35	
固		ku24	ku55	ku35	
錮	錮露鍋	ku24	ku55	ku35	
雇		ku24	ku55	ku35	
顧		ku24	ku55	ku35	
枯		ho55	kʰu42	ho55	
苦		ho33	hu33	ho33	
庫		hu24	hu55	ku35	
褲		hu24	hu55	ho35	
吴		ŋo31	ŋ21	ŋo31	
蜈	蜈蚣	ŋo31	ŋ21	ŋo31	
吾		ŋo31	ŋ21	ŋo31	
梧	梧桐	ŋo31	ŋ21	ŋo31	
五		ŋo21	ŋ13	ŋo21	
伍		ŋo21	ŋ13	ŋo21	
午		ŋo21	ŋ13	ŋo21	
誤		ŋo223	ŋ21	ŋo22	
悟		ŋo223	ŋ21	ŋo22	
呼		hu55	hu42	hu55	
虎		ho33	hu33	ho33	
滸	水滸	ho33	hu33	ho33	
戽	戽水	ho24	hu55	ho35	
胡		hu31	ʔu21	hu31	
湖		hu31	ʔu21	hu31	
狐		ho31	ʔu21	hu31	
壺		ho31	ʔu21	hu31	
乎		ho31	ʔu21	hu31	
瓠	瓠盧	ho31	ʔu21	ho31	
鬍		ho31	ʔu21	ho31	
户		ho223	ʔu21	ho22	
滬		ho223	ʔu21	ho22	
互		ŋo223	ŋ21	ŋo22	
護		ho223		ho22	
瓠	瓠瓜	ho31			
烏		ʔo55	ʔu42	ʔo55	
污		ʔu55	ʔu42	ʔu55	
塢		ʔo55	ʔu42		
惡	可惡	hu24	ʔu55		
女		noi21	nɯ13	noi21	
廬	茅廬	lo31	lu21	lo31	
驢		lo31	li21	loi31	
吕		loi21	li13	loi21	
稆		loi31	li13		
旅		loi21	li13	loi21	
慮		loi223	lɯ21	loi22	
濾		loi223	lɯ21	loi22	
蛆	生蛆	tʃo55	tsʰɯ42	tsʰo55	
絮		ɬə24	sɯ55	ɬɐi35	
徐		tʃoi31	tsɯ21	tsoi31	
序		tʃi223	tsɯ21	tsi22	
叙		tʃi223	tsɯ21	ɬoi22	
緒		ɬə24	sɯ55	ɬoi35	
豬		tʃoi55	tsɯ42	tsoi55	
著	顯著	tʃoi24	tsɯ55	tsoi35	
褚	姓			si35	
除		tʃoi31	tsɯ21	tsoi31	
儲	儲蓄	ʃi31	tsɯ21	tsi55	
苧	苧麻	tʃoi31	tsʰɯ33		
箸	筷子	tʃoi223	tsɯ21	tsoi22	
阻		tʃo33	tso33	tso33	
初		tʃʰo55	tsʰo33	tsʰo55	
楚		tʃʰo33	tsʰu33	tsʰo33	
礎	柱下石	tʃʰo33	tsʰu33	tsʰo33	
鋤		tʃo31	tso21	tsak21	
助		tʃo223	tso21	tso22	
梳	梳頭	ʃo55	so42	so55	
疏	疏遠	ʃo55	so42	so55	
蔬		ʃo55	so42	so55	
所		ʃo33	ɬo33	so33	
疏	注疏	ʃo55	so42	so55	
諸		tʃoi55	tsɯ42	tsoi55	
煮		tʃoi55	tsɯ42	tsoi55	
處	相處	tʃʰoi24	tsʰɯ55	tsʰoi35	
杵		tʃʰoi33			
處	處所	tʃʰoi24	tsʰɯ55	tsʰoi35	
書		ʃoi55	sɯ42	sui55	
舒		ʃi55	sɯ42	si55	
暑		ʃoi33	sɯ33	soi35	
鼠		ʃoi33	sɯ33	soi35	
黍		ʃoi33	sɯ33	soi35	
庶		tʰʃi24	sɯ55	tsi35	
恕		ʃi24	sɯ55	tsi35	
署	專署	ʃoi223	sɯ55	si35	
薯	白薯	ʃoi31	sɯ21	soi31	
如		ʔi31	ʔi21	ʔi31	
汝		noi21	ni13	noi21	
居		koi55	kɯ42	koi55	
車	車馬炮	koi55	kɯ42	koi55	
舉		koi33	kɯ33	koi33	
據		koi24	kɯ55	koi35	
鋸	鋸子	koi24	kɯ55	koi35	
墟	墟市	hoi55	hɯ42	hoi55	
去	來去	hoi24	hɯ55	hoi35	
渠		ki31	kɯ21	ki31	
巨		koi33	kɯ21	koi33	
拒		koi24	kɯ55	koi35	
距		koi24	kɯ55	koi35	
魚		ɲioi31	ȵɯ21	ȵioi31	
漁		ɲioi31	ȵɯ21	ȵioi31	
語		ɲioi21	ȵɯ13	ȵioi21	
御		ʔi223	ȵɯ21	hi22	
禦		ʔi223	ȵɯ21	hi22	
虚		hoi55	hɯ42	hoi55	
嘘	吹噓	hoi55	hɯ42	hoi55	
嘘	吹噓	hi55			
許		hoi33	hɯ33	hi21	
於	於此	ʔoi55	ʔi42	ʔoi55	
淤			ʔi42	ʔoi55	
余	姓余	ʔi31	ʔi21	hi31	
餘	剩余	ʔi31	ʔi21	hi31	
舁	抬				
與	給與	ʔi21	ʔi13	hi21	
譽	榮譽	ʔi223	ʔi21	hi22	
預		ʔi223	ȵɯ21	hi22	
豫		ʔi223	ʔi21	hi22	
夫		fou55	fu42	fou55	
膚		fou55	fu42	fou55	
跗	腳面	fu55			
府		fou33	fu13	fou33	
腑		fou33	fu13	fou33	
俯		fou33	fu13	fou33	
甫		pʰu33	pʰu33	pʰu33	
脯	杏脯	pʰu33	pʰu33	pʰu33	
斧		fou33	fu33	fou33	
付		fu24	fu21	fu35	
賦		fu24	fu21	fu35	
傅		fou223	fu21	fou22	
敷		fou55	fu42	fu55	
俘	俘虜	fou55	fu42	fu55	
孵	孵小雞	fou55	fu42	fu55	
麩	麥麩子		fu42	kʰo55	
撫		fu21		fu33	
殕	食上生白毛				
赴		fu24	fu21	fu35	
訃		fu24	fu21	fu35	
符		fou31	fu21	fu33	
扶		fou31	fu21	fou31	
芙	芙蓉	fou31	fu21	fu22	
父		fou223	fu21	fou22	
釜		fou33	fu33		
腐		fou223	fu21	fou22	
腐				fu35	
輔		pʰu33	pʰu33	pʰu33	
附		fu24	fu21	fu35	
無		fu31	mu21	fu31	
巫		fou31	mu42		
誣		fu31	mu42		
武		fu21	mu33	fu21	
舞		fu21	mu33	fu21	
侮		fu21	mu33	ʔu33	
鵡	鸚鵡	fu21	mu33	fu21	
務		mou223	mu21	mou22	
霧		mo223	mu21	mo22	
縷	絲縷	lɐu21	li13		
屢		luəi21	lui13	lui22	
趨		tʃʰi55	tsʰɯ42	tsʰi33	
取		tʃʰi33	tsʰɯ33	tsʰi33	
娶		tʃʰi33	tsʰɯ33	tsʰi35	
趣		tʃʰi24	tsʰɯ55	tsʰi35	
聚		tʃi223	tsɯ21	tsʰi35	
須	必須	ɬə55	ɬɯ42	ɬoi55	
鬚	胡須	ɬoi55	ɬɯ42	ɬoi55	
需		ɬə55	ɬɯ42	ɬoi55	
續		tʃok32	tsuk22	tsok22	
誅		tʃoi55	tsɯ42	tsoi55	
蛛		tʃoi55	tsɯ42	tsoi55	
株		tʃoi55	tsɯ42	tsoi55	
拄	拄拐扙	tʃoi24	tsɯ55	tsoi22	
駐		tʃoi24	tsɯ55	tsoi22	
註		tʃoi24	tsɯ55	tsoi35	
厨		tʃoi31	tsɯ21	tsoi31	
柱		tʃoi31	tsʰɯ33	tsoi31	
住		tʃoi223	tsɯ21	tsoi22	
雛		tʃʰi55	tsʰɯ42	tso33	
數	動詞	ʃo33	so33	so33	
數	名詞	ʃo24	so55	so35	
朱	姓朱	tʃoi55	tsɯ42	tsoi55	
硃	朱砂	tʃoi55	tsɯ42	tsoi55	
珠		tʃoi55	tsɯ42	tsoi55	
主		tʃoi33	tsɯ33	tsoi33	
注		tʃoi24	tsɯ55	tsoi35	
蛀		tʃoi24	tsɯ55	tsoi35	
鑄		tʃoi24	tsɯ55	tsoi35	
樞		kʰoi55		so55	
輸		ʃoi55	sɯ42	sui55	
戍		fu223	sɯ21	ɬɐt33	
輸	運輸	ʃi55	sɯ42	si55	
殊		ʃi31	sɯ21	tsi35	
豎		ʃoi31	sɯ21	soi22	
樹		ʃoi223	sɯ21	soi22	
儒		ʔi31	ʔi21	ʔi31	
乳		ʔi21	ʔi13		
乳		ɲi21			
擩	擩進去				
拘		koi55	kʰɯ42	koi55	
駒		koi55	kʰɯ42	koi55	
俱		koi223	kɯ42	koi33	
矩	規矩	koi33	kʰɯ33	koi33	
句		koi24	kʰɯ55	koi35	
區	區域	kʰoi55	kʰɯ42	kʰoi55	
驅		kʰoi55	kʰɯ42	kʰoi55	
瞿		ki31	kɯ21		
具		koi223	kɯ21	koi22	
懼		koi223	kɯ21	koi22	
愚		ɲioi31	ȵɯ21	ȵioi31	
虞		ʔi31	ȵɯ21		
娱		ʔi31	ʔi21	hi31	
遇		ɲioi223	ȵɯ21	ȵioi22	
寓		ɲioi223	ȵɯ21	ʔi35	
吁		ʔi55	ʔi21	hi55	
迂		ʔi31	ʔi21	ʔoi55	
于		ʔi31	ʔi42	ʔoi55	
盂		ʔi31	ʔi21	ʔoi55	
雨		hoi21	hɯ33	hoi21	
宇		ʔi21	ʔi13	hoi21	
禹		ʔi21	ʔi13	hoi21	
羽		ʔi21	ʔi13	hoi21	
芋		hoi223	hɯ42	hoi22	
榆		ʔi223	ʔi21	hi22	
逾		ʔi223	ʔi21	hi22	
愉		ʔi223	ʔi21	hi22	
愈	病癒	ʔi223	ʔi21	hi22	
喻		ʔi223	ʔi21	hi22	
裕		ʔi223	ȵɯ21	hi22	
獃		tai55	ŋai42		
戴		tai24	tai55	tai35	
胎		tʰai55	tʰi42	tʰai55	
台	天台	tai31	tai21	tai31	
奤	奤子				
態		tʰai24	tʰi55	tʰai35	
貸		tai223	tai21	tai22	
臺		tai31	tai21	tai31	
苔	青苔，舌苔	tai31	tai21	tai31	
抬		tai31	tai21	tai31	
待		tai223	tai21	tai22	
怠		tai21	tai21	tai22	
殆		tʰai24	tai21	tai22	
代		tai223	tai21	tai22	
袋		tai223	tai21	tai22	
乃		nai21	nai13	nai21	
耐		nai223	nai21	nai22	
來		lai31	lai21	lai31	
災		tʃai55	tsai42	tsai55	
栽		tʃai55	tsai42	tsai55	
宰		tʃai33	tsai33	tsai33	
載	年載	tʃai24	tsai55	tsai35	
再		tʃai24	tsai55	tsai35	
載	載重	tʃai24	tsai55	tsai35	
猜		tʃʰai55	tsʰai42	tsʰai55	
彩		tʃʰai33	tsʰai33	tsʰai33	
採		tʃʰai33	tsʰai33	tsʰai33	
睬		tʃʰai33	tsʰai33	tsʰai33	
菜		tʃʰai24	tsʰai55	tsʰai35	
棌	棌樹	tʃʰai24			
才	才華	tʃai31	tsai21	tsai31	
材		tʃai31	tsai21	tsai31	
財		tʃai31	tsai21	tsai31	
裁		tʃai31	tsai21	tsai31	
纔		tʃai31	tsai21	tsai31	
在		tʃai223	tsai21	tsai22	
載	滿載	tʃai24	tsai55	tsai35	
腮		ɬai55	ɬai42	ɬai55	
鰓		ʃai24	sai55	sai35	
賽		kai55	kai42	kai55	
該		kai55	kai42	kai55	
改		kai33	kai33	kai33	
概		kʰai24	kʰi55	kʰai35	
溉		kʰai24	kʰi55	kʰai35	
開		hai55	hai42	hai55	
凱		kʰai33	kʰi33		
慨	慷慨	kʰai24	kʰi55	kʰai35	
咳	咳嗽	kʰɐt33	kʰɐt33	kɐt33	
呆		ŋai31	ŋai21		
磑	磨研				
礙		ŋai223	ŋai21	ŋai22	
海		hai33	hai33	hai33	
孩		hai31	hai21	hai31	
亥		hai223	hai21	hai22	
哀		ʔai55	ʔai42	ʔai55	
埃	塵埃	ɲiai31	ʔai42	ʔai55	
愛		ʔai24	ʔai55	ʔai35	
貝		pɔi24	poi55	poi35	
沛		pʰɔi24	pʰoi55	pʰoi35	
帶		tai24	tai55	tai35	
太		tʰai24	tʰi55	tʰai35	
泰		tʰai24	tʰi55	tʰai35	
大	大夫，大黃	tai223	tai21	tai22	
奈		nai223	nai21	nai22	
賴		lai223	lai21	lai22	
癩		lai223	lai55		
蔡		tʃʰai24	tsʰai55	tsʰai35	
蓋		kai24	kai55	kai35	
丐	乞丐	kai24	kʰi55	kai35	
艾		ŋai223	ŋai21	ŋai22	
害		hai223	hai21	hai22	
蔼	和藹	ʔai33	ʔai33	ŋai31	
拜		pai24	pai55	pai35	
排		pai31	pai21	pai31	
韛	風箱				
埋		mai31	mai21	mai31	
攋	把攋				
䍉					
齋		tʃai55	tsai42	tsai55	
豺		tʃai31	tsai21	tsai31	
皆		kai55	kai42	kai55	
階		kai55	kai42	kai55	
稭	麥稭	kai55	kai42		
介		kai24	kai55	kai35	
界		kai24	kai55	kai35	
芥		kai24	kai55	kai35	
尬	尷尬	kai24	kai55	kai35	
疥		kai24	kai55	kai35	
届		kai24	kai55	kai35	
戒		kai24	kai55	kai35	
揩		kai55		kai55	
楷		kai55	kʰi33	kai55	
諧		hai31	hai21	kai55	
駭	驚駭	hai223	hai21	hai22	
械		kai24	kai55	kai35	
挨	挨住	ŋai31	ʔai21	ŋai31	
擺		pai33	pai33	pai33	
派		pʰai24	pʰi55	pʰai35	
牌		pai31	pai21	pai31	
簰	筏	pai31	pai21	pai31	
罷		pa223	pa55	pa22	
稗		poi55		pɐi33	
稗		wɐŋ55			
買		mai21	mai13	mai21	
賣		mai223	mai21	mai22	
奶		nai21	nai13	nai21	
債		tʃai24	tsai55	tsai35	
釵		tʃʰai55	tsʰai42	tsʰa55	
差	出差	tʃʰai55	tsʰai42	tsʰai55	
柴		ʃai31	sai21	sai31	
篩	篩子	ʃai31	sai21	sai31	
灑		ʃa33	sa33	sa33	
曬		ʃai24	sai55	sai35	
佳		kai55	kai42	kai55	
街		kai55	kai42	kai55	
解	解開	kai33	kai33	kai33	
懈		hai31	hai21		
涯	天涯	ɲiai31	ŋai21	ŋai31	
崖	山崖	ɲiai31	ŋai21	ŋai31	
捱	捱打	ŋai31	ŋai21	ŋai31	
鞋		hai31	hai21	hai31	
解	姓	kai33	kai33	kai33	
解	曉也	kai33	kai33	kai33	
蟹		kai33	kai33	kai33	
矮		ʔai33	ʔai33	ʔai33	
隘		ʔət33	ʔai55	ʔai35	
敗		pai223	pai21	pai22	
邁		pai223	mai21	mai22	
寨		ʃai223	tsai21	sai22	
蔽		pɐi21	pɐi55	pɐi31	
敝		pɐi223	pɐi21	pɐi31	
弊		pɐi223	pɐi21	pɐi31	
幣		pɐi223	pɐi21	pɐi31	
斃		pɐi223	pɐi21	pɐi31	
例		lɐi223	lɐi21	lɐi22	
厲		lɐi223	li21	loi22	
勵		lɐi223	lɐi21	lɐi22	
祭		tʃɐi24	tsɐi55	tsɐi35	
際		tʃɐi24	tsɐi55	tsɐi35	
穄	穄子				
滯	停滯	tʃɐi223	tsɐi21	tsɐi35	
制	制度	tʃi24	tsɐi55	tsɐi35	
製	製造	tʃi24	tsɐi55	tsɐi35	
世		ʃi24	si55	si35	
勢		ʃi24	si55	si35	
誓		ʃi21	sɐi21	si35	
逝		ʃi24	sɐi21	si35	
藝		ŋɐi223	ŋɐi21	ŋɐi22	
刈					
蓖	蓖麻	pɐi55	pi42	poi55	
閉		pɐi24	pɐi55	pɐi31	
箅	箅子				
批		pʰɐi55	pʰɐi42	pɐi55	
陛	陛下	poi24	pɐi42		
鐾	鐾刀布			pɐi22	
迷		mɐi31	mɐi21	mɐi31	
米		mɐi21	mɐi13	mɐi21	
謎		mɐi31	mɐi21	mɐi31	
低		tɐi55	tɐi42	tɐi55	
堤		tɐi31	tɐi21	tɐi31	
底		tɐi33	tɐi33	tɐi33	
抵		tɐi33	tɐi33	tɐi33	
帝		tɐi24	tɐi55	tɐi35	
梯		tʰɐi55	tʰɐi42	tɐi55	
體		tʰɐi33	tʰɐi33	tɐi33	
替		tʰɐi24	tʰɐi55	tɐi35	
涕	鼻涕	tʰɐi24	tʰɐi55	tɐi35	
剃		tʰɐi24	tʰɐi55	tɐi35	
