地点：浙江丽水景宁鹤溪 字表来源：《处州方言历史比较》《吴语处州方言的地理比较》 说明：部分字音补充自语保													
汉字	IPA	声调	备注								声调	调类	调值
痔	dzɿ	3											
治	dzɿ	6											
厕	tsʰɛʔ	7											
仕	zɿ	3											
士	zɿ	3											
柿	zɿ	3											
事	zɿ	6											
史	sɿ	3											
使	sɿ	3											
驶	sɿ	3											
芝	tsɿ	1											
之	tsɿ	1											
址	tsɿ	3											
止	tsɿ	3											
志	tsɿ	5											
痣	tsɿ	5											
齿	tsʰɿ	3											
诗	sɿ	1											
始	ʃi	3											
试	sɿ	5											
时	zɿ	2											
市	zɿ	3											
耳	ɲi	3											
耳	mi	3	西部										
基	tʃi	1											
萁	i	1											
箕	i	1											
己	tʃi	3											
纪	tʃi	5											
记	tʃi	5											
欺	tʃʰi	1											
起	tʃʰi	3											
棋	dʒi	2											
其	dʒi	2											
旗	dʒi	2											
期	dʒi	2											
疑	ɲi	2											
嬉	ʃi	1	玩										
熙	ʃi	1											
喜	ʃi	3											
蟢	ʃi	3	文										
医	i	1											
意	i	5											
已	i	3											
以	i	3											
机	tʃi	1											
饑	tʃi	1	饥荒										
幾	kæi	3	～个										
气	tʃʰi	5											
汽	tʃʰi	5											
毅	ɲi	6											
希	ʃi	1											
稀	ʃi	1											
依	i	1											
衣	i	1											
累	læi	3	积～										
累	læi	6	连～										
嘴	tʃy	3											
髓	ʃy	3											
随	ʒy	2											
吹	tʃʰy	1											
炊	tʃʰy	1											
垂	ʒy	2											
规	kuæi	1											
亏	kʰuæi	1											
跪	dʒy	3											
危	uæi	2											
委	uæi	3											
为	y	6	～啥										
为	uæi	6	～啥										
类	læi	6											
泪	li	6											
醉	tʃy	5											
翠	tsʰæi	5											
虽	ʃy	1											
遂	ʒy	6											
追	tʃy	1											
槌	dʒy	2											
锤	dʒy	2											
帅	sa	5											
水	ʃy	3											
龟	tʃy	1											
轨	kuæi	3											
季	tʃy	5											
葵	guæi	2											
柜	dʒy	6											
位	y	6											
维	y	2											
唯	y	2											
飞	pʰi	1											
非	pʰi	1											
匪	pʰi	3											
榧	pʰi	3											
沸	pæi	3											
痱	pæi	3											
痱	pʰi	3											
费	pʰi	5											
肥	bi	2											
微	mi	2											
微	uæi	2											
尾	mæi	3											
未	mi	6											
味	mi	6											
归	kuæi	1											
鬼	kuæi	3											
贵	tʃy	5	东西～										
贵	kuæi	5	～姓										
魏	uæi	6											
挥	xuæi	1											
辉	ʃy	1	发音人所认识的人名中读音										
辉	xuæi	1	读字音										
徽	xuæi	1											
威	y	1											
威	uæi	1											
慰	uæi	5											
违	uæi	2											
围	uæi	2											
伟	uæi	3											
胃	y	6											
胃	uæi	6											
谓	uæi	6											
保	pɑɔ	3											
堡	pɑɔ	3											
宝	pɑɔ	3											
报	pɑɔ	5											
袍	bɑɔ	2											
抱	bɑɔ	3											
暴	bɑɔ	6											
毛	mɑɔ	2											
冒	mɑɔ	6											
帽	mɑɔ	6											
刀	tɐɯ	1											
倒	tɑɔ	3	打～										
岛	tɑɔ	3											
到	tɑɔ	5											
倒	tɐɯ	5	～车										
讨	tʰɑɔ	3											
套	tʰɑɔ	5											
桃	dɑɔ	2											
陶	dɑɔ	2											
逃	dɑɔ	2											
萄	dɑɔ	2											
稻	dɑɔ	3											
道	dɑɔ	3											
导	dɑɔ	6											
盗	dɑɔ	6											
脑	nɑɔ	3											
劳	lɑɔ	2											
捞	ly	1	从水里捞										
捞	lɑɔ	1	读字音										
牢	lɑɔ	2											
老	lɑɔ	3											
糟	tsɑɔ	1											
早	tsɑɔ	3											
枣	tsɑɔ	3											
蚤	tsɑɔ	3											
灶	tsɑɔ	5											
操	tsʰɑɔ	1											
槽	zɑɔ	2											
草	tsʰɑɔ	3											
糙	tsʰɑɔ	5											
曹	zɑɔ	2											
皂	zɑɔ	3											
造	zɑɔ	3											
骚	sɑɔ	1											
臊	sɑɔ	1											
扫	sɑɔ	3											
嫂	sɑɔ	3											
燥	sɑɔ	5											
高	kɐɯ	1											
膏	kɑɔ	1											
糕	kɐɯ	1											
稿	kɑɔ	3											
告	kɑɔ	5											
考	kʰɐɯ	3											
烤	kʰɐɯ	3											
靠	kʰɐɯ	5											
熬	ŋɑɔ	2											
傲	ŋɑɔ	6											
好	xɐɯ	3											
毫	ɑɔ	2											
号	ɐɯ	6											
袄	ɑɔ	3											
奥	ɐɯ	5											
包	pɑɔ	1											
胞	pɑɔ	1											
饱	pɑɔ	3											
豹	pɑɔ	5											
爆	pɑɔ	5											
泡	pʰɑɔ	5											
抛	pʰɑɔ	1											
炮	pʰɑɔ	5											
跑	pʰɑɔ	3											
铇	bɑɔ	6											
匏	bu	2											
茅	mɑɔ	2											
猫	mɑɔ	2	大～：老虎										
貌	mɑɔ	6											
闹	nɑɔ	6											
罩	tsɑɔ	5											
抓	tsɑɔ	1	～痒										
爪	tsɑɔ	3											
找	tsɑɔ	3											
笊	tsɑɔ	5											
抄	tsʰɑɔ	1											
钞	tsʰɑɔ	1											
炒	tsʰɑɔ	3											
吵	tsʰɑɔ	3											
巢	zɑɔ	2											
稍	sɑɔ	1											
交	kɑɔ	1											
郊	kɑɔ	1											
胶	kɑɔ	1											
绞	kɑɔ	3											
铰	kɑɔ	3											
搞	kɑɔ	3											
教	kɑɔ	5	～室、～书										
较	kɑɔ	5											
校	kɑɔ	5	～对										
敲	kʰɑɔ	1											
巧	kʰɑɔ	3											
乐	ŋɑɔ	6	要										
孝	xɑɔ	5											
效	ɑɔ	6											
标	piɑɔ	1											
表	piɑɔ	3											
飘	pʰiɑɔ	1											
漂	pʰiɑɔ	5											
票	pʰiɑɔ	5											
嫖	biɑɔ	2											
瓢	biɑɔ	2											
薸	biɑɔ	2	浮萍										
描	miɑɔ	2											
苗	miɑɔ	2											
猫	mɑɔ	1a											
秒	miɑɔ	3											
庙	miɑɔ	6											
妙	miɑɔ	6											
燎	liɑɔ	2											
疗	liɑɔ	2											
焦	tʃiɑɔ	1											
椒	tʃiɑɔ	1											
蕉	tʃiɑɔ	1											
锹	tʃʰiɑɔ	1											
樵	dʒiɑɔ	2	文										
𢄺	tʃiɑɔ	3	擦										
消	ʃiɑɔ	1											
宵	ʃiɑɔ	1											
销	ʃiɑɔ	1											
小	ʃiɑɔ	3											
笑	tʃʰiɑɔ	5											
鞘	ʃiɑɔ	5											
朝	tʃiɑɔ	1	～气										
超	tʃʰiɑɔ	1											
朝	dʒiɑɔ	2	～代										
赵	dʒiɑɔ	3											
兆	dʒiɑɔ	3											
召	dʒiɑɔ	6											
招	tʃiɑɔ	1											
照	tʃiɑɔ	5											
烧	ʃiɑɔ	1											
少	ʃiɑɔ	3	多～										
少	ʃiɑɔ	5	～年										
韶	ʒiɑɔ	2											
绍	ʒiɑɔ	3											
邵	ʒiɑɔ	6											
绕	ɲiɑɔ	6											
骄	tʃiɑɔ	1											
娇	tʃiɑɔ	1											
侨	dʒiɑɔ	2											
桥	dʒiɑɔ	2											
轿	dʒiɑɔ	6											
妖	iɑɔ	1											
邀	iɑɔ	1											
腰	iɑɔ	1											
要	iɑɔ	1	～求										
要	iɑɔ	5	需～										
摇	iɑɔ	2											
谣	iɑɔ	2											
窑	iɑɔ	2											
姚	iɑɔ	2											
舀	iɑɔ	3											
鹞	iɑɔ	6											
刁	tiɑɔ	1	聪明										
雕	tiɑɔ	1											
鸟	tiɑɔ	3											
吊	tiɑɔ	5											
钓	tiɑɔ	5											
挑	tʰiɑɔ	1											
跳	tʰiɑɔ	5											
条	diɑɔ	2											
调	diɑɔ	2	～查										
调	diɑɔ	6	音～										
尿	ʃy	1											
聊	liɑɔ	2											
辽	liɑɔ	2											
了	liɑɔ	3											
瞭	liɑɔ	2											
料	liɑɔ	6											
萧	ʃiɑɔ	1											
箫	ʃiɑɔ	1											
浇	tʃiɑɔ	1											
叫	iɑɔ	5	哭										
晓	ʃiɑɔ	3											
某	mɐɯ	3											
亩	mɐɯ	3											
牡	mɐɯ	3											
拇	məu	3											
母	m	3											
贸	mɑɔ	6											
兜	tɐɯ	1											
斗	tɐɯ	3	一～										
抖	tɐɯ	3											
鬥	tɐɯ	5	～争										
偷	tʰɐɯ	1											
敨	tʰɐɯ	3											
透	tʰɐɯ	5											
头	dɐɯ	2											
投	dɐɯ	2											
豆	dɐɯ	6											
楼	lɐɯ	2											
漏	lɐɯ	6											
走	tsɐɯ	3											
凑	tsʰɐɯ	5											
嗽	sɐɯ	5											
勾	kɐɯ	1											
钩	kɐɯ	1											
沟	kɐɯ	1											
狗	kɐɯ	3											
够	kɐɯ	5											
口	kʰu	3	嘴巴										
口	kʰɐɯ	3	户～										
扣	kʰɐɯ	5											
藕	ŋɐɯ	3											
鲎	xɐɯ	5	彩虹										
喉	ɐɯ	2											
猴	ɐɯ	2											
後	u	3											
後	ɐɯ	3											
厚	gɐɯ	3											
后	ɐɯ	3											
候	ɐɯ	6											
瓯	ɐɯ	1											
欧	ɐɯ	1											
富	fu	5											
副	fu	5											
浮	vu	2											
负	vu	3											
负	vɐɯ	3											
妇	vu	3											
伏	bu	6	孵										
矛	mɑɔ	2											
纽	ɲiɯ	3											
留	liɯ	2											
榴	liɯ	2											
刘	liɯ	2											
流	liɯ	2											
硫	liɯ	2											
柳	liɯ	3											
溜	liɯ	6											
廖	liɑɔ	6											
酒	tʃiɯ	3											
秋	tʃʰiɯ	1											
就	ʒiɯ	6											
修	ʃiɯ	1											
秀	ʃiɯ	5											
锈	ʃiɯ	5											
绣	ʃiɯ	5											
袖	ʒiɯ	6											
昼	tʃiɯ	5											
抽	tʃʰiɯ	1											
丑	tʃʰiɯ	3	时辰										
绸	dʒiɯ	2											
宙	dʒiɯ	6											
邹	tsɐɯ	1											
皱	tsɐɯ	5											
绉	tsɐɯ	5											
愁	zɐɯ	2											
馊	sɐɯ	1											
搜	sɐɯ	1											
瘦	sɐɯ	5											
周	tʃiɯ	1											
舟	tʃiɯ	1											
洲	tʃiɯ	1											
州	tʃiɯ	1											
帚	tʃiɯ	3											
醜	tʃʰiɯ	3											
臭	tʃʰiɯ	5											
收	ʃiɯ	1											
手	ʃiɯ	3											
首	ʃiɯ	3											
守	ʃiɯ	3											
兽	ʃiɯ	5											
仇	ʒiɯ	2											
受	ʒiɯ	3											
寿	ʒiɯ	6											
授	ʒiɯ	6											
售	dʒiɯ	6											
售	ʒiɯ	6											
揉	ɲiɔuʔ	8											
阄	tʃiɯ	1											
纠	tʃiɯ	1											
九	tʃiɯ	3											
久	tʃiɯ	3											
韭	tʃiɯ	3											
究	tʃiɯ	5											
救	tʃiɯ	5											
丘	tʃʰiɯ	1											
求	dʒiɯ	2											
球	dʒiɯ	2											
舅	dʒiɯ	3											
臼	dʒiɯ	3											
旧	dʒiɯ	6											
牛	ɲiɯ	2											
休	ʃiɯ	1											
优	iɯ	1											
邮	iɯ	2											
有	iɯ	3											
友	iɯ	3											
又	iɯ	6											
右	iɯ	6											
佑	iɯ	6											
油	iɯ	2											
游	iɯ	2											
由	iɯ	2											
柚	iɯ	6											
彪	piɑɔ	1											
丢	tiɯ	1											
幼	iɯ	5											
耽	tɑ	1											
答	təʔ	7											
搭	tɑʔ	7											
贪	tʰə	1											
探	tʰə	5											
踏	dɑʔ	8											
搨	tʰɑʔ	7											
潭	də	2											
谭	də	2											
南	nə	2											
男	nə	2											
纳	nəʔ	8											
拉	la	1											
簪	tsə	1											
参	tsʰə	1	～加										
杂	zəʔ	8											
蚕	zə	2											
感	kə	3											
鸽	kəʔ	7											
坎	kʰə	5											
喝	xɑʔ	7											
含	gɑ	2	含在嘴里										
含	ə	2	～片										
合	əʔ	8											
盒	əʔ	8											
庵	ə	1											
暗	ə	5											
担	tɑ	1	动词										
胆	tɑ	3											
担	tɑ	5	名词										
塔	tʰɑʔ	7											
毯	tʰɑ	3											
塌	tʰɑʔ	7											
痰	dɑ	2											
谈	dɑ	2											
淡	dɑ	3											
蓝	lɑ	2											
篮	lɑ	2											
蜡	lɑʔ	8											
腊	lɑʔ	8											
镴	lɑʔ	8											
暂	dzɑ	6											
三	sɑ	1											
柑	kə	1											
甘	kə	1											
敢	kə	3											
磕	kʰəʔ	7											
喊	xɑ	5	叫										
札	tsɑʔ	7											
站	dzɑ	6											
赚	dzɑ	3											
斩	tsɑ	3											
蘸	tsɑ	1											
插	tsʰɑʔ	7											
闸	zɑʔ	8											
煠	zɑʔ	8											
杉	sɑ	1											
减	kɑ	3											
碱	kɑ	3											
夹	kɑʔ	7											
掐	kʰɑʔ	7	捏										
咸	ɑ	2	～丰										
鹹	ɑ	2	～淡										
馅	ɑ	6											
狭	gɑʔ	8	拥挤										
狭	ɑʔ	8	窄										
峡	gɑʔ	8											
搀	tsʰɑ	1											
衫	sɑ	1											
监	kɑ	1											
甲	kɑʔ	7											
嵌	kʰɑ	5											
岩	ŋɑ	2											
衔	gɑ	2											
匣	kɑʔ	7											
鸭	ɑʔ	7											
押	ɑʔ	7											
压	ɑʔ	7											
贬	piɛ	3											
黏	ɲiɛ	1											
聂	ɲiʔ	8											
镊	ɲiʔ	8											
镊	ɲiɛʔ	8											
廉	liɛ	2											
镰	liɛ	2											
帘	liɛ	2											
猎	liɛʔ	8											
尖	tʃiɛ	1											
歼	tʃʰiɛ	1											
接	tʃiɛʔ	7											
签	tʃʰiɛ	1											
潜	ʒiɛ	2											
摺	tʃiɛʔ	7											
占	tʃiɛ	5											
陕	ʃiɛ	3											
闪	ʃiɛ	3											
蟾	ʒiɛ	3											
涉	ʒiɛʔ	8											
染	ɲiɛ	3											
检	tʃiɛ	3											
钳	dʒiɛ	2											
验	ɲiɛ	6											
险	ʃiɛ	3											
掩	iɛ	3											
厌	iɛ	5											
炎	iɛ	2											
盐	iɛ	2											
阎	iɛ	2											
檐	iɛ	2											
艳	iɛ	5											
焰	iɛ	5											
盐	iɛ	6	腌										
叶	iɛʔ	8											
页	iɛʔ	8											
剑	tʃiɛ	5											
劫	tʃiɛʔ	7											
欠	tʃʰiɛ	5											
严	ɲiɛ	2											
业	ɲiɛʔ	8											
腌	iɛ	1											
点	tiɛ	3											
店	tiɛ	5											
添	tʰiɛ	1											
跌	tiɛʔ	7											
舔	tʰiɛ	3											
帖	tʰiaʔ	7											
贴	tʰiaʔ	7											
甜	diɛ	2											
簟	diɛ	3											
迭	diaʔ	8											
蝶	diaʔ	8											
碟	diaʔ	8											
谍	diaʔ	8											
鲇	ɲiɛ	2	鲶										
念	ɲiɛ	6											
挟	kɑʔ	7	～菜										
谦	tʃʰiɛ	1											
歉	tʃʰiɛ	5											
嫌	ɑ	2											
