IPA	调值	调类	Hanzi
kən	213	3	艮
kən	311	1	根跟
kən	53	5	亘
kəu	213	3	苟狗枸
kəu	311	1	勾佝沟钩
kəu	53	5	勾构购诟垢够
kɤŋ	213	3	埂耿哽梗鲠
kɤŋ	311	1	更庚耕羹
kɤŋ	53	5	更
kʰan	213	3	坎侃砍
kʰan	52	5	看瞰
kei	213	3	给
kʰaŋ	24	2	扛
kʰaŋ	311	1	康慷糠
kʰaŋ	53	5	亢伉抗炕
kʰu	213	3	苦哭（老）
kʰu	311	1	枯哭（新）窟骷
kʰuan	213	3	款
kʰuan	311	1	宽髋
kʰuaŋ	24	2	狂诳
kʰuaŋ	311	1	匡筐
kʰuaŋ	53	5	旷况矿框眶
kʰuei	24	2	奎馗葵魁睽
kʰuei	311	1	亏盔窥
kʰuen	213	3	捆
kʰuen	311	1	坤昆鲲
kʰuen	53	5	困
kʰuɛe̞	53	5	会块快侩脍筷
	213	3	扩（老）
kʰuɤ	53	5	扩（新）括阔廓
kʰuᴀ	213	3	侉垮
kʰuᴀ	311	1	夸
kʰuᴀ	53	5	挎胯跨
kʰɛe̞	213	3	剀凯恺铠慨楷
kʰɛe̞	311	1	开揩
kʰɑɔ	213	3	考拷烤
kʰɑɔ	53	5	铐犒靠
kʰɯɤ	213	3	刻克磕（白）可渴
kʰɯɤ	311	1	坷苛柯科砢棵窠颗磕（文）瞌蝌
kʰɯɤ	53	5	恪客课嗑
kʰən	213	3	肯垦恳啃
kʰən	53	5	空控
kʰəu	213	3	口
kʰəu	24	2	抠（白）
kʰəu	311	1	抠（文）
kʰəu	53	5	扣寇蔻叩
kʰᴀ	213	3	卡磕（白）擖
kʰᴀ	311	1	咔咖喀
kᴀ	213	3	旮（~旯）胳（～吱窝）
kᴀ	53	5	尬
lan	213	3	览揽缆懒卵
lan	24	2	兰岚拦栏婪阑蓝篮栾（老）鸾（老）銮（老）孪（老）
lan	53	5	烂滥乱
laŋ	213	3	朗
laŋ	24	2	郎狼琅廊榔螂
laŋ	311	1	啷
laŋ	53	5	浪
lei	213	3	耒垒累磊蕾儡李（老）
lei	24	2	雷镭羸
lei	311	1	勒
lei	53	5	肋泪类累擂
li	213	3	礼李（新）里理锂鲤醴
li	24	2	厘狸离梨犁黎篱
li	53	5	力历丽励利例沥隶荔莅栗砺砾蛎粒
lin	213	3	凛廪檩
lin	24	2	邻林临淋琳嶙粼遴磷麟
lin	311	1	拎
lin	53	5	吝躏
liŋ	213	3	岭领
liŋ	24	2	灵囹玲铃凌陵聆菱翎羚绫零龄
liŋ	53	5	另令
liɑŋ	213	3	两
liɑŋ	24	2	良凉梁量粮粱
liɑɔ	213	3	了燎
liɑɔ	24	2	辽疗聊僚廖撩獠潦缭燎
liɑɔ	311	1	撩
liɑɔ	53	5	料瞭镣
liəu	213	3	柳
liəu	24	2	刘浏留流琉硫馏榴瘤鎏
liəu	311	1	溜熘
liəu	53	5	六遛馏溜
liɛ	311	1	咧
liɛ	53	5	列劣烈猎裂趔
liɛn	213	3	敛脸
liɛn	24	2	连怜帘莲联廉镰
liɛn	53	5	练炼恋链殓潋
liᴀ	213	3	俩
lu	213	3	卤虏鲁乳（新）
lu	24	2	卢芦庐炉颅鲈
lu	53	5	陆录赂鹿禄碌路勠辘露
luan	24	2	峦（新）孪（新）栾（新）銮（新）
lʊŋ	213	3	陇拢
lʊŋ	24	2	隆龙茏胧聋笼珑
lʊŋ	53	5	弄（～堂）
luɤ	213	3	裸
luɤ	24	2	罗箩逻锣骡螺摞
luɤ	311	1	啰
luɤ	53	5	洛骆络落
luən	24	2	仑（新）伦（新）沦（新）纶（新）轮（新）
luən	311	1	抡（新）
luən	53	5	论（新）
ly	213	3	吕侣旅铝屡缕履
ly	24	2	驴
ly	53	5	律率绿虑氯滤
lyɛ	53	5	掠略
lɛe̞	24	2	来莱
lɛe̞	53	5	赖癞籁睐
lɑɔ	213	3	老佬姥
lɑɔ	24	2	劳牢唠
lɑɔ	311	1	捞
lɑɔ	53	5	络唠烙涝落酪
lɯɤ	53	5	叻乐勒
lən	24	2	论（老）轮（老）伦（老）沦（老）纶（老）
lən	311	1	抡（老）
lən	53	5	论（老）
ləu	24	2	蒌喽楼髅
ləu	53	5	陋镂漏露
lɤŋ	24	2	棱
lɤŋ	311	1	扔
lɤŋ	53	5	楞
lᴀ	213	3	喇蝲
lᴀ	24	2	旯拉剌
lᴀ	311	1	垃拉啦邋
lᴀ	52	5	落腊蜡辣瘌
man	213	3	满螨
man	24	2	蛮馒瞒
man	53	5	曼谩蔓幔漫慢
mei	213	3	每美
mei	24	2	没玫枚眉莓梅媒煤霉
mei	53	5	妹昧媚魅
mi	213	3	米弥靡
mi	24	2	弥迷猕谜糜
mi	311	1	咪眯
mi	53	5	汨觅泌秘密幂蜜墨
min	213	3	皿黾泯闽悯敏
min	24	2	民
miŋ	24	2	名明鸣冥铭溟瞑
miŋ	53	5	命
miɑɔ	213	3	眇秒渺藐邈
miɑɔ	24	2	苗描瞄
miɑɔ	53	5	妙庙
miɛ	53	5	灭蔑
miɛn	213	3	免勉娩冕缅腼
miɛn	24	2	眠绵棉
miɛn	53	5	面
mu	213	3	母牡亩拇
mu	24	2	模
mu	53	5	木目沐苜牧募墓幕慕睦暮穆
mɛe̞	213	3	买
mɛe̞	24	2	埋霾
mɛe̞	53	5	迈麦卖脉
mɑŋ	213	3	莽蟒
mɑŋ	24	2	芒忙盲氓茫
mɑɔ	213	3	卯铆
mɑɔ	24	2	毛矛茅牦
mɑɔ	311	1	猫
mɑɔ	53	5	茂冒贸帽貌
mɯɤ	213	3	抹麦（老）
mɯɤ	24	2	馍模摹膜摩磨蘑魔
mɯɤ	311	1	摸
mɯɤ	53	5	末没抹茉沫陌脉莫漠默磨
mən	24	2	门们扪
mən	311	1	闷焖
məu	213	3	某
məu	24	2	牟眸谋
mɤŋ	213	3	猛蒙锰蠓
mɤŋ	24	2	蒙萌盟朦
mɤŋ	53	5	孟梦
mᴀ	213	3	马玛码蚂
mᴀ	24	2	麻
mᴀ	311	1	妈摩（~挲）
mᴀ	53	5	骂蚂（~蚱）
nan	213	3	暖
nan	24	2	男南难喃楠腩
nan	311	1	囡
nan	53	5	难
nei	53	5	内
nu	24	2	奴
nu	53	5	努弩怒
nʊŋ	24	2	农侬哝浓脓
nuɤ	24	2	挪傩
nuɤ	53	5	诺懦糯
nyɛ	53	5	虐疟
nɛe̞	213	3	乃奶
nɛe̞	53	5	奈耐
nɑŋ	24	2	囊
nɑɔ	213	3	恼脑瑙
nɑɔ	24	2	挠蛲
nɑɔ	311	1	孬
nɑɔ	53	5	闹
nən	213	3	恁
nɤŋ	24	2	能
nɤŋ	53	5	弄
nᴀ	213	3	哪
nᴀ	24	2	拿
nᴀ	53	5	那纳钠娜捺
pan	213	3	板版
pan	311	1	班般颁斑搬扳
pan	53	5	办半扮伴拌绊瓣
paŋ	213	3	绑榜膀
paŋ	311	1	邦帮梆（~硬）
paŋ	53	5	棒傍谤
pei	213	3	北（新）
pei	311	1	杯卑背（~包）悲碑
pei	53	5	贝备背（~后）倍被辈
pi	213	3	匕比彼笔鄙毕壁（界壁儿）
pi	24	2	鼻
pi	311	1	逼
pi	53	5	币必闭避辟碧臂壁
pin	311	1	宾彬斌缤濒
pin	53	5	摈（~除）殡鬓
piŋ	213	3	丙秉饼禀摒
piŋ	311	1	冰兵
piŋ	53	5	并病
piɑɔ	213	3	表裱
piɑɔ	311	1	标彪镖
piɛ	213	3	别（区～）鳖憋
piɛ	24	2	别（~人）
piɛ	311	1	憋
piɛ	53	5	别（~扭）
piɛn	213	3	贬扁匾
piɛn	311	1	边编鞭
piɛn	53	5	卞变便遍辨辩辫
pu	213	3	补捕哺不
pu	53	5	布步部
pɛe̞	213	3	百（新）柏摆
pɛe̞	24	2	白（新）拜
pɛe̞	311	1	掰
pɛe̞	53	5	别败拜（~别）
pɑɔ	213	3	饱宝保堡
pɑɔ	24	2	雹薄
pɑɔ	311	1	包苞胞煲褒
pɑɔ	53	5	报刨抱豹暴曝爆
pɯɤ	213	3	北（老）百（老）剥泊（老）
pɯɤ	24	2	白（老）膊薄泊（新）柏搏铂舶脖博
pɯɤ	311	1	拨波玻剥菠播
pɯɤ	53	5	薄（~荷）簸
pən	213	3	本
pən	311	1	奔
pən	53	5	奔（~头儿）笨
pɤŋ	213	3	绷（~脸）
pɤŋ	24	2	甭（~管）
pɤŋ	311	1	崩绷（~带）
pɤŋ	53	5	泵迸蹦
pʰan	24	2	盘磐槃蹒蟠
pʰan	311	1	潘攀
pʰan	53	5	判盼叛畔
pʰei	24	2	陪培赔
pʰei	311	1	胚
pʰei	53	5	沛配
pʰi	213	3	匹否痞劈僻
pʰi	24	2	皮枇毗蚍疲啤琵脾貔
pʰi	311	1	丕批坯披砒辟劈噼霹
pʰi	53	5	屁睥辟媲譬
pʰin	213	3	品
pʰin	24	2	贫频嫔颦
pʰin	311	1	拼姘
	53	5	聘
pʰiŋ	24	2	平冯评苹凭屏瓶萍
pʰiŋ	311	1	乒
pʰiɑɔ	311	1	漂
pʰiɑɔ	24	2	朴嫖瓢
pʰiɑɔ	53	5	票漂骠
pʰiɛ	213	3	撇（~嘴）
pʰiɛ	311	1	撇瞥
pʰiɛn	24	2	便骈蹁
pʰiɛn	311	1	片扁偏篇翩
pʰiɛn	53	5	片骗
pʰu	213	3	朴圃普浦谱仆
pʰu	24	2	匍蒲菩脯葡璞濮
pʰu	311	1	扑铺噗
pʰu	53	5	铺堡暴瀑曝
pʰɛe̞	213	3	迫（~击炮）
pʰɛe̞	24	2	排徘牌
pʰɛe̞	311	1	拍
pʰɛe̞	53	5	派湃
pʰɑŋ	24	2	彷庞旁膀
pʰɑŋ	311	1	滂
pʰɑŋ	53	5	胖
pʰɑɔ	213	3	跑
pʰɑɔ	24	2	刨咆狍庖炮袍
pʰɑɔ	53	5	泡炮疱
pʰɯɤ	213	3	叵泼
pʰɯɤ	24	2	婆
pʰɯɤ	311	1	坡陂颇
pʰɯɤ	53	5	迫破魄
pʰən	24	2	盆
pʰən	311	1	喷
pʰən	53	5	喷（~香）
pʰəu	311	1	剖
pʰɤŋ	213	3	捧
pʰɤŋ	24	2	朋棚蓬鹏篷膨
pʰɤŋ	311	1	抨怦烹澎嘭
pʰɤŋ	53	5	碰
pʰᴀ	24	2	扒爬耙
pʰᴀ	311	1	趴啪葩
pʰᴀ	53	5	帕怕
pᴀ	213	3	把靶八（老）
pᴀ	24	2	拔跋
pᴀ	311	1	巴扒吧疤笆
pᴀ	53	5	坝爸罢鲅霸
sɛe̞	213	3	色
sɛe̞	311	1	赛塞
san	213	3	伞散
san	311	1	删山扇三弎叁酸（老）
san	53	5	扇散算（老）蒜（老）
sei	213	3	髓（老）
sei	24	2	隋（老）绥（老）隨（老）谁
sei	311	1	虽（老）
sei	53	5	睡岁（老）遂（老）碎（老）隧（老）穗（老）
sən	213	3	损（老）笋（老）
sən	311	1	孙（老）森
su	213	3	叔鼠暑
su	24	2	俗
su	311	1	书输苏酥舒
su	53	5	诉肃素速粟塑簌树术述竖
suan	311	1	酸（新）拴栓
suan	53	5	蒜（新）算（新）涮
suei	213	3	髓（新）
suei	24	2	绥（新）隋（新）随（新）
suei	311	1	虽（新）
suei	53	5	岁（新）遂（新）碎（新）隧（新）穗（新）
sʊŋ	213	3	怂耸悚
sʊŋ	311	1	松忪嵩
sʊŋ	53	5	讼宋送诵颂
suɤ	213	3	所索琐锁说缩
suɤ	311	1	唆梭蓑娑
suən	213	3	损（新）笋（新）
suən	311	1	孙（新）
sɑŋ	213	3	搡嗓晌上
sɑŋ	311	1	丧桑伤殇商
sɑŋ	53	5	丧尚上
sɑɔ	213	3	扫嫂少
sɑɔ	24	2	勺
sɑɔ	311	1	搔骚臊捎稍烧梢
sɑɔ	53	5	扫邵哨
sɯɤ	213	3	舍
sɯɤ	24	2	蛇折舌
sɯɤ	311	1	奢赊
sɯɤ	53	5	涩啬瑟塞摄射舍社
səu	213	3	叟擞手首守
səu	24	2	熟
səu	311	1	搜馊飕收
səu	53	5	嗽瘦兽寿售授狩
sɤŋ	311	1	僧生笙
sɿ	213	3	死湿始使适失屎驶室虱
sɿ	24	2	食时实石十拾
sɿ	311	1	司丝私思斯厮撕嘶师诗
sɿ	53	5	巳四寺似泗祀饲驷食肆嗣是释世士
sᴀ	213	3	洒撒杀傻
sᴀ	24	2	啥
sᴀ	311	1	仨挲撒沙莎砂鲨
sᴀ	53	5	卅飒萨厦煞
sua	213		刷耍
tan	213	3	胆短（老）
tan	311	1	丹担单眈耽
tan	53	5	旦但担（~子）诞淡惮弹蛋段（老）断（老）缎（老）
tei	213	3	得（~亏）塞
tən	311	1	蹲（老）吨（老）
tən	53	5	盾（老）顿（老）炖（老）
ti	213	3	诋抵底砥（~砺）滴詆
ti	24	2	迪的（~确）敌涤荡笛嫡
ti	311	1	低的（~哥）堤提防
ti	53	5	地弟的（目~）帝递第
tiŋ	213	3	顶鼎
tiŋ	311	1	丁叮盯钉
tiŋ	53	5	订定锭
tiɑɔ	53	5	吊调掉
tiəu	311	1	丢
tiɛ	24	2	迭谍喋叠碟蝶
tiɛ	311	1	爹跌
tiɛn	213	3	典点碘踮
tiɛn	311	1	掂（~量）颠巅
tiɛn	53	5	电佃店玷垫淀惦奠
tu	213	3	肚笃堵赌睹
tu	24	2	毒独读渎犊
tu	311	1	都（~城）督嘟
tu	53	5	杜妒度渡镀
tuan	213	3	短（新）
tuan	53	5	段（新）断（新）缎（新）
tuei	311	1	堆
tuei	52	5	队对兑
tʊŋ	213	3	董懂
tʊŋ	311	1	东冬
tʊŋ	52	5	动冻洞
tuɤ	213	3	朵垛躲
tuɤ	24	2	夺
tuɤ	311	1	多咄哆
tuɤ	53	5	剁舵堕惰跺
tuən	213	3	盹(打~儿)
tuən	311	1	蹲（新）吨（新）
tuən	53	5	炖（老）盾（老）顿（老）
tɛe̞	213	3	歹逮吃
tɛe̞	311	1	呆待（~一会儿）
tɛe̞	53	5	大（~夫）代迨带贷待怠袋
tɑŋ	213	3	挡党
tɑŋ	311	1	当
tɑŋ	53	5	当（~成）荡档
tɑɔ	213	3	导岛捣倒祷
tɑɔ	311	1	刀
tɑɔ	53	5	到倒（~车）盗悼道稻
tɯɤ	213	3	端德得掇
tɯɤ	53	5	嘚（~瑟）
təu	213	3	斗（~胆）抖陡
təu	311	1	都兜
təu	53	5	斗豆逗痘窦
tɤŋ	213	3	等
tɤŋ	311	1	灯登蹬
tɤŋ	53	5	邓凳澄瞪
tʰan	213	3	忐坦袒毯
tʰan	24	2	坛昙谈弹覃痰谭潭檀
tʰan	53	5	叹炭探碳
tʰi	213	3	体剔踢
tʰi	24	2	提啼题醍蹄
tʰi	311	1	梯
tʰi	53	5	屉剃倜涕悌惕替嚏
tʰiŋ	213	3	挺铤
tʰiŋ	24	2	庭停婷霆
tʰiŋ	311	1	厅听
tʰiɑɔ	213	3	挑眺朓窕
tʰiɑɔ	24	2	条笤岧迢调
tʰiɑɔ	53	5	眺跳
tʰiɛ	213	3	帖铁贴
tʰiɛ	53	5	餮
tʰiɛn	213	3	忝殄腆觍舔
tʰiɛn	24	2	田恬甜湉填
tʰiɛn	311	1	天
tʰu	213	3	土吐
tʰu	24	2	图荼徒涂屠酴
tʰu	311	1	凸秃突
tʰu	53	5	吐兔
tʰuan	311	1	湍
tʰuei	213	3	腿
tʰuei	24	2	颓
tʰuei	311	1	忒推
tʰuei	53	5	退蜕褪
tʰʊŋ	213	3	统捅桶筒
tʰʊŋ	24	2	同佟彤茼铜桐童瞳
tʰʊŋ	311	1	通
tʰuɤ	213	3	妥椭
tʰuɤ	24	2	驮陀驼鸵
tʰuɤ	311	1	托拖
tʰuɤ	53	5	拓唾
tʰuən	24	2	屯（新）豚（新）臀（新）
tʰuən	311	1	吞（新）
tʰən	24	2	屯（老）臀（老）豚（老）
tʰən	311	1	吞（老）
tʰɛe̞	24	2	台抬苔跆
tʰɛe̞	311	1	苔胎
tʰɛe̞	53	5	太汰态泰酞
tʰɑŋ	213	3	倘躺
tʰɑŋ	24	2	唐堂棠塘搪溏糖螳
tʰɑŋ	311	1	汤
tʰɑŋ	53	5	烫趟
tʰɑɔ	213	3	讨
tʰɑɔ	24	2	逃桃陶淘
tʰɑɔ	311	1	叨涛绦焘掏滔韬饕
tʰɑɔ	53	5	套
tʰɯɤ	213	3	脱
tʰɯɤ	53	5	忑忒特
tʰəu	24	2	头投骰
tʰəu	311	1	偷
tʰəu	53	5	透
tʰɤŋ	24	2	疼腾誊螣滕藤
tʰᴀ	213	3	塔獭溻
tʰᴀ	311	1	他她遢
tʰᴀ	53	5	拓挞榻踏蹋
tᴀ	213	3	打答
tᴀ	24	2	达
tᴀ	311	1	搭嗒
tᴀ	53	5	大
u	213	3	五午伍仵怃忤妩武侮鹉舞屋
u	311	1	乌污巫呜诬
u	53	5	兀勿误悟晤鹜婺雾
uɤ	213	3	我握
uɤ	311	1	挝莴倭涡喔窝蜗
uɤ	53	5	沃卧握龌斡饿
xan	213	3	罕喊
xan	24	2	邯含函浛涵
xan	311	1	蚶酣憨鼾
xan	53	5	汉汗旱瀚悍焊颔撼
xei	311	1	黑（新）嘿
xu	213	3	虎琥忽
xu	24	2	蝴和狐弧胡壶核湖
xu	311	1	乎呼糊
xu	53	5	互户护沪扈糊
xuan	213	3	缓
xuan	24	2	还环洹桓寰嬛
xuan	311	1	欢獾
xuan	53	5	幻宦换唤涣浣患焕
xuaŋ	213	3	恍晃谎幌
xuaŋ	24	2	皇黄凰遑徨惶簧
xuaŋ	311	1	肓荒慌
xuaŋ	53	5	晃（~荡）
xuei	213	3	悔毁
xuei	24	2	回茴徊蛔
xuei	311	1	灰诙挥恢辉麾徽隳
xuei	53	5	惠汇会讳荟诲绘贿
xuɛe̞	24	2	怀淮徊槐踝
xuɛe̞	53	5	坏
xʊŋ	213	3	哄
xʊŋ	24	2	弘红宏虹洪鸿
xʊŋ	311	1	轰哄烘
xʊŋ	53	5	讧哄
xuɤ	213	3	和活火伙
xuɤ	311	1	豁
xuɤ	53	5	或和货获祸惑霍豁
xuən	213	3	混
xuən	24	2	浑馄混魂
xuən	311	1	昏荤婚
xuᴀ	24	2	划华哗猾滑
xuᴀ	311	1	花哗
xuᴀ	53	5	化划华画话桦
xɛe̞	213	3	海
xɛe̞	24	2	还孩骸
xɛe̞	311	1	嗨
xɛe̞	53	5	亥骇害
xɑŋ	24	2	行杭航
xɑŋ	311	1	夯
xɑŋ	53	5	沆巷（~道）
xɑɔ	213	3	好郝
xɑɔ	24	2	号（~叫）蚝毫貉豪壕嚎濠
xɑɔ	311	1	蒿
xɑɔ	53	5	号好昊耗浩淏皓颢
xɯɤ	213	3	黑（老）
xɯɤ	24	2	禾合何和劾河荷核盒
xɯɤ	311	1	呵喝（新）
xɯɤ	53	5	和贺荷喝赫褐鹤壑
xən	213	3	很狠
xən	24	2	痕
xən	53	5	恨
xəu	213	3	吼犼
xəu	24	2	侯喉猴瘊
xəu	311	1	齁
xəu	53	5	后厚逅候
xɤŋ	24	2	行恒姮横衡
xɤŋ	311	1	亨哼
xɤŋ	53	5	横（老）红（老）
xᴀ	213	3	喝（老）
xᴀ	24	2	蛤（～莫）
xᴀ	311	1	哈铪塌
y	213	3	与予宇羽雨语乳（老）
y	24	2	于予余妤盂鱼臾谀娱萸渔逾渝愉瑜榆虞愚觎
y	311	1	迂纡淤瘀
y	53	5	与玉驭郁育狱浴预域欲遇熨豫入褥
luei	53	5	锐瑞睿
yn	213	3	允狁陨殒
yn	311	1	晕氲
yn	52	5	闰润孕运晕酝愠韵蕴熨
yu	213	3	汝乳辱
yu	24	2	如茹儒嚅濡孺蠕
yu	52	5	入溽褥
yʊŋ	213	3	冗永甬咏泳勇涌恿蛹踊
yʊŋ	24	2	戎绒茸荣容嵘蓉溶榕融
yʊŋ	311	1	佣拥痈庸雍慵壅臃
yʊŋ	52	5	用佣
yɛ	311	1	曰约
yɛ	52	5	月乐岳阅悦跃越粤弱
yɛn	213	3	软远
yɛn	24	2	元园员原圆援缘猿源辕
yɛn	311	1	鸢鸳冤深箢
yɛn	52	5	苑怨院愿
ȵi	213	3	拟你
ȵi	24	2	尼呢泥霓
ȵi	311	1	妮
ȵi	52	5	昵逆匿腻溺
ȵin	24	2	您
ȵiŋ	213	3	拧
ȵiŋ	24	2	宁拧柠凝
ȵiŋ	52	5	宁佞
ȵiɑŋ	24	2	娘
ȵiɑŋ	52	5	酿
ȵiɑɔ	52	5	尿
ȵiəu	213	3	扭忸纽
ȵiəu	24	2	牛
ȵiəu	52	5	拗
ȵiɛ	311	1	捏
ȵiɛ	52	5	涅嗫镊镍蹑孽
ȵiɛn	213	3	捻碾
ȵiɛn	24	2	年粘鲶黏
ȵiɛn	311	1	拈蔫
ȵiɛn	52	5	念
ȵy	213	3	女
ɕi	213	3	洗玺徙喜屣吸惜膝息媳
ɕi	24	2	习席袭檄
ɕi	311	1	夕兮西希昔析茜栖牺奚悉淅晰稀犀锡溪熙熄嘻熹蹊蟋
ɕi	52	5	戏系细隙
ɕiaŋ	213	3	享响饷想
ɕiaŋ	24	2	详降祥翔
ɕiaŋ	311	1	乡相厢湘箱襄镶
ɕiaŋ	52	5	向项巷相象像橡
ɕin	311	1	心芯辛欣锌新忻歆薪馨鑫
ɕin	52	5	信
ɕiŋ	213	3	省醒
ɕiŋ	24	2	刑邢行形型钘
ɕiŋ	311	1	兴星猩惺腥
ɕiŋ	52	5	兴杏幸性姓悻
ɕiɑɔ	213	3	小晓
ɕiɑɔ	311	1	枭削骁逍消宵萧硝销箫霄嚣
ɕiəu	213	3	朽宿
ɕiəu	311	1	休咻修脩羞
ɕiəu	52	5	秀岫嗅袖绣宿锈
ɕiɛ	213	3	写血
ɕiɛ	24	2	协邪胁挟偕斜谐携鞋
ɕiɛ	311	1	些楔歇蝎
ɕiɛ	52	5	泄泻卸屑械亵谢解邂懈蟹
ɕiɛn	213	3	显险猃藓
ɕiɛn	311	1	仙先纤籼掀鲜
ɕiɛn	24	2	咸贤闲
ɕiɛn	52	5	苋县现限线宪陷馅羡献腺
ɕiᴀ	213	3	瞎吓（老）
ɕiᴀ	24	2	匣侠峡狭遐瑕暇辖霞黠
ɕiᴀ	311	1	虾
ɕiᴀ	52	5	下吓（新）夏
ɕy	213	3	许栩宿蓄
ɕy	24	2	徐
ɕy	311	1	吁须虚需
ɕy	52	5	旭序叙恤畜酗绪续絮
ɕyʊŋ	24	2	雄熊
ɕyʊŋ	311	1	凶兄匈汹胸
ɕyɛ	213	3	雪鳕削
ɕyɛ	24	2	穴学噱
ɕyɛ	311	1	靴薛
ɕyɛ	52	5	谑
ɕyɛn	213	3	选癣
ɕyɛn	24	2	旬寻巡询荨循
