cid	cʰaracter	initian	finan	tone	note								
237	使	s	ɿ	45									
238	试	s	ɿ	13									
239	时	s	ɿ	21									
240	市	s	ɿ	13									
241	耳	∅	ər	45									
241	耳	∅	æ	45									
242	记	tɕ	i	13									
242	记	tɕ	ʑ̩	13									
243	棋	tɕʰ	i	21									
243	棋	tɕʰ	ʑ̩	21									
	喜	ɕ	i	45									
	喜	ɕ	ʑ̩	45									
245	意	∅	i	13									
245	意	∅	ʑ̩	13									
246	几	tɕ	i	45									
246	几	tɕ	ʑ̩	45									
247	气	tɕʰ	i	13									
247	气	tɕʰ	ʑ̩	13									
248	希	ɕ	i	44-33									
248	希	ɕ	ʑ̩	44-33									
249	衣	∅	i	44-33									
249	衣	∅	ʑ̩	44-33									
250	嘴	ts	uei	45									
251	随	s	uei	21									
252	吹	tsʰ	uei	44-33									
253	垂	tsʰ	uei	21									
254	规	k	uei	44-33									
255	亏	kʰ	uei	44-33									
256	跪	k	uei	13									
257	危	∅	uei	21									
258	类	n	uei	13									
259	醉	ts	uei	13									
260	追	n	uei	44-33	白								
260	追	ts	uei	44-33									
261	锤	tsʰ	uei	21									
262	水	s	uei	45									
263	龟	k	uei	44-33									
264	季	tɕ	i	13									
264	季	tɕ	ʑ	13									
265	柜	k	uei	13									
266	位	∅	uei	13									
267	飞	f	ei	44-33									
269	匪	f	ei	45									
268	费	f	ei	13									
269	肥	f	ei	21									
270	尾	∅	uei	45									
271	味	∅	uei	13									
272	鬼	k	uei	45									
273	贵	k	uei	13									
274	围	∅	uei	21									
275	胃	∅	uei	13									
276	宝	p	au	45									
277	抱	p	au	13									
278	毛	m	au	21									
279	帽	m	au	13									
280	刀	t	au	44-33									
281	讨	tʰ	au	45									
282	桃	tʰ	au	21									
283	道	t	au	13									
284	脑	n	au	45									
285	老	n	au	45									
286	早	ts	au	45									
287	灶	ts	au	13									
288	草	tsʰ	au	45									
289	糙	tsʰ	au	13									
290	造	tsʰ	au	13									
291	嫂	s	au	45									
292	高	k	au	44-33									
293	靠	kʰ	au	13									
294	熬	ŋ	au	21									
295	好	x	au	45									
296	号	x	au	13									
297	包	p	au	44-33									
298	饱	p	au	45									
299	抛	pʰ	au	44-33									
299	刨	pʰ	au	21									
299	跑	pʰ	au	45									
299	炮	pʰ	au	13									
300	猫	m	au	44-33									
300	卯	m	au	45									
300	牡	m	au	45	∽丹								
301	闹	n	au	13									
302	罩	ts	au	13									
303	抓	ts	ua	44-33									
304	找	ts	au	45									
305	抄	tsʰ	au	44-33									
306	交	tɕ	iau	44-33									
307	敲	kʰ	au	44-33									
308	孝	ɕ	iau	13									
309	校	ɕ	iau	13									
310	表	p	iau	45									
311	票	pʰ	iau	13									
312	庙	m	iau	13									
313	焦	tɕ	iau	44-33									
314	小	ɕ	iau	45									
315	笑	ɕ	iau	13									
316	朝	tsʰ	au	21									
317	照	ts	au	13									
318	烧	s	au	44-33									
319	绕	z	au	13									
320	桥	tɕʰ	iau	21									
321	轿	tɕ	iau	13									
322	腰	∅	iau	44-33									
323	要	∅	iau	13									
324	摇	∅	iau	21									
325	鸟	n	iau	45									
326	钓	t	iau	13									
327	条	tʰ	iau	21									
328	料	n	iau	13									
329	箫	ɕ	iau	44-33									
	叫	tɕ	iau	13									
	母	m	uᶹ	45									
	抖	tʰ	əu	45									
	偷	tʰ	əu	44-33									
	头	tʰ	əu	21									
	豆	t	əu	13									
	楼	n	əu	21									
	走	ts	əu	45									
	凑	tsʰ	əu	13									
	钩	k	əu	44-33									
340	狗	k	əu	45									
341	够	k	əu	13									
342	口	kʰ	əu	45									
343	藕	ŋ	əu	45									
	后	x	əu	13									
345	厚	x	əu	13									
346	富	f	uᶹ	13									
347	副	f	uᶹ	13									
348	浮	f	uᶹ	21									
349	妇	f	uᶹ	13									
350	流	n	iəu	21									
351	酒	tɕ	iəu	45									
352	修	ɕ	iəu	44-33									
353	袖	ɕ	iəu	13									
354	抽	tsʰ	əu	44-33									
355	绸	tsʰ	əu	21									
356	愁	tsʰ	əu	21									
357	瘦	s	əu	13									
358	州	ts	əu	44-33									
359	臭	tsʰ	əu	13									
360	手	s	əu	45									
361	寿	s	əu	13									
362	九	tɕ	iəu	45									
363	球	tɕʰ	iəu	21									
364	舅	tɕ	iəu	13									
365	旧	tɕ	iəu	13									
366	牛	n	iəu	21									
367	休	ɕ	iəu	44-33									
368	优	∅	iəu	44-33									
369	有	∅	iəu	45									
370	右	∅	iəu	13									
371	油	∅	iəu	21									
372	丢	t	iəu	44-33									
373	幼	∅	iəu	13									
374	贪	tʰ	æ	44-33									
375	潭	tʰ	æ	21									
376	南	n	æ	21									
377	蚕	tsʰ	æ	21									
378	感	k	æ	45									
379	含	x	æ	21									
380	暗	ŋ	æ	13									
381	搭	t	a	21									
382	踏	tʰ	a	21									
383	拉	n	a	44-33									
384	杂	ts	a	21									
385	鸽	k	o	21									
386	盒	x	o	21									
387	胆	t	æ	45									
	旦	t	æ	13									
388	毯	tʰ	æ	45									
389	淡	t	æ	13									
390	蓝	n	æ	21									
391	三	s	æ	44-33									
392	甘	k	æ	44-33									
393	敢	k	æ	45									
	憨	x	æ	44-33									
394	喊	x	æ	45									
	罕	x	æ	13									
395	塔	tʰ	a	21									
396	蜡	n	a	21									
397	赚	ts	uæ	13									
398	杉	s	a	44-33									
399	减	tɕ	iɛ	45									
400	咸	ɕ	iɛ	21									
401	插	tsʰ	a	21									
402	闸	ts	a	21									
403	夹	tɕ	ia	21									
404	衫	s	æ	44-33									
405	监	tɕ	iɛ	44-33									
406	岩	ŋ	ai	21									
407	甲	tɕ	ia	21									
408	鸭	∅	ia	21									
409	黏	n	iɛ	21									
410	尖	tɕ	iɛ	44-33									
411	签	tɕʰ	iɛ	44-33									
412	占	ts	æ	13									
413	染	z	æ	45									
414	钳	tɕʰ	iɛ	21									
415	验	n	iɛ	13									
416	险	ɕ	iɛ	45									
417	厌	∅	iɛ	13									
418	炎	∅	iɛ	44-33									
419	盐	∅	iɛ	21									
420	接	tɕ	iɛ	21									
	瞻	ts	æ	44-33									
421	折	ts	æ	21									
	斩	ts	æ	45									
	站	ts	æ	13									
422	叶	∅	iɛ	21									
423	剑	tɕ	iɛ	13									
424	欠	tɕʰ	iɛ	13									
425	严	n	iɛ	21									
426	业	n	iɛ	21									
427	点	t	iɛ	45									
428	店	t	iɛ	13									
429	添	tʰ	iɛ	44-33									
430	甜	tʰ	iɛ	21									
431	念	n	iɛ	13									
432	嫌	ɕ	iɛ	21									
	跶	t	a	21	跌								
	跌	t	iɛ	21									
434	贴	tʰ	iɛ	21									
435	碟	t	iɛ	21									
436	协	ɕ	iɛ	21									
437	犯	f	æ	13									
438	法	f	a	21									
439	品	pʰ	in	45									
	林	n	in	21									
	浸	tɕʰ	in	13									
	心	ɕ	in	44-33									
	寻	ɕ	yn	21									
	沉	tsʰ	ən	21									
	参	s	ən	44-33									
	参	tsʰ	æ	44-33									
	针	ts	ən	44-33									
	深	s	ən	44-33									
	任	z	ən	13									
	金	tɕ	in	44-33									
450	琴	tɕʰ	in	21									
451	音	∅	in	44-33									
452	立	n	i	21									
453	集	tɕ	i	21									
454	习	ɕ	i	21									
453	集	tɕ	ʑ̩	21									
454	习	ɕ	ʑ̩	21									
455	汁	ts	ɿ	21									
456	十	s	ɿ	21									
457	入	z	uᶹ	21									
458	急	tɕ	ʑ̩	21									
459	及	tɕ	ʑ̩	21									
460	吸	ɕ	ʑ̩	21									
458	急	tɕ	i	21									
459	及	tɕ	i	21									
460	吸	ɕ	i	21									
461	单	t	æ	44-33									
	摊	tʰ	æ	44-33									
	坦	tʰ	æ	45									
462	炭	tʰ	æ	13									
463	弹	tʰ	æ	21									
464	难	n	æ	21									
465	兰	n	æ	21									
466	懒	n	æ	45									
	勒	n	æ	21									
	览	n	æ	45									
467	烂	n	æ	13									
468	伞	s	æ	45									
469	肝	k	æ	44-33									
	龛	kʰ	æ	44-33									
	砍	kʰ	æ	45									
470	看	kʰ	æ	13									
471	岸	ŋ	æ	13									
	谙	ŋ	æ	21	估计								
472	汉	x	æ	13									
473	汗	x	æ	13									
474	安	ŋ	æ	44-33									
475	达	t	a	21									
476	辣	n	a	21									
477	擦	tsʰ	a	21									
478	割	k	o	21									
479	渴	kʰ	o	21									
480	扮	p	æ	13									
481	办	p	æ	13									
482	铲	tsʰ	uæ	45									
483	山	s	æ	44-33									
484	产	tsʰ	uæ	45									
	产	tsʰ	æ	45									
	忏	tsʰ	æ	13									
485	间	k	æ	44-33	白								
485	间	tɕ	iɛ	44-33									
486	眼	∅	iɛ	45									
487	限	ɕ	iɛ	13									
488	八	p	a	21									
489	扎	ts	a	21									
490	杀	s	a	21									
491	班	p	æ	44-33									
492	板	p	æ	45									
493	慢	m	æ	13									
494	奸	tɕ	iɛ	44-33									
495	颜	∅	iɛ	21									
496	瞎	ɕ	ia	21									
497	变	p	iɛ	13									
498	骗	pʰ	iɛ	13									
499	便	p	iɛ	13									
500	棉	m	iɛ	21									
501	面	m	iɛ	13									
502	连	n	iɛ	21									
503	剪	tɕ	iɛ	45									
504	浅	tɕʰ	iɛ	45									
505	钱	tɕʰ	iɛ	21									
506	鲜	ɕ	yɛ	44-33									
507	线	ɕ	iɛ	13									
508	缠	tsʰ	æ	21									
509	战	ts	æ	13									
	散	s	æ	13									
510	扇	s	æ	13									
	扇	s	æ	44-33									
511	善	s	æ	13									
512	件	tɕ	iɛ	13									
513	延	∅	iɛ	21									
514	别	p	iɛ	21									
515	灭	m	iɛ	21									
516	列	n	iɛ	21									
517	撤	tsʰ	æ	21									
518	舌	s	æ	21									
519	设	s	æ	21									
520	热	z	æ	21									
521	杰	tɕ	iɛ	21									
522	孽	n	iɛ	21									
523	建	tɕ	iɛ	13									
524	健	tɕ	iɛ	13									
525	言	∅	iɛ	21									
526	歇	ɕ	iɛ	21									
527	扁	p	iɛ	45									
528	片	pʰ	iɛ	13									
529	面	m	iɛ	13									
530	典	t	iɛ	45									
531	天	tʰ	iɛ	44-33									
532	田	tʰ	iɛ	21									
	垫	t	iɛ	13									
534	年	n	iɛ	21									
535	莲	n	iɛ	21									
536	前	tɕʰ	iɛ	21									
537	先	ɕ	iɛ	44-33									
538	肩	tɕ	iɛ	44-33									
539	见	tɕ	iɛ	13									
540	牵	tɕʰ	iɛ	44-33									
541	显	ɕ	iɛ	45									
542	现	ɕ	iɛ	13									
543	烟	∅	iɛ	44-33									
	憋	p	iɛ	44-33									
545	篾	m	iɛ	21									
546	铁	tʰ	iɛ	21									
547	捏	n	iɛ	21									
548	节	tɕ	iɛ	21									
549	切	tɕʰ	iɛ	21									
550	截	tɕ	iɛ	21									
551	结	tɕ	iɛ	21									
552	搬	p	æ	44-33									
553	半	p	æ	13									
554	判	pʰ	æ	13									
	潘	pʰ	æ	44-33									
555	盘	pʰ	æ	21									
	盼	pʰ	æ	13									
	瞒	m	æ	21									
556	满	m	æ	45									
	曼	m	æ	13									
557	端	t	uæ	44-33									
558	短	t	uæ	45									
559	断	t	uæ	13									
560	暖	n	uæ	45									
561	乱	n	uæ	13									
562	酸	s	uæ	44-33									
563	算	s	uæ	13									
564	官	k	uæ	44-33									
565	宽	kʰ	uæ	44-33									
566	欢	x	uæ	44-33									
567	完	∅	uæ	21									
568	换	x	uæ	13									
569	碗	∅	uæ	45									
570	拨	p	o	21									
571	泼	pʰ	o	21									
572	末	m	o	21									
573	脱	tʰ	o	21									
574	夺	t	o	21									
575	阔	kʰ	o	21									
576	活	x	o	21									
577	顽	∅	uæ	21									
578	滑	x	ua	21									
579	挖	∅	ua	44-33									
580	闩	s	uæ	13									
581	关	k	uæ	44-33									
582	惯	k	uæ	13									
583	还	x	uæ	21									
584	还	x	ai	21									
585	弯	∅	uæ	44-33									
586	刷	s	ua	21									
587	刮	k	ua	21									
588	全	tɕʰ	yɛ	21									
589	选	ɕ	yɛ	45									
590	转	ts	uæ	45									
591	传	tsʰ	uæ	21									
592	传	ts	uæ	13									
593	砖	ts	uæ	44-33									
594	船	tsʰ	uæ	21									
595	软	z	uæ	45									
596	卷	tɕ	yɛ	45									
597	圈	tɕʰ	yɛ	44-33									
598	权	tɕʰ	yɛ	21									
599	圆	∅	yɛ	21									
600	院	∅	yɛ	13									
601	铅	tɕʰ	iɛ	44-33									
602	绝	tɕ	yɛ	21									
603	雪	ɕ	yɛ	21									
604	反	f	æ	45									
	番	f	æ	44-33									
605	翻	f	æ	44-33									
	烦	f	æ	21									
606	饭	f	æ	13									
607	晚	∅	uæ	45									
608	万	∅	uæ	13									
609	劝	tɕʰ	yɛ	13									
610	原	∅	yɛ	21									
611	冤	∅	yɛ	44-33									
612	园	∅	yɛ	21									
613	远	∅	yɛ	45									
614	发	f	a	21									
615	罚	f	a	21									
616	袜	∅	ua	21									
617	月	∅	yɛ	21									
618	越	∅	yɛ	21									
619	县	ɕ	iɛ	13									
620	决	tɕ	yɛ	21									
621	缺	tɕʰ	yɛ	21									
622	血	ɕ	yɛ	21									
623	吞	tʰ	ən	44-33									
624	根	k	ən	44-33									
625	恨	x	ən	13									
626	恩	ŋ	ən	44-33									
627	贫	pʰ	in	21									
628	民	m	in	21									
629	邻	n	in	21									
630	进	tɕ	in	13									
631	亲	tɕʰ	in	44-33									
632	新	ɕ	in	44-33									
	镇	ts	ən	13									
634	陈	tsʰ	ən	21									
635	震	ts	ən	13									
636	神	s	ən	21									
637	身	s	ən	44-33									
638	辰	s	ən	21									
639	人	z	ən	21									
640	认	z	ən	13									
641	紧	tɕ	in	45									
642	银	∅	in	21									
643	印	∅	in	13									
	引	∅	in	45									
645	笔	p	i	21									
646	匹	pʰ	i	21									
647	密	m	i	21									
648	栗	n	i	21									
649	七	tɕʰ	i	21									
649	七	tɕʰ	ʑ̩	21									
650	侄	ts	ɿ	21									
651	虱	s	æ	21									
652	实	s	ɿ	21									
653	失	s	ɿ	21									
654	日	z	ɿ	21									
655	吉	tɕ	i	21									
656	一	∅	i	21									
656	一	∅	ʑ̩	21									
657	筋	tɕ	in	44-33									
658	劲	tɕ	in	13									
659	勤	tɕʰ	in	21									
660	近	tɕ	in	13									
661	隐	∅	in	45									
662	本	p	ən	45									
663	盆	pʰ	ən	21									
664	门	m	ən	21									
665	墩	t	ən	44-33									
666	嫩	n	ən	13									
667	村	tsʰ	ən	44-33									
668	寸	tsʰ	ən	13									
669	蹲	t	ən	44-33									
670	孙	s	ən	44-33									
671	滚	k	uən	45									
672	困	kʰ	uən	13									
673	婚	x	uən	44-33									
674	魂	x	uən	21									
675	温	∅	uən	44-33									
676	不	p	uᶹ	21									
676	卒	ts	uᶹ	21									
677	骨	k	uᶹ	21									
678	轮	n	ən	21									
679	俊	tɕ	yn	13									
680	笋	s	ən	45									
681	准	ts	uən	45									
682	春	tsʰ	uən	44-33									
683	唇	s	uən	21									
684	顺	s	uən	13									
685	纯	s	uən	21									
686	闰	z	uən	13									
687	均	tɕ	yn	44-33									
688	匀	∅	yn	21									
689	律	n	y	21									
690	出	tsʰ	uᶹ	21									
691	橘	tɕ	yu	21									
692	分	f	ən	44-33									
693	粉	f	ən	45									
694	粪	f	ən	13									
695	坟	f	ən	21									
696	蚊	∅	uən	21									
697	问	∅	uən	13									
698	军	tɕ	yn	44-33									
699	倾	tɕʰ	yn	44-33									
699	裙	tɕʰ	yn	21									
699	顷	tɕʰ	yn	45									
700	熏	ɕ	yn	44-33									
701	云	∅	yn	21									
702	运	∅	yn	13									
703	佛	f	uᶹ	21									
704	物	v	uᶹ	21									
705	帮	p	aŋ	44-33									
706	忙	m	aŋ	21									
707	党	t	aŋ	45									
708	汤	tʰ	aŋ	44-33									
709	糖	tʰ	aŋ	21									
710	浪	n	aŋ	13									
711	仓	tsʰ	aŋ	44-33									
712	钢	k	aŋ	44-33									
713	糠	kʰ	aŋ	44-33									
714	薄	p	o	21									
715	摸	m	o	44-33									
716	托	tʰ	o	21									
717	落	n	o	21									
718	作	ts	o	21									
719	索	s	o	21									
	哥	k	o	44-33									
720	各	k	o	21									
721	鹤	x	o	21									
722	恶	∅	o	21									
723	娘	n	iaŋ	21									
724	两	n	iaŋ	45									
725	亮	n	iaŋ	13									
724	辆	n	iaŋ	45									
726	浆	tɕ	iaŋ	44-33									
727	抢	tɕʰ	iaŋ	45									
728	匠	tɕ	iaŋ	13									
729	想	ɕ	iaŋ	45									
730	像	tɕʰ	iaŋ	13									
730	像	ɕ	iaŋ	13	文								
731	张	ts	aŋ	44-33									
732	长	tsʰ	aŋ	21									
	装	ts	uaŋ	44-33									
734	壮	ts	uaŋ	13									
735	疮	tsʰ	uaŋ	44-33									
736	床	tsʰ	uaŋ	21									
737	霜	s	uaŋ	44-33									
738	章	ts	aŋ	44-33									
739	厂	tsʰ	aŋ	45									
740	唱	tsʰ	aŋ	13									
741	伤	s	aŋ	44-33									
742	尝	s	aŋ	21									
743	上	s	aŋ	13									
	让	z	aŋ	13									
745	姜	tɕ	iaŋ	44-33									
746	响	ɕ	iaŋ	45									
747	向	ɕ	iaŋ	13									
748	秧	∅	iaŋ	44-33									
749	痒	∅	iaŋ	45									
750	样	∅	iaŋ	13									
751	雀	tɕʰ	io	21									
752	削	ɕ	io	21									
752	削	ɕ	yɛ	21	文								
753	着	ts	o	21									
754	勺	s	o	21									
755	弱	z	o	21									
756	脚	tɕ	io	21									
757	约	∅	io	21									
758	药	∅	io	21									
758	略	n	io	21									
759	光	k	uaŋ	44-33									
759	广	k	uaŋ	45									
759	逛	k	uaŋ	13									
760	慌	x	uaŋ	44-33									
761	黄	x	uaŋ	21									
762	郭	k	o	21									
763	龚	tɕ	ioŋ	44-33									
764	方	f	aŋ	44-33									
765	放	f	aŋ	13									
766	纺	f	aŋ	45									
767	房	f	aŋ	21									
768	防	f	aŋ	21									
769	网	∅	uaŋ	45									
770	筐	kʰ	uaŋ	44-33									
771	狂	kʰ	uaŋ	21									
772	汪	∅	uaŋ	44-33									
772	王	∅	uaŋ	21									
773	旺	∅	uaŋ	13									
775	绑	p	aŋ	45									
776	胖	pʰ	aŋ	13									
777	棒	p	aŋ	13									
778	桩	ts	uaŋ	44-33									
779	撞	ts	uaŋ	13									
780	窗	tsʰ	uaŋ	44-33									
781	双	s	uaŋ	44-33									
781	爽	s	uaŋ	45									
782	江	tɕ	iaŋ	44-33									
783	讲	tɕ	iaŋ	45									
784	降	ɕ	iaŋ	21									
785	项	x	aŋ	13									
786	剥	p	o	21									
787	桌	ts	o	21									
788	镯	ts	uᶹ	21									
788	镯	ts	o	21	文								
789	角	k	o	21									
789	角	tɕ	io	21	文								
790	壳	kʰ	o	21									
791	学	ɕ	io	21									
792	握	∅	o	21									
793	朋	pʰ	oŋ	21									
793	朋	pʰ	ən	21									
794	灯	t	ən	44-33									
795	等	t	ən	45									
796	凳	t	ən	13									
797	藤	tʰ	ən	21									
