註：
1.“今音”一欄的音值來自《淮安市誌·方言編》。
2.調號：1=陰平42	2=陽平24
3=上聲212/11	4=去聲44
5=入聲4。	古今音差異總結：
1.*iʔ與*iɪʔ合流爲iɪʔ。
2.*uʔ>ɔʔ。
3.*ɑʔ>ʌʔ。
4.*ʊʔ>oʔ。
5.沒*məʔ>moʔ。
6.迫*ʊʔ>ɔʔ。
7.恩*ɻən>ən。
8.埋獃苔奶腮*iɛ>ɛ；皆*ʨiɛ>ʨiɛ／ʦɛ。
9.*iuʔ／*yʔ>iɔʔ
10.屈*yʔ>yɪʔ
11.衰*ɕyei>suɛ，摔上聲變去聲。
12.*ei>ɛi（存疑）。
今音	*擬音	調	字
mʌʔ	mɑʔ	5	漠幕摸膜
mʊ̃	mʊ̃	2	瞞饅
mʊ̃	mʊ̃	3	滿
mʊ̃	mʊ̃	4	幔漫
moʔ	mʊʔ	5	末沫脈墨
fu	fu	1	夫麩敷
fu	fu	2	扶浮符
fu	fu	3	府斧腐
fu	fu	4	父富副付婦
fuŋ	fuŋ	1	風瘋豐蜂
fuŋ	fuŋ	2	縫
fuŋ	fuŋ	3	諷
fuŋ	fuŋ	4	奉俸
fɔʔ	fuʔ	5	袱服福幅
fʊ	fʊ	2	抔
fʊ	fʊ	3	否
fɛi	fei	1	飛妃
fɛi	fei	2	肥
fɛi	fei	3	匪
fɛi	fei	4	肺費廢疿（痱）
fæ̃	fæ̃	1	番翻
fæ̃	fæ̃	2	煩礬
fæ̃	fæ̃	3	反阪
fæ̃	fæ̃	4	飯販犯
fæʔ	fæʔ	5	法發罰髮
fən	fən	1	分紛
fən	fən	2	焚墳
fən	fən	3	粉
fən	fən	4	份糞
fəʔ	fəʔ	5	佛彿拂
fɑŋ	fɑŋ	1	方妨坊
fɑŋ	fɑŋ	2	房防
fɑŋ	fɑŋ	3	仿紡
fɑŋ	fɑŋ	4	放
未錄	fɑʔ	5	縛
tu	tu	1	都
tu	tu	3	睹肚
tu	tu	4	渡鍍肚妬
tuŋ	tuŋ	1	東冬
tuŋ	tuŋ	3	董懂
tuŋ	tuŋ	4	洞凍動
tɔʔ	tuʔ	5	讀獨毒
ta	ta	3	打
ta	ta	4	大
tʊ	tʊ	1	多
tʊ	tʊ	3	朶躲
tʊ	tʊ	4	惰舵
tɛi	tei	1	堆
tɛi	tei	4	對隊兌碓
tɔ	tɔ	1	刀
tɔ	tɔ	3	倒禱擣
tɔ	tɔ	4	到道盜稻倒
tɤɯ	tɤɯ	1	兜
tɤɯ	tɤɯ	3	斗抖陡
tɤɯ	tɤɯ	4	豆痘鬭
tæ̃	tæ̃	1	單擔躭
tæ̃	tæ̃	3	膽啖（吃）撣
tæ̃	tæ̃	4	蛋淡擔
tæʔ	tæʔ	5	答搭
tən	tən	1	登燈蹲
tən	tən	3	等戥
tən	tən	4	頓鈍瞪
təʔ	təʔ	5	得跺德特
tɑŋ	tɑŋ	1	當
tɑŋ	tɑŋ	3	黨擋
tɑŋ	tɑŋ	4	宕當
未錄	tɑʔ	5	踱
tʊ̃	tʊ̃	1	端桝（酒～子）
tʊ̃	tʊ̃	3	短
tʊ̃	tʊ̃	4	斷段緞
toʔ	tʊʔ	5	奪
tʰu	tʰu	2	圖屠徒
tʰu	tʰu	3	土吐
tʰu	tʰu	4	兔
tʰuŋ	tʰuŋ	1	通
tʰuŋ	tʰuŋ	2	同桐銅童
tʰuŋ	tʰuŋ	3	桶統
tʰuŋ	tʰuŋ	4	痛
tʰɔʔ	tʰuʔ	5	禿
tʰa	tʰa	1	他
tʰʊ	tʰʊ	1	拖
tʰʊ	tʰʊ	2	駝馱
tʰʊ	tʰʊ	3	妥
tʰʊ	tʰʊ	4	唾
tʰɛi	tʰei	1	推
tʰɛi	tʰei	2	頹
tʰɛi	tʰei	3	腿
tʰɛi	tʰei	4	退
tʰɔ	tʰɔ	1	滔掏
tʰɔ	tʰɔ	2	桃逃淘萄
tʰɔ	tʰɔ	3	討
tʰɔ	tʰɔ	4	套
tʰɤɯ	tʰɤɯ	1	偷
tʰɤɯ	tʰɤɯ	2	頭
tʰɤɯ	tʰɤɯ	3	投
tʰɤɯ	tʰɤɯ	4	透（～氣 煮～了）
tʰæ̃	tʰæ̃	1	貪癱灘攤
tʰæ̃	tʰæ̃	2	談痰罈彈
tʰæ̃	tʰæ̃	3	毯
tʰæ̃	tʰæ̃	4	炭歎
tʰæʔ	tʰæʔ	5	塔（踏）
tʰən	tʰən	1	吞
tʰən	tʰən	2	疼騰飩（餛～（小餃子））藤謄
tʰən	tʰən	4	褪
tʰəʔ	tʰəʔ	5	突
tʰɑŋ	tʰɑŋ	1	湯
tʰɑŋ	tʰɑŋ	2	堂膛棠糖塘搪
tʰɑŋ	tʰɑŋ	3	淌躺
tʰɑŋ	tʰɑŋ	4	燙趟
tʰʌʔ	tʰɑʔ	5	托託
tʰʊ̃	tʰʊ̃	1	湍
tʰʊ̃	tʰʊ̃	2	團
tʰoʔ	tʰʊʔ	5	脫
lu	lu	2	如蘆爐
lu	lu	3	汝滷乳
lu	lu	4	路露
luŋ	luŋ	2	農濃膿龍聾籠礱（去稻殼的小磨子 又去聲）
luŋ	luŋ	3	攏
luŋ	luŋ	4	弄礱（去稻殼的小磨子 又平聲）
lɔʔ	luʔ	5	六陸綠鹿漉
la	la	1	拉
la	la	2	拿
la	la	3	那（哪個）
la	la	4	那（那個）
lʊ	lʊ	1	螺
lʊ	lʊ	2	奴羅蘿鑼挪騾
lʊ	lʊ	3	努
lʊ	lʊ	4	怒糯
lɛi	lei	2	雷擂梨狸離璃
lɛi	lei	3	磊裏里裏理鯉李禮
lɛi	lei	4	淚累內例利痢
lɔ	lɔ	2	牢勞撈
lɔ	lɔ	3	老腦惱
lɔ	lɔ	4	鬧
lɤɯ	lɤɯ	2	樓
lɤɯ	lɤɯ	3	簍摟
lɤɯ	lɤɯ	4	漏
læ̃	læ̃	2	男南難攔藍籃
læ̃	læ̃	3	懶攬
læ̃	læ̃	4	爛難纜（扣船的大繩）
læʔ	læʔ	5	捺辣臘
lən	lən	2	能輪
lən	lən	3	冷
lən	lən	4	嫩
ləʔ	ləʔ	5	肋勒
lɑŋ	lɑŋ	2	郞廊狼囊
lɑŋ	lɑŋ	3	朗
lɑŋ	lɑŋ	4	浪晾
lʌʔ	lɑʔ	5	落烙
lʊ̃	lʊ̃	2	鸞
lʊ̃	lʊ̃	3	煖
lʊ̃	lʊ̃	4	亂
未錄	lʊʔ	5	捋（在樹枝等類的長東西上 拿手勒着往下抹）
ku	ku	1	姑孤箍
ku	ku	3	古鼓股
ku	ku	4	故僱顧
kuŋ	kuŋ	1	弓公工功供恭
kuŋ	kuŋ	3	拱
kuŋ	kuŋ	4	共供
kɔʔ	kuʔ	5	國穀
kʊ	kʊ	1	哥歌鍋
kʊ	kʊ	3	果裹
kʊ	kʊ	4	個个過
kɛ	kɛ	1	街該稭
kɛ	kɛ	3	改
kɛ	kɛ	4	蓋概
kɔ	kɔ	1	高篙糕膏
kɔ	kɔ	3	稿
kɔ	kɔ	4	吿窖酵（發麵的～）
kɤɯ	kɤɯ	1	勾鉤溝
kɤɯ	kɤɯ	3	狗
kɤɯ	kɤɯ	4	垢夠
kæ̃	kæ̃	1	干肝竿乾
kæ̃	kæ̃	3	敢感趕碱
kæ̃	kæ̃	4	幹
kæʔ	kæʔ	5	夾
kən	kən	1	耕根更羹
kən	kən	2	梗
kən	kən	4	更
kəʔ	kəʔ	5	格隔膈
kɑŋ	kɑŋ	1	剛鋼缸
kɑŋ	kɑŋ	3	港
kɑŋ	kɑŋ	4	槓
kʌʔ	kɑʔ	5	各角閣擱
kʊ̃	kʊ̃	1	官棺
kʊ̃	kʊ̃	3	管館
kʊ̃	kʊ̃	4	罐灌
koʔ	kʊʔ	5	割蛤（蛤蜊）鴿
kʰu	kʰu	1	枯
kʰu	kʰu	3	苦
kʰu	kʰu	4	庫褲絝
kʰuŋ	kʰuŋ	1	空
kʰuŋ	kʰuŋ	3	孔恐
kʰuŋ	kʰuŋ	4	控
kʰɔʔ	kʰuʔ	5	哭
kʰa	kʰa	3	卡
kʰʊ	kʰʊ	1	科棵
kʰʊ	kʰʊ	3	可
kʰʊ	kʰʊ	4	課錁
kʰɛ	kʰɛ	1	開
kʰɛ	kʰɛ	3	鎧
kʰɔ	kʰɔ	1	尻
kʰɔ	kʰɔ	3	考烤
kʰɔ	kʰɔ	4	靠
kʰɤɯ	kʰɤɯ	3	口
kʰɤɯ	kʰɤɯ	4	扣
kʰæ̃	kʰæ̃	1	鉛龕
kʰæ̃	kʰæ̃	2	嵌（～住了）
kʰæ̃	kʰæ̃	3	砍
kʰæ̃	kʰæ̃	4	看
kʰæʔ	kʰæʔ	5	掐
kʰən	kʰən	1	坑
kʰən	kʰən	3	肯墾
kʰən	kʰən	4	掯
kʰəʔ	kʰəʔ	5	客刻咳
kʰɑŋ	kʰɑŋ	1	康糠
kʰɑŋ	kʰɑŋ	2	抗
kʰɑŋ	kʰɑŋ	3	慷
kʰɑŋ	kʰɑŋ	4	抗炕
kʰʌʔ	kʰɑʔ	5	殼壳
kʰʊ̃	kʰʊ̃	1	寬
kʰʊ̃	kʰʊ̃	3	款欵
kʰoʔ	kʰʊʔ	5	渴闊
xu	xu	1	呼鼾
xu	xu	2	胡湖蝴鬍狐壺
xu	xu	3	虎
xu	xu	4	戶護
xuŋ	xuŋ	1	烘
xuŋ	xuŋ	2	紅
xuŋ	xuŋ	3	哄
xuŋ	xuŋ	4	橫
xɔʔ	xuʔ	5	或惑斛獲
xa	xa	3	哈（～～（笑聲））
xʊ	xʊ	1	呵
xʊ	xʊ	2	何荷河和
xʊ	xʊ	3	火伙
xʊ	xʊ	4	貨禍
xɛ	xɛ	1	咳（咳聲嘆氣）
xɛ	xɛ	2	鞋孩
xɛ	xɛ	3	海
xɛ	xɛ	4	害駭
xɔ	xɔ	1	蒿（茼～ 青～）
xɔ	xɔ	2	毫號
xɔ	xɔ	3	好
xɔ	xɔ	4	號耗好
xɤɯ	xɤɯ	2	喉猴
xɤɯ	xɤɯ	3	吼
xɤɯ	xɤɯ	4	厚後
xæ̃	xæ̃	1	酣
xæ̃	xæ̃	2	含寒鹹啣（～在嘴裏）
xæ̃	xæ̃	3	喊
xæ̃	xæ̃	4	汗旱釬（銲）銲漢餡
xæʔ	xæʔ	5	瞎
xən	xən	1	哼
xən	xən	2	恆
xən	xən	3	很狠
xən	xən	4	恨
xəʔ	xəʔ	5	黑嚇
xɑŋ	xɑŋ	2	杭航行
xɑŋ	xɑŋ	3	夯（用力把東西舉起來）
xɑŋ	xɑŋ	4	巷
xʌʔ	xɑʔ	5	鶴郝顎（上～子）
xʊ̃	xʊ̃	1	歡
xʊ̃	xʊ̃	3	緩
xʊ̃	xʊ̃	4	換喚
xoʔ	xʊʔ	5	合活盒喝
ɻuŋ	ɻuŋ	2	絨
ɻuŋ	ɻuŋ	3	冗
ɻɔʔ	ɻuʔ	5	肉辱褥
ɻɔ	ɻɔ	2	饒
ɻɔ	ɻɔ	3	繞擾
ɻɤɯ	ɻɤɯ	2	柔揉
ɻɤɯ	ɻɤɯ	4	肉
ən	(ɻ)ən	1	恩
ɻən	(ɻ)ən	2	人仁仍
ɻən	(ɻ)ən	3	忍
ɻən	(ɻ)ən	4	閏潤硬認
ɻəʔ	ɻəʔ	5	入日
ɻɑŋ	(ɻ)ɑŋ	2	瓤
ɻɑŋ	(ɻ)ɑŋ	3	嚷
ɻɑŋ	(ɻ)ɑŋ	4	讓
ɻʌʔ	ɻɑʔ	5	若偌
ɻʊ̃	ɻʊ̃	3	阮軟
kua	kua	1	瓜
kua	kua	3	寡褂掛
kuɛ	kuɛ	1	乖
kuɛ	kuɛ	3	拐怪
kuɛi	kuei	1	歸規龜
kuɛi	kuei	3	鬼詭
kuɛi	kuei	4	貴桂跪櫃
kuæ̃	kuæ̃	1	關
kuæ̃	kuæ̃	4	慣
kuæʔ	kuæʔ	5	刮
kuən	kuən	3	滾
kuən	kuən	4	棍
kuəʔ	kuəʔ	5	骨
kuɑŋ	kuɑŋ	1	光
kuɑŋ	kuɑŋ	3	廣
kuɑŋ	kuɑŋ	4	逛
kuʌʔ	kuɑʔ	5	郭
kʰua	kʰua	1	誇
kʰua	kʰua	3	奤（北方人叫～子）
kʰua	kʰua	4	跨
kʰuɛ	kʰuɛ	3	蒯
kʰuɛ	kʰuɛ	4	快塊
kʰuɛi	kʰuei	1	虧
kʰuɛi	kʰuei	2	葵
kʰuɛi	kʰuei	4	愧饋
kʰuæ̃	kʰuæ̃	2	環（耳～ 鐵～）
kʰuən	kʰuən	1	坤
kʰuən	kʰuən	3	綑
kʰuən	kʰuən	4	困
kʰuəʔ	kʰuəʔ	5	窟
kʰuɑŋ	kʰuɑŋ	1	框
kʰuɑŋ	kʰuɑŋ	2	狂
kʰuɑŋ	kʰuɑŋ	4	況礦鑛
kʰuʌʔ	kʰuɑʔ	5	廓擴
xua	xua	1	花
xua	xua	2	華划
xua	xua	4	化話畫
xuɛ	xuɛ	2	懷淮槐
xuɛ	xuɛ	4	壞
xuɛi	xuei	1	灰徽
xuɛi	xuei	2	回
xuɛi	xuei	3	悔毀
xuɛi	xuei	4	會惠匯
xuæ̃	xuæ̃	2	還
xuæ̃	xuæ̃	4	患幻
xuæʔ	xuæʔ	5	滑
xuən	xuən	1	昏婚葷
xuən	xuən	2	渾魂
xuən	xuən	3	渾（不說明了）
xuən	xuən	4	混鯶
xuəʔ	xuəʔ	5	忽核
xuɑŋ	xuɑŋ	1	荒慌
xuɑŋ	xuɑŋ	2	黃皇蝗隍
xuɑŋ	xuɑŋ	3	謊幌（～子）
xuɑŋ	xuɑŋ	4	晃
xuʌʔ	xuɑʔ	5	霍
ua	ua	1	蛙
ua	ua	2	娃
ua	ua	3	瓦
ua	ua	4	窪
uɛ	uɛ	1	歪
uɛ	uɛ	4	外
uɛi	uei	1	威煨
uɛi	uei	2	圍爲惟微
uɛi	uei	3	委尾
uɛi	uei	4	未味衛位喂
uæ̃	uæ̃	1	彎灣
uæ̃	uæ̃	2	頑
uæ̃	uæ̃	3	晚
uæ̃	uæ̃	4	萬万
uæʔ	uæʔ	5	挖襪
uən	uən	1	溫
uən	uən	2	文蚊紋聞
uən	uən	3	穩
