汉字	注释	大槐树	赵城	辛村	山头	堤村	淹底
夏	姓	ɕia53	ɕia53	ɕia53	ɕia53	ɕia53	ɕia53
下	～降	ɕia53	ɕia53	ɕia53	ɕia53	ɕia53	ɕia53
鸦		ia21	ia21	ia21	ia21	ia21	ia21
丫	～头	ia21	ia21	ia21	ia21	ia21	ia21
哑		ȵia42	ȵia42	ȵia42	ȵia42	ȵia42	ȵia42
姐		ʨie24	ʨie24	ʨie24	ʨie24	ʨie24	ʨie44
借		ʨia33	ʨia24	ʨia44	ʨia24	ʨia24	ʨia44
些		ɕia24	ɕia24	ɕia24	ɕia24	ɕia24	ɕia24
写		ɕia42	ɕia42	ɕia42	ɕia42	ɕia42	ɕie42
邪		ɕie24	ɕie24	ɕie24	ɕie24	ɕie24	ɕie24
斜		ɕia24	ɕia24	ɕia24	ɕia24	ɕia24	ɕia24
谢		ɕie53	ɕie53	ɕie53	ɕie53	ɕie53	ɕie53
爹		tie21	tie21	tie21	tie21	tie21	-
遮		tʂa21	tʂa21	tʂa21	tʂa21	tʂa21	ʦa21
车	马～	tʂʰe21	tʂʰɤ21	tʂʰa21	tʂʰe21	tʂʰa21	tʂʰe21
扯		tʂʰa42	tʂʰɤ42	tʂʰa42	tʂʰa42	tʂʰa42	tʂʰe42
蛇		ʂa24	ʂa24	ʂa24	ʂa24	ʂa24	ʂa24
射		ʂe53	ʂɤ53	ʂe53	ʂe53	ʂe53	ʂe53
麝	～香	ʂe53	ʂɤ53	-	ʂe53	ʂe53	ʂe53
赊		ʂa21	ʂa21	ʂa21	ʂa21	ʂa21	ʂa21
舍		ʂe42	ʂe42	ʂe42	ʂe42	ʂe42	ʂe42
社		ʂe53	ʂɤ53	ʂe53	ʂe53	ʂe53	ʂe53
惹		ʐa53	ʐa53	ʐa53	ʐa42	ʐa42	ʐa42
爷		ia24	ia24	ia24	ia24	ia24	ia24
野		ia42	ia42	ia42	ia42	ia42	ia42
夜		ia53	ia53	ia53	ia53	ia53	ia53
瓜		kua21	kua21	kua21	kua21	kua21	kua21
寡		kua42	kua42	kua42	kua42	kua42	kua42
夸		kʰua21	kʰua21	kʰua21	kʰua21	kʰua21	kʰua21
垮		kʰua42	kʰua42	kʰua42	kʰua42	kʰua42	kʰua42
瓦		ua42	ua42	ua42	ua42	ua42	ua42
花		xua21	xua21	xua21	xua21	xua21	xua21
化		xua53	xua24	xua53	xua24	xua24	xua44
划		xua24	xua24	xua24	xua24	xua24	xua24
华	中～	xua21	xua24	xua24	xua24	xua24	xua24
蛙		ua21	ua21	ua21	ua21	ua21	ua21
补		pu42	pu42	pu42	pu42	pu42	pu42
谱		pʰu42	pʰu21	pʰu21	pʰu24	pʰu42	pʰu42
布		pu33	pu24	pu44	pu24	pu24	pu44
普		pʰu42	pʰu42	pʰu44	pʰu24	pʰu42	pʰu42
铺	店～	pʰu53	pʰu53	pʰu53	pʰu53	pʰu53	pʰu53
部		pʰu53	pʰu53	pʰu53	pʰu53	pʰu53	pʰu53
步		pʰu53	pʰu53	pʰu53	pʰu53	pʰu53	pʰu53
墓		mu53	mu53	mu53	mu53	mu53	mu53
都	～是	tou21	tu21	tou21	tu21	tu21	tou21
堵		tu42	tu42	tu42	tu42	tu42	tu44
赌		tu42	tu42	tu42	tu42	tu42	tu44
土		tʰu42	tʰu42	tʰu42	tʰu42	tʰu42	tʰu42
兔		tʰu53	tʰu53	tʰu53	tʰu53	tʰu53	tʰu53
途		tʰu24	tʰu24	tʰu24	tʰu24	tʰu24	tʰu24
涂		tʰu24	tʰu24	tʰu24	tʰu24	tʰu24	tʰu24
图		tʰu24	tʰu24	tʰu24	tʰu24	tʰu24	tʰu24
杜		tu53	tʰu53	tʰu53	tu53	tu53	tʰu53
肚	腹～	tʰu53	tʰu53	tʰu53	tʰu53	tʰu53	tʰu53
度		tu53	tu53	tu53	tu53	tu53	tu53
渡		tu53	tu53	tu53	tu53	tu53	tu53
奴		nou24	nou24	nou24	nou24	nou24	nou24
努		nou53	nou53	nou53	nou53	nou53	nou53
怒		nou33	nou53	nou44	nou53	nou53	nou44
卢		lou24	lou24	lou24	lou24	lou24	lou24
炉		lou24	lou24	lou24	lou24	lou24	lou24
鲁		lou21	lou21	lou21	lou42	lou42	lou42
路		lou53	lou53	lou53	lou53	lou53	lou53
露		lou53	lou53	lou53	lou53	lou53	lou53
租		ʦou21	ʦou21	ʦou21	ʦou21	ʦou21	ʦou21
祖		ʦou42	ʦou42	ʦou42	ʦou42	ʦou42	ʦou42
组		ʦou42	ʦou42	ʦou42	ʦou42	ʦou42	ʦou42
做		ʦuo21	ʦuo21	ʦuo21	ʦuo21	ʦuo21	ʦuo21
粗		ʦʰou21	ʦʰou21	ʦʰou21	ʦʰou21	ʦʰou21	ʦʰou21
醋		ʦʰou33	ʦʰou24	ʦʰou44	ʦʰou24	ʦʰou24	ʦʰou44
措	～施	ʦʰuo33	ʦʰuo24	ʦʰuo44	ʦʰuo24	ʦʰuo24	ʦʰuo44
错	～误	ʦʰuo33	ʦʰuo24	ʦʰuo44	ʦʰuo24	ʦʰuo24	ʦʰuo44
苏		sou21	sou21	sou21	sou21	sou21	sou21
素		sou33	sou53	sou44	sou53	sou53	sou44
姑		ku21	ku21	ku21	ku21	ku21	ku21
孤		ku21	ku21	ku21	ku21	ku21	ku21
箍		ku21	ku21	ku21	ku21	ku21	ku21
古		ku42	ku42	ku42	ku42	ku42	ku42
估	～计	ku21	ku24	ku21	ku42	ku21	ku42
股		ku42	ku42	ku42	ku42	ku42	ku42
鼓		ku42	ku42	ku42	ku42	ku42	ku42
故		ku33	ku53	ku44	ku53	ku24	ku44
固		ku33	ku42	ku44	ku53	ku21	ku44
雇		ku33	ku24	ku44	ku24	ku24	ku44
枯		kʰu21	kʰu21	kʰu21	kʰu21	kʰu21	kʰu21
苦		kʰu42	kʰu42	kʰu42	kʰu42	kʰu42	kʰu42
库		kʰu33	kʰu24	kʰu44	kʰu24	kʰu42	kʰu44
裤		kʰu33	kʰu24	kʰu44	kʰu24	kʰu24	kʰu44
吴		u24	u24	u24	u24	u24	u24
梧	～桐	u24	u24	u24	u24	u24	u24
五		u53	u53	u53	u53	u53	u53
午		u53	u53	u53	u53	u53	u53
误		u53	u53	u53	u53	u53	u53
虎		xu42	xu42	xu42	xu42	xu42	xu42
浒	水～	xu42	xu42	xu42	xu42	xu42	xu42
胡		xu24	xu24	xu24	xu24	xu24	xu24
湖		xu24	xu24	xu24	xu24	xu24	xu24
狐		xu24	xu24	xu24	xu24	xu24	xu24
壶		xu24	xu24	xu24	xu24	xu24	xu24
户		xu53	xu53	xu53	xu53	xu53	xu53
护		xu53	xu53	xu53	xu53	xu53	xu53
女		ȵy42	ȵy42	ȵy42	ȵy42	ȵy42	ȵy42
驴		ly24	ly24	ly24	ly24	ly24	ly24
吕		ly42	ly42	ly42	ly42	ly42	ly42
旅		ly42	ly42	ly42	ly42	ly42	ly42
滤		ly53	ly53	ly53	ly53	ly53	ly53
蛆	生～	ʨʰy21	ʨʰy21	ʨʰy21	ʨʰy21	ʨʰy21	ʨʰy21
絮		ɕy53	ɕy53	ɕy53	ɕy53	ɕy53	ɕy53
徐		ɕy24	ɕy42	ɕy42	ɕy24	ɕy24	ɕy42
序		ɕy53	ɕy53	ɕy53	ɕy53	ɕy53	ɕy53
绪		ɕy53	ɕy53	ɕy53	ɕy53	ɕy53	ɕy53
猪		tʂu21	tʂu21	tʂu21	tʂu21	tʂu21	tʂu21
除		tʂʰu24	tʂʰu24	tʂʰu24	tʂʰu24	tʂʰu24	tʂʰu24
初	～小	ʦʰou21	ʦʰou21	ʦʰou21	ʦʰou21	ʦʰou21	ʦʰou21
楚		ʦʰou24	ʦʰou24	ʦʰou24	ʦʰou24	ʦʰou24	tʂʰu24
锄		sou24	sou24	sou24	sou24	tʂʰu24	sou24
梳	～头	sou21	sou21	sou21	sou21	sou21	sou21
所		suo24	suo42	suo24	ʂuo42	suo42	so42
诸		tʂu21	tʂu21	tʂu21	tʂu21	tʂu21	tʂu21
煮		tʂu42	tʂu42	tʂu42	tʂu42	tʂu42	tʂu42
书		fu21	ʂu21	fu21	ʂu21	ʂu21	fu21
舒		ʂu21	ʂu21	ʂu21	ʂu21	ʂu21	ʂu21
鼠		fu42	ʂu42	fu42	ʂu42	ʂu42	fu42
如		vu24	ʐu24	vu24	ʐu24	ʐu24	vu24
居		ʨy21	ʨy21	ʨy21	ʨy21	ʨy21	ʨy21
车	～马砲	ʨy21	ʨy21	ʨy21	ʨy21	ʨy21	ʨy21
举		ʨy42	ʨy42	ʨy42	ʨy42	ʨy42	ʨy42
据		ʨy33	ʨy24	ʨy33	ʨy24	ʨy24	ʨy44
锯	～子，～木头	ʨy33	ʨy24	ʨy44	ʨy24	ʨy24	ʨy44
去	来～、～皮	ʨʰy33	ʨʰy24	ʨʰy44	ʨʰy24	ʨʰy24	ʨʰy44
渠		ʨʰy24	ʨʰy24	ʨʰy24	ʨʰy24	ʨʰy24	ʨʰy24
拒		ʨy53	ʨy53	ʨy44	ʨy24	ʨy24	ʨy53
距		ʨy21	ʨy24	ʨy21	ʨy24	ʨy24	ʨy24
鱼		y24	ȵy24	y24	y24	y24	y24
语		y24	y24	y24	y24	y24	y42
虚		ɕy21	ɕy21	ɕy21	ɕy21	ɕy21	ɕy21
许		ɕy42	ɕy24	ɕy42	ɕy24	ɕy24	ɕy42
余		y24	y24	y24	y24	y24	y24
预		y53	y53	y53	y24	y24	y53
豫		y53	y24	y53	y24	y24	y53
夫		fu21	fu21	fu21	fu21	fu21	fu21
府		fu21	fu21	fu21	fu24	fu24	fu44
斧		fu24	fu42	fu24	fu24	fu42	fu42
付		fu33	fu24	fu44	fu24	fu24	fu44
符		fu24	fu24	fu24	fu24	fu24	fu24
扶		fu24	fu24	fu24	fu24	fu24	fu24
父		fu33	fu21	fu21	fu24	fu24	fu21
腐		fu21	fu24	fu21	fu24	fu21	fu24
无		vu24	vu24	vu24	vu24	vu24	vu24
诬		u21	u21	u21	u21	u21	u21
武		vu42	u42	vu42	vu42	vu42	vu42
舞		vu42	u42	vu42	vu42	vu42	vu42
雾		vu33	u21	u44	vu21	u21	vu21
取		ʨʰy42	ʨʰy42	ʨʰy42	ʨʰy42	ʨʰy42	ʨʰy42
趣		ʨʰy33	ʨʰy24	ʨʰy44	ʨʰy24	ʨʰy24	ʨʰy44
需		ɕy21	ɕy21	ɕy21	ɕy21	ɕy21	ɕy21
诛		tʂu21	tʂu21	tʂu21	tʂu21	tʂu21	tʂu21
厨		tʂʰu24	tʂʰu24	tʂʰu24	tʂʰu24	tʂʰu24	tʂʰu24
柱		tʂʰu53	tʂʰu53	tʂʰu53	tʂʰu53	tʂʰu53	tʂʰu53
住		tʂu53	tʂʰu53	tʂu53	tʂu53	tʂu53	tʂu53
朱		tʂu21	tʂu21	tʂu21	tʂu21	tʂu21	tʂu21
珠		tʂu21	tʂu21	tʂu21	tʂu21	tʂu21	tʂu21
主		tʂu42	tʂu42	tʂu42	tʂu42	tʂu42	tʂu42
注		tʂu33	tʂu53	tʂu44	tʂu53	tʂu24	tʂu44
输		fu21	ʂu21	fu21	ʂu21	ʂu21	fu21
殊		fu24	ʂu24	fu24	ʂu24	ʂu24	ʂu24
树		po53	po53	po53	po53	po53	po53
拘		ʨy21	ʨy21	ʨy21	ʨy21	ʨy21	ʨy21
驹		ʨy21	ʨy21	ʨy21	ʨy21	ʨy21	ʨy21
句		ʨy33	ʨy24	ʨy44	ʨy24	ʨy24	ʨy44
区	～域	ʨʰy21	ʨʰy21	ʨʰy21	ʨʰy21	ʨʰy21	ʨʰy21
驱		ʨʰy21	ʨʰy21	ʨʰy21	ʨʰy21	ʨʰy21	ʨʰy21
瞿		ʨʰy24	ʨʰy24	ʨʰy24	ʨʰy24	ʨʰy24	ʨʰy24
遇		y53	y53	y53	y53	y53	y53
于		y24	y24	y24	y24	y24	y24
雨		ȵy42	ȵy42	ȵy42	ȵy42	ȵy42	ȵy42
羽		y42	y24	y42	y24	y24	y42
愉		y24	y24	y24	y24	y24	y24
裕		y21	y21	y21	y24	y21	y21
戴		tai33	tai24	tai44	tai24	tai24	tai44
胎		tʰai21	tʰai21	tʰai21	tʰai21	tʰai21	tʰai21
态		tʰai21	tʰai21	tʰai44	tʰai21	tʰai21	tʰai21
贷		tai33	tai53	tai44	tai53	tai53	tai44
抬		tʰai24	tʰai24	tʰai24	tʰai24	tʰai24	tʰai24
待		tai21	tai21	tai21	tai21	tai21	tai53
代		tai33	tai53	tai44	tai53	tai53	tai44
袋		tai53	tai53	tai53	tai53	tai53	tai53
来		lai24～往/lei24回～	lai24～往/lei24回～	lai24～往/lei24回～	lai24～往/lei24回～	lai24～往/lei24回～	lai24～往/lei24回～
灾		ʦai21	ʦai21	ʦai21	ʦai21	ʦai21	ʦai21
栽		ʦai21	ʦai21	ʦai21	ʦai21	ʦai21	ʦai21
宰		ʦai42	ʦai42	ʦai42	ʦai24	ʦai42	ʦai42
猜		ʦʰai21	ʦʰai21	ʦʰai21	ʦʰai21	ʦʰai21	ʦʰai21
彩		ʦʰai42	ʦʰai42	ʦʰai42	ʦʰai42	ʦʰai42	ʦʰai42
采		ʦʰai42	ʦʰai42	ʦʰai42	ʦʰai42	ʦʰai42	ʦʰai42
睬		ʦʰai42	ʦʰai42	ʦʰai42	ʦʰai42	ʦʰai42	ʦʰai42
菜		ʦʰai33	ʦʰai24	ʦʰai44	ʦʰai24	ʦʰai24	ʦʰai44
材		ʦʰai24	ʦʰai24	ʦʰai24	ʦʰai24	ʦʰai24	ʦʰai24
财		ʦʰai24	ʦʰai24	ʦʰai24	ʦʰai24	ʦʰai24	ʦʰai24
裁		ʦʰai24	ʦʰai24	ʦʰai24	ʦʰai24	ʦʰai24	ʦʰai24
在		ʦʰai53	ʦʰai53	ʦʰai53	ʦʰai53	ʦʰai53	ʦʰai53
该		kai21	kai21	kai21	kai21	kai21	kai21
改		kai42	kai42	kai42	kai42	kai42	kai42
开		kʰei21	kʰei21	kʰei21	kʰei21	kʰei21	kʰai21
海		xai42	xai42	xai42	xai42	xai42	xai42
孩		xai24	xai24	xai24	xai24	xai24	xai24
带		tai33	tai24	tai44	tai24	tai24	tai44
太		tʰai53	tʰai53	tʰai53	tʰai53	tʰai53	tʰai53
泰		tʰai33	tʰai53	tʰai44	tʰai53	tʰai53	tʰai44
奈		nai53	nai53	nai53	nai53	nai53	nai53
蔡		ʦʰai33	ʦʰai24	ʦʰai44	ʦʰai24	ʦʰai24	ʦʰai44
盖		kai33	kai24	kai44	kai24	kai24	kai44
害		xai53	xai53	xai53	xai53	xai53	xai53
排		pʰai24	pʰai24	pʰai24	pʰai24	pʰai24	pʰai24
埋		mai24	mai24	mai24	mai24	mai24	mai24
豺		ʦʰai24	ʦʰai24	ʦʰai24	ʦʰai24	ʦʰai24	ʦʰai24
界		ʨian33	ʨie24	ʨian44	ʨian24	ʨie24	ʨian44
摆		pai42	pai42	pai42	pai42	pai42	pai42
派		pʰai33	pʰai24	pʰai44	pʰai24	pʰai24	pʰai44
牌		pʰai24	pʰai24	pʰai24	pʰai24	pʰai24	pʰai24
买		mai42	mai42	mai42	mai42	mai42	mai42
卖		mai53	mai53	mai53	mai53	mai53	mai53
奶		nai42	nai42	nai42	nai42	nai42	nai42
柴		sai24	sai24	sai24	sai24	sai24	sai24
筛	～子	sai21	sai21	sai21	sai21	sai21	sai21
晒		sai33	sai24	sai44	sai24	sai24	sai44
街		tai21	tai21	tai21	tai21	tai21	tai21
鞋		xai24	xai24	xai24	xai24	xai24	xai24
蟹		ɕie53	ɕie53	ɕie53	ɕie53	ɕie53	ɕie53
矮		ŋai42	ŋai42	ŋai42	ȵie24	ŋai42	ŋai42
败		pʰai53	pʰai53	pʰai53	pai53	pai53	pʰai53
迈		mai53	mai53	mai53	mai53	mai53	mai53
寨		ʦai33	ʦai53	ʦai44	ʦai53	ʦai53	ʦai24
弊		pi53	pi53	pi53	pi53	pi53	pi53
币		pi53	pi53	pi53	pi53	pi53	pi53
厉		li53	li53	li53	li53	li53	li53
祭		ʨi33	ʨi53	ʨi44	ʨi24	ʨi53	ʨi44
际		ʨi33	ʨi21	ʨi21	ʨi21	ʨi21	ʨi44
制		tʂʅ33	tʂʅ24	tʂʅ44	tʂʅ24	tʂʅ24	tʂʅ44
世		ʂʅ33	ʂʅ24	ʂʅ44	ʂʅ24	ʂʅ24	ʂʅ44
势		ʂʅ33	ʂʅ24	ʂʅ44	ʂʅ24	ʂʅ42	ʂʅ44
艺		i33	i53	i44	i53	i53	i24
蓖	～麻	pʰi33	pʰi24	pʰi44	pʰi24	pʰi24	pi44
闭		pi33	pi24	pi44	pi24	pi24	pi44
箅	～子	pi53	pi53	pi53	pi53	pi53	pi53
迷		mi24	mi24	mi24	mi24	mi24	mi24
米		mi42	mi42	mi42	mi42	mi42	mi42
低		ti21	ti21	ti21	ti21	ti21	ti21
底		ti42	ti42	ti42	ti42	ti42	ti42
涕	鼻～	tʰi33	tʰi21	tʰi44	tʰi21	tʰi21	tʰi44
剃		tʰi33	tʰi24	tʰi44	tʰi24	tʰi24	tʰi44
题		tʰi24	tʰi24	tʰi24	tʰi24	tʰi24	tʰi24
提		tʰi24	tʰi24	tʰi24	tʰi24	tʰi24	tʰi24
弟		tʰi53	tʰi53	tʰi53	tʰi53	tʰi53	ti53
泥		ȵi24	ȵi24	ȵi24	ȵi24	ȵi24	ȵi24
礼		li42	li42	li42	li42	li42	li42
挤		ʨi42	ʨi42	ʨi42	ʨi42	ʨi42	ʨi42
妻		ʨʰi21	ʨʰi21	ʨʰi21	ʨʰi21	ʨʰi21	ʨʰi21
齐		ʨʰi24	ʨʰi24	ʨʰi24	ʨʰi24	ʨʰi24	ʨʰi24
脐		ʨʰi24	ʨʰi24	ʨʰi24	ʨʰi24	ʨʰi24	ʨʰi24
西		ɕi21	ɕi21	ɕi21	ɕi21	ɕi21	ɕi21
洗		ɕi42	ɕi42	ɕi42	ɕi42	ɕi42	ɕi42
细		ɕi33	ɕi24	ɕi44	ɕi24	ɕi24	ɕi44
鸡		ti21	ti21	ti21	ti21	ti21	ti21
计		ʨi33	ʨi24	ʨi44	ʨi24	ʨi24	ʨi44
杯		pei21	pei21	pei21	pei21	pei21	pei21
辈		pei53	pei53	pei53	pei53	pei53	pei53
配		pʰei33	pʰei24	pʰei44	pʰei24	pʰei24	pʰei44
陪		pʰei24	pʰei24	pʰei24	pʰei24	pʰei24	pʰei24
赔		pʰei24	pʰei24	pʰei24	pʰei24	pʰei24	pʰei24
倍		pʰei53	pʰei53	pʰei53	pʰei53	pʰei53	pʰei53
佩		pʰei53	pʰei24	pʰei44	pʰei24	pʰei24	pʰei53
梅		mei24	mei24	mei24	mei24	mei24	mei24
煤		mei24	mei24	mei24	mei24	mei24	mei24
每		mei42	mei42	mei42	mei42	mei42	mei42
妹		mei33	mei53	mei44	mei53	mei53	mei44
堆		tuei21	tuei21	tuei21	tuei21	tuei21	tuei21
对		tuei33	tuei24	tuei44	tuei24	tuei24	tuei44
腿		tʰuei53	tʰuei53	tʰuei53	tʰuei53	tʰuei53	tʰuei53
退		tʰuei33	tʰuei24	tʰuei44	tʰuei24	tʰuei24	tʰuei44
队		tuei53	tuei53	tuei53	tuei53	tuei53	tuei53
内		nei33	nei53	nei53	nei53	nei53	nei53
雷		lei24	lei24	lei24	lei24	lei24	lei24
累	极困	lei53	lei53	lei53	lei53	lei53	lei53
崔	姓	ʦʰuei21	ʦʰuei21	ʦʰuei21	ʦʰuei21	ʦʰuei21	ʦʰuei21
罪		ʦuei33	ʦuei53	ʦuei44	ʦuei53	ʦuei53	ʦʰuei44
灰		xuei21	xuei21	xuei21	xuei21	xuei21	xuei21
悔		xuei42	xuei42	xuei42	xuei42	xuei42	xuei42
回		xuei24	xuei24	xuei24	xuei24	xuei24	xuei24
最		ʦuei53	ʦuei53	ʦuei53	ʦuei53	ʦuei53	ʦuei53
外		uai33	uai53	uai44	uai53	uai53	uai44
乖		kuai21	kuai21	kuai21	kuai21	kuai24	kuai21
怪		kuai33	kuai24	kuai44	kuai24	kuai24	kuai44
怀		xuai24	xuai24	xuai24	xuai24	xuai24	xuai24
槐		xuai24	xuai24	xuai24	xuai24	xuai24	xuai24
坏		xuai53	xuai53	xuai53	xuai53	xuai53	xuai53
歪		uai21	uai21	uai21	uai21	uai21	uai21
画		xua53	xua53	xua53	xua53	xua53	xua53
快		kʰuai33	kʰuai24	kʰuai44	kʰuai24	kʰuai24	kʰuai44
筷		kʰuai53	kʰuai24	kʰuai53	kʰuai24	kʰuai24	kʰuai44
话		xua53	xua53	xua53	xua53	xua53	xua53
脆		ʦʰuei33	ʦʰuei24	ʦʰuei44	ʦʰuei24	ʦʰuei24	ʦʰuei44
岁		ɕy53	ɕy24	ɕy53	ɕy24	ɕy24	ɕy53
卫		uei53	uei53	uei53	uei53	uei53	uei53
肺		fei33	fei24	fei44	fei24	fei24	fei44
桂		kuei33	kuei24	kuei44	kuei24	kuei24	kuei44
碑		pei21	pei21	pei21	pei21	pei21	pei21
披		pʰi21	pʰi21	pʰi21	pʰi21	pʰi21	pʰi21
皮		pʰi24	pʰi24	pʰi24	pʰi24	pʰi24	pʰi24
脾		pʰi24	pʰi24	pʰi24	pʰi24	pʰi24	pʰi24
紫		ʦɿ42	ʦɿ42	ʦɿ42	ʦɿ42	ʦɿ42	ʦɿ42
雌		ʦʰɿ24	ʦʰɿ24	ʦʰɿ24	ʦʰɿ24	ʦʰɿ24	ʦʰɿ24
此		ʦʰɿ42	ʦʰɿ24	ʦʰɿ42	ʦʰɿ24	ʦʰɿ24	ʦʰɿ44
