衢州大洲		
#汉字	解释	音标
走	走狗	tsɯ3
凑		tsʰɯ5
钩		kɯ1
狗		kɯ3
够		kɯ5
口		kʰɯ3
藕		ŋɯ2
后		u2
厚		gɯ2
富		fu5
副		fu5
浮		vu2
妇		vu2
流		lɯ2
酒		tʃy3
修		ʃy1
袖		ʒiɯ6
抽		tʃʰiɯ1
绸		dʒiɯ2
愁		zɯ2
瘦		sɯ5
州		tʃiɯ1
臭		tʃʰiɯ5
手		ʃiɯ3
寿		ʒiɯ6
九		tʃiɯ3
球		dʒiɯ2
舅		dʒiɯ2
旧		dʒiɯ6
牛		ɲiɯ2
休		ʃiɯ1
优		iɯ1
有		iɯ2
右		iɯ6
油		iɯ2
丢		te1
幼		iɯ1
搭		taʔ7
贪		tʰã1
踏		daʔ8
潭		dã2
南		nã2
拉		lɑ1
蚕		zã2
杂		dzəʔ8
感		kã3
鸽		kəʔ7
含		gã2
盒		aʔ8
暗		ã5
胆		tã3
毯		tʰã3
塔		tʰaʔ7
淡		dã6
蓝		lã2
蜡		laʔ8
三		sã1
甘		kã1
敢		kã3
喊		xã3
赚		dzã6
插		tsʰaʔ7
闸		zaʔ8
杉		sã1
减	从碗里拨出饭菜	kã3
减	加减	tʃiẽ3
夹		gaʔ8
咸		ã2
衫		sã1
监		tʃiẽ1
甲	指甲	kaʔ7
甲	甲乙	tʃia7
岩		ŋã2
鸭		uɑʔ7
黏		ɲiẽ2
尖		tʃiẽ1
接		tʃiəʔ7
签		tʃʰiẽ1
佔		tsã5
折	打折	tsəʔ7
染		ɲiẽ6
钳		dʒiẽ2
验		ɲiẽ6
险		ʃiẽ3
厌		iẽ5
炎		iẽ2
盐		iẽ2
叶		iəʔ8
剑		tʃiẽ5
欠		tʃʰiẽ5
严		ȵiẽ2
业		ȵiəʔ8
点		tiẽ3
店		tiẽ5
跌		tiəʔ7
添		tʰiẽ1
贴		tʰiəʔ7
甜		diẽ2
碟		diəʔ8
念		ɲiẽ6
嫌		iẽ2
协		ʑiəʔ8
法		faʔ7
犯		vã6
品		pʰən3
林		lən2
立		liəʔ8
浸		tsæ̃5
集		dʒiəʔ8
心		ʃin1
寻		zən2
习		ʑiəʔ8
沉		dzən2
参	人参	sən1
针		tsən1
汁		tʃəʔ7
深		sen1
十		zəʔ8
任	责任	zən6
入		zəʔ8
金		tʃin1
急		tɕiəʔ7
琴		dʒin2
及		dʒiəʔ8
吸		ɕiəʔ7
音		in1
单		tã1
炭		tʰã5
弹	弹琴	dã2
达		daʔ7
难	难易	nã2
兰		lã2
懒		lã2
烂		lã6
辣		laʔ8
擦		tsʰaʔ7
伞		sã3
肝		kã1
干	事干，事情	kã5
割		kəʔ7
渴	读字	kʰəʔ7
岸		ŋã6
汉		xã5
汗		ã6
安		ã1
扮		pã5
八		paʔ7
办		bã6
扎		tsaʔ7
铲		tsʰã3
山		sã1
产	产母	sã3
杀		saʔ7
间	中间	kã1
眼		ŋã2
限		ʒie6
班		pã1
板		pã3
慢		mã6
奸		tʃiẽ1
颜		ŋã2
瞎	读字	xaʔ7
变		piẽ5
别		biəʔ8
骗		pʰie5
便	方便	bie6
棉		mie2
面	脸面	mie6
灭		miəʔ8
连		lie2
列		liəʔ8
剪		tʃiẽ3
浅		tʃʰiẽ3
钱		dʒiẽ2
鲜	新鲜	ʃiẽ1
线		ʃiẽ5
撤		tsʰəʔ7
缠	盘缠	dzã2
战		tsã5
舌		dʒyəʔ8
扇	名词	sã5
设		səʔ7
善		zã6
热	天公热，天气热	ɲyəʔ8
件		dʒiẽ6
杰		dʒiəʔ8
孽		ɲiəʔ8
延		iẽ2
建		tʃiẽ5
健		dʒiẽ6
言		ȵiẽ2
歇		ʃiəʔ7
扁		piẽ3
憋		piəʔ7
片		pʰiẽ5
面	面条	miẽ6
篾		miəʔ8
典		tiẽ3
天		tʰiẽ1
铁		tʰiəʔ7
田		diẽ2
垫		diẽ6
年		ɲiẽ6
捏		ɲiaʔ8
莲		liẽ2
节		tʃiəʔ7
切	切开	tʃʰiəʔ7
前		ʒiẽ2
截		dʒiəʔ8
先		ɕiẽ1
肩		tɕiẽ1
见		iẽ5
结		tʃiəʔ7
牵		tʃʰiẽ1
显		ʃiẽ3
现	现金	ʒiẽ6
烟		iẽ1
搬		bã2
半		pã5
拔		pəʔ7
判		pʰã5
泼		pʰəʔ7
盘		bã2
满		mã3
末		məʔ8
端	端午	tə̃1
短		tã3
脱		tʰəʔ7
断		dən2
夺		dəʔ8
暖		nə̃2
乱		lã6
酸		sã1
算		sã5
官		kuã1
宽		kʰuã1
阔		kʰuaʔ7
欢		xuã1
完		uã2
换		uã2
活		uaʔ8
碗		uã3
顽		uã2
滑		guaʔ8
挖		uɑ1
闩		ʃiɑ̃1
刷		səʔ7
关		kuã1
惯		kuã5
刮		kuaʔ7
还	动词	uã2
还	副词	uaʔ8
弯		uã1
全		zɑ̃2
绝		dʒiəʔ8
选		sɑ̃3
雪		ʃiəʔ7
转	转交	tsɑ̃3
传	传达	dzɑ̃2
传	自传	dzɑ̃6
砖		tsɑ̃1
船		zɑ̃2
软		ɲiɑ̃2
卷	卷起	tʃiɑ̃3
圈		tʃʰiɑ̃1
权		dʒiɑ̃2
圆		yə̃2
院		yə̃6
铅	铅笔	kʰã1
反	读字	fã3
发		faʔ7
翻		fã1
饭		vã6
罚		vaʔ8
晚	晚娘	mã6
万	麻将牌名	mã6
袜		maʔ8
劝		tʃʰiɑ̃5
原		ɲiɑ̃2
月		ɲyəʔ8
冤		iɑ̃1
园		iɑ̃2
远		iɑ̃2
越		yəʔ8
决		tʃiəʔ7
缺		tʃʰiəʔ7
血		ʃiəʔ7
县		ʒiẽ6
吞		tʰən1
根		kən1
恨		ən6
恩		ən1
笔		piəʔ7
匹	一匹布	pʰiəʔ7
贫		bən2
民		mən2
密		miəʔ7
邻		lən2
栗		liəʔ8
进		tʃin5
亲	亲戚	tʃʰin1
亲	亲家	tʃʰin5
七		tʃʰiəʔ7
新		ʃin1
镇		tʃin5
陈		dzən2
侄		dzəʔ8
虱		səʔ7
震		tʃin5
神		zən2
实		zəʔ8
身		sən1
失		səʔ7
辰		zən2
人	人参	zən2
认		ɲin6
日	日头，太阳	nəʔ8
日	日本	ʒiəʔ8
紧		tʃin3
吉		tʃiəʔ7
银		ɲin2
印		in5
一		iəʔ7
引	药引	in5
筋		tʃin1
劲	有劲	tʃin5
勤		dʒin2
近		dʒin2
隐		in3
本		pən3
盆		bən2
门		mən2
墩		tən1
嫩		nən6
卒		tsəʔ7
村		tsʰən1
寸		tsʰən5
蹲	读字	tən1
孙		sən1
滚		kuən3
骨		kuəʔ7
困		kʰuən5
婚		xuən1
魂		ən2
温		ən1
轮	轮胎	lən2
律		liəʔ8
俊		tʃin5
笋		sən3
准		tsən3
春		tsʰən1
出		tsʰəʔ7
唇		zən2
顺		zən6
纯		zən2
闰		ɲin6
均		tsən1
橘		kəʔ7
匀		yən2
分		fən1
粉		fən3
粪		fən5
坟		vən2
佛	佛像	vəʔ8
蚊		mən2
问		mən6
物		vəʔ8
军		tsən1
裙		dzən2
熏		ʃin1
云		in2
运		in6
帮		pɑ̃1
薄		bəʔ8
忙		mɑ̃2
磨		mu1
党		tɑ̃3
汤		tʰɑ̃1
托		tʰəʔ7
糖		dɑ̃2
浪		lɑ̃6
落		ləʔ8
作		tsəʔ7
仓		tsʰɑ̃1
索		səʔ7
钢	名词	kɑ̃1
各		kəʔ7
糠		kʰɑ̃1
鹤		ŋəʔ8
鹗		ŋəʔ8
恶		əʔ7
娘		ɲiã2
两		liã3
亮		liã6
浆		tʃiã1
雀	麻雀	tʃʰiaʔ7
抢		tʃʰiã3
匠		ʒiã6
想		ʃiã3
削		ʃiaʔ7
像		ʒiã4
张		tsã1
着	着火	dzəʔ8
长	长短	dzã2
装		tsɑ̃1
壮		tsɑ̃5
疮		tsʰɑ̃1
床		zɑ̃2
霜		sɑ̃1
章		tsã1
厂		tsʰã3
唱		tsʰã5
伤		sã1
尝		zã2
上	动词	zã2
勺		zəʔ8
让		ȵiɑ6
弱		ɲiaʔ8
姜	生姜	tʃiã1
脚		tʃiaʔ7
响		ʃiã3
向		ʃiã5
秧		iã1
约		iaʔ7
痒		iã2
样		iã6
药		iaʔ8
光		kuɑ̃1
郭		kəʔ7
慌		xuɑ̃1
霍	姓氏	xuəʔ7
黄		uɑ̃2
方		fɑ̃1
放		fɑ̃5
纺		fɑ̃3
房		vɑ̃2
防		vɑ̃2
缚		bəʔ8
网		mɑ̃2
筐		kʰuɑ̃1
狂		guɑ̃2
王		uɑ̃2
旺		uɑ̃6
绑		pɑ̃3
剥		pəʔ7
胖		pʰɑ̃5
棒		bɑ̃6
桩		tsɑ̃1
桌		tsəʔ7
撞		dzɑ̃6
窗		tsʰɑ̃1
镯		dzəʔ8
双		sɑ̃1
江		kɑ̃1
讲		kuɑ̃3
角		kəʔ7
壳		kʰəʔ7
降	投降	ʒiɑ̃2
项		ʒiɑ̃6
学		uəʔ8
握		uəʔ7
北		pəʔ7
朋		bən2
墨		məʔ8
灯		tən1
等		tən3
凳		tən5
得		təʔ7
藤		dən2
特		dəʔ8
能		nən2
层		zən2
贼		zəʔ8
僧		sən1
塞		səʔ7
肯		kʰən3
刻		kʰəʔ7
黑		xəʔ7
冰		pən1
逼		piəʔ7
力		liəʔ8
息		ʃiəʔ7
直		dzəʔ8
侧	瓶侧	tsəʔ7
测		tsʰəʔ7
色		səʔ7
证		tsən5
织		tsəʔ7
秤		tsʰən5
绳		zən2
剩		zən6
食		zəʔ8
升		sən1
式		səʔ7
极		dʒiəʔ8
兴	高兴	ʃin5
蝇	苍蝇	in1
国		kuəʔ7
或		uəʔ8
百		pəʔ7
拍		pʰəʔ7
白		bəʔ8
猛		mən5
打		tã3
冷		lən5
拆		tsʰəʔ7
择		dzəʔ8
窄	读字	tsɑ5
生		sən1
省		sən3
更	五更	kən1
梗	菜梗	kuən3
格		kəʔ7
坑		kʰã1
客		kʰəʔ7
硬		ŋɛ6
额		ŋəʔ8
行	行路	ʒin2
棚		bən2
麦		məʔ8
摘		tsəʔ7
争		tsɛ1
策		tsʰəʔ7
耕		kɛ1
隔		kaʔ7
兵		pən1
柄		pɛ5
平		bin2
病		bən6
明	明白	mən2
命		mən6
镜		tʃin5
庆		tʃʰin5
剧	戏剧	dʒiəʔ8
迎	举	ɲin2
影		in3
饼		pən3
名		mən2
领		lən4
井		tʃin3
积		tʃiəʔ7
清		tʃʰin1
静		dʒin6
姓		ʃin5
惜		ʃiəʔ7
席	竹席	ʒiəʔ8
贞		tsən1
程		dzən2
整		tʃyən3
正		tsən5
尺		tsʰəʔ7
声		sən1
城		zən2
石	石头	zəʔ8
轻		tʃʰin1
益		iəʔ7
赢		in2
壁		piəʔ7
劈		pʰiəʔ7
瓶		bən2
钉	铁钉	tən1
顶		tən3
厅		tʰən1
听	听见	tʰən5
踢		tʰiəʔ7
停		dən2
挺		tʰən3
定		dən6
笛		diəʔ8
零		lən2
历	黄历	liəʔ8
青		tʃʰin1
星		ʃin1
锡		ʃiəʔ7
经		tʃin1
击		tʃiəʔ7
吃	吃亏	tʃʰiəʔ7
形		in2
横		uã2
划		uaʔ8
兄		ʃiəŋ1
荣		iəŋ2
永	永康	in3
营		in2
蓬		bəŋ2
木		məʔ8
东		təŋ1
懂		təŋ3
冻		təŋ5
通		tʰəŋ1
桶		dəŋ4
痛		tʰəŋ5
铜		dəŋ2
动		dəŋ4
洞		dəŋ6
读		dəʔ8
聋		ləŋ2
弄	性交	ləŋ6
鹿		ləʔ8
粽		tsəŋ5
葱		tsʰəŋ1
族		dzəʔ8
送		səŋ5
公		kəŋ1
谷	稻谷	kuəʔ7
孔		kʰəŋ3
哭		kʰoʔ7
烘		xəŋ1
红		əŋ2
翁		əŋ1
屋		uəʔ7
冬		təŋ1
统		tʰəŋ3
毒		dəʔ8
脓		nəŋ6
松	松紧	səŋ1
宋		səŋ5
风		fəŋ1
福		fəʔ7
丰		fəŋ1
凤		vəŋ6
服		vəʔ8
梦		məŋ6
目		məʔ8
六		ləʔ8
宿	住宿	səʔ7
中	当中	tsəŋ1
竹		tsəʔ7
畜	畜牲	tsəʔ7
虫		dzəŋ2
缩		səʔ7
终		tsəŋ1
粥		tsəʔ7
充		tsʰəŋ1
叔		səʔ7
熟		zəʔ8
肉		ɲyəʔ8
宫		kəŋ1
菊		tʃiəʔ7
穷		dʒiəŋ2
熊		ʒiəŋ2
雄		ʒiəŋ2
育		iəʔ8
封		fəŋ1
蜂		fəŋ1
缝		vəŋ6
浓		nəŋ2
龙		ləŋ2
绿		ləʔ8
足		tsəʔ7
松	松树	zəŋ2
重	轻重	dzəŋ4
肿		iəŋ3
种	动词	iəŋ5
烛		tsəʔ7
冲		tsʰəŋ1
赎		zəʔ8
属		zəʔ8
恭		kəŋ1
曲	曲折	tsʰəʔ7
共		dzəŋ6
局		dʒyəʔ8
玉		ɲyəʔ8
凶	吉凶	ʃiəŋ1
拥		iəŋ3
容		iəŋ2
勇		iəŋ4
用		iəŋ6
浴		iəʔ8
