	單字	合水(調類)	合水(調值)	注释
169	基	kei1	kei⁴⁵	
170	箕	kei1	kei⁴⁵	
171	己	kei2	kei³²³	
172	紀	kei2	kei³²³	
173	記	kei3	kei³³	
174	慈	ʦʰei4	ʦʰei³¹	
175	字	ʦei6	ʦei⁵²	
176	牸	ʦei6	ʦei⁵²	
177	廁	ʦʰi3	ʦʰi³³	又读ʦʰei³³
178	仕	si6	si⁵²	
179	士	si6	si⁵²	
180	俟			
181	持	ʦʰi4	ʦʰi³¹	
182	治	ʦi6	ʦi⁵²	
183	峙	ʦei6	ʦei⁵²	
184	植	ʦɪk9	ʦɪk⁵²	
185	值	ʦɪk9	ʦɪk⁵²	
186	痔	ʦi3	ʦi³³	
187	痴	ʦʰi1	ʦʰi⁴⁵	
188	恥	ʦʰi2	ʦʰi³²³	
189	祉	ʦi2	ʦi³²³	
190	癡	ʦʰi1	ʦʰi⁴⁵	
191	時	si4	si³¹	
192	市	si5	si³¹²	
193	恃	si6	si⁵²	又读ʦʰi³¹²
194	侍	si6	si⁵²	
195	嗤	ʦʰi1	ʦʰi⁴⁵	
196	齒	ʦʰi2	ʦʰi³²³	
197	熾	ʦi3	ʦi³³	又读ʦʰɪk⁴⁵
198	鰣			
199	肢	ʦi1	ʦi⁴⁵	
200	支	ʦi1	ʦi⁴⁵	
201	只	ʦi2	ʦi³²³	
202	枝	ʦi1	ʦi⁴⁵	
203	氏			月氏
204	祇	ʦi2	ʦi³²³	同「只有」的「只」
205	紙	ʦi2	ʦi³²³	
206	咫			
207	枳			
208	惴			
209	梔			
210	捶	ʦʰui4	ʦʰui³¹	
211	縊	ʔɐi3	ʔɐi³³	
212	蛇			委蛇
213	移	ji4	ji³¹	
214	易	ji6	ji⁵²	容易
215	蠵			
216	賜	ʦʰei3	ʦʰei³³	
217	璽	ɬai2	ɬai³²³	
218	斯	ɬei1	ɬei⁴⁵	
219	廝	ɬei1	ɬei⁴⁵	
220	髓	ɬuɔi2	ɬuɔi³²³	
221	徙	ɬai2	ɬai³²³	
222	隨	ʦʰui4	ʦʰui³¹	
223	隋	ʦʰui4	ʦʰui³¹	
224	墮	tuɔ6	tuɔ⁵²	
225	窺	kʰɐi1	kʰɐi⁴⁵	
226	企	kʰei5	kʰei³¹²	
227	吱	ʦi1	ʦi⁴⁵	
228	施	si1	si⁴⁵	
229	弛	ʦʰi4	ʦʰi³¹	
230	翅	ʦʰi3	ʦʰi³³	
231	豕			
232	兒	ȵi4	ȵi³¹	
233	蕊	ȵui5	ȵui³¹²	
234	爾	ȵi5	ȵi³¹²	
235	邇			
236	示	si6	si⁵²	
237	歧	kʰei4	kʰei³¹	
238	祇			神祇
239	岐	kʰei4	kʰei³¹	
240	雌	ʦʰi1	ʦʰi⁴⁵	
241	此	ʦʰei2	ʦʰei³²³	
242	刺	ʦʰi3	ʦʰi³³	又读ʦʰɪk⁴⁵;ʦʰei³³
243	譬	pʰei3	pʰei³³	
244	瀰	nei4	nei³¹	
245	獼	nei4	nei³¹	
246	彌	nei4	nei³¹	
247	弭	nei5	nei³¹²	
248	罹	lei4	lei³¹	
249	鸝			
250	離	lei4	lei³¹	
251	驪			
252	麗	lɐi6	lɐi⁵²	
253	璃	lei4	lei³¹	琉璃
254	璃	lei1	lei⁴⁵	玻璃又读lei³¹
255	漓	lei4	lei³¹	
256	籬	lei4	lei³¹	
257	累	lui5	lui³¹²	累積
258	累	lui6	lui⁵²	受累；連累
259	邐			
260	荔	lɐi6	lɐi⁵²	又读lai⁵²
261	羸			
262	劑	ʦɐi1	ʦɐi⁴⁵	
263	紫	ʦei2	ʦei³²³	
264	積	ʦɪk7	ʦɪk⁴⁵	
265	規	kʰɐi1	kʰɐi⁴⁵	
266	疵			
267	漬	ʦɪk7	ʦɪk⁴⁵	
268	舐			
269	氏	si6	si⁵²	姓氏
270	垂	sui4	sui³¹	
271	匙	si4	si³¹	鑰匙
272	是	si6	si⁵²	
273	睡	sui6	sui⁵²	
274	瑞	ɬui6	ɬui⁵²	
275	提	tʰɐi4	tʰɐi³¹	
276	堤	tʰɐi4	tʰɐi³¹	
277	炊	ʦʰui1	ʦʰui⁴⁵	
278	吹	ʦʰui1	ʦʰui⁴⁵	
279	侈	ʦʰi2	ʦʰi³²³	
280	豉	si6	si⁵²	
281	脾	pʰei4	pʰei³¹	
282	婢			
283	避	pei6	pei⁵²	
284	卑	pei1	pei⁴⁵	
285	臂	pei3	pei³³	
286	裨			
287	俾	pei2	pei³²³	
288	知	ʦi1	ʦi⁴⁵	知道
289	蜘	ʦi1	ʦi⁴⁵	
290	智	ʦi3	ʦi³³	
291	爲	wɐi4	wɐi³¹	作爲
292	爲	wɐi6	wɐi⁵²	爲了
293	犄			
294	椅	ji2	ji³²³	
295	漪	ji1	ji⁴⁵	
296	倚	ji2	ji³²³	
297	逶			
298	萎	wɐi2	wɐi³²³	又读wɐi³¹²
299	委			虛與委蛇，委委佗佗
300	委	wɐi2	wɐi³²³	委託,又读wɐi³¹²
301	儀	ȵi4	ȵi³¹	
302	宜	ȵi4	ȵi³¹	
303	誼	ȵi4	ȵi³¹	
304	義	ȵi6	ȵi⁵²	
305	議	ȵi5	ȵi³¹²	
306	崖	ŋai4	ŋai³¹	
307	涯	ŋai4	ŋai³¹	
308	危	ŋɐi4	ŋɐi³¹	
309	蟻	ŋɐi5	ŋɐi³¹²	
310	僞	ŋɐi6	ŋɐi⁵²	
311	犧	hei1	hei⁴⁵	
312	羲	hei1	hei⁴⁵	
313	曦	hei1	hei⁴⁵	
314	戲	hei3	hei³³	
315	毀	fɐi2	fɐi³²³	
316	麾	fɐi1	fɐi⁴⁵	
317	綺	ji2	ji³²³	
318	崎	kʰei1	kʰei⁴⁵	崎嶇
319	虧	kʰɐi1	kʰɐi⁴⁵	
320	跪	kɐi6	kɐi⁵²	
321	灑	sa2	sa³²³	又读ɬa³²³
322	屣			
323	屣			
324	奇	kʰei4	kʰei³¹	奇怪
325	琦	kʰei4	kʰei³¹	
326	騎	kʰei4	kʰei³¹	騎馬,罕见kʰɛ³¹
327	騎	kʰei4	kʰei³¹	鐵騎
328	技	kei6	kei⁵²	
329	披	pʰei1	pʰei⁴⁵	
330	糜	mei4	mei³¹	
331	靡	mei4	mei³¹	
332	妓	kei6	kei⁵²	
333	畸	kʰei1	kʰei⁴⁵	
334	奇			奇數
335	詭	kɐi2	kɐi³²³	
336	寄	kei3	kei³³	
337	羈	kei1	kei⁴⁵	
338	差	ʦʰa1	ʦʰa⁴⁵	參差
339	衰			齊衰
340	揣	ʦʰun2	ʦʰun³²³	
341	池	ʦʰi4	ʦʰi³¹	
342	錘	ʦʰui4	ʦʰui³¹	鐵錘，稱錘
343	馳	ʦʰi4	ʦʰi³¹	
344	疲	pʰei4	pʰei³¹	
345	罷	pa6	pa⁵²	
346	皮	pʰei4	pʰei³¹	
347	被	pei5	pei³¹²	棉被
348	被	pʰei6	pʰei⁵²	被動
349	襬			
350	碑	pei1	pei⁴⁵	
351	彼	pʰei2	pʰei³²³	
352	跛	pɐi1	pɐi⁴⁵	站立時重心偏於某一足上
353	陂	pei1	pei⁴⁵	
354	髀	pʰei4	pʰei³¹	
355	脂	ʦi1	ʦi⁴⁵	
356	錐	ʦui1	ʦui⁴⁵	白读ȵui⁴⁵
357	指	ʦi2	ʦi³²³	
358	旨	ʦi2	ʦi³²³	
359	摯	ʦi3	ʦi³³	
360	至	ʦi3	ʦi³³	
361	伊	ji1	ji⁴⁵	
362	黝	jɐu2	jɐu³²³	
363	胰	ji4	ji³¹	
364	夷	ji4	ji³¹	
365	寅	jɐn4	jɐn³¹	
366	姨	ji4	ji³¹	
367	惟	wɐi4	wɐi³¹	
368	唯	wɐi4	wɐi³¹	唯一
369	唯	wɐi4	wɐi³¹	唯唯諾諾
370	遺	wɐi4	wɐi³¹	遺失
371	遺			贈遺
372	維	wɐi4	wɐi³¹	
373	肄			
374	彝	ji4	ji³¹	
375	羨	ɬin6	ɬin⁵²	
376	雖	ɬui1	ɬui⁴⁵	
377	私	ɬei1	ɬei⁴⁵	
378	綏			
379	死	ɬei2	ɬei³²³	
380	邃	ɬui6	ɬui⁵²	
381	粹	ʦʰui3	ʦʰui³³	
382	四	ɬei3	ɬei³³	
383	肆	ɬei3	ɬei³³	肆意
384	肆	ɬei3	ɬei³³	四的大寫
385	祟	sʊŋ4	sʊŋ³¹	
386	駟	ɬei3	ɬei³³	
387	遂	ɬui6	ɬui⁵²	
388	穗	ɬui6	ɬui⁵²	
389	隧	ɬui6	ɬui⁵²	
390	彗	wɐi6	wɐi⁵²	
391	燧	ɬui6	ɬui⁵²	
392	咦	ji2	ji³²³	
393	屎	si2	si³²³	
394	棄	hei3	hei³³	
395	屍	si1	si⁴⁵	
396	水	sui2	sui³²³	
397	矢	ʦʰi2	ʦʰi³²³	
398	尸	si1	si⁴⁵	
399	鈰			
400	二	ȵi3	ȵi³³	
401	貳	ȵi6	ȵi⁵²	
402	鰭	kʰei4	kʰei³¹	
403	葵	kʰɐi4	kʰɐi³¹	
404	揆			
405	悸	kɐi3	kɐi³³	
406	耆			
407	翠	ʦʰui3	ʦʰui³³	
408	次	ʦʰei3	ʦʰei³³	
409	屁	pʰei3	pʰei³³	
410	寐	mei6	mei⁵²	
411	累	lui5	lui³¹²	果實累累，同「纍」
412	纍	lui5	lui³¹²	
413	梨	lei4	lei³¹	
414	壘	lui5	lui³¹²	堡壘
415	履	lei5	lei³¹²	
416	耒			
417	淚	lui6	lui⁵²	
418	利	lei6	lei⁵²	
419	類	lui6	lui⁵²	
420	痢	lei6	lei⁵²	
421	諮	ʦei1	ʦei⁴⁵	
422	資	ʦei1	ʦei⁴⁵	
423	姿	ʦei1	ʦei⁴⁵	
424	姊	ʦei2	ʦei³²³	
425	恣			恣意
426	醉	ʦui3	ʦui³³	
427	咨	ʦei1	ʦei⁴⁵	
428	秭			
429	眥			
430	癸	kɐi3	kɐi³³	
431	季	kɐi3	kɐi³³	
432	地	tei6	tei⁵²	
433	悴	ʦʰui5	ʦʰui³¹²	又读ʦʰui³³
434	萃	ʦʰui3	ʦʰui³³	
435	瓷	ʦʰei4	ʦʰei³¹	
436	茨			
437	自	ʦei6	ʦei⁵²	
438	嫉	ʦɐt9	ʦɐt⁵²	
439	糍	ʦʰei4	ʦʰei³¹	
440	誰	sui4	sui³¹	
441	視	si6	si⁵²	
442	嗜	si3	si³³	
443	推	tʰui1	tʰui⁴⁵	
444	出	ʦʰɐt7	ʦʰɐt⁴⁵	
445	鴟			
446	琵	pʰi4	pʰi³¹	
447	比	pei2	pei³²³	比鄰
448	枇	pʰi4	pʰi³¹	
449	鼻	pei6	pei⁵²	
450	貔			
451	比	pei2	pei³²³	比較
452	妣	pei2	pei³²³	
453	庇	pei3	pei³³	
454	痹	pei3	pei³³	
455	秕			
456	匕	pʰei3	pʰei³³	
457	畀	pei2	pei³²³	
458	胝	ʦi1	ʦi⁴⁵	
459	追	ʦui1	ʦui⁴⁵	
460	致	ʦi3	ʦi³³	
461	質	ʦɐt7	ʦɐt⁴⁵	人質
462	帷	wɐi4	wɐi³¹	
463	位	wɐi6	wɐi⁵²	
464	懿	ji5	ji³¹²	
465	器	hei3	hei³³	
466	喟			
467	衰	sui1	sui⁴⁵	衰老
468	師	ɬei1	ɬei⁴⁵	
469	篩	sɐi1	sɐi⁴⁵	
470	獅	ɬei1	ɬei⁴⁵	
471	帥	sui3	sui³³	
472	逵	kʰɐi4	kʰɐi³¹	
473	餽	kʰui3	kʰui³³	
474	櫃	kɐi6	kɐi⁵²	
475	饋	kʰui3	kʰui³³	
476	暨	kʰei3	kʰei³³	
477	匱	kʰui3	kʰui³³	
478	夔			
479	丕	pʰei1	pʰei⁴⁵	
480	尼	nɐi4	nɐi³¹	
481	呢			呢喃
482	呢	ni1	ni⁴⁵	語氣助詞
483	膩	nɐi6	nɐi⁵²	又读nei⁵²
484	麋	mei4	mei³¹	
485	薇	mei4	mei³¹	
486	黴	mui4	mui³¹	
487	楣	mei4	mei³¹	
488	眉	mei4	mei³¹	
489	美	mei5	mei³¹²	
490	魅	mei6	mei⁵²	
491	媚	mei4	mei³¹	
492	嵋	mei4	mei³¹	
493	湄	mei4	mei³¹	
494	肌	kei1	kei⁴⁵	
495	龜	kʰɐi1	kʰɐi⁴⁵	
496	飢	kei1	kei⁴⁵	
497	軌	kɐi2	kɐi³²³	
498	几	kei2	kei³²³	
499	晷			
500	冀	kʰei3	kʰei³³	
501	愧	kʰɐi3	kʰɐi³³	
502	覬			
503	遲	ʦʰi4	ʦʰi³¹	
504	槌	ʦʰui4	ʦʰui³¹	
505	椎	ʦui1	ʦui⁴⁵	鐵椎又读ȵui⁴⁵
506	椎	ʦui1	ʦui⁴⁵	脊椎
507	鎚	ʦʰui4	ʦʰui³¹	
508	莉	lei6	lei⁵²	
509	墜	ʦui6	ʦui⁵²	
510	稚	ʦi3	ʦi³³	
511	緻	ʦi3	ʦi³³	
512	雉			
513	邳			
514	圮	kei2	kei³²³	
515	否			否極泰來
516	備	pei6	pei⁵²	
517	悲	pei1	pei⁴⁵	
518	鄙	pʰei2	pʰei³²³	
519	祕	pei3	pei³³	
520	費	fɐi3	fɐi³³	
521	泌	pei3	pei³³	
522	轡			
523	恩	jɐn1	jɐn⁴⁵	
524	痕	hɐn4	hɐn³¹	
525	很	hɐn2	hɐn³²³	
526	恨	hɐn6	hɐn⁵²	
527	墾	hɐn2	hɐn³²³	
528	懇	hɐn2	hɐn³²³	
529	吞	tʰɐn1	tʰɐn⁴⁵	
530	跟	kɐn1	kɐn⁴⁵	
531	根	kɐn1	kɐn⁴⁵	
532	艮			
533	溫	wɐn1	wɐn⁴⁵	
534	穩	wɐn2	wɐn³²³	
535	瘟	wɐn1	wɐn⁴⁵	
536	兀	ŋɐt9	ŋɐt⁵²	
537	杌			
538	諢			
539	孫	ɬun1	ɬun⁴⁵	
540	飧			
541	損	ɬun2	ɬun³²³	
542	遜	ɬun3	ɬun³³	
543	屑	ɬit8	ɬit³	
544	窣	ɬɐt7	ɬɐt⁴⁵	
545	昏	fɐn1	fɐn⁴⁵	
546	婚	fɐn1	fɐn⁴⁵	
547	惚	fɐt7	fɐt⁴⁵	
548	忽	fɐt7	fɐt⁴⁵	
549	渾	wɐn4	wɐn³¹	渾人，雄渾
550	渾			同「混」
551	棍	kɐn3	kɐn³³	
552	混	kɐn6	kɐn⁵²	
553	餛	wɐn4	wɐn³¹	
554	琿			
555	坤	kʰɐn1	kʰɐn⁴⁵	
556	壼	wu4	wu³¹	
557	困	kʰɐn3	kʰɐn³³	
558	窟	kʰɐt7	kʰɐt⁴⁵	
559	燉	tɐn3	tɐn³³	
560	突	tɐt9	tɐt⁵²	
561	卒			倉卒
562	村	ʦʰun1	ʦʰun⁴⁵	
563	忖			
564	寸	ʦʰun3	ʦʰun³³	
565	猝	ʦʰut9	ʦʰut⁵²	
566	噴	pʰɐn3	pʰɐn³³	
567	嫩	nun6	nun⁵²	
568	門	mun4	mun³¹	
569	悶	mun6	mun⁵²	
570	沒	mut9	mut⁵²	
571	歿			
572	論	lɐn6	lɐn⁵²	討論
573	論	lɐn4	lɐn³¹	論語
574	尊	ʦun1	ʦun⁴⁵	
575	樽	ʦun1	ʦun⁴⁵	
576	昆	kʰɐn1	kʰɐn⁴⁵	
577	骨	kɐt7	kɐt⁴⁵	
578	滑	wat9	wat⁵²	滑稽
579	袞			
580	鯤	kʰɐn1	kʰɐn⁴⁵	
581	墩	tɐn1	tɐn⁴⁵	又读tɐn³²³
582	頓	tɐn6	tɐn⁵²	安頓
583	咄	ʦʰut8	ʦʰut³	
584	扽			
585	屯	tʰun4	tʰun³¹	
586	臀	tʰɐn4	tʰɐn³¹	
587	豚	tʰun4	tʰun³¹	
588	沌	tɐn6	tɐn⁵²	
589	遁	tɐn6	tɐn⁵²	
590	鈍	tʰɐn5	tʰɐn³¹²	
591	凸	tɐt9	tɐt⁵²	
592	飩			
593	囤			
594	蹲	tun1	tun⁴⁵	
595	存	ʦʰun4	ʦʰun³¹	
596	鱒			
597	盆	pʰun4	pʰun³¹	
598	脖	put9	put⁵²	
599	渤	put9	put⁵²	
600	勃	put9	put⁵²	
601	𡋯	put9	put⁵²	
602	餑	put9	put⁵²	
603	奔	pɐn1	pɐn⁴⁵	
604	本	pun2	pun³²³	
605	笨	pɐn6	pɐn⁵²	
606	畚			
607	云	wɐn4	wɐn³¹	
608	雲	wɐn4	wɐn³¹	
609	芸	wɐn4	wɐn³¹	
610	耘	wɐn4	wɐn³¹	
611	運	wɐn6	wɐn⁵²	
612	韻	wɐn6	wɐn⁵²	
613	暈			
614	員	jin4	jin³¹	
615	熨			熨貼
616	尉			尉遲
617	蘊	wɐn6	wɐn⁵²	
618	醞	wɐn6	wɐn⁵²	
619	鬱	wɐt7	wɐt⁴⁵	
620	氳			
621	慍			
622	薰	fɐn1	fɐn⁴⁵	
623	醺	fɐn1	fɐn⁴⁵	
624	燻	fɐn1	fɐn⁴⁵	
625	勛	fɐn1	fɐn⁴⁵	
626	訓	fɐn3	fɐn³³	
627	熏	fɐn1	fɐn⁴⁵	
628	勳	fɐn1	fɐn⁴⁵	
629	葷	fɐn1	fɐn⁴⁵	
630	郡	kɐn6	kɐn⁵²	
631	掘	kɐt9	kɐt⁵²	
632	倔	kɐt9	kɐt⁵²	
633	崛	kɐt9	kɐt⁵²	
634	芬	fɐn1	fɐn⁴⁵	
635	紛	fɐn1	fɐn⁴⁵	
636	忿	fɐn5	fɐn³¹²	又读fɐn⁵²
637	拂	fɐt9	fɐt⁵²	白读pʰɐt⁵²
638	彿	fɐt9	fɐt⁵²	
639	雰			
640	聞	mɐn4	mɐn³¹	
641	文	mɐn4	mɐn³¹	文字
642	蚊	mɐn4	mɐn³¹	白读mɐn⁴⁵
643	紋	mɐn4	mɐn³¹	
644	刎	mɐn5	mɐn³¹²	
645	吻	mɐn5	mɐn³¹²	
646	問	mɐn6	mɐn⁵²	
647	紊	mɐn5	mɐn³¹²	
648	物	mɐt9	mɐt⁵²	
649	勿	mɐt9	mɐt⁵²	
650	璺			
651	雯	mɐn4	mɐn³¹	
652	軍	kɐn1	kɐn⁴⁵	
653	君	kɐn1	kɐn⁴⁵	
654	屈	kʰɐt7	kʰɐt⁴⁵	
655	分	fɐn6	fɐn⁵²	本分
656	焚	fɐn4	fɐn³¹	
657	墳	fɐn4	fɐn³¹	
658	頒	pan1	pan⁴⁵	
659	氛	fɐn1	fɐn⁴⁵	
660	憤	fɐn5	fɐn³¹²	
661	佛	fɐt9	fɐt⁵²	佛教
662	豶			
663	芾			芾芾
664	分	fɐn1	fɐn⁴⁵	分開
665	扮	pan6	pan⁵²	
666	粉	fɐn2	fɐn³²³	
667	糞	fɐn3	fɐn³³	
668	奮	fɐn5	fɐn³¹²	
669	拚			
670	弗	fɐt9	fɐt⁵²	
671	殷	jɐn1	jɐn⁴⁵	殷切
672	隱	jɐn5	jɐn³¹²	
673	齦	ŋɐn4	ŋɐn³¹	
674	屹	ŋɐt9	ŋɐt⁵²	
675	欣	jɐn1	jɐn⁴⁵	
676	迄	ŋɐt8	ŋɐt³	
677	契			
678	乞	hɐt7	hɐt⁴⁵	
679	芹	kʰɐn4	kʰɐn³¹	
680	勤	kʰɐn4	kʰɐn³¹	
681	近	kʰɐn5	kʰɐn³¹²	白讀
682	近	kɐn6	kɐn⁵²	靠近
683	筋	kɐn1	kɐn⁴⁵	
684	斤	kɐn1	kɐn⁴⁵	
685	槿	kɐn2	kɐn³²³	
686	謹	kɐn2	kɐn³²³	
687	吃	hɐt7	hɐt⁴⁵	口吃
688	訖	hɐt7	hɐt⁴⁵	
689	質	ʦɐt7	ʦɐt⁴⁵	物質
690	肫			
691	振	ʦɐn3	ʦɐn³³	
692	諄	ʦɐn1	ʦɐn⁴⁵	
693	真	ʦɐn1	ʦɐn⁴⁵	
694	疹	ʦʰɐn2	ʦʰɐn³²³	
695	診	ʦʰɐn2	ʦʰɐn³²³	
696	准	ʦɐn2	ʦɐn³²³	
697	準	ʦɐn2	ʦɐn³²³	
698	賑	ʦɐn3	ʦɐn³³	
699	震	ʦɐn3	ʦɐn³³	
700	盹	tɐn2	tɐn³²³	
701	侄	ʦɐt9	ʦɐt⁵²	
702	娠	sɐn4	sɐn³¹	
703	蛭	ʦi3	ʦi³³	
704	甄	ʦɐn1	ʦɐn⁴⁵	
705	洇	jɐn1	jɐn⁴⁵	
706	湮	jɐn1	jɐn⁴⁵	
707	氤	jɐn1	jɐn⁴⁵	
708	因	jɐn1	jɐn⁴⁵	
709	茵	jɐn1	jɐn⁴⁵	
710	姻	jɐn1	jɐn⁴⁵	
711	印	jɐn3	jɐn³³	
712	壹	jɐt7	jɐt⁴⁵	
713	一	jɐt7	jɐt⁴⁵	
714	蚓	jɐn5	jɐn³¹²	
715	引	jɐn5	jɐn³¹²	
716	逸	jɐt9	jɐt⁵²	
717	溢	jɐt9	jɐt⁵²	
718	佚	jɐt9	jɐt⁵²	
719	勻	wɐn4	wɐn³¹	
720	允	wɐn5	wɐn³¹²	
721	尹	wɐn5	wɐn³¹²	
722	鷸			
723	峻	ʦɐn3	ʦɐn³³	
724	荀	ʦʰɐn4	ʦʰɐn³¹	
725	浚	ʦɐn3	ʦɐn³³	
726	濬	ʦɐn3	ʦɐn³³	
