#ɿ
ʦ[1]资姿滋孜[3]紫子籽姊滓[5]自字渍
ʨʰ[3]笡{(~坡:斜坡)}衔茄掮[5]且窃切妾怯砌趄□{(这些的合音)}
ɕ[1]些[3]斜邪协胁写[5]泻卸谢歇蝎楔{(~子)}泄血
ʑ[1]爷也野[5]夜液腋噎叶页曳{(用车拉)}

#iɔ
p[1]膘标彪镖[3]表錶裱[5]筵
pʰ[1]飘瓢漂{(~浮)}[3]嫖[5]票漂{(~亮)}
m[3]苗瞄描秒缪{(姓)}[5]庙妙
l[3]燎聊辽撩廖缭{(缝)}疗了{(~结)}[5]瞭{(望)}料尥撂{(扔掉)}
ȶ[1]刁叼貂雕□{(抢)}[3]屌[5]钓吊掉调{(音~)}
ȶʰ[1]挑{(～水)}[3]条调{(~和)}粜笤窕藋{(灰~:一种野菜)}[5]跳
ȵ[3]鸟[5]尿
ʨ[1]交郊胶教{~书}焦椒噍{牛倒~}矫骄娇浇[3]狡绞搅饺缴剿侥{~幸}[5]教{~育}校较窖觉{睡~}轿叫酵{~头}
ʨʰ[1]敲悄劁{~猪}[3]瞧乔桥荞巧鹊请雀[5]繰{~边}俏窍撬翘
ɕ[1]淆肖消宵霄硝销嚣萧箫屑{不~,木~}[3]小晓[5]孝酵{发～}效校{学~}笑鞘
Ǿ[1]夭妖邀腰要{~求}幺吆[3]摇谣姚窑咬舀[5]跃要{重~}耀鹞靿{鞋~}

#iəu
l[1]溜{~冰}[3]流刘留硫榴柳[5]溜馏六绺□{啃，~瓜皮}
ȶ[1]丢
ȵ[1]妞□{~~:奶头}[3]牛纽扭钮[5]拗
ʨ[1]揪鬏鸠阄纠{~缠}究[3]酒九久韭灸[5]就臼舅咎救旧纠{~正}□{缩：~到一起了}
ʨʰ[1]秋{~天，~千}鞦囚丘球[3]求仇姓□{男性生殖器}[5]□{不出门，不活泛：他整天~的家里不出去}啾{赶驴声}
ɕ[1]修羞休[3]恘{顽皮}[5]朽秀绣宿{星~}锈袖莠
Ǿ[1]尤优犹悠幽游[3]尤{~其}邮由油有友黝[5]酉诱又右祐幼

uᴀ
k[1]抓呱瓜[3]寡剐□{(傻)}刮{(~胡子)}爪[5]挂褂卦刮{(~风)}聒{(耳~子)}
kʰ[1]誇夸袴欻{(一~拉：一串)}□{(象声词)}[3]垮□{(捋，撸)}[5]跨胯挎挂
x[1]花哗划{(~拳)}[3]华{(中~)}铧滑猾[5]化画话桦划{(~船，计~)}

uə
t[1]多[3]夺躲朵[5]驮{(~子)}惰垛剁掇{(拾~)}□{(刺绣：~花儿)}
tʰ[1]拖托託[3]驼砣驮{(～起来)}舵妥[5]脱拓妥椭
l[1]啰[3]罗锣箩骡螺脶□{(割：~一块肉)}[5]摞裸落骆酪乐烙络糯
ʦ[1]撮[3]凿昨左[5]坐座作做
ʦʰ[1]搓[3]锉[5]错锉挫措
s[1]梭唆缩索[3]锁琐{(绳～)}缩{(～水)}[5]嗍{(吮吸)}
pf[1]锅过{(菜炒~了)}[3]着{(~气，睡~)}酌镯□{(~不着：划不来)}果裹课[5]卓桌啄拙捉过郭国馃{(银~子：给死人烧的纸元宝)}
pfʰ[1]科蝌颗棵颗□{(用木条等打)}[3]颗{(~~子：小疙瘩)}[5]戳廓扩括辍阔课绰骒
x[1]豁{(~口)}劐{(用刀子~开)}[3]和{(~气，～面)}活火伙[5]祸货霍藿或惑获豁{(破)}

uɛ
k[1]乖[3]拐柺[5]怪拽
kʰ[1]宽揣[3]踹侩块会{(~计)}快筷
x[3]怀槐踝[5]坏

uəi
t[1]堆[3]□{(遭遇)}[5]对队兑
tʰ[1]推[3]腿[5]退褪蜕{(～皮)}
l[3]雷儡累累{(积~)}垒[5]类泪
ʦ[3]最嘴[5]罪醉
ʦʰ[1]崔催摧催汆{(~子：一种烧水用的铁壶)}[5]淬脆翠粹
s[1]虽尿[3]随绥遂隧髓祟[5]碎岁穗
k[1]规龟归轨追椎锥[3]诡鬼[5]闺桂跪癸柜贵坠赘缀缒
kʰ[1]盔亏溃吹炊[3]垂锤捶□{(神气)}魁奎窥逵葵傀[5]愧馈缋{(绳子绾成的结)}
x[1]灰恢挥辉徽[3]回蛔茴悔毁[5]汇秽会{(开~)}绘烩

yə
l[3]略掠□{(菜放在锅里轻煮)}
ʦ[1]撅[3]绝掘橛决倔{(~强)}嚼觉{(知~)}[5]噘{(～嘴)}憠{(脾气~)}脚钁{(~头)}角
ʦʰ[1]瘸□{(撇断)}[5]缺却雀鹊确搉怯
s[1]穴靴[3]学踅{(~摸，偷)}[5]雪血{(~液)}削薛
ʑ[5]悦阅月越约药钥岳乐{(音~)}

ᴀ̃
p[1]帮邦梆班斑颁般搬扳[3]棒谤傍榜绑板版坂{大~}[5]扮瓣办伴拌半绊膀
pʰ[1]肨{(肿)}攀潘[3]旁螃庞爿盘[5]胖盼襻叛判畔
m[1]茫莽[3]忙芒盲蛮瞒馒满蔓[5]慢漫谩{~sᴀ̃:哄骗}
f[1]方肪芳双霜孀藩翻番{几番}凡拴帆[3]妨{~害}房仿{~效，~佛}访防纺爽烦繁凡范反[5]放双{双生}贩饭泛犯范{姓}闩栓涮
v[1]汪{一~水}豌剜湾弯[3]碗晚挽亡芒{麦~}王网辋往软玩{游玩}顽{~皮}完丸[5]忘妄望枉旺腕蔓{藤~}万□{绕远}
t[1]裆当{~时}担{~任}丹单旦[3]党胆掸{鸡毛~子}[5]荡当{~作}档□{在石上磨刀}挡{阻~}淡担{挑~}旦但弹{子~}蛋石诞
tʰ[1]贪坍{(~塌)}滩摊汤烫{(用火烧：一猪毛)}[3]谭潭谈痰坛弹{(～琴)}毯坦{(平~)}唐糖搪塘螳堂膛棠躺淌[5]烫趟探炭叹碳
n[1]囊{(浪费：~工)}[3]南男难{(～易)}暖攮馕{(软弱)}[5]□{(语气词)}难{(患~)}□{(路~:路有泥而陷脚)}□{(息~~:受不了)}□{(撞：车~的墙上了)}
l[3]郎榔廊狼兰栏獭懒蓝篮漤{(~菜)}[5]朗浪烂滥
ts[1]簪脏{(肮~)}赃{(～物)}[3]攒{(积~)}[5]葬藏{(西~)}脏{(肝~)}䋎{(用针~)}蘸灒{(溅)}赞
tsʰ[1]仓苍参餐[3]藏{(隐~)}蚕残惭惨孱{(~头：胆小、没骨气)}[5]串{(~门)}灿
s[1]桑丧{(婚~)}三叁[3]嗓搡散{(松~)}伞馓[5]丧{(~失)}散{(~架，分~)}
tȿ[1]张章獐彰沾粘瞻占{(~卜)}氈[3]斩长{(生~)}涨{(～水掌)}[5]仗丈杖帐账胀障瘴涨{(~大)}盏绽战颤站{(~立，车~)}栈暂{(~时)}
tȿʰ[1]昌菖娼搀[3]长(~短)肠场常尝偿(~赔)厂敞谗蟾缠禅蝉缠产铲□(牵连)[5]畅唱倡
ȿ[1]商墒伤裳衫山删擅扇煽□{土气、不好看}[3]闪赏晌{~午}陕单{姓}[5]钐疝苫善尚绱扇{~子}上{~山}
ʐ[1]冉[3]染燃然穰{粘、不干脆}穰瓤攘嚷[5]壤让釀{~皮子}
k[1]冈刚纲钢缸肛甘尴{~尬}肝竿干{~湿}[3]□{踢：~了她一脚}□{铲：~土}岗{位置}感敢秆赶擀[5]杠虹干
kʰ[1]康糠慷{~慨}腔看{~守}刊[3]抗扛砍坎槛[5]炕{烧、烙：~馍馍}□{渴}看{~见}
x[1]夯涎{~水}憨酣鼾□{语气词}[3]航绗缝行{~列}含咸喊寒韩罕{稀~}[5]项{脖~}巷{~子}上{做补语}旱汉汗焊{~铁壶}
ɣ[1]昂肮安鞍鹌庵[5]岸暗按案

iᴀ̃
p[1]边鞭编蝙[3]贬扁匾[5]变便{方~}辫辨遍
pʰ[1]偏[3]片便{~宜}篇谝{闲谈}[5]骗骈{预约：~工}
m[1]面{粉末}[3]绵棉免[5]面{~粉}
l[3]凉粮梁粱两镰簾连莲帘怜脸联敛{收~}[5]殓练炼晾亮谅辆量{称~,数~}
ȶ[1]颠癫巅掂[3]点典[5]店电奠垫垫殿靛
ȶʰ[1]添天[3]甜田腆填{偿还}舔[5]掭{~笔}
ȵ[1]娘{~~:未婚的女性长辈}蔫{没有精神}年[3]娘{爹~}黏{~米}年碾撵燃{~碎}[5]念廿酿
ʨ[1]将{~来}浆{~水}姜疆僵薑缰膙{~疤}江尖煎兼艰间{~断}奸肩犍坚监检[3]蒋讲奖简剪减碱荐{推~}茧俭捡[5]渐剑件溅箭贱建健毽腱见酱将{大~}匠降绛桨犟鉴荐
ʨʰ[1]歼{~灭}签谦乾{~坤}虔{~诚}遣{派~}千迁钎纤牵鸽铅枪戗腔□{借钱}[3]潜钱前浅钳墙详祥强{~盛，勉~}抢[5]嵌欠歉呛芡
ɕ[1]相{互~}箱厢镶香乡鲜先掀锨仙[3]嫌闲掀陷羡娴贤弦陷享降投{~想}响显享咸[5]限现县线献相{～貌}向象像项巷
Ǿ[1]央秧殃鞅淹腌延{~长}蔫{不新鲜}烟胭炎焰燕{姓}沿[3]羊洋痒佯{~更：糊涂}氧杨扬仰阳养盐阎簪严颜研魇眼演辕延{~安}[5]验厌艳雁筵{~席}砚燕{~子}咽样怏漾{洒：把麦子~掉了}

uᴀ̃
t[1]端[3]短[5]断{~绝，决~}段缎□{追赶}
tʰ[3]团抟{~弄}
l[1]栾[3]□{说、做，贬义：胡~卵孪}[5]乱
ʦ[1]钻[5]钻{~子}攥
ʦʰ[1]蹿撺{~掇}□{冲刺}[3]□{隐藏}攒{堆聚：~坟}[5]窜□{利索，干练}
s[1]酸[5]算蒜
k[1]庄装{~车}妆桩光胱专砖官棺冠观关鳏[3]管转{~学}广桄{量词}[5]贯灌罐冠{~军}惯转{~弯}传{~记}赚撰装{~棉袄}逛撞壮状曈□{~:吃饭好，不挑食}
kʰ[1]筐窗疮创{~伤}宽川穿[3]狂床传{~达}椽船款喘舛[5]串钏况矿框匡眶撞闯创
x[1]荒谎{喧~:聊天}慌欢[3]黄簧{锁~}蝗皇凰惶煌恍幌谎{说~}还{~原}环缓[5]换患幻晃{~眼}

yᴀ̃
ʨ[1]绢捐娟[3]卷捲倦[5]券眷圈{猪~}卷{~子}
ʨʰ[1]圈{圆~}[3]全泉犬拳权颧踡犬[5]劝
ɕ[1]鲜{新～}煊{膨起：馍馍~}暄{闲谈：~谎}[3]宣旋喧玄{危险}悬眩选癣[5]旋{~做}楦
Ǿ[1]冤渊鸳[3]圆员缘元园原源袁辕远[5]院愿怨援

ə̃
p[1]奔{挖～子跑}锛崩绷[3]本[5]笨奔迸
p[1]喷{~水}烹怦[3]盆朋棚硼彭蓬篷捧[5]碰喷{~嚏}
m[1]懵矇焖{焖饭}[3]门扪萌蒙盟猛[5]闷孟梦□{使浸湿}
f[1]分吩纷芬丰峰蜂锋风疯封[3]舜瞬□{脾性不好，坏}坟冯逢缝{~衣服}粉[5]愤粪奋分{本~}份凤缝{一条~}顺奉俸
v[1]温瘟翁嗡瓮[3]戎文纹蚊闻绒茸氄稳紊酝[5]问润闰冗
t[1]登灯蹬[3]等[5]凳邓澄{～清}瞪钝
tʰ[1]熥□{象声词，一种较厚重的声音}[3]腾誊疼藤[5]□{等，这个事一给下再说}
n[3]能[5]嫩
l[1]□{打~~:站到高处较危险的地方}[3]棱楞冷[5]愣
ʦ[1]曾{姓}[3]□{不服输，干事急进：这个人~的很}[5]增憎赠锃
ʦʰ[1]曾{~经}[3]层参{~差}[5]蹭
s[1]僧森
tȿ[1]征{~求}蒸贞侦正{~月}征{～战}珍真针斟争睁筝□{抻，把口袋~上}[3]整{治：～人}诊疹枕拯胗[5]症郑正证政镇阵挣振震
tȿʰ[1]撑称{~呼}胂伸{把腿~开}[3]程成诚城惩盛{~饭}陈尘辰沉晨承逞{~能}[5]橕{椅子~}乘称{相~}秤趁衬□{垫塞，桌子不平，把腿～给下}
ȿ[1]生牲甥升声身申伸深参{人~}[3]绳圣神晨{早~}慎甚审婶省{~长，节~}[5]胜{~任，~败}剩盛肾沈渗瘆{这房子里黑的~人}
ʐ[1]扔[3]人仁任{姓}忍[5]刃认壬任纫韧
k[1]粳{~米}耕跟根庚更{~改}[3]埂梗耿[5]更{~加}哽
kʰ[1]坑[3]肯恳啃{老鼠啃}[5]□{陷住：车子~住了}
x[1]哼[3]痕很狠衡桁亨[5]杏横很{~下}恨
ɣ[1]恩[5]嗯{应答词}

iə̃
p[1]兵宾彬斌冰[3]丙饼柄[5]殡鬓病并{合~、~立}
pʰ[1]拼{~合}[3]品贫平评瓶凭萍苹聘频[5]娣{~头}拼{~命}
m[3]民敏明鸣名抿瞑[5]命
l[3]林淋临邻灵零铃凌檩凛领岭龄磷麟[5]令另吝赁蔺{姓}
ȶ[1]丁叮盯钉{~子}[3]顶鼎[5]钉{~住}订定锭
ȶʰ[1]听廷庭亭厅[3]停蜓挺{～好}艇[5]停等
ȵ[3]您宁{安~,~可}咛拧凝[5]硬
ʨ[1]今金禁襟巾斤筋京惊精睛晶兢茎颈胫经{~过，~线}更{五~}[3]紧境警井景锦谨[5]尽进近劲{有~、~敌}敬镜静净
ʨʰ[1]亲轻青清蜻[3]侵寝琴擒禽浸秦勤芹顷倾庆情晴请[5]□{凝固：~住}吣{胡~:胡说}亲{~家}□{羞}
ɕ[1]心辛锌新薪欣兴{~旺}星腥猩[3]寻形型邢行{~为，品~}醒擤{~鼻涕}[5]衅{挑~}信兴{高~}幸性姓杏=
Ǿ[1]音喑阴荫淫因姻鹰{老~}莺英婴缨鹦尹盈殷[3]银龈蝇迎赢萤营茔寅引隐影瘾颖□{嗝~:难受}[5]饮窨印应{~当，~对}映胤洇

uə̃
t[1]吨敦{~厚}墩礅蹲东冬[3]懂董趸{弄、做：~下乱子了}[5]囤顿钝洞动盾冻栋炖
tʰ[1]通吞[3]屯同铜童瞳痛筒桶捅统[5]褪蜕
n[3]农脓浓[5]弄
l[1]隆{轰~}[3]笼聋拢龙垄隆{~重}窿咙
ʦ[1]尊遵棕鬃宗踪综[3]总[5]粽纵{~横,放~}怂{~恿}
ʦʰ[1]皴聪葱匆囱[3]存丛从{跟~}[5]村寸
s[1]孙松[3]□{精液}损笋榫[5]送宋颂诵耸
