#ɿ
tsʰ [33]悄[52]俏噍鞘
s [33]消銷蕭稍肖囂宵硝簫[21]淆[31]小[52]笑
k [33]驕嬌[31]矯[52]叫
kʰ [33]藠{～仔：一种可食用的草本植物}[21]橋僑喬蕎[31]巧[52]轎竅翹{～起来}
ŋ [21]饒堯[31]鳥={花～市场}[52]繞尿
h [33]囂[31]曉
∅ [33]腰邀妖吆夭幺要{1～求}[21]遥搖窯謠肴姚[31]擾舀[52]耀鷂要{2 重～}

#eu
t [31]斗-{垃圾～：垃圾篓}
tʰ [52]豆-{红～沙}
n [21]醹{粥（浓）}
ts [33]鄒
ŋ [31]藕-
∅ [33]歐区{姓氏}[31]偶藕=嘔毆[52]慪漚

#iu
m [33]某踎{蹲}[21]謀[31]畝[52]茂
f [21]浮[31]否[52]阜
t [33]丢兜[31]抖陡斗{重量单位，十升为一斗}[52]鬥{批～}鬥{替，拼接，组装}窦{鼻～炎}窦{替，鸟～：鸟窝}
tʰ [33]偷[21]投頭[31]敨[52]豆=透逗痘
l [33]簍溜{1～走}[21]留樓劉榴摟硫琉流餾[31]柳縷紐{钉～：纽扣}[52]漏陋溜{2～狗}
ts [33]州周舟洲揫縐[31]走酒帚肘[52]奏皺驟晝咒紂
tsʰ [33]秋抽鰍{泥～ }[21]酬籌綢稠囚泅仇={报～ }[31]醜{长得丑}丑{地支名}[52]就宙湊臭
s [33]修收羞餿蒐{～集}搜{～查}[21]愁仇-{～人}[31]手首守[52]受瘦袖秀壽售繡獸授銹宿{星～}
k [33]鉤溝勾鳩鬮糾{～缠}[31]九久狗苟韭[52]救究夠購構灸垢柩勾
kʰ [33]舅臼摳跔[21]求球[31]口={～头}[52]舊扣寇叩
ŋ [21]牛[31]紐{～约}扭={～动}[52]扭-{～毛巾}
h [33]休丘{一～田丨姓}[21]猴喉侯[31]口-{一～气}朽[52]厚候後{～日丨～生}后{皇～}嗅
∅ [33]有優憂幽悠酉[21]油遊由猶郵柔尤揉[31]友[52]又右幼誘祐柚釉

#ui
p [33]悲杯飛-{纸鹞～ }[52]沸貝輩{1～份}
pʰ [33]胚[21]陪培裴[52]倍備配沛佩肺-輩{2～份}痱呸{吐痰动作}
m [33]尾美每[21]微-{～波炉}梅=煤=枚=媒=[52]未-{～必}味昧媚寐
f [33]非輝揮恢徽妃灰=飛={～机}[21]肥茴回[31]毀悔匪翡[52]肺=費慧廢惠賄諱晦繪穢會{开～}彙{词～}匯{～报}
w [33]委威[21]圍微={卑～}唯維違萎惟為{1～人}[31]偉葦緯[52]衛位謂慰畏胃為{2～什么}未={～来}
t [31]□{两端同时用力拉}[52]對隊兑
tʰ [33]推[21]頽[31]腿[52]褪蜕退
n [52]內
l [33]镭{散～：零钱}[21]雷[31]壘屢蕊乳{南～：腐乳}累{积～ }[52]類淚鋭芮累{劳～丨连～}
ts [33]錐追[31]嘴=咀{地名，尖沙～ }[52]醉最綴贅罪={犯～}
tsʰ [33]吹炊催摧崔[21]垂錘槌[52]翠粹悴罪-{～过}墜脆={干～}
s [33]雖荽{芫～ }[21]隨誰[31]水髓[52]碎瑞穗隧遂歲={万～}
k [33]規歸龜閨圭□{痰～：痰盂}[31]軌鬼詭[52]貴桂季-跪=鱖=
kʰ [33]虧盔窺[21]葵魁逵奎[31]跪-癸[52]櫃愧潰檜劊
ŋ [21]危桅[31]僞[52]魏

#am
f [52]範{模～}范{姓氏}
t [33]耽擔{1～任}頕{～头：抬头，仰头}[31]膽疸[52]擔{2 名词，挑～丨量词，一～水}
tʰ [33]貪淡-{1 咸～丨浓～}探{替，够（用手努力伸取）}[21]談潭痰譚[31]毯[52]探淡={2～水（地名）}
n [21]南男[31]腩
l [21]藍籃[31]覽纜欖攬[52]濫
ts [33]沾粘簪[31]斬[52]站暫
tsʰ [33]攙參{～加}[21]慚蠶□{～晡日：昨天}[31]慘[52]佔
s [33]三衫杉[21]蟬=[31]閃陝
k [33]甘柑尷監{～狱}[31]減敢感橄[52]艦鑑監{太～}
kʰ [33]堪勘
ŋ [33]啱[21]巖
h [33]憨[21]銜鹹含[52]陷餡喊
∅ [33]庵[52]暗

#iam
t [33]掂[31]點典腆扂{【闽】安静}[52]店
tʰ [33]添[21]甜
l [21]廉簾鐮[31]斂[52]殮
ts [33]尖櫼殲[31]蘸
tsʰ [33]籤{竹～}簽{～字}[52]漸
s [21]蟬-
