字頭	聲紐	韻部	小韻	調類	字義	擬音(聲母)	擬音(韻母)	擬音(聲調)	粵拼(聲母)	粵拼(韻母)	粵拼(聲調)
緡	明	先	眠	陽平	緡蠻鳥聲又音分錢貫也	m	in	21	m	in	4
緜	明	先	眠	陽平	古緜字	m	in	21	m	in	4
賢	以	先	賢	陽平	有德之稱	j	in	21	j	in	4
延	以	先	賢	陽平	延長延緩又延請	j	in	21	j	in	4
筵	以	先	賢	陽平	几席也	j	in	21	j	in	4
郔	以	先	賢	陽平	鄭國地名	j	in	21	j	in	4
䀽	以	先	賢	陽平	視也	j	in	21	j	in	4
埏	以	先	賢	陽平	八埏地之八際也	j	in	21	j	in	4
梴	以	先	賢	陽平	木名	j	in	21	j	in	4
弦	以	先	賢	陽平	弓弦	j	in	21	j	in	4
絃	以	先	賢	陽平	琴絃	j	in	21	j	in	4
鉉	以	先	賢	陽平	鼎耳	j	in	21	j	in	4
舷	以	先	賢	陽平	舟名	j	in	21	j	in	4
蚿	以	先	賢	陽平	蟲名	j	in	21	j	in	4
田	透	先	田	陽平	土已耕曰田	tʰ	in	21	t	in	4
畋	透	先	田	陽平	畋獵	tʰ	in	21	t	in	4
塡	透	先	田	陽平	塞也又鼓聲	tʰ	in	21	t	in	4
磌	透	先	田	陽平	石落貌	tʰ	in	21	t	in	4
闐	透	先	田	陽平	盛貌又鼓聲	tʰ	in	21	t	in	4
鈿	透	先	田	陽平	金首飾	tʰ	in	21	t	in	4
連	來	先	連	陽平	接續也又合也	l	in	21	l	in	4
漣	來	先	連	陽平	詩泣涕漣漣	l	in	21	l	in	4
蓮	來	先	連	陽平	蓮花	l	in	21	l	in	4
鰱	來	先	連	陽平	魚名	l	in	21	l	in	4
憐	來	先	連	陽平	憐恤	l	in	21	l	in	4
怜	來	先	連	陽平	同上(憐恤)	l	in	21	l	in	4
廛	穿	先	廛	陽平	市宅	tʃʰ	in	21	ch	in	4
躔	穿	先	廛	陽平	踐蹈也又星辰躔度	tʃʰ	in	21	ch	in	4
纏	穿	先	廛	陽平	牽纏	tʃʰ	in	21	ch	in	4
乾	溪	先	乾	陽平	卦名又乾惕	kʰ	in	21	k	in	4
虔	溪	先	乾	陽平	虔誠	kʰ	in	21	k	in	4
騝	溪	先	乾	陽平	馬之黃脊者	kʰ	in	21	k	in	4
揵	溪	先	乾	陽平	舉也	kʰ	in	21	k	in	4
禪	審	先	禪	陽平	禪師	ʃ	in	21	sh	in	4
蟬	審	先	禪	陽平	蟲名沙蟲	ʃ	in	21	sh	in	4
嬋	審	先	禪	陽平	嬋娟美好貌	ʃ	in	21	sh	in	4
澶	審	先	禪	陽平	澶淵又音憚	ʃ	in	21	sh	in	4
單	審	先	禪	陽平	單于匈奴號也	ʃ	in	21	sh	in	4
前	淸	先	前	陽平	前後	tsʰ	in	21	c	in	4
錢	淸	先	前	陽平	錢十分爲錢	tsʰ	in	21	c	in	4
𡭔	淸	先	前	陽平	同上(錢十分爲錢)	tsʰ	in	21	c	in	4
年	泥	先	年	陽平	年歲	n	in	21	n	in	4
秊	泥	先	年	陽平	同上(年歲)	n	in	21	n	in	4
涎	心	先	涎	陽平	秀延切口中液也	s	in	21	s	in	4
便	滂	先	便	陽平	蒲綿切便便辯之詳也	pʰ	in	21	p	in	4
蘚	心	先	蘚	陰上	苔蘚	s	in	35	s	in	2
鮮	心	先	蘚	陰上	少也	s	in	35	s	in	2
廯	心	先	蘚	陰上	倉廪也	s	in	35	s	in	2
癬	心	先	蘚	陰上	瘡也	s	in	35	s	in	2
洗	心	先	蘚	陰上	人姓	s	in	35	s	in	2
跣	心	先	蘚	陰上	跣足	s	in	35	s	in	2
銑	心	先	蘚	陰上	金之有光澤者	s	in	35	s	in	2
毨	心	先	蘚	陰上	毛落更生	s	in	35	s	in	2
燹	心	先	蘚	陰上	兵火曰燹	s	in	35	s	in	2
尠	心	先	蘚	陰上	少也	s	in	35	s	in	2
典	端	先	典	陰上	法也又經典	t	in	35	d	in	2
顯	曉	先	顯	陰上	明也揚也	h	in	35	h	in	2
遣	曉	先	顯	陰上	逐也發也使也	h	in	35	h	in	2
譴	曉	先	顯	陰上	怒也責也	h	in	35	h	in	2
繾	曉	先	顯	陰上	繾綣	h	in	35	h	in	2
蜆	曉	先	顯	陰上	蠕蜆	h	in	35	h	in	2
衍	以	先	衍	陰上	延也寬也	j	in	35	j	in	2
演	以	先	衍	陰上	布也又長也	j	in	35	j	in	2
兖	以	先	衍	陰上	州名	j	in	35	j	in	2
偃	以	先	衍	陰上	竹也偃息偃蹇	j	in	35	j	in	2
鰋	以	先	衍	陰上	魚名	j	in	35	j	in	2
蝘	以	先	衍	陰上	蝘蜓又蝘鼠	j	in	35	j	in	2
鶠	以	先	衍	陰上	鳥名	j	in	35	j	in	2
堰	以	先	衍	陰上	壅水	j	in	35	j	in	2
燕	以	先	衍	陰上	鳥名	j	in	35	j	in	2
展	照	先	展	陰上	舒展	tʃ	in	35	zh	in	2
輾	照	先	展	陰上	轉之半曰輾	tʃ	in	35	zh	in	2
搌	照	先	展	陰上	束㣫也	tʃ	in	35	zh	in	2
碾	照	先	展	陰上	轢也又音研	tʃ	in	35	zh	in	2
闡	照	先	展	陰上	發也	tʃ	in	35	zh	in	2
剪	精	先	剪	陰上	裁也又較剪	ts	in	35	z	in	2
翦	精	先	剪	陰上	齊也截以殺也	ts	in	35	z	in	2
謭	精	先	剪	陰上	謭劣粗也陋也	ts	in	35	z	in	2
戩	精	先	剪	陰上	盡也	ts	in	35	z	in	2
褊	幫	先	褊	陰上	小也	p	in	35	b	in	2
惼	幫	先	褊	陰上	急也	p	in	35	b	in	2
扁	幫	先	褊	陰上	不員貌又脾扁	p	in	35	b	in	2
貶	幫	先	褊	陰上	降官曰貶謫也損也	p	in	35	b	in	2
窆	幫	先	褊	陰上	窀窆下棺也	p	in	35	b	in	2
繭	見	先	繭	陰上	蚕繭	k	in	35	g	in	2
蠒	見	先	繭	陰上	同上(蚕繭)	k	in	35	g	in	2
蹇	見	先	繭	陰上	卦名屯蹇難也	k	in	35	g	in	2
淺	淸	先	淺	陰上	不深也	tsʰ	in	35	c	in	2
俴	淸	先	淺	陰上	淺也詩小戎俴收	tsʰ	in	35	c	in	2
臠	泥	先	臠	陰上	奴典切一片肉塊也	n	in	35	n	in	2
腆	透	先	腆	陰上	厚也	tʰ	in	35	t	in	2
淟	透	先	腆	陰上	淟忍垢濁也	tʰ	in	35	t	in	2
㥏	透	先	腆	陰上	心愧也又面慙也	tʰ	in	35	t	in	2
覥	透	先	腆	陰上	面慙貌	tʰ	in	35	t	in	2
靦	透	先	腆	陰上	同上(面慙貌)	tʰ	in	35	t	in	2
餮	透	先	腆	陰上	饕餮貪食也貪財曰饕貪食曰餮	tʰ	in	35	t	in	2
殄	透	先	腆	陰上	絕也	tʰ	in	35	t	in	2
免	明	先	免	陽上	罷也	m	in	23	m	in	5
勉	明	先	免	陽上	勉力黽勉	m	in	23	m	in	5
俛	明	先	免	陽上	俯也又與俯仰之俯同	m	in	23	m	in	5
冕	明	先	免	陽上	冠也	m	in	23	m	in	5
㝃	明	先	免	陽上	分㝃臨產謂之分㝃	m	in	23	m	in	5
娩	明	先	免	陽上	同上(分㝃臨產謂之分㝃)	m	in	23	m	in	5
愐	明	先	免	陽上	思想貌	m	in	23	m	in	5
湎	明	先	免	陽上	沉湎於酒	m	in	23	m	in	5
眄	明	先	免	陽上	邪視	m	in	23	m	in	5
沔	明	先	免	陽上	水溝也	m	in	23	m	in	5
勔	明	先	免	陽上	勸勔	m	in	23	m	in	5
璉	來	先	璉	陽上	瑚璉宗廟盛黍稷之器	l	in	23	l	in	5
摙	來	先	璉	陽上	搬運也	l	in	23	l	in	5
唁	日	先	唁	陽上	弔也弔失國曰唁	ȵ	in	23	nj	in	5
蟮	審	先	蟮	陽上	白蟮	ʃ	in	23	sh	in	5
鱔	審	先	蟮	陽上	同上(白蟮)	ʃ	in	23	sh	in	5
單	審	先	蟮	陽上	姓	ʃ	in	23	sh	in	5
線	心	先	線	陰去	針線	s	in	33	s	in	3
先	心	先	線	陰去	先之也	s	in	33	s	in	3
鏾	心	先	線	陰去	閲也割也	s	in	33	s	in	3
霰	心	先	線	陰去	雪之初凝也	s	in	33	s	in	3
薦	精	先	薦	陰去	舉薦祭亦曰薦	ts	in	33	z	in	3
荐	精	先	薦	陰去	荐	ts	in	33	z	in	3
洊	精	先	薦	陰去	重復也	ts	in	33	z	in	3
牮	精	先	薦	陰去	屋釗用牮	ts	in	33	z	in	3
箭	精	先	薦	陰去	弓箭	ts	in	33	z	in	3
餞	精	先	薦	陰去	以酒食送行曰餞	ts	in	33	z	in	3
濺	精	先	薦	陰去	水激酒也	ts	in	33	z	in	3
燕	以	先	燕	陰去	燕飲又安也	j	in	33	j	in	3
醼	以	先	燕	陰去	合飲也與燕同	j	in	33	j	in	3
讌	以	先	燕	陰去	同上(合飲也與燕同)	j	in	33	j	in	3
俔	以	先	燕	陰去	譬喻也詩俔天之妹	j	in	33	j	in	3
變	幫	先	變	陰去	更也亂也化也	p	in	33	b	in	3
变	幫	先	變	陰去	同上(更也亂也化也)	p	in	33	b	in	3
徧	滂	先	徧	陰去	週也廣也	pʰ	in	33	p	in	3
遍	滂	先	徧	陰去	同上(週也廣也)	pʰ	in	33	p	in	3
片	滂	先	徧	陰去	塊也又半也	pʰ	in	33	p	in	3
騙	滂	先	徧	陰去	誑騙	pʰ	in	33	p	in	3
憲	曉	先	憲	陰去	法度也又作顯	h	in	33	h	in	3
獻	曉	先	憲	陰去	進也又文賢也	h	in	33	h	in	3
献	曉	先	憲	陰去	同上(進也又文賢也)	h	in	33	h	in	3
讞	曉	先	憲	陰去	議獄曰讞獄	h	in	33	h	in	3
巚	曉	先	憲	陰去	山嶺	h	in	33	h	in	3
扇	審	先	扇	陰去	紙扇又搖也	ʃ	in	33	sh	in	3
煽	審	先	扇	陰去	熾也盛也	ʃ	in	33	sh	in	3
諞	審	先	扇	陰去	以言語惑人也	ʃ	in	33	sh	in	3
搧	審	先	扇	陰去	動也	ʃ	in	33	sh	in	3
見	見	先	見	陰去	聞見	k	in	33	g	in	3
建	見	先	見	陰去	建立	k	in	33	g	in	3
彥	日	先	彥	陽去	美士	ȵ	in	22	nj	in	6
諺	日	先	彥	陽去	俗語	ȵ	in	22	nj	in	6
硯	日	先	彥	陽去	墨硯	ȵ	in	22	nj	in	6
倩	心	先	倩	陽去	美男子又好口輔	s	in	22	s	in	6
蒨	心	先	倩	陽去	草盛也	s	in	22	s	in	6
羡	心	先	倩	陽去	餘也又貪也又稱羡	s	in	22	s	in	6
茜	心	先	倩	陽去	草名可染紅者俗音僭茜	s	in	22	s	in	6
殿	端	先	殿	陽去	天子之宮又軍後曰殿	t	in	22	d	in	6
奠	端	先	殿	陽去	安也又置酒也	t	in	22	d	in	6
佃	端	先	殿	陽去	治田也	t	in	22	d	in	6
甸	端	先	殿	陽去	王者之都郊外曰甸	t	in	22	d	in	6
電	端	先	殿	陽去	雷電	t	in	22	d	in	6
靛	端	先	殿	陽去	染藍布用靛	t	in	22	d	in	6
蕈	端	先	殿	陽去	竹席	t	in	22	d	in	6
善	審	先	善	陽去	良善	ʃ	in	22	sh	in	6
膳	審	先	善	陽去	具食	ʃ	in	22	sh	in	6
饍	審	先	善	陽去	食也	ʃ	in	22	sh	in	6
繕	審	先	善	陽去	治也修也	ʃ	in	22	sh	in	6
墡	審	先	善	陽去	白墡上泥	ʃ	in	22	sh	in	6
㷽	審	先	善	陽去	乾也炙也又焆也	ʃ	in	22	sh	in	6
擅	審	先	善	陽去	專也	ʃ	in	22	sh	in	6
面	明	先	面	陽去	頭面	m	in	22	m	in	6
麵	明	先	面	陽去	麥麵	m	in	22	m	in	6
麺	明	先	面	陽去	同上(麥麵)	m	in	22	m	in	6
便	幫	先	便	陽去	方便安也利也	p	in	22	b	in	6
辨	幫	先	便	陽去	分別也	p	in	22	b	in	6
辯	幫	先	便	陽去	以言語辯白也	p	in	22	b	in	6
卞	幫	先	便	陽去	姓	p	in	22	b	in	6
汴	幫	先	便	陽去	地名	p	in	22	b	in	6
忭	幫	先	便	陽去	欣喜也	p	in	22	b	in	6
弁	幫	先	便	陽去	冠也又音盤	p	in	22	b	in	6
徤	見	先	徤	陽去	強徤	k	in	22	g	in	6
健	見	先	徤	陽去	同上(強徤)	k	in	22	g	in	6
件	見	先	徤	陽去	物件	k	in	22	g	in	6
練	來	先	練	陽去	練習又白色	l	in	22	l	in	6
煉	來	先	練	陽去	煅煉	l	in	22	l	in	6
鍊	來	先	練	陽去	鎖鍊又治金曰鍊	l	in	22	l	in	6
現	以	先	現	陽去	現在	j	in	22	j	in	6
晛	以	先	現	陽去	日氣也	j	in	22	j	in	6
莧	以	先	現	陽去	菜名	j	in	22	j	in	6
戰	照	先	戰	陽去	鬪戰又恐懼貌	tʃ	in	22	zh	in	6
賤	精	先	賤	陽去	卑下也	ts	in	22	z	in	6
屑	心	屑	屑	陰入	輕也潔也瑣碎也小也	s	it	3	s	it	3
竊	心	屑	屑	陰入	竊盜又私也	s	it	3	s	it	3
洩	心	屑	屑	陰入	漏也滲也	s	it	3	s	it	3
泄	心	屑	屑	陰入	狎也又音曳	s	it	3	s	it	3
絏	心	屑	屑	陰入	縲絏繫也以黑索抱繫罪人	s	it	3	s	it	3
紲	心	屑	屑	陰入	束縛也	s	it	3	s	it	3
契	心	屑	屑	陰入	舜臣名又闊也	s	it	3	s	it	3
褻	心	屑	屑	陰入	私狎也慢也瀆也	s	it	3	s	it	3
𤑔	心	屑	屑	陰入	燒焚也	s	it	3	s	it	3
燮	心	屑	屑	陰入	調和也理陰陽	s	it	3	s	it	3
暬	心	屑	屑	陰入	侍御	s	it	3	s	it	3
薛	心	屑	屑	陰入	國名又姓	s	it	3	s	it	3
揭	溪	屑	揭	陰入	借也又提揭又姓	kʰ	it	3	k	it	3
竭	溪	屑	揭	陰入	盡也	kʰ	it	3	k	it	3
碣	溪	屑	揭	陰入	碣石	kʰ	it	3	k	it	3
詰	溪	屑	揭	陰入	盤詰	kʰ	it	3	k	it	3
挈	溪	屑	揭	陰入	提挈	kʰ	it	3	k	it	3
訐	溪	屑	揭	陰入	攻訐	kʰ	it	3	k	it	3
孑	溪	屑	揭	陰入	獨立曰孑	kʰ	it	3	k	it	3
襭	溪	屑	揭	陰入	以衣貯物執其袵也	kʰ	it	3	k	it	3
頡	溪	屑	揭	陰入	頡頏飛而上曰頡	kʰ	it	3	k	it	3
朅	溪	屑	揭	陰入	武壯貌	kʰ	it	3	k	it	3
偈	溪	屑	揭	陰入	疾驅貌	kʰ	it	3	k	it	3
必	幫	屑	必	陰入	決也定也	p	it	3	b	it	3
觱	幫	屑	必	陰入	風寒也又名笳羌人所吹以驚馬者	p	it	3	b	it	3
鱉	幫	屑	必	陰入	介魚	p	it	3	b	it	3
鼈	幫	屑	必	陰入	同上(介魚)	p	it	3	b	it	3
鐵	透	屑	鐵	陰入	銅鐵	tʰ	it	3	t	it	3
鉄	透	屑	鐵	陰入	同上(銅鐵)	tʰ	it	3	t	it	3
折	照	屑	折	陰入	損也耗也	tʃ	it	3	zh	it	3
哲	照	屑	折	陰入	明哲	tʃ	it	3	zh	it	3
喆	照	屑	折	陰入	同上(明哲)	tʃ	it	3	zh	it	3
浙	照	屑	折	陰入	浙江	tʃ	it	3	zh	it	3
蜇	照	屑	折	陰入	海蜇水母足	tʃ	it	3	zh	it	3
咽	以	屑	咽	陰入	吞也又哽咽	j	it	3	j	it	3
謁	以	屑	咽	陰入	見也訪也	j	it	3	j	it	3
噎	以	屑	咽	陰入	食氣噎塞不通也	j	it	3	j	it	3
潔	見	屑	潔	陰入	潔淨	k	it	3	g	it	3
絜	見	屑	潔	陰入	度也	k	it	3	g	it	3
結	見	屑	潔	陰入	結也又完也	k	it	3	g	it	3
袺	見	屑	潔	陰入	以衣貯物而執其袵也	k	it	3	g	it	3
設	穿	屑	設	陰入	置主也陳設也	tʃʰ	it	3	ch	it	3
轍	穿	屑	設	陰入	車輪	tʃʰ	it	3	ch	it	3
徹	穿	屑	設	陰入	通明也透也	tʃʰ	it	3	ch	it	3
撤	穿	屑	設	陰入	抽除也握也	tʃʰ	it	3	ch	it	3
節	精	屑	節	陰入	制也儉也符節時節	ts	it	3	z	it	3
节	精	屑	節	陰入	同上(制也儉也符節時節)	ts	it	3	z	it	3
櫛	精	屑	節	陰入	櫛風沐雨	ts	it	3	z	it	3
癤	精	屑	節	陰入	小瘡	ts	it	3	z	it	3
歇	曉	屑	歇	陰入	休息也安也消報	h	it	3	h	it	3
蝎	曉	屑	歇	陰入	蟲名	h	it	3	h	it	3
跌	端	屑	跌	陰入	失足曰跌	t	it	3	d	it	3
切	淸	屑	切	陰入	近也要也	tsʰ	it	3	c	it	3
撇	滂	屑	撇	陰入	篇八聲小擊也略也引也	pʰ	it	3	p	it	3
撆	滂	屑	撇	陰入	同上(篇八聲小擊也略也引也)	pʰ	it	3	p	it	3
瞥	滂	屑	撇	陰入	過目也瞥然暫見也	pʰ	it	3	p	it	3
蹩	滂	屑	撇	陰入	跛也	pʰ	it	3	p	it	3
列	來	屑	列	陽入	分布也行次也位序也	l	it	2	l	it	6
冽	來	屑	列	陽入	寒也潔也	l	it	2	l	it	6
烈	來	屑	列	陽入	火猛也又節烈俠烈	l	it	2	l	it	6
裂	來	屑	列	陽入	破也	l	it	2	l	it	6
桀	見	屑	桀	陽入	夏王名又才過人之稱	k	it	2	g	it	6
傑	見	屑	桀	陽入	豪傑才過萬人謂之傑	k	it	2	g	it	6
𪀾	見	屑	桀	陽入	𪀾鷔惡鳥	k	it	2	g	it	6
杰	見	屑	桀	陽入	盛也與傑同	k	it	2	g	it	6
迭	端	屑	迭	陽入	更也互也遞也代也	t	it	2	d	it	6
秩	端	屑	迭	陽入	職也爵也序也	t	it	2	d	it	6
帙	端	屑	迭	陽入	書衣也又書卷編次	t	it	2	d	it	6
軼	端	屑	迭	陽入	侵也突也車相出也又音逸	t	it	2	d	it	6
瓞	端	屑	迭	陽入	小瓜詩綿綿瓜瓞	t	it	2	d	it	6
垤	端	屑	迭	陽入	邱垤又蟻封	t	it	2	d	it	6
絰	端	屑	迭	陽入	喪服麻在首在腰皆曰絰	t	it	2	d	it	6
耋	端	屑	迭	陽入	八十曰耋	t	it	2	d	it	6
袠	端	屑	迭	陽入	簡袠	t	it	2	d	it	6
滅	明	屑	滅	陽入	息也盡也絶也沒也	m	it	2	m	it	6
烕	明	屑	滅	陽入	同上(息也盡也絶也沒也)	m	it	2	m	it	6
蔑	明	屑	滅	陽入	無也微也削也輕易也	m	it	2	m	it	6
篾	明	屑	滅	陽入	竹皮	m	it	2	m	it	6
截	精	屑	截	陽入	斷也止也	ts	it	2	z	it	6
捷	精	屑	截	陽入	勝也敏疾也報勝曰捷報	ts	it	2	z	it	6
熱	日	屑	熱	陽入	炎熱	ȵ	it	2	nj	it	6
热	日	屑	熱	陽入	同上(炎熱)	ȵ	it	2	nj	it	6
孼	日	屑	熱	陽入	庶出之子曰孼子	ȵ	it	2	nj	it	6
櫱	日	屑	熱	陽入	木伐而抿再生芽曰櫱	ȵ	it	2	nj	it	6
臬	日	屑	熱	陽入	門橛也又臬司	ȵ	it	2	nj	it	6
闑	日	屑	熱	陽入	同上(門橛也又臬司)	ȵ	it	2	nj	it	6
臲	日	屑	熱	陽入	臲卼不安貌	ȵ	it	2	nj	it	6
齧	我	屑	齧	陽入	去噬水也	ŋ	it	2	ng	it	6
囓	我	屑	齧	陽入	同上銀別切(去噬水也)	ŋ	it	2	ng	it	6
別	幫	屑	別	陽入	離別辨別	p	it	2	b	it	6
舌	審	屑	舌	陽入	口舌	ʃ	it	2	sh	it	6
威	云	威	威	陰平	威儀又嚴也	w	ɐi	53	w	ai	1
葳	云	威	威	陰平	葳蕤謂草木葳結而生	w	ɐi	53	w	ai	1
輝	非	威	輝	陰平	光輝	f	ɐi	53	f	ai	1
煇	非	威	輝	陰平	火光也	f	ɐi	53	f	ai	1
暉	非	威	輝	陰平	日光	f	ɐi	53	f	ai	1
揮	非	威	輝	陰平	指揮發揮又揮霍	f	ɐi	53	f	ai	1
麾	非	威	輝	陰平	驅也旌旗所以指揮	f	ɐi	53	f	ai	1
翬	非	威	輝	陰平	雉也	f	ɐi	53	f	ai	1
撝	非	威	輝	陰平	指也又發揮	f	ɐi	53	f	ai	1
虧	非	威	輝	陰平	欠缺也	f	ɐi	53	f	ai	1
隳	非	威	輝	陰平	敗也	f	ɐi	53	f	ai	1
徽	非	威	輝	陰平	美也	f	ɐi	53	f	ai	1
歸	古	威	歸	陰平	還也止也服也	kʷ	ɐi	53	gw	ai	1
㱕	古	威	歸	陰平	同上(還也止也服也)	kʷ	ɐi	53	gw	ai	1
皈	古	威	歸	陰平	皈依	kʷ	ɐi	53	gw	ai	1
奎	古	威	歸	陰平	宿名	kʷ	ɐi	53	gw	ai	1
珪	古	威	歸	陰平	美玉	kʷ	ɐi	53	gw	ai	1
圭	古	威	歸	陰平	上員下方封國則以爲信	kʷ	ɐi	53	gw	ai	1
