繁体	简体	IPA	注释	来源		#說明：	
駝	驼	du2	~鳥	墳派			
鮀	鮀	du2	古代一種生活在淡水中的吹沙小魚	墳派			
紽	紽	du2	古代計算絲的單位，五絲爲一~	墳派			
陀	陀	du2	~螺	墳派			
佗	佗	du2	同“馱”，負載，負荷	墳派			
沱	沱	du2	水灣，多用於地名	墳派			
鼉	鼍	du2	卽揚子鱷	墳派			
徒	徒	du2	忘記~：沒有記性的人	墳派			
圖	图	du2	~書：①各種出版物和文獻資料的總稱；②印章，同“圖章”	墳派			
途	途	du2	~徑	墳派			
荼	荼	du2	①苦菜；②茅、蘆的白花	墳派			
菟	菟	du2	《集韻》：楚人謂虎爲於菟	墳派			
稌	稌	du2	糯稻	墳派			
峹	峹	du2	~山，卽會稽山	墳派			
嵞	嵞	du2	~山，卽會稽山	墳派			
酴	酴	du2	酒麯	墳派			
屠	屠	du2	姓	墳派			
瘏	瘏	du2	生病	墳派			
鴕	鸵	du2	~鳥	墳派			
堶	堶	du2	古代拋擲遊戲用的磚瓦	墳派			
肚	肚	du4	~皮	墳派			
杜	杜	du4	姓	墳派			
橢	椭	du6	堛鼓	墳派			
墮	堕	du6	~落	墳派			
嶞	嶞	du6	狹長的（山）	墳派			
舵	舵	du6	擋~：掌舵	墳派			
渡	渡	du6	踏~擎：從駁岸上走下河沿的石級	墳派			
惰	惰	du6	懶，懈怠	墳派			
大	大	du6	白讀：~人，成人，舊時青年男女要成家立業後才稱“大人”	墳派			
度	度	du6	~死日：混日子	墳派			
鍍	镀	du6	~金	墳派			
慈	慈	dzɿ2	~目：近視眼。|~洋洋：（眼睛）無力、困倦欲睡的樣子	蘇州同音字彙1892			
磁	磁	dzɿ2	~石	蘇州同音字彙1892			
辭	辞	dzɿ2	又讀	蘇州同音字彙1892			
詞	词	dzɿ2	又讀	蘇州同音字彙1892			
嗣	嗣	dzɿ6	又讀	蘇州同音字彙1892			
瀉	泻	dzɑ6		蘇州同音字彙1892			
財	财	dze2	~神菩薩	蘇州同音字彙1892			
才	才	dze2	~剛	蘇州同音字彙1892			
材	材	dze2	城頭浪出棺~——遠兜遠轉：在城墻上走，當然要兜圈子。意爲不直截了當	蘇州同音字彙1892			
裁	裁	dze2	~縫	蘇州同音字彙1892			
垂	垂	dze2	~夜快：傍晚	蘇州同音字彙1892			
隋	隋	dze2	又讀	蘇州同音字彙1892			
隋	隋	ze2	~朝	蘇州同音常用字彙			
瑞	瑞	dze4	~光塔	蘇州同音字彙1892			
在	在	dze6	自~：指嬰兒自得其樂，不吵不鬧	蘇州同音字彙1892			
罪	罪	dze6	~過人：可憐，可憐的人	蘇州同音字彙1892			
遂	遂	dze6	又讀	蘇州同音字彙1892			
穗	穗	dze6	又讀	蘇州同音字彙1892			
銳	锐	dze6	文讀：~氣	蘇州同音字彙1892			
宅	宅	dzɑʔ8	白讀：~基，住宅的地基	蘇州同音字彙1892			
鍘	铡	dzɑʔ8	~刀：切草或切其他東西的器具。刀的一頭固定，一頭有欛，可以上下活動。	蘇州同音字彙1892			
讒	谗	dzæ̃2	~言	蘇州同音字彙1892			
鑱	镵	dzæ̃2	《廣韻》：吳人云犂鐵	蘇州同音字彙1892			
殘	残	dzæ̃2	吃~：已經吃過而剩下的食物，如飯、粥、菜餚	蘇州同音字彙1892			
纔	才	dzæ̃2	剛~	蘇州同音字彙1892			
纔	才	zæ̃2	又讀	蘇州同音常用字彙			
涎	涎	dzæ̃2	口水。理論上聲母爲[z]	蘇州同音字彙1892			
慚	惭	dzæ̃2	羞愧	蘇州同音字彙1892			
棧	栈	dzæ̃6	客~：旅館	蘇州同音字彙1892			
站	站	dzæ̃6	車~	蘇州同音字彙1892			
站	站	zæ̃6	又讀	蘇州同音常用字彙			
賺	赚	dzæ̃6	~銅鈿	蘇州同音字彙1892			
賺	赚	zæ̃6	又讀	蘇州同音常用字彙			
撰	撰	dzæ̃6	~述	蘇州同音字彙1892			
綻	绽	dzæ̃6	（豆莢中果實）飽滿、凸出：蠶豆結得~得勒	蘇州同音字彙1892			
暫	暂	dzæ̃6	~時去一歇歇	蘇州同音字彙1892			
暫	暂	zæ̃6	又讀	蘇州同音常用字彙			
饌	馔	dzæ̃6	飲食	蘇州同音字彙1892			
澄	澄	dzaŋ2	白讀：洋~湖	蘇州同音字彙1892			
澄	澄	zaŋ2	白讀	蘇州同音常用字彙			
橙	橙	dzaŋ2	白讀：~子	蘇州同音字彙1892			
橙	橙	zaŋ2	白讀	蘇州同音常用字彙			
塍	塍	zaŋ2	白讀：巴~鎮	蘇州同音常用字彙			
盛	盛	zaŋ6	白讀：姓	蘇州同音常用字彙			
曹	曹	dzɐɵ2	心~：覺得稍稍有點餓而胃裏微感不舒服。|姓	蘇州同音字彙1892			
嘈	嘈	dzɐɵ2	啰~：亂哄哄。|~雜	蘇州同音字彙1892			
螬	螬	dzɐɵ2	蠐~：金龜子的幼蟲	蘇州同音字彙1892			
槽	槽	dzɐɵ2	屁股~：屁股溝兒。|馬~	蘇州同音字彙1892			
漕	漕	dzɐɵ2	~糧	蘇州同音字彙1892			
皂	皂	zɐɵ4	又讀	蘇州同音常用字彙			
皂	皂	dzɐɵ6	~隸：舊時衙門裏的差役	蘇州同音字彙1892			
造	造	dzɐɵ6	~謠言：造謠。|~北寺塔：形容辦難度很高的事	蘇州同音字彙1892			
澤	泽	dzəʔ8	光~	蘇州同音字彙1892			
賊	贼	dzəʔ8	~腔：醜陋，不好看。|~骨牽牽：形容兒童舉止不沉著，蠢蠢欲動。|笨~	蘇州同音字彙1892			
擇	择	dzəʔ8	揀~	蘇州同音字彙1892			
雜	杂	dzəʔ8	~貨店：賣肥皂、香菸、草紙等日常用品的商店	蘇州同音字彙1892			
存	存	dzən2	~心：故意；特意	蘇州同音字彙1892			
曾	曾	dzən2	~經	蘇州同音字彙1892			
曾	曾	zən2	又讀	蘇州同音常用字彙			
層	层	dzən2	千~餅	蘇州同音字彙1892			
蹭	蹭	dzən6	理論應讀陽平：【集韻】慈陵切。與驓同，馬四骹皆白	蘇州同音字彙1892			
贈	赠	dzən6	~送	蘇州同音字彙1892			
愁	愁	dzəʏ2	又讀	蘇州同音字彙1892			
囚	囚	dzəʏ2	又讀	蘇州同音字彙1892			
袖	袖	dzəʏ6	又讀	蘇州同音字彙1892			
驟	骤	dzəʏ6	①（馬）快跑。②疾速；突然	蘇州同音字彙1892			
齊	齐	dzi2	舒~：準備妥當。|~門	蘇州同音字彙1892			
臍	脐	dzi2	~帶。|好人嘸不肚~眼：指舊時人心叵測，沒有好人	蘇州同音字彙1892			
徐	徐	dzi2		蘇州同音字彙1892			
蠐	蛴	dzi2	~螬：金龜子的幼蟲	蘇州同音字彙1892			
鱭	鲚	dzi4	江~：魛魚	蘇州同音字彙1892			
薺	荠	dzi6	荸~	蘇州同音字彙1892			
聚	聚	dzi6	~頭：聚集，匯合。|~齊：整理（東西）	蘇州同音字彙1892			
序	序	dzi6		蘇州同音字彙1892			
敘	叙	dzi6		蘇州同音字彙1892			
署	署	dzi6	~名	蘇州同音字彙1892			
邪	邪	dziɑ2		蘇州同音字彙1892			
斜	斜	dziɑ2		蘇州同音字彙1892			
謝	谢	dziɑ6		蘇州同音字彙1892			
榭	榭	dziɑ6	亭~樓閣。理論上聲母爲[z]	蘇州同音字彙1892			
嚼	嚼	dziɑʔ8	~蛆：胡說八道。|貪多~弗爛	蘇州同音字彙1892			
祥	祥	dziaŋ2		蘇州同音字彙1892			
祥	祥	ziaŋ2	~雲	蘇州同音常用字彙			
詳	详	dziaŋ2		蘇州同音字彙1892			
牆	墙	dziaŋ2	~頭浪：墻上	蘇州同音字彙1892			
庠	庠	dziaŋ2		蘇州同音字彙1892			
薔	蔷	dziaŋ2	~薇花（“薇”讀[bi²²³]）	蘇州同音字彙1892			
翔	翔	dziaŋ2		蘇州同音字彙1892			
檣	樯	dziaŋ2	~子：桅桿	蘇州同音字彙1892			
像	像	dziaŋ6		蘇州同音字彙1892			
象	象	dziaŋ6		蘇州同音字彙1892			
匠	匠	dziaŋ6	拆料~：小孩好奇，常把家裏的東西拆弄，大人罵孩子爲“拆料匠”	蘇州同音字彙1892			
樵	樵	dziɐɵ2	~夫	蘇州同音字彙1892			
瞧	瞧	dziɐɵ2		蘇州同音字彙1892			
焦	焦	dziɐɵ2	《集韻》：慈焦切	蘇州同音字彙1892			
錢	钱	dziɛ̃2	姓	蘇州同音字彙1892			
錢	钱	ziɛ̃2	又音	蘇州同音常用字彙			
泉	泉	dziɛ̃2	~水	蘇州同音字彙1892			
泉	泉	ziɛ̃2	又音	蘇州同音常用字彙			
潛	潜	dziɛ̃2	~力	蘇州同音字彙1892			
旋	旋	dziɛ̃2	又音	蘇州同音字彙1892			
旋	旋	ziɛ̃2	周~	蘇州同音常用字彙			
鏃	镞	ziɛ̃6	螺螄~。疑爲“鏇”	蘇州同音常用字彙			
全	全	dziɛ̃2	~本熱昏：①完全是假的；②完全是胡來	蘇州同音字彙1892			
全	全	ziɛ̃2	又音	蘇州同音常用字彙			
前	前	dziɛ̃2	~兩日：約數。前三四天也說“前兩日”	蘇州同音字彙1892			
痊	痊	dziɛ̃2	~愈	蘇州同音字彙1892			
漸	渐	dziɛ̃6	~進	蘇州同音字彙1892			
漸	渐	tsiɛ̃1	~浸：浸潤，漬染	蘇州同音常用字彙			
漸	渐	ziɛ̃4	又音	蘇州同音常用字彙			
截	截	dziɪʔ8	鋸斷，切斷：~長補短	蘇州同音字彙1892			
夕	夕	dziɪʔ8		蘇州同音字彙1892			
席	席	dziɪʔ8		蘇州同音字彙1892			
絕	绝	dziɪʔ8	~風：沒有一點點風。夏日白天吹西南風，傍晚往往“絕風”	蘇州同音字彙1892			
籍	籍	dziɪʔ8	書~	蘇州同音字彙1892			
習	习	dziɪʔ8		蘇州同音字彙1892			
疾	疾	dziɪʔ8	瘧~	蘇州同音字彙1892			
寂	寂	dziɪʔ8	~寞	蘇州同音字彙1892			
襲	袭	dziɪʔ8		蘇州同音字彙1892			
嫉	嫉	dziɪʔ8	~妒	蘇州同音字彙1892			
尋	寻	dziɪn2		蘇州同音字彙1892			
情	情	dziɪn2		蘇州同音字彙1892			
秦	秦	dziən2	姓	蘇州同音字彙1892			
撏	挦	dziɪn2		蘇州同音字彙1892			
循	循	dziɪn2		蘇州同音字彙1892			
巡	巡	dziɪn2		蘇州同音字彙1892			
晴	晴	dziɪn2		蘇州同音字彙1892			
盡	尽	dziən6	~心竭力	蘇州同音字彙1892			
靜	静	dziɪn6	冷~：孤單冷清	蘇州同音字彙1892			
就	就	dziʏ6	成~	蘇州同音字彙1892			
查	查	dzo2	調~	蘇州同音字彙1892			
茶	茶	dzo2	~葉	蘇州同音字彙1892			
茶	茶	zo2		蘇州同音常用字彙			
搽	搽	zo2	~粉	蘇州同音常用字彙			
蛇	蛇	dzo6		蘇州同音字彙1892			
蛇	蛇	zo2	白讀：~無頭兒不行	蘇州同音常用字彙			
麝	麝	dzo6		蘇州同音字彙1892			
麝	麝	zo6	白讀：~香	蘇州同音常用字彙			
社	社	dzo6	白讀	蘇州同音字彙1892			
俗	俗	dzoʔ8		蘇州同音字彙1892			
鑿	凿	dzoʔ8	斧頭吃~子，~子吃木頭	蘇州同音字彙1892			
族	族	dzoʔ8	~門：同一父系的家族或宗族	蘇州同音字彙1892			
蜀	蜀	dzoʔ8	玉~黍，卽雨麥	蘇州同音字彙1892			
續	续	dzoʔ8		蘇州同音字彙1892			
啄	啄	dzoʔ8		蘇州同音字彙1892			
啄	啄	zoʔ8	白讀：~一口	蘇州同音常用字彙			
攢	攒	dzœ̃2	聚，湊集，拼湊。《洪武正韻》：徂官切	蘇州同音字彙1892			
攢	攒	zœ̃6	理論上聲母應讀[dz]。《洪武正韻》：在玩切	蘇州同音常用字彙			
蠶	蚕	dzœ̃2	~寶寶	蘇州同音字彙1892			
戎	戎	dzoŋ2		蘇州同音字彙1892			
崇	崇	dzoŋ2		蘇州同音字彙1892			
誦	诵	dzoŋ6		蘇州同音字彙1892			
頌	颂	dzoŋ6	又音	蘇州同音字彙1892			
訟	讼	dzoŋ6		蘇州同音字彙1892			
藏	藏	dzɔŋ2	~身	蘇州同音字彙1892			
償	偿	dzɔŋ2		蘇州同音字彙1892			
鋤	锄	dzu2	~地：鋤草，鬆土	蘇州同音字彙1892			
鋤	锄	zu2		蘇州同音常用字彙			
坐	坐	dzu6	~監牢：處徒刑	蘇州同音字彙1892			
坐	坐	zu4		蘇州同音常用字彙			
坐	坐	zu6		蘇州同音常用字彙			
助	助	dzu6	幫~	蘇州同音字彙1892			
助	助	zu6		蘇州同音常用字彙			
座	座	dzu6	~位	蘇州同音字彙1892			
座	座	zu6		蘇州同音常用字彙			
番	番	fæ̃1	經一~長一智	墳派			
繙	繙	fæ̃1	《廣韻》：孚袁切	墳派			
翻	翻	fæ̃1	~毛戧：翻臉	墳派			
𠯘	𠯘	fæ̃1		墳派			
拚	拚	fæ̃1	古同“翻”，飛的樣子	墳派			
反	反	fæ̃3	噪~：鬧翻	墳派			
阪	阪	fæ̃3		墳派			
