繁体	简体	IPA	注释	来源		#說明：	
巧	巧	ʨʰiɐɵ3	剛~：①剛才：小張，剛巧有人尋倷。②恰巧：大家坐下來，剛巧十個人|我去尋俚，剛巧俚下班轉來	蘇州同音字彙1892			
竅	窍	ʨʰiɐɵ5	訣~	蘇州同音字彙1892			
𠼻	𠼻	ʨi1	~𡀔𪡈：智天使	蘇州同音字彙1892			
嘰	叽	ʨi1	嗶~	蘇州同音常用字彙			
墼	墼	ʨi1	炭~。聲調取自普通話讀法，應讀[ʨiəʔ⁴]	蘇州同音常用字彙			
旣	既	ʨi5	~然	蘇州同音字彙1892			
豈	岂	ʨʰi1	疑因詞語變調，如“豈可”讀55-21、“豈有此理”的“豈有”讀55-21，而誤記作陰平	蘇州同音字彙1892			
啟	启	ʨʰi3	~發	蘇州同音字彙1892			
去	去	ʨʰi3	白讀：出~	蘇州同音字彙1892			
汽	汽	ʨʰi5	~水	蘇州同音字彙1892			
㓤	㓤	ʨiɪʔ7	剝	蘇州同音字彙1892			
刧	刧	ʨiɪʔ7	同“劫”	蘇州同音字彙1892			
㦸	㦸	ʨiɪʔ7	同“戟”	蘇州同音字彙1892			
莢	荚	ʨiɪʔ7	皂~	蘇州同音字彙1892			
喫	吃	ʨʰiɪʔ7	今“吃”的本字	蘇州同音字彙1892			
灸	灸	ʨiʏ3	針~：針法和灸法的合稱	蘇州同音字彙1892			
玖	玖	ʨiʏ5	又音。據《集韻》：居又切	蘇州同音字彙1892			
坵	丘	ʨʰiʏ1	同“丘”，小土山：~墟	蘇州同音字彙1892			
蚯	蚯	ʨʰiʏ1	~蚓，卽蛐蟮	蘇州同音字彙1892			
孬	孬	ʨʰiʏ1	正字應爲“恘”，表示壞、不好	蘇州同音字彙1892			
麴	麴	ʨioʔ7	把麥子或白米蒸過，使它發酵後再晒乾，稱爲“麴”。可用來釀酒。也稱爲“酒母”“酒麴”	蘇州同音字彙1892			
蛐	蛐	ʨʰioʔ7	~蟮，卽蚯蚓	蘇州同音字彙1892			
卷	卷	ʨiœ̃5	~子	蘇州同音字彙1892			
𩜇	卷	ʨiœ̃5	捲筒狀的麵食	蘇州同音字彙1892			
圈	圈	ʨʰiœ̃1	兜~子	蘇州同音字彙1892			
棬	棬	ʨʰiœ̃1	曲木製成的飲器	蘇州同音字彙1892			
犬	犬	ʨʰiœ̃3	反~旁，卽“犭”	蘇州同音字彙1892			
龔	龚	ʨioŋ1	姓	蘇州同音字彙1892			
坰	坰	ʨioŋ3	疑因陰平與陰上相混而導致誤記	蘇州同音字彙1892			
炯	炯	ʨioŋ5	疑因陰上與陰去相混而導致誤記	蘇州同音字彙1892			
芎	芎	ʨʰioŋ1	川~	蘇州同音字彙1892			
鬼	鬼	ʨy3	白讀：餓煞~：引申爲食量大的兒童。[例]小赤佬賽過餓煞鬼投胎，飯吃仔兩大碗還要添	蘇州同音字彙1892			
樞	枢	ʨʰy1	又音，疑爲本音	蘇州同音字彙1892			
倔	倔	ʨyɪʔ7	讀音來源不明	蘇州同音字彙1892			
决	决	ʨyɪʔ7	“決”的簡體字	蘇州同音字彙1892			
倔	倔	ʨʰyɪʔ7	~强亦通屈彊，亦可作屈强	蘇州同音字彙1892			
喇	喇	lɑ2	~叭	蘇州同音字彙1892			
拉	拉	lɑ1	白讀：~倒	蘇州同音字彙1892			
挪	挪	lɑ2	讀音來源不明	蘇州同音字彙1892			
賴	赖	lɑ6	白讀：~學（逃學）|~極皮（耍賴）	蘇州同音字彙1892			
癩	癞	lɑ6	白讀：~團（癩蛤蟆，也可說癩蛤蚆）|~疥瘡（疥瘡）	蘇州同音字彙1892			
拉	拉	lɑʔ8	本音。應讀[laʔ²³]，因作者未區分[aʔ][ɑʔ]	蘇州同音字彙1892			
辣	辣	lɑʔ8	應讀[laʔ²³]，因作者未區分[aʔ][ɑʔ]	蘇州同音字彙1892			
蠟	蜡	lɑʔ8	應讀[laʔ²³]，因作者未區分[aʔ][ɑʔ]	蘇州同音字彙1892			
鬎	瘌	laʔ8	~鬁~，疑爲“鬎鬁”，病名。因感染黃癬導致生瘡而禿頭	蘇州同音常用字彙			
蠟	蜡	laʔ8	~燭	蘇州同音常用字彙			
臘	腊	laʔ8	~梅花	蘇州同音常用字彙			
獵	猎	laʔ8	白讀：打~	蘇州同音常用字彙			
邋	邋	laʔ8	~遢頭	蘇州同音常用字彙			
爉	爉	lɑʔ8	火的樣子。應讀[laʔ²³]，因作者未區分[aʔ][ɑʔ]	蘇州同音字彙1892			
臈	臈	lɑʔ8	同“臘”。應讀[laʔ²³]，因作者未區分[aʔ][ɑʔ]	蘇州同音字彙1892			
啦	啦	lɑʔ8	應讀[laʔ²³]，因作者未區分[aʔ][ɑʔ]	蘇州同音字彙1892			
擂	擂	le2	①研磨。②搥打，敲擊：~鼓	蘇州同音字彙1892			
擂	擂	le6	~臺。聲調據《廣韻》：盧對切	蘇州同音常用字彙			
儡	儡	le6	又音	蘇州同音字彙1892			
冷	冷	laŋ4	白讀：~落得極	蘇州同音字彙1892			
佬	佬	lɐɵ2	應讀陽上：大好~（大人物）	蘇州同音字彙1892			
蟧	蟧	lɐɵ2	螖蠌，一種寄居空螺殼的小蟹	蘇州同音字彙1892			
嘮	唠	lɐɵ1	~叨	蘇州同音字彙1892			
嘮	唠	lɐɵ2	說話沒完沒了	蘇州同音字彙1892			
恅	恅	lɐɵ4	愺~：心亂；寂靜	蘇州同音字彙1892			
咾	咾	lɐɵ4	①象聲詞。②聲。③語氣詞	蘇州同音字彙1892			
栳	栳	lɐɵ4	栲~：竹製或柳條製的盛物器。也作“笆斗”	蘇州同音常用字彙			
癆	痨	lɐɵ6	因結核菌所引起的傳染病：肺~。《集韻》：郞到切	蘇州同音字彙1892			
艻	艻	ləʔ8	蘿~：一種香草	蘇州同音字彙1892			
垃	垃	ləʔ8	老派：~圾覅亂倒	蘇州同音字彙1892			
鰳	鳓	ləʔ8	~魚	蘇州同音字彙1892			
蜦	蜦	lən2	古書裏記載的一種能興雲雨的黑色神蛇	蘇州同音字彙1892			
論	论	lən6	表示約數的前加成分：~千上萬（形容數量極多。也可說“論百上千”）|~千人（一千人左右）	蘇州同音字彙1892			
艛	艛	ləʏ2	甲板上建有樓室的船隻	蘇州同音字彙1892			
硫	硫	ləʏ2	~黃：製造爆竹的原料之一，也可以用來治療皮膚病	蘇州同音字彙1892			
褸	褛	ləʏ4	應讀陽平：衣襟	蘇州同音字彙1892			
褸	褛	li4	衣服破敝：衣衫襤~	製錶者自行補充			
瘺	瘘	ləʏ6	同“瘻”	蘇州同音字彙1892			
狸	狸	li2	狐~精：比喩以色迷人的女性	蘇州同音字彙1892			
厘	厘	li2	“釐”的簡體字	蘇州同音字彙1892			
哩	哩	li4	《正字通》：元人詞曲，借爲助語	蘇州同音字彙1892			
唎	唎	li6	語氣詞	蘇州同音字彙1892			
淚	泪	li6	白讀：眼~	蘇州同音字彙1892			
凉	凉	liaŋ2	“涼”的簡體字	蘇州同音字彙1892			
樑	梁	liaŋ2	“梁”的異體字：塌鼻~：鼻樑比一般人低，向下塌。[例]塌鼻樑，嘸主張	蘇州同音字彙1892			
兩	两	liaŋ4	頭~個：個把兩個	蘇州同音字彙1892			
量	量	liaŋ4	又音	蘇州同音字彙1892			
輛	辆	liaŋ6	車~	蘇州同音字彙1892			
嫽	嫽	liɐɵ2	①遊戲，逗弄。②美好	蘇州同音字彙1892			
鐐	镣	liɐɵ2	①純美的白銀。②有空的鑪。③繫足的刑具：~銬	蘇州同音字彙1892			
了	了	liɐɵ4	~弗得：了不得，也可以說“了倣弗得”	蘇州同音字彙1892			
燎	燎	liɐɵ4	焚燒：~原。據《集韻》：朗鳥切	蘇州同音字彙1892			
燎	燎	liɐɵ2	又音。據《集韻》：憐蕭切。縱火焚也。	製錶者自行補充			
繚	缭	liɐɵ2	~繞。《廣韻》：落蕭切	製錶者自行補充			
繚	缭	liɐɵ4	又音。《廣韻》：盧鳥切	蘇州同音字彙1892			
𭩶	𭩶	liɪʔ8		蘇州同音字彙1892			
凓	凓	liɪʔ8	寒冷	蘇州同音字彙1892			
歷	历	liɪʔ8	~史	蘇州同音字彙1892			
聿	聿	liɪʔ8		蘇州同音字彙1892			
陸	陆	loʔ8	姓	蘇州同音字彙1892			
樂	乐	loʔ8	快~	蘇州同音字彙1892			
錄	录	loʔ8	“録”的旧字型	蘇州同音字彙1892			
甪	甪	loʔ8	~直鎮	蘇州同音常用字彙			
孌	娈	lœ̃4	美好貌。《廣韻》：力兗切	蘇州同音字彙1892			
卵	卵	lœ̃4	鈍~：本想做某事因鬧彆扭故意賭氣不做，意氣用事。|咬~：恨恨不已	蘇州同音字彙1892			
攏	拢	loŋ4	船~岸	蘇州同音字彙1892			
哢	哢	loŋ6	（鳥）鳴	蘇州同音字彙1892			
衖	衖	loŋ6	~堂	蘇州同音字彙1892			
蜋	螂	lɔŋ2	同“螂”	蘇州同音常用字彙			
螂	螂	lɔŋ2	螳~	蘇州同音字彙1892			
朗	朗	lɔŋ4	~~喉嚨：亮亮嗓子	蘇州同音字彙1892			
晾	晾	lɔŋ6	白讀：~衣裳	蘇州同音常用字彙			
上	上	lɔŋ6	白讀：檯~。俗寫作“浪”	蘇州同音常用字彙			
嘸	呒	m̩2	～不：没有	蘇州同音字彙1892			
無	无	m̩2	～不：没有	蘇州同音字彙1892			
買	买	mɑ4	~小菜：買菜	蘇州同音字彙1892			
賣	卖	mɑ6	~相：外觀；外貌	蘇州同音字彙1892			
咩	咩	mɑ1	羊~~。可能不是本字	蘇州同音常用字彙			
媽	妈	mɑ1	~~	蘇州同音常用字彙			
媽	妈	mɑ3	也有可能讀陽上	蘇州同音字彙1892			
媒	媒	me6		蘇州同音字彙1892			
麥	麦	mɑʔ8	大~	蘇州同音字彙1892			
脈	脉	mɑʔ8		蘇州同音字彙1892			
衇	脉	mɑʔ8		蘇州同音字彙1892			
脉	脉	mɑʔ8		蘇州同音字彙1892			
陌	陌	mɑʔ8	~生人	蘇州同音字彙1892			
襪	袜	maʔ8		蘇州同音字彙1892			
蝱	虻	maŋ2	白讀	蘇州同音字彙1892			
蜢	蜢	maŋ2	白讀：谷~，螞蚱	蘇州同音字彙1892			
盲	盲	maŋ2	白讀：捉~~	蘇州同音常用字彙			
猛	猛	maŋ4	白讀：~將	蘇州同音字彙1892			
孟	孟	maŋ6	白讀：姓	蘇州同音字彙1892			
猫	猫	mɐɵ2		蘇州同音字彙1892			
錨	锚	mɐɵ2	拋~	蘇州同音字彙1892			
冐	冒	mɐɵ6		蘇州同音字彙1892			
物	物	məʔ8	白讀：~事	蘇州同音字彙1892			
没	没	məʔ8	沉~	蘇州同音字彙1892			
殁	殁	məʔ8		蘇州同音字彙1892			
們	们	mən2		蘇州同音字彙1892			
蚊	蚊	mən2	白讀：~子	蘇州同音字彙1892			
𠵘	𠵘	mən2		蘇州同音字彙1892			
問	问	mən6	白讀	蘇州同音字彙1892			
悶	闷	mən6		蘇州同音字彙1892			
燜	焖	mən6		蘇州同音字彙1892			
茂	茂	məʏ6		蘇州同音字彙1892			
謬	谬	məʏ6	荒~	蘇州同音字彙1892			
糜	糜	mi1					
糜	糜	mi2	~費	蘇州同音字彙1892			
瀰	弥	mi2		蘇州同音字彙1892			
獼	猕	mi2		蘇州同音字彙1892			
靡	靡	mi4		蘇州同音字彙1892			
味	味	mi6		蘇州同音字彙1892			
乜	乜	mi6		蘇州同音字彙1892			
渺	渺	miɐɵ6		蘇州同音字彙1892			
宓	宓	miɪʔ8		蘇州同音字彙1892			
痳	麻	mo2		蘇州同音字彙1892			
蔴	麻	mo2		蘇州同音字彙1892			
摩	摩	mo2		蘇州同音字彙1892			
沫	沫	mo2		蘇州同音字彙1892			
⿰口魔	⿰口魔	mo2		蘇州同音字彙1892			
模	模	mo2		蘇州同音常用字彙			
糢	糢	mo2	~糊，同“模糊”	蘇州同音常用字彙			
瑪	玛	mo4		蘇州同音字彙1892			
碼	码	mo4		蘇州同音字彙1892			
螞	蚂	mo4		蘇州同音字彙1892			
幕	幕	mo6	開~	蘇州同音字彙1892			
嗎	吗	mo6		蘇州同音字彙1892			
麽	么	moʔ8		蘇州同音字彙1892			
糢	糢	moʔ8		蘇州同音字彙1892			
瞞	瞒	mœ̃2		蘇州同音字彙1892			
饅	馒	mœ̃2	~頭	蘇州同音字彙1892			
鰻	鳗	mœ̃2		蘇州同音字彙1892			
襔	襔	mœ̃2		蘇州同音字彙1892			
忘	忘	mɔŋ2		蘇州同音字彙1892			
忘	忘	mɔŋ6	~記	蘇州同音常用字彙			
網	網	mɔŋ4		蘇州同音字彙1892			
望	望	mɔŋ6		蘇州同音字彙1892			
妄	妄	mɔŋ6		蘇州同音字彙1892			
㑚	㑚	nɑ2		蘇州同音字彙1892			
挪	挪	nɑ1	①移動：~移|~用|~過點。②折騰：覅瞎~	蘇州同音字彙1892			
奶	奶	nɑ1	~~	蘇州同音字彙1892			
艿	艿	nɑ4		蘇州同音字彙1892			
那	那	nɑ3	陰陽調可能存疑	蘇州同音字彙1892			
哪	哪	nɑ6		蘇州同音字彙1892			
乃	乃	ne4		蘇州同音字彙1892			
倷	倷	ne6		蘇州同音字彙1892			
𭡠	捺	nɑʔ8		蘇州同音字彙1892			
鬧	闹	nɐɵ6		蘇州同音字彙1892			
吶	呐	nəʔ8	~喊	蘇州同音字彙1892			
𠺶	𠺶	nəʔ8		蘇州同音字彙1892			
吳	吴	ŋ̍2	姓	蘇州同音字彙1892			
魚	鱼	ŋ̍2		蘇州同音字彙1892			
五	五	ŋ̍4		蘇州同音字彙1892			
㕶	㕶	ŋ̍4	~篤，亦可寫作“唔篤”	蘇州同音字彙1892			
午	午	ŋ̍4	~時	蘇州同音字彙1892			
⿴囗五	⿴囗五	ŋ̍4		蘇州同音字彙1892			
忤	忤	ŋ̍6	~逆	蘇州同音字彙1892			
牙	牙	ŋɑ2	白讀	蘇州同音字彙1892			
芽	芽	ŋɑ2	白讀	蘇州同音字彙1892			
衙	衙	ŋɑ2	白讀：~門	蘇州同音字彙1892			
齖	牙	ŋɑ2	白讀	蘇州同音字彙1892			
外	外	ŋɑ6	白讀：門~頭	蘇州同音字彙1892			
硬	硬	ŋaŋ6	白讀：軟~弗詞匀	蘇州同音字彙1892			
厫	廒	ŋɐɵ2	~間	蘇州同音字彙1892			
鰲	鳌	ŋɐɵ2		蘇州同音字彙1892			
咬	咬	ŋɐɵ4		蘇州同音字彙1892			
齩	咬	ŋɐɵ4		蘇州同音字彙1892			
月	月	ŋəʔ8	白讀：~亮	蘇州同音字彙1892			
月	月	ȵyɪʔ8	白讀：~日	蘇州同音常用字彙			
呃	呃	ŋəʔ8		蘇州同音字彙1892			
拾	拾	ŋəʔ8	~起來。可能爲誤記，今讀[ziəʔ²³]	蘇州同音字彙1892			
軟	软	ŋœ̃4	欺硬弗欺~	蘇州同音字彙1892			
輭	软	ŋœ̃4		蘇州同音字彙1892			
柟	楠	nœ̃2		蘇州同音字彙1892			
囡	囡	nœ̃1	小~~	蘇州同音常用字彙			
囡	囡	nœ̃2	~兒	蘇州同音字彙1892			
餪	餪	nœ̃4	~房	蘇州同音常用字彙			
癑	脓	noŋ2		蘇州同音字彙1892			
揑	捏	ȵiɑʔ8		蘇州同音字彙1892			
捏	捏	ȵiaʔ8	~一把汗	蘇州同音常用字彙			
搦	搦	ȵiɑʔ8	~緊仔弗放	蘇州同音字彙1892			
孃	孃	ȵiaŋ1		蘇州同音字彙1892			
孃	娘	ȵiaŋ2		蘇州同音字彙1892			
讓	让	ȵiaŋ6	白讀：~别人	蘇州同音字彙1892			
饒	饶	ȵiɐɵ2	白讀：弗~讓	蘇州同音字彙1892			
繞	绕	ȵiɐɵ4	~脚弗完	蘇州同音字彙1892			
繞	绕	ȵiɐɵ6	又音	蘇州同音字彙1892			
嫐	嫐	ȵiɐɵ4	疑爲“嬲”	蘇州同音字彙1892			
嬲	嬲	ȵiɐɵ4		蘇州同音字彙1892			
伲	伲	ȵi2		蘇州同音字彙1892			
坭	坭	ȵi2		蘇州同音字彙1892			
妮	妮	ȵi2		蘇州同音字彙1892			
柅	柅	ȵi2		蘇州同音字彙1892			
兒	儿	ȵi2	~子	蘇州同音字彙1892			
耳	耳	ȵi4	白讀：~朵	蘇州同音字彙1892			
尾	尾	ȵi4		蘇州同音字彙1892			
二	二	ȵi6	白讀	蘇州同音字彙1892			
貳	贰	ȵi6	白讀	蘇州同音字彙1892			
日	日	ȵiɪʔ8	白讀：~頭	蘇州同音字彙1892			
熱	热	ȵiɪʔ8	白讀	蘇州同音字彙1892			
獄	狱	ȵioʔ8	監~	蘇州同音字彙1892			
褥	褥	ȵioʔ8	白讀：~子	蘇州同音字彙1892			
肉	肉	ȵioʔ8	白讀	蘇州同音字彙1892			
朒	朒	ȵioʔ8	縮~	蘇州同音常用字彙			
玉	玉	ȵioʔ8	白讀	蘇州同音字彙1892			
蝸	蜗	o1	文讀：~牛，卽背包蜒蚰。又音	蘇州同音常用字彙			
啊	啊	o5	白讀。聲調據《集韻》：安賀切。愛惡聲也	蘇州同音常用字彙			
𣏎	桠	o1	~杈	蘇州同音字彙1892			
啞	哑	o1	白讀	蘇州同音字彙1892			
啞	哑	o3	白讀：~子	蘇州同音常用字彙			
丫	丫	o1	白讀：~頭	蘇州同音字彙1892			
鴉	鸦	o1	白讀：老~，烏鴉	蘇州同音字彙1892			
亞	亚	o5	白讀	蘇州同音字彙1892			
下	下	ɦo4	白讀：樓底~	蘇州同音常用字彙			
下	下	ɦo6	又音	蘇州同音字彙1892			
夏	夏	ɦo4	又音	蘇州同音常用字彙			
夏	夏	ɦo6	白讀：~天	蘇州同音字彙1892			
嗄	嗄	ɦo6		蘇州同音常用字彙			
惡	恶	oʔ7		蘇州同音字彙1892			
學	学	ɦoʔ8	白讀：~好樣	蘇州同音字彙1892			
菴	庵	œ̃1		蘇州同音字彙1892			
揞	揞	œ̃3		蘇州同音字彙1892			
釬	焊	œ̃5	聲調據《廣韻》類推而得	蘇州同音常用字彙			
旱	旱	ɦœ̃6		蘇州同音字彙1892			
罋	瓮	oŋ5	~頭。聲調採自“甕”	蘇州同音常用字彙			
齆	齆	oŋ5	~鼻頭：鼻子不通氣	蘇州同音字彙1892			
骯	肮	ɔŋ1	~髒	蘇州同音字彙1892			
盎	盎	ɔŋ5		蘇州同音字彙1892			
行	行	ɦɔŋ2	白讀：米~	蘇州同音字彙1892			
降	降	ɦɔŋ2	投~	蘇州同音字彙1892			
項	项	ɦɔŋ4	姓	蘇州同音常用字彙			
項	项	ɦɔŋ6		蘇州同音字彙1892			
巷	巷	ɦɔŋ6	大街小~	蘇州同音字彙1892			
襬	䙓	pɑ3		蘇州同音常用字彙			
擺	摆	pɑ3		蘇州同音字彙1892			
叭	叭	pɑ5	~兒狗	蘇州同音字彙1892			
拜	拜	pɑ5		蘇州同音字彙1892			
派	派	pʰɑ5	~一個人去	蘇州同音字彙1892			
憊	惫	pʰɑ5		蘇州同音字彙1892			
胚	胚	pʰe1		蘇州同音字彙1892			
吥	吥	pʰe1		蘇州同音字彙1892			
百	百	pɑʔ7	白讀	蘇州同音字彙1892			
伯	伯	pɑʔ7	老~~	蘇州同音字彙1892			
柏	柏	pɑʔ7	~樹	蘇州同音字彙1892			
爸	爸	pɑʔ7		蘇州同音字彙1892			
咟	咟	pɑʔ7		蘇州同音字彙1892			
拍	拍	pʰɑʔ7	白讀：~蒼蠅	蘇州同音字彙1892			
珀	珀	pʰɑʔ7	白讀	蘇州同音字彙1892			
魄	魄	pʰɑʔ7	白讀：三魂六~	蘇州同音字彙1892			
浜	浜	paŋ1		蘇州同音字彙1892			
綳	绷	paŋ1	做~子	蘇州同音常用字彙			
繃	绷	paŋ1	~帶	蘇州同音常用字彙			
迸	迸	paŋ5	~坼	蘇州同音字彙1892			
碰	碰	pʰaŋ5		蘇州同音字彙1892			
掽	碰	pʰaŋ5	~着法	蘇州同音常用字彙			
拋	拋	pʰɐɵ1		蘇州同音常用字彙			
炮	炮	pʰɐɵ1		蘇州同音字彙1892			
脬	脬	pʰɐɵ1	豬尿~	蘇州同音字彙1892			
砲	炮	pʰɐɵ5		蘇州同音字彙1892			
泡	泡	pʰɐɵ5	飯~粥	蘇州同音字彙1892			
礮	炮	pʰɐɵ5	馬後~	蘇州同音常用字彙			
缽	钵	pəʔ7	~頭	蘇州同音字彙1892			
賁	贲	pən1		蘇州同音字彙1892			
淜	淜	pʰən1		蘇州同音字彙1892			
吡	吡	pi1		蘇州同音字彙1892			
砒	砒	pʰi1	~霜	蘇州同音字彙1892			
屁	屁	pʰi1		蘇州同音字彙1892			
屁	屁	pʰi5	~股	蘇州同音常用字彙			
䊧	屁	pʰi5	放~	蘇州同音常用字彙			
披	披	pʰi5		蘇州同音字彙1892			
庇	庇	pʰi5		蘇州同音字彙1892			
鏢	镖	piɐɵ1	保~	蘇州同音常用字彙			
婊	婊	piɐɵ3	~子	蘇州同音字彙1892			
剽	剽	piɐɵ5		蘇州同音字彙1892			
標	标	piɐɵ5		蘇州同音字彙1892			
殍	殍	pʰiɐɵ3	餓~	蘇州同音字彙1892			
瞟	瞟	pʰiɐɵ3	~眼	蘇州同音常用字彙			
票	票	pʰiɐɵ5	~子	蘇州同音字彙1892			
剽	剽	pʰiɐɵ5		蘇州同音字彙1892			
嗶	哔	piɪʔ7		蘇州同音字彙1892			
鱉	鳖	piɪʔ7		蘇州同音字彙1892			
煏	煏	piɪʔ7	烘乾	蘇州同音字彙1892			
別	别	piɪʔ7		蘇州同音字彙1892			
辟	辟	pʰiɪʔ7		蘇州同音字彙1892			
劈	劈	pʰiɪʔ7		蘇州同音字彙1892			
疤	疤	po1	~瘢	蘇州同音字彙1892			
吧	吧	po1		蘇州同音字彙1892			
舥	舥	po1		蘇州同音字彙1892			
豝	豝	po1		蘇州同音字彙1892			
絆	绊	pœ̃5		蘇州同音字彙1892			
拚	拚	pʰœ̃1		蘇州同音字彙1892			
棚	棚	poŋ1		蘇州同音字彙1892			
蹦	蹦	poŋ5	~上去	蘇州同音常用字彙			
捧	捧	pʰoŋ3	文讀：~勒手裏	蘇州同音字彙1892			
幫	帮	pɔŋ1	~忙	蘇州同音字彙1892			
帮	帮	pɔŋ1		蘇州同音字彙1892			
綁	绑	pɔŋ3		蘇州同音字彙1892			
髈	髈	pɔŋ3	據韻書，該字聲母應爲滂母	蘇州同音字彙1892			
膀	膀	pʰɔŋ1	蹄~。讀音據《集韻》：鋪郎切	蘇州同音常用字彙			
䠙	䠙	pʰɔŋ1		蘇州同音字彙1892			
滂	滂	pʰɔŋ1		蘇州同音字彙1892			
胖	胖	pʰɔŋ5		蘇州同音字彙1892			
撕	撕	sɿ1	~破	蘇州同音字彙1892			
梳	梳	sɿ1	~頭	蘇州同音字彙1892			
鷥	鸶	sɿ1	鷺~	蘇州同音字彙1892			
屎	屎	sɿ3		蘇州同音字彙1892			
篩	筛	sɑ1	白讀：綳~	蘇州同音字彙1892			
釃	酾	sɑ1	~酒	蘇州同音常用字彙			
灑	洒	sɑ3	~掃	蘇州同音字彙1892			
洒	洒	sɑ3		蘇州同音字彙1892			
鰓	鳃	se1		蘇州同音字彙1892			
撒	撒	sɑʔ7		蘇州同音字彙1892			
眨	眨	sɑʔ7		蘇州同音字彙1892			
眨	眨	saʔ7	~~眼睛。本音	蘇州同音常用字彙			
𫬒	𫬒	sɑʔ7		蘇州同音字彙1892			
生	生	saŋ1	白讀：先~	蘇州同音字彙1892			
牲	牲	saŋ1	白讀：衆~	蘇州同音字彙1892			
甥	甥	saŋ1	白讀：外~	蘇州同音字彙1892			
笙	笙	saŋ1	白讀	蘇州同音字彙1892			
省	省	saŋ3	白讀：~儉	蘇州同音字彙1892			
眚	眚	saŋ3	白讀	蘇州同音字彙1892			
稍	稍	sɐɵ3		蘇州同音字彙1892			
掃	扫	sɐɵ5	~帚	蘇州同音字彙1892			
摔	摔	səʔ7		蘇州同音字彙1892			
圾	圾	səʔ7	垃~，老派讀音	蘇州同音字彙1892			
蝨	虱	səʔ7	白~	蘇州同音字彙1892			
參	参	sən1	人~	蘇州同音字彙1892			
繡	绣	səʏ5	~花針	蘇州同音字彙1892			
綉	绣	səʏ5		蘇州同音字彙1892			
些	些	si1	稍~好一點	蘇州同音字彙1892			
樨	樨	si1	木~	蘇州同音常用字彙			
壐	壐	si3	同“璽”	蘇州同音字彙1892			
死	死	si3	白讀	蘇州同音字彙1892			
細	细	si5		蘇州同音字彙1892			
婿	婿	si5		蘇州同音字彙1892			
卌	卌	si5	四十。聲調不確定	蘇州同音常用字彙			
鑲	镶	siaŋ1		蘇州同音字彙1892			
嘯	啸	siɐɵ5	~聚	蘇州同音字彙1892			
戍	戍	siɪʔ7		蘇州同音字彙1892			
薛	薛	siɪʔ7	姓	蘇州同音字彙1892			
䘏	恤	siɪʔ7	撫~	蘇州同音字彙1892			
膝	膝	siɪʔ7		蘇州同音字彙1892			
砂	砂	so1	硼~	蘇州同音字彙1892			
痧	痧	so1	吞~	蘇州同音字彙1892			
鯊	鲨	so1		蘇州同音字彙1892			
赦	赦	so5	白讀：饒~	蘇州同音字彙1892			
晒	晒	so5		蘇州同音字彙1892			
𢱢	索	soʔ7		蘇州同音字彙1892			
朔	朔	soʔ7		蘇州同音字彙1892			
搠	搠	soʔ7		蘇州同音字彙1892			
聳	耸	soŋ1		蘇州同音字彙1892			
傷	伤	sɔŋ1	白讀：~陰騭（做了見不得人的事）	蘇州同音字彙1892			
孀	孀	sɔŋ1	白讀：孤~	蘇州同音字彙1892			
賞	赏	sɔŋ3	白讀：~紅（農曆二月十二，白花生日，花果農都要給花果樹披紅，故名）	蘇州同音字彙1892			
爽	爽	sɔŋ3	白讀：~快	蘇州同音常用字彙			
帶	带	tɑ5	白讀：束腰~（舊時男子束在長袍外面的帶子）	蘇州同音字彙1892			
戴	戴	tɑ5	白讀：𬌶狲~帽子像煞人	蘇州同音字彙1892			
他	他	tʰɑ1		蘇州同音字彙1892			
太	太	tʰɑ5	老~~	蘇州同音字彙1892			
泰	泰	tʰɑ5	~伯廟橋	蘇州同音字彙1892			
歹	歹	te3	弗得知好~	蘇州同音字彙1892			
搭	搭	tɑʔ7		蘇州同音字彙1892			
𧝡	褡	tɑʔ7		蘇州同音字彙1892			
答	答	tɑʔ7		蘇州同音字彙1892			
塔	塔	tʰɑʔ7		蘇州同音字彙1892			
搨	搨	tʰɑʔ7		蘇州同音字彙1892			
獺	獭	tʰɑʔ7		蘇州同音字彙1892			
榻	榻	tʰɑʔ7		蘇州同音字彙1892			
蹋	蹋	tʰɑʔ7		蘇州同音字彙1892			
遢	遢	tʰɑʔ7		蘇州同音字彙1892			
遢	遢	tʰaʔ7		蘇州同音常用字彙			
塌	塌	tʰɑʔ7		蘇州同音字彙1892			
塌	塌	tʰaʔ7	坍~	蘇州同音常用字彙			
島	岛	tɐɵ3	海~	蘇州同音字彙1892			
搗	捣	tɐɵ3		蘇州同音常用字彙			
禱	祷	tɐɵ3	祈~	蘇州同音字彙1892			
倒	倒	tɐɵ3	七顛八~	蘇州同音字彙1892			
套	套	tʰɐɵ5	手~	蘇州同音字彙1892			
忑	忑	tʰəʔ7		蘇州同音字彙1892			
燉	炖	tən1	~~熟	蘇州同音字彙1892			
灯	灯	tən1		蘇州同音字彙1892			
戥	戥	tən3	~份量	蘇州同音字彙1892			
凳	凳	tən5	板~	蘇州同音字彙1892			
啍	啍	tʰən1	~~，沉重緩慢的樣子	蘇州同音字彙1892			
汆	汆	tʰən3	應寫作“氽”	蘇州同音字彙1892			
褪	褪	tʰən5		蘇州同音字彙1892			
丟	丟	təʏ1	~脫哉	蘇州同音字彙1892			
陡	陡	təʏ3		蘇州同音字彙1892			
