"t0序"	"t0用字"	"记音"	"备注"
"118"	"莴"	"uo1"	""
"119"	"涴"	"uo5"	""
"120"	"瘸"	"ʨʰye2"	""
"121"	"靴"	"ɕye2"	""
"123"	"巴"	"pa1"	""
"124"	"芭"	"pa1"	""
"125"	"疤"	"pa1"	""
"126"	"笆"	"pa1"	""
"127"	"把"	"pa3"	""
"128"	"靶"	"pa3"	""
"129"	"霸"	"pa5"	""
"130"	"欛"	"pa5"	""
"131"	"壩"	"pa5"	""
"132"	"垻"	"pa5"	""
"133"	"爸"	"pa2"	""
"134"	"怕"	"pʰa5"	""
"135"	"帕"	"pʰa5"	""
"136"	"爬"	"pʰa2"	""
"137"	"琶"	"pa1"	""
"138"	"杷"	"pa1"	""
"139"	"鈀"	"pa1"	""
"140"	"耙"	"pʰa2"	""
"141"	"麻"	"ma2"	""
"142"	"痲"	"ma2"	""
"143"	"蟆"	"ma1"	""
"144"	"媽"	"ma1"	""
"145"	"馬"	"ma3"	""
"146"	"碼"	"ma3"	""
"147"	"螞"	"ma3"	""
"148"	"駡"	"ma5"	""
"149"	"拿"	"la2"	""
"150"	"茶"	"ʦʰa2"	""
"151"	"搽"	"ʦʰa2"	""
"152"	"䖳"	"ʦʰa5"	""
"153"	"查"	"ʦʰa2"	""
"154"	"渣"	"ʦa1"	""
"155"	"詐"	"ʦa5"	""
"156"	"榨"	"ʦa5"	""
"157"	"炸"	"ʦa2"	""
"157"	"炸"	"ʦa5"	""
"158"	"叉"	"ʦʰa1"	""
"159"	"杈"	"ʦʰa1"	""
"160"	"差"	"ʦʰa1"	""
"161"	"岔"	"ʦʰa5"	""
"162"	"差"	"ʦʰai1"	""
"163"	"茬"	"ʦʰa2"	""
"165"	"乍"	"ʦa5"	""
"166"	"沙"	"sa1"	""
"167"	"紗"	"sa1"	""
"168"	"痧"	"sa1"	""
"169"	"砂"	"sa1"	""
"170"	"鲨"	"sa1"	""
"171"	"裟"	"sa1"	""
"172"	"灑"	"sa3"	""
"173"	"廈"	"xia5"	""
"174"	"家"	"ʨia1"	""
"174"	"家"	"ka1"	""
"175"	"傢"	"ʨia1"	""
"176"	"加"	"ʨia1"	""
"177"	"枷"	"ʨia1"	""
"178"	"痂"	"ʨia1"	""
"179"	"嘉"	"ʨia1"	""
"180"	"袈"	"ʨia1"	""
"181"	"假"	"ʨia3"	""
"182"	"賈"	"ʨia3"	""
"184"	"架"	"ʨia5"	""
"185"	"駕"	"ʨia5"	""
"186"	"嫁"	"ʨia5"	""
"187"	"稼"	"ʨia5"	""
"188"	"價"	"ʨia5"	""
"189"	"揢"	"kʰa5"	""
"190"	"牙"	"ŋa2"	""
"190"	"牙"	"ia2"	""
"191"	"蚜"	"ŋa2"	""
"192"	"芽"	"ŋa2"	""
"193"	"衙"	"ŋa2"	""
"194"	"伢"	"ŋa2"	""
"195"	"雅"	"ŋa3"	""
"195"	"雅"	"ia3"	""
"196"	"砑"	"ŋa5"	""
"197"	"蝦"	"ɕia1"	""
"198"	"𨉣"	"ɕia1"	""
"199"	"嚇"	"xa2"	""
"200"	"霞"	"ɕia2"	""
"201"	"瑕"	"ɕia2"	""
"202"	"遐"	"ɕia2"	""
"203"	"蝦"	"ɕia2"	""
"204"	"下"	"ɕia5"	""
"204"	"下"	"xa5"	""
"205"	"夏"	"ɕia5"	""
"206"	"廈"	"sua3"	""
"209"	"暇"	"ɕia2"	""
"210"	"鴉"	"ia1"	""
"210"	"鴉"	"ŋa1"	""
"211"	"丫"	"ŋa1"	""
"212"	"椏"	"ŋa1"	""
"213"	"啞"	"ŋa5"	""
"214"	"亞"	"ia5"	""
"215"	"姐"	"ʨie3"	""
"216"	"借"	"ʨie5"	""
"217"	"且"	"ʦʰe3"	""
"217"	"且"	"ʨʰie3"	""
"218"	"笡"	"ʦʰe5"	""
"219"	"藉"	"ʨi5"	""
"220"	"褯"	"ʨi5"	""
"221"	"些"	"ɕi1"	""
"222"	"寫"	"ɕie3"	""
"223"	"瀉"	"ɕie5"	""
"224"	"卸"	"ɕie5"	""
"225"	"邪"	"ɕie2"	""
"225"	"邪"	"ie2"	""
"226"	"斜"	"ɕie2"	""
"227"	"謝"	"ɕie5"	""
"228"	"爹"	"tie1"	""
"229"	"遮"	"ʨie1"	""
"230"	"者"	"ʦe3"	""
"231"	"蔗"	"ʦa1"	""
"232"	"車"	"ʦʰe1"	""
"232"	"車"	"ʨʰie1"	""
"233"	"扯"	"ʦʰe3"	""
"234"	"蛇"	"ɕie2"	""
"235"	"射"	"ɕie5"	""
"236"	"麝"	"ɕie5"	""
"237"	"奢"	"se1"	""
"238"	"賒"	"se1"	""
"239"	"捨"	"se3"	""
"240"	"赦"	"se2"	""
"241"	"舍"	"se3"	""
"242"	"騇"	"se3"	""
"243"	"佘"	"se1"	""
"244"	"畲"	"se1"	""
"245"	"社"	"se5"	""
"246"	"惹"	"ze3"	""
"247"	"耶"	"ie1"	""
"248"	"椰"	"ie1"	""
"249"	"爺"	"ie2"	""
"250"	"也"	"ie3"	""
"251"	"野"	"ie3"	""
"252"	"夜"	"ie5"	""
"253"	"髽"	"ʦua1"	""
"254"	"傻"	"sa3"	""
"254"	"傻"	"xa3"	""
"255"	"耍"	"sua3"	""
"256"	"瓜"	"kua1"	""
"257"	"蝸"	"kua1"	""
"258"	"寡"	"kua3"	""
"259"	"剮"	"kua3"	""
"260"	"誇"	"kʰua1"	""
"261"	"侉"	"kʰua3"	""
"262"	"垮"	"kʰua3"	""
"263"	"跨"	"kʰua5"	""
"263"	"跨"	"kʰa2"	""
"264"	"娃"	"ua2"	""
"265"	"瓦"	"ua3"	""
"266"	"瓦"	"ua5"	""
"267"	"花"	"xua1"	""
"268"	"化"	"xua5"	""
"269"	"華"	"xua2"	""
"270"	"鏵"	"xua2"	""
"271"	"划"	"xua2"	""
"272"	"華"	"xua5"	""
"273"	"樺"	"xua5"	""
"274"	"蛙"	"ua1"	""
"275"	"窪"	"ua1"	""
"276"	"補"	"pu3"	""
"277"	"譜"	"pʰu3"	""
"278"	"哺"	"pʰu3"	""
"279"	"布"	"pu5"	""
"280"	"佈"	"pu5"	""
"281"	"鋪"	"pʰu1"	""
"282"	"普"	"pʰu3"	""
"283"	"浦"	"pʰu3"	""
"284"	"鋪"	"pʰu5"	""
"285"	"怖"	"pu5"	""
"286"	"蒲"	"pʰu2"	""
"287"	"菩"	"pʰu2"	""
"288"	"葡"	"pʰu2"	""
"289"	"莆"	"pʰu2"	""
"290"	"脯"	"pʰu2"	""
"291"	"部"	"pu5"	""
"292"	"簿"	"po5"	""
"293"	"步"	"pu5"	""
"294"	"捕"	"pu3"	""
"295"	"埠"	"pu5"	""
"296"	"模"	"mo1"	""
"297"	"模"	"mo2"	""
"298"	"摹"	"mo2"	""
"299"	"姥"	"mu3"	""
"300"	"暮"	"mo5"	""
"301"	"慕"	"mo5"	""
"302"	"墓"	"mo5"	""
"303"	"募"	"mo5"	""
"304"	"睦"	"mo5"	""
"305"	"都"	"tu1"	""
"306"	"都"	"təu1"	""
"307"	"堵"	"tu3"	""
"308"	"賭"	"tu3"	""
"309"	"肚"	"tu3"	""
"310"	"睹"	"tu3"	""
"311"	"妬"	"tu5"	""
"312"	"土"	"tʰu3"	""
"313"	"吐"	"tʰu3"	""
"314"	"吐"	"tʰu5"	""
"315"	"兔"	"tʰu5"	""
"316"	"徒"	"tʰu2"	""
"317"	"屠"	"tʰu2"	""
"318"	"途"	"tʰu2"	""
"319"	"塗"	"tʰu2"	""
"320"	"圖"	"tʰu2"	""
"321"	"杜"	"tu5"	""
"322"	"肚"	"tu5"	""
"323"	"度"	"tu5"	""
"324"	"渡"	"tu5"	""
"325"	"鍍"	"tu5"	""
"326"	"奴"	"lu2"	""
"327"	"努"	"lu3"	""
"328"	"怒"	"lu5"	""
"329"	"盧"	"lu2"	""
"330"	"爐"	"lu2"	""
"331"	"蘆"	"lu2"	""
"332"	"鸕"	"lu2"	""
"333"	"顱"	"lu2"	""
"334"	"魯"	"lu3"	""
"335"	"櫓"	"lu3"	""
"336"	"虜"	"lu3"	""
"337"	"滷"	"lu3"	""
"338"	"路"	"lu5"	""
"339"	"賂"	"lo5"	""
"340"	"露"	"lu5"	""
"341"	"鷺"	"lu5"	""
"342"	"租"	"ʦu1"	""
"343"	"祖"	"ʦu3"	""
"344"	"組"	"ʦu3"	""
"345"	"做"	"ʦu5"	""
"346"	"粗"	"ʦʰu1"	""
"347"	"醋"	"ʦʰu5"	""
"348"	"措"	"ʦʰo5"	""
"349"	"錯"	"ʦʰo5"	""
"350"	"蘇"	"su1"	""
"351"	"酥"	"su1"	""
"352"	"素"	"su5"	""
"353"	"訴"	"su5"	""
"354"	"塑"	"so2"	""
"354"	"塑"	"su5"	""
"355"	"嗉"	"su5"	""
"356"	"姑"	"ku1"	""
"357"	"孤"	"ku1"	""
"358"	"辜"	"ku1"	""
"359"	"菇"	"ku1"	""
"360"	"箍"	"kʰu1"	""
"361"	"古"	"ku3"	""
"362"	"估"	"ku3"	""
"363"	"盬"	"ku3"	""
"364"	"贾"	"ku3"	""
"365"	"牯"	"ku3"	""
"366"	"股"	"ku3"	""
"367"	"鼓"	"ku3"	""
"368"	"蠱"	"ku3"	""
"369"	"故"	"ku5"	""
"370"	"固"	"ku5"	""
"371"	"錮"	"ku5"	""
"372"	"雇"	"ku5"	""
"373"	"顧"	"ku5"	""
"374"	"枯"	"kʰu1"	""
"375"	"苦"	"kʰu3"	""
"376"	"庫"	"kʰu5"	""
"377"	"褲"	"kʰu5"	""
"378"	"吳"	"vu2"	""
"379"	"蜈"	"vu2"	""
"380"	"吾"	"vu2"	""
"381"	"梧"	"vu2"	""
"382"	"五"	"vu3"	""
"383"	"伍"	"vu3"	""
"384"	"午"	"vu3"	""
"385"	"忤"	"vu3"	""
"386"	"誤"	"vu5"	""
"387"	"悟"	"vu5"	""
"387"	"悟"	"vu3"	""
"388"	"呼"	"fu1"	""
"389"	"虎"	"fu3"	""
"390"	"滸"	"fu3"	""
"391"	"戽"	"fu5"	""
"392"	"胡"	"fu2"	""
"393"	"湖"	"fu2"	""
"394"	"狐"	"fu2"	""
"395"	"壺"	"fu2"	""
"396"	"乎"	"fu2"	""
"397"	"瓠"	"fu2"	""
"398"	"鬍"	"fu2"	""
"399"	"糊"	"fu2"	""
"400"	"蝴"	"fu2"	""
"401"	"瑚"	"fu2"	""
"402"	"户"	"fu5"	""
"403"	"滬"	"fu5"	""
"404"	"互"	"fu5"	""
"405"	"護"	"fu5"	""
"406"	"瓠"	"fu5"	""
"407"	"糊"	"fu5"	""
"408"	"烏"	"vu1"	""
"409"	"污"	"vu1"	""
"410"	"塢"	"vu1"	""
"411"	"惡"	"ŋo2"	""
"412"	"女"	"ȵy3"	""
"413"	"廬"	"lu2"	""
"414"	"驢"	"ly2"	""
"415"	"吕"	"luei3"	""
"416"	"稆"	"luei3"	""
"417"	"旅"	"ly3"	""
"418"	"榈"	"ly3"	""
"419"	"慮"	"luei5"	""
"420"	"濾"	"lu2"	""
"420"	"濾"	"luei5"	""
"421"	"蛆"	"ʨʰy1"	""
"422"	"胥"	"ɕy1"	""
"423"	"絮"	"ɕy5"	""
"423"	"絮"	"suei5"	""
"424"	"徐"	"ɕy2"	""
"425"	"序"	"ɕy5"	""
"426"	"叙"	"ɕy5"	""
"427"	"緒"	"ɕy5"	""
"428"	"屿"	"ɕy5"	""
"428"	"屿"	"y3"	""
"429"	"豬"	"ʦu1"	""
"430"	"贮"	"ʦu5"	""
"431"	"著"	"ʦu5"	""
"432"	"褚"	"ʦu3"	""
"433"	"除"	"ʦʰu2"	""
"434"	"儲"	"ʨʰiu2"	""
"435"	"苧"	"ʦʰu3"	""
"436"	"箸"	"ʦu5"	""
"437"	"阻"	"ʦu3"	""
"438"	"初"	"ʦʰu1"	""
"439"	"楚"	"ʦʰu3"	""
"440"	"礎"	"ʦʰu3"	""
"441"	"鋤"	"ʦʰu2"	""
"442"	"助"	"ʦu5"	""
"443"	"梳"	"su1"	""
"444"	"疏"	"su1"	""
"445"	"蔬"	"su1"	""
"446"	"所"	"so3"	""
"447"	"疏"	"su1"	""
"448"	"諸"	"ʦu1"	""
"449"	"渚"	"ʦu3"	""
"450"	"槠"	"ʦu1"	""
"451"	"煮"	"ʦu3"	""
"452"	"處"	"ʦʰu3"	""
"453"	"杵"	"ʦʰu3"	""
"454"	"處"	"ʦʰu5"	""
"455"	"書"	"su1"	""
"456"	"舒"	"su1"	""
"457"	"暑"	"su3"	""
"458"	"鼠"	"su3"	""
"459"	"黍"	"su3"	""
"460"	"庶"	"su5"	""
"461"	"恕"	"su5"	""
"462"	"𧄔"	"su1"	""
"463"	"墅"	"su5"	""
"463"	"墅"	"ie3"	""
"464"	"署"	"su3"	""
"465"	"薯"	"su3"	""
"466"	"如"	"zu2"	""
"467"	"汝"	"zu3"	""
"468"	"居"	"ʨy1"	""
"469"	"車"	"ʨy1"	""
"470"	"裾"	"ʨy1"	""
"471"	"擧"	"ʨy3"	""
"472"	"據"	"ʨy5"	""
"473"	"鋸"	"ʨy5"	""
"473"	"鋸"	"ke5"	""
"474"	"墟"	"ɕy1"	""
"475"	"去"	"ʨʰy5"	""
"475"	"去"	"ʨi5"	""
"476"	"渠"	"ʨʰiu2"	""
"477"	"𠍲"	"ʨʰy2"	""
"478"	"巨"	"ʨy5"	""
"479"	"拒"	"ʨy5"	""
"480"	"距"	"ʨy5"	""
"481"	"魚"	"y2"	""
"482"	"漁"	"y2"	""
"483"	"語"	"y3"	""
"484"	"御"	"y5"	""
"485"	"禦"	"y5"	""
"486"	"虚"	"ɕy1"	""
"487"	"嘘"	"ɕy1"	""
"488"	"許"	"ɕy3"	""
"489"	"於"	"y2"	""
"490"	"淤"	"y1"	""
"491"	"余"	"y2"	""
"492"	"餘"	"y2"	""
"493"	"舁"	"y2"	""
"494"	"與"	"y3"	""
"495"	"譽"	"y5"	""
"496"	"預"	"y5"	""
"497"	"豫"	"y5"	""
"498"	"夫"	"fu1"	""
"499"	"膚"	"fu1"	""
"500"	"跗"	"fu5"	""
"501"	"府"	"fu3"	""
"502"	"腑"	"fu3"	""
"503"	"俯"	"fu3"	""
"504"	"甫"	"pʰu3"	""
"505"	"脯"	"pʰu3"	""
"506"	"斧"	"fu3"	""
"507"	"付"	"fu5"	""
"508"	"賦"	"fu5"	""
"509"	"傅"	"fu5"	""
"509"	"傅"	"fu1"	""
"510"	"咐"	"fu5"	""
"511"	"敷"	"fu1"	""
"512"	"俘"	"fu2"	""
"513"	"孵"	"fu1"	""
"514"	"麩"	"fu1"	""
"515"	"撫"	"fu3"	""
"516"	"殕"	"fu3"	""
"517"	"赴"	"fu5"	""
"518"	"訃"	"fu5"	""
"519"	"符"	"fu2"	""
"520"	"扶"	"fu2"	""
"521"	"芙"	"fu2"	""
"522"	"父"	"fu5"	""
"523"	"釜"	"fu3"	""
"524"	"腐"	"fu3"	""
"525"	"輔"	"fu3"	""
"526"	"附"	"fu5"	""
"527"	"無"	"vu2"	""
"528"	"蕪"	"vu2"	""
"529"	"巫"	"vu1"	""
"530"	"誣"	"vu1"	""
"531"	"武"	"vu3"	""
"532"	"舞"	"vu3"	""
"533"	"侮"	"vu3"	""
"534"	"鵡"	"vu3"	""
"535"	"務"	"vu5"	""
"536"	"霧"	"vu5"	""
"537"	"縷"	"luei3"	""
"538"	"屢"	"ly3"	""
"539"	"趨"	"ʦʰuei1"	""
"540"	"取"	"ʨʰy3"	""
"541"	"娶"	"ʨʰy3"	""
"542"	"趣"	"ʨʰy5"	""
"543"	"聚"	"ʨiu2"	""
"544"	"須"	"ɕy1"	""
"545"	"鬚"	"ɕy1"	""
"546"	"需"	"ɕy1"	""
"547"	"續"	"ɕiu2"	""
"548"	"誅"	"ʦu1"	""
"549"	"蛛"	"ʦu1"	""
"550"	"株"	"ʦu1"	""
"551"	"拄"	"ʦʰu3"	""
"552"	"駐"	"ʦu5"	""
"553"	"註"	"ʦu5"	""
"554"	"廚"	"ʦʰu2"	""
"555"	"櫥"	"ʦʰu2"	""
"556"	"柱"	"ʦu5"	""
"557"	"住"	"ʦu5"	""
"558"	"雛"	"ʦʰu2"	""
"559"	"數"	"su3"	""
"560"	"數"	"su5"	""
"561"	"朱"	"ʦu1"	""
"562"	"硃"	"ʦu1"	""
"563"	"珠"	"ʦu1"	""
"564"	"主"	"ʦu3"	""
"565"	"注"	"ʦu5"	""
"566"	"蛀"	"ʦu5"	""
"567"	"鑄"	"ʦu5"	""
"568"	"疰"	"ʦu5"	""
"569"	"樞"	"su1"	""
"570"	"輸"	"su1"	""
"571"	"戍"	"su5"	""
"572"	"輸"	"su5"	""
"573"	"殊"	"su1"	""
"574"	"豎"	"su5"	""
"575"	"樹"	"su5"	""
"576"	"儒"	"zu2"	""
"577"	"乳"	"zu3"	""
"578"	"擩"	"zu3"	""
"579"	"拘"	"ʨy1"	""
"580"	"駒"	"ʨy1"	""
"581"	"俱"	"ʨy2"	""
"582"	"跔"	"ʨy1"	""
"583"	"矩"	"ʨy3"	""
"584"	"句"	"ʨy5"	""
"585"	"區"	"ʨʰy1"	""
"586"	"驅"	"ʨʰy1"	""
"587"	"軀"	"ʨʰy1"	""
"588"	"嶇"	"ʨʰy1"	""
"589"	"瞿"	"ʨʰy2"	""
"590"	"衢"	"ʨʰiu2"	""
"591"	"具"	"ʨy5"	""
"592"	"懼"	"ʨy5"	""
"593"	"愚"	"y2"	""
"594"	"虞"	"y2"	""
"595"	"娛"	"y2"	""
"596"	"遇"	"y5"	""
"597"	"寓"	"y5"	""
"598"	"吁"	"y2"	""
"599"	"迂"	"y1"	""
"600"	"于"	"y2"	""
"601"	"盂"	"y2"	""
"602"	"雨"	"y3"	""
"603"	"宇"	"y3"	""
"604"	"禹"	"y3"	""
"605"	"羽"	"y3"	""
"606"	"芋"	"y5"	""
"607"	"俞"	"y2"	""
"608"	"榆"	"y2"	""
"609"	"逾"	"y2"	""
"610"	"愉"	"y2"	""
"611"	"愈"	"y2"	""
"612"	"喻"	"y5"	""
"613"	"裕"	"y5"	""
"614"	"獃"	"tai1"	""
"614"	"獃"	"ŋai2"	""
"615"	"戴"	"tai5"	""
"616"	"胎"	"tʰai1"	""
"617"	"台"	"tʰai2"	""
"617"	"台"	"tʰai1"	""
"618"	"奤"	"tʰai3"	""
"619"	"態"	"tʰai5"	""
"620"	"貸"	"tai5"	""
"621"	"臺"	"tʰai2"	""
"622"	"苔"	"tʰai2"	""
"623"	"抬"	"tʰai2"	""
"624"	"待"	"tai5"	""
"624"	"待"	"tʰai5"	""
"625"	"怠"	"tai5"	""
"626"	"殆"	"tai5"	""
"627"	"代"	"tai5"	""
"628"	"袋"	"tai5"	""
"629"	"玳"	"tai5"	""
"630"	"黛"	"tai5"	""
"631"	"埭"	"tai5"	""
"632"	"逮"	"tai2"	""
"633"	"绐"	"tʰai2"	""
"634"	"乃"	"lai3"	""
"635"	"耐"	"lai5"	""
"636"	"來"	"lai2"	""
"637"	"災"	"ʦai1"	""
"638"	"栽"	"ʦai1"	""
"639"	"宰"	"ʦai3"	""
"640"	"載"	"ʦai3"	""
"641"	"再"	"ʦai5"	""
"642"	"載"	"ʦai5"	""
"643"	"猜"	"ʦʰai1"	""
"644"	"彩"	"ʦʰai3"	""
"645"	"採"	"ʦʰai3"	""
"646"	"睬"	"ʦʰai3"	""
"647"	"踩"	"ʦʰai3"	""
"648"	"菜"	"ʦʰai5"	""
"649"	"棌"	"ʦʰai5"	""
"650"	"才"	"ʦʰai2"	""
"650"	"才"	"tʰai2"	""
"651"	"材"	"ʦʰai2"	""
"652"	"財"	"ʦʰai2"	""
"653"	"裁"	"ʦʰai2"	""
"654"	"纔"	"ʦʰai2"	""
"655"	"在"	"ʦai5"	""
"655"	"在"	"tai5"	""
"657"	"腮"	"sai1"	""
"658"	"鳃"	"sai1"	""
"659"	"賽"	"sai5"	""
"660"	"該"	"kai1"	""
"661"	"改"	"kai3"	""
"662"	"概"	"kʰai3"	""
"662"	"概"	"kʰai5"	""
"663"	"溉"	"kʰai5"	""
"664"	"開"	"kʰai1"	""
"665"	"凱"	"kʰai3"	""
"666"	"慨"	"kʰai5"	""
"667"	"咳"	"kʰe2"	""
"668"	"呆"	"ŋai2"	""
"669"	"磑"	"ŋai2"	""
"670"	"礙"	"ŋai5"	""
"671"	"海"	"xai3"	""
"672"	"孩"	"xai2"	""
"673"	"亥"	"xai5"	""
"674"	"哀"	"ŋai1"	""
"675"	"埃"	"ŋai1"	""
"676"	"唉"	"ŋai3"	""
"677"	"愛"	"ŋai5"	""
"678"	"貝"	"pei5"	""
"679"	"狽"	"pei5"	""
"680"	"沛"	"pʰei5"	""
"681"	"帶"	"tai5"	""
"682"	"太"	"tʰai5"	""
"683"	"泰"	"tʰai5"	""
"684"	"大"	"ta5"	""
"684"	"大"	"tai5"	""
"685"	"奈"	"lai5"	""
"686"	"賴"	"lai5"	""
"687"	"癩"	"lai5"	""
"688"	"蔡"	"ʦʰai5"	""
"689"	"蓋"	"kai5"	""
"690"	"丐"	"kai5"	""
"691"	"艾"	"ŋai5"	""
"692"	"害"	"xai5"	""
"693"	"藹"	"ŋai3"	""
"694"	"拜"	"pai5"	""
"695"	"排"	"pʰai2"	""
"696"	"韛"	"pai5"	""
"697"	"埋"	"mai2"	""
"698"	"攋"	"lai5"	""
"699"	"䍉"	"ʦai3"	""
"700"	"搋"	"ʦʰuai1"	""
"701"	"齋"	"ʦai1"	""
"702"	"豺"	"ʦʰai2"	""
"703"	"皆"	"kai1"	""
"704"	"階"	"ʨiei1"	""
"705"	"稭"	"kai1"	""
"706"	"偕"	"kai1"	""
"707"	"介"	"kai5"	""
"708"	"界"	"ʨiei5"	""
"709"	"芥"	"ʨiei5"	""
"709"	"芥"	"kai5"	""
"710"	"尬"	"ka5"	""
"711"	"疥"	"ʨiei5"	""
"712"	"屆"	"ʨiei5"	""
"713"	"戒"	"kai5"	""
"714"	"庎"	"kai5"	""
"715"	"揩"	"kʰai1"	""
"716"	"楷"	"kʰai3"	""
"717"	"諧"	"ɕiei2"	""
"718"	"駭"	"xai5"	""
"719"	"械"	"ʨiei5"	""
"720"	"挨"	"ŋai2"	""
"721"	"擺"	"pai3"	""
"722"	"派"	"pʰai5"	""
"723"	"牌"	"pʰai2"	""
"724"	"簰"	"pʰai2"	""
"725"	"罷"	"pa5"	""
"726"	"稗"	"pai5"	""
"727"	"買"	"mai3"	""
"728"	"賣"	"mai5"	""
"729"	"奶"	"lai3"	""
"729"	"奶"	"lai1"	""
"730"	"債"	"ʦai5"	""
"731"	"釵"	"ʦʰai1"	""
"732"	"差"	"ʦʰai1"	""
"732"	"差"	"ʦʰa1"	""
"733"	"柴"	"ʦʰai2"	""
"734"	"篩"	"sai1"	""
"735"	"灑"	"sa3"	""
"736"	"曬"	"sai5"	""
"737"	"佳"	"ʨia1"	""
"738"	"街"	"kai1"	""
"739"	"解"	"kai3"	""
"740"	"懈"	"ɕiei5"	""
"741"	"涯"	"ŋai2"	""
"742"	"崖"	"ŋai2"	""
"743"	"捱"	"ŋai2"	""
"744"	"鞋"	"xai2"	""
"745"	"解"	"xiei5"	""
"747"	"蟹"	"kʰai"	""
"747"	"蟹"	"ɕiei5"	""
"748"	"矮"	"ŋai3"	""
"749"	"隘"	"ŋai5"	""
"750"	"敗"	"pai5"	""
"751"	"邁"	"mai5"	""
"752"	"寨"	"ʦai5"	""
"753"	"蔽"	"pei5"	""
"754"	"敝"	"pei5"	""
"755"	"弊"	"pi5"	""
"756"	"幣"	"pi5"	""
"757"	"斃"	"pi5"	""
"758"	"例"	"li5"	""
"759"	"厲"	"li5"	""
"760"	"勵"	"li5"	""
"761"	"祭"	"ʨi5"	""
"762"	"際"	"ʨi5"	""
