	0	ɑ	ɑʔ	aʔ	ɔ	ã	ɑ̃	o	oʔ	ø	oŋ	ɛ	əʔ	ᴇ	ən	ər	ɿ	ʮ	i	iɑ	iɑʔ	iaʔ	iɔ	iã	iɑ̃	io	ioʔ	ʏø	ioŋ	iɛ	iəʔ	in	u	əu	uɑ	uaʔ	uã	uɑ̃	uo	uoʔ	uø	uɛ	uəʔ	uᴇ	uən	y	ʏ	øʏ	yəʔ
l		[1]拉啦[2]喇癞(~皮)[5]垃赖-		[8]辣瘌剌蜡腊猎邋	[1]捞唠[2]牢涝痨崂□(馋嘴)[4]劳老佬姥佬憦[5]萝2(~卜)	[4]冷-	[1]啷[2]狼郎朗廊瓤[5]浪㫰琅榔螂	[4]哪(谁)	[7a]漉□(~笃货)落2(角~)[8]绿录禄碌菉氯逯睩陆鹿麓辘六烙落洛络骆酪赂乐甪□(~上~下)	[2]峦栾鸾孪拦-[4]屌卵-[5]乱挛鸾孪栏2(~杆)	[2]龙垄砻聋笼珑咙胧弄2(~堂)[4]拢[5]隆窿	[2]兰栏拦蓝篮岚阑澜[4]览揽榄缆[5]烂赖籁懒滥褴	[8]勒肋捋	[2]来睐徕雷蕾擂[3]累[4]磊儡垒癗[5]类莱□(沾着)	[2]轮论沦伦𫭢纶[4]冷[5]嫩囵抡棱愣楞				[1]哩俚屡漓[2]梨犁荔离厉厘狸吕闾侣铝泪旅履驴鲡[4]里理喱娌鲤鳢例李丽俪鹂莉利礼黎藜励砺蛎吏蠡戾唳滤[5]篱璃罹痢蜊榈莅		[8]略掠		[1]撩[2]了辽疗廖[5]料聊燎嘹僚缭镣橑䩍撂	[2]良粮踉量凉谅晾梁粱[3]辆两2(量词)[4]两俩[5]亮靓						[2]连涟裢链联帘廉濂镰奁[4]脸敛殓[5]炼练恋怜莲鲢	[8]立力劣历沥雳疬捩挘粒垃2笠栗慄溧栎列裂趔冽烈咧率律	[1]拎[2]林淋琳霖另灵玲龄铃苓邻零凌菱绫陵临麟磷鳞蔺躏赁凛[4]领令岭[5]淋吝聆囹翎伶羚蛉棂		[1]撸噜啰[2]卢庐芦炉泸颅鲈罗啰逻萝箩锣猡虏掳骡露[3]鲁戮卵[5]路璐鹭裸螺橹脶喽髅鲈卤														[1]溜遛熘榴[2]刘浏留瘤柳娄篓楼镂褛[4]陋[5]流琉硫漏搂蝼偻缕	
k		[1]街-家-加-架-嘉-袈-枷-笳-葭-芥疥戒2[3]假-2(真~)尬[5]嫁-介-阶-价-界-届-戒-诫-假-(放~)解2(~说)蛤2	[7a]格骼胛-	[7a]夹-峡-颊-荚-䇲隔嘎	[1]高篙镐缟糕羔睾膏皋胶-跤-告2[3]稿诰觉3(困~)搅2绞2(量 词)绞-(动词)[5]告窖-叫2(~花子)校3(~秤)交2茭-教-铰-	[1]庚更2粳-羹-[3]梗鲠㾘哽[5]埂	[1]钢刚冈岗纲缸扛豇-江-罡[3]港讲-[5]杠肛降2-	[1]瓜-呱-[5]挂-卦-褂-寡-		[1]甘柑泔干肝竿淦[5]干2扞杆秆赶敢感	[1]工功攻公宫供弓躬龚恭蚣觥[3]汞贡[5]拱巩	[1]尴涧-间-监-[3]概钙丐碱-拣-[5]裥橄奸2□(擦屁股)	[7a]葛割个自-合2(量词)鸽胳咯革疙圪嗝膈佮	[1]该晐[3]改垓减-[5]盖溉	[1]根跟耕羹粳赓[3]更[5]耿亘哏																			[1]歌哥孤菰雇箍锅[3]古故估沽固果裹顾股鼓蛊辜贾2戈个[5]过姑鸪蛄菇	[1]瓜呱乖-[3]拐柺[5]怪挂卦褂寡	[7a]刮括剐掴	[5]光2(~火)	[1]光[3]广胱逛[5]咣		[7a]国帼蝈掴各阁搁郭谷角-骨觉4(~着)	[1]官倌观罐[3]管馆莞贯冠杆2(量词)[5]灌棺	[1]关轨乖[3]鳏瞡[5]惯		[1]桂圭闺硅鲑鳜规龟归[3]溃鬼瑰桧刽会3(财~)[5]贵	[3]滚棍			[1]沟购勾钩构苟佝媾[3]狗垢诟[5]够枸	
g		[2]茄□(加塞)[4]解3(~开)[5]痂骱		[8]轧	[2]峧[4]搞	[2]□(推挤)	[4]戆			[4]□(没牙咬物)[5]□(~~伲，小儿麻痹)	[4]共	[4]□(反胃)[5]隑(靠着)	[8]搿		[5]□(执著)																			[2]□(穿衣臃肿)[5]咕(自言自语)	[4]拐2	[8]□(~牢)		[2]狂诳		[8]搁2(呆~~)		[2]环缳寰鬟[4]掼		[2]逵癸葵馗[4]跪柜					
kʰ		[1]揩咖[4]楷[5]卡	[7b]客喀咔	[7b]掐-恰-	[1]敲-犒拷[4]考烤铐拷2[5]靠	[1]坑2□(擦着)	[1]康慷糠亢伉[4]抗炕[5]囥	[1]夸-[5]跨-挎-		[1]刊堪勘龛坎2[4]瞰[5]看	[1]空[4]控恐[5]孔空2(闲)	[1]铅-[4]慨舰-忾[5]砍坎侃嵌槛铠	[7b]克剋渴栲刻咳2嗑磕瞌叩	[1]开[5]凯	[1]垦铿坑吭□(乱翻)[4]肯啃[5]恳□(身上的污垢)																			[1]枯骷裤科蝌棵稞颗髁柯坷苛疴轲窠[4]苦[5]课可库	[1]夸筷-[5]跨挎垮胯快-蒯筷2-(量词)			[1]框匡哐眶筐[4]矿犷邝旷		[7b]壳扩哭酷窟廓	[1]宽髋[4]款	[1]筷[5]快	[7b]阔	[1]亏奎盔魁[4]傀愧窥馈愦溃侩脍会4(~计)[5]块	[1]坤鲲昆[4]捆[5]困			[1]抠[4]口釦寇蔻[5]扣	
ŋ	[1]㕶(~娘，即母亲)[2]吴-午2(端~)忤-[4]五-我-	[1]□ (强咽)[2]芽-牙-蚜-衙-外2(~行)	[8]额□(摇动)	[8]齾(缺口)□(压价)	[2]熬敖嗷傲鳌獒螯骜鏊[4]咬-	[4]杏[5]硬		[4]瓦		[5]岸		[2]癌岩[4]眼-[5]碍颜-衔2(~头)	[8]核兀扤厄呃扼	[2]呆-																				[1]我[2]鹅俄娥蛾[4]吾唔[5]饿误悟晤寤卧						[8]鳄鹤岳鄂愕								[4]藕偶钮-纽-□(~头，即花蕾)	
h		[1]哈蛤疨□(撕)[3]蟹-	[7a]吓-	[7a]瞎-喝-	[1]蒿薅[3]好耗皓昊[5]孝-郝	[1]夯[3]亨	[1]沆	[1]花-虾-[3]化2(~种)[5]化-		[1]汉鼾罕[3]撼憾悍捍憨酣[5]翰瀚熯	[1]烘轰訇[3]哄讧	[1] 苋-(~菜)□(痒)[5]喊	[7a] 黑嘿喝赫	[1]㾂(浮肿)□(拿大)[3]海嗨咳[5]骸骇	[1]哼[3]很狠2啈																			[1]呼[3]火伙浒虎琥夥[5]货	[1]花歪-[3]化哗[5]华桦骅铧话	[7a]豁辖甩2□(缺少)				[7a]霍攉忽惚淴壑熇寣豁2									
hʱ		[2]鞋外3(~公)		[8]盒狭-匣也-	[2]毫豪壕嚎濠[4]浩鏖[5]号遨翱㩝	[2]行2[5]桁	[2]行绗航降□(忍受)[4]巷吭[5]昂项杭	[2]华-骅-桦-铧-夏-厦-[4]画-下-甲鸦2(老~)[5]话活2(生2~)		[2]含晗函涵韩寒[5]汗旱焊邯邗岸-(老派)	[2]红宏鸿虹弘泓洪蕻	[2]咸闲-啣-衔-还-[4]限-	[8]合核-阖	[2]孩[4]亥氦唉[5]害	[2]衡恒[5]狠恨痕																			[2]胡湖糊猢河何荷沪壶弧瓠和禾午仵忤雾-(老派)吴蜈[4]户扈[5]祸护狐葫蝴瑚梧悟2贺喉-						[8]活或获惑镬核2学-猢-囫				[2]回洄茴蛔徊迴围韦讳违炜玮苇伟纬圩[5]位胃谓渭猬鮰魏会(开~)汇□(转让)					
tɕ																			[1]鸡机几2(小桌)叽矶讥肌稽基姬既唧羁屐犄奇2(~数)[3]几箕继暨冀骥稷伎计[5]寄己记纪季悸鯚	[1]家稼加迦伽枷笳袈架(~子)佳价葭皆阶[3]假2(真~)[5]届嫁贾驾解介戒诫界假(~期)架2(动词)	[7a]甲钾胛脚	[7a]颊夹荚	[1]浇交佼胶狡跤鲛姣皎蛟郊茭骄矫娇缴嘦[3]较绞铰校2(~对)觉搅窖[5]叫教矫2(~正)侥饺	[1]姜疆僵缰	[1]江豇[3]讲[5]降2绛		[7a]角觉2-	[1]捐娟绢鹃涓狷[3]卷捲劵眷	[1]窘炯囧炅迥	[1]坚奸监兼艰肩间涧皆街[3]建腱犍毽鉴减缄碱拣捡舰柬谏锏睑简茧械2[5]见剑检	[7a]急吉洁诘拮咭秸结给级劫揭髻戟䥛激击棘汲孑系3(拴住)	[1]金斤靳今衿京惊鲸巾筋泾径茎经痉镜旌[3]紧禁襟噤敬儆竟境觐[5]劲颈刭胫荆锦警景憬璟														[1]居裾踞琚椐锯拘驹车(象棋子)狙榉矩莒苣遽鳜-龟-[3]举据咀沮龃鬼-[5]句贵2	[1]阄揪啾鸠纠赳韭咎昼-[3]九究玖柩疚厩灸帚[5]救久		[7a]菊鞠掬桔2橘厥撅蕨蹶獗镢觉2珏攫决诀抉阕孓
dʑ																			[2]期其旗祺麒淇棋琪骐萁祁祈圻耆岐奇琦骑崎绮芪[4]忌技妓跂嫉蜞	[2]□(能干)			[2]桥乔侨轿翘2[4]撬[5]荞	[2]强襁□(便宜)[4]犟			[8]局焗侷跼轴妯	[2]权拳倦蜷鬈颧[4]圈2(猪~)	[2]穷穹琼茕	[2]钳乾黔钤虔掮揵[4]件键健俭	[8]及岌极亟剧竭杰桀屐2□(耍赖)	[2]琴仅竞兢谨瑾槿勤芹擎禽擒[4]近														[2]飓柜-[4]巨距拒炬瞿衢具俱惧渠跪-	[2]求球裘仇2(姓)酋[4]舅臼[5]旧		[8]掘倔崛
tɕʰ																			[1]汽欺岂蹊溪[3]器弃[4]启契起企[5]气杞去-		[7b]却恰洽	[7b]掐	[1]敲跷橇锹[3]窍[4]巧[5]翘	[1]羌镪[3]强2(勉~)	[1]腔		[7b]确曲2麯榷阙	[1]圈[5]劝券犬		[1]谦铅牵茜骞[3]歉惬堑[5]欠芡纤遣谴	[7b]泣隙乞讫迄吃2(~力)怯契挈	[1]轻氢卿钦顷倾磬罄衾[3]庆[5]揿														[1]区驱躯岖枢蛐[5]去	[1]丘邱蚯恘(坏)[5]臭-		[7b]缺屈曲瘸吃
ȵ																			[1]你妳呢妮[2]泥呢2(~绒)倪儿-霓鱼-疑[3]拟怩[4]艺义仪议蚁伲毅谊[5]宜颐腻尼抳彝二-贰-耳-尾-		[8]捏虐疟箬		[2]饶[3]鸟尿袅[5]绕挠2	[1]孃[2]娘[3]酿壤嚷仰[5]让攘酿	[2]鲇廿2(~五)		[8]玉褥-肉狱月-(老派)揉2(~粉)	[2]原源元2鼋[4]软[5]愿	[2]浓戎绒茸	[1]研拈黏蔫辇撵碾[2]严俨年阎砚[3]捻[4]验瘾2染2妍念(纪~)唁罱[5]廿念2(动词)鲶	[8]热溺逆匿聂蹑镊孽镍啮日-业涅翌佞	[2]银垠龈狞人-[4]拧[5]迎宁咛吟凝您认闰-忍-韧-仁-壬-任-														[2]虞[4]女语愚遇寓隅御娱	[1]妞[2]牛[3]扭拗沑[4]纽钮[5]忸		[8]月-
ɕ																			[1]希稀浠烯熙曦兮嬉熹牺系[3]喜禧嘻檄系2玺阋杞2(枸~)[5]戏	[1]虾[3]厦[5]下夏	[7a]吓狎罅	[7a]瞎侠狭峡	[1]嚣枭倏哮骁嫑□(很薄)[3]晓2(~得)[5]孝酵晓淆□(打开)	[1]香乡[3]响饷[5]向享		[1]靴	[7a]蓄畜勖	[1]楦揎渲[3]炫绚[5]煊	[1]凶汹匈胸兄	[1]轩掀[3]险显宪蟹蚬苋馅懈解4(姓)[5]谐偕携衔闲啣献	[7a]吸歇蝎胁挟	[1]鑫馨欣掀2昕[3]衅兴[5]行3兴2(花草茂盛)														[1]虚嘘歔需栩吁盱[3]许浒2	[1]休-(老派)收-(老派)咻貅[3]手-(老派)[5]嗅朽鲎(彩虹)		[7a]血恤噱谑旭煦酗
ts		[1]抓斋渣喳楂诈[3]爪笊吒[5]债炸榨	[7a]摘着2(动词)只2(量词) 籷(~腻)	[7a]扎札砸匝咂乍咋窄炸2(油炸)	[1]糟遭朝召2(~唤)招沼诏昭钊灶[3]早澡燥躁噪枣蚤爪2(脚~)[5]照找罩	[1]张帐[3]涨长掌[5]账胀仗	[1]庄脏赃桩桩2(量词)章漳璋樟彰獐嶂装妆[3]壮障嶂[5]葬蟑	[1]遮渣-楂-查(姓)诈-榨2(~菜)柞痄[5]炸-榨-吒-		[1]专占钻(名词))毡粘砖篆詹瞻簪追-[3]展撰纂[5]转辗战沾钻2(动词)	[1]中衷忠盅钟宗棕粽踪综鬃纵终[3]总肿众种2(量词)[5]种踪2	[1]追[3]盏绽缀淬崭赞攒寨[5]蘸斩	[7a]质卒这怎则侧责啧哲折浙仄只翟擢	[1]再载栽灾崽锥者哉[3]最坠赘[5]醉宰仔2	[1]曾2(姓)憎赠肫		[1]资咨姿恣兹滋孳孜淄辎龇锥2[3]子仔籽紫纸梓帜滓	[1]朱诛珠株蛛侏姝之芝支枝吱肢知智栀脂酯雉诸渚猪潴[3]指志至窒桎致郅铸置栉掷踯制止祉址趾旨嘴主注拄驻著箸煮咫炙[5]蛀蜘疰痣殊2(文~菩萨)	[1]左-(~手)[3]祭姐姊剂济挤跻哜际咀(~嚼)	[3]姐-[5]借	[7a]爵		[1]椒焦蕉礁醮	[1]浆酱(动词)[3]蒋奖桨[5]将酱						[1]尖煎[3]剪翦荐饯[5]箭僭	[7a]接节疖迹脊瘠积绩渍即鲫唧蝍骘	[1]精菁津晶[3]井阱俊浚竣峻隽镌靖睛晋尽[5]进浸鲫-		[1]租左[3]组祖阻[5]做佐						[7a]作祚足捉泥卓桌灼酌琢啄塚瘃(冻~)蚱蔗烛竺筑篫(弄整齐)竹嘱瞩祝粥斫(割)簇2(~堆)								[1]周州洲舟邹咒昼诌纣[3]走揍酒[5]皱绉奏	
dz		[2]查茶[4]丈2(~人)□(斜)[5]咱撒2(~尿)	[8]着		[2]潮嘲朝2巢[5]赵	[2]常场肠长2嫦澄橙[4]丈杖[5]锃	[5]撞幢藏臧脏2(内~)状奘	[2]茶-查-蛇佘[4]社-(老派)		[2]椽颤[4]缠传□(干)	[2]虫从丛崇琮[4]重仲	[2]馋谗谄[4]站栈裁-3暂惭赚濽绽2(饱满)	[8]直值植殖侄秩□(~药水)	[2]才财材豺垂捶锤陲随隋髓穗遂燧隧瑞槌残裁-2(动词，老派)[4]在罪[5]裁-(~缝，老派)	[2]存曾		[2]瓷辞	[2]厨橱滞迟贮池驰弛除滁储褚稚雏杵槌2(婆~)治[4]柱峙痔[5]住	[4]脐鲚鳍				[2]剿缫樵	[2]祥详翔庠						[2]钱潜泉全痊荃[5]践溅		[2]秦覃情[4]尽烬靖晴								[8]昨拙茁逐浊镯戳2(被刺)								[2]绸惆稠酬仇宙畴囚泅	
tsʷ													[7a]执挚摺褶汁织职炽		[1]珍诊疹肫斟增针掷-2真正贞祯帧侦榛臻争挣睁峥铮筝狰蒸篜甑箴谆尊遵樽罾[3]政正2症怔征圳准枕振震朕 zhi[5]整证镇砧																																		
dzʷ															[2]陈成诚城郑谆淳乘承沉尘臣丞拯惩[5]阵忱呈逞程																																		
tsʰ		[1]差岔叉衩杈钗诧姹[4]扯笡[5]蔡茬	[7b]册拆坼尺赤2(~脚)捒(抬)□(煮半熟)	[7b]策察擦嚓搽插	[1]抄耖操超糙□(羹勺)[4]草炒吵钞	[1]撑[4]厂怅敞氅畅[5]橕	[1]窗昌仓疮沧苍伧舱娼猖鲳[4]创倡闯[5]唱阊	[1]错车差-岔-叉-衩-杈-钗-搓2(~麻将)		[1]穿川钏汆参餐串窜蹿[5]惨篡喘	[1]充匆葱冲聪舂囱穹2(~窿山)[5]宠铳忡憧目充(瞌~)	[1]搀掺忏[4]产铲灿璨	[7b]撤澈辙测侧2彻赤斥	[1]猜吹炊崔催摧[4]彩采踩睬萃粹悴瘁翠璀[5]菜脆	[1]村衬[4]骋蹭[5]寸吋忖		[1]雌翅-粢(~饭)[4]秩此呲疵厕敕[5]刺次齿	[1]痴翅吹-魑叱蚩嗤[3]处耻杵侈鼠暑2(小~)	[1]妻凄悽栖趋蛆□(眯~眼)[4]取娶砌沏且[5]趣芪	[5]笪2(歪斜)	[7b]雀鹊皵(肉~)		[1]悄[5]瞧俏诮峭鞘缲(~边)	[1]枪漒锵[4]抢跄[5]呛炝戗						[1]千仟迁扦钎阡歼签笺骞[4]浅	[7b]切窃七柒漆揖楫辑缉妾戚嘁惬	[1]亲青清侵寝[4]请[5]蜻鲭		[1]初粗搓磋蹉[5]楚础挫锉醋措错2(多算或少算钱)						[7b]触畜矗绌促龊戳辍啜撮绰肏怵猝蹴黜簇								[1]秋鳅抽[5]丑凑瞅臭	
tsʰʷ													[7b]出		[1]春称皴琛[5]秤蠢趁乘2																																		
