字	IPA	原文	客拼	源	備注		到格拉夫覈校，2024年12月更新		
晻	iam3	yam3	iam3	客法辭典					
犴	kon1	kon1	gon1	客法辭典					
岸	ŋan3	ngan3	ngan3	客法辭典					
按	on5	on5	on5	客法辭典					
豻	kon1	kon1	gon1	客法辭典					
案	on5	on5	on5	客法辭典					
暗	am5	am5	am5	客法辭典					
暗	em3	em3	em3	客法辭典	【替字】①灰暗。天～tʰem5，天灰暗。②變形。～tʰem5竹，變形、髒破的竹子。～背駝，駝背。				
𤟟	em3	em3	em3	客法辭典	【替字】①觀察。有人～，有人看。②嚇唬。～我毋倒，嚇不倒我。				
黯	am5	am5	am5	客法辭典					
骯	aŋ1	ang1	ang1	客法辭典					
卬	ŋoŋ1	ngong1	ngong1	客法辭典					
昂	ŋoŋ1	ngong1	ngong1	客法辭典					
盎	oŋ5	ong5	ong5	客法辭典					
醠	oŋ1	ong1	ong1	客法辭典					
凹	au1	ao1	au1	客法辭典					
凹	au5	ao5	au5	客法辭典					
𫫯	au1	ao1	au1	客法辭典	象聲詞。～～跳，貓叫聲。				
爊	pʰiau1	p'iao1	piau1	客法辭典					
爊	au1	ao1	au1	客法辭典					
敖	ŋau2	ngao2	ngau2	客法辭典					
遨	ŋau2	ngao2	ngau2	客法辭典					
嗷	ŋau2	ngao2	ngau2	客法辭典					
廒	ŋau2	ngao2	ngau2	客法辭典					
璈	ŋau2	ngao2	ngau2	客法辭典					
獒	ŋau2	ngao2	ngau2	客法辭典					
摮	ŋau5	ngao5	ngau5	客法辭典					
熬	ŋau2	ngao2	ngau2	客法辭典					
聱	ŋau2	ngao2	ngau2	客法辭典					
螯	ŋau2	ngao2	ngau2	客法辭典					
翱	ŋau2	ngao2	ngau2	客法辭典					
謷	ŋau2	ngao2	ngau2	客法辭典					
鏖	pʰiau1	p'iao1	piau1	客法辭典					
鏖	au1	ao1	au1	客法辭典					
鰲	ŋau2	ngao2	ngau2	客法辭典					
鰲	ŋo2	ngo2	ngo2	客法辭典					
鼇	ŋau2	ngao2	ngau2	客法辭典					
媼	au3	ao3	au3	客法辭典	保姆。nen5～。				
襖	au3	ao3	au3	客法辭典					
坳	au1	ao1	au1	客法辭典					
拗	au3	ao3	au3	客法辭典					
拗	au5	ao5	au5	客法辭典					
拗	eu2	eou2	eu2	客法辭典					
傲	ŋau5	ngao5	ngau5	客法辭典					
奧	au5	ao5	au5	客法辭典					
慠	ŋau5	ngao5	ngau5	客法辭典					
隩	iuk7	youc7	iug7	客法辭典					
擙	au3	ao3	au3	客法辭典					
薁	iuk7	youc7	iug7	客法辭典					
澳	au5	ao5	au5	客法辭典					
懊	au3	ao3	au3	客法辭典					
驁	ŋau2	ngao2	ngau2	客法辭典					
八	pat7	pat7	bad7	客法辭典					
巴	pa1	pa1	ba1	客法辭典					
扒	pai5	pai5	bai5	客法辭典					
叭	pa5	pa5	ba5	客法辭典					
朳	pʰa3	p'a3	pa3	客法辭典					
朳	kʰua3	k'oua3	kua3	客法辭典					
芭	pa1	pa1	ba1	客法辭典					
疤	pa1	pa1	ba1	客法辭典					
捌	pat7	pat7	bad7	客法辭典					
蚆	pa1	pa1	ba1	客法辭典					
哵	pat7	pat7	bad7	客法辭典					
笆	pa1	pa1	ba1	客法辭典					
羓	pa1	pa1	ba1	客法辭典					
犮	pʰat8	p'at8	pad8	客法辭典					
坺	fat8	fat8	fad8	客法辭典					
拔	pʰat8	p'at8	pad8	客法辭典					
茇	pʰat8	p'at8	pad8	客法辭典					
妭	pʰat8	p'at8	pad8	客法辭典					
胈	pʰat8	p'at8	pad8	客法辭典					
菝	pʰat8	p'at8	pad8	客法辭典					
軷	pʰat8	p'at8	pad8	客法辭典					
跋	pʰat8	p'at8	pad8	客法辭典					
魃	pʰat8	p'at8	pad8	客法辭典					
墢	fat8	fat8	fad8	客法辭典					
把	pa2	pa2	ba2	客法辭典					
把	pa3	pa3	ba3	客法辭典					
靶	pa3	pa3	ba3	客法辭典					
弝	pa5	pa5	ba5	客法辭典					
爸	pa1	pa1	ba1	客法辭典					
耙	pʰa2	p'a2	pa2	客法辭典					
垻	pa5	pa5	ba5	客法辭典					
罷	pʰa5	p'a5	pa5	客法辭典					
覇	pa5	pa5	ba5	客法辭典					
霸	pa5	pa5	ba5	客法辭典					
壩	pa5	pa5	ba5	客法辭典					
欛	pa5	pa5	ba5	客法辭典					
吧	pa1	pa1	ba1	客法辭典					
白	pʰak8	p'ac8	pag8	客法辭典					
百	pak7	pac7	bag7	客法辭典					
柏	pak7	pac7	bag7	客法辭典					
栢	pak7	pac7	bag7	客法辭典					
捭	pʰai2	p'ai2	pai2	客法辭典					
擺	pai1	pai1	bai1	客法辭典					
擺	pai3	pai3	bai3	客法辭典					
拜	pai5	pai5	bai5	客法辭典					
敗	pʰai5	p'ai5	pai5	客法辭典					
稗	kʰuai5	k'ouai5	kuai5	客法辭典					
稗	pʰai5	p'ai5	pai5	客法辭典					
粺	pʰai5	p'ai5	pai5	客法辭典					
扳	pan1	pan1	ban1	客法辭典					
班	pan1	pan1	ban1	客法辭典					
般	pan1	pan1	ban1	客法辭典					
斑	pan1	pan1	ban1	客法辭典					
搬	pan1	pan1	ban1	客法辭典					
頒	pan1	pan1	ban1	客法辭典					
斒	pan1	pan1	ban1	客法辭典					
瘢	pan1	pan1	ban1	客法辭典					
阪	fan3	fan3	fan3	客法辭典					
坂	fan3	fan3	fan3	客法辭典					
板	pan3	pan3	ban3	客法辭典					
瓪	pan3	pan3	ban3	客法辭典					
昄	pan3	pan3	ban3	客法辭典					
版	pan3	pan3	ban3	客法辭典					
粄	pan3	pan3	ban3	客法辭典					
半	pan5	pan5	ban5	客法辭典					
扮	pan5	pan5	ban5	客法辭典					
伴	pʰan3	p'an3	pan3	客法辭典					
伴	pʰan1	p'an1	pan1	客法辭典					
拌	pʰan1	p'an1	pan1	客法辭典					
拌	pʰan2	p'an2	pan2	客法辭典					
絆	pan5	pan5	ban5	客法辭典					
絆	pʰan5	p'an5	pan5	客法辭典					
辦	pʰan5	p'an5	pan5	客法辭典					
瓣	pʰan5	p'an5	pan5	客法辭典					
邦	paŋ1	pang1	bang1	客法辭典					
帮	poŋ3	pong3	bong3	客法辭典					
帮	poŋ1	pong1	bong1	客法辭典					
垹	poŋ1	pong1	bong1	客法辭典					
梆	pok8	poc8	bog8	客法辭典					
梆	poŋ1	pong1	bong1	客法辭典					
浜	pin1	pin1	bin1	客法辭典					
幇	poŋ1	pong1	bong1	客法辭典					
幫	poŋ1	pong1	bong1	客法辭典					
鞤	poŋ1	pong1	bong1	客法辭典					
綁	poŋ3	pong3	bong3	客法辭典					
榜	poŋ3	pong3	bong3	客法辭典					
牓	poŋ3	pong3	bong3	客法辭典					
膀	poŋ3	pong3	bong3	客法辭典					
蚌	pʰoŋ1	p'ong1	pong1	客法辭典					
蚌	pʰoŋ3	p'ong3	pong3	客法辭典					
棒	pʰoŋ5	p'ong5	pong5	客法辭典					
傍	pʰoŋ2	p'ong2	pong2	客法辭典					
傍	pʰoŋ5	p'ong5	pong5	客法辭典					
磅	pʰoŋ2	p'ong2	pong2	客法辭典					
縍	poŋ3	pong3	bong3	客法辭典					
謗	poŋ3	pong3	bong3	客法辭典					
勹	pau1	pao1	bau1	客法辭典					
包	pau1	pao1	bau1	客法辭典					
苞	pau1	pao1	bau1	客法辭典					
苞	pʰau1	p'ao1	pau1	客法辭典					
胞	pau1	pao1	bau1	客法辭典					
煲	po1	po1	bo1	客法辭典					
煲	pau1	pao1	bau1	客法辭典					
褒	pau1	pao1	bau1	客法辭典					
襃	pau1	pao1	bau1	客法辭典					
雹	pʰok8	p'oc8	pog8	客法辭典					
薄	pʰok8	p'oc8	pog8	客法辭典					
宀	mien2	mien2	mien2	客法辭典					
宝	pau3	pao3	bau3	客法辭典					
保	pau3	pao3	bau3	客法辭典					
葆	pau3	pao3	bau3	客法辭典					
堡	pau3	pao3	bau3	客法辭典					
飽	pau3	pao3	bau3	客法辭典					
駂	pau3	pao3	bau3	客法辭典					
褓	pau3	pao3	bau3	客法辭典					
鴇	pau3	pao3	bau3	客法辭典					
緥	pau3	pao3	bau3	客法辭典					
寳	pau3	pao3	bau3	客法辭典					
寶	pau3	pao3	bau3	客法辭典					
抱	pʰau5	p'ao5	pau5	客法辭典					
趵	pau5	pao5	bau5	客法辭典					
豹	pau5	pao5	bau5	客法辭典					
菢	pʰau5	p'ao5	pau5	客法辭典					
報	pau5	pao5	bau5	客法辭典					
鉋	pʰau2	p'ao2	pau2	客法辭典					
暴	pʰau5	p'ao5	pau5	客法辭典					
虣	pʰau5	p'ao5	pau5	客法辭典					
鮑	pʰau5	p'ao5	pau5	客法辭典					
爆	pau5	pao5	bau5	客法辭典					
陂	pi1	pi1	bi1	客法辭典					
杯	pi1	pi1	bi1	客法辭典					
杯	pui1	poui1	bui1	客法辭典					
卑	pi1	pi1	bi1	客法辭典					
盃	pi1	pi1	bi1	客法辭典					
盃	pui1	poui1	bui1	客法辭典					
桮	pi1	pi1	bi1	客法辭典					
桮	pui1	poui1	bui1	客法辭典					
椑	pi1	pi1	bi1	客法辭典					
悲	pi1	pi1	bi1	客法辭典					
悲	pui1	poui1	bui1	客法辭典					
碑	pi1	pi1	bi1	客法辭典					
北	pet7	pet7	bed7	客法辭典					
孛	pʰut8	p'out8	pud8	客法辭典					
貝	pi5	pi5	bi5	客法辭典					
貝	pui5	poui5	bui5	客法辭典					
背	pʰoi3	p'oi3	poi3	客法辭典					
背	pʰoi5	p'oi5	poi5	客法辭典					
背	pi5	pi5	bi5	客法辭典					
倍	pʰi5	p'i5	pi5	客法辭典					
倍	pʰui5	p'oui5	pui5	客法辭典					
狽	pi5	pi5	bi5	客法辭典					
狽	pui5	poui5	bui5	客法辭典					
悖	pʰut7	p'out7	pud7	客法辭典					
悖	pʰut8	p'out8	pud8	客法辭典					
被	pʰi1	p'i1	pi1	客法辭典					
被	pʰi5	p'i5	pi5	客法辭典					
珼	pi5	pi5	bi5	客法辭典					
珼	pui5	poui5	bui5	客法辭典					
梖	pi5	pi5	bi5	客法辭典					
梖	pui5	poui5	bui5	客法辭典					
偝	pʰoi5	p'oi5	poi5	客法辭典					
偹	pʰi5	p'i5	pi5	客法辭典					
琲	pʰi5	p'i5	pi5	客法辭典					
琲	pʰui5	p'oui5	pui5	客法辭典					
備	pʰi5	p'i5	pi5	客法辭典					
蓓	pʰi5	p'i5	pi5	客法辭典					
蓓	pʰui5	p'oui5	pui5	客法辭典					
鞁	pʰi5	p'i5	pi5	客法辭典					
誖	pʰut8	p'out8	pud8	客法辭典					
褙	pʰoi5	p'oi5	poi5	客法辭典					
輩	pi5	pi5	bi5	客法辭典					
輩	pui5	poui5	bui5	客法辭典					
憊	pʰai5	p'ai5	pai5	客法辭典					
糒	pʰi5	p'i5	pi5	客法辭典					
唄	pʰai5	p'ai5	pai5	客法辭典					
奔	pun1	poun1	bun1	客法辭典					
栟	pin1	pin1	bin1	客法辭典					
逩	pun5	poun5	bun5	客法辭典					
賁	pun1	poun1	bun1	客法辭典					
犇	pun1	poun1	bun1	客法辭典					
錛	pun1	poun1	bun1	客法辭典					
本	pun3	poun3	bun3	客法辭典					
夲	tʰau1	t'ao1	tau1	客法辭典					
畚	pun5	poun5	bun5	客法辭典					
笨	pun5	poun5	bun5	客法辭典					
伻	pʰin2	p'in2	pin2	客法辭典					
挷	paŋ1	pang1	bang1	客法辭典	【替字】本字應是「㧍繃」，重定向至「㧍」。拉、拔。				
挷	poŋ1	pong1	bong1	客法辭典					
㧍	paŋ1	pang1	bang1	客法辭典	拉、拔。				
崩	pen1	pen1	ben1	客法辭典					
絣	pen1	pen1	ben1	客法辭典					
傰	pʰen1	p'en1	pen1	客法辭典					
傰	pʰuŋ2	p'oung2	pung2	客法辭典					
痭	pen1	pen1	ben1	客法辭典					
綳	pen1	pen1	ben1	客法辭典					
繃	pen1	pen1	ben1	客法辭典					
迸	pin5	pin5	bin5	客法辭典					
甏	pʰaŋ5	p'ang5	pang5	客法辭典					
屄	pai2	pai2	bai2	客法辭典					
屄	pi1	pi1	bi1	客法辭典					
偪	pit7	pit7	bid7	客法辭典					
偪	pet7	pet7	bed7	客法辭典					
逼	pit7	pit7	bid7	客法辭典					
逼	pet7	pet7	bed7	客法辭典					
鈚	pi5	pi5	bi5	客法辭典					
楅	pit7	pit7	bid7	客法辭典					
楅	fuk7	fouc7	fug7	客法辭典					
鎞	pi5	pi5	bi5	客法辭典					
荸	pʰut8	p'out8	pud8	客法辭典					
鼻	pʰi5	p'i5	pi5	客法辭典					
匕	pi3	pi3	bi3	客法辭典					
比	pi3	pi3	bi3	客法辭典					
朼	pi3	pi3	bi3	客法辭典					
疕	pi3	pi3	bi3	客法辭典					
妣	pi3	pi3	bi3	客法辭典					
彼	pi3	pi3	bi3	客法辭典					
秕	pi3	pi3	bi3	客法辭典					
秕	pʰi1	p'i1	pi1	客法辭典					
俾	pi1	pi1	bi1	客法辭典					
粃	pi3	pi3	bi3	客法辭典					
粃	pʰi1	p'i1	pi1	客法辭典					
筆	pit7	pit7	bid7	客法辭典					
鄙	pʰi3	p'i3	pi3	客法辭典					
鄙	pʰe3	p'e3	pe3	客法辭典					
必	pit7	pit7	bid7	客法辭典					
坒	pʰi5	p'i5	pi5	客法辭典					
佖	pit7	pit7	bid7	客法辭典					
庇	pʰi1	p'i1	pi1	客法辭典					
苾	pit7	pit7	bid7	客法辭典					
畀	pi5	pi5	bi5	客法辭典					
怭	pit7	pit7	bid7	客法辭典					
毖	pi5	pi5	bi5	客法辭典					
疪	pi5	pi5	bi5	客法辭典					
畢	pit7	pit7	bid7	客法辭典					
萆	pi1	pi1	bi1	客法辭典					
萆	pi5	pi5	bi5	客法辭典					
梐	pʰi5	p'i5	pi5	客法辭典					
閉	pi5	pi5	bi5	客法辭典					
閇	pi5	pi5	bi5	客法辭典					
庳	pi5	pi5	bi5	客法辭典					
敝	pi5	pi5	bi5	客法辭典					
婢	pʰi1	p'i1	pi1	客法辭典					
婢	pi1	pi1	bi1	客法辭典					
貱	pi5	pi5	bi5	客法辭典					
詖	pi5	pi5	bi5	客法辭典					
湢	pit8	pit8	bid8	客法辭典					
湢	pit7	pit7	bid7	客法辭典					
愊	pit7	pit7	bid7	客法辭典					
愎	puk7	pouc7	bug7	客法辭典					
弻	pit7	pit7	bid7	客法辭典					
弼	pit7	pit7	bid7	客法辭典					
蓽	pit7	pit7	bid7	客法辭典					
閟	pi5	pi5	bi5	客法辭典					
嗶	pit7	pit7	bid7	客法辭典					
飶	pit7	pit7	bid7	客法辭典					
痹	pi5	pi5	bi5	客法辭典					
煏	pit8	pit8	bid8	客法辭典					
煏	pet7	pet7	bed7	客法辭典					
滭	pit7	pit7	bid7	客法辭典					
裨	pi1	pi1	bi1	客法辭典					
裨	pʰi1	p'i1	pi1	客法辭典					
碧	pʰet7	p'et7	ped7	客法辭典					
蔽	pi5	pi5	bi5	客法辭典					
箅	pi5	pi5	bi5	客法辭典					
弊	pi5	pi5	bi5	客法辭典					
幣	pi5	pi5	bi5	客法辭典					
熚	pit7	pit7	bid7	客法辭典					
駜	pit7	pit7	bid7	客法辭典					
獘	pi5	pi5	bi5	客法辭典					
潷	pit7	pit7	bid7	客法辭典					
薜	pʰit7	p'it7	pid7	客法辭典					
觱	pit7	pit7	bid7	客法辭典					
篳	pit7	pit7	bid7	客法辭典					
篦	pi5	pi5	bi5	客法辭典					
壁	piak7	piac7	biag7	客法辭典					
避	pʰit7	p'it7	pid7	客法辭典					
嬖	pʰit7	p'it7	pid7	客法辭典					
蹕	pit7	pit7	bid7	客法辭典					
髀	pi3	pi3	bi3	客法辭典					
斃	pi5	pi5	bi5	客法辭典					
濞	pʰi5	p'i5	pi5	客法辭典					
濞	pʰui5	p'oui5	pui5	客法辭典					
臂	pi3	pi3	bi3	客法辭典					
奰	pʰi5	p'i5	pi5	客法辭典					
饆	pit7	pit7	bid7	客法辭典					
璧	piak7	piac7	biag7	客法辭典					
鞸	pit7	pit7	bid7	客法辭典					
襞	pʰit7	p'it7	pid7	客法辭典					
繴	pʰit7	p'it7	pid7	客法辭典					
韠	pit7	pit7	bid7	客法辭典					
躃	pʰit7	p'it7	pid7	客法辭典					
躄	pʰit7	p'it7	pid7	客法辭典					
鷝	pit7	pit7	bid7	客法辭典					
贔	pʰi5	p'i5	pi5	客法辭典					
鷩	piet7	piet7	bied7	客法辭典					
砭	pien1	pien1	bien1	客法辭典					
砭	pien5	pien5	bien5	客法辭典					
萹	pien1	pien1	bien1	客法辭典					
蝙	pien1	pien1	bien1	客法辭典					
箯	pien1	pien1	bien1	客法辭典					
編	pʰien1	p'ien1	pien1	客法辭典					
編	pʰin1	p'in1	pin1	客法辭典					
鞕	ŋaŋ5	ngang5	ngang5	客法辭典					
獱	pin1	pin1	bin1	客法辭典					
鞭	pien1	pien1	bien1	客法辭典					
鞭	pin1	pin1	bin1	客法辭典					
邊	pien1	pien1	bien1	客法辭典					
鯿	pien1	pien1	bien1	客法辭典					
釆	pʰien5	p'ien5	pien5	客法辭典					
疺	fat8	fat8	fad8	客法辭典					
窆	pien3	pien3	bien3	客法辭典					
窆	pien5	pien5	bien5	客法辭典					
扁	pien3	pien3	bien3	客法辭典					
匾	pien3	pien3	bien3	客法辭典					
貶	pien3	pien3	bien3	客法辭典					
惼	pien3	pien3	bien3	客法辭典					
碥	pien3	pien3	bien3	客法辭典					
褊	pien3	pien3	bien3	客法辭典					
藊	pien3	pien3	bien3	客法辭典					
卞	pʰien5	p'ien5	pien5	客法辭典					
弁	pʰien5	p'ien5	pien5	客法辭典					
抃	pʰien5	p'ien5	pien5	客法辭典					
忭	pʰien5	p'ien5	pien5	客法辭典					
昪	pʰien5	p'ien5	pien5	客法辭典					
便	pʰien2	p'ien2	pien2	客法辭典					
便	pʰien5	p'ien5	pien5	客法辭典					
変	pien5	pien5	bien5	客法辭典					
揙	pien3	pien3	bien3	客法辭典					
揙	pien1	pien1	bien1	客法辭典					
徧	pien5	pien5	bien5	客法辭典					
遍	pien5	pien5	bien5	客法辭典					
辡	pʰien5	p'ien5	pien5	客法辭典					
艑	pien3	pien3	bien3	客法辭典					
緶	pʰien1	p'ien1	pien1	客法辭典					
辨	pʰien5	p'ien5	pien5	客法辭典					
辧	pʰien5	p'ien5	pien5	客法辭典					
辮	pien1	pien1	bien1	客法辭典					
辯	pʰien5	p'ien5	pien5	客法辭典					
變	pien5	pien5	bien5	客法辭典					
杓	ʃok8	choc8	shog8	客法辭典					
彪	piau1	piao1	biau1	客法辭典					
淲	piau1	piao1	biau1	客法辭典					
猋	piau1	piao1	biau1	客法辭典					
摽	piau1	piao1	biau1	客法辭典					
幖	piau1	piao1	biau1	客法辭典					
颮	pʰiau1	p'iao1	piau1	客法辭典					
滮	piau1	piao1	biau1	客法辭典					
標	piau1	piao1	biau1	客法辭典					
膘	piau1	piao1	biau1	客法辭典					
麃	piau1	piao1	biau1	客法辭典					
熛	piau1	piao1	biau1	客法辭典					
儦	piau1	piao1	biau1	客法辭典					
藨	pʰau2	p'ao2	pau2	客法辭典					
臕	piau1	piao1	biau1	客法辭典					
穮	piau1	piao1	biau1	客法辭典					
驃	pʰiau1	p'iao1	piau1	客法辭典					
驃	pʰiau5	p'iao5	piau5	客法辭典					
飇	pʰiau1	p'iao1	piau1	客法辭典					
鑣	piau1	piao1	biau1	客法辭典					
驫	piau1	piao1	biau1	客法辭典					
表	piau3	piao3	biau3	客法辭典					
婊	piau1	piao1	biau1	客法辭典					
裱	piau3	piao3	biau3	客法辭典					
錶	piau1	piao1	biau1	客法辭典					
俵	piau3	piao3	biau3	客法辭典					
鰾	pʰiau5	p'iao5	piau5	客法辭典					
憋	piet7	piet7	bied7	客法辭典					
鱉	piet7	piet7	bied7	客法辭典					
鼈	piet7	piet7	bied7	客法辭典					
虌	piet7	piet7	bied7	客法辭典					
別	pʰet8	p'et8	ped8	客法辭典					
別	pʰiet8	p'iet8	pied8	客法辭典					
咇	pit7	pit7	bid7	客法辭典					
徶	pʰiet8	p'iet8	pied8	客法辭典					
蹩	pʰiet8	p'iet8	pied8	客法辭典					
癟	pʰiet8	p'iet8	pied8	客法辭典					
彬	pin1	pin1	bin1	客法辭典					
斌	pin1	pin1	bin1	客法辭典					
賓	pin1	pin1	bin1	客法辭典					
賔	pin1	pin1	bin1	客法辭典					
儐	pin5	pin5	bin5	客法辭典					
濱	pin1	pin1	bin1	客法辭典					
濵	pin1	pin1	bin1	客法辭典					
檳	pin1	pin1	bin1	客法辭典					
瀕	pin1	pin1	bin1	客法辭典					
繽	pin1	pin1	bin1	客法辭典					
鬂	pin5	pin5	bin5	客法辭典					
擯	pin5	pin5	bin5	客法辭典					
殯	pin5	pin5	bin5	客法辭典					
臏	pin5	pin5	bin5	客法辭典					
鬢	pin5	pin5	bin5	客法辭典					
氷	pen1	pen1	ben1	客法辭典					
冰	pen1	pen1	ben1	客法辭典					
兵	pin1	pin1	bin1	客法辭典					
梹	pin1	pin1	bin1	客法辭典					
丙	piaŋ3	peang3	biang3	客法辭典					
邴	piaŋ3	peang3	biang3	客法辭典					
抦	piaŋ1	peang1	biang1	客法辭典					
抦	pin3	pin3	bin3	客法辭典					
秉	piaŋ1	peang1	biang1	客法辭典					
秉	pin3	pin3	bin3	客法辭典					
怲	piaŋ3	peang3	biang3	客法辭典					
柄	piaŋ5	peang5	biang5	客法辭典					
昞	piaŋ3	peang3	biang3	客法辭典					
昺	piaŋ3	peang3	biang3	客法辭典					
炳	piaŋ3	peang3	biang3	客法辭典					
窉	piaŋ3	peang3	biang3	客法辭典					
蛃	piaŋ3	peang3	biang3	客法辭典					
棅	piaŋ5	peang5	biang5	客法辭典					
禀	pin3	pin3	bin3	客法辭典					
稟	lim3	lim3	lim3	客法辭典					
餅	piaŋ3	peang3	biang3	客法辭典					
餠	piaŋ3	peang3	biang3	客法辭典					
幷	pin5	pin5	bin5	客法辭典					
併	pin5	pin5	bin5	客法辭典					
併	piaŋ1	peang1	biang1	客法辭典					
併	pin3	pin3	bin3	客法辭典					
併	pʰin1	p'in1	pin1	客法辭典					
併	pʰin5	p'in5	pin5	客法辭典					
並	pin5	pin5	bin5	客法辭典					
並	pʰin3	p'in3	pin3	客法辭典					
庰	piaŋ5	peang5	biang5	客法辭典					
病	pʰiaŋ5	p'eang5	piang5	客法辭典					
竝	pin5	pin5	bin5	客法辭典					
偋	pin3	pin3	bin3	客法辭典					
摒	pin5	pin5	bin5	客法辭典					
寎	piaŋ3	peang3	biang3	客法辭典					
癶	pʰat7	p'at7	pad7	客法辭典					
波	po1	po1	bo1	客法辭典					
波	po5	po5	bo5	客法辭典					
玻	po1	po1	bo1	客法辭典					
哱	pʰut8	p'out8	pud8	客法辭典					
袚	pʰat8	p'at8	pad8	客法辭典					
剝	pok7	poc7	bog7	客法辭典					
菠	po1	po1	bo1	客法辭典					
缽	pat7	pat7	bad7	客法辭典					
鉢	pat7	pat7	bad7	客法辭典					
碆	po1	po1	bo1	客法辭典					
播	po5	po5	bo5	客法辭典					
撥	pat8	pat8	bad8	客法辭典					
撥	pat7	pat7	bad7	客法辭典					
餑	pʰut8	p'out8	pud8	客法辭典					
鱍	pʰat7	p'at7	pad7	客法辭典					
伯	pak7	pac7	bag7	客法辭典					
帛	pʰet8	p'et8	ped8	客法辭典	【替字】完。				
帛	pʰet7	p'et7	ped7	客法辭典	【替字】完。				
帛	tʰet7	t'et7	ted7	客法辭典	【替字】完。				
帛	tet7	tet7	ded7	客法辭典					
帛	het7	het7	hed7	客法辭典					
勃	pʰut8	p'out8	pud8	客法辭典					
浡	pʰut8	p'out8	pud8	客法辭典					
浡	put7	pout7	bud7	客法辭典					
脖	pʰut8	p'out8	pud8	客法辭典					
博	pok7	poc7	bog7	客法辭典					
渤	pʰut8	p'out8	pud8	客法辭典					
搏	pok7	poc7	bog7	客法辭典					
鈸	pʰat8	p'at8	pad8	客法辭典					
鉑	pʰok8	p'oc8	pog8	客法辭典					
愽	pok7	poc7	bog7	客法辭典					
駁	pok7	poc7	bog7	客法辭典					
箔	pʰok7	p'oc7	pog7	客法辭典					
膊	pok7	poc7	bog7	客法辭典					
駮	pok7	poc7	bog7	客法辭典					
壆	hok7	hoc7	hog7	客法辭典					
壆	pok7	poc7	bog7	客法辭典					
襏	pʰat7	p'at7	pad7	客法辭典					
簙	pok7	poc7	bog7	客法辭典					
鎛	pok7	poc7	bog7	客法辭典					
髆	pok7	poc7	bog7	客法辭典					
襮	pʰok7	p'oc7	pog7	客法辭典					
礴	pʰok7	p'oc7	pog7	客法辭典					
跛	pai1	pai1	bai1	客法辭典					
簸	pai5	pai5	bai5	客法辭典					
簸	po5	po5	bo5	客法辭典					
簸	poi5	poe'5	boi5	客法辭典					
檗	pak7	pac7	bag7	客法辭典					
擘	mak8	mac8	mag8	客法辭典					
擘	mak7	mac7	mag7	客法辭典					
擘	pak7	pac7	bag7	客法辭典					
蘗	pak7	pac7	bag7	客法辭典					
卜	puk7	pouc7	bug7	客法辭典					
蔔	pʰet8	p'et8	ped8	客法辭典					
逋	pʰu2	p'ou2	pu2	客法辭典					
晡	pu1	pou1	bu1	客法辭典					
誧	pʰu3	p'ou3	pu3	客法辭典					
誧	pʰu1	p'ou1	pu1	客法辭典					
醭	pʰuk7	p'ouc7	pug7	客法辭典					
卟	ki1	ki1	gi1	客法辭典					
