id	ini	fn	pt	middeng	middiao	midini	midkaihe	midshe	midyun	单字	IPA	注释
153	h	a	342	一	平	影	開		歌	暇	ha342	目不暇接，闲暇
154		a	52	一	平	影	開		歌	鴉	a52	乌鸦
155		a	52	一	平	影	開		歌	丫	a52	丫头
156		a	52	一	平	影	開		歌	椏	a52	桠杈
157		a	55	一	平	影	開		歌	啞	a55	哑巴
158		a	33	一	平	影	開		歌	亞	a33	亚洲
159	tʃ	ɛ	55	一	平	影	開		歌	姐	tʃɛ55	姐姐
160	tʃ	ɛ	33	一	平	影	開		歌	借	tʃɛ33	借钱
161	tʃʰ	ɛ	55	一	平	影	開		歌	且	tʃʰɛ55	而且
162	tʃ	iə̯k	022	一	平	影	開		歌	藉	tʃiə̯k2	藉故，藉口
163	ʃ	ɛ	52	一	平	影	開		歌	些	ʃɛ52	一些
164	ʃ	ɛ	55	一	平	影	開		歌	寫	ʃɛ55	写字
165	ʃ	ɛ	33	一	平	影	開		歌	瀉	ʃɛ33	腹泻
166	ʃ	ɛ	33	一	平	影	開		歌	卸	ʃɛ33	卸货
167	tʃ	ɛ	342	一	平	影	開		歌	邪	tʃɛ342	邪气
168	tʃʰ	ɛ	22	一	平	影	開		歌	斜	tʃʰɛ22	斜线
169	tʃ	ɛ	22	一	平	影	開		歌	謝	tʃɛ22	谢谢；姓
170	t	ɛ	52	一	平	影	開		歌	爹	tɛ52	爹娘
171	tʃ	ɛ	52	一	平	影	開		歌	遮	tʃɛ52	遮挡
172	tʃ	ɛ	55	一	平	影	開		歌	者	tʃɛ55	记者
173	tʃ	ɛ	33	一	平	影	開		歌	蔗	tʃɛ33	甘蔗
174	tʃʰ	ɛ	52	一	平	影	開		歌	車	tʃʰɛ52	火车
175	tʃʰ	ɛ	55	一	平	影	開		歌	扯	tʃʰɛ55	拉扯
176	ʃ	ɛ	342	一	平	影	開		歌	蛇	ʃɛ342	毒蛇
177	ʃ	ɛ	22	一	平	影	開		歌	射	ʃɛ22	发射
178	ʃ	ɛ	22	一	平	影	開		歌	麝	ʃɛ22	麝香
179	tʃʰ	ɛ	52	一	平	影	開		歌	奢	tʃʰɛ52	奢侈
180	tʃʰ	ɛ	52	一	平	影	開		歌	賒	tʃʰɛ52	赊帐
181	ʃ	ɛ	55	一	平	影	開		歌	捨	ʃɛ55	舍得，舍弃
182	ʃ	ɛ	33	一	平	影	開		歌	赦	ʃɛ33	赦免
183	ʃ	ɛ	33	一	平	影	開		歌	舍	ʃɛ33	宿舍
185	ʃ	ɛ	13	一	平	影	開		歌	社	ʃɛ13	公社
186		iɛ	55	一	平	影	開		歌	惹	iɛ55	招惹
187		iɛ	22	一	平	影	開		歌	耶	iɛ22	耶酥
188		iɛ	342	一	平	影	開		歌	爺	iɛ342	爷爷
189		iɛ	22	一	平	影	開		歌	椰	iɛ22	椰子
190		ia	13	一	平	影	開		歌	也	ia13	也是
191		iɛ	13	一	平	影	開		歌	野	iɛ13	野兔
192		iɛ	22	一	平	影	開		歌	夜	iɛ22	夜晚
193	ʃ	ɔ	22	一	平	影	開		歌	傻	ʃɔ22	傻瓜
194	ʃ	a	33	一	平	影	開		歌	耍	ʃa33	玩耍
195	k	ua	52	一	平	影	開		歌	瓜	kua52	西瓜
196		uɔ	52	一	平	影	開		歌	蝸	uɔ52	蜗牛
197	k	ua	33	一	平	影	開		歌	寡	kua33	寡妇
198	k	ua	33	一	平	影	開		歌	剮	kua33	千刀万剐
199	kʰ	ua	52	一	平	影	開		歌	誇	kʰua52	夸奖；夸张
200	kʰ	ua	52	一	平	影	開		歌	垮	kʰua52	垮台
201	kʰ	ua	52	一	平	影	開		歌	跨	kʰua52	跨度
202	ŋ	a	13	一	平	影	開		歌	瓦	ŋa13	瓦片
203	f	a	52	一	平	影	開		歌	花	fa52	开花
204	f	a	33	一	平	影	開		歌	化	fa33	变化
205		ua	342	一	平	影	開		歌	華	ua342	华山
206		uɛk	022	一	平	影	開		歌	劃	uɛk2	划船
207		ua	342	一	平	影	開		歌	華	ua342	中华
208		ua	52	一	平	影	開		歌	蛙	ua52	青蛙
209		ua	52	一	平	影	開		歌	窪	ua52	低洼
210	p	u	55	一	平	影	開		歌	補	pu55	补衣服
211	pʰ	u	55	一	平	影	開		歌	譜	pʰu55	族谱
212	p	u	33	一	平	影	開		歌	布	pu33	布匹，一块布
213	p	u	33	一	平	影	開		歌	佈	pu33	布置；公布
214	pʰ	u	52	一	平	影	開		歌	鋪	pʰu52	铺设
215	pʰ	u	55	一	平	影	開		歌	普	pʰu55	普通
216	pʰ	u	55	一	平	影	開		歌	浦	pʰu55	浦江
217	pʰ	u	33	一	平	影	開		歌	鋪	pʰu33	店铺
218	p	u	33	一	平	影	開		歌	怖	pu33	恐怖
220	p	u	22	一	平	影	開		歌	菩	pu22	菩萨
221	p	u	22	一	平	影	開		歌	脯	pu22	胸脯
222	p	u	342	一	平	影	開		歌	葡	pu342	葡萄
223	p	u	22	一	平	影	開		歌	部	pu22	部队
224	p	u	22	一	平	影	開		歌	簿	pu22	帐簿
225	p	u	22	一	平	影	開		歌	步	pu22	跑步
226	pʰ	u	55	一	平	影	開		歌	捕	pʰu55	捕捉；捕快
227	f	au	22	一	平	影	開		歌	埠	fau22	埠头
228	m	u	342	一	平	影	開		歌	模	mu342	模范
229	m	u	342	一	平	影	開		歌	模	mu342	模型
230	m	ɔ	342	一	平	影	開		歌	摹	mɔ342	摹仿
231	m	u	22	一	平	影	開		歌	墓	mu22	坟墓
232	m	u	22	一	平	影	開		歌	暮	mu22	日暮
233	m	u	22	一	平	影	開		歌	慕	mu22	羡慕
234	m	u	22	一	平	影	開		歌	募	mu22	募捐
235	t	ɐu	52	一	平	影	開		歌	都	tɐu52	都是
236	t	ɐu	52	一	平	影	開		歌	都	tɐu52	首都
237	t	ɔy	55	一	平	影	開		歌	堵	tɔy55	堵车
238	t	ɐu	55	一	平	影	開		歌	賭	tɐu55	赌博
239	t	ɐu	13	一	平	影	開		歌	肚	tɐu13	猪肚（胃），鱼肚
240	t	o	22	一	平	影	開		歌	妒	to22	妒忌
241	tʰ	ɐu	55	一	平	影	開		歌	土	tʰɐu55	土地
242	tʰ	ɐu	33	一	平	影	開		歌	吐	tʰɐu33	呕吐
243	tʰ	ɐu	33	一	平	影	開		歌	吐	tʰɐu33	吐痰
244	tʰ	ɐu	33	一	平	影	開		歌	兔	tʰɐu33	兔子
245	t	ɐu	342	一	平	影	開		歌	徒	tɐu342	徒弟
246	t	ɐu	342	一	平	影	開		歌	屠	tɐu342	屠杀
247	t	ɐu	342	一	平	影	開		歌	途	tɐu342	前途
248	t	ɐu	342	一	平	影	開		歌	塗	tɐu342	泥涂，涂改
249	t	ɐu	342	一	平	影	開		歌	圖	tɐu342	地图
250	t	ɐu	22	一	平	影	開		歌	杜	tɐu22	杜仲；姓
251	t	ɐu	13	一	平	影	開		歌	肚	tɐu13	肚子，肚脐
252	t	ɐu	22	一	平	影	開		歌	度	tɐu22	忖度，度长
253	t	ɐu	22	一	平	影	開		歌	渡	tɐu22	偷渡
254	t	ɐu	22	一	平	影	開		歌	鍍	tɐu22	电镀
255	l	ɐu	22	一	平	影	開		歌	奴	lɐu22	奴隶
256	l	ɐu	13	一	平	影	開		歌	努	lɐu13	努力
257	n	ɐu	52	一	平	影	開		歌	怒	nɐu52	发怒
258	l	ɐu	342	一	平	影	開		歌	盧	lɐu342	姓卢
259	l	ɐu	342	一	平	影	開		歌	爐	lɐu342	炉子
260	l	ɐu	342	一	平	影	開		歌	蘆	lɐu342	芦苇
261	l	ɐu	13	一	平	影	開		歌	魯	lɐu13	鲁迅
262	l	ɐu	13	一	平	影	開		歌	櫓	lɐu13	摇船的工具
263	l	o	13	一	平	影	開		歌	虜	lo13	俘虏
264	l	ɐu	13	一	平	影	開		歌	滷	lɐu13	卤水
265	l	ɐu	22	一	平	影	開		歌	路	lɐu22	马路
266	l	ɐu	22	一	平	影	開		歌	賂	lɐu22	贿赂
267	l	ɐu	22	一	平	影	開		歌	露	lɐu22	露水
268	l	ɐu	22	一	平	影	開		歌	鷺	lɐu22	白鹭
269	tʃ	ɐu	52	一	平	影	開		歌	租	tʃɐu52	房租
270	tʃ	ɐu	55	一	平	影	開		歌	祖	tʃɐu55	祖国
271	tʃ	ɐu	55	一	平	影	開		歌	組	tʃɐu55	组长
272	tʃ	ɐu	33	一	平	影	開		歌	做	tʃɐu33	做饭
273	tʃʰ	ɐu	52	一	平	影	開		歌	粗	tʃʰɐu52	粗心
274	tʃʰ	ɐu	33	一	平	影	開		歌	醋	tʃʰɐu33	吃醋
275	tʃʰ	o	33	一	平	影	開		歌	措	tʃʰo33	措施
276	tʃʰ	ɔ	33	一	平	影	開		歌	錯	tʃʰɔ33	错误
277	ʃ	ɐu	52	一	平	影	開		歌	蘇	ʃɐu52	苏州
278	ʃ	ɐu	52	一	平	影	開		歌	酥	ʃɐu52	酥油，酥饼
279	ʃ	ɐu	33	一	平	影	開		歌	素	ʃɐu33	吃素；朴素
280	ʃ	ɐu	33	一	平	影	開		歌	訴	ʃɐu33	告诉
281	ʃ	œk	033	一	平	影	開		歌	塑	ʃœk3	塑像
282	k	u	52	一	平	影	開		歌	姑	ku52	姑娘
283	k	u	52	一	平	影	開		歌	孤	ku52	孤独
284	kʰ	u	52	一	平	影	開		歌	箍	kʰu52	紧箍咒
285	k	u	52	一	平	影	開		歌	辜	ku52	无辜，辜负
286	k	u	55	一	平	影	開		歌	古	ku55	古代
287	k	u	55	一	平	影	開		歌	估	ku55	估计
288	k	u	55	一	平	影	開		歌	牯	ku55	牛牯
289	k	u	55	一	平	影	開		歌	股	ku55	股票
290	k	u	55	一	平	影	開		歌	鼓	ku55	鼓励
291	k	u	55	一	平	影	開		歌	蠱	ku55	蛊惑；整蛊
292	k	u	33	一	平	影	開		歌	故	ku33	故事
293	k	u	33	一	平	影	開		歌	固	ku33	固定
294	k	u	33	一	平	影	開		歌	雇	ku33	雇主
295	k	u	33	一	平	影	開		歌	顧	ku33	照顾
296	k	u	52	一	平	影	開		歌	枯	ku52	枯萎
297	f	u	55	一	平	影	開		歌	苦	fu55	吃苦
298	f	u	33	一	平	影	開		歌	庫	fu33	水库
299	f	u	33	一	平	影	開		歌	褲	fu33	裤子
300		m̩	22	一	平	影	開		歌	吴	m̩22	姓
301		m̩	22	一	平	影	開		歌	蜈	m̩22	蜈蚣
302		m̩	22	一	平	影	開		歌	梧	m̩22	梧桐
303		m̩	13	一	平	影	開		歌	五	m̩13	第五
304		m̩	13	一	平	影	開		歌	伍	m̩13	队伍
305		m̩	13	一	平	影	開		歌	午	m̩13	中午
306		m̩	22	一	平	影	開		歌	誤	m̩22	错误
307		m̩	22	一	平	影	開		歌	悟	m̩22	孙悟空
308	f	u	52	一	平	影	開		歌	呼	fu52	呼吸
309	f	u	55	一	平	影	開		歌	虎	fu55	老虎
310	f	u	55	一	平	影	開		歌	滸	fu55	水浒传
311	f	ui	33	一	平	影	開		歌	戽	fui33	戽水
312		u	342	一	平	影	開		歌	胡	u342	二胡；姓
313		u	342	一	平	影	開		歌	湖	u342	太湖
314		u	342	一	平	影	開		歌	狐	u342	狐狸
315		u	342	一	平	影	開		歌	壺	u342	水壶
316	f	u	52	一	平	影	開		歌	乎	fu52	在乎
317		u	342	一	平	影	開		歌	鬍	u342	胡须
318		u	342	一	平	影	開		歌	葫	u342	葫芦
319		u	342	一	平	影	開		歌	糊	u342	糊涂
320		u	342	一	平	影	開		歌	蝴	u342	蝴蝶
321		u	22	一	平	影	開		歌	户	u22	户口
322		u	22	一	平	影	開		歌	滬	u22	上海简称
323		u	22	一	平	影	開		歌	互	u22	互相
324		u	22	一	平	影	開		歌	護	u22	保护
325		u	52	一	平	影	開		歌	烏	u52	乌鸦
326		u	52	一	平	影	開		歌	污	u52	污染
327	k	u	52	一	平	影	開		歌	塢	ku52	船坞
328		œk	033	一	平	影	開		歌	惡	œk3	可恶
329	l	ɔy	13	一	平	影	開		歌	女	lɔy13	女儿
330	l	ɐu	342	一	平	影	開		歌	廬	lɐu342	庐山
331	l	ɔy	342	一	平	影	開		歌	驢	lɔy342	毛驴
332	l	ɔy	55	一	平	影	開		歌	吕	lɔy55	姓
333	l	ɔy	55	一	平	影	開		歌	旅	lɔy55	旅游
334	l	ɔy	22	一	平	影	開		歌	慮	lɔy22	考虑
335	l	ɔy	22	一	平	影	開		歌	濾	lɔy22	过滤
338	tʃ	ɔy	342	一	平	影	開		歌	徐	tʃɔy342	姓
339	tʃ	ɔy	22	一	平	影	開		歌	序	tʃɔy22	秩序
340	tʃ	ɔy	22	一	平	影	開		歌	叙	tʃɔy22	叙述
341	ʃ	ɔy	13	一	平	影	開		歌	緒	ʃɔy13	情绪；光绪
342	t	ɔy	52	一	平	影	開		歌	豬	tɔy52	猪肉
343	tʃ	y	33	一	平	影	開		歌	著	tʃy33	著名
344	tʃ	y	342	一	平	影	開		歌	除	tʃy342	除法
345	tʃʰ	y	13	一	平	影	開		歌	儲	tʃʰy13	储蓄
346	tʃ	y	33	一	平	影	開		歌	苧	tʃy33	苎麻
348	tʃ	ɔ	55	一	平	影	開		歌	阻	tʃɔ55	阻力
349	tʃʰ	ɔ	52	一	平	影	開		歌	初	tʃʰɔ52	初中
350	tʃʰ	ɔ	55	一	平	影	開		歌	楚	tʃʰɔ55	清楚
351	tʃʰ	ɔ	55	一	平	影	開		歌	礎	tʃʰɔ55	基础
352	tʃ	ɔ	342	一	平	影	開		歌	鋤	tʃɔ342	锄头
353	tʃ	ɔ	22	一	平	影	開		歌	助	tʃɔ22	帮助
354	ʃ	ɔ	52	一	平	影	開		歌	梳	ʃɔ52	梳头
355	ʃ	ɔ	52	一	平	影	開		歌	疏	ʃɔ52	疏远
356	ʃ	ɔ	52	一	平	影	開		歌	蔬	ʃɔ52	蔬菜
357	ʃ	ɔ	55	一	平	影	開		歌	所	ʃɔ55	所以
358	ʃ	ɔ	52	一	平	影	開		歌	疏	ʃɔ52	注疏
359	tʃ	y	52	一	平	影	開		歌	諸	tʃy52	诸葛亮
360	tʃ	y	55	一	平	影	開		歌	煮	tʃy55	煮饭
361	tʃʰ	y	33	一	平	影	開		歌	處	tʃʰy33	处理
362	tʃʰ	y	33	一	平	影	開		歌	處	tʃʰy33	处所
363	ʃ	y	52	一	平	影	開		歌	書	ʃy52	书本
364	ʃ	y	52	一	平	影	開		歌	舒	ʃy52	舒服
365	ʃ	y	55	一	平	影	開		歌	暑	ʃy55	暑假
366	ʃ	y	55	一	平	影	開		歌	鼠	ʃy55	老鼠
368	ʃ	y	33	一	平	影	開		歌	恕	ʃy33	饶恕
369	ʃ	oi	22	一	平	影	開		歌	墅	ʃoi22	别墅
370	tʃʰ	y	33	一	平	影	開		歌	署	tʃʰy33	署名；专署
371	tʃ	y	342	一	平	影	開		歌	薯	tʃy342	番薯
372		y	22	一	平	影	開		歌	如	y22	如果
373	k	ɔy	52	一	平	影	開		歌	居	kɔy52	居民
374	k	ɔy	52	一	平	影	開		歌	車	kɔy52	车马炮
375	k	ɔy	55	一	平	影	開		歌	舉	kɔy55	举报
376	k	ɔy	33	一	平	影	開		歌	據	kɔy33	收据
377	k	ɔy	33	一	平	影	開		歌	鋸	kɔy33	电锯
378	h	ɔy	52	一	平	影	開		歌	墟	hɔy52	废墟
379	h	ɔy	33	一	平	影	開		歌	去	hɔy33	来去
380	k	ɔy	342	一	平	影	開		歌	渠	kɔy342	水渠
381	k	ɔy	13	一	平	影	開		歌	佢	kɔy13	他；她；它
382	k	ɔy	13	一	平	影	開		歌	巨	kɔy13	巨大
383	k	ɔy	13	一	平	影	開		歌	拒	kɔy13	拒绝
384	k	ɔy	13	一	平	影	開		歌	距	kɔy13	距离
385		y	342	一	平	影	開		歌	魚	y342	金鱼
386		y	342	一	平	影	開		歌	漁	y342	渔业；渔场
387		y	13	一	平	影	開		歌	語	y13	语文
388		y	22	一	平	影	開		歌	御	y22	御用
389		y	22	一	平	影	開		歌	禦	y22	驾御，防御
390	h	ɔy	52	一	平	影	開		歌	虚	hɔy52	虚心
391	h	ɔy	52	一	平	影	開		歌	嘘	hɔy52	吹嘘
392	h	ɔy	55	一	平	影	開		歌	許	hɔy55	许多
393		y	52	一	平	影	開		歌	於	y52	在于
394		y	52	一	平	影	開		歌	淤	y52	淤泥
395		y	342	一	平	影	開		歌	余	y342	姓
396		y	342	一	平	影	開		歌	餘	y342	多余
397		y	342	一	平	影	開		歌	與	y342	给与；参与
398		y	22	一	平	影	開		歌	譽	y22	荣誉
399		y	22	一	平	影	開		歌	預	y22	预备
400		y	342	一	平	影	開		歌	豫	y342	犹豫
401	f	u	52	一	平	影	開		歌	夫	fu52	夫妻
402	f	u	52	一	平	影	開		歌	膚	fu52	皮肤
403	f	u	55	一	平	影	開		歌	府	fu55	广府
404	f	u	55	一	平	影	開		歌	腑	fu55	五脏六腑
405	f	u	55	一	平	影	開		歌	俯	fu55	俯视
406	pʰ	u	55	一	平	影	開		歌	甫	pʰu55	杜甫
407	pʰ	u	55	一	平	影	開		歌	脯	pʰu55	杏脯
408	pʰ	u	55	一	平	影	開		歌	斧	pʰu55	斧头
