	音標	調類	調值	字
561	bəŋ	2	33	朋棚蓬
562	tiɛn	1	212	灯
563	nɛn	2	33	能
564	hiɛn	2	42	肯
565	peʔ	2	55	北
566	meʔ	2	55	墨
567	teʔ	2	55	得
568	dzeʔ	2	55	贼测策
569	heʔ	2	55	刻黑
570	pin	1	212	冰兵
571	ɕin	1	214	兴
572	iŋ	2	33	蝇荣营容
573	tseʔ	2	55	侧窄
574	tsɿʔ	2	55	织
575	kueʔ	2	55	国
576	feʔ	2	55	或
577	məŋ	2	42	猛
578	ta	2	42	打
579	naŋ	2	42	冷
580	saŋ	1	212	生声兄
581	sɛn	1	42	省
582	kiɛn	1	42	梗
583	haŋ	1	212	坑
584	ŋaŋ	1	35	硬
585	ɕin	2	33	行形
586	paʔ	2	55	百
587	baʔ	2	55	拍白
588	dzaʔ	2	55	拆择尺
589	keʔ	2	55	格
590	haʔ	2	55	客
591	ŋaʔ	2	55	额
592	ŋeʔ	2	55	额
593	tsaŋ	1	212	争
594	tsaŋ	1	42	耕整
595	maʔ	1	55	麦
596	kaʔ	1	55	隔
597	biaŋ	2	33	平
598	biŋ	2	33	平
599	biaŋ	2	35	病
600	miaŋ	2	33	明名
601	miaŋ	2	35	命
602	min	2	35	命
603	tɕiaŋ	2	214	镜
604	dʑin	2	214	庆
605	iaŋ	2	42	影
606	tɕʮ	2	214	剧
607	piaŋ	2	42	饼
608	pin	2	42	饼
609	diaŋ	2	42	领
610	din	2	42	领挺
611	tɕiaŋ	2	42	井
612	dʑiaŋ	1	212	清轻青
613	ɕiaŋ	1	214	姓
614	dzaŋ	2	33	程
615	iaŋ	2	33	赢
616	ɕiaʔ	2	55	惜锡
617	saʔ	2	55	石
618	tiaŋ	1	212	钉
619	tin	1	42	顶
620	din	1	212	厅
621	diaŋ	1	214	听
622	diaŋ	1	35	定
623	din	1	35	定
624	diaŋ	2	33	零
625	ɕiaŋ	1	212	星
626	piaʔ	1	55	壁
627	biaʔ	1	55	劈
628	diaʔ	1	55	踢笛
629	dʑiaʔ	1	55	吃
630	uaŋ	2	33	横
631	ɕiŋ	1	212	兄
632	yn	1	42	永
633	təŋ	1	212	东冬
634	təŋ	1	42	懂
635	təŋ	1	214	冻
636	dəŋ	1	212	通
637	dəŋ	1	42	桶统
638	dəŋ	1	214	痛
639	dəŋ	2	33	铜
640	dəŋ	2	35	动洞
641	nəŋ	1	212	聋
642	tsəŋ	1	214	粽种
643	dzəŋ	1	212	葱充冲
644	səŋ	1	214	送宋
645	kəŋ	1	212	公宫恭
646	həŋ	1	42	孔
647	fəŋ	2	33	红
648	həŋ	1	212	翁
649	douʔ	1	55	读毒
650	nouʔ	1	55	鹿绿
651	dzouʔ	1	55	族
652	kuʔ	1	55	谷
653	uʔ	1	55	哭屋
654	nəŋ	2	33	脓龙
655	səŋ	1	212	松
656	fəŋ	1	212	风丰封蜂
657	fəŋ	1	35	凤缝
658	məŋ	1	35	梦
659	tsəŋ	1	212	中终
660	dzəŋ	2	33	虫松
661	dʑiŋ	2	33	穷
662	ɕiŋ	2	33	熊雄
663	fuʔ	2	55	福服
664	diouʔ	2	55	六绿
665	ɕiouʔ	2	55	宿赎
666	tʮʔ	2	55	竹粥烛
667	dʮʔ	2	55	畜
668	fʮʔ	2	55	叔熟属
669	ȵiouʔ	2	55	肉
670	tɕiouʔ	2	55	菊足
671	iouʔ	2	55	育浴
672	dzəŋ	2	35	重共
673	tsəŋ	2	42	肿
674	khəŋ	2	35	共
675	ɕioŋ	1	212	凶
676	iŋ	1	35	用
677	dʑiouʔ	1	55	曲局
678	yʔ	1	55	玉
