#i
p[31]皮脾僻辟[55]比髀{大腿}[24]被[313]蔽币毙备避
tsʰ[42]妻凄[422]砌斜
s[42]西犀[31]邪[55]写洗[422]泻卸细
tɕ[42]遮[55]者[422]蔗
tɕʰ[42]车□{扔掉}[55]扯
ɕ[42]佘赊[31]蛇舌[55]舍{割~}[24]社{文}舍{宿~}[422]摄势世[313]射麝
ȵ[24]嘢{东西，物件}
k[42]鸡苣[31]茄[422]契
j[42]爷[24]惹野[313]夜

#ø
t[55]□{往里塞}
l[55]传速
ȵ[55]□{拗折}

#ai
p[42]□{女阴}[31]牌排簰{竹筏}[55]摆[422]拜[313]稗败
pʰ[55]挀{双臂平伸的长度}[422]派
m[31]埋[24]买[313]迈卖
f[42]淮
t[313]大{父亲}
tʰ[422]太
n[55]□{软~~，无力貌}[24]奶
l[42]拉[55]□{量词，个，指人}[313]赖
ts[42]灾栽[55]宰[422]再债
tsʰ[42]猜差{出~}
s[422]赛
tɕ[42]斋[24]□{扔}
ȵ[42]□{咀嚼}
ɕ[42]筛[31]柴[422]晒
k[42]阶街[55]改解[422]介界芥械戒
kʰ[42]揩[422]概慨
ŋ[42]挨[31]崖捱□{~墨，研墨}[55]矮[313]蟹
h[31]鞋
kʷ[42]乖[55]拐{~杖}[422]怪
kʰʷ[55]拐{骗~}[422]快筷块
w[42]歪[31]怀槐[313]坏

#ɐi
t[31]台苔抬[422]戴怠带[313]贷待代大
tʰ[42]胎
n[313]耐奈
l[31]来[313]泪
ts[31]才财材裁豺[55]嘴[313]在载
tsʰ[55]彩采睬[422]菜蔡
s[42]虽腮
tɕ[42]追[31]锤[313]坠赘
tɕʰ[42]吹炊
ȵ[42]□{(蚊虫)叮咬}[422]□{锥子，锥}
ɕ[55]水[313]睡
k[42]该[31]□{倾~，聊天}[55]给[422]盖
kʰ[42]开
ŋ[42]哀[422]爱[313]碍艾外
h[42]□{女阴}[55]海[313]害係{是}
kʷ[42]龟[31]葵[55]鬼轨诡[422]贵归桂[313]柜跪
kʰʷ[42]亏规
ŋʷ[31]危
w[42]威[31]韦苇微违唯桅为{行为}[55]委伟[24]卫魏畏[422]未喂[313]位伪为{为了}

#ɔi
tɕʰ[42]搋
ȵ[42]□{揉搓}
ɕ[24]□{甜~，西红柿}[422]帅

#au
p[42]包[55]保饱[422]豹[313]刨
pʰ[42]抛[55]跑[313]炮泡
m[24]牡卯
n[31]锚[313]闹
l[42]□{搅拌，混合}[31]捞涝痨牢
tɕ[24]□{~缆，系紧船缆}[313]炸{油炸}
tɕʰ[42]抄[55]炒吵
ȵ[42]挠[55]爪[422]□{滚~~，沸腾貌}
k[42]交胶郊[55]搞稿[422]觉臼
kʰ[42]敲[55]考烤
ŋ[24]袄咬[422]坳拗
h[31]豪毫[422]效校孝较
∅[422]傲

#ɐu
p[313]□{~火虫，飞蛾}
m[42]□{蹲}[31]谋[55]亩[24]某[313]茂贸
f[55]否[313]埠
t[42]兜[31]头投[55]斗陡□[422]鬥[313]豆痘
tʰ[42]偷[422]透
n[55]扭[313]□{使中毒}
l[42]溜□{马~，猴子}褛{大衣}[31]流刘留榴硫楼琉[55]搂屡[24]柳[313]漏
ts[42]邹鸠[55]酒[422]就[313]袖
tsʰ[42]秋[422]凑
s[42]修馊搜[422]秀绣
tɕ[42]周舟洲州[31]筹稠绸[422]咒
tɕʰ[42]丑[55]抽[422]臭
ȵ[422]柚皱
ɕ[42]收[31]仇酬[55]手首守[422]瘦[313]受授兽售寿
k[42]沟[31]□{~饭，扒饭}□{量词，块}[55]狗[422]够购构
kʰ[422]扣
ŋ[42]勾钩欧[24]藕偶
h[42]□{充~。逞能}[31]侯喉[55]口[24]厚[313]候后
∅[55]呕[313]沤怄

#eu
m[31]苗描[55]秒[313]庙妙
t[55]鸟
tʰ[42]挑[422]跳
n[313]尿
l[42]寮[31]疗[24]了[313]料
s[42]箫消萧硝霄宵
k[31]求球[55]九灸久[422]救究[313]旧舅
kʰ[42]纠丘
ŋ[31]牛
h[42]休朽嚣
j[42]忧悠幽优尤[31]由邮油犹游釉柔[24]有友[313]又右佑诱幼

#iu
p[42]标彪[31]瓢嫖薸[55]表
pʰ[42]飘漂{~浮}[422]票漂{~白}
t[42]刁雕貂[31]条调{~和}[422]丢吊钓[313]掉调{~动}
n[55]□{用手指掐}
ts[42]蕉焦椒醮
tsʰ[42]缲
s[55]小[422]笑
tɕ[42]招昭朝[31]朝潮巢[422]照[313]赵
ȵ[24]舀
ɕ[42]烧[55]少{多~}[422]少{~年}[313]绍
k[42]娇骄[31]乔桥侨[55]缴绞饺[422]叫[313]轿撬藠
kʰ[55]狡巧[422]窍
∅[42]妖邀要{~求}腰幺[31]谣窑摇姚[55]扰[422]要{重~}耀

#ui
p[42]碑杯悲卑[31]培陪赔[422]贝背{~后}[313]辈倍
pʰ[42]坯[24]配佩
m[31]梅枚媒煤霉眉晦[24]美每[313]妹
f[42]恢灰挥[55]毁悔匪
t[42]堆[313]对队兑
tʰ[42]推[55]腿[422]退
n[55]髓
l[42]镭{铜~，铜板}[31]雷[55]累{积~}[313]累{文，劳~}
ts[31]随[24]罪[422]最醉
tsʰ[42]催崔[422]脆
s[422]碎岁
ɕ[42]衰{倒霉，晦气}[422]税
k[313]□{疲劳}
∅[42]辉[313]慰会{开~}汇贿绘惠

#am
t[42]耽担[31]谭潭[55]胆[24]淡[422]担
tʰ[313]探
n[31]男南□{食物软烂}
l[42]篮[31]兰蓝[55]览揽[24]缆
ts[31]蚕□{~咸蛋，腌咸蛋}[55]斩[313]栈站暂
tsʰ[42]参搀[31]镵刺{，扎}[55]惨
s[42]三
ɕ[42]衫
k[42]监[55]减
ŋ[42]□{刚才，恰好，合适}[31]癌岩
h[31]咸[55]喊

#ɐm
t[24]葚{桑果}
l[31]林淋临邻磷
ts[55]□{~跤，摔跤比赛}
tsʰ[422]浸
s[42]心
tɕ[42]针斟[31]沉[55]枕
ɕ[42]深参[55]审婶沈
k[42]今[31]蠄{~渠，癞蛤蟆}[55]敢[313]揿
h[42]钦□{击，打}[31]含衔[55]臽{碓臼}
∅[42]鹌[422]暗

#em
k[42]金[422]禁

#im
t[31]甜[55]点典[24]垫踮[422]店
tʰ[42]添
n[42]拈研[313]念验
l[31]镰
ts[42]尖
tsʰ[42]签
tɕ[422]占
ȵ[55]饮[24]染
k[31]钳虔[422]剑
h[55]蚬[422]歉
∅[42]淹阉[31]盐嫌[55]□{蒸~，篦子}

#an
p[42]班[55]板[422]扮[313]办湴{烂~，烂泥}
pʰ[422]盼
m[42]扳[31]蛮[24]晚[313]慢曼漫万□{饭煮得太烂}
f[42]翻[31]帆凡烦繁矾[55]反返[422]贩[313]饭犯范
t[42]丹单[31]坛檀谈[24]但[313]蛋弹
tʰ[42]滩摊[55]坦毯[313]炭叹
n[31]难{困~}[313]难{灾~}
l[31]拦栏[55]□{皮肤上的污垢}[24]懒[313]烂滥
ts[31]残漦{黏液}[55]攒
tsʰ[42]餐
s[422]散[313]伞
tɕ[55]盏
tɕʰ[55]产铲□{箕形指纹}
ɕ[42]山
k[42]奸间{中~}[55]碱[422]间{~隔}[313]鉴舰
kʰ[55]砍坎
ŋ[42]间{量词}[24]眼
h[313]限苋
kʷ[42]关
ŋʷ[31]顽
w[42]弯湾[31]完玩丸[55]挽腕[24]綄布扣襻
∅[422]晏

#ɐn
p[42]奔宾槟[31]盆[55]本[422]□{在收获过的田地里捡(作物)}[313]笨
pʰ[42]喷
m[31]门蚊纹[313]闷焖问□{~水，泉水}
f[42]分纷芬荤[31]坟[55]粉[422]粪奋愤忿[313]份
t[42]敦吨[55]墩囤[24]盾钝屯[422]□{用拳击}[313]顿
tʰ[42]吞[24]褪
n[42]□{皮肤上长的小疙瘩}[55]□{捏}[313]嫩
l[42]□{饭~，饭煮得干}□{唠叨}[31]轮伦鳞[55]□{口吃}[24]□{在暗处摸}[313]论
ts[42]尊遵□{瓶子}[55]□{积攒}[24]尽[422]进
tsʰ[42]亲村[55]蠢[422]寸衬侵
s[42]新孙辛[31]旬巡[55]损笋榫[422]信讯
tɕ[42]珍真贞侦[55]准诊疹[422]振震[313]阵镇
tɕʰ[42]抻春椿[422]趁
ȵ[31]人仁[55]润忍蚓[313]韧认
ɕ[42]身申伸[31]神纯唇晨辰[24]肾慎[313]顺
k[42]根跟
kʰ[55]肯垦恳啃
ŋ[42]恩[31]银[55]□{硌}
h[31]□{~嘢，东西}还□{痒}[313]恨睏
kʲ[42]斤筋[31]琴禽擒勤芹琼群裙[55]紧[24]近仅菌
kʷ[42]钧君军[55]滚[422]棍
kʰʷ[42]坤昆[55]捆[422]困
hʷ[42]昏婚[422]混
j[42]因姻[31]匀云寅[55]引尹隐[24]允[422]印[313]孕闰
w[42]温瘟[31]魂{文}[55]稳[313]运

#en
p[55]贬扁
tʰ[55]舔
n[55]碾

#øn
ɕ[42]栓楦

#in
p[42]边鞭[24]辫[422]变[313]便
pʰ[42]篇编[422]骗遍[313]片
m[31]棉眠绵[55]勉免[24]□{自~，自杀}[313]面
t[42]颠癫[31]田填[313]电
tʰ[42]天添
n[31]年严
l[31]连恋帘联莲怜廉[313]练炼链
ts[42]煎[31]前钱[55]剪[422]箭荐[313]渐贱
tsʰ[42]千迁[55]浅践
s[42]先仙[422]线羡
tɕ[42]粘毡[55]展[422]战颤
ȵ[42]烟[31]然燃
ɕ[42]煽[55]闪陕[422]扇[313]善
k[42]坚肩艰监{~督}[55]简拣捡检俭茧[422]见建键[313]件健
kʰ[42]牵谦
h[55]显
∅[31]言延芫檐炎[422]燕厌胭献[313]现

#un
p[42]搬[31]盘[422]半[313]伴拌
pʰ[42]潘[55]□{游荡}[422]判叛
m[31]瞒[24]满
f[42]欢[55]款缓
t[42]端[31]团[55]短[24]断[313]锻段缎
n[24]暖
l[42]鸾[24]卵[313]乱
s[42]酸[422]算蒜
tɕ[42]专砖
k[42]官观冠[55]管馆[422]惯贯罐灌冠
∅[55]碗[313]换唤幻焕

#yn
ts[31]全泉传[55]喘[422]转钻
tsʰ[422]篡串
s[42]鲜宣[31]旋[55]选癣
tɕʰ[42]川穿
ȵ[24]软[313]愿
ɕ[31]船椽
k[42]捐[31]乾权拳[55]卷[313]□{用箅子垫}
kʰ[42]圈[55]犬[422]券劝
h[31]玄
∅[42]渊冤[31]元园缘原源援袁员圆铅阎[55]阮[24]远[422]怨[313]院县

#ɔn
k[42]干肝[55]竿杆秆赶
ŋ[313]岸
h[31]寒韩[24]旱汉陷[422]看[313]汗
∅[42]安鞍[422]案按

#ɔŋ
p[42]帮邦[31]旁[24]□{用手向外扒}
m[42]蒙[31]忙芒茫盲亡忘[24]网[313]望
f[42]方芳[31]房妨防[55]纺访仿晃[422]放
t[42]当{应~}[31]塘棠糖堂唐隚{地~，小块平地}[55]党挡[313]档当{~铺}
tʰ[42]汤劏[422]烫趟
n[31]瓤
l[31]狼郎廊浪□{~花，抽穗}[24]□{~衫，漂洗衣服}
ts[313]葬
tsʰ[42]仓苍[31]藏
s[42]丧桑
tɕ[42]装庄桩[313]壮状
tɕʰ[42]窗疮[55]闯
ɕ[42]双霜[31]床[55]爽
k[42]钢纲缸刚冈光[55]港广
kʰ[422]抗
ŋ[31]昂[313]戆
h[42]康糠慷[31]行{排~}杭航[313]项巷
w[31]黄簧皇蝗磺王[55]枉[313]旺

#oŋ
p[31]鹏膨蓬篷[24]嘣[422]□{嘟噜，串}
pʰ[55]捧[422]碰
m[31]萌[55]猛懵[313]孟梦
f[42]风疯枫封丰蜂峰锋[31]冯逢缝{~补}[55]讽[24]缝{~隙}[313]凤奉
t[42]东冬[31]同铜筒桐茼童[55]懂董[24]动[422]冻[313]洞栋
tʰ[42]通统{~~}[55]桶统{~一}[422]痛
n[42]哝[31]农脓浓[24]□{~儿，男孩}
l[42]聋窿[31]龙笼隆虹[24]拢栊[313]弄
ts[42]宗棕踪鬃[31]松从丛[55]总
tsʰ[42]葱匆[55]□{推}
s[42]鬆[31]倯{无能，窝囊}[422]送宋
tɕ[42]中{~间}钟忠[31]重{~复}虫崇[55]肿种[24]重{~新}[422]种仲中{~计}
tɕʰ[42]充冲舂
ȵ[31]绒嗅
k[42]工公功攻弓躬恭宫[55]拱巩[422]供[313]共
kʰ[42]空[55]孔
h[31]红洪宏鸿弘[55]哄[313]蕹
kʲ[31]穷
hʲ[42]胸凶[31]雄
j[31]荣戎融茸容溶熔[55]拥勇涌[313]用
∅[42]翁轰壅[55]□{推}

#øŋ
k[55]□{~，植物的茎}

#aŋ
p[42]崩[31]朋棚庞彭[55]绷绑膀[24]□{墙~，墙壁}
pʰ[55]耪
m[24]蟒[422]芒
n[31]能
l[42]□{毛线}
tɕ[42]睁[24]□{~灰，用灰浆填塞船缝}
tɕʰ[313]撑
ɕ[42]生牲甥[55]省[24]上{~山}[313]上{~面}
k[42]耕庚更羹
ŋ[313]硬
h[42]坑[31]衡
kʰʷ[42]筐框[422]旷□{绊}
w[31]横
∅[42]盎

#ɐŋ
p[313]蚌□{支撑}
m[31]□{未曾的合音}[422]□{~界，拔河}
t[42]登灯[31]腾藤[55]等[422]凳[313]邓
ts[42]僧争增曾{姓~}[31]层曾{~经}
k[42]江[55]讲亘

#eŋ
p[42]兵冰[31]平评坪瓶凭屏贫频萍[55]丙饼[313]病
pʰ[55]品[313]拼
m[31]明冥鸣铭民名[313]命
t[42]丁钉{~子}[31]停亭廷庭[55]顶鼎挺[24]艇[422]订钉{~钉上}[313]定
tʰ[42]厅[422]听
n[42]□{拿，提}[31]宁
l[31]灵零铃菱[24]岭领冷[313]令另
ts[42]精晶[31]情晴[55]井[24]静
tsʰ[42]清青[55]请
s[42]星腥猩[55]醒[422]性姓
tɕ[42]蒸征正{~月}[55]整[422]证政症正{~义}[313]郑
tɕʰ[42]称[422]秤
ɕ[42]声升[31]成城诚承乘呈程[422]盛胜圣[313]剩
k[42]经京惊荆[55]颈景警[422]劲敬竟境镜
kʰ[422]杏庆
h[42]轻锦兴{~旺}[31]型刑形赢行{~走}[422]兴{高~}
w[55]永
∅[42]英樱婴鹰蝇莺鹦应{~该}[31]迎营盈[55]影映[422]应{答~}

#iŋ
n[42]娘
l[31]良梁粮粱量{测~}[24]两[313]亮谅量{数~}
ts[42]浆将{~来}[31]墙祥详[55]奖蒋[313]匠将{~领}
tsʰ[42]枪[55]抢
s[42]箱厢相{~信}□{菜~，菜畦}[55]想[24]象[422]像{文}橡{文}相{~貌}
tɕ[42]张章[31]长{~短}肠场[55]掌长{~大}涨[24]丈[422]账胀帐障仗{文}
tɕʰ[42]昌[55]厂[422]唱倡
ȵ[313]馕让
ɕ[42]伤商[31]常裳偿[55]赏{文}
k[42]姜[31]强{~大}[55]□{箩~，有提梁和盖子的竹篮}
kʰ[42]疆腔倾勥{欺负}[55]强{勉~}
h[42]香乡[55]享响[422]向
∅[42]央秧殃[31]降羊洋杨扬阳[24]痒[313]样

#ŋ̍
∅[31]梧[24]五伍午

#ap
t[5]答搭
tʰ[5]塔踏
n[3]纳
l[3]腊蜡
ts[3]杂
tɕ[3]闸铡
tɕʰ[5]插
ȵ[5]□{~眼，眨眼}
ɕ[5]煠
k[5]甲[3]盍
kʰ[5]掐□{搂抱}
∅[5]鸭押

#ɐp
t[5]沓
tʰ[5]錔
n[5]抐{挟取}
tsʰ[5]□{脆~~，脆}
ȵ[5]入
ɕ[5]湿[3]十
k[3]鸽
kʰ[5]磕级
h[3]合盒
∅[5]□{敷，捂}

#ip
t[3]叠碟蝶谍
tʰ[5]帖贴
n[3]聂镊业孽
l[3]猎
ts[5]接
ɕ[5]涉
n[5]□{皱折}
k[5]劫
j[5]腌[3]叶

#ɔt
k[5]割葛

#øt
tɕ[5]刷唰{象声词}

#at
p[5]八[3]拔
m[5]抹[3]袜
f[5]发法伐乏拂[3]罚
t[3]达
l[3]辣□{冰冷}
ts[5]札
tsʰ[5]察擦獭
s[5]萨撒
ɕ[3]杀
kʷ[5]刮括
w[5]挖[3]滑
∅[5]压

#ɐt
p[5]笔必[3]鼻
pʰ[5]匹□{扫~，扫把}
m[3]密蜜物
f[5]朏{屎~，屁股}
n[5]□{摘}
l[5]揧[3]率律栗
ts[5]卒
tsʰ[5]七漆
tɕʰ[5]出
ȵ[3]日
ɕ[5]虱失[3]实
k[5]橘[3]□{干稠}
kʷ[5]骨□{~咕咕，布谷鸟}
h[3]核
j[5]一乙
w[3]□{扭曲}

#it
p[5]鳖[3]别
pʰ[5]撇
m[5]搣{剥，掰}[3]蔑篾
t[5]跌
tʰ[5]铁
n[5]捏
l[3]列裂烈劣
ts[5]节浙
tsʰ[5]窃切彻
ȵ[3]热
k[5]吉结洁杰
kʰ[5]揭
h[5]歇协胁
∅[5]噎

#ut
pʰ[5]泼
m[5]没
f[5]阔
tʰ[5]脱
ts[3]绝
tsʰ[5]撮
s[5]雪薛屑
ɕ[5]设
ȵ[3]月
k[5]□{打}
j[3]越

#yt
k[5]决
kʰ[5]缺
h[5]血[3]穴

#ɔk
p[5]博搏剥[3]薄
m[3]幕慕沫莫
tʰ[5]托
l[3]落洛络略
ts[5]凿
s[5]索削
tɕ[5]捉桌卓[3]芍镯
tɕʰ[5]鹊
n[3]弱
ɕ[5]朔
k[5]各郭
kʰ[5]扩确[3]霍
h[3]学获
kʰʲ[5]觉
j[5]约跃若

#ok
p[5]曝{肿包及包状物}[31]碌{~柚，柚子}
pʰ[5]仆
m[3]木目
f[5]福复覆佛[3]服伏
t[5]擉{戳}[3]读毒独督
l[5]辘□{弯曲}[3]陆鹿禄绿六熝
ts[5]足促助[3]族
tsʰ[5]促速束畜[3]续
s[5]粟宿肃俗缩
tɕ[5]竹烛祝筑粥轴触[3]浊
ȵ[5]㤢{动}[3]肉玉育狱郁辱
ɕ[3]熟属赎嘱
k[5]谷[3]菊局
kʰ[5]曲[5]哭
∅[5]屋

#ak
p[5]百[3]白柏伯
pʰ[5]拍迫
m[3]麦脉
tɕ[5]窄[3]宅则责择
tɕʰ[5]拆测厕册策
ȵ[5]□{玄孙}
k[5]格革隔
n[3]额
h[5]吓客
w[3]划画

#ɐk
p[5]北驳
m[3]墨默
t[5]得德
tʰ[5]特
l[3]肋勒
ts[3]贼
tsʰ[5]侧□{米~，米筒}
s[5]塞
k[5]国角阁
kʰ[5]壳咳刻克
ŋ[5]呃轭
h[5]黑

#ik
pʰ[5]劈逼
t[5]滴的{目的}[3]敌笛
tʰ[5]踢剔
n[5]□{拿}[5]□{解~赤，打赤膊}[3]力历
ts[5]绩籍积即唧鲫迹[3]席
tsʰ[5]戚雀
s[5]熄息惜习昔熄析悉锡
tɕ[5]隻织职着[3]质直值植
tɕʰ[5]尺
ɕ[5]识释色[3]石蚀
k[5]脚极
kʰ[5]屐
h[5]吃
∅[5]亿益[3]药钥
