y				
iɔ	2	若药约岳[～父]钥乐[音～]		
e				
pe	2	白[打～练，聊天]百柏北[～岸村，地名]伯		
pʰe	2	拍迫		
me	1	咩		
me	2	麦[～子桥]脉没[～收]墨		
me	3	□[想，思考]		
te	1	□[就咁得～，要得～，无实际意义的词]		
te	2	得[你好～哟，表示你很厉害]德		
te	5	□[想，思考]		
tʰe	2	特		
tʰe	3	□[挺起]		
ne	1	□[～～，表示肉，童语]		
ne	3	□[～，就在那里嘞，指示语气]		
le	1	勒竻[长刺的竹]□[割开]		
le	2	热[新派]肋		
tse	1	遮		
tse	2	则责摘窄蔗=厕侧折浙者[或～]		
tse	3	者[忍～]		
tse	5	仄这		
tsʰe	1	车=		
tsʰe	2	择泽册拆测撤策宅-		
tsʰe	3	扯=		
tsʰe	5	撤[又读]策[又读]		
se	1	畲赊佘		
se	2	色涩啬瑟塞摄		
se	3	舍[～不得，新派]		
se	5	色[又读]射		
ke	2	革[～气]格隔		
ke	3	给割[又读]		
ke	5	□[～一刀，锯开的意思]		
kʰe	2	克刻客□[不要乱～，表示不要乱抓乱抠某些伤口]		
kʰe	3	□[扑克牌的K]		
kʰe	5	去		
ŋe	2	额		
xe	2	核黑[～不里斯秋，形容很黑]吓		
e	2	儿[书面语，不常用]而[～且]		
e	3	尔耳饵		
e	5	二贰		
ie				
pie	1	憋瘪鳖		
pie	2	别		
pie	3	扁		
pie	5	别[～扭]		
pʰie	2	撇		
mie	1	搣[～花生]		
mie	2	灭篾		
tie	1	爹[～～，父亲]		
tie	2	跌[～跤，摔跤]谍叠碟蝶		
tʰie	2	贴铁帖		
ȵie	1	捏		
ȵie	2	日[下乡军话音]孽[造～]业[作～]聂镊蹑□[箇细伢嘚好～，表示很不安分]		
ȵie	3	惹		
lie	2	律[老派]列劣烈猎裂		
tɕie	1	嗟		
tɕie	2	接节捷截杰洁结竭揭汁		
tɕie	3	姐		
tɕie	5	借戒=价[又读]		
tɕʰie	1	车-		
tɕʰie	2	彻切妾窃茄七		
tɕʰie	3	且扯-		
tɕʰie	5	去怯		
ɕie	1	些蝎楔		
ɕie	2	舌蛇设涉泄屑斜舍[宿～]协胁挟携湿		
ɕie	3	舍[～不得，老派]写		
ɕie	5	社麝泻卸谢		
ie	1	椰耶		
ie	2	热爷叶页掖液腋乙鸭=		
ie	3	也野		
ie	5	夜		
ye				
tɕʰye	2	缺瘸确阕雀		
tɕye	1	撅		
tɕye	2	绝决掘觉[～得]爵蕨[～根糍粑]诀角[～色]		
ȵye	2	谑		
ɕye	1	削薛[～之谦]靴		
ɕye	2	说=薛[姓]雪穴血		
kʰye	3	□[折断]		
ye	2	粤月悦越		
ye	1	曰		
ye	5	阅		
ue				
ue	2	物勿		
ue	3	□[折断]		
kue	2	国骨		
xue	2	活		
oe				
œ	1	□[作呕吐声]		
ei				
pei	1	卑杯悲背碑		
pei	5	贝背[～脊]倍辈		
pʰei	1	胚呸		
pʰei	2	陪培赔裴		
pʰei	3	□[你就晓得～人，你就知道吐槽别人]		
pʰei	5	沛佩配辔		
mei	1	㜷[～～,婶婶]□[这东西～呱了，这东西腐败了]微[落～雨，下小且久的雨]□[那个人好～，表示那个人能力不强，手脚笨]		
mei	2	明[～日，明天]枚玫莓梅[～田，地名]脢媒楣煤霉		
mei	3	每美		
mei	5	妹昧媚寐		
fei	1	飞妃非		
fei	2	肥		
fei	3	匪翡		
fei	5	吠废肺费疿痱狒沸		
tuei	1	堆		
tuei	3	怼□[将东西一次性卖给商贩]		
tuei	5	对兑队		
tʰuei	1	推		
tʰuei	2	颓		
tʰuei	3	腿		
tʰuei	5	退蜕		
nei	5	内[又读]		
nuei	5	内		
lei	2	雷		
luei	1	□[滚动]		
luei	2	蕤[不要总～起脑壳，不要总是低头]雷[又读]累[～赘]		
luei	3	儡累[～积]耒		
luei	5	泪类累[好～]瑞[新派]		
tsuei	1	追锥		
tsuei	2	□[～进去，硬塞进去]		
tsuei	3	嘴		
tsuei	5	最罪醉坠缀赘		
tsʰei	2	侄[下乡军话音]		
tsʰuei	1	崔催吹炊		
tsʰuei	2	垂锤槌		
tsʰuei	5	脆翠淬粹瑞[老派]		
suei	1	虽		
suei	2	隋随谁髓		
suei	3	鼠-水		
suei	5	税睡遂隧穗		
kuei	1	归圭龟规闺		
kuei	3	轨诡鬼		
kuei	5	贵桂刽鳜		
kʰuei	1	亏盔窥岿		
kʰuei	2	奎逵葵魁癸		
kʰuei	3	跪		
kʰuei	5	柜愧溃		
xuei	1	灰恢挥辉麾徽		
xuei	2	回茴		
xuei	3	悔毁		
xuei	5	汇会[开～]绘贿彗晦秽惠慧讳		
uei	1	威煨		
uei	2	危为[作～]围违唯帷惟维		
uei	3	苇伟尾纬委萎伪喂		
uei	5	为[～什么]卫未位味[蛮有～，挺有趣]畏胃谓猬慰魏		
au				
pau	1	包苞胞褒		
pau	2	雹		
pau	3	宝[～塔下，地名]饱保		
pau	5	报抱豹孵暴爆鲍		
pʰau	1	浮-抛泡		
pʰau	2	刨袍		
pʰau	3	跑		
pʰau	5	炮砲		
mau	2	毛矛茅[～厕，厕所]锚髦		
mau	3	卯		
mau	5	冒帽貌无-懋		
tau	1	刀叨		
tau	3	导岛倒捣祷		
tau	5	倒到悼盗道稻		
tʰau	1	涛掏滔		
tʰau	2	逃桃陶淘萄		
tʰau	3	讨[～嫌，讨厌]		
tʰau	5	套		
nau	1	孬		
nau	2	挠		
nau	3	恼脑		
nau	5	嫪痨[～死你，毒死你]闹[赶～子，上定时集市]		
lau	1	捞□[这羊肉～肨了的，这羊肉很腥]唠		
lau	2	劳牢拢[～共，总共]		
lau	3	老姥		
lau	5	涝		
tsau	1	遭糟招昭召朝[～气]		
tsau	3	早枣蚤澡藻找爪[五～辣椒]		
tsau	5	焯灶皂躁兆赵照罩肇		
tsʰau	1	操抄钞超焯[～水]糙		
tsʰau	2	曹槽巢朝[～向]嘲潮		
tsʰau	3	草吵炒		
tsʰau	5	肏造		
sau	1	搔骚臊捎烧稍		
sau	2	韶		
sau	3	嫂扫[～除]少[多～]		
sau	5	少[～年]扫[～帚]邵绍潲□[帮我～一下，帮我抓下痒]□[～拢～拢，合起来]		
kau	1	羔高膏篙糕窖		
kau	3	搞稿		
kau	5	告觉[睡～]教[～书]		
kʰau	1	敲		
kʰau	3	考拷烤		
kʰau	5	犒靠		
ŋau	2	敖熬		
ŋau	3	袄咬		
ŋau	5	坳[～上，地名]傲奥懊		
xau	1	薅□[和起来]		
