							#調值 [1]31 [2]24 [3]22 [5]554 [7]5
9315	參	tsʰ	æɪ	31	參加。	陰平	
9320	南	l	æɪ	24		陽平	
9339	含	x	æɪ	24		陽平	
9381	貪	tʰ	æɪ	31		陰平	
9431	談	tʰ	æɪ	24		陽平	
9444	三	s	æɪ	31		陰平	
9445	參	s	æɪ	31		陰平	
9446	弎	s	æɪ	31		陰平	
9449	藍	l	æɪ	24		陽平	
9510	簾	l	eɪ	24		陽平	
9603	尖	ts	eɪ	31		陰平	
9670	甜	tʰ	eɪ	24		陽平	
9691	嫌	s	eɪ	24		陽平	
9703	咸	s	eɪ	24		陽平	
9777	銜	s	eɪ	24		陽平	
9792	衫	ʂ	æɪ	31		陰平	
9800	監	ts	eɪ	31	監牢。	陰平	
9818	凡	f	æɪ	24		陽平	
9895	動	t	oŋ	554		去聲	
9896	𨔝	t	oŋ	554		去聲	
10007	講	tɕ	iɑŋ	22		上聲	
10022	項	ɕ	iɑŋ	554		去聲	
10069	毀	x	ueɪ	22		上聲	
10124	椅	∅	iᶽ	22		上聲	
10162	觜	ts	eɪ	22		上聲	
10163	㭰	ts	eɪ	22		上聲	
10262	紫	ts	ɿ	22		上聲	
10312	跪	k	ueɪ	554		去聲	
10324	美	m	eɪ	22		上聲	
10365	比	p	iᶽ	22		上聲	
10390	𦳊	ʂ	ʅ	22		上聲	
10391	屎	ʂ	ʅ	22		上聲	
10395	死	s	ɿ	22		上聲	
10398	水	ʂ	ueɪ	22		上聲	
10484	喜	ɕ	iᶽ	22		上聲	
10514	使	s	ɿ	22		上聲	
10517	耳	∅	eɪ	22		上聲	
10526	李	l	iᶽ	22		上聲	
10598	伱	l	iᶽ	22		上聲	
10600	尾	∅	iᶽ	22		上聲	
10600	尾	v	eɪ	22		上聲	
10638	偉	v	eɪ	22		上聲	
10648	鬼	k	ueɪ	22		上聲	
10681	呂	l	y	22		上聲	
10682	膂	l	y	22		上聲	
10710	䰞	tʂ	u	22		上聲	
10722	煑	tʂ	u	22		上聲	
10748	女	l	y	22		上聲	
10837	雨	∅	y	22		上聲	
108554	斧	f	u	22		上聲	
10872	武	∅	u	22		上聲	
10896	父	f	u	554		去聲	
10924	柱	tʂ	u	554		去聲	
10939	豎	ʂ	u	554		去聲	
10940	竪	ʂ	u	554		去聲	
10955	主	tʂ	u	22		上聲	
10975	數	s	o	22	數一遍。	上聲	
22012	土	tʰ	u	22		上聲	
22055	古	k	u	22		上聲	
22094	虎	x	u	22		上聲	
22221	苦	kʰ	u	22		上聲	
22197	弟	t	iᶽ	554		去聲	
22317	洗	ɕ	iᶽ	22		上聲	
22318	洒	ɕ	iᶽ	22		上聲	
22245	米	m	iᶽ	22		上聲	
22277	買	m	æɪ	22		上聲	
22296	矮	∅	æɪ	22		上聲	
22301	解	k	æɪ	22	解開。	上聲	
22371	辠	ts	eɪ	554		去聲	
22372	罪	ts	eɪ	554		去聲	
22380	骽	tʰ	eɪ	22		上聲	
22381	腿	tʰ	eɪ	22		上聲	
22437	海	x	æɪ	22		上聲	
22467	改	k	æɪ	22		上聲	
22486	在	ts	æɪ	554		去聲	
22551	緊	tɕ	iŋ	22		上聲	
22747	近	tɕ	iŋ	554		去聲	
22755	遠	∅	yø	22		上聲	
22794	反	f	æɪ	22		上聲	
22863	本	p	əŋ	22		上聲	
22961	傘	s	æɪ	22		上聲	
12019	短	t	ø	22		上聲	
12020	𢭃	t	ø	22		上聲	
12023	椀	∅	ø	22		上聲	
12024	盌	∅	ø	22		上聲	
12055	煗	l	ø	22		上聲	
12056	㬉	l	ø	22		上聲	
12057	暖	l	ø	22		上聲	
12058	煖	l	ø	22		上聲	
12073	滿	m	ø	22		上聲	
13129	產	tʂʰ	æɪ	22		上聲	
13166	眼	∅	iᶽeɪ	22		上聲	
12200	典	t	eɪ	22		上聲	
12261	扁	p	eɪ	22		上聲	
12285	辮	p	eɪ	554		去聲	
12292	犬	tsʰ	ø	22		上聲	
12328	展	tʂ	eɪ	22		上聲	
12329	㞡	tʂ	eɪ	22		上聲	
12387	善	ʂ	eɪ	554		去聲	
12388	譱	ʂ	eɪ	554		去聲	
12434	件	ts	eɪ	554		去聲	
12492	輭	ʐ	ø	22		上聲	
12493	軟	ʐ	ø	22		上聲	
12624	曉	ɕ	iɔu	22		上聲	
12671	小	ɕ	iɔu	22		上聲	
12677	趙	tʂ	ɔu	554		去聲	
12698	繞	ʐ	ɔu	22	繞圈。	上聲	
12881	老	l	ɔu	22		上聲	
12898	道	t	ɔu	554		去聲	
12899	衟	t	ɔu	554		去聲	
12900	𡬹	t	ɔu	554		去聲	
12905	堖	l	ɔu	22		上聲	
12906	腦	l	ɔu	22		上聲	
12907	𠜶	l	ɔu	22		上聲	
12914	㛮	s	ɔu	22		上聲	
12915	嫂	s	ɔu	22		上聲	
12916	㛐	s	ɔu	22		上聲	
12932	草	tsʰ	ɔu	22		上聲	
12933	艸	tsʰ	ɔu	22		上聲	
12966	好	x	ɔu	22	好壞。	上聲	
12974	保	p	ɔu	22		上聲	
12975	𣎼	p	ɔu	22		上聲	
12987	襖	∅	ɔu	22		上聲	
13094	朵	t	o	22		上聲	
13095	朶	t	o	22		上聲	
13143	坐	ts	o	554		去聲	
13144	𡋲	ts	o	554		去聲	
13176	火	x	o	22		上聲	
13316	啞	∅	ia	22		上聲	
13317	瘂	∅	ia	22		上聲	
13318	𤺘	∅	ia	22		上聲	
13226	寫	s	eɪ	22		上聲	
13236	社	ʂ	eɪ	554		去聲	
13271	瓦	v	a	22		上聲	
13302	傻	ʂ	a	22		上聲	
13312	像	ɕ	iɑŋ	554		去聲	
13389	廠	tʂʰ	ɑŋ	22		上聲	
13397	丈	tʂ	ɑŋ	554		去聲	
13423	网	∅	uɑŋ	22		上聲	
13424	網	∅	uɑŋ	22		上聲	
13637	猛	m	əŋ	22		上聲	
13658	打	t	a	22		上聲	
13659	冷	l	əŋ	22		上聲	
13680	靜	tɕ	iŋ	554		去聲	
13705	領	l	iŋ	22		上聲	
13712	餅	p	iŋ	22		上聲	
13717	頃	tɕʰ	iŋ	22		上聲	
13718	𩓏	tɕʰ	iŋ	22		上聲	
13848	等	t	əŋ	22		上聲	
13851	肯	kʰ	əŋ	22		上聲	
13852	肎	kʰ	əŋ	22		上聲	
13863	柳	l	iəu	22		上聲	
13878	紐	l	iəu	22		上聲	
13899	九	tɕ	iəu	22		上聲	
13916	婦	f	u	554		去聲	
14000	酒	tɕ	iəu	22		上聲	
14017	厚	x	əu	554		去聲	
14018	垕	x	əu	554		去聲	
14029	𠭇	m	u	22		上聲	
14030	畮	m	u	22		上聲	
14031	畞	m	u	22		上聲	
14067	狗	k	əu	22		上聲	
14136	走	ts	əu	22		上聲	
14137	口	kʰ	əu	22		上聲	
14258	品	pʰ	iŋ	22		上聲	
14266	感	k	æɪ	22		上聲	
14339	坎	kʰ	æɪ	22		上聲	
14384	敢	k	æɪ	22		上聲	
14385	𠭖	k	æɪ	22		上聲	
14386	𣪏	k	æɪ	22		上聲	
14387	𢽤	k	æɪ	22		上聲	
14407	膽	t	æɪ	22		上聲	
14429	喊	x	æɪ	22		上聲	
14430	嚂	x	æɪ	22		上聲	
14505	閃	ʂ	eɪ	22		上聲	
14553	點	t	eɪ	22		上聲	
14609	減	ts	eɪ	22		上聲	
14616	斬	tʂ	æɪ	22		上聲	
14619	闞	k	əŋ	31		陰平	
14651	范	f	æɪ	554		去聲	
14669	鳳	f	əŋ	554		去聲	
14670	𠤈	f	əŋ	554		去聲	
14778	用	∅	ioŋ	554		去聲	
14787	共	k	oŋ	554		去聲	
14910	刺	tsʰ	ɿ	554		去聲	
14922	刾	tsʰ	ɿ	554		去聲	
14997	睡	ʂ	ueɪ	554		去聲	
15024	位	v	eɪ	554		去聲	
15070	醉	ts	eɪ	554		去聲	
15082	淚	n	eɪ	554		去聲	
15244	二	∅	æɪ	554		去聲	
15245	弍	∅	æɪ	554		去聲	
15322	地	t	iᶽ	554		去聲	
15312	墬	t	iᶽ	554		去聲	
15364	治	tʂ	ʅ	554		去聲	
15367	寺	s	ɿ	554		去聲	
15392	字	ts	ɿ	554		去聲	
155439	事	s	ɿ	554		去聲	
15583	氣	tɕʰ	iᶽ	554		去聲	
15584	炁	tɕʰ	iᶽ	554		去聲	
15639	去	kʰ	eɪ	554		去聲	
15731	遇	∅	y	554		去聲	
15778	句	tɕ	y	554		去聲	
15860	趣	tɕʰ	y	554		去聲	
15883	墓	m	u	554		去聲	
15891	路	l	u	554		去聲	
15989	怒	l	u	554		去聲	
15990	布	p	u	554		去聲	
16019	步	p	u	554		去聲	
16164	系	ɕ	iᶽ	554	聯系。	去聲	
16165	𦃟	ɕ	iᶽ	554	聯系。	去聲	
16192	瞖	∅	iᶽ	554	目翳。	去聲	
16204	閉	p	iᶽ	554		去聲	
16205	閇	p	iᶽ	554		去聲	
16209	慧	x	ueɪ	554		去聲	
16222	桂	k	ueɪ	554		去聲	
16223	昋	k	ueɪ	554		去聲	
16224	炅	k	ueɪ	554		去聲	
16225	炔	k	ueɪ	554		去聲	
16288	祭	tɕ	iᶽ	554		去聲	
16325	脃	tsʰ	eɪ	554		去聲	
16326	膬	tsʰ	eɪ	554		去聲	
16327	脆	tsʰ	eɪ	554		去聲	
16324	銳	ʐ	ueɪ	554		去聲	
16242	稅	ʂ	ueɪ	554		去聲	
16363	幣	p	eɪ	554		去聲	
16384	鱖	k	ua	554		去聲	
16401	制	tʂ	ʅ	554		去聲	
16402	𠛐	tʂ	ʅ	554		去聲	
16466	藝	∅	iᶽ	554		去聲	
16512	世	ʂ	ʅ	554		去聲	
16550	太	tʰ	æɪ	554		去聲	
16552	蓋	k	æɪ	554		去聲	
16581	害	x	æɪ	554		去聲	
16592	貝	p	eɪ	554		去聲	
16624	會	x	ueɪ	554		去聲	
16639	最	ts	eɪ	554		去聲	
16683	蔡	tsʰ	æɪ	554		去聲	
16684	𣞖	tsʰ	æɪ	554		去聲	
16716	挂	k	ua	554		去聲	
16717	掛	k	ua	554		去聲	
16736	畫	x	ua	554		去聲	
16780	怪	k	uæɪ	554		去聲	
16781	恠	k	uæɪ	554		去聲	
16784	𣀩	x	uæɪ	554		去聲	
16785	壞	x	uæɪ	554		去聲	
16795	界	k	æɪ	554		去聲	
16850	𢷎	p	æɪ	554		去聲	
16851	拜	p	æɪ	554		去聲	
16855	壞	x	uæɪ	554		去聲	
16856	𡎯	x	uæɪ	554		去聲	
16890	快	kʰ	uæɪ	554		去聲	
16899	話	x	ua	554		去聲	
16900	敗	p	æɪ	554		去聲	
16901	𣀕	p	æɪ	554		去聲	
169554	妹	m	eɪ	554		去聲	
17029	塊	kʰ	uæɪ	554		去聲	
17030	凷	kʰ	uæɪ	554		去聲	
17032	碎	s	eɪ	554		去聲	
17106	愛	∅	æɪ	554		去聲	
17157	肺	f	eɪ	554		去聲	
17294	進	tɕ	iŋ	554		去聲	
17320	襯	tsʰ	əŋ	31		陰平	
17364	儁	tɕ	ioŋ	554		去聲	
17365	俊	tɕ	ioŋ	554		去聲	
17384	閏	ʐ	əŋ	554		去聲	
17387	順	ʂ	oŋ	554		去聲	
17400	運	∅	ioŋ	554		去聲	
17416	訓	ɕ	ioŋ	554		去聲	
17501	飯	f	æɪ	554		去聲	
17502	𩚳	f	æɪ	554		去聲	
17517	建	ts	eɪ	554		去聲	
17598	論	l	əŋ	554	討論。	去聲	
17850	胖	pʰ	ɑŋ	554		去聲	
17870	鴈	∅	iᶽeɪ	554		去聲	
17871	鳫	∅	iᶽeɪ	554		去聲	
17872	雁	∅	iᶽeɪ	554		去聲	
17891	慢	m	æɪ	554		去聲	
17941	辦	p	æɪ	554		去聲	
17983	縣	s	eɪ	554		去聲	
17984	寰	s	eɪ	554		去聲	
18222	線	s	eɪ	554		去聲	
18223	綫	s	eɪ	554		去聲	
18315	釣	t	iɔu	554		去聲	
18319	叫	tɕ	iɔu	554		去聲	
18331	尿	l	iɔu	554	名詞。	去聲	
18332	㞙	l	iɔu	554	名詞。	去聲	
18345	料	l	iɔu	554		去聲	
18453	廟	m	iɔu	554		去聲	
184554	庿	m	iɔu	554		去聲	
18515	炮	pʰ	ɔu	554		去聲	
18534	𠆴	l	ɔu	554		去聲	
18524	鬧	l	ɔu	554		去聲	
18707	餓	∅	o	554		去聲	
18709	大	t	a	554		去聲	
18759	破	pʰ	o	554		去聲	
18763	臥	∅	o	554		去聲	
18859	謝	s	eɪ	554		去聲	
18870	下	ɕ	ia	554	下面。	去聲	
18877	夜	∅	iᶽ	554		去聲	
18895	借	ts	eɪ	554	借用。	去聲	
19103	浪	l	ɑŋ	554		去聲	
19180	鏡	tɕ	iŋ	554		去聲	
19193	病	p	iŋ	554		去聲	
19203	橫	x	oŋ	554	横竪。	去聲	
19246	鞕	∅	əŋ	554		去聲	
19247	硬	∅	əŋ	554		去聲	
19374	興	ɕ	iŋ	554	高興。	去聲	
19485	袖	ɕ	iəu	554		去聲	
19516	富	f	u	554		去聲	
19626	貿	m	ɔu	554		去聲	
19645	豆	t	əu	554		去聲	
19723	漏	n	əu	554		去聲	
19751	幼	∅	iəu	554		去聲	
19767	任	ʐ	əŋ	554	任務。	去聲	
19931	驗	∅	iᶽeɪ	554		去聲	
19970	念	l	eɪ	554		去聲	
20015	歉	tsʰ	eɪ	554		去聲	
20069	劔	ts	eɪ	554		去聲	
20080	屋	∅	uʔ	5		入聲	
20081	𡲃	∅	uʔ	5		入聲	
20082	𦤼	∅	uʔ	5		入聲	
20148	哭	kʰ	uʔ	5		入聲	
20189	鹿	l	əʔ	5		入聲	
20290	木	m	əʔ	5		入聲	
20303	福	f	əʔ	5		入聲	
20366	六	l	əʔ	5		入聲	
20400	菊	tɕ	yʔ	5		入聲	
20438	熟	ʂ	uʔ	5		入聲	
20451	育	∅	yʔ	5		入聲	
20491	肉	ʐ	əu	554		去聲	
20522	竹	tʂ	uʔ	5		入聲	
20638	沃	l	əʔ	5		入聲	
20645	毒	t	əʔ	5		入聲	
20646	𡹆	t	əʔ	5		入聲	
20717	燭	tʂ	uəʔ	5		入聲	
20751	局	tɕ	yʔ	5		入聲	
20786	浴	∅	yʔ	5		入聲	
20840	俗	s	əʔ	5		入聲	
20896	捉	tʂ	uəʔ	5		入聲	
20922	桌	tʂ	uəʔ	5		入聲	
20934	剝	p	əʔ	5		入聲	
20997	確	tɕʰ	ieʔ	5		入聲	
20998	碻	tɕʰ	ieʔ	5		入聲	
32202	日	ʐ	ʅʔ	5		入聲	
