#ɿ																																																	
#iɑo				#iɑo				#iɑo				#iɑo				#iɑo				#iɑo				#iɑo				#iɑo				#iɑo				#iɑo				#iɑo				#iɑo				#iɑo	
调\n声	阴  平	阳 平	上 声	去 声																																													
p	标膘彪		表裱																																														
pʰ	飘漂{~流}	瓢嫖	瞟殍	票漂{~亮}																																													
m		猫苗描瞄	秒渺藐杳	妙庙																																													
t	刁凋碉雕			吊钓掉调{∽查}																																													
tʰ	挑刁{地名}	条调{∽整}迢	调{训，∽换}	跳																																													
n		僚缭燎辽疗寥聊瞭	了	料廖撂																																													
tɕ	交郊茭娇骄胶浇教{∽书}焦礁蕉椒	嚼	狡绞铰缴搅矫剿较	觉{文；睡~}叫教{∽育}轿																																													
tɕʰ	敲{文}悄橇跷锹	乔桥侨荞瞧	巧	悄窍翘{~尾巴}峭俏																																													
ȵ			咬{文}鸟	尿																																													
ɕ	肖消硝霄销箫萧嚣	淆肴崤	小晓筱	笑孝酵肖{生∽}校哮效啸鞘																																													
Ø	幺腰妖邀吆要{~求}	摇遥窑谣姚尧	舀	要耀跃																																													
#əu																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
p	褒																																																
f			否																																														
t	兜都{∽是}		斗{—~米}陡	斗{~争}豆逗痘																																													
tʰ	偷	头投	抖	透																																													
n	搂	楼	喽篓	漏陋																																													
ts	周州洲舟粥邹		走肘帚	昼宙咒奏纣揍																																													
tsʰ	抽□{掀：∽他一下}	仇绸稠筹愁酬畴踌雠	丑	凑骤臭																																													
s	收搜馊飕		手首守艘薮	受兽授寿售瘦																																													
z		柔揉		肉{白}																																													
k	勾钩沟		狗苟	构购够媾垢																																													
kʰ	抠		口	扣寇叩																																													
ŋ	欧讴殴		藕偶呕{∽吐}	怄{∽气}																																													
X	齁	侯喉猴	吼	后候厚																																													
#iəu																																																	
调\n声	阴 平	阳 平	上 声	去  声																																													
m				谬缪																																													
t	丢																																																
n	溜	刘留榴硫流琉瘤	柳																																														
tɕ	鸠纠赳揪		九玖久韭酒	就救究旧舅臼咎柩																																													
tɕʰ	秋鳅蚯丘邱	求球裘囚																																															
ȵ		牛	扭纽																																														
ɕ	修羞休		朽	秀锈绣嗅袖宿{∽愿}																																													
Ø	忧优悠幽	由油邮尤犹游	有友酉	又右佑釉诱宥幼柚																																													
#aⁿ																																																	
调\n声	阴  平	阳  平	上 声	去 声																																													
p	般搬班颁扳		板版	半伴办拌扮瓣																																													
pʰ	潘攀	盘		盼判叛畔																																													
m		瞒馒蛮	满	慢漫蔓幔																																													
f	番翻	烦繁樊凡矾藩帆	反返	饭贩犯范泛																																													
t	丹单担耽		胆掸	旦但弹{子∽}石诞蛋淡氮担{∽子}																																													
tʰ	摊滩瘫坍贪探	谭痰檀弹{~琴}潭谈坛	坦袒毯忐	叹炭碳																																													
n		兰拦栏蓝篮阑谰婪难男岚南楠	览揽榄缆懒	难{灾∽}烂滥																																													
ts	沾粘占{∽卜}毡瞻簪		展盏斩攒{积∽}	占站战绽栈蘸暂赞颤溅																																													
tsʰ	搀餐参	缠馋谗潺	产阐谄惨	忏灿																																													
s	山衫煽三	禅蟾蝉	闪陕伞散{∽文}	善膳缮扇擅赡散{∽会}禅{~让}																																													
z		然燃	染																																														
k	干杆竿肝甘柑间{一∽屋}		赶杆秆敢橄感	干{∽活}赣																																													
kʰ	刊堪勘戡嵌		砍坎侃	看																																													
ŋ	安淹鞍桉庵俺	谙{猜测}		暗岸按案黯雁																																													
x	酣顸鼾	寒含韩函涵邯咸	喊罕舰{又}	汉汗旱悍捍焊憾翰瀚苋{∽菜}陷																																													
#iɛⁿ																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
p	鞭边编蝙		扁匾贬	便{方∽}遍辩辨辫变																																													
pʰ	偏篇	便{∽宜}	片	片骗遍{~地}																																													
m		棉绵眠	免勉娩冕缅	面																																													
t	滇颠		点典碘	电佃甸殿靛淀奠店惦垫																																													
tʰ	天添	田填甜恬	舔																																														
n		连莲怜联廉帘	脸	练炼恋链殓敛																																													
tɕ	肩奸间{中~}坚艰兼监{~狱}煎尖菅		减碱俭检捡践柬拣简茧剪舰	件建健键见剑鉴监{太~}箭贱荐渐间{∽断}																																													
tɕʰ	牵千迁歼笺签谦	黔钳前钱潜乾	遣浅	欠纤歉																																													
ȵ	研拈{∽菜}	年阎严	碾捻	谚砚验念酽{浓度大：汤∽}																																													
ɕ	先鲜	闲贤嫌	显险冼宪	现县限献羡线腺																																													
Ø	烟咽炎焉胭腌	言延蜒筵盐颜檐	眼演掩衍	燕宴厌艳堰焰																																													
#uaⁿ																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
t	端		短	断段缎煅																																													
tʰ	湍	团																																															
n		栾滦峦孪	暖卵	乱																																													
ts	专砖钻{∽洞}		转{~移}纂	转{∽图子}赚篆传{~记}钻{~ 子}																																													
tsʰ	川穿	船传椽	喘	串窜篡																																													
s	拴栓酸			算蒜涮																																													
z			软																																														
k	官关棺观冠{衣~}		管馆	贯惯灌罐冠{∽军}																																													
kʰ	宽		款																																														
x	欢獾	还环	缓	换涣焕唤痪患幻宦豢																																													
Ø	弯湾豌	玩完顽丸	宛碗惋皖晚挽腕	万																																													
#yɛⁿ																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
tɕ	捐绢		卷{∽烟}	卷{∽子}圈{牛~}倦眷券																																													
tɕʰ	圈	全泉权拳	犬	劝																																													
ɕ	宣鲜掀喧	悬玄弦旋	选癣	檀旋{~风}绚																																													
Ø	渊冤	元圆员园袁猿辕援缘原源沿	远	怨院愿																																													
#ən																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
p	奔崩绷		本	笨进																																													
pʰ	凴{靠：∽着墙}	盆彭澎膨																																															
m		门扪		闷□{蠢}																																													
f	分纷吩氛芬	坟焚	粉	奋愤粪份分{本~}喷忿																																													
t	登灯		等	凳邓瞪炖钝																																													
tʰ	吞	疼藤腾誊囤臀	□{抖动}																																														
n		能棱{∽角}	冷	嫩楞																																													
ts	真贞侦针斟珍甄诊征争挣睁筝蒸正{~月}		疹枕整拯振震{又}	阵镇震正政证症郑赠																																													
tsʰ	抻称撑瞠	陈臣尘橙沉忱成城诚呈程承澄丞	惩逞骋	称趁衬秤慎																																													
s	申伸呻绅身深参森升生牲笙声甥渗	神乘晨辰	审婶沈	肾甚胜剩圣盛																																													
z	扔	人仁任{姓}壬	忍刃纫韧	认任{∽意}仍																																													
k	根跟耕庚羹更{打~}		粳耿亘艮	更埂																																													
kʰ	坑		肯啃恳垦																																														
ŋ	恩			硬																																													
x	哼	痕恒衡	很狠	恨杏																																													
#in																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
p	宾滨槟彬斌冰兵		丙秉柄饼禀	病并																																													
pʰ	拼	贫频平评萍苹屏瓶	品牝	殡鬓聘濒																																													
m		名铭茗冥瞑明鸣民	敏抿泯悯闽皿	命																																													
t	丁叮钉名词订盯	盯{注视}	鼎顶	定钉{动词}订锭																																													
tʰ	听厅	停廷亭庭蜓	挺艇	听																																													
n		林邻磷鳞麟淋琳临伶凌陵灵零龄铃蛉宁泞	凛领岭	另令佞赁吝蔺																																													
tɕ	巾斤筋今矜金襟津京鲸惊经荆精睛箐晶禁{~不住}兢		仅谨紧井景颈警境竟	近劲禁{~止}尽进晋镜径竞净静劲																																													
tɕʰ	亲钦轻氢青清蜻卿	勤芹琴禽擒情晴擎	请寝	庆浸侵																																													
